	CMCP6_HS1	CMCP6_HS2	CMCP6_YJ016ref_ASW1	CMCP6_YJ016ref_ASW2
VV1_RS03115	22077	14064	6794	5109
VV1_RS03120	592	947	275	419
VV1_RS03130	3006	4535	2050	1375
VV1_RS03140	34735	14323	2188	4245
VV1_RS03145	4142	3219	1312	652
VV1_RS03155	56	92	67	117
VV1_RS03165	600	196	200	247
VV1_RS03170	10588	10975	3103	4191
VV1_RS03175	6726	9471	5085	2784
VV1_RS03180	3386	4904	2472	1716
VV1_RS03190	334	271	932	535
VV1_RS03200	4920	5014	2325	2437
VV1_RS03205	1180	1293	3219	3589
VV1_RS03260	5641	1967	996	1215
VV1_RS03265	3222	10056	24695	12498
VV1_RS03275	8121	3904	3914	2316
VV1_RS03280	3345	1817	4744	3888
VV1_RS03290	171	192	294	262
VV1_RS03295	2265	2299	3349	4082
VV1_RS03310	2481	1920	7031	5475
VV1_RS03320	617	1214	2248	2899
VV1_RS03325	1107	2644	5873	7308
VV1_RS03330	267	538	360	269
VV1_RS03335	2862	2799	2078	1902
VV1_RS03355	1187	3171	737	658
VV1_RS03360	13113	17184	92050	46791
VV1_RS03375	361	632	2137	2224
VV1_RS03385	2237	1052	1267	1218
VV1_RS03400	172	52	94	43
VV1_RS03415	1626	1541	12557	8346
VV1_RS03420	7543	4696	49521	42300
VV1_RS03425	1160	2144	8537	7494
VV1_RS03450	1342	1952	901	868
VV1_RS03455	1589	715	4937	7049
VV1_RS03475	281	254	406	319
VV1_RS03480	91	86	228	164
VV1_RS03485	381	174	408	682
VV1_RS03495	16012	11229	6372	2426
VV1_RS03500	1199	266	787	1036
VV1_RS03505	594	598	2104	1963
VV1_RS03515	1073	358	6791	4021
VV1_RS03520	145	141	2242	1873
VV1_RS03540	367	227	1386	815
VV1_RS03565	13245	5991	10518	4658
VV1_RS03775	3524	2392	1734	1075
VV1_RS03850	401	390	197	151
VV1_RS03915	12303	13473	21149	12895
VV1_RS03930	813	427	238	256
VV1_RS03945	2264	1657	1313	746
VV1_RS03950	3789	2283	1164	951
VV1_RS03965	2930	1013	663	624
VV1_RS03990	3696	38557	17342	7266
VV1_RS03995	2926	1060	397	465
VV1_RS04020	2031	566	461	539
VV1_RS04025	29	40	13	3
VV1_RS04045	4041	798	1460	2733
VV1_RS04050	6235	1982	4491	4761
VV1_RS04055	2697	688	1176	1465
VV1_RS04060	851	286	981	962
VV1_RS04070	94	38	56	314
VV1_RS04075	235	60	178	818
VV1_RS04090	219	98	156	422
VV1_RS04095	701	393	229	348
VV1_RS04110	2346	1984	935	652
VV1_RS04115	18	25	17	14
VV1_RS04120	3258	2897	1037	1453
VV1_RS04125	87	296	115	139
VV1_RS04155	624	393	106	163
VV1_RS04175	3302	1746	15953	14153
VV1_RS04180	721	551	464	354
VV1_RS04190	623	448	454	564
VV1_RS04195	629	1122	1252	1528
VV1_RS04200	468	656	1113	1024
VV1_RS04210	586	1237	811	705
VV1_RS04220	860	742	302	227
VV1_RS04225	1553	1470	865	833
VV1_RS04235	2952	2265	1122	3030
VV1_RS04250	7726	290278	25184	17950
VV1_RS04260	1844	1600	1439	1293
VV1_RS04275	6528	2583	10829	7801
VV1_RS04285	1923	487	658	499
GLNG	24263	564	2975	2627
VV1_RS04310	3959	651	14357	13934
VV1_RS04315	595	1804	1009	632
VV1_RS04330	735	1483	3164	2438
VV1_RS04335	2449	5901	3113	5703
VV1_RS04345	6647	2712	1250	1188
VV1_RS04350	4457	3965	386	501
VV1_RS04355	451	448	384	371
VV1_RS04360	929	1501	596	897
VV1_RS04380	4220	1803	1670	1243
VV1_RS04395	1353	492	3057	2373
VV1_RS04400	2005	1430	30217	16908
VV1_RS04495	1531	514	6812	10766
VV1_RS04510	5505	7154	7218	8830
VV1_RS04515	4898	3497	2589	6773
VV1_RS04520	118	201	194	110
VV1_RS04530	187	282	2200	1486
VV1_RS04535	154	341	152	125
VV1_RS04540	579	341	104	176
VV1_RS04545	50	132	86	30
VV1_RS04560	58	71	66	69
VV1_RS04565	17	20	27	28
VV1_RS04580	40	83	75	91
VV1_RS04585	307	96	64	60
VV1_RS04590	5011	1614	537	414
VV1_RS04610	22	104	20	20
VV1_RS04620	1241	1756	822	935
VV1_RS04680	468	586	460	357
VV1_RS04685	308	372	335	221
VV1_RS04700	10370	1319	1259	1108
VV1_RS04705	3569	2171	658	895
VV1_RS04770	3144	1649	743	692
VV1_RS04780	182	365	1229	983
VV1_RS04785	237	190	592	403
VV1_RS04790	95	236	334	208
VV1_RS04805	2209	1870	725	462
VV1_RS04830	4840	11927	947	804
VV1_RS04835	8788	10346	1366	975
VV1_RS04845	6874	13881	7749	5952
VV1_RS04865	38050	24115	14183	6540
VV1_RS04870	5334	7585	3955	2384
VV1_RS04875	13068	22472	9031	6406
VV1_RS04890	200	334	153	150
VV1_RS04895	1550	2557	29323	17063
VV1_RS04900	482	446	3748	2511
VV1_RS04905	263	221	146	165
VV1_RS04910	947	1941	325	258
VV1_RS04915	8601	10194	2029	1411
VV1_RS04920	4016	6317	1292	1088
VV1_RS04930	3599	5382	616	814
VV1_RS04945	1478	488	492	305
VV1_RS04950	807	939	1247	1013
VV1_RS04955	829	812	1117	592
VV1_RS04960	667	4494	1331	1274
VV1_RS04970	6532	28656	15369	9681
VV1_RS04975	2846	3643	1066	930
VV1_RS04980	427	476	180	333
VV1_RS04990	970	1144	478	412
VV1_RS05005	430	388	216	178
VV1_RS05010	748	1405	1520	2368
VV1_RS05025	6112	2035	337	437
VV1_RS05040	3424	2197	578	897
VV1_RS05105	523	502	160	230
VV1_RS05110	75180	8021	2121	2871
VV1_RS05120	7557	8691	2823	6769
VV1_RS05125	5983	5045	2263	2804
VV1_RS05135	1583	979	548	419
VV1_RS05170	34856	2989	5358	6501
VV1_RS05175	30284	2321	7076	5379
VV1_RS05180	2846	497	942	1090
VV1_RS05185	3831	824	1428	1653
VV1_RS05200	51	124	74	70
VV1_RS05220	280	498	355	402
VV1_RS05225	170	245	2268	2067
VV1_RS05230	497	510	2443	1664
VV1_RS05235	417	566	1131	784
VV1_RS05240	120	882	337	170
VV1_RS05250	325	1448	427	326
VV1_RS05255	233	430	116	61
VV1_RS05275	4052	18958	3578	2775
VV1_RS05280	1767	1412	1801	1948
VV1_RS05285	6275	4294	7930	7595
VV1_RS05295	1261	1818	2411	1557
VV1_RS05300	127	280	391	228
VV1_RS05310	563	10618	6493	7383
VV1_RS05330	96	144	448	288
VV1_RS05335	1160	2725	355	456
VV1_RS05340	1501	2371	465	382
VV1_RS05370	15908	7462	1659	2674
VV1_RS05380	679	670	328	229
VV1_RS05390	114	189	188	93
VV1_RS05400	250	1021	295	192
VV1_RS05415	5733	11142	909	862
VV1_RS05420	906	1508	879	928
VV1_RS05430	328	669	909	816
VV1_RS05440	2791	2023	181	209
VV1_RS05450	337	945	226	228
VV1_RS05470	127	607	250	303
VV1_RS05495	2362	2484	1100	1000
VV1_RS05500	325	282	81	115
VV1_RS05505	2246	1673	820	563
VV1_RS05510	9931	8600	1552	1141
VV1_RS05520	739	716	777	976
VV1_RS05540	2288	956	231	220
VV1_RS05545	6875	3422	12629	14174
VV1_RS05550	11956	5604	583	760
VV1_RS05555	1792	1821	7436	6688
VV1_RS05560	1504	2208	1153	1057
VV1_RS05570	1323	1129	2838	2166
VV1_RS05580	51	75	61	54
VV1_RS05585	240	798	105	91
VV1_RS05655	1235	2235	958	1091
VV1_RS05660	1191	1217	524	590
VV1_RS05725	25810	9056	11241	6921
VV1_RS05745	318	228	127	101
VV1_RS05760	730	679	790	785
VV1_RS05770	995	17280	353	550
VV1_RS05780	1293	4613	1994	3619
VV1_RS05785	2052	536	343	334
VV1_RS05800	309	271	1707	2071
VV1_RS05810	1113	1257	674	588
VV1_RS05820	599	404	539	345
VV1_RS05835	480	546	4500	2829
VV1_RS05840	69	67	522	242
VV1_RS05845	101	128	1731	1058
VV1_RS05850	91	852	153	114
VV1_RS05855	1584	2563	2396	2402
VV1_RS05875	246	261	31501	8950
VV1_RS05885	35	74	273	247
VV1_RS05890	646	2453	4670	4077
VV1_RS05900	184	15155	415	259
VV1_RS05930	2788	9159	6717	3817
VV1_RS05950	67	142	45	40
VV1_RS05975	608	244	198	328
VV1_RS05985	2601	934	1269	1293
VV1_RS06000	1999	15849	2076	890
VV1_RS06005	33062	106812	19604	10682
VV1_RS06010	308	384	351	334
VV1_RS06020	1406	2937	3054	3582
VV1_RS06025	5620	2027	369	252
VV1_RS06030	1705	4382	3725	2847
VV1_RS06035	878	1461	771	793
VV1_RS06060	68197	14215	4376	4536
VV1_RS06065	250	898	278	210
VV1_RS06070	650	6140	1119	813
VV1_RS06080	3108	3597	5351	4655
VV1_RS06135	247	485	352	331
VV1_RS06145	2202	3051	1063	1352
VV1_RS06165	5864	7524	4622	4667
VV1_RS06170	6855	9049	11218	8140
VV1_RS06175	8122	7101	8804	5580
VV1_RS06185	8618	4435	1796	1302
VV1_RS06190	4893	5620	15295	9076
VV1_RS06195	734	447	517	611
VV1_RS06205	236	1009	200	235
VV1_RS06210	12983	13064	40796	26643
VV1_RS06215	1093	1448	3503	2959
VV1_RS06220	176	287	274	195
VV1_RS06225	8565	1790	690	503
VV1_RS06230	384	806	345	119
VV1_RS06250	5489	709	38074	25563
VV1_RS06260	3625	758	64283	22334
VV1_RS06265	38225	10855	2375	2880
VV1_RS06270	1125	1092	1688	1756
VV1_RS06280	242	805	4353	2344
VV1_RS06290	948	2152	5744	4015
VV1_RS06300	1447	1760	3036	4222
VV1_RS06315	2525	1437	251	394
VV1_RS06325	519	1453	923	663
VV1_RS06330	5082	5314	5989	5540
VV1_RS06335	8917	2714	1743	1820
VV1_RS06385	4799	995	654	508
VV1_RS06410	575	899	1282	1453
VV1_RS06430	646	516	777	954
VV1_RS06450	2793	12135	4660	2782
VV1_RS06465	2341	2088	903	1179
VV1_RS06475	3308	1298	487	703
VV1_RS06490	346	2286	9189	5029
VV1_RS06495	57569	2577	766	936
VV1_RS06500	9048	1748	1017	1170
VV1_RS06510	8584	408	204	168
VV1_RS06515	18401	912	650	607
VV1_RS06520	21463	1317	1144	845
VV1_RS06530	2606	2627	4563	4490
VV1_RS06535	7332	5369	6775	8424
VV1_RS06540	283	411	528	587
VV1_RS06560	719	967	457	396
VV1_RS06575	10121	4983	7161	6222
VV1_RS06580	276	820	1029	815
VV1_RS06585	138	725	102	131
VV1_RS06610	336	468	425	714
VV1_RS06615	5732	7841	2702	3296
VV1_RS06625	614	1161	523	937
VV1_RS06650	436	333	404	298
VV1_RS06660	795	1362	629	510
CYSJ	577	469	3054	2037
VV1_RS06675	1656	1198	3097	2144
VV1_RS06680	4460	2434	7835	5671
VV1_RS06715	3728	6890	73198	99532
VV1_RS06720	910	1190	19774	15117
VV1_RS06725	1591	1778	7102	6283
VV1_RS06735	1637	1453	419	181
VV1_RS06740	5965	4908	1803	4698
VV1_RS06745	1018	869	2336	3643
VV1_RS06755	7178	4398	6511	5368
VV1_RS06760	704	670	2249	1239
VV1_RS06770	2039	7770	11417	9742
VV1_RS06780	280	1661	4650	2763
VV1_RS06790	1391	5449	16547	11273
VV1_RS06795	761	2597	20410	12969
VV1_RS06800	840	2066	9992	7176
VV1_RS06805	1722	2879	8234	5836
VV1_RS06810	487	1898	6241	5107
VV1_RS06855	4761	3871	1668	2124
VV1_RS06860	179	217	101	104
VV1_RS06875	935	2478	2096	1559
VV1_RS06880	1628	2075	4847	3712
VV1_RS06885	1239	1921	3134	2536
TLDD	4984	3599	22701	10336
VV1_RS06895	20228	17955	391168	188648
VV1_RS06905	560	337	277	268
VV1_RS06930	2913	125	182	119
VV1_RS06935	255	801	8151	6145
VV1_RS06945	241	393	347	347
VV1_RS06960	838	5000	358	270
VV1_RS06965	1035	3824	329	386
VV1_RS06980	3577	2753	1935	1864
VV1_RS06985	4703	2371	973	1280
VV1_RS06990	1773	918	760	638
VV1_RS07005	848	2969	329	364
VV1_RS07015	515	3564	79	93
VV1_RS07025	3548	9396	462	661
VV1_RS07030	1430	3299	434	395
VV1_RS07035	2407	6170	1209	2074
VV1_RS07045	445	859	8960	5604
VV1_RS07090	221	489	12238	8663
VV1_RS07095	277	796	17894	9954
VV1_RS07150	1041	970	303	355
VV1_RS07160	1574	1246	1230	1451
VV1_RS07170	232	1043	376	352
VV1_RS07175	418	603	212	206
VV1_RS07180	670	866	954	1105
VV1_RS07185	347	811	906	852
VV1_RS07205	1540	5275	176	232
VV1_RS07210	1451	5739	502	510
VV1_RS07215	8605	4582	23530	12477
VV1_RS07220	3225	2339	5640	3736
VV1_RS07235	2510	7721	64538	17238
VV1_RS07240	969	5795	331	385
VV1_RS07250	1896	904	766	1238
VV1_RS07260	582	461	29481	29109
VV1_RS07265	2853	1218	2572	2056
GAPA	3570	2308	410	565
VV1_RS07290	43669	11494	2406	2193
VV1_RS07295	7008	7913	1701	1544
VV1_RS07300	756	228	212	129
VV1_RS07305	152	178	262	196
VV1_RS07310	6229	1374	2798	2785
VV1_RS07320	851	1203	379	283
VV1_RS07340	765	1898	158	141
VV1_RS07345	965	1672	330	320
VV1_RS07375	15230	4832	1946	1235
VV1_RS07385	2580	5462	2928	2991
VV1_RS07400	1168	2142	795	657
VV1_RS07405	373	418	381	142
VV1_RS07425	4288	2217	2908	1926
VV1_RS07435	2358	5651	36037	40958
VV1_RS07445	1062	4768	8840	10204
RELA	16152	7561	3857	3284
VV1_RS07510	7242	10527	89766	167800
VV1_RS07515	25420	8864	154289	280399
VV1_RS07520	2384	1674	1123	1539
VV1_RS07600	24537	30674	705	598
VV1_RS07605	11079	14695	735	613
VV1_RS07610	4730	3433	11842	11525
VV1_RS07620	15691	7886	22392	18883
VV1_RS07630	1447	4706	2736	2540
VV1_RS07640	607	735	328	279
VV1_RS07645	1819	3200	4235	3892
VV1_RS07650	1735	8470	870	1028
VV1_RS07680	5637	7396	2554	2580
VV1_RS07690	638	474	159	183
VV1_RS07695	89	174	108	53
VV1_RS07735	7337	16133	2185	2147
VV1_RS07740	16590	5264	3908	3470
VV1_RS07750	3842	2328	319	411
VV1_RS07755	593	400	203	227
VV1_RS07760	422	22805	259	203
VV1_RS07765	231	6514	93	143
VV1_RS07785	3619	2658	745	528
VV1_RS07790	120	253	238	159
VV1_RS07800	343	4329	8377	3902
VV1_RS07810	805	613	286	354
VV1_RS07820	11452	10908	6222	5192
VV1_RS07830	62	103	111	92
VV1_RS07835	779	1083	164	212
VV1_RS07850	200165	3522	1149	1258
VV1_RS07855	92420	55555	3987	11831
VV1_RS07860	1962	3308	321	523
VV1_RS07865	869	765	290	439
VV1_RS07870	390	348	544	368
