"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_batch1","K12_batch2","K12_starvation1","K12_starvation2"
"45","yghZ",1350.45192084324,5.25840751597003,0.116320365655978,45.2062498799389,0,0,67.7488279995525,69.178255823831,2740.85909925269,2524.0215002969
"46","ygjG",2520.54817893056,5.0488119251511,0.100818484150305,50.078236820384,0,0,139.546390740114,154.690266494955,4959.21328660771,4828.74277187948
"47","ygjR",1538.05434746661,5.14608289086253,0.109504012226132,46.9944688440783,0,0,85.5632608599927,83.2060688103301,2896.69389753796,3086.75416265817
"48","fic",1540.60630197166,6.04278526385625,0.147591189275261,40.9427235699437,0,0,49.9343951391124,42.0834389594972,3322.94790461237,2747.45946917564
"49","pck",4170.45827277778,4.31521940602601,0.104778718643552,41.1841208013431,0,0,384.359884746465,411.226298508329,8483.8297537069,7402.41715414943
"50","glpD",48429.1288886271,4.23288202807198,0.0962953439981894,43.9572865345553,0,0,4778.31674133896,4987.36792125475,98171.3395432999,85779.4913486148
"51","ugpB",3491.38713528995,5.68508494569375,0.0952377794027635,59.6935898899044,0,0,138.736643791912,127.595449630622,6842.98099529141,6856.23545244584
"52","aldB",2239.25091328536,8.40881997770929,0.161532000614585,52.0566819312336,0,0,12.6860355218286,13.2591656995676,4487.12551533174,4443.93293658831
"53","fadB",1785.71130974394,5.97142810812031,0.115678401144239,51.6209426224224,0,0,59.3814428681337,52.8445009765376,3538.36659635966,3492.25269877145
"54","fdoG",3166.78381108415,3.76455056964904,0.0912735578723953,41.2447006274485,0,0,438.882845925388,428.713024286019,5646.71974963096,6152.81962449424
"55","glpK",20620.3636269328,3.82720522924115,0.0717811837490311,53.3176666829879,0,0,2717.24084251592,2706.79142092912,39325.3696849299,37732.0525593564
"56","glpF",14679.2695827018,5.64457035641555,0.119236396505631,47.3393235776711,0,0,633.492029143226,514.417196778877,29755.2797196463,27813.8893852389
"57","acs",6746.19072835878,5.79198767516334,0.0876701982546608,66.065639070862,0,0,242.654168811146,235.206069801025,12815.1204707534,13691.7822040696
"58","aspA",11172.1361178897,6.38303922121789,0.0938736352632323,67.9960800848835,0,0,263.707589464394,264.030343060955,23265.2187087068,20895.5878303268
"59","frdA",2672.04730993656,5.24644886971542,0.131596438961792,39.867711551364,0,0,119.032801385668,153.152971921093,5247.96600107747,5168.03746536201
"60","cysQ",3106.47391829214,4.89799846541395,0.117258955535114,41.7707836732966,0,0,189.750701528627,211.570165727883,6471.72750525886,5552.84730065318
"61","ytfQ",2578.59830016211,7.47163293774112,0.132963865936225,56.1929580275953,0,0,30.5004683822687,27.2869786860667,5353.38365874104,4903.22209483906
"62","nrdD",2452.91355952481,6.1126816212874,0.125457200235308,48.7232427459118,0,0,66.6691654019501,72.2528449715568,4455.04188039066,5217.69034733506
"63","arcA",10191.6541252971,4.17761891210968,0.110845621243172,37.6886237386397,0,0,1105.03466864609,1025.37548076656,20959.7803693688,17676.4259824071
"64","frdB",792.010072997042,5.00087573022319,0.133685709665688,37.4077060497268,2.92829713848649e-306,1.01712570919617e-304,44.8059978005009,50.3463972940103,1517.0975950713,1555.79030182235
"65","ybdK",750.733318011495,6.6418228004125,0.178193798525013,37.2730300122099,4.48933801557942e-304,1.53535360132816e-302,15.3851920158346,14.2199748082319,1599.59837063409,1373.72973458782
"66","fumA",3055.45599055276,3.08397728525784,0.0827661461613057,37.2613372531248,6.94328329726544e-304,2.3386240560335e-302,646.717895963856,641.820484587765,5376.30054084181,5556.9850408176
"67","sfsA",3644.92221552869,4.03665038919642,0.109353703481491,36.9137053495372,2.78550616784318e-298,9.24206001659014e-297,448.059978005009,388.359041722118,7168.40072112242,6574.8691212652
"68","ydgA",5231.36920838027,2.86303407111478,0.0782160060730909,36.6041966965093,2.45254225930383e-293,8.01764918004768e-292,1283.17899725049,1243.86347207683,9340.92114427589,9057.51321991789
"69","ypfJ",1700.19087080392,3.51446834962802,0.0965269535344107,36.4091916396714,3.0455864796384e-290,9.81208513657414e-289,277.743203233225,268.834388604277,3212.94687052865,3041.23902084954
"70","araF",739.318236241183,6.22125779702422,0.172455750405398,36.0745164043512,5.69301279544319e-285,1.80793820632432e-283,22.6729145496511,16.7180784907592,1540.01447717208,1377.86747475224
"71","ilvC",7466.96113404997,-3.90972333238273,0.109226550284215,-35.7946243125811,1.33895994934637e-280,4.19226474281265e-279,13553.2745033527,14456.7181726068,893.758401930225,964.093458310127
