	K12_batch1	K12_batch2	K12_starvation1	K12_starvation2
yehW	48	54	6	3
yehX	56	112	10	9
yehY	59	98	8	6
yehZ	143	249	86	105
bglX	1742	2680	56	64
dld	2850	4061	85	115
pbpG	638	835	17	14
yohF	93	113	129	156
dusC	183	251	4	6
yohK	48	69	34	59
cdd	122	213	79	91
sanA	165	226	5	5
yeiT	50	69	20	32
yeiA	79	99	37	40
mglC	253	326	24	44
mglA	613	763	48	68
mglB	1277	1830	333	334
galS	66	116	23	35
yeiB	380	517	3	7
folE	2077	2358	6	6
frmC	1242	1636	38	56
cirA	2852	4167	30	37
lysP	4691	6423	105	109
yeiE	344	422	115	101
yeiH	152	188	34	42
nfo	731	880	11	13
yeiJ	19	37	5	4
rihB	5	7	4	3
yeiL	18	21	4	9
yeiC	13	10	2	0
fruA	908	1593	321	321
fruK	463	703	94	111
fruB	449	732	52	61
setB	36	57	0	3
yeiQ	232	278	64	64
yeiR	267	366	0	1
yeiU	316	411	2	1
rtn	364	426	16	20
yejB	77	125	2	4
yejE	112	147	3	4
yejF	449	622	23	23
bcr	389	515	42	38
rsuA	625	787	9	9
yejH	88	110	3	3
yejK	1814	2569	31	23
yejM	934	1181	31	44
narP	878	1383	47	47
ccmH	145	229	5	3
ccmF	182	289	2	7
ccmC	90	134	0	5
ccmB	56	75	1	4
ccmA	125	132	24	30
napC	149	254	18	28
napH	39	55	1	1
napG	24	42	1	1
napA	177	343	10	13
mqo	1291	1916	10	8
yojI	1350	1803	7	12
alkB	34	25	8	13
ada	95	129	40	46
yojL	130	174	0	3
rcsB	3931	5079	179	228
rcsC	1365	1834	50	40
yfaP	12	18	12	10
yfaQ	31	79	8	6
yfaT	5	11	0	0
gyrA	12108	18568	110	105
ubiG	529	690	7	9
nrdA	2492	3217	29	33
nrdB	1926	2959	44	50
inaA	596	690	31	35
glpQ	3567	5236	2335	2459
glpT	3546	4804	2281	2369
glpA	515	837	2451	2303
glpB	328	463	1481	1352
glpC	209	317	820	843
yfaY	525	798	33	26
ais	17	27	2	3
yfbE	104	117	15	23
yfbF	36	36	1	2
yfbG	113	168	6	7
yfbH	33	64	3	0
arnT	55	64	41	46
