	K12_batch1	K12_batch2	K12_starvation1	K12_starvation2
ybdR	105	155	16	21
rna	484	585	77	69
citT	35	50	3	3
citG	15	16	6	1
citF	5	6	1	2
citE	9	12	2	1
citC	27	31	0	1
citA	211	312	7	8
citB	109	165	4	3
dcuC	45	60	9	9
lipA	1572	2400	194	223
ybeF	96	105	5	10
lipB	685	743	2	4
dacA	2046	2855	13	10
rlpA	1707	2318	39	44
mrdB	890	1142	16	19
mrdA	1360	1717	14	10
phpB	64	120	7	5
nadD	227	292	3	9
holA	827	989	14	18
leuS	9928	14017	428	444
ybeQ	102	151	125	162
ybeU	18	15	0	0
hscC	77	113	9	9
rihA	541	654	32	31
gltL	577	832	12	8
gltK	313	431	9	15
gltJ	251	418	8	9
gltI	3044	4216	348	383
ybeX	2843	3910	603	688
ybeZ	2700	3928	810	819
miaB	1941	2938	65	85
asnB	3214	4530	86	70
nagD	781	1019	19	16
nagC	850	1055	44	66
nagA	794	1142	121	123
nagB	451	594	123	130
nagE	1190	1765	501	525
glnS	4965	7319	56	44
ybfM	25	36	7	7
ybfF	234	337	8	8
pgm	4722	6912	159	221
potE	104	125	33	46
kdpE	51	80	46	59
kdpD	273	406	270	312
kdpB	46	84	2	3
ybgH	405	567	9	7
ybgI	2212	3079	129	94
ybgJ	1102	1558	61	61
ybgK	1209	1674	72	71
nei	241	361	2	3
abrB	67	100	6	4
gltA	10494	13211	1028	1155
sdhA	6657	9406	268	337
sdhB	3629	4830	129	165
sucA	12401	18181	389	435
sucB	7042	11045	212	265
sucC	10310	15054	241	370
sucD	8095	12225	248	315
mngR	305	393	10	11
mngA	16	21	2	2
cydA	3558	6420	569	650
cydB	2452	3882	438	494
tolQ	1447	2111	14	15
tolA	2473	3469	103	123
tolB	9312	13620	268	296
ybgF	5962	8379	86	99
nadA	3538	4871	83	77
pnuC	1392	2080	145	143
zitB	338	509	66	61
aroG	10537	13290	41	63
gpmA	15188	22630	1059	1123
galM	1971	3051	53	68
galK	1411	1996	55	79
galT	363	468	45	59
galE	571	750	132	157
modF	1660	2219	27	38
modE	468	579	8	17
modA	1200	1577	33	45
modB	504	710	13	20
modC	834	1182	23	25
ybhA	511	675	8	10
pgl	741	1052	53	70
ybhD	32	51	1	4
ybhH	3	6	0	0
ybhI	999	1006	8	14
ybhJ	101	119	4	5
ybhC	2811	4127	31	27
bioB	1683	2312	25	21
bioC	390	608	4	6
bioD	457	679	3	3
uvrB	1044	1609	236	244
ybhK	491	726	13	8
moaA	1405	1933	90	92
ybhL	627	838	1693	1741
ybhN	36	56	16	12
ybhO	90	117	40	41
ybhP	95	145	42	31
ybhR	63	68	10	15
ybhS	73	93	4	11
ybhF	264	358	21	39
ybhG	252	326	37	38
ybiH	109	146	15	17
rhlE	262	376	3	1
dinG	235	362	44	47
ybiB	716	906	128	134
ybiC	5256	7057	125	132
ybiX	113	154	9	18
fiu	931	1118	9	10
ybiN	328	473	7	7
ybiO	83	156	44	47
glnQ	1059	1808	40	65
glnP	960	1467	95	109
glnH	3935	4937	618	624
rhtA	78	104	10	8
ybiR	340	455	31	36
ybiS	2072	2669	73	99
ybiT	2545	3528	46	54
ybiU	289	427	7	11
ybiV	674	774	16	9
ybiW	82	102	7	15
ybiY	20	25	3	0
fsaA	106	143	10	7
moeB	412	585	10	16
moeA	590	929	36	44
iaaA	2493	3671	123	125
yliA	2086	2977	51	58
yliB	1645	2399	38	46
yliC	496	732	8	8
yliD	403	534	2	10
yliE	936	1286	1	3
yliF	365	480	1	0
yliG	729	964	2	1
yliI	85	122	47	42
yliJ	1756	2456	36	43
dacC	1664	2521	604	578
deoR	575	788	19	16
cmr	266	340	229	218
ybjI	481	670	12	16
ybjJ	191	283	11	10
ybjL	568	840	65	58
nfsA	758	1041	14	16
rimK	466	735	8	17
potF	1400	2120	237	221
potG	520	811	41	49
potH	238	384	19	20
potI	146	289	22	29
rumB	324	438	2	3
artJ	5870	7446	14	17
artM	665	1006	11	25
artQ	471	758	20	27
artI	1426	2203	195	233
artP	920	1154	102	137
ybjR	326	547	334	315
ybjS	257	329	33	37
ybjT	521	750	17	17
ltaE	821	1259	64	57
poxB	637	835	144	132
hcr	19	29	2	2
hcp	28	46	1	1
ybjE	83	94	4	7
aqpZ	66	86	45	49
ybjD	787	1130	103	123
ybjX	2801	3614	63	65
macA	488	674	37	37
macB	419	685	90	188
clpA	14584	21891	3423	3625
aat	127	143	4	10
cydC	766	1131	15	11
cydD	928	1244	10	19
trxB	5607	8278	37	43
lolA	1260	1590	58	75
ycaJ	511	675	13	14
serS	3187	4917	332	383
dmsA	135	252	12	14
dmsB	33	64	5	3
dmsC	60	103	13	15
ycaC	216	254	35	34
ycaD	343	488	15	23
ycaM	38	45	18	18
ycaN	91	148	3	3
pflA	429	547	181	164
pflB	22310	33451	2042	2257
focA	1642	2326	228	234
ycaO	1635	2061	14	24
ycaP	206	225	61	80
serC	15605	22902	75	139
aroA	9402	12319	26	36
ycaL	79	103	5	8
cmk	7922	9224	240	300
rpsA	93139	132026	3885	4060
msbA	2258	3114	35	34
lpxK	324	526	21	21
kdsB	1508	2305	54	55
ycbJ	175	252	104	135
smtA	1001	1344	12	15
mukF	1507	2123	16	18
mukE	1027	1255	7	10
mukB	5609	8273	55	62
ycbB	791	1209	2488	2530
ycbL	1920	2862	48	41
aspC	6162	8045	83	97
ompF	241435	312515	1732	1878
asnS	7553	11296	169	219
pncB	2300	3230	47	31
pepN	3094	4004	375	375
ssuC	14	19	1	0
ssuA	12	23	3	0
ycbR	17	17	2	8
ycbT	74	114	5	12
ycbF	73	107	4	2
pyrD	957	1291	3	4
ycbX	619	808	6	7
ycbY	1448	2158	26	28
uup	2378	3333	109	113
pqiA	437	658	55	64
pqiB	944	1308	70	88
ycbZ	1591	2208	504	552
yccR	300	337	52	56
yccS	701	979	29	30
helD	1459	2155	130	140
yccT	25	24	15	13
yccW	884	1216	318	326
yccA	4108	5564	458	434
hyaA	15	17	10	8
hyaB	22	31	8	9
hyaC	15	30	5	3
hyaF	28	28	3	0
appC	82	131	11	16
appB	53	73	2	3
appA	77	114	6	7
yccC	326	495	39	60
yccZ	77	115	6	3
ymcA	69	100	0	1
ymcB	12	15	0	0
ymcC	17	29	4	3
yccM	33	62	2	3
torR	155	243	6	10
torC	28	39	3	4
torA	80	120	6	14
cbpA	649	994	162	154
agp	509	780	3369	3394
rutG	67	107	21	10
rutD	8	11	0	1
rutB	4	7	1	1
rutA	6	12	5	0
rutR	231	367	39	37
putP	1346	2074	1338	1445
efeO	1308	1919	2	7
efeB	652	1002	5	10
phoH	1257	1597	2120	2519
ycdW	1375	2071	25	27
ycdX	1562	2041	25	35
csgG	242	363	7	13
csgD	402	546	16	11
ymdC	396	554	78	83
mdoC	201	258	13	12
mdoG	3011	3822	82	97
mdoH	2299	3343	74	75
mdtG	40	64	3	6
lpxL	152	194	27	31
yceA	2811	3579	15	8
solA	1128	1459	19	18
pyrC	1297	1596	7	11
grxB	586	728	63	75
mdtH	18	32	3	2
yceH	785	1113	196	174
mviM	588	973	201	185
mviN	334	426	3	15
flgA	4095	5330	44	45
flgD	8892	11956	76	90
flgF	5532	7855	52	72
flgG	6519	8987	47	45
flgH	2265	3066	11	20
flgI	2478	3432	12	20
flgJ	1914	2519	11	12
flgK	13374	17317	194	219
flgL	13802	18309	185	182
rluC	2057	2850	18	28
plsX	3753	5408	92	97
fabH	5493	7779	173	168
fabD	7955	11224	120	162
fabG	13468	18270	765	892
fabF	8084	13271	286	400
pabC	385	538	12	9
yceG	332	423	13	12
tmk	257	384	14	9
holB	308	452	9	4
ycfH	525	672	293	263
ptsG	18444	27338	368	455
fhuE	323	495	9	19
ycfM	854	1256	38	52
ycfN	531	772	24	22
nagZ	1513	2002	127	117
ndh	1816	2707	40	33
ycfQ	423	563	60	59
ycfS	338	411	18	11
mfd	2551	3579	30	38
lolC	691	875	5	7
lolD	386	516	5	7
lolE	1077	1478	169	177
ycfX	731	1044	121	133
cobB	932	1312	41	46
potD	5448	7821	75	69
potC	1097	1352	13	15
potB	513	663	12	7
potA	882	1099	11	14
pepT	1275	1923	273	309
ycfD	1220	1799	212	215
phoQ	1389	1803	45	61
phoP	1757	2369	126	139
purB	1267	1599	14	20
hflD	302	376	8	8
trmU	1180	1555	14	18
ymfC	151	198	4	4
icd	69772	99814	1315	1435
ycgE	845	1083	71	55
ycgF	306	295	20	18
ycgG	30	45	16	8
minD	4003	5884	89	100
minC	1551	2023	47	63
ycgM	809	1317	35	47
umuC	104	130	16	18
nhaB	281	385	9	7
fadR	731	980	125	106
ycgB	404	506	5175	5946
dadA	380	652	1674	1897
dadX	257	405	431	509
cvrA	928	1192	23	28
emtA	873	1319	114	103
ycgR	3366	3842	26	39
treA	99	104	162	164
dhaH	1040	1551	40	43
dhaL	591	817	17	15
dhaK	888	1161	51	35
dhaR	361	526	15	11
ychF	4559	6428	57	58
ychM	141	232	286	382
prsA	2953	3700	31	37
ispE	972	1331	20	17
lolB	726	960	17	16
hemA	973	1317	20	32
prfA	999	1271	10	13
prmC	274	343	1	7
ychA	1348	1922	32	34
kdsA	3567	5170	88	91
chaA	1202	1586	24	27
chaC	363	536	106	105
ychP	322	437	14	20
narL	355	533	5	2
narX	353	533	39	41
narK	17	37	35	29
narG	124	187	17	15
narH	63	142	2	6
narJ	20	47	5	2
narI	18	54	3	9
purU	4670	6088	39	37
rssA	783	1000	170	175
rssB	534	688	393	391
galU	3680	5678	314	427
tdk	956	1173	8	8
adhE	8731	11950	2055	2009
ychE	138	159	3	5
oppA	42043	58259	757	773
oppB	5576	7788	58	66
oppC	5705	7731	73	87
oppD	5577	8451	83	84
oppF	5545	8179	100	92
cls	1383	1989	101	100
kch	362	554	7	7
tonB	1124	1552	35	29
yciC	626	869	108	132
ompW	443	825	41	44
trpA	2004	2985	23	17
trpB	3725	5483	47	47
trpD	1909	2682	16	15
trpE	833	1084	5	6
yciV	842	1046	45	59
yciO	672	868	84	113
rluB	1425	2196	23	24
yciK	558	724	15	21
sohB	2838	4037	103	120
topA	8171	11701	208	226
cysB	1449	1925	61	87
acnA	3051	4144	1720	1940
pgpB	389	544	53	53
yciM	1076	1510	58	61
pyrF	1558	2431	11	9
deoT	372	402	18	18
gmr	486	588	641	662
rnb	6609	9053	31	37
fabI	9584	14235	260	299
sapF	148	182	35	31
sapD	313	389	90	96
sapC	129	173	61	62
sapB	147	208	107	108
sapA	289	412	196	223
puuP	99	142	21	26
puuA	683	924	177	174
puuD	477	662	429	389
puuB	55	99	28	29
puuE	82	106	18	24
pspF	200	261	9	14
pspA	1447	1929	310	284
ycjM	20	25	1	0
ycjN	10	11	0	0
ycjO	6	7	2	1
ycjP	12	9	1	1
ycjQ	15	35	1	3
ycjR	16	30	4	3
ycjS	49	58	0	3
ycjU	1	9	0	0
ompG	5	6	0	0
ycjW	178	205	1	1
ycjX	462	753	30	37
ycjF	397	574	20	26
tyrR	1341	2122	319	312
ycjG	381	471	194	219
mpaA	195	241	59	51
ycjZ	280	389	8	6
mppA	798	1135	138	140
ynaI	403	499	11	15
uspE	3015	4183	4784	4884
fnr	3109	4444	574	635
abgT	46	65	5	4
abgB	50	59	19	19
abgA	34	57	5	1
abgR	96	153	9	11
ydaM	229	328	52	64
ydaN	487	752	152	175
dbpA	200	287	6	5
ydaO	1397	2058	45	55
ompN	1567	2481	23	32
ldhA	836	1276	112	116
feaR	166	221	60	77
feaB	206	290	96	87
maoC	20	32	2	3
paaA	12	23	2	2
paaC	15	24	1	3
paaJ	17	36	1	3
paaF	9	33	2	0
paaG	19	20	0	0
paaH	39	56	2	2
paaE	147	185	116	109
paaK	122	170	65	81
paaX	398	554	115	101
ydbC	108	173	199	199
azoR	366	514	9	7
hrpA	2234	3219	142	156
ydcF	482	579	27	20
aldA	5976	7454	6400	6611
trg	1403	1839	178	165
ydcI	893	1038	216	275
ydcJ	75	114	364	347
mdoD	1625	2291	42	54
ydcK	176	230	206	253
tehA	224	306	12	29
ydcL	1092	1470	796	861
ydcO	40	70	9	3
ydcP	1347	2079	24	24
ydcR	439	623	13	18
ydcS	56	96	1206	1326
ydcT	25	24	172	209
ydcU	23	42	48	58
ydcV	66	105	29	47
ydcW	291	477	111	128
yncB	351	517	94	97
yncC	111	160	28	33
yncD	519	665	10	13
yncE	6407	8709	134	139
ansP	248	340	11	11
yncG	50	76	38	36
nhoA	178	255	22	16
narV	31	37	9	4
narW	31	21	5	2
narY	41	65	9	9
narZ	73	131	18	24
narU	22	21	8	6
yddG	160	266	3	3
fdnG	124	173	59	67
fdnH	31	47	8	12
fdnI	40	63	16	17
adhP	382	560	119	114
sfcA	3401	4678	52	65
ddpD	24	40	5	2
ddpC	25	26	3	4
ddpB	7	15	1	1
ddpA	32	40	13	20
dos	179	217	95	88
yddV	270	346	465	427
yddW	257	348	9	8
gadC	263	399	48	70
gadB	375	618	89	104
ydeM	13	20	1	1
ydeN	78	96	18	21
ydeO	21	27	2	3
ydeP	139	219	5	6
ydeQ	16	28	2	0
lsrK	83	168	89	113
lsrR	229	314	116	87
lsrC	6	28	52	70
lsrD	28	18	57	31
lsrB	57	57	64	58
lsrF	81	125	54	86
tam	136	165	93	88
yneE	139	208	25	24
uxaB	88	104	48	31
yneF	96	116	6	12
yneH	420	602	4	4
yneI	587	774	10	11
ydeA	256	340	3	12
marC	208	266	70	62
eamA	869	1172	50	33
ydeE	150	194	12	16
ydeH	253	403	43	41
dcp	3664	4978	40	54
ydfG	2413	3728	107	126
ydfH	568	786	12	6
ydfT	159	193	9	8
ydfU	10	22	3	2
rspB	84	109	12	8
rspA	65	76	5	3
ynfC	445	613	58	51
ynfF	184	267	10	9
ynfG	37	32	1	4
ynfH	196	301	6	14
dmsD	343	470	5	5
clcB	31	67	4	1
ynfK	209	315	122	115
dgsA	828	1116	36	44
ynfL	77	107	19	17
ynfM	154	169	6	11
ydgD	315	511	684	685
ydgG	179	273	30	29
pntB	25474	38427	485	541
pntA	42379	61030	449	474
ydgH	3530	4700	67	81
ydgI	100	139	10	12
folM	238	309	21	15
rstA	892	1075	15	12
rstB	845	1136	14	22
tus	197	260	64	52
fumC	1974	2515	455	417
fumA	2396	3340	1173	1343
manA	1211	1759	55	49
ydgA	4754	6473	2038	2189
uidC	11	19	7	6
uidB	10	11	3	3
uidA	50	63	25	34
hdhA	1289	1955	139	166
malI	80	158	163	369
malX	176	258	13	18
malY	382	505	12	12
add	193	310	27	14
ydgJ	1478	2029	80	75
rsxD	230	331	0	1
rsxG	161	252	3	2
rsxE	105	149	2	4
nth	118	140	0	2
ydgR	200	319	17	18
gst	704	908	179	169
pdxY	669	1075	16	15
tyrS	5469	8055	74	92
pdxH	1149	1566	8	10
anmK	472	704	49	51
ydhJ	73	114	5	2
ydhF	494	714	207	223
nemA	306	412	20	14
rnt	134	180	6	1
ydhO	297	312	11	17
ydhP	271	370	4	8
purR	2504	3496	22	30
ydhB	157	220	14	26
ydhC	101	131	8	7
cfa	1610	2166	212	213
ribC	2229	3092	42	45
mdtK	404	592	89	117
ydhQ	1548	2222	261	273
ydhS	207	288	276	268
ydhT	57	55	17	18
ydhU	58	89	13	9
ydhX	48	70	0	2
ydhV	35	48	8	7
ydhY	7	10	0	0
pykF	8919	12056	491	487
ynhG	786	1046	4124	3953
sufS	511	630	224	206
sufC	304	423	149	185
sufB	930	1190	687	649
ydiK	411	596	86	94
ydiM	11	14	2	2
ydiN	9	10	1	1
ydiB	84	110	2	4
aroD	430	641	9	10
ydiF	27	28	0	1
ydiO	27	42	0	1
ydiP	101	126	12	11
ydiQ	17	20	1	2
ydiR	27	38	11	4
ydiS	40	44	2	2
ydiD	78	103	5	6
pps	6263	9489	724	778
ydiA	241	276	19	12
aroH	689	899	9	13
ydiV	183	244	4	8
btuD	405	561	14	19
btuC	224	359	18	12
pheT	12702	18312	1820	2195
pheS	5056	6757	27	26
thrS	25147	32844	1108	1119
ydiY	330	354	4	6
pfkB	107	112	61	69
yniA	418	640	1984	2273
yniC	174	217	7	8
ydjN	8661	13446	68	66
katE	561	727	41	47
chbF	191	265	7	8
chbR	168	208	13	20
chbC	69	90	12	11
nadE	3006	4255	40	42
ydjQ	158	216	7	4
astE	22	33	318	384
astB	22	47	518	664
astA	33	43	850	964
astC	51	82	1880	1870
xthA	977	1422	33	25
ydjX	86	112	9	11
ydjZ	54	98	11	13
ynjE	290	446	8	8
ynjF	57	96	8	8
gdhA	23864	36228	108	91
topB	1488	2269	26	33
selD	2405	3602	168	167
sppA	1482	2160	40	56
ansA	425	515	6	7
pncA	433	583	29	29
ydjE	41	43	9	8
ydjF	364	544	48	49
ydjG	85	131	4	5
ydjH	39	85	0	0
ydjI	52	63	0	2
ydjJ	45	49	0	1
ydjK	17	34	1	1
ydjL	48	56	3	1
gapA	72681	99485	606	639
yeaD	1135	1379	11	10
yeaE	351	495	35	30
mipA	3217	4223	82	91
yeaG	1109	1539	11374	11387
yeaH	251	298	3527	3576
yeaI	24	25	22	21
yeaJ	233	280	7	11
yeaM	159	190	16	20
yeaN	71	105	7	7
yeaP	1337	1574	11	15
yeaS	52	72	9	7
yeaT	204	298	65	44
yeaU	97	149	21	19
yeaV	14	24	3	1
yeaW	23	28	1	2
yeaX	65	97	2	4
rnd	473	595	19	21
fadD	486	693	7334	8341
yeaZ	811	1077	6	13
yoaA	503	683	6	6
sdaA	265	373	1052	1073
adrB	103	151	14	15
yoaE	441	679	21	23
manX	7484	10399	236	262
manY	5202	7860	148	193
rrmA	456	555	9	3
kdgR	2102	2993	454	429
yebQ	28	33	7	5
htpX	3495	5526	2015	1915
prc	6818	10036	116	112
yebS	236	295	28	27
yebT	620	906	31	47
yebU	245	332	4	6
pphA	75	118	41	56
yebZ	1208	1558	13	9
yobB	127	197	60	61
exoX	215	312	22	14
ptrB	420	627	133	135
yebE	254	340	110	124
purT	1725	2664	12	11
eda	1312	2152	44	32
edd	1358	1685	19	25
zwf	7329	9929	110	107
yebK	635	809	79	75
pykA	2993	4126	241	230
lpxM	733	980	24	19
yebA	4992	6944	59	70
znuA	27900	39283	77	88
znuC	830	1048	17	12
znuB	621	866	21	22
ruvB	538	842	27	43
ruvA	419	609	34	37
yebB	13	25	2	3
yebC	3772	5296	53	64
aspS	4577	6751	106	130
yecE	160	225	9	16
yecO	441	590	10	12
yecP	552	784	10	16
torY	44	43	2	5
cutC	404	692	48	144
argS	3319	4773	72	81
flhA	1499	2235	25	23
flhB	909	1329	11	11
cheZ	4530	7035	57	68
cheB	4259	5290	42	44
cheR	2204	3132	34	40
tap	10187	14033	176	192
tar	16618	22064	276	290
cheA	14148	20066	171	210
motB	3502	4511	51	63
motA	4248	5905	83	96
otsA	828	1090	345	392
otsB	366	554	240	259
araH	152	169	218	221
araG	115	194	253	297
araF	84	87	336	333
tyrP	328	459	27	35
yecA	1441	1890	119	114
uvrC	1678	2427	41	33
uvrY	1943	2591	45	55
sdiA	346	478	72	84
yecC	577	854	21	48
yecS	381	573	23	32
yedO	1151	1627	134	119
fliY	14583	20634	1354	1437
fliA	9821	12939	130	145
fliD	5223	5758	66	76
amyA	1538	1992	157	174
yedE	691	905	38	43
fliF	3687	4903	33	41
fliG	2742	3950	38	31
fliH	1459	2275	17	22
fliI	1177	1644	8	14
fliM	2189	2928	19	10
fliP	348	506	3	1
fliR	215	264	6	5
rcsA	531	713	8	2
yedP	194	240	508	534
yedQ	291	370	156	176
yedI	541	737	118	158
yedA	36	40	3	3
dcm	913	1324	11	6
yedJ	354	509	17	7
hchA	309	350	410	440
yedW	411	583	9	15
yedZ	78	84	20	24
yodA	25725	34581	18	28
yeeI	697	913	250	225
shiA	1054	1539	30	31
amn	803	876	26	23
yeeN	3693	4980	10	16
yeeO	110	147	41	41
cbl	804	1080	13	13
nac	108	121	14	18
erfK	418	552	615	647
cobS	513	692	24	22
yeeA	260	391	47	45
dacD	287	360	20	19
yeeE	3830	5203	51	41
yeeF	5410	8007	16	23
yeeY	128	241	199	206
yeeZ	931	1338	443	465
hisG	1559	1987	16	20
hisD	1119	1466	19	23
hisC	861	1262	14	22
hisB	1741	2315	20	35
hisA	1259	1907	16	18
hisF	1097	1593	17	17
ugd	323	409	23	39
gnd	30300	44212	455	451
galF	8064	11472	202	227
wcaL	17	45	3	2
wcaK	34	31	0	2
wzxC	24	31	1	1
wcaJ	26	27	0	1
cpsG	35	67	1	2
cpsB	58	64	2	1
fcl	70	58	0	0
gmd	87	126	0	0
wcaE	18	22	0	0
wcaD	37	42	6	2
wcaC	31	67	1	2
wcaA	16	26	1	1
wzc	47	64	2	0
wza	30	20	0	2
yegH	500	706	130	149
asmA	1413	1963	63	72
udk	434	539	2	6
yegL	24	34	0	3
mdtA	85	100	12	6
mdtB	144	211	11	11
mdtC	144	216	7	12
baeS	61	124	5	9
baeR	183	225	15	18
yegQ	659	830	13	20
yegS	154	189	60	61
gatD	981	1399	59	77
gatZ	24870	33291	5940	6121
gatY	23621	32651	7189	6833
fbaB	1782	2482	482	563
yegT	66	99	6	2
yegU	88	124	4	3
yegV	74	105	2	5
yegW	155	201	9	14
yegX	253	337	4	8
thiD	770	1122	17	14
thiM	1542	2049	19	12
rncA	58	63	2	3
yehA	18	27	2	5
yehC	5	3	0	0
mrp	3858	5419	122	133
metG	2238	3022	25	27
yehL	1	3	0	0
yehP	11	10	3	4
yehT	281	389	9	14
yehU	609	661	34	40
mlrA	95	150	19	32
