	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2
aqpZ	126	73	45	49
ybjD	989	573	103	123
ybjX	2703	1847	63	65
macA	729	352	37	37
macB	739	396	90	188
clpA	21009	11675	3423	3625
aat	131	97	4	10
cydC	800	526	15	11
cydD	884	504	10	19
trxB	4538	2601	37	43
lolA	1242	718	58	75
ycaJ	539	316	13	14
serS	3290	2023	332	383
dmsA	128	86	12	14
dmsB	40	32	5	3
dmsC	107	57	13	15
ycaC	654	394	35	34
ycaD	212	128	15	23
ycaM	112	71	18	18
ycaN	95	80	3	3
pflA	418	283	181	164
pflB	33768	18345	2042	2257
focA	2323	1250	228	234
ycaO	1027	625	14	24
ycaP	367	183	61	80
serC	8434	5561	75	139
aroA	4675	3050	26	36
ycaL	70	42	5	8
cmk	6808	3907	240	300
rpsA	90301	49871	3885	4060
msbA	2421	1504	35	34
lpxK	383	205	21	21
kdsB	1208	721	54	55
ycbJ	347	152	104	135
smtA	1419	641	12	15
mukF	1948	1043	16	18
mukE	1228	703	7	10
mukB	7031	3760	55	62
ycbB	1014	565	2488	2530
ycbL	3089	1542	48	41
aspC	7070	4479	83	97
ompF	605735	266540	1732	1878
asnS	7270	4297	169	219
pncB	2315	1591	47	31
pepN	5590	2962	375	375
ssuC	21	8	1	0
ssuA	30	21	3	0
ycbR	21	7	2	8
ycbT	126	53	5	12
ycbF	100	59	4	2
pyrD	532	371	3	4
ycbX	829	497	6	7
ycbY	1634	862	26	28
uup	2638	1419	109	113
pqiA	463	262	55	64
pqiB	964	464	70	88
ycbZ	1998	1119	504	552
yccR	456	252	52	56
yccS	656	399	29	30
helD	1745	1001	130	140
yccT	50	25	15	13
yccW	841	529	318	326
yccA	4964	3346	458	434
hyaA	20	12	10	8
hyaB	26	18	8	9
hyaC	20	7	5	3
hyaF	28	12	3	0
appC	121	69	11	16
appB	63	40	2	3
appA	128	72	6	7
yccC	417	222	39	60
yccZ	81	42	6	3
ymcA	91	45	0	1
ymcB	14	4	0	0
ymcC	25	14	4	3
yccM	47	21	2	3
torR	250	106	6	10
torC	52	25	3	4
torA	151	88	6	14
cbpA	647	412	162	154
agp	5974	2414	3369	3394
rutG	118	54	21	10
rutD	7	1	0	1
rutB	7	5	1	1
rutA	12	4	5	0
rutR	294	176	39	37
putP	4979	1729	1338	1445
efeO	1044	492	2	7
efeB	615	283	5	10
phoH	2008	1017	2120	2519
ycdW	1691	932	25	27
ycdX	1613	803	25	35
csgG	159	122	7	13
csgD	260	147	16	11
ymdC	605	369	78	83
mdoC	257	134	13	12
mdoG	3496	2045	82	97
mdoH	2592	1539	74	75
mdtG	61	43	3	6
lpxL	175	133	27	31
yceA	1979	1141	15	8
solA	1027	632	19	18
pyrC	1226	678	7	11
grxB	838	450	63	75
mdtH	29	22	3	2
yceH	939	530	196	174
mviM	798	432	201	185
mviN	402	212	3	15
flgA	6326	3474	44	45
flgD	15489	8531	76	90
flgF	9522	5293	52	72
flgG	10614	5603	47	45
flgH	4009	2191	11	20
flgI	4120	2283	12	20
flgJ	2834	1579	11	12
flgK	29946	15519	194	219
flgL	27821	14532	185	182
rluC	1524	822	18	28
plsX	4133	2202	92	97
fabH	5366	2836	173	168
fabD	7908	4227	120	162
fabG	15880	8337	765	892
fabF	7768	4357	286	400
pabC	479	271	12	9
yceG	424	223	13	12
tmk	325	169	14	9
holB	332	184	9	4
ycfH	706	386	293	263
ptsG	40464	19861	368	455
fhuE	463	224	9	19
ycfM	1032	586	38	52
ycfN	625	290	24	22
nagZ	1629	895	127	117
ndh	882	549	40	33
ycfQ	1002	556	60	59
ycfS	522	273	18	11
mfd	2734	1622	30	38
lolC	717	390	5	7
lolD	389	256	5	7
lolE	1589	787	169	177
ycfX	1169	553	121	133
cobB	1158	579	41	46
potD	7904	3979	75	69
potC	1233	658	13	15
potB	404	283	12	7
potA	697	493	11	14
pepT	2025	1193	273	309
ycfD	1589	852	212	215
phoQ	1839	1022	45	61
phoP	2218	1375	126	139
purB	935	641	14	20
hflD	350	172	8	8
trmU	1370	788	14	18
ymfC	137	98	4	4
icd	109539	59606	1315	1435
ycgE	1146	582	71	55
ycgF	494	280	20	18
ycgG	46	28	16	8
minD	4925	2647	89	100
minC	1817	903	47	63
ycgM	976	560	35	47
umuC	131	71	16	18
nhaB	387	234	9	7
fadR	1020	485	125	106
ycgB	999	625	5175	5946
dadA	2135	869	1674	1897
dadX	1220	521	431	509
cvrA	1111	616	23	28
emtA	1108	610	114	103
ycgR	6182	3563	26	39
treA	430	242	162	164
dhaH	865	486	40	43
dhaL	553	294	17	15
dhaK	1051	523	51	35
dhaR	424	267	15	11
ychF	3352	2046	57	58
ychM	261	143	286	382
prsA	3540	2183	31	37
ispE	1287	749	20	17
lolB	819	513	17	16
hemA	990	590	20	32
prfA	831	527	10	13
prmC	250	121	1	7
ychA	1413	746	32	34
kdsA	3650	2092	88	91
chaA	987	670	24	27
chaC	501	244	106	105
ychP	299	179	14	20
narL	374	257	5	2
narX	390	272	39	41
narK	43	13	35	29
narG	198	84	17	15
narH	109	60	2	6
narJ	47	20	5	2
narI	49	27	3	9
purU	2332	1315	39	37
rssA	1310	632	170	175
rssB	752	456	393	391
galU	2992	1858	314	427
tdk	733	416	8	8
adhE	9227	5943	2055	2009
ychE	175	92	3	5
oppA	90652	47682	757	773
oppB	11042	5701	58	66
oppC	10238	5214	73	87
oppD	10245	5249	83	84
oppF	10204	4882	100	92
cls	1923	987	101	100
kch	315	194	7	7
tonB	1204	610	35	29
yciC	723	427	108	132
ompW	1343	621	41	44
trpA	1647	978	23	17
trpB	3174	1993	47	47
trpD	1524	902	16	15
trpE	554	342	5	6
yciV	805	485	45	59
yciO	746	446	84	113
rluB	1315	802	23	24
yciK	885	496	15	21
sohB	2691	1559	103	120
topA	9134	5232	208	226
cysB	1396	808	61	87
acnA	8151	4597	1720	1940
pgpB	521	274	53	53
yciM	1498	759	58	61
pyrF	1146	697	11	9
deoT	581	338	18	18
gmr	768	403	641	662
rnb	4588	2642	31	37
fabI	8328	4924	260	299
sapF	176	96	35	31
sapD	330	209	90	96
sapC	146	88	61	62
sapB	183	121	107	108
sapA	378	250	196	223
puuP	336	207	21	26
puuA	1934	1138	177	174
puuD	1466	814	429	389
puuB	191	176	28	29
puuE	202	178	18	24
pspF	268	159	9	14
pspA	1867	874	310	284
ycjM	66	27	1	0
ycjN	17	11	0	0
ycjO	17	12	2	1
ycjP	16	13	1	1
ycjQ	35	21	1	3
ycjR	44	24	4	3
ycjS	50	26	0	3
ycjU	10	5	0	0
ompG	15	9	0	0
ycjW	181	100	1	1
ycjX	545	325	30	37
ycjF	446	284	20	26
tyrR	1817	1004	319	312
ycjG	1055	443	194	219
mpaA	349	221	59	51
ycjZ	261	190	8	6
mppA	1983	909	138	140
ynaI	482	305	11	15
uspE	5054	2629	4784	4884
fnr	3771	2501	574	635
abgT	68	35	5	4
abgB	102	60	19	19
abgA	85	47	5	1
abgR	418	165	9	11
