	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2
metF	4404	2423	37	43
katG	9272	4945	315	358
yijE	104	55	6	4
yijF	13	9	0	0
gldA	220	120	43	43
fsaB	70	45	10	6
ptsA	66	31	15	20
frwC	73	33	11	2
pflD	166	78	15	9
pflC	68	30	4	0
yijO	64	35	1	3
yijP	844	470	24	38
ppc	7400	4734	104	113
argE	1798	979	60	81
argC	2564	1154	27	23
argB	2310	962	17	19
argH	3892	1715	49	53
oxyR	1475	875	41	39
sthA	3761	2015	125	138
fabR	3849	1730	63	66
trmA	1061	621	148	174
btuB	2559	1323	55	39
murI	297	209	10	9
murB	2020	1053	19	34
birA	766	383	24	20
coaA	1398	743	9	18
tufB	163475	86216	1930	2154
rplA	24218	13173	327	367
rpoB	45087	25157	757	862
rpoC	45883	24668	875	1011
thiH	3330	2035	20	22
thiG	1607	1005	6	19
thiF	1824	1000	13	18
thiE	1492	949	18	18
thiC	5708	3529	65	54
nudC	538	282	54	44
hemE	639	391	29	26
nfi	309	159	3	2
yjaH	626	337	7	7
zraR	381	204	45	29
purD	1289	770	18	15
purH	1359	902	14	18
metA	2830	1533	55	71
aceA	69521	37379	1230	1198
aceK	9744	5271	575	632
iclR	956	590	41	23
metH	7644	4002	171	192
yjbB	465	244	70	65
pepE	643	270	12	13
yjbC	651	395	24	23
lysC	2937	1560	22	30
pgi	8932	5207	213	254
yjbF	4	2	0	0
yjbG	5	7	1	0
yjbH	104	43	13	6
xylE	89	47	13	28
malG	532	287	37	50
malF	2085	960	14	16
malE	22750	11078	140	131
malK	5572	2495	30	18
malM	1813	927	55	75
ubiA	948	450	181	176
plsB	3286	1746	150	169
lexA	1678	933	514	560
dinF	156	87	6	10
yjbM	11	10	2	2
yjbN	622	428	7	10
qor	1323	755	270	382
dnaB	1462	786	14	13
alr	517	307	4	11
tyrB	3682	2097	37	49
aphA	1286	454	8	17
uvrA	1319	782	80	97
yjcC	173	95	182	201
yjcE	619	379	22	45
actP	7670	3460	250	318
acs	29556	11825	2796	3309
nrfA	102	49	4	3
nrfC	7	7	0	2
nrfD	20	8	0	0
gltP	310	204	12	15
yjcO	743	383	31	41
fdhF	363	199	37	22
yjcQ	39	23	5	5
yjcR	12	13	2	3
phnL	22	16	9	9
phnK	30	13	5	2
phnJ	5	2	0	0
phnI	5	2	0	0
phnF	3	2	0	0
phnD	11	7	0	1
phnC	9	6	0	0
yjcZ	4050	2308	47	48
proP	2108	1729	58	77
basS	193	114	28	32
basR	217	93	65	88
eptA	123	59	61	51
adiC	24	8	8	8
adiY	9	10	4	8
adiA	78	35	5	4
melR	376	156	160	154
melA	307	148	116	105
melB	178	90	47	48
yjdF	166	86	8	7
fumB	298	122	24	26
dcuB	32	20	14	12
dcuR	749	369	12	19
dcuS	1307	636	25	32
lysU	861	518	23	29
yjdL	132	67	6	3
cadA	100	49	4	3
cadB	13	5	1	2
cadC	69	44	23	14
dipZ	692	417	7	5
dcuA	2441	1511	492	523
aspA	9167	3666	5076	5050
yjeH	290	173	12	18
groL	45051	28059	807	877
yjeJ	464	269	7	6
yjeK	717	406	20	17
frdB	752	310	331	376
frdA	2303	882	1145	1249
poxA	246	136	26	28
yjeP	732	442	12	13
psd	1146	694	20	21
rsgA	2135	1142	35	42
yjeS	426	214	82	65
yjeF	671	274	112	121
amiB	845	525	33	40
mutL	1109	596	33	47
miaA	8064	4539	620	633
hflX	6823	3838	216	232
hflK	5926	3503	144	137
hflC	4646	2795	111	123
purA	12429	7136	401	435
rnr	3977	2220	828	945
rlmB	467	302	50	55
yjfJ	21	15	2	3
yjfK	21	12	1	0
yjfC	24	6	2	3
aidB	285	173	275	304
yjfP	194	125	29	28
ulaR	497	242	25	34
ulaG	69	39	18	28
ulaA	78	38	5	11
ulaD	94	50	4	8
ulaE	106	49	12	6
ulaF	70	37	5	7
ytfB	1027	552	189	201
fklB	651	360	38	31
cycA	4379	1897	656	724
ytfE	92	41	11	10
ytfF	65	38	3	9
ytfG	147	74	12	6
cpdB	3135	1352	56	54
cysQ	1196	597	1412	1342
ytfL	261	159	33	27
msrA	363	224	60	37
ytfM	861	478	19	37
ytfQ	1328	476	1168	1185
ytfT	118	41	115	165
yjfF	141	47	131	200
fbp	906	505	128	122
mpl	2058	1130	35	36
pmbA	1485	853	136	124
nrdD	588	306	972	1261
treC	237	105	5	3
treB	435	173	10	13
treR	218	141	17	13
mgtA	5460	2881	82	97
pyrB	13369	7172	35	44
yjgI	32	23	0	4
argI	4681	1997	41	49
valS	8592	5002	229	261
pepA	4927	2711	297	302
yjgP	1467	882	194	224
yjgQ	937	530	143	159
yjgB	312	174	115	123
yjhT	340	185	83	88
yjhA	82	44	13	12
fimB	384	274	1	1
fimC	407	280	3	4
fimH	146	109	11	13
gntP	462	174	27	32
uxuA	922	434	64	53
uxuB	916	434	26	30
uxuR	564	292	129	133
yjiE	189	105	8	13
iadA	514	338	37	51
yjiH	14	12	0	0
yjiK	92	47	6	4
hgdC	59	22	2	7
yjiM	266	95	22	28
yjiN	161	95	45	44
yjiY	149	67	8	19
tsr	21818	11496	171	179
mdoB	2049	1152	84	120
dnaC	281	189	20	21
yjjP	65	36	1	6
yjjQ	4	3	1	1
bglJ	226	106	12	10
rsmC	535	329	10	19
yjjG	249	126	36	41
prfC	1983	1156	22	19
osmY	3121	1809	732	757
yjjU	728	379	23	38
yjjW	41	20	1	3
yjjI	64	47	72	72
deoC	330	184	131	157
deoA	739	353	139	185
deoB	2219	1246	335	372
deoD	3216	1798	145	202
ytjB	270	190	13	19
serB	885	437	8	14
radA	1101	632	21	19
nadR	1206	647	276	307
slt	1325	673	98	100
ytjC	1340	577	28	43
rob	1481	811	624	659
creB	632	362	20	18
creC	324	179	9	2
arcA	7612	4086	4573	4272
yjtD	255	158	23	19
