"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_chemostat1","K12_chemostat2","K12_starvation1","K12_starvation2"
"11","accA","accA",800,455.177051518737,-1.05921425151391,0.18088469288538,-5.85574287474452,4.74882457681245e-09,1.3741911119151e-08,621.16812591113,610.235270484161,294.788277396342,294.516532283315
"12","accC","accC",321,985.941612260719,-1.88859089734305,0.162842352873271,-11.5976640230249,4.23480033012788e-31,3.05406939696138e-30,1559.12105355674,1549.81956053271,393.051036528455,441.774798424972
"13","accD","accD",554,905.290678703833,-1.22932535574286,0.152338488303193,-8.06969643348557,7.04731664923536e-16,2.94486246263174e-15,1275.34606708648,1264.97716523378,538.309028288972,542.530454206106
"14","aceA","aceA",409,8724.84039020751,-1.33465891635514,0.129443244627927,-10.3107653102447,6.29976346052734e-25,3.56575853572636e-24,12678.8694308478,12323.0600623595,5254.92146663044,4642.51060099225
"15","aceE","aceE",334,3665.94840848657,-1.4442682635447,0.126472344114942,-11.4196370254046,3.33624397361111e-30,2.31239664638016e-29,5518.65751323277,5210.57182604115,1931.0768316398,2003.48746303255
"16","aceF","aceF",701,2274.02626124117,-0.874122323765553,0.134442819243115,-6.50181488819318,7.93567159134841e-11,2.62069611040964e-10,3013.92379589176,2875.12792754855,1525.20891348542,1681.84440803893
"17","aceK","aceK",1104,2105.12541500034,0.48004453005091,0.121020441399995,3.9666400526856,7.28929497014565e-05,0.000152850705216369,1777.05878416854,1737.73641854242,2456.56897830285,2449.13747898757
"18","ackA","ackA",129,1429.58537366147,2.40968242520666,0.140966599797829,17.0939955185312,1.64506117834479e-65,2.95218343245596e-64,450.283060151081,451.98949531809,2576.19320681151,2239.87573236521
"19","acnA","acnA",76,4467.08409615987,2.30468203400504,0.112643419036448,20.4599794086445,4.8958998416337e-93,1.49131685965553e-91,1486.53593490946,1515.53297591339,7348.34546553199,7517.92200828462
"20","acnB","acnB",539,4380.42407277562,-1.1724777093307,0.142477725616708,-8.2292000679804,1.88467771042673e-16,8.09467328318716e-16,5983.34817231132,6163.3432640202,2460.84127217816,2914.1635825928
"21","acrA","acrA",422,686.791909855698,-1.76620357983993,0.175639274143906,-10.0558578851381,8.65641584203409e-24,4.74872101286941e-23,1040.62986683761,1084.64291728411,311.877452897579,310.017402403489
"22","acrB","acrB",810,1227.01521013026,-0.929093989552457,0.161353348804283,-5.75813267240842,8.5049500535471e-09,2.43073572518044e-08,1583.37688466249,1638.83280906362,751.923722054437,933.927424740512
"23","acrD","acrD",1889,45.4182840449607,0.424047816769306,0.399387539556779,1.06174523431525,0.288351358068117,0.35337924506495,40.487176732904,37.2536929036792,34.1783510024744,69.7539155407851
"24","acrE","acrE",2345,1.75536078173374,-1.54808516771413,1.3299954835526,-1.16397776297629,0.244433023548627,NA,2.73562004952054,4.28582307741442,0,0
"25","acrF","acrF",990,82.0391863494029,1.31985837697841,0.285739955292232,4.61908932416738,3.85427918571349e-06,9.01278415649163e-06,46.3231661718811,47.1440538515586,106.807346882732,127.882178491439
"26","acrR","acrR",1541,107.457204030095,-0.603229152818127,0.297226002217776,-2.02953021713135,0.0424043144570623,0.0637027825879944,123.832400908296,136.486981080736,72.6289958802581,96.8804382510904
"27","acs","acs",614,8514.28620870255,1.40856762299717,0.191089382384398,7.37125006853427,1.69035425609555e-13,6.37324120987166e-13,5390.26574557527,3898.45060695581,11945.3336753648,12823.0948069143
"28","actP","actP",1987,1209.9736645062,-0.141701295174962,0.177898388614238,-0.796529391180897,0.425724399319523,0.495999992161397,1398.81371865484,1140.68829598876,1068.07346882732,1232.31917455387
"29","ada","ada",500,103.557904014555,2.41523753125462,0.273970479833427,8.81568529836889,1.18955183284313e-18,5.50762498606367e-18,28.8151978549497,36.2646568088913,170.891755012372,178.260006382006
"30","add","add",2183,81.5592755933531,0.0981468136102654,0.337132281335752,0.291122562400129,0.770957584605403,0.817575267229276,77.5092347364153,79.1228875830355,115.351934633351,54.2530454206106
"31","adhE","adhE",204,5051.73187879705,2.17965651670534,0.149532523577385,14.5764711553025,3.96488337159794e-48,4.49936519865159e-47,1682.77107979507,1959.28050377492,8779.56391376061,7785.31201785763
"32","adhP","adhP",826,350.630991531483,1.06175638988816,0.189178111256557,5.61246955493832,1.99459311359558e-08,5.59017319367284e-08,242.011187047584,210.335009491569,508.402971161807,441.774798424972
"33","adiA","adiA",2001,15.6565795483551,0.476111212309198,0.614777062396739,0.77444530941518,0.438667498214857,0.507503877245075,14.2252242575068,11.5387544391927,21.3614693765465,15.5008701201745
"34","adiC","adiC",887,18.0486282270393,3.03362355038254,0.582312262130568,5.20961646811816,1.89231390525946e-07,4.93878995566589e-07,4.37699207923286,2.63742958610118,34.1783510024744,31.0017402403489
"35","adiY","adiY",997,13.2572686884812,3.16050467990101,0.688441441505603,4.59081119955398,4.41526598810672e-06,1.02520970536279e-05,1.64137202971232,3.29678698262648,17.0891755012372,31.0017402403489
"36","adk","adk",237,618.091263985482,-3.09677630272682,0.226712224170025,-13.659502984737,1.77188969141731e-42,1.73076988845193e-41,1127.25783507243,1090.24745515458,115.351934633351,139.50783108157
"37","aegA","aegA",1995,24.8120324439104,0.39578412511593,0.503691345743929,0.785767173607828,0.43200390125239,0.501381930981829,23.1615830859406,19.4510431974962,25.6337632518558,31.0017402403489
"38","aer","aer",293,933.993267898408,-2.53575898456927,0.209119116199907,-12.1259071415796,7.70027857855577e-34,6.0840085014869e-33,1761.9216865612,1428.16812087379,286.243689645723,259.639574512922
"39","aes","aes",1102,58.9001578648657,1.6403206142648,0.412150004786457,3.97991167103028,6.89408788688621e-05,0.000144825893449561,36.1101846536711,19.4510431974962,102.535053007423,77.5043506008723
"40","agaC","agaC",2342,1.03287439687972,-0.937207173250623,1.38745220384342,-0.675487898361067,0.499365837395513,NA,1.82374669968036,2.30775088783854,0,0
"41","agaD","agaD",1878,7.76522500098592,0.888657957142637,0.811377878925854,1.09524548329946,0.273409104247501,0.337029859602218,4.5593667492009,5.93421656872766,12.8168816259279,7.75043506008723
"42","agaI","agaI",2343,1.69047642800479,-1.51786116988835,1.32970704188277,-1.14150043737391,0.253661730089346,NA,3.46511872939268,3.29678698262648,0,0
"43","agaR","agaR",1222,196.587390708443,-0.781997671721875,0.235282228605368,-3.32365804403143,0.000888450644622184,0.00168311230957476,256.054036635122,241.654485826521,145.257991760516,143.383048611614
"44","agaS","agaS",1883,9.45476040295062,0.800032811401679,0.742629090327277,1.07729796990461,0.28134716896078,0.345894156210412,7.1126121287534,6.26389526699031,12.8168816259279,11.6256525901308
"45","agp","agp",77,7357.79925472004,3.8512069224303,0.189148239551998,20.3607865003236,3.72555232548965e-92,1.12008488746864e-90,1089.50627838905,795.844377606032,14393.358065917,13152.488296968
"46","ahpF","ahpF",759,506.547894818245,-1.07964942314796,0.176279316470656,-6.12465174453797,9.08821642640452e-10,2.7719658797268e-09,686.823007099623,690.347194161985,311.877452897579,337.143925113795
"47","aidB","aidB",27,615.489535145911,4.42458238015888,0.162520846925283,27.2247066383615,3.31276593047102e-163,2.84039004779274e-161,51.9767809408902,57.0344147994381,1174.88081571006,1178.06612913326
"48","ais","ais",1717,6.95223719023384,1.27690772247816,0.831238078281256,1.53615162231068,0.124501197897793,0.167862710036919,4.01224273929679,3.62646568088913,8.5445877506186,11.6256525901308
"49","alaS","alaS",203,1765.31453226072,-2.1049828072795,0.144361510916681,-14.5813298427889,3.69253020315789e-48,4.21093961591651e-47,2842.49160612181,2891.61186246168,645.116375171704,682.038285287676
