"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_chemostat1","K12_chemostat2","K12_starvation1","K12_starvation2"
"76","acnA",4467.08409615987,2.30468203400504,0.112643419036448,20.4599794086445,4.8958998416337e-93,1.49131685965553e-91,1486.53593490946,1515.53297591339,7348.34546553199,7517.92200828462
"77","agp",7357.79925472004,3.8512069224303,0.189148239551998,20.3607865003236,3.72555232548965e-92,1.12008488746864e-90,1089.50627838905,795.844377606032,14393.358065917,13152.488296968
"78","ytfQ",2495.32316038838,4.55299343382456,0.224366119462086,20.2926959058715,1.49186005380041e-91,4.42776413403582e-90,242.193561717552,156.92706037302,4990.03924636126,4592.13277310169
"79","garK",329.503758106777,3.83890281333013,0.189222982827493,20.28771957807,1.65076448509648e-91,4.83736681392195e-90,44.8641688121368,39.8911224897804,593.848848667992,639.410892457197
"80","rplC",4286.61263813768,-2.58541247024484,0.127860518287678,-20.2205692958934,6.45341492756453e-91,1.86745694466399e-89,7346.05170631249,7359.41758131709,1204.78687283722,1236.19439208391
"81","yohF",309.011291321497,3.83526114727804,0.190237915854181,20.1603404350676,2.18374440343969e-90,6.24119542464554e-89,38.8458047031917,41.5395159810936,551.1259099149,604.533934686804
"82","yggG",1166.51981400336,3.06801120495753,0.15252102688166,20.1153327359773,5.41743687756511e-90,1.52943492336137e-88,264.990395463556,228.467337896015,2157.5084070312,2015.11311562268
"83","yfcG",214.228207250735,4.53068225966592,0.226848401079636,19.9722909136812,9.59500330726637e-89,2.67619670558092e-87,16.4137202971232,18.7916858009709,418.684799780311,403.022623124536
"84","ycbZ",1256.412810923,2.54451961464487,0.127514102907342,19.9548093632737,1.36141217154771e-88,3.75198711563447e-87,364.384590596136,368.910463355903,2153.23611315589,2139.12007658408
"85","znuA",1836.85608208746,-3.30518670952182,0.166358145589751,-19.8678982493145,7.71667540748307e-88,2.10165924333215e-86,3292.95704094286,3384.48151636434,328.966628398816,341.019142643838
