"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_K12ref_batch1","IAI1_K12ref_batch2"
"1708","pnp",8888.67157915434,-0.0613719051739551,0.0604258822578325,-1.01565592227658,0.309793264671862,0.999909243911142,9026.35978360878,9304.05076795951,8492.72689865861,8731.54886639048
"1709","truB",1096.97546039096,-0.149094291451681,0.0648986699741683,-2.29733970682334,0.0215993983494992,0.999909243911142,1138.12760888095,1291.87172026504,923.196889346427,1034.70562307143
"1710","infB",13940.5166157786,0.0210549756882445,0.0615037568605407,0.342336415903609,0.732097733371348,0.999909243911142,13370.7460919506,14202.3977072978,13663.9984456557,14524.9242182102
"1711","nusA",5553.78200365158,0.0297833282590186,0.0615302026412134,0.484044046347241,0.628354609962537,0.999909243911142,5352.23149115219,5581.72835657991,5528.05848199005,5753.10968488417
"1712","argG",13065.5862751757,-0.0239273137776042,0.0612957448766594,-0.390358479626134,0.69627148577891,0.999909243911142,12834.8674337734,13621.9915721062,12565.402703375,13240.0833914482
"1713","yhbX",56.7662431538196,0.00529179356359189,0.0398482200693037,0.132798743692653,0.894352547947966,0.999909243911142,56.5376565966781,54.9981620040368,58.18108292452,57.3480710900437
"1714","glmM",1760.82298237643,0.0367473815252358,0.0636889635294822,0.576981936724801,0.563951657892642,0.999909243911142,1745.29287754963,1701.43250114616,1822.43686219452,1774.12968861539
"1715","folP",397.00272333432,0.0216074138643493,0.0611480501152564,0.35336227113738,0.723816866955391,0.999909243911142,420.345186001389,355.732792536749,439.780538576519,372.152376222624
"1716","ftsH",9813.79175720051,0.024657954057925,0.0597355440749881,0.412785292906531,0.679763927645159,0.999909243911142,9688.42393621915,9698.39929126505,9944.68715928964,9923.6566420282
"1717","rrmJ",1452.69151206152,0.0370100808587149,0.0641500688182671,0.576929714036036,0.563986936850311,0.999909243911142,1438.02300474159,1403.03821793277,1506.71892691294,1462.98589865877
"1718","dacB",179.781465698374,0.00979748069948314,0.052416356084328,0.186916478583915,0.851726118857203,0.999909243911142,199.110877579605,154.462923075167,204.489394396475,161.06266774225
"1719","obgE",1069.74530730684,-0.0401218343814339,0.0646724442102821,-0.620385310488313,0.535004141177146,0.999909243911142,1102.07461047148,1091.77202446311,1045.54828432005,1039.58630997271
"1720","yhbE",536.420016601079,0.0257612169984394,0.0645181856871263,0.399286134972324,0.689682382158298,0.999909243911142,521.129704282424,530.088667826142,544.164246176393,550.297448119355
"1721","ispB",1028.29535089624,0.0271427655576147,0.0648073372173362,0.418822416150033,0.675345921115898,0.999909243911142,990.638069933098,1029.75282050111,1027.5805969463,1065.20991620443
"1722","murA",2595.75828650854,0.022642608021709,0.0640630159492801,0.353442742059406,0.723756547307678,0.999909243911142,2665.46372331875,2456.19451162709,2740.50012657702,2520.87478451128
"1723","yrbC",1068.4464727964,0.0317614977332939,0.0646725564750461,0.491112451160781,0.62334691554481,0.999909243911142,1043.07879489234,1050.815946375,1086.61728403148,1093.27386588679
"1724","yrbE",811.693298187307,0.0300134126298037,0.0649422473019814,0.462155436202282,0.643969858182792,0.999909243911142,768.584375183827,820.291735421911,802.556702694114,855.340379449375
"1725","yrbF",1101.46595138492,0.0227185119837788,0.064937770072162,0.349850510088858,0.726450889875585,0.999909243911142,1039.80124958238,1129.21758157225,1070.36080497904,1166.48416940599
