	IAI1_batch1	IAI1_batch2	IAI1_K12ref_batch1	IAI1_K12ref_batch2
pntB	26422	18184	25656	17677
pntA	35926	23832	34653	22980
ydgH	3349	2354	3344	2352
ydgI	152	113	141	105
folM	207	148	206	147
rstA	661	499	660	499
rstB	738	532	728	527
tus	117	62	117	62
fumC	814	421	741	382
fumA	3208	2383	3077	2267
manA	657	491	610	456
ydgA	2375	1778	2212	1663
uidC	13	12	13	12
uidB	7	8	7	6
uidA	21	18	21	17
hdhA	675	540	645	506
malI	81	64	78	62
malX	112	108	112	106
malY	393	300	354	268
add	183	114	183	114
ydgJ	1395	938	1395	937
rsxD	272	153	268	148
rsxG	214	105	212	105
rsxE	135	91	133	91
nth	151	79	151	79
ydgR	210	123	197	119
gst	644	441	641	439
pdxY	490	327	489	326
tyrS	6087	4221	6073	4207
pdxH	663	472	629	442
anmK	378	257	341	236
ydhJ	39	29	34	26
ydhF	233	161	233	161
nemA	222	142	219	139
rnt	138	77	138	77
ydhO	282	190	281	190
ydhP	361	256	361	256
purR	2158	1563	2082	1505
ydhB	118	85	117	84
ydhC	66	51	64	49
cfa	585	305	551	296
ribC	887	639	847	610
mdtK	152	102	150	102
ydhQ	587	415	543	394
ydhS	19	17	18	16
ydhT	17	17	17	17
ydhU	42	32	41	32
ydhX	25	16	25	16
ydhV	26	16	24	16
ydhY	4	2	4	2
pykF	5250	3691	5240	3684
ynhG	252	200	247	198
sufS	805	297	669	241
sufC	603	219	578	211
sufB	1221	457	1177	438
ydiK	464	299	463	298
ydiM	5	6	5	6
ydiN	3	5	2	3
ydiB	53	34	53	34
aroD	382	221	352	202
ydiF	25	9	22	8
ydiO	27	14	27	14
ydiP	75	47	75	47
ydiQ	7	9	7	9
ydiR	13	17	13	17
ydiS	18	11	17	9
ydiD	32	36	32	36
pps	7622	5474	7334	5205
ydiA	179	108	180	107
aroH	476	300	452	283
ydiV	253	197	225	179
btuD	246	164	244	162
btuC	262	184	253	173
pheT	15295	10576	14529	10081
pheS	5466	3745	5288	3630
thrS	19354	14094	17661	12958
ydiY	91	58	90	58
pfkB	241	90	233	89
yniA	145	108	144	107
yniC	338	240	318	221
ydjN	7611	5672	7442	5524
katE	82	54	67	49
chbF	107	77	105	76
chbR	80	80	80	80
chbC	36	40	36	40
nadE	1778	1244	1703	1205
ydjQ	92	51	88	48
astE	6	12	6	12
astB	12	9	12	9
astA	12	6	12	6
astC	11	11	11	11
xthA	645	427	643	427
ydjX	45	29	41	29
ydjZ	37	26	36	25
ynjE	343	270	306	247
ynjF	57	45	57	45
gdhA	12043	7309	10722	6485
topB	1081	740	990	670
selD	1449	961	1137	777
sppA	1164	819	1160	832
ansA	391	257	383	252
pncA	466	292	428	273
ydjE	35	25	35	25
ydjF	241	227	241	227
ydjG	89	66	89	66
ydjH	43	28	43	28
ydjI	53	36	53	36
ydjJ	43	41	43	41
ydjK	27	24	26	22
ydjL	32	35	31	35
gapA	42272	29884	42177	29814
yeaD	595	325	571	313
yeaE	257	165	236	153
mipA	4362	3193	4343	3184
yeaG	284	188	279	183
yeaH	45	32	45	30
yeaI	2	3	2	3
yeaJ	155	113	151	110
yeaM	70	37	67	34
yeaN	50	40	48	37
yeaP	940	695	918	680
yeaS	26	25	25	24
yeaT	70	62	69	62
yeaU	67	44	61	42
yeaV	21	15	20	13
yeaW	56	34	54	34
yeaX	55	33	54	33
rnd	235	156	235	155
fadD	429	319	399	302
yeaZ	581	395	504	339
yoaA	515	332	476	309
sdaA	151	112	151	111
adrB	31	41	31	41
yoaE	335	233	335	233
manX	5828	3975	5824	3973
manY	4750	3406	4784	3427
rrmA	228	185	210	177
kdgR	1301	1050	1295	1048
yebQ	16	19	14	18
htpX	4203	3013	4184	2995
prc	5880	4217	5662	4041
yebS	180	115	170	110
yebT	466	341	433	319
yebU	340	239	324	229
pphA	37	26	37	25
yebZ	864	636	862	634
yobB	124	69	124	69
exoX	210	131	210	131
ptrB	208	111	206	109
yebE	238	150	235	149
purT	1577	1101	1529	1065
eda	1079	752	1077	747
edd	684	421	679	420
zwf	4412	2853	4325	2793
yebK	368	234	366	231
pykA	1852	1175	1843	1171
lpxM	616	421	605	413
yebA	3632	2652	3605	2637
znuA	19263	13534	18914	13275
znuC	892	656	839	623
znuB	767	571	736	552
ruvB	576	377	516	341
ruvA	367	223	364	222
yebB	24	14	23	13
yebC	3200	2356	3074	2270
aspS	5329	3743	5006	3531
yecE	61	35	61	34
yecO	293	185	279	176
yecP	467	364	335	248
torY	4	6	4	6
cutC	641	459	641	459
argS	2985	2213	2877	2127
flhA	125	95	125	95
flhB	6	5	6	5
cheZ	31	34	31	34
cheB	12	11	12	11
cheR	10	9	10	9
tap	16	7	16	7
tar	15	7	15	7
cheA	56	36	53	35
motB	19	12	17	12
motA	16	8	16	8
otsA	111	85	111	85
otsB	24	20	24	20
araH	29	22	28	21
araG	54	31	52	28
araF	34	19	34	19
tyrP	331	264	331	264
yecA	795	606	795	606
uvrC	968	704	968	704
uvrY	1302	1077	1302	1077
sdiA	260	180	234	155
yecC	381	264	359	246
yecS	283	182	260	167
yedO	771	435	738	417
fliY	6432	4397	5941	4083
fliA	3	3	3	3
fliD	22	12	22	12
amyA	132	85	124	79
yedE	1487	1062	1427	1007
fliF	9	3	9	3
fliG	13	8	12	8
fliH	6	3	5	3
fliI	7	3	7	2
fliM	13	5	11	4
fliP	6	4	5	4
fliR	14	10	13	8
rcsA	63	38	63	37
yedP	19	23	17	18
yedQ	177	101	154	90
yedI	312	230	299	224
yedA	24	14	21	12
dcm	818	520	801	500
yedJ	213	128	193	121
hchA	158	124	135	108
yedW	435	357	429	353
yedZ	65	43	60	41
yodA	17212	16450	17156	16396
