	IAI1_batch1	IAI1_batch2	IAI1_K12ref_batch1	IAI1_K12ref_batch2
hcaR	506	357	485	333
hcaE	21	13	21	13
hcaB	13	7	13	7
yphB	29	24	29	24
yphC	27	19	26	17
yphD	9	2	9	2
yphE	26	22	24	19
yphF	13	10	12	9
yphH	126	93	120	91
glyA	22427	15714	21403	14955
hmp	386	296	383	294
yfhA	424	326	374	284
yfhG	317	238	240	153
yfhK	395	241	377	229
yfhD	241	194	261	213
yfhB	212	187	221	194
yfhH	143	123	143	123
pdxJ	1201	850	1000	702
recO	474	341	466	337
era	1511	1018	1155	758
rnc	1018	691	1072	740
lepB	1660	1136	1527	1051
lepA	4341	3036	4270	2982
rseB	873	647	872	646
rseA	2194	1616	2192	1615
yfiC	192	135	176	126
srmB	506	280	481	268
yfiE	93	70	76	59
ung	340	274	303	249
yfiF	970	675	888	616
yfiP	70	62	66	61
yfiQ	405	335	384	320
pssA	2042	1401	2019	1382
kgtP	795	563	744	523
clpB	3454	2614	3350	2544
yfiH	328	257	302	237
rluD	671	483	601	438
yfiO	2593	1901	2583	1895
pheA	1982	1349	1854	1253
tyrA	4932	3013	4567	2814
aroF	5935	4057	5927	4049
yfiN	87	54	86	52
trmD	24226	17483	24215	17466
ffh	1920	1287	2035	1354
ypjD	361	225	343	219
yfjD	495	366	465	360
yfjB	226	168	226	167
recN	255	167	255	167
gabT	82	57	74	51
gabP	28	18	21	16
csiR	166	109	160	105
nrdF	164	68	163	68
proV	793	461	788	457
proW	295	161	282	154
proX	412	201	357	178
ygaZ	780	478	779	477
emrA	405	304	391	288
emrB	321	261	292	238
gshA	2460	1838	2393	1788
alaS	14322	9894	14021	9713
recA	3395	2377	3293	2304
mltB	184	103	183	103
srlE	15	4	14	4
srlD	82	57	82	57
srlR	201	116	188	110
gutQ	205	153	186	133
norV	13	3	9	3
norW	22	11	21	11
ascG	338	238	332	236
ascF	16	13	12	13
hycG	37	17	31	14
hycE	17	4	15	3
hycD	6	7	4	7
hycC	7	12	7	12
hycB	5	1	5	1
hypB	54	36	53	36
hypD	65	60	50	40
hypE	79	65	59	58
fhlA	74	52	67	45
mutS	692	471	625	410
ygbI	233	166	231	166
ygbJ	16	14	16	14
ygbK	39	27	36	25
ygbL	21	12	21	12
ygbM	31	25	31	25
ygbN	30	20	30	20
nlpD	11162	8193	11210	8168
pcm	670	415	668	413
surE	720	461	444	280
truD	1282	847	1281	845
ispD	624	423	588	401
cysC	2209	1373	2207	1372
cysN	8430	5542	7519	4981
cysD	4831	3141	4823	3139
iap	199	152	193	150
cysH	4612	3377	3872	2837
cysI	9685	6504	8689	5871
cysJ	6920	4520	6745	4410
ygcQ	37	24	37	24
ygcR	8	11	8	11
ygcS	9	6	9	6
ygcU	31	21	25	18
ygcW	13	9	13	8
yqcE	26	28	24	27
ygcF	498	411	497	409
eno	33637	26255	33565	26188
pyrG	6889	5208	6721	5094
mazG	609	520	574	491
relA	2610	1868	2336	1637
barA	532	443	524	432
gudD	112	77	104	74
gudX	48	45	42	38
gudP	11	16	10	16
truC	202	116	196	115
queF	693	493	682	483
ygdH	736	439	734	439
sdaC	412	283	410	278
sdaB	210	175	196	163
exo	148	112	147	112
fucO	96	69	96	69
fucA	19	13	19	13
fucP	10	13	9	13
fucI	74	35	72	34
fucK	92	63	92	63
fucR	354	241	354	241
ygdE	540	422	540	422
gcvA	274	182	262	175
csdA	309	202	260	180
ygdL	356	219	342	212
mltA	1331	959	1245	889
amiC	856	709	776	623
argA	7972	5541	7547	5238
recD	700	490	663	474
ptr	961	719	922	686
recC	732	485	705	468
thyA	1011	665	889	596
lgt	599	350	578	342
ptsP	1445	962	1444	959
mutH	150	108	149	108
ygdQ	111	68	106	64
tas	582	359	582	359
ygeD	283	185	283	185
aas	872	543	851	535
galR	257	175	255	175
lysA	1853	1221	1831	1210
lysR	92	49	86	49
ygeA	205	125	205	125
araE	349	284	325	263
kduD	60	50	60	48
kduI	45	37	42	35
yqeF	1173	817	1137	803
yqeG	70	58	68	53
yqeH	14	15	14	15
yqeI	33	30	33	30
ygeH	5	6	5	6
ygeR	460	290	427	269
xdhA	61	36	61	36
xdhB	17	14	17	14
ygeV	148	118	143	118
ygeW	12	4	11	4
ygeX	17	16	17	16
ygeY	9	9	8	9
hyuA	14	10	14	10
yqeA	32	31	30	31
yqeB	36	23	36	23
yqeC	5	3	5	3
ssnA	13	4	10	4
ygfM	13	8	13	8
xdhD	61	55	60	55
ygfO	27	20	27	19
guaD	127	121	126	120
ygfT	56	36	56	35
ygfU	3	8	3	7
lysS	5423	3784	5075	3525
prfB	4244	2911	4055	2807
recJ	1209	879	1144	839
dsbC	783	571	779	570
xerD	653	450	588	414
ygfZ	909	570	906	565
yqfA	116	90	111	86
bglA	1198	827	1096	769
ygfF	33	29	32	27
gcvP	2529	1899	2396	1802
gcvT	2242	1700	2228	1694
visC	525	365	490	347
serA	22724	15304	22500	15145
rpiA	1453	1058	1451	1057
argP	565	401	564	401
yliK	48	33	48	32
argK	10	13	10	13
ygfG	11	5	11	5
ygfH	30	28	30	28
ygfI	47	44	47	44
yggE	430	334	428	331
argO	124	78	95	53
mscS	2076	1593	2071	1590
fbaA	13947	10631	13501	10335
pgk	11509	8717	11507	8714
epd	2469	1738	2468	1738
yggF	13	7	11	6
cmtA	16	10	14	10
tktA	7882	4872	7551	4680
yggG	1100	875	1031	821
speB	875	569	699	489
speA	8625	5938	7735	5324
metK	9908	6580	9468	6299
galP	161	121	160	117
endA	76	60	74	59
yggJ	372	246	371	244
gshB	804	496	804	494
yggS	417	304	395	289
yggW	477	363	458	346
yggM	29	21	29	21
ansB	67	47	67	47
yggN	469	360	465	357
yggH	1216	908	1216	905
mutY	414	296	402	286
mltC	456	277	451	270
nupG	164	134	164	133
yqgA	30	23	30	23
yghK	29	25	27	24
glcF	52	30	52	29
glcD	32	23	32	23
glcC	153	96	153	95
ECIAI1_3132	11	9	8	4
yghR	10	8	10	8
yghS	9	11	9	11
yghT	3	6	2	6
pitB	38	28	34	24
gss	1035	771	1024	762
yghU	595	390	575	377
hybC	342	252	327	240
hybB	39	52	35	50
hybA	31	18	30	18
hybO	65	51	61	48
yghZ	213	123	206	121
yghA	15	5	15	5
exbB	2937	1655	2931	1646
metC	1476	1052	1389	997
yghB	256	181	256	181
yqhC	116	70	114	68
yqhD	343	191	343	191
dkgA	84	58	84	58
yqhG	48	25	48	25
ygiQ	831	532	781	494
sufI	761	512	760	510
plsC	394	285	384	268
parC	1750	1254	1740	1247
qseB	126	110	126	109
parE	1969	1455	1725	1272
cpdA	869	603	860	590
nudF	423	296	402	287
tolC	2906	1609	2566	1432
ygiC	2218	1640	1968	1467
ygiE	393	272	392	272
ribB	570	431	527	407
yqiJ	18	13	17	12
yqiK	36	18	28	15
rfaE	1730	1170	1428	953
htrG	246	164	239	166
cca	414	284	380	261
bacA	573	524	521	477
plsY	212	126	210	126
ygiP	34	33	34	33
ttdA	10	6	10	6
ttdB	8	5	8	4
ygjE	27	31	26	29
gcp	556	394	505	368
dnaG	2041	1460	2034	1455
rpoD	4349	2783	4308	2759
yqjH	277	102	272	101
yqjI	194	135	190	130
aer	115	106	109	100
ygjG	65	45	64	44
ebgR	83	46	82	45
ygjI	5	4	5	4
ygjJ	7	4	7	4
ygjK	24	18	23	17
ygjO	264	182	236	164
ygjQ	19	18	15	16
ygjR	161	108	152	94
alx	63	48	63	49
sstT	1857	1274	1694	1166
uxaA	326	187	312	181
uxaC	347	178	330	172
exuT	141	87	126	78
exuR	487	346	426	296
yqjA	371	263	371	263
yqjG	85	52	79	49
yhaJ	536	352	509	332
yhaK	32	25	32	25
yhaM	76	57	74	56
yhaO	31	26	34	25
tdcG	45	37	44	36
tdcE	207	140	205	140
tdcD	13	18	13	18
tdcC	89	72	89	70
tdcB	9	8	9	8
tdcA	8	9	8	9
garK	73	55	65	45
garR	53	49	52	46
garL	12	12	12	10
garP	44	23	42	23
garD	63	45	54	44
agaR	383	352	377	350
kbaZ	27	13	27	13
agaS	18	9	17	9
kbaY	10	11	10	11
agaC	8	12	8	12
agaD	14	9	14	9
agaI	19	17	17	18
yraI	6	7	6	6
yraL	383	230	370	224
yraQ	321	234	320	232
yraR	66	38	65	38
yhbU	22	29	22	28
yhbV	29	32	25	26
yhbW	118	76	116	70
mtr	347	210	265	143
deaD	1747	1297	1576	1178
nlpI	3871	3012	3871	3012
pnp	11016	7951	9926	7156
truB	1389	1104	1079	848
infB	16318	12137	15970	11904
nusA	6532	4770	6461	4715
argG	15664	11641	14686	10851
yhbX	69	47	68	47
glmM	2130	1454	2130	1454
folP	513	304	514	305
ftsH	11824	8288	11623	8133
rrmJ	1755	1199	1761	1199
dacB	243	132	239	132
obgE	1345	933	1222	852
yhbE	636	453	636	451
ispB	1209	880	1201	873
murA	3253	2099	3203	2066
yrbC	1273	898	1270	896
yrbE	938	701	938	701
yrbF	1269	965	1251	956
yrbG	382	227	382	227
kdsD	1112	793	1088	777
lptB	1135	809	1135	809
rpoN	3074	2171	2938	2051
yhbJ	936	655	935	653
yrbL	2288	1497	2284	1494
mtgA	437	298	419	280
elbB	870	656	869	655
arcB	829	611	821	608
yhcC	24	16	24	16
gltB	16360	9971	14342	8702
gltD	8058	5349	7263	4844
nanE	32	11	32	12
nanT	32	25	25	21
nanA	67	43	67	43
nanR	484	387	442	361
dcuD	31	20	28	19
sspA	2879	2108	2879	2108
degQ	730	541	730	541
degS	373	256	365	253
mdh	16193	11565	14634	10584
aaeB	37	34	37	34
aaeA	56	41	55	40
aaeR	121	82	116	81
tldD	1236	865	1169	793
rng	1244	852	1148	787
mreC	620	425	675	460
mreB	2562	1622	2483	1553
csrD	507	385	507	385
yhdH	548	356	532	344
accC	7404	5309	6945	5008
panF	255	184	237	158
prmA	575	393	575	392
dusB	5549	4377	5549	4377
yhdJ	51	48	51	47
envR	19	13	18	13
acrE	9	13	9	11
acrF	198	144	189	141
aapQ	35	26	33	25
aapP	38	28	33	21
aroE	613	474	573	457
smf	377	279	366	275
fmt	1236	825	1213	815
rsmB	563	420	553	403
trkA	524	423	505	415
rpoA	72728	52971	72709	52954
rpsD	47661	35056	47661	35056
secY	63778	48810	61229	46883
rpsC	41711	30497	41711	30497
rplB	44418	33293	44418	33293
rplD	36653	27363	36653	27363
rplC	46335	34264	46335	34264
tufA	128693	94285	128684	94275
fusA	100410	75567	99244	74713
yheO	920	721	915	719
fkpA	5998	4603	5963	4579
kefB	288	176	278	164
yheS	695	499	685	486
yheT	237	148	220	139
prkB	275	190	273	186
crp	2706	1764	2857	1864
yhfK	763	449	740	439
argD	4534	3085	4411	2997
fic	47	39	45	37
tsgA	203	124	202	124
nirB	94	152	92	146
nirC	32	20	32	18
cysG	663	434	621	396
frlA	12	7	12	7
frlB	15	7	14	6
frlC	25	16	24	16
frlD	19	20	19	20
frlR	135	68	135	68
yhfS	32	24	32	24
yhfT	21	15	18	13
php	13	11	13	11
yhfZ	187	168	159	153
trpS	3029	2008	2776	1847
gph	933	621	910	601
rpe	821	620	800	606
dam	682	500	681	498
aroB	4198	3254	4191	3248
hofQ	27	19	27	19
yrfD	36	33	36	31
mrcA	1835	1319	1747	1258
igaA	660	458	622	438
yrfG	427	293	427	293
hslO	1079	687	1072	682
pck	2084	1547	1816	1341
envZ	341	200	311	184
ompR	595	365	597	363
yhgF	2625	1679	2550	1631
feoB	1245	759	1235	751
yhgA	48	46	38	39
bioH	262	183	261	183
gntX	217	143	214	142
gntT	1089	857	1054	835
malQ	718	523	695	507
malP	1050	782	1044	772
malT	3693	2658	3394	2422
rtcB	83	51	79	49
glpG	582	442	564	427
glpD	43	47	36	43
glgP	4562	3088	4460	3032
glgA	2465	1644	2463	1640
glgC	2791	1781	2775	1771
glgX	2978	2053	2968	2045
glgB	6267	4361	6196	4311
asd	11939	7537	11936	7533
gntU	110	88	101	81
gntR	266	154	228	133
yhhW	130	94	121	90
yhhX	717	483	709	479
yhhZ	3	0	2	0
ggt	48	32	46	29
ugpC	63	28	56	26
ugpE	11	10	11	9
ugpA	16	9	16	8
ugpB	126	85	118	82
livF	989	691	719	479
livG	1179	805	996	700
livM	1933	1313	1739	1162
livH	1792	1263	1628	1166
livK	3550	2507	3239	2276
livJ	12210	7523	11491	7089
rpoH	2145	1510	2070	1454
ftsX	936	659	806	567
ftsE	681	452	650	432
ftsY	2230	1622	2063	1517
yhhN	238	124	215	117
yhhQ	67	52	65	45
yhhS	151	108	151	108
yhhT	52	33	50	29
nikA	28	12	27	10
nikB	9	7	9	7
nikC	8	6	8	5
nikD	8	3	8	3
nikE	11	8	8	5
yhhI	406	388	89	84
yhhJ	507	434	435	370
rbbA	1030	773	962	725
yhiI	948	662	881	609
yhiM	57	55	57	55
yhiN	489	352	470	324
pitA	1999	1364	1990	1358
yhiP	32	29	30	28
yhiQ	116	67	105	59
prlC	1306	733	1159	667
yhiR	170	94	160	87
gor	1092	716	1091	716
arsB	44	32	44	32
yhiD	27	15	27	15
mdtE	21	19	21	19
mdtF	120	63	117	62
gadW	184	118	182	113
gadX	271	290	249	248
gadA	149	109	147	108
yhjA	65	43	64	43
treF	83	48	82	48
yhjB	49	40	49	39
yhjC	114	80	110	76
yhjD	68	57	64	50
yhjE	3927	2299	3609	2124
yhjG	62	40	43	24
yhjH	9	10	3	5
kdgK	240	156	229	149
yhjJ	584	418	513	372
dctA	425	284	425	284
yhjK	410	266	409	271
bcsC	659	407	644	397
bcsZ	151	116	149	114
bcsB	330	173	323	171
bcsA	440	305	296	210
bcsE	292	184	292	184
bcsG	135	93	132	87
yhjV	164	119	162	117
dppF	425	319	370	270
dppD	470	363	438	334
dppC	434	358	434	358
dppB	485	407	498	418
dppA	5704	4310	5165	3936
eptB	118	100	118	100
yhjX	18	12	13	10
yhjY	61	38	59	38
yiaD	151	113	148	113
tiaE	1031	566	1011	561
yiaF	1781	1420	1634	1322
glyS	5689	4037	5263	3760
glyQ	2547	1891	2532	1879
yiaH	79	58	79	58
xylB	118	69	107	61
xylA	83	49	82	48
xylF	32	22	30	21
xylG	36	29	36	29
xylH	61	45	56	40
xylR	211	146	229	163
bax	2277	1573	2174	1495
avtA	1443	1001	1377	959
yiaJ	408	308	403	299
yiaK	13	8	13	9
yiaN	5	4	5	4
yiaO	2	1	1	1
sgbH	2	4	2	2
sgbU	7	3	6	2
sgbE	12	6	9	3
yiaT	18	16	15	16
yiaU	84	46	84	46
yiaV	19	20	16	19
aldB	37	27	37	28
yiaY	25	21	25	20
selB	1256	886	1121	815
selA	586	404	572	397
yibF	188	121	187	118
yibH	26	24	26	24
mtlA	574	384	556	375
mtlD	539	413	426	330
lldP	128	84	115	79
lldR	76	57	73	56
lldD	149	78	139	72
cysE	848	529	795	509
gpsA	1742	1169	1516	1018
gpmI	2250	1665	1990	1502
envC	842	587	744	517
yibQ	313	234	293	222
yibD	32	14	31	14
tdh	211	141	138	104
kbl	233	192	219	184
waaD	1239	810	1085	722
waaF	990	724	986	722
kdtA	543	334	519	328
mutM	192	156	188	149
yicR	839	640	1084	826
dfp	507	277	497	274
pyrE	952	747	767	599
yicC	1143	780	1022	710
yicG	5	4	5	4
ligB	41	31	41	28
gmk	1005	652	1004	652
spoT	3072	2074	2953	2009
trmH	513	342	513	342
gltS	556	439	516	411
yicE	1309	769	1308	767
yicH	720	511	702	491
yicI	89	53	87	53
yicJ	22	20	22	20
setC	16	11	16	11
yicL	305	226	305	225
nlpA	1815	1282	1813	1282
yicM	102	81	100	79
uhpT	12	11	12	11
uhpC	93	54	91	54
uhpB	174	128	163	118
ilvB	1855	1159	1648	1029
emrD	6	7	6	7
yidJ	39	25	30	18
yidK	8	3	8	3
yidL	39	26	28	18
yidP	25	16	26	16
yidE	501	389	500	389
yidR	214	147	185	126
cbrA	20	6	20	5
dgoT	27	13	24	13
dgoD	43	31	40	27
dgoA	17	15	17	15
dgoR	130	116	121	110
yidX	95	99	95	99
yidA	422	233	390	220
gyrB	3642	2529	3492	2400
recF	443	348	424	341
dnaN	1049	786	1007	758
dnaA	1771	1215	1754	1204
yidC	5152	3553	5126	3528
trmE	497	351	449	323
tnaA	71	44	69	43
tnaB	16	9	15	8
mdtL	33	20	26	18
yidZ	125	78	114	72
yieE	139	81	139	80
yieH	250	193	236	180
yieK	40	28	36	28
yieL	23	29	23	26
bglH	17	8	17	8
bglB	16	9	15	8
bglG	5	4	5	4
phoU	437	351	413	338
pstB	441	325	441	325
pstA	145	106	134	94
pstC	165	131	165	131
pstS	405	288	404	288
glmS	7380	5414	5961	4412
glmU	5782	4129	5033	3618
atpD	27211	18697	26923	18513
atpG	16672	11309	16672	11309
atpA	41597	29737	41597	29737
atpB	13608	9902	13590	9897
gidB	326	264	326	264
gidA	1981	1387	1968	1377
asnA	2223	1312	1934	1151
yieM	244	195	244	195
ravA	259	196	242	177
trkD	426	268	420	266
rbsA	212	145	206	141
rbsC	142	88	140	86
rbsB	789	867	777	857
rbsK	415	289	414	287
rbsR	181	138	179	137
hsrA	98	90	98	89
yieP	251	209	232	195
hdfR	310	228	310	228
yifB	36	38	35	37
ilvE	9807	6367	9299	6021
ilvD	10524	6609	9161	5843
ilvA	6150	3840	4747	2888
ilvY	184	99	130	78
ilvC	22146	16004	17744	12642
rep	748	519	633	447
gpp	1195	702	1187	699
rhlB	2450	1589	2407	1571
rho	3096	1809	2981	1745
rfe	1117	864	1139	878
wzzE	947	658	941	655
rffE	805	588	790	578
rffD	828	554	786	514
rffG	678	375	650	369
rffH	434	305	414	290
rffC	208	171	189	163
rffA	435	297	432	296
wzxE	383	232	363	221
rffT	306	225	285	211
wzyE	197	174	195	172
rffM	216	155	200	136
yifK	1049	729	1037	723
hemY	1491	965	1362	887
hemX	1544	1008	1392	934
hemD	507	293	502	288
hemC	766	487	724	455
cyaA	2857	1891	2751	1817
dapF	814	535	814	535
yigA	470	310	442	289
xerC	563	371	550	366
yigB	318	210	316	210
uvrD	702	453	599	388
yigE	60	38	57	36
corA	981	689	969	683
rarD	154	106	144	93
pldA	887	643	864	622
recQ	807	511	716	464
rhtC	393	294	358	262
rhtB	216	153	201	138
pldB	385	283	535	382
yigL	260	165	247	157
yigM	171	121	161	112
metR	486	355	430	320
ysgA	838	530	745	465
udp	920	562	915	558
rmuC	189	159	185	155
ubiE	1144	818	1144	818
yigP	714	452	435	267
ubiB	1104	741	1103	741
tatC	1136	836	1136	836
tatD	265	193	263	193
ubiD	1677	1148	1610	1093
fre	1010	728	981	708
fadA	118	73	116	72
fadB	269	171	264	168
pepQ	2141	1448	1958	1328
yigZ	290	214	282	205
trkH	559	380	540	370
yihE	1016	766	995	748
dsbA	2169	1615	2158	1609
yihG	111	89	105	86
polA	1535	1066	1534	1066
hemN	1031	695	1031	695
glnG	818	555	815	553
glnL	676	427	676	426
glnA	8991	6186	8840	6082
bipA	11721	8297	11614	8240
yihL	82	56	71	52
yihM	106	89	106	89
yihN	55	48	52	48
ompL	7	6	7	6
yihO	6	8	6	8
yihP	12	15	9	12
yihQ	35	17	34	16
yihS	69	36	68	36
yihT	29	20	29	20
yihU	14	12	14	12
yihV	30	25	30	25
yihW	257	164	257	164
rbn	203	171	200	161
yiiD	658	431	596	397
fdhE	385	224	330	186
fdoI	107	73	107	73
fdoH	180	128	177	127
fdoG	1371	957	1333	934
fdhD	213	191	211	189
frvB	11	6	8	5
rhaD	19	6	12	6
rhaA	5	5	4	4
rhaS	22	22	22	22
rhaR	31	22	31	22
sodA	16891	8516	16881	8515
kdgT	31	25	31	25
yiiM	272	187	267	177
cpxA	1515	1085	1492	1056
cpxR	1327	972	1327	972
fieF	708	510	705	510
pfkA	3175	2168	3153	2160
sbp	846	642	795	602
cdh	263	176	216	147
tpiA	6248	4380	5650	3961
fpr	597	325	547	298
glpX	182	116	181	116
glpK	139	116	134	112
glpF	20	17	20	17
menA	412	286	412	286
hslU	1943	1312	1939	1300
ftsN	673	488	643	469
cytR	496	319	490	314
yiiX	57	50	35	31
metB	1493	954	1483	952
metL	2673	1705	2563	1625
metF	7118	5254	6478	4777
katG	3493	2505	3159	2262
yijE	55	47	52	40
yijF	8	5	5	3
gldA	102	81	93	72
fsaB	23	13	16	11
ptsA	27	26	23	17
frwC	19	8	19	8
pflD	58	35	55	30
pflC	27	9	25	8
yijO	31	20	28	20
yijP	1544	942	1420	858
ppc	7041	4003	6894	3940
argE	2180	1392	2136	1353
argC	3930	2741	3924	2736
argB	2768	1832	2768	1832
argH	5937	3977	5866	3937
oxyR	1281	847	1245	821
sthA	1007	738	977	719
fabR	857	661	852	659
trmA	570	362	526	337
btuB	1492	1072	1490	1071
murI	248	154	224	146
murB	881	693	839	663
birA	494	325	475	305
coaA	724	550	718	546
tufB	129863	95058	129790	95007
rplA	30120	21880	30120	21880
rpoB	39413	27910	39400	27893
rpoC	41848	29584	41468	29324
thiH	3502	1929	3154	1734
thiG	2501	1272	2451	1244
thiF	3127	1647	3108	1641
thiE	2597	1340	2589	1337
thiC	10766	6125	10752	6124
nudC	375	241	375	241
hemE	815	484	816	485
nfi	276	200	274	200
yjaH	427	310	386	279
zraR	212	148	205	142
purD	1842	1258	1801	1232
purH	1836	1186	1693	1090
metA	4367	3113	4207	2997
aceA	471	325	440	306
aceK	88	52	86	51
iclR	314	214	301	206
metH	8389	5344	7780	4950
yjbB	285	237	272	227
pepE	142	111	142	111
yjbC	739	453	611	361
lysC	7796	4633	7596	4501
pgi	5636	4168	5335	3921
yjbF	7	9	7	7
yjbG	14	4	10	4
yjbH	37	16	37	17
xylE	30	15	28	15
malG	67	49	66	49
malF	154	130	154	130
malE	878	625	831	580
malK	201	135	198	133
malM	170	116	169	116
ubiA	451	323	432	312
plsB	1696	1129	1628	1079
lexA	904	615	902	614
dinF	164	88	155	81
yjbM	2	4	2	4
yjbN	538	395	564	422
qor	434	275	413	261
dnaB	1091	732	960	623
alr	500	339	485	327
tyrB	2562	1605	2557	1599
aphA	67	65	66	61
uvrA	682	483	588	413
yjcC	40	32	40	32
yjcE	791	573	769	553
actP	174	115	165	97
acs	1024	665	1008	657
nrfA	37	22	37	22
nrfC	7	3	7	3
nrfD	12	5	12	5
gltP	601	543	581	521
yjcO	394	281	383	266
fdhF	94	63	93	63
yjcQ	14	10	14	10
yjcR	12	2	10	2
phnL	5	1	4	1
phnK	7	2	6	2
phnJ	2	2	2	2
phnI	1	4	1	4
phnF	5	1	2	1
phnD	5	5	3	4
phnC	2	2	1	1
yjcZ	20	14	20	13
proP	1481	1059	1455	1042
basS	338	234	315	216
basR	298	201	284	186
eptA	384	259	359	248
adiC	13	3	13	3
adiY	4	2	4	2
adiA	19	11	19	10
melR	69	59	69	59
melA	55	41	55	39
melB	43	34	44	33
yjdF	134	99	128	97
fumB	65	60	65	60
dcuB	19	17	19	17
dcuR	196	159	178	150
dcuS	378	308	367	295
lysU	608	480	593	462
yjdL	17	13	17	13
cadA	57	50	57	49
cadB	5	1	5	1
cadC	45	28	44	28
dipZ	453	284	440	277
dcuA	2007	1442	2003	1438
aspA	993	807	990	807
yjeH	281	191	268	186
groL	25091	18140	24165	17433
yjeJ	76	72	73	71
yjeK	354	237	291	196
frdB	134	111	134	110
frdA	327	251	327	249
poxA	238	192	238	192
yjeP	533	377	490	346
psd	638	417	637	417
rsgA	934	598	930	596
yjeS	158	104	152	101
yjeF	217	136	211	128
amiB	542	382	504	366
mutL	889	575	859	555
miaA	4400	3029	4397	3028
hflX	4460	2985	4444	2972
hflK	4763	3238	4762	3238
hflC	4300	2958	4295	2953
purA	8359	5490	8299	5446
rnr	3350	2369	3273	2326
rlmB	759	487	723	452
yjfJ	16	21	16	20
yjfK	10	4	9	4
yjfC	32	27	29	23
aidB	131	73	119	70
yjfP	163	105	157	104
ulaR	226	143	218	141
ulaG	52	33	45	27
ulaA	20	20	18	13
ulaD	42	33	42	31
ulaE	58	32	51	24
ulaF	33	17	23	12
ytfB	495	301	464	279
fklB	808	385	803	384
cycA	1326	952	1247	896
ytfE	41	19	39	19
ytfF	76	32	69	29
ytfG	59	29	58	29
cpdB	610	437	510	374
cysQ	422	306	417	305
ytfL	229	155	224	154
msrA	233	149	233	149
ytfM	644	523	614	496
ytfQ	45	22	38	16
ytfT	12	7	11	4
yjfF	20	15	16	10
fbp	1065	657	1060	656
mpl	1757	1247	1535	1102
pmbA	916	603	886	578
nrdD	102	100	94	91
treC	34	25	34	25
treB	42	25	40	24
treR	220	138	203	128
mgtA	1924	1514	1868	1468
pyrB	321	226	321	226
yjgI	36	22	36	22
argI	1548	1104	1208	879
valS	8002	5626	7424	5160
pepA	4392	2914	4034	2681
yjgP	1005	701	1001	697
yjgQ	891	603	822	555
yjgB	19	24	18	23
yjhT	56	69	50	59
yjhA	18	10	18	10
fimB	491	450	491	450
fimC	1331	887	1311	876
fimH	533	358	488	327
gntP	36	33	36	33
uxuA	231	146	217	139
uxuB	252	156	243	152
uxuR	343	258	326	241
yjiE	139	90	134	87
iadA	524	405	496	388
yjiH	8	9	8	9
yjiK	52	50	35	34
hgdC	8	8	10	9
yjiM	16	24	16	24
yjiN	79	45	65	34
yjiY	92	57	76	49
tsr	73	38	71	34
mdoB	1513	1097	1457	1066
dnaC	222	150	219	149
yjjP	32	31	28	27
yjjQ	9	5	9	5
bglJ	44	22	44	21
rsmC	477	309	465	298
yjjG	234	155	203	137
prfC	1580	1081	1381	929
osmY	83	69	85	68
yjjU	184	134	183	133
yjjW	14	20	11	14
yjjI	37	27	36	26
deoC	170	89	169	86
deoA	220	170	206	161
deoB	790	558	707	495
deoD	1033	611	848	521
ytjB	262	222	253	216
serB	1333	815	1281	782
radA	1506	962	1361	867
nadR	1037	742	777	534
slt	620	475	583	457
ytjC	706	461	689	455
rob	834	628	782	584
creB	529	360	411	295
creC	221	168	204	155
arcA	2235	1730	2148	1664
yjtD	104	89	100	86
