"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_K12ref_chemostat1","IAI1_K12ref_chemostat2"
"33","adhE","adhE",154,5525.10790943851,-1.20884943497562,0.0808345496051137,-14.9546133538319,1.45323285725867e-50,2.22797582856346e-49,7719.88216546072,7711.85889013163,3264.64626381874,3404.04431834298
"34","adhP","adhP",2157,68.3842901205186,0.10618684450406,0.335275599214789,0.316715098721016,0.751459791036951,0.822529701733074,77.9045451815459,52.9660638058491,67.3643799601493,75.30217153453
"35","adiA","adiA",1537,22.6034786511322,0.802600384771109,0.532815182839248,1.50633917842626,0.131980125506875,0.202735898712903,17.4139571582279,14.5656675466085,29.4719162325653,28.9623736671269
"36","adiC","adiC",1911,10.4467869465732,0.569164023030638,0.740941934327273,0.768162789365407,0.442390477365204,0.546587867979839,11.9148127924717,3.97245478543868,14.3149307415317,11.5849494668508
"37","adiY","adiY",1461,7.21151516112623,1.45457640530054,0.839527131300383,1.73261393356935,0.0831643110352504,0.134394892781811,3.66609624383745,2.64830319029245,10.9467117435243,11.5849494668508
"38","adk","adk",1012,3765.02054640515,-0.313651226535453,0.101125506515815,-3.10160351569068,0.00192475563611987,0.00449046250679743,3887.89506658962,4461.06672404764,3166.12585812702,3544.99453685634
"39","adrB","yoaD",1660,49.6822465851545,0.49471530271968,0.401610409032505,1.23182888588836,0.218013010538472,0.310077540892369,28.4122458897403,54.2902154009953,58.1017777156288,57.9247473342539
"40","aegA","aegA",1299,71.7324010534874,0.696141638915203,0.321492725907636,2.16534180345717,0.0303615192412796,0.0551836388981225,49.4922992918056,59.5868217815802,84.2054749501866,93.6450081903771
"41","aer","aer",2314,121.553121124407,-0.0193739270132316,0.262971575147509,-0.0736730842577347,0.941270516221601,0.960584399632699,105.400267010327,140.3600690855,131.360540922291,109.091607479511
"42","aes","aes",427,141.834836120872,1.79437048440943,0.248515558203075,7.22035472299547,5.18521379377727e-13,2.86704678386607e-12,64.1566842671554,60.9109733767264,229.880946614009,212.390740225597
"43","agaC","agaC",2124,12.7323397607212,0.25499492689288,0.681072627804305,0.374401960206436,0.708105284791875,0.787117032671194,7.3321924876749,15.8898191417547,15.1569854910336,12.5503619224217
"44","agaD","agaD",1630,17.3604876280725,0.777854775294128,0.594754121071345,1.30785941237861,0.190920998226629,0.2765426238117,12.8313368534311,11.917364356316,24.4195877355541,20.2736615669888
"45","agaI","agaI",1667,15.4960534636985,-0.772665894793196,0.63285230680234,-1.22092609363676,0.222114003771065,0.314583780985893,17.4139571582279,22.5105771174859,7.5784927455168,14.4811868335635
"46","agaR","agaR",2056,419.431461103466,0.0818825365573611,0.167238624630677,0.489614984207069,0.624406371230006,0.717034748285041,351.028715347436,466.101361491472,438.710524490472,421.885243084482
"47","agaS","agaS",2090,15.86884284835,0.26291997623265,0.611295951315723,0.430102597059173,0.667121010945721,0.753623304709496,16.4974330972685,11.917364356316,17.6831497395392,17.3774242002762
"48","agp","agp",13,2273.24393797159,4.01956790058908,0.112321316986685,35.7863316458937,1.80204656549838e-280,3.27279380087821e-278,246.544972398069,280.720138171,4292.79511296051,4272.91552835679
"49","ahpF","ahpF",1298,2494.20954443131,-0.20416260230955,0.0942326166033652,-2.16658105938936,0.0302668129107539,0.0550538869663251,2623.0918624657,2718.4832248352,2212.0778269414,2423.18526348295
"50","aidB","aidB",2330,108.128390921365,-0.0139265672956241,0.266228418011129,-0.0523105962904454,0.958281210259412,0.971030874430245,120.064651985677,96.6630664456746,108.625062685741,107.16078256837
"51","ais","ais",2041,117.89502551954,-0.135494813494261,0.258093670720431,-0.524983092828458,0.599594944289303,0.693602970831477,133.812512900067,112.552885587429,103.57273418873,121.641969401933
"52","alaS","alaS",732,11618.7273873178,-0.372941085848939,0.0810037382382062,-4.60399845686427,4.144555338511e-06,1.33678895549515e-05,13126.45760106,13101.1558823768,9682.78756452196,10564.5085013123
"53","aldA","aldA",2,5209.69000888411,4.25790989959152,0.0940934106086471,45.251945614991,0,0,531.583955356431,495.232696584689,9781.30797021368,10030.6354133816
"54","aldB","aldB",219,181.344304750713,3.18940710531128,0.262807657675947,12.135898677823,6.81575837649104e-34,7.34794772917595e-33,33.9113902554964,35.7520930689481,354.505049540286,301.20868613812
"55","alkB","alkB",2247,22.8535699645077,-0.0990817670245961,0.524909534367984,-0.188759701505318,0.85028115752158,0.89341958740919,21.0800534020653,26.4830319029245,23.5775329860523,20.2736615669888
"56","allB","allB",950,73.8519063030282,1.11337720534812,0.325938346193408,3.41591352582813,0.000635684300640162,0.00157984277243308,42.1601068041307,50.3177606155566,90.9419129462016,111.987844846224
"57","allC","allC",738,87.8633405064367,1.40562494965824,0.306501679767025,4.58602690440937,4.51760411919917e-06,1.44526603325599e-05,44.9096789870088,50.3177606155566,142.307252665815,113.918669757366
"58","allD","allD",889,39.204105388216,1.63406925617786,0.443181666630439,3.68713189018371,0.000226795825534976,0.000601646004593346,14.6643849753498,22.5105771174859,59.7858872146325,59.8555722453956
"59","allR","allR",786,855.359289948786,-0.513163227533623,0.120630447472093,-4.25401080976955,2.09975157866352e-05,6.30726905499309e-05,1017.34170766489,995.761999549963,746.060508058653,662.272944521636
"60","alr","alr",608,349.833235491361,-0.87785237948181,0.159121632560688,-5.51686383149068,3.45102616016104e-08,1.34011065199674e-07,458.262030479682,448.887390754571,245.037932105043,247.14558862615
"61","alx","alx",1162,44.8464895954813,-1.02484702337501,0.398283409931728,-2.57316021159577,0.010077454625746,0.0204757920579918,57.7410158404399,63.5592765670189,25.261642485056,32.8240234894105
"62","amiA","amiA",1074,354.204007860352,-0.465564407557456,0.162844328372765,-2.85895377634361,0.00425040714182432,0.00934377212462497,422.517592102266,399.893781734161,318.296695311705,276.107962293277
"63","amiB","amiB",1369,456.352152984818,-0.283827036855686,0.143380855693185,-1.97953231261945,0.0477561053138123,0.0823609676011036,496.756041039975,505.825909345859,399.976006013386,422.850655540053
"64","amiC","amiC",409,637.882835884156,-1.04845992704118,0.140450845010808,-7.46495990793435,8.33249794328558e-14,4.81003120882573e-13,784.544596181215,938.823480958675,429.447922245952,398.715344150781
"65","amn","amn",2168,354.214466347038,0.0503051127028712,0.166950515795853,0.301317503950596,0.763172394585222,0.830728457176445,376.691389054298,317.796382835094,341.032173548256,381.337919950504
"66","ampE","ampE",660,381.067975735205,0.800819165789216,0.155550649620571,5.14828557606558,2.62878061773788e-07,9.40386520981687e-07,269.458073922053,286.016744551585,490.917918959588,477.879165507594
"67","ampG","ampG",1193,188.703840768551,-0.545318826499046,0.219183749126393,-2.48795281891353,0.0128480776614843,0.0254269164784279,255.710213007662,192.001981296203,157.464238156849,149.638930613489
"68","ampH","ampH",1804,210.003998495432,0.191770305139248,0.201250392838983,0.952894066113355,0.340643746908601,0.445820336170292,213.550106203532,177.436313749594,229.880946614009,219.148627414594
"69","amtB","amtB",901,103.414844960299,-1.02293095018649,0.280631019455302,-3.64511005295128,0.000267277400304733,0.000700379514006077,120.064651985677,158.898191417547,69.048489459153,65.648046978821
"70","amyA","amyA",909,161.095389534246,0.802792398928018,0.222204959754085,3.61284644508597,0.000302854067274527,0.000786620960214697,120.981176046636,112.552885587429,207.145468377459,203.702028125459
"71","anmK","anmK",470,502.032400539415,0.93917624024638,0.140051371973644,6.70594102015027,2.0011254241157e-11,1.00524619709302e-10,346.446095042639,340.30695995258,654.27654036295,667.10000679949
"72","ansA","ansA",2010,338.498854651682,-0.0937860628735706,0.160460865426508,-0.584479353419198,0.558897852136701,0.656496432285946,358.360907835111,340.30695995258,324.191078558219,331.136472260818
"73","ansB","ansB",869,97.4583367565306,1.08475800922436,0.285712744289373,3.79667351529025,0.000146650726140661,0.000397979729216207,61.4071120842773,62.2351249718727,120.413829178767,145.777280791206
"74","ansP","ansP",374,287.031853093758,-1.41753990256966,0.176422398271039,-8.03492026217604,9.36397802854895e-16,5.91132409770162e-15,406.936683065957,430.349268422524,158.306292906351,152.535167980202
"75","apaH","apaH",1191,240.019759049554,-0.478226321380266,0.191564286069353,-2.49642734140503,0.0125451366423272,0.0248690744017923,286.872031080281,272.775228600123,218.934234870485,181.497541647329
"76","aphA","aphA",92,450.494979904003,3.48792491837764,0.187316868414241,18.6204528610007,2.19351259950764e-77,5.62922092112776e-76,61.4071120842773,86.0698536845047,825.213654511829,829.289299335401
"77","appA","appA",2065,60.3382589236301,0.161624637581088,0.339432526981877,0.476161312583098,0.633959459051176,0.724832098217834,56.8244917794805,56.9385185912878,64.8382157116437,62.7518096121083
"78","appB","cbdB",2337,31.1673739855925,0.0174761266869579,0.457333217690904,0.0382131146632989,0.969517764544527,0.979118170486056,30.245294011659,31.7796382835094,33.6821899800746,28.9623736671269
"79","appC","cbdA",879,123.335279500051,0.967498757358717,0.259424907471688,3.72939810131494,0.000191937704850126,0.000515545985382422,71.4888767548303,95.3389148505283,163.358621403362,163.154704991482
"80","aqpZ","aqpZ",1648,71.3565311138635,-0.411225253631638,0.326331690102551,-1.26014501840875,0.207617052743857,0.297441663548694,91.6524060959363,71.5041861378963,68.2064347096512,54.0630975119703
"81","araA","araA",562,80.7941720458759,1.91849937124514,0.328271488500953,5.8442461147203,5.08867476827007e-09,2.13778667755972e-08,38.4940105602932,26.4830319029245,128.834376673786,129.3652690465
