	IAI1_batch1	IAI1_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
dcp	2048	1488	2338	2154
ydfG	1567	1097	1934	1625
ydfH	357	285	413	349
ydfT	32	33	70	41
ydfU	6	3	13	12
rspB	105	77	220	152
rspA	243	159	456	380
ynfC	235	166	370	299
ynfF	50	46	85	64
ynfG	19	12	19	22
ynfH	127	81	122	122
dmsD	185	137	150	127
clcB	39	30	33	24
ynfK	132	121	745	632
dgsA	996	689	4211	3255
ynfL	61	37	55	39
ynfM	176	96	55	44
ydgD	175	125	202	175
ydgG	138	120	87	100
pntB	26422	18184	13597	13212
pntA	35926	23832	17514	16783
ydgH	3349	2354	6681	5699
ydgI	152	113	155	141
folM	207	148	350	329
rstA	661	499	741	761
rstB	738	532	872	680
tus	117	62	278	236
fumC	814	421	4422	3585
fumA	3208	2383	24905	23451
manA	657	491	933	918
ydgA	2375	1778	1896	1770
uidC	13	12	46	28
uidB	7	8	60	41
uidA	21	18	256	220
hdhA	675	540	679	658
malI	81	64	132	138
malX	112	108	303	303
malY	393	300	547	506
add	183	114	428	351
ydgJ	1395	938	1561	1311
rsxD	272	153	180	154
rsxG	214	105	145	105
rsxE	135	91	99	64
nth	151	79	108	84
ydgR	210	123	211	155
gst	644	441	1872	1650
pdxY	490	327	555	539
tyrS	6087	4221	4317	4019
pdxH	663	472	670	641
anmK	378	257	777	691
ydhJ	39	29	26	35
ydhF	233	161	506	446
nemA	222	142	231	238
rnt	138	77	95	88
ydhO	282	190	721	623
ydhP	361	256	91	75
purR	2158	1563	2087	1906
ydhB	118	85	122	86
ydhC	66	51	55	44
cfa	585	305	394	306
ribC	887	639	937	846
mdtK	152	102	208	149
ydhQ	587	415	869	697
ydhS	19	17	35	29
ydhT	17	17	50	39
ydhU	42	32	98	67
ydhX	25	16	42	55
ydhV	26	16	98	66
ydhY	4	2	11	6
pykF	5250	3691	1772	1735
ynhG	252	200	339	276
sufS	805	297	463	314
sufC	603	219	317	214
sufB	1221	457	599	442
ydiK	464	299	451	379
ydiM	5	6	35	18
ydiN	3	5	52	41
ydiB	53	34	77	74
aroD	382	221	386	338
ydiF	25	9	18	23
ydiO	27	14	38	21
ydiP	75	47	138	137
ydiQ	7	9	21	13
ydiR	13	17	32	29
ydiS	18	11	22	16
ydiD	32	36	137	80
pps	7622	5474	24242	22545
ydiA	179	108	273	221
aroH	476	300	155	149
ydiV	253	197	403	282
btuD	246	164	322	283
btuC	262	184	299	227
pheT	15295	10576	9176	8519
pheS	5466	3745	2796	2534
thrS	19354	14094	22223	19885
ydiY	91	58	45	42
pfkB	241	90	186	170
yniA	145	108	1353	1190
yniC	338	240	307	283
ydjN	7611	5672	2558	2352
katE	82	54	162	172
chbF	107	77	195	238
chbR	80	80	245	223
chbC	36	40	217	187
nadE	1778	1244	1214	1120
ydjQ	92	51	60	55
astE	6	12	69	73
astB	12	9	98	67
astA	12	6	85	67
astC	11	11	144	101
xthA	645	427	583	545
ydjX	45	29	88	62
ydjZ	37	26	47	47
ynjE	343	270	808	753
ynjF	57	45	62	53
gdhA	12043	7309	8923	9680
topB	1081	740	1642	1405
selD	1449	961	2114	1936
sppA	1164	819	1083	947
ansA	391	257	385	343
pncA	466	292	538	449
ydjE	35	25	83	65
ydjF	241	227	525	400
ydjG	89	66	167	149
ydjH	43	28	69	88
ydjI	53	36	75	118
ydjJ	43	41	106	82
ydjK	27	24	76	83
ydjL	32	35	85	77
gapA	42272	29884	18944	17827
yeaD	595	325	287	266
yeaE	257	165	320	318
mipA	4362	3193	2633	2363
yeaG	284	188	316	269
yeaH	45	32	92	56
yeaI	2	3	10	5
yeaJ	155	113	161	115
yeaM	70	37	82	52
yeaN	50	40	56	35
yeaP	940	695	798	603
yeaS	26	25	51	42
yeaT	70	62	228	179
yeaU	67	44	85	55
yeaV	21	15	421	324
yeaW	56	34	1649	1592
yeaX	55	33	1068	1029
rnd	235	156	417	362
