	IAI1_batch1	IAI1_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
bglA	1198	827	848	816
ygfF	33	29	17	22
gcvP	2529	1899	1066	939
gcvT	2242	1700	902	783
visC	525	365	446	385
serA	22724	15304	5842	5878
rpiA	1453	1058	1559	1497
argP	565	401	513	448
yliK	48	33	57	39
argK	10	13	10	16
ygfG	11	5	19	16
ygfH	30	28	48	49
ygfI	47	44	117	76
yggE	430	334	545	503
argO	124	78	96	84
mscS	2076	1593	771	686
fbaA	13947	10631	10132	9808
pgk	11509	8717	8984	8265
epd	2469	1738	1618	1544
yggF	13	7	17	11
cmtA	16	10	37	30
tktA	7882	4872	9481	8632
yggG	1100	875	2269	1996
speB	875	569	391	317
speA	8625	5938	6082	6073
metK	9908	6580	4698	4185
galP	161	121	65	60
endA	76	60	19	22
yggJ	372	246	308	291
gshB	804	496	793	748
yggS	417	304	361	335
yggW	477	363	347	309
yggM	29	21	99	90
ansB	67	47	143	151
yggN	469	360	529	536
yggH	1216	908	744	621
mutY	414	296	167	161
mltC	456	277	337	273
nupG	164	134	3080	2436
yqgA	30	23	39	34
yghK	29	25	481	386
glcF	52	30	1455	1264
glcD	32	23	1243	1129
glcC	153	96	2271	1791
ECIAI1_3132	11	9	14	13
yghR	10	8	18	7
yghS	9	11	16	17
yghT	3	6	9	9
pitB	38	28	37	29
gss	1035	771	636	570
yghU	595	390	1537	1301
hybC	342	252	580	593
hybB	39	52	142	148
hybA	31	18	126	142
hybO	65	51	186	178
yghZ	213	123	1873	1632
yghA	15	5	21	18
exbB	2937	1655	2059	1674
metC	1476	1052	1310	1187
yghB	256	181	286	246
yqhC	116	70	135	106
yqhD	343	191	461	423
dkgA	84	58	212	170
yqhG	48	25	69	39
ygiQ	831	532	313	286
sufI	761	512	627	495
plsC	394	285	355	254
parC	1750	1254	1318	1229
qseB	126	110	144	128
parE	1969	1455	1322	1268
cpdA	869	603	1791	1447
nudF	423	296	435	367
tolC	2906	1609	1899	1836
ygiC	2218	1640	2492	2316
ygiE	393	272	610	526
ribB	570	431	555	520
yqiJ	18	13	40	39
yqiK	36	18	90	58
rfaE	1730	1170	1194	1106
htrG	246	164	773	738
cca	414	284	587	489
bacA	573	524	448	389
plsY	212	126	205	155
ygiP	34	33	32	30
ttdA	10	6	7	6
ttdB	8	5	9	5
ygjE	27	31	24	17
gcp	556	394	381	326
dnaG	2041	1460	1763	1571
rpoD	4349	2783	5202	4786
yqjH	277	102	133	101
yqjI	194	135	112	119
aer	115	106	156	113
ygjG	65	45	106	89
ebgR	83	46	100	75
ygjI	5	4	15	19
ygjJ	7	4	7	3
ygjK	24	18	38	24
ygjO	264	182	111	96
ygjQ	19	18	26	23
ygjR	161	108	694	608
alx	63	48	30	34
sstT	1857	1274	2408	2089
uxaA	326	187	327	323
uxaC	347	178	473	396
exuT	141	87	359	331
exuR	487	346	491	416
yqjA	371	263	373	303
yqjG	85	52	73	72
yhaJ	536	352	473	450
yhaK	32	25	58	44
yhaM	76	57	78	80
yhaO	31	26	55	46
tdcG	45	37	100	72
tdcE	207	140	486	431
tdcD	13	18	141	103
tdcC	89	72	436	332
tdcB	9	8	223	155
tdcA	8	9	180	122
garK	73	55	118	92
garR	53	49	173	139
garL	12	12	41	34
garP	44	23	79	56
garD	63	45	440	372
agaR	383	352	521	437
kbaZ	27	13	82	93
agaS	18	9	21	18
kbaY	10	11	26	18
agaC	8	12	18	13
agaD	14	9	29	21
agaI	19	17	9	15
yraI	6	7	14	12
yraL	383	230	336	306
yraQ	321	234	364	301
yraR	66	38	78	70
yhbU	22	29	42	29
yhbV	29	32	26	22
yhbW	118	76	56	55
mtr	347	210	232	173
deaD	1747	1297	693	669
nlpI	3871	3012	5728	4807
pnp	11016	7951	11372	10546
truB	1389	1104	788	820
infB	16318	12137	12336	12203
nusA	6532	4770	5305	5142
argG	15664	11641	3918	3786
yhbX	69	47	74	64
glmM	2130	1454	1802	1763
folP	513	304	395	406
ftsH	11824	8288	10548	9479
rrmJ	1755	1199	2355	2066
dacB	243	132	156	120
obgE	1345	933	1036	951
yhbE	636	453	457	362
ispB	1209	880	969	896
murA	3253	2099	2272	2277
yrbC	1273	898	1226	1149
yrbE	938	701	640	560
yrbF	1269	965	937	889
yrbG	382	227	337	281
kdsD	1112	793	1013	995
lptB	1135	809	1199	1094
rpoN	3074	2171	4565	3903
yhbJ	936	655	980	818
yrbL	2288	1497	2647	2479
mtgA	437	298	630	569
elbB	870	656	1414	1259
arcB	829	611	1539	1396
yhcC	24	16	20	23
gltB	16360	9971	2053	2188
gltD	8058	5349	1206	1173
nanE	32	11	145	135
nanT	32	25	238	174
nanA	67	43	211	179
nanR	484	387	531	366
dcuD	31	20	57	39
sspA	2879	2108	2457	2199
degQ	730	541	1057	922
degS	373	256	346	258
mdh	16193	11565	26332	24177
aaeB	37	34	52	51
aaeA	56	41	62	56
aaeR	121	82	90	65
tldD	1236	865	893	802
rng	1244	852	920	845
mreC	620	425	449	363
mreB	2562	1622	2218	2189
csrD	507	385	1084	973
yhdH	548	356	1053	1009
accC	7404	5309	6754	6760
panF	255	184	150	151
prmA	575	393	408	382
dusB	5549	4377	4212	3724
yhdJ	51	48	80	85
envR	19	13	32	16
acrE	9	13	20	10
acrF	198	144	228	186
aapQ	35	26	61	48
aapP	38	28	97	75
aroE	613	474	455	397
smf	377	279	741	635
fmt	1236	825	992	905
rsmB	563	420	476	435
trkA	524	423	479	451
rpoA	72728	52971	41798	39522
rpsD	47661	35056	29833	28012
secY	63778	48810	38109	36746
rpsC	41711	30497	24030	24096
rplB	44418	33293	24211	24319
rplD	36653	27363	19199	18662
rplC	46335	34264	24179	24243
tufA	128693	94285	96234	89270
fusA	100410	75567	57809	55796
yheO	920	721	987	787
fkpA	5998	4603	8396	7427
kefB	288	176	318	280
yheS	695	499	482	440
yheT	237	148	153	123
prkB	275	190	347	322
crp	2706	1764	4268	3725
yhfK	763	449	611	531
argD	4534	3085	1695	1550
fic	47	39	52	53
tsgA	203	124	58	45
nirB	94	152	77	46
nirC	32	20	24	22
cysG	663	434	585	487
frlA	12	7	17	13
frlB	15	7	11	11
frlC	25	16	27	31
frlD	19	20	34	38
frlR	135	68	145	134
yhfS	32	24	53	38
yhfT	21	15	47	47
php	13	11	20	20
yhfZ	187	168	312	296
trpS	3029	2008	1971	1814
gph	933	621	656	678
rpe	821	620	818	733
dam	682	500	568	511
aroB	4198	3254	3253	2996
hofQ	27	19	94	86
yrfD	36	33	113	102
mrcA	1835	1319	1068	881
igaA	660	458	1012	909
yrfG	427	293	328	289
hslO	1079	687	704	673
pck	2084	1547	26455	24033
envZ	341	200	587	462
ompR	595	365	1381	1200
yhgF	2625	1679	1564	1437
feoB	1245	759	1202	1105
yhgA	48	46	41	41
bioH	262	183	208	147
gntX	217	143	217	174
gntT	1089	857	1962	1846
malQ	718	523	1211	1159
malP	1050	782	1310	1217
malT	3693	2658	14655	12471
rtcB	83	51	62	64
glpG	582	442	386	328
glpD	43	47	71	66
glgP	4562	3088	7504	6665
glgA	2465	1644	3888	3527
glgC	2791	1781	4315	4243
glgX	2978	2053	3681	3491
glgB	6267	4361	6871	6313
asd	11939	7537	4624	4514
gntU	110	88	91	59
gntR	266	154	207	192
yhhW	130	94	159	152
yhhX	717	483	701	617
yhhZ	3	0	6	5
ggt	48	32	69	41
ugpC	63	28	149	148
ugpE	11	10	59	72
ugpA	16	9	43	49
ugpB	126	85	854	708
livF	989	691	656	601
livG	1179	805	888	723
livM	1933	1313	1507	1305
livH	1792	1263	1685	1536
livK	3550	2507	4384	4017
livJ	12210	7523	15135	13670
rpoH	2145	1510	4207	3793
ftsX	936	659	866	730
ftsE	681	452	538	499
ftsY	2230	1622	2156	1837
yhhN	238	124	156	155
yhhQ	67	52	62	56
yhhS	151	108	71	72
yhhT	52	33	63	55
nikA	28	12	29	21
nikB	9	7	13	12
nikC	8	6	13	7
nikD	8	3	10	6
nikE	11	8	5	6
yhhI	406	388	189	125
yhhJ	507	434	1093	1002
rbbA	1030	773	1875	1704
yhiI	948	662	1748	1605
yhiM	57	55	61	60
yhiN	489	352	257	206
pitA	1999	1364	1351	1244
yhiP	32	29	46	33
yhiQ	116	67	61	50
prlC	1306	733	931	903
yhiR	170	94	111	93
gor	1092	716	906	795
arsB	44	32	57	42
yhiD	27	15	33	27
mdtE	21	19	18	7
mdtF	120	63	91	84
gadW	184	118	36	25
gadX	271	290	75	64
gadA	149	109	157	140
yhjA	65	43	81	62
treF	83	48	77	74
yhjB	49	40	58	44
yhjC	114	80	66	68
yhjD	68	57	55	50
yhjE	3927	2299	2028	1816
yhjG	62	40	40	57
yhjH	9	10	9	15
kdgK	240	156	278	254
yhjJ	584	418	887	739
dctA	425	284	7144	6703
yhjK	410	266	399	356
bcsC	659	407	639	584
bcsZ	151	116	226	181
bcsB	330	173	310	309
bcsA	440	305	296	268
bcsE	292	184	338	255
bcsG	135	93	164	155
yhjV	164	119	175	139
dppF	425	319	526	497
dppD	470	363	784	673
dppC	434	358	679	717
dppB	485	407	905	842
dppA	5704	4310	15461	14357
eptB	118	100	882	663
yhjX	18	12	24	16
yhjY	61	38	76	61
yiaD	151	113	116	77
tiaE	1031	566	594	511
yiaF	1781	1420	1946	1817
glyS	5689	4037	4242	3877
glyQ	2547	1891	1879	1706
yiaH	79	58	65	48
xylB	118	69	229	193
xylA	83	49	328	286
xylF	32	22	643	599
xylG	36	29	371	287
xylH	61	45	249	187
xylR	211	146	523	427
bax	2277	1573	15042	13165
avtA	1443	1001	1160	1015
yiaJ	408	308	233	194
yiaK	13	8	90	89
yiaN	5	4	28	32
yiaO	2	1	80	63
sgbH	2	4	43	42
sgbU	7	3	72	51
sgbE	12	6	64	47
yiaT	18	16	29	36
yiaU	84	46	111	83
yiaV	19	20	28	18
aldB	37	27	421	312
yiaY	25	21	50	57
selB	1256	886	863	809
selA	586	404	390	348
yibF	188	121	203	172
yibH	26	24	68	56
mtlA	574	384	1655	1280
mtlD	539	413	637	570
lldP	128	84	294	239
lldR	76	57	117	91
lldD	149	78	163	162
cysE	848	529	1050	975
gpsA	1742	1169	2066	1976
gpmI	2250	1665	446	415
envC	842	587	528	394
yibQ	313	234	225	198
yibD	32	14	75	37
tdh	211	141	283	243
kbl	233	192	522	445
waaD	1239	810	875	760
waaF	990	724	806	712
kdtA	543	334	561	472
mutM	192	156	187	144
yicR	839	640	959	847
dfp	507	277	408	388
pyrE	952	747	259	236
yicC	1143	780	853	780
yicG	5	4	11	4
ligB	41	31	86	72
gmk	1005	652	735	637
spoT	3072	2074	1762	1547
trmH	513	342	285	278
gltS	556	439	316	257
yicE	1309	769	605	523
yicH	720	511	1028	869
yicI	89	53	108	91
yicJ	22	20	58	37
setC	16	11	21	11
yicL	305	226	331	259
nlpA	1815	1282	983	943
yicM	102	81	28	17
uhpT	12	11	115	79
uhpC	93	54	39	39
uhpB	174	128	98	61
ilvB	1855	1159	1837	2041
emrD	6	7	26	12
yidJ	39	25	106	86
yidK	8	3	46	30
yidL	39	26	107	100
yidP	25	16	25	16
yidE	501	389	1637	1431
yidR	214	147	268	230
cbrA	20	6	27	27
dgoT	27	13	85	49
dgoD	43	31	146	112
dgoA	17	15	58	56
dgoR	130	116	290	298
yidX	95	99	167	92
yidA	422	233	196	151
gyrB	3642	2529	2516	2391
recF	443	348	193	166
dnaN	1049	786	834	682
dnaA	1771	1215	1534	1338
yidC	5152	3553	4033	3746
trmE	497	351	395	331
tnaA	71	44	1130	939
tnaB	16	9	97	86
mdtL	33	20	19	16
yidZ	125	78	110	65
yieE	139	81	406	328
yieH	250	193	241	182
yieK	40	28	31	30
yieL	23	29	44	35
bglH	17	8	23	26
bglB	16	9	18	14
bglG	5	4	29	19
phoU	437	351	940	862
pstB	441	325	818	681
pstA	145	106	196	151
pstC	165	131	245	185
pstS	405	288	760	667
glmS	7380	5414	2305	2148
glmU	5782	4129	2353	2166
atpD	27211	18697	25689	24027
atpG	16672	11309	15487	14304
atpA	41597	29737	39671	37096
atpB	13608	9902	15298	14043
gidB	326	264	247	214
gidA	1981	1387	1087	1011
asnA	2223	1312	701	605
yieM	244	195	244	197
ravA	259	196	201	213
trkD	426	268	323	256
rbsA	212	145	407	350
rbsC	142	88	582	410
rbsB	789	867	9736	7771
rbsK	415	289	1652	1482
rbsR	181	138	482	390
hsrA	98	90	118	89
yieP	251	209	156	142
hdfR	310	228	313	289
yifB	36	38	64	52
ilvE	9807	6367	5767	5775
ilvD	10524	6609	5523	5326
ilvA	6150	3840	2542	2391
ilvY	184	99	99	90
ilvC	22146	16004	6877	6753
rep	748	519	487	398
gpp	1195	702	993	873
rhlB	2450	1589	1985	1705
rho	3096	1809	2502	2207
rfe	1117	864	992	838
wzzE	947	658	781	659
rffE	805	588	419	368
rffD	828	554	455	365
rffG	678	375	399	353
rffH	434	305	266	259
rffC	208	171	135	124
rffA	435	297	348	306
wzxE	383	232	247	211
rffT	306	225	202	176
wzyE	197	174	132	147
rffM	216	155	159	131
yifK	1049	729	589	577
hemY	1491	965	1998	1763
hemX	1544	1008	2179	2005
hemD	507	293	624	570
hemC	766	487	752	695
cyaA	2857	1891	1162	1040
dapF	814	535	705	572
yigA	470	310	436	349
xerC	563	371	442	403
yigB	318	210	249	273
uvrD	702	453	565	487
yigE	60	38	56	44
corA	981	689	1172	1046
rarD	154	106	102	102
pldA	887	643	810	681
recQ	807	511	531	478
rhtC	393	294	404	310
rhtB	216	153	244	212
pldB	385	283	562	451
yigL	260	165	186	168
yigM	171	121	144	104
metR	486	355	518	410
ysgA	838	530	2795	2563
udp	920	562	4232	3776
rmuC	189	159	658	557
ubiE	1144	818	1179	1119
yigP	714	452	456	385
ubiB	1104	741	1074	1007
tatC	1136	836	744	646
tatD	265	193	204	141
ubiD	1677	1148	2552	2091
fre	1010	728	1447	1239
fadA	118	73	2215	1933
fadB	269	171	6744	5784
pepQ	2141	1448	2991	2820
yigZ	290	214	382	375
trkH	559	380	533	439
yihE	1016	766	908	852
dsbA	2169	1615	2462	2205
yihG	111	89	80	61
polA	1535	1066	2402	2130
hemN	1031	695	977	795
glnG	818	555	312	271
glnL	676	427	206	175
glnA	8991	6186	4170	4113
bipA	11721	8297	4832	4488
yihL	82	56	91	73
yihM	106	89	187	181
yihN	55	48	92	108
ompL	7	6	1	5
yihO	6	8	24	16
yihP	12	15	47	31
yihQ	35	17	89	80
yihS	69	36	172	161
yihT	29	20	90	106
yihU	14	12	40	33
yihV	30	25	111	86
yihW	257	164	516	416
rbn	203	171	499	441
yiiD	658	431	756	688
fdhE	385	224	530	458
fdoI	107	73	269	268
fdoH	180	128	497	432
fdoG	1371	957	3631	3353
fdhD	213	191	294	254
frvB	11	6	10	17
rhaD	19	6	11	12
rhaA	5	5	16	7
rhaS	22	22	262	196
rhaR	31	22	282	196
sodA	16891	8516	19121	14671
kdgT	31	25	126	106
yiiM	272	187	295	248
cpxA	1515	1085	1572	1368
cpxR	1327	972	1636	1375
fieF	708	510	572	525
pfkA	3175	2168	1559	1374
sbp	846	642	401	436
cdh	263	176	95	102
tpiA	6248	4380	4567	4345
fpr	597	325	612	473
glpX	182	116	195	159
glpK	139	116	1600	1319
glpF	20	17	490	355
menA	412	286	301	302
hslU	1943	1312	1713	1762
ftsN	673	488	632	536
cytR	496	319	437	386
yiiX	57	50	71	71
metB	1493	954	1332	1164
metL	2673	1705	1673	1454
metF	7118	5254	2897	2475
katG	3493	2505	7563	6658
yijE	55	47	83	72
yijF	8	5	17	8
gldA	102	81	317	322
fsaB	23	13	43	50
ptsA	27	26	58	54
frwC	19	8	98	76
pflD	58	35	127	108
pflC	27	9	41	51
yijO	31	20	48	25
yijP	1544	942	863	795
ppc	7041	4003	2263	2078
argE	2180	1392	783	732
argC	3930	2741	1222	1076
argB	2768	1832	876	916
argH	5937	3977	1723	1593
oxyR	1281	847	1253	1151
sthA	1007	738	3419	2884
fabR	857	661	1803	1530
trmA	570	362	521	444
btuB	1492	1072	1435	1252
murI	248	154	251	244
murB	881	693	1010	902
birA	494	325	516	433
coaA	724	550	982	862
tufB	129863	95058	98578	91153
rplA	30120	21880	15297	15336
rpoB	39413	27910	34616	31692
rpoC	41848	29584	37621	35454
thiH	3502	1929	2299	1823
thiG	2501	1272	1874	1419
thiF	3127	1647	2105	1603
thiE	2597	1340	1843	1433
thiC	10766	6125	7539	5887
nudC	375	241	250	220
hemE	815	484	579	547
nfi	276	200	259	215
yjaH	427	310	684	510
zraR	212	148	332	323
purD	1842	1258	842	750
purH	1836	1186	719	624
metA	4367	3113	3481	2929
aceA	471	325	3624	3440
aceK	88	52	518	489
iclR	314	214	259	232
metH	8389	5344	5852	5350
yjbB	285	237	324	237
pepE	142	111	1277	1105
yjbC	739	453	600	484
lysC	7796	4633	2219	2100
pgi	5636	4168	3224	2887
yjbF	7	9	2	8
yjbG	14	4	9	1
yjbH	37	16	30	21
xylE	30	15	50	30
malG	67	49	830	715
malF	154	130	1886	1688
malE	878	625	12405	11197
malK	201	135	3302	3000
malM	170	116	2127	1819
ubiA	451	323	622	521
plsB	1696	1129	1937	1808
lexA	904	615	859	780
dinF	164	88	113	110
yjbM	2	4	6	4
yjbN	538	395	507	507
qor	434	275	569	504
dnaB	1091	732	597	550
alr	500	339	291	256
tyrB	2562	1605	2636	2264
aphA	67	65	980	859
uvrA	682	483	533	530
yjcC	40	32	61	59
yjcE	791	573	654	604
actP	174	115	7115	6235
acs	1024	665	22015	20845
nrfA	37	22	64	58
nrfC	7	3	13	8
nrfD	12	5	22	19
gltP	601	543	75	70
yjcO	394	281	840	778
fdhF	94	63	171	134
yjcQ	14	10	36	25
yjcR	12	2	17	8
phnL	5	1	0	0
phnK	7	2	18	20
phnJ	2	2	8	3
phnI	1	4	0	3
phnF	5	1	2	1
phnD	5	5	4	1
phnC	2	2	7	4
yjcZ	20	14	17	12
proP	1481	1059	282	278
basS	338	234	381	297
basR	298	201	390	317
eptA	384	259	434	417
adiC	13	3	17	12
adiY	4	2	13	12
adiA	19	11	35	30
melR	69	59	306	228
melA	55	41	315	295
melB	43	34	170	123
yjdF	134	99	105	80
fumB	65	60	500	471
dcuB	19	17	61	36
dcuR	196	159	749	639
dcuS	378	308	833	737
lysU	608	480	519	470
yjdL	17	13	33	25
cadA	57	50	97	77
cadB	5	1	14	7
cadC	45	28	58	51
dipZ	453	284	432	407
dcuA	2007	1442	2478	2169
aspA	993	807	20693	16722
yjeH	281	191	164	135
groL	25091	18140	29080	26969
yjeJ	76	72	149	133
yjeK	354	237	224	226
frdB	134	111	1198	1080
frdA	327	251	3121	2947
poxA	238	192	135	124
yjeP	533	377	679	656
psd	638	417	856	726
rsgA	934	598	956	806
yjeS	158	104	106	96
yjeF	217	136	194	195
amiB	542	382	475	438
mutL	889	575	842	749
miaA	4400	3029	5343	4753
hflX	4460	2985	4232	3341
hflK	4763	3238	4724	4519
hflC	4300	2958	4166	3894
purA	8359	5490	5616	5140
rnr	3350	2369	3926	3555
rlmB	759	487	573	537
yjfJ	16	21	42	36
yjfK	10	4	9	15
yjfC	32	27	61	52
aidB	131	73	129	111
yjfP	163	105	165	148
ulaR	226	143	253	195
ulaG	52	33	50	36
ulaA	20	20	52	45
ulaD	42	33	92	63
ulaE	58	32	60	68
ulaF	33	17	36	24
ytfB	495	301	602	518
fklB	808	385	551	525
cycA	1326	952	6431	5462
ytfE	41	19	136	83
ytfF	76	32	52	47
ytfG	59	29	46	32
cpdB	610	437	2398	1991
cysQ	422	306	561	457
ytfL	229	155	243	207
msrA	233	149	210	166
ytfM	644	523	394	346
ytfQ	45	22	725	566
ytfT	12	7	60	41
yjfF	20	15	65	68
fbp	1065	657	1104	1073
mpl	1757	1247	1343	1124
pmbA	916	603	704	583
nrdD	102	100	183	168
treC	34	25	110	135
treB	42	25	136	118
treR	220	138	180	177
mgtA	1924	1514	1926	1658
pyrB	321	226	231	228
yjgI	36	22	20	18
argI	1548	1104	666	626
valS	8002	5626	5057	4789
pepA	4392	2914	3505	3232
yjgP	1005	701	981	801
yjgQ	891	603	839	701
yjgB	19	24	40	29
yjhT	56	69	224	155
yjhA	18	10	99	100
fimB	491	450	237	206
fimC	1331	887	647	751
fimH	533	358	303	287
gntP	36	33	207	148
uxuA	231	146	481	402
uxuB	252	156	583	515
uxuR	343	258	340	292
yjiE	139	90	133	114
iadA	524	405	347	328
yjiH	8	9	13	10
yjiK	52	50	72	49
hgdC	8	8	65	61
yjiM	16	24	193	223
yjiN	79	45	59	45
yjiY	92	57	656	629
tsr	73	38	99	81
mdoB	1513	1097	1816	1422
dnaC	222	150	198	183
yjjP	32	31	70	53
yjjQ	9	5	11	14
bglJ	44	22	54	24
rsmC	477	309	307	260
yjjG	234	155	139	120
prfC	1580	1081	720	669
osmY	83	69	43	39
yjjU	184	134	232	195
yjjW	14	20	16	21
yjjI	37	27	40	25
deoC	170	89	283	276
deoA	220	170	689	564
deoB	790	558	1334	1177
deoD	1033	611	1123	1023
ytjB	262	222	223	202
serB	1333	815	665	596
radA	1506	962	774	742
nadR	1037	742	688	617
slt	620	475	949	792
ytjC	706	461	1123	933
rob	834	628	1196	1003
creB	529	360	411	330
creC	221	168	219	217
arcA	2235	1730	4532	3863
yjtD	104	89	133	145
