"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_starvation1","IAI1_starvation2"
"1741","rpoN",2721.22333837762,-0.142120472401897,0.0886152766073486,-1.60379200791335,0.108759906833628,0.147491177503846,2871.18221103443,2840.58328441755,2644.99777774041,2528.13008031809
"1742","ydcR",126.721887716456,-0.435385556925488,0.272002081043853,-1.60066994801887,0.109450040650301,0.148341874842342,144.583241848146,145.760350219314,77.1570487877193,139.386910010646
"1743","envY",32.1208434673118,0.71503394225496,0.447125716241607,1.59917874611486,0.10978089146221,0.148704925268088,21.6874862772219,26.5018818580571,41.9626054810403,38.3314002529276
"1744","ycfD",698.923496263063,0.198566184807626,0.124939073334174,1.58930412647228,0.11199174758157,0.151612681215646,662.070761629635,638.137418424271,707.949763438197,787.53604156015
"1745","ygeW",37.3290673456969,0.661858802690561,0.416821624329382,1.58787059993688,0.112315602835427,0.151963976099968,29.5190785439965,27.8967177453233,50.084400090274,41.8160730031938
"1746","dgt",361.110606348622,-0.247371705747182,0.155972904875108,-1.58599152811354,0.11274123137484,0.152365224542644,384.952881420689,398.923063758123,320.810887064728,339.75559315095
"1747","ydiD",85.7950645489526,0.478920422321841,0.301916977410429,1.58626529196731,0.112679142124427,0.152365224542644,85.545084760153,57.1882713779128,102.876065050292,97.5708370074522
"1748","yihG",41.1281106806114,-0.65638593869059,0.415238442879993,-1.58074462985184,0.113936439381047,0.153892410399687,54.821145867422,46.0295842797835,27.0726486974454,36.5890638777946
"1749","gabT",556.093478189181,-0.230853053314713,0.146395192176474,-1.57691690473296,0.114814646271946,0.154989925584943,631.346822736904,571.882713779128,569.879255081225,451.265121159466
"1750","sbmA",111.648832231854,-0.41207593730584,0.261730338785096,-1.57442938873124,0.115388213984655,0.155675184695869,127.715196965862,126.930065741221,83.9252109620807,108.024855258251
"1751","metR",371.980170081844,0.271568421182154,0.173277037683054,1.56724990693163,0.117056289218732,0.157835464788935,356.638663225427,318.720000240319,471.06408733555,341.497929526083
"1752","ibrA",17.2167399826479,0.93584624709663,0.597547653390052,1.56614496230939,0.117314684056129,0.158093589644133,13.25346383608,9.76385121086316,28.4262811323177,17.4233637513307
"1753","yigL",106.296895484091,-0.416639741632435,0.266613613213856,-1.56270993296295,0.118120837005101,0.159089159252164,118.076314175986,124.837811910322,81.2179460923361,101.055509757718
"1754","yliF",44.2477452780699,0.612426840748813,0.392186745443816,1.56156945094043,0.118389450841456,0.159269227029446,34.9409501133019,34.8708971816541,63.6207244389966,43.5584093783269
"1755","hycE",9.56176583656702,-1.2338148291632,0.790022249724173,-1.56174693762608,0.118347616561961,0.159269227029446,12.6510336617128,15.3431947599278,6.76816217436135,3.48467275026615
"1756","ybiS",615.258760841755,-0.205684687081951,0.131941346647436,-1.55891001803678,0.119017678893305,0.160007545394461,631.949252911271,685.56183859132,544.160238818652,599.363713045778
"1757","gabP",178.544284565226,0.321686412940991,0.206384804693156,1.55867295278478,0.119073806547254,0.160007545394461,157.836705684226,159.708709091976,208.459394970329,188.172328514372
"1758","tauA",17.1812679014578,-0.963152204840594,0.620561078936838,-1.55206673046704,0.120646257527863,0.162028335621892,19.2777655797528,27.1992998016902,13.5363243487227,8.71168187566537
"1759","yciK",599.848114323619,0.201182692263403,0.13043980079721,1.54234130253061,0.122990677203937,0.165082995382886,534.95799483814,581.646564989991,653.804466043306,628.98343142304
"1760","hyaA",5.99723289153499,1.37002625719038,0.889077053141845,1.54095334296273,0.123328141776584,0.165441899280974,3.01215087183637,2.78967177453233,9.47542704410588,8.71168187566537
"1761","yfeA",298.927716721184,-0.263882346262129,0.171721364881362,-1.5366890802693,0.124369466437822,0.166744071697728,339.168188168776,312.443238747621,253.129265321114,290.970174647223
"1762","queF",358.975856302316,-0.241999959327848,0.15756763944939,-1.53584809782961,0.1245756401091,0.166925701644487,405.435507349176,372.421181900066,323.518151934472,334.52858402555
