	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2
accD	5512	4702	1880	1601
truA	557	517	122	87
usg	997	968	140	100
pdxB	1029	998	253	197
flk	279	205	42	25
yfcJ	57	59	8	11
fabB	9821	9027	12369	10057
trmC	382	306	103	101
yfcA	328	345	179	138
mepA	425	376	109	79
aroC	1327	1119	245	196
prmB	1277	1135	201	125
yfcY	853	796	734	510
fadL	1081	1006	707	523
vacJ	1645	1404	350	284
yfdC	68	40	67	51
dsdA	98	98	69	63
emrY	13	8	27	19
emrK	11	10	33	21
evgA	143	139	32	25
yfdE	41	26	65	52
yfdV	14	24	45	29
oxc	51	64	46	34
frc	43	62	27	31
yfdX	29	37	39	17
ddg	43	32	28	20
yfdZ	866	788	895	730
ypdA	137	89	131	74
ypdB	196	164	240	164
ypdC	69	41	80	44
ypdD	103	90	24	28
ypdE	28	30	11	6
ypdF	53	38	16	12
ypdG	47	38	23	14
glk	984	828	653	522
yfeO	116	103	126	117
mntH	416	382	1309	923
nupC	2472	2140	651	596
yfeA	563	448	187	167
gltX	2310	2143	418	332
yfeR	116	100	97	76
yfeH	515	410	286	317
ligA	916	802	304	246
zipA	3328	3112	2792	2195
cysZ	387	303	500	447
cysK	18922	18332	1806	1373
ptsI	25773	23771	3926	3391
pdxK	558	577	158	129
cysM	1398	1433	69	43
cysA	1940	1963	74	54
cysW	1217	1095	42	33
cysU	854	823	25	30
cysP	2337	2011	116	64
ucpA	7036	6406	7663	6724
yfeT	139	128	49	42
yfeU	269	218	397	330
murP	230	198	464	343
murQ	402	370	586	509
yfeX	864	780	502	372
amiA	397	299	119	111
hemF	176	134	47	22
yfeG	61	59	22	26
eutL	59	45	23	19
eutC	53	52	26	15
eutB	86	93	32	22
eutA	28	28	12	14
eutH	54	40	19	13
eutG	25	23	8	11
eutJ	7	10	1	2
eutE	17	25	11	7
eutI	137	116	102	84
eutT	86	84	50	41
eutQ	121	115	75	46
maeB	18584	18886	10374	7812
talA	375	298	512	367
tktB	275	235	481	326
ypfG	135	137	64	60
aegA	102	100	80	45
narQ	212	200	237	194
acrD	193	188	79	62
dapE	707	721	744	496
ypfH	234	237	120	130
ypfJ	671	531	570	385
purC	3751	3274	416	323
nlpB	5250	4800	1500	1208
dapA	6314	5828	1949	1664
hyfA	4	5	1	0
hyfC	5	10	15	6
hyfD	9	9	8	6
hyfE	7	0	8	5
hyfG	19	20	13	8
hyfI	14	8	5	3
perM	320	245	278	213
yfgC	1642	1487	795	555
hda	436	356	158	106
uraA	576	554	23	21
upp	2141	2143	50	19
purM	2791	2517	124	98
purN	499	460	46	37
ppk	915	784	924	787
ppx	659	605	308	249
yfgF	110	89	74	48
guaA	2036	1880	397	340
guaB	1433	1247	123	109
xseA	253	215	66	52
der	1605	1421	374	284
yfgL	4217	3794	650	501
yfgM	1800	1712	343	266
hisS	3265	2891	709	515
ispG	1607	1445	944	687
yfgA	1339	1118	997	803
yfgB	1031	948	182	136
pbpC	229	195	39	42
sseA	2619	2158	1263	1045
sseB	592	489	487	356
pepB	1578	1384	695	482
