	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2
aroE	475	417	185	113
smf	757	645	842	714
fmt	1003	918	855	634
rsmB	496	449	124	88
trkA	490	456	243	165
rpoA	41803	39530	3632	3080
rpsD	29833	28012	2248	1944
secY	39647	38127	6711	5577
rpsC	24030	24096	1152	942
rplB	24211	24319	755	611
rplD	19199	18662	510	447
rplC	24179	24243	646	552
tufA	96211	89262	7086	5480
fusA	58585	56492	3094	2363
yheO	991	787	222	180
fkpA	8453	7456	1874	1501
kefB	338	301	290	277
yheS	491	446	94	71
yheT	167	141	30	18
prkB	354	325	336	293
crp	4021	3524	2296	2074
yhfK	634	543	96	106
argD	1745	1601	97	69
fic	53	57	93	70
tsgA	58	45	34	26
nirB	77	48	44	49
nirC	24	22	12	3
cysG	634	520	353	256
frlA	17	13	4	10
frlB	11	11	11	6
frlC	28	31	9	6
frlD	34	38	14	12
frlR	145	134	102	91
yhfS	53	38	29	31
yhfT	53	49	13	22
php	21	20	12	8
yhfZ	376	351	608	515
trpS	2175	1973	541	447
gph	665	695	121	73
rpe	837	757	148	114
dam	569	511	137	84
aroB	3256	2996	600	446
hofQ	94	86	15	14
yrfD	119	107	23	20
mrcA	1121	927	82	64
igaA	1078	954	595	497
yrfG	328	289	108	83
hslO	706	679	272	186
pck	30557	27715	23151	19574
envZ	656	510	294	224
ompR	1388	1210	1311	1053
yhgF	1595	1470	69	44
feoB	1216	1113	1146	894
yhgA	51	49	33	30
bioH	209	147	63	49
gntX	218	175	97	83
gntT	2017	1899	77	70
malQ	1255	1203	74	58
malP	1325	1231	94	71
malT	16032	13690	2358	1818
rtcB	62	66	66	58
glpG	405	341	60	41
glpD	81	83	151	124
glgP	7656	6802	4591	3586
glgA	3890	3531	2083	1535
glgC	4335	4263	2755	1988
glgX	3686	3496	2106	1788
glgB	6931	6372	1228	963
asd	4625	4518	1288	1005
gntU	98	69	27	19
gntR	234	225	76	87
yhhW	168	161	168	142
yhhX	709	619	337	309
yhhZ	6	5	4	3
ggt	70	41	14	15
ugpC	160	161	38	15
ugpE	62	72	12	9
ugpA	44	50	15	4
ugpB	895	753	880	642
livF	902	847	235	173
livG	1056	832	246	165
livM	1682	1459	460	319
livH	1850	1687	610	398
livK	4774	4384	1570	1066
livJ	16109	14481	4227	3140
rpoH	4340	3933	2292	1830
ftsX	995	844	722	519
ftsE	553	521	231	175
ftsY	2306	1991	862	650
yhhN	165	167	102	78
yhhQ	71	63	36	58
yhhS	71	73	101	68
yhhT	70	56	55	58
nikA	32	22	3	11
nikB	13	12	7	5
nikC	13	8	2	2
nikD	10	6	2	7
nikE	10	8	5	2
yhhI	889	558	626	453
yhhJ	1294	1173	592	470
rbbA	2006	1796	807	623
yhiI	1899	1743	1208	911
yhiM	62	60	86	66
yhiN	271	214	212	149
pitA	1355	1249	452	337
yhiP	47	34	50	34
yhiQ	73	69	19	14
prlC	1028	1003	810	689
yhiR	122	99	32	28
gor	908	795	229	174
arsB	57	42	25	29
yhiD	33	27	17	11
mdtE	18	7	5	3
mdtF	97	87	54	51
gadW	36	28	24	13
gadX	89	66	62	38
gadA	159	140	98	85
yhjA	81	63	68	56
treF	78	75	113	107
yhjB	59	44	41	31
yhjC	70	68	32	33
yhjD	57	51	69	48
yhjE	2219	2001	632	490
yhjG	48	66	79	65
yhjH	15	20	8	6
kdgK	289	263	141	129
yhjJ	965	795	198	135
dctA	7155	6717	9575	9075
yhjK	394	352	123	98
bcsC	668	597	166	122
bcsZ	227	184	62	50
bcsB	312	310	131	98
bcsA	425	389	255	193
bcsE	338	255	395	282
bcsG	171	157	76	61
yhjV	179	140	58	72
dppF	624	579	45	30
dppD	839	727	49	31
dppC	681	718	36	18
dppB	879	825	40	29
dppA	16999	15663	1905	1560
eptB	883	662	571	438
yhjX	29	23	94	66
yhjY	76	62	132	94
yiaD	116	77	10	10
tiaE	601	518	100	50
yiaF	2103	1932	1019	804
glyS	4552	4214	756	689
glyQ	1891	1721	407	285
yiaH	65	48	80	71
xylB	250	209	171	153
xylA	356	304	267	185
xylF	674	617	481	366
xylG	375	288	158	153
xylH	255	195	180	104
xylR	507	411	208	180
bax	15891	13900	2356	1805
avtA	1216	1063	361	305
yiaJ	236	200	99	82
yiaK	96	102	154	124
yiaN	28	32	49	36
yiaO	94	72	64	51
sgbH	64	61	23	16
sgbU	92	78	28	31
sgbE	77	60	30	23
yiaT	30	36	36	9
yiaU	111	84	131	90
yiaV	30	21	29	20
aldB	428	314	409	263
yiaY	52	59	21	23
selB	943	905	194	151
selA	402	351	78	78
yibF	206	173	54	36
yibH	68	56	61	40
mtlA	1701	1312	1490	1174
mtlD	753	659	758	521
lldP	327	264	225	180
lldR	126	93	76	46
lldD	180	169	99	77
cysE	1137	1031	922	655
gpsA	2357	2234	613	464
gpmI	514	467	156	156
envC	600	453	68	42
yibQ	238	207	46	47
yibD	78	38	19	13
tdh	437	357	455	372
kbl	553	472	594	471
waaD	991	854	673	541
waaF	809	712	172	121
kdtA	591	493	169	121
mutM	190	144	159	139
yicR	813	696	388	292
dfp	414	398	64	58
pyrE	337	300	13	8
yicC	938	865	243	211
yicG	14	5	9	9
ligB	89	73	45	33
gmk	735	637	457	387
spoT	1841	1600	127	112
trmH	285	278	23	16
gltS	335	268	386	289
yicE	605	523	23	18
yicH	1059	888	819	630
yicI	113	93	88	77
yicJ	58	37	29	29
setC	21	11	21	16
yicL	331	259	129	79
nlpA	984	944	195	113
yicM	34	20	10	10
uhpT	115	81	38	40
uhpC	39	39	10	3
uhpB	105	63	10	5
ilvB	2187	2505	263	243
emrD	26	12	26	35
yidJ	128	101	113	95
yidK	46	30	23	12
yidL	120	109	128	117
yidP	26	18	11	9
yidE	1639	1436	958	662
yidR	336	276	194	159
cbrA	32	33	21	17
dgoT	89	51	42	55
dgoD	168	132	132	96
dgoA	59	57	60	48
dgoR	308	319	307	225
yidX	167	92	82	87
yidA	220	170	60	56
gyrB	2625	2513	1461	1256
recF	198	173	14	21
dnaN	854	699	168	141
dnaA	1546	1346	629	523
yidC	4049	3768	318	231
trmE	427	374	178	120
tnaA	1184	993	211	143
tnaB	109	95	71	65
mdtL	21	17	9	6
yidZ	119	77	49	26
yieE	408	330	69	58
yieH	248	186	76	53
yieK	35	32	21	25
yieL	45	37	15	21
bglH	22	26	42	27
bglB	18	17	10	9
bglG	30	19	17	18
phoU	977	886	287	251
pstB	819	682	212	145
pstA	211	169	24	11
pstC	245	185	59	43
pstS	760	667	60	50
glmS	2860	2647	679	538
glmU	2669	2443	493	368
atpD	26002	24286	1997	1563
atpG	15487	14304	854	734
atpA	39671	37096	2373	1768
atpB	15310	14055	1876	1342
gidB	247	214	81	77
gidA	1094	1017	148	146
asnA	786	691	106	97
yieM	244	197	49	38
ravA	225	229	93	85
trkD	332	263	67	61
rbsA	414	358	253	140
rbsC	586	411	384	280
rbsB	9857	7878	3889	3157
rbsK	1659	1493	433	315
rbsR	484	390	56	45
hsrA	119	90	45	42
yieP	170	149	140	121
hdfR	313	289	228	206
yifB	67	54	34	28
ilvE	6079	6109	301	200
ilvD	6268	5972	356	291
ilvA	3408	3150	211	163
ilvY	132	124	93	74
ilvC	8549	8392	152	112
rep	560	463	131	103
gpp	1002	885	167	115
rhlB	2006	1733	589	505
rho	2606	2270	2477	2199
rfe	972	826	332	236
wzzE	786	664	140	116
rffE	430	378	24	20
rffD	475	379	29	17
rffG	409	362	39	12
rffH	282	265	19	16
rffC	141	131	18	13
rffA	348	306	76	53
wzxE	258	225	67	35
rffT	216	185	45	27
wzyE	136	149	35	28
rffM	173	151	55	44
yifK	597	578	118	87
hemY	2186	1892	781	584
hemX	2366	2165	651	508
hemD	632	577	218	177
hemC	820	749	559	429
cyaA	1208	1080	827	666
dapF	705	572	133	103
yigA	462	365	40	25
xerC	452	409	20	17
yigB	249	274	15	14
uvrD	652	557	280	207
yigE	57	44	7	4
corA	1183	1059	485	461
rarD	114	113	68	29
pldA	842	711	163	126
recQ	605	527	39	25
rhtC	453	350	332	268
rhtB	285	240	174	113
pldB	389	311	186	115
yigL	196	179	60	58
yigM	151	110	56	57
metR	592	457	348	196
ysgA	3022	2750	360	264
udp	4260	3815	2242	1861
rmuC	676	567	512	399
ubiE	1179	1119	634	514
yigP	779	649	265	200
ubiB	1075	1007	449	351
tatC	744	646	115	123
tatD	204	141	24	32
ubiD	2652	2179	1555	1257
fre	1476	1271	974	696
fadA	2276	1971	1295	1070
fadB	6971	6022	3211	2435
pepQ	3311	3112	1411	1043
yigZ	388	390	159	126
trkH	544	455	222	143
yihE	924	871	459	353
dsbA	2466	2219	695	519
yihG	91	66	20	21
polA	2405	2134	1485	1213
hemN	977	795	420	299
glnG	312	271	147	109
glnL	206	175	87	74
glnA	4268	4189	863	679
bipA	4874	4531	1436	1180
yihL	107	85	51	47
yihM	187	181	90	70
yihN	94	111	14	18
ompL	3	5	17	14
yihO	24	16	60	56
yihP	53	37	54	46
yihQ	89	80	87	67
yihS	172	161	60	40
yihT	90	106	20	24
yihU	41	34	25	7
yihV	111	86	74	59
yihW	516	416	370	303
rbn	518	459	227	197
yiiD	816	755	182	150
fdhE	611	527	298	239
fdoI	269	269	603	449
fdoH	504	441	1165	974
fdoG	3740	3451	7827	7077
fdhD	298	257	283	240
frvB	11	17	3	3
rhaD	16	18	10	8
rhaA	15	8	6	5
rhaS	257	189	84	59
rhaR	286	200	259	239
sodA	19138	14676	5107	4120
kdgT	126	106	88	65
yiiM	303	254	148	134
cpxA	1603	1405	433	395
cpxR	1636	1375	618	455
fieF	573	525	408	347
pfkA	1569	1384	936	773
sbp	427	473	38	33
cdh	113	117	24	18
tpiA	5094	4892	790	586
fpr	674	517	497	345
glpX	195	159	199	168
glpK	1685	1390	1016	816
glpF	490	355	348	320
menA	303	302	72	59
hslU	1718	1775	1940	1424
ftsN	657	561	294	235
cytR	447	391	170	150
yiiX	127	116	48	28
metB	1344	1168	1053	476
metL	1768	1537	1313	679
metF	3173	2722	1432	740
katG	8468	7404	3760	2688
yijE	96	76	62	65
yijF	19	10	6	5
gldA	348	338	281	163
fsaB	52	63	31	16
ptsA	75	69	60	57
frwC	98	76	30	26
pflD	135	116	79	57
pflC	46	54	20	12
yijO	53	28	18	18
yijP	943	884	106	91
ppc	2301	2123	662	576
argE	802	748	174	137
argC	1225	1076	81	41
argB	876	916	62	31
argH	1744	1617	119	65
oxyR	1288	1168	620	472
sthA	3528	2967	2914	2510
fabR	1808	1534	1262	1098
trmA	554	474	196	140
btuB	1435	1257	396	301
murI	279	269	152	122
murB	1064	964	450	323
birA	550	471	239	202
coaA	990	868	232	201
tufB	98636	91204	7049	5451
rplA	15297	15336	1759	1333
rpoB	34632	31699	5908	4430
rpoC	38008	35815	6843	5345
thiH	2552	2018	355	230
thiG	1904	1456	235	134
thiF	2112	1613	204	171
thiE	1847	1436	219	149
thiC	7550	5897	1146	779
nudC	250	220	79	67
hemE	581	547	180	124
nfi	259	215	40	29
yjaH	762	568	81	79
zraR	340	328	247	170
purD	868	775	77	55
purH	790	677	43	39
metA	3606	3032	2644	1424
aceA	3848	3644	3358	2602
aceK	503	473	1048	936
iclR	269	238	258	232
metH	6322	5731	2551	1862
yjbB	340	246	125	102
pepE	1278	1107	280	306
yjbC	711	601	306	246
lysC	2275	2146	494	510
pgi	3449	3069	1813	1467
yjbF	3	8	1	3
yjbG	9	1	1	1
yjbH	33	22	14	12
xylE	52	32	93	58
malG	839	731	135	119
malF	1919	1700	33	33
malE	12946	11690	86	90
malK	3337	3035	23	19
malM	2134	1824	57	76
ubiA	647	538	1187	882
plsB	2009	1882	1296	951
lexA	863	783	1357	1037
dinF	118	120	73	59
yjbM	6	4	7	11
yjbN	467	477	138	101
qor	587	520	311	286
dnaB	678	620	102	92
alr	301	266	122	89
tyrB	2642	2269	193	157
aphA	1013	879	363	320
uvrA	630	632	353	290
yjcC	61	59	147	107
yjcE	674	619	189	177
actP	7858	6913	970	740
acs	22400	21202	6193	4326
nrfA	64	59	33	29
nrfC	14	10	5	1
nrfD	22	19	8	7
gltP	79	72	60	33
yjcO	874	810	467	498
fdhF	173	136	141	94
yjcQ	40	26	7	10
yjcR	19	10	5	5
phnL	0	1	0	1
phnK	18	20	12	11
phnJ	9	4	2	1
phnI	0	5	1	1
phnF	3	1	0	0
phnD	7	2	3	2
phnC	9	4	1	1
yjcZ	17	12	17	10
proP	284	285	267	209
basS	414	343	56	43
basR	420	340	102	66
eptA	456	436	55	58
adiC	17	12	32	20
adiY	13	12	53	34
adiA	36	31	46	37
melR	306	228	517	377
melA	320	297	129	109
melB	172	123	96	62
yjdF	108	85	57	36
fumB	500	471	453	353
dcuB	61	36	66	47
dcuR	793	689	273	208
dcuS	889	776	375	262
lysU	539	492	170	152
yjdL	33	27	29	26
cadA	97	78	83	72
cadB	15	7	12	8
cadC	58	52	121	110
dipZ	457	417	89	73
dcuA	2483	2175	4978	4483
aspA	20727	16754	24403	19910
yjeH	175	139	136	103
groL	30232	28015	23628	16825
yjeJ	151	134	98	86
yjeK	267	268	78	55
frdB	1205	1085	1334	1072
frdA	3142	2968	3498	2661
poxA	135	124	100	68
yjeP	755	693	112	77
psd	859	726	265	188
rsgA	958	809	269	204
yjeS	110	98	101	87
yjeF	201	201	149	113
amiB	509	464	256	165
mutL	867	769	570	431
miaA	5344	4757	3228	2601
hflX	4244	3358	1483	1136
hflK	4728	4521	1140	800
hflC	4173	3899	1069	796
purA	5639	5159	2047	1548
rnr	4018	3628	3009	2226
rlmB	603	577	280	200
yjfJ	44	38	18	17
yjfK	11	17	5	5
yjfC	69	63	37	38
aidB	136	116	125	79
yjfP	167	156	133	88
ulaR	262	198	332	287
ulaG	58	42	54	43
ulaA	59	53	35	22
ulaD	93	64	32	22
ulaE	79	88	33	22
ulaF	47	36	30	21
ytfB	659	562	569	443
fklB	552	525	58	69
cycA	6804	5754	3096	2424
ytfE	140	93	129	90
ytfF	58	54	37	29
ytfG	48	32	47	25
cpdB	2779	2370	1135	881
cysQ	559	464	978	712
ytfL	245	211	227	183
msrA	211	167	209	167
ytfM	417	358	194	146
ytfQ	971	777	583	417
ytfT	70	48	107	82
yjfF	79	80	129	115
fbp	1108	1080	2090	1959
mpl	1493	1250	461	317
pmbA	726	604	392	297
nrdD	202	183	126	139
treC	112	137	26	14
treB	145	122	62	39
treR	192	186	99	78
mgtA	1980	1696	335	264
pyrB	231	228	12	7
yjgI	20	18	27	14
argI	858	802	51	38
valS	5487	5189	996	725
pepA	3791	3474	776	610
yjgP	986	806	389	323
yjgQ	914	768	415	347
yjgB	48	35	33	20
yjhT	243	167	209	174
yjhA	99	100	43	21
fimB	237	206	27	16
fimC	665	768	316	224
fimH	321	310	103	70
gntP	209	148	174	145
uxuA	509	427	728	562
uxuB	599	525	354	244
uxuR	358	306	419	341
yjiE	133	115	49	26
iadA	365	347	46	45
yjiH	13	10	24	12
yjiK	105	68	73	64
hgdC	73	66	26	26
yjiM	202	229	124	73
yjiN	74	55	35	30
yjiY	814	746	584	430
tsr	107	84	81	63
mdoB	1881	1478	425	321
dnaC	200	184	38	45
yjjP	74	55	55	56
yjjQ	13	15	9	12
bglJ	54	26	44	28
rsmC	312	263	50	52
yjjG	161	144	36	16
prfC	826	770	35	33
osmY	45	39	168	147
yjjU	235	196	59	54
yjjW	20	24	8	6
yjjI	40	25	31	26
deoC	298	289	388	279
deoA	726	595	438	346
deoB	1480	1299	1951	1526
deoD	1316	1206	1973	1809
ytjB	228	206	146	127
serB	688	619	62	46
radA	869	818	123	75
nadR	978	853	200	151
slt	986	833	746	547
ytjC	1138	953	263	214
rob	1283	1066	1069	1044
creB	517	420	130	95
creC	241	231	51	60
arcA	4677	3951	13489	10931
yjtD	138	155	128	102
