"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_chemostat1","K12_chemostat2"
"32","adhP","adhP",954,323.177982602957,0.924070374746931,0.19324405790229,4.78188247948182,1.73661200214114e-06,4.29784165309773e-06,447.972986920041,400.215132474304,238.263354368125,206.260456649358
"33","adiA","adiA",1975,15.6768563871276,0.520923948067908,0.613623813893619,0.848930462399262,0.395919987081572,0.473299792151693,21.5371628326943,15.8501042564081,14.0049296463555,11.3152288130526
"34","adiC","adiC",860,18.2638040453736,3.07993524277199,0.579690823561705,5.31306537482931,1.07796343599988e-07,2.95938566557642e-07,34.4594605323108,31.7002085128161,4.30920912195555,2.58633801441202
"35","adiY","adiY",972,13.44470367943,3.21120721266393,0.684763795147402,4.6895107998119,2.73858980845367e-06,6.6520684544847e-06,17.2297302661554,31.7002085128161,1.61595342073333,3.23292251801502
"36","adk","adk",240,608.393140257221,-3.072011420731,0.229851198979411,-13.3652181688475,9.65515057195368e-41,9.49825437515944e-40,111.99324673001,142.650938307673,1109.80089928363,1069.12747670757
"37","aegA","aegA",2152,22.7879966020113,0.225760663283235,0.530671420256801,0.425424574728343,0.670527194599335,0.735301134071968,21.5371628326943,27.7376824487141,22.8028982703481,19.0742428562886
"38","aer","aer",294,916.103902283078,-2.55437450658291,0.212163988538809,-12.0396233318156,2.19957660098274e-33,1.7663946785443e-32,275.675684258487,253.601668102529,1734.63622196719,1400.50203480411
"39","aes","aes",1104,58.236672106214,1.65221591828601,0.411141045534165,4.01861097604449,5.85422349266324e-05,0.000125197660019727,99.0709490303936,79.2505212820404,35.5509752561332,19.0742428562886
"40","agaC","agaC",2061,1.01463739085633,-0.909503471306026,1.38970469896297,-0.654458081623182,0.512816725112112,0.587462536627703,0,0,1.79550380081481,2.26304576261051
"41","agaD","agaD",1853,7.78884246557116,0.932939517719195,0.809496003590467,1.15249428481574,0.249118016920447,0.317413727981206,12.9222976996166,7.92505212820404,4.48875950203703,5.81926053242704
"42","agaI","agaI",1868,1.66109493489079,-1.48851064987483,1.33144890141589,-1.11796303132018,0.263582782759175,0.333147189558036,0,0,3.41145722154814,3.23292251801502
