	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_chemostat1	K12_chemostat2
dcm	11	6	1039	549
yedJ	17	7	342	194
hchA	337	372	471	301
yedW	9	15	449	244
yedZ	20	24	101	53
yodA	18	28	10386	6150
yeeI	250	225	4484	1987
shiA	29	30	1179	650
amn	26	21	834	544
yeeN	10	16	2534	1463
yeeO	40	35	175	89
cbl	13	13	994	487
nac	13	18	80	47
erfK	609	638	619	376
cobS	21	20	611	361
yeeA	44	43	460	301
dacD	20	19	344	185
yeeE	50	41	8398	3515
yeeF	16	23	2706	1689
yeeY	191	200	220	127
yeeZ	442	462	1094	628
hisG	14	19	1154	713
hisD	11	17	849	539
hisC	13	19	754	462
hisB	16	31	1546	901
hisA	16	18	1077	605
hisF	17	15	934	502
ugd	16	28	310	152
gnd	296	299	19067	11233
galF	99	97	6011	3471
wcaL	3	1	43	25
wcaK	0	2	37	16
wzxC	1	1	25	16
wcaJ	0	1	25	14
cpsG	1	3	33	17
cpsB	1	1	46	24
fcl	0	0	28	14
gmd	0	0	39	29
wcaE	0	0	8	7
wcaD	4	1	26	22
wcaC	1	1	53	25
wcaA	1	1	13	10
wzc	2	0	35	17
wza	0	2	9	5
yegH	123	136	504	280
asmA	60	67	2246	1130
udk	2	6	400	254
yegL	0	2	39	12
mdtA	9	6	84	65
mdtB	10	9	217	118
mdtC	7	12	219	108
baeS	5	7	117	74
baeR	15	18	194	150
yegQ	13	20	526	347
yegS	57	58	312	192
gatD	54	70	9551	3966
gatZ	5889	6069	138739	53535
gatY	7161	6805	115782	47113
fbaB	464	548	5305	2643
yegT	6	2	142	86
yegU	4	3	194	87
yegV	2	5	163	79
yegW	9	14	177	99
yegX	4	8	260	118
thiD	17	14	946	509
thiM	17	11	1852	1001
rncA	2	3	57	37
yehA	2	5	27	14
yehC	0	0	0	2
mrp	93	101	3604	2192
metG	21	22	2279	1443
yehL	0	0	8	4
yehP	1	4	21	11
yehT	9	15	654	306
yehU	33	39	1355	572
mlrA	20	28	227	135
yehW	6	1	107	43
yehX	10	9	157	82
yehY	8	6	179	91
yehZ	86	105	442	225
bglX	55	62	1998	1079
dld	85	111	5011	2635
pbpG	17	13	651	356
yohF	97	116	213	126
dusC	4	6	159	90
yohK	34	59	66	49
cdd	75	90	330	180
sanA	5	5	160	92
yeiT	20	31	268	127
yeiA	36	39	402	168
mglC	23	43	5006	1878
mglA	45	62	12035	4298
mglB	324	324	36197	15214
galS	22	35	1067	394
yeiB	3	5	326	200
folE	6	6	1440	940
frmC	32	46	2069	1247
cirA	31	36	2542	1330
lysP	105	109	2934	1836
yeiE	114	101	409	277
yeiH	34	42	164	109
nfo	9	13	650	419
yeiJ	3	4	31	32
rihB	3	3	21	7
yeiL	3	8	54	24
yeiC	2	0	213	68
fruA	296	302	1670	914
fruK	94	110	781	408
fruB	51	59	703	419
setB	1	5	46	24
yeiQ	64	64	493	279
yeiR	0	1	248	145
yeiU	2	1	160	103
rtn	14	17	556	343
yejB	1	4	114	71
yejE	3	4	161	112
yejF	23	23	584	347
bcr	37	37	473	256
rsuA	9	9	508	371
yejH	3	3	99	69
yejK	25	23	1714	886
yejM	30	43	1253	646
narP	43	42	1068	592
ccmH	4	1	249	151
ccmF	2	7	287	137
ccmC	0	5	152	67
ccmB	1	4	79	40
ccmA	24	30	162	87
napC	18	28	313	141
napH	1	1	74	38
napG	1	1	54	32
napA	8	12	503	250
mqo	10	6	249	154
yojI	6	10	1036	551
alkB	8	13	39	18
ada	38	45	158	110
yojL	0	3	158	72
rcsB	178	228	4021	2308
rcsC	48	35	1463	809
yfaP	11	6	38	11
yfaQ	8	6	113	40
yfaT	0	0	8	4
gyrA	108	104	11092	6511
ubiG	7	9	627	346
nrdA	24	30	2922	1878
nrdB	38	46	2137	1318
inaA	31	35	587	289
glpQ	2138	2294	62411	23644
glpT	2195	2278	68349	24728
glpA	2431	2295	8081	3167
glpB	1280	1185	5284	2028
glpC	776	809	3180	1276
yfaY	30	24	593	334
ais	2	2	22	11
yfbE	16	24	178	99
yfbF	1	2	48	36
yfbG	6	6	234	123
yfbH	3	0	80	43
arnT	41	46	105	51
menE	13	6	332	182
menC	15	19	485	301
menB	21	30	908	509
yfbB	8	6	283	178
menD	21	27	328	178
menF	26	14	633	377
elaC	4	4	306	234
nuoN	52	98	2299	1429
nuoM	29	34	2451	1445
nuoL	105	146	5309	2958
nuoH	78	76	4656	2382
nuoG	253	298	15983	7900
nuoF	89	131	7917	3978
nuoC	180	217	10396	5175
nuoB	209	188	5668	2759
lrhA	546	678	2908	1333
yfbQ	18	27	1133	659
yfbS	62	57	351	188
yfbT	161	158	1552	920
ackA	538	515	2469	1371
pta	189	154	3677	2113
yfcF	14	12	201	125
yfcG	98	100	90	57
yfcH	390	456	1004	609
hisP	6	11	1229	573
hisM	13	8	913	441
hisQ	35	35	2099	969
hisJ	217	206	10123	4298
purF	23	23	2659	1648
dedD	105	124	829	419
folC	124	154	1667	875
accD	126	140	6993	3837
truA	85	85	1028	619
usg	21	15	989	588
pdxB	27	35	1573	975
flk	4	4	461	242
yfcJ	2	1	83	65
fabB	236	233	4238	2839
trmC	15	11	477	315
yfcA	8	4	451	249
mepA	7	7	562	341
aroC	25	23	2536	1500
prmB	17	16	1936	1104
yfcY	370	411	1520	568
fadL	444	446	3592	1509
vacJ	145	189	1418	798
yfdC	84	98	193	91
dsdA	15	19	199	129
emrY	2	3	15	9
emrK	22	43	35	17
evgA	5	13	343	230
yfdE	77	81	48	13
yfdV	1	4	12	9
oxc	0	0	52	18
frc	0	1	41	19
yfdX	1	5	25	8
ddg	0	0	90	50
yfdZ	48	63	938	551
ypdA	68	59	378	205
ypdB	83	74	428	212
ypdC	15	20	101	60
ypdD	2	3	132	72
ypdE	0	1	44	18
ypdF	0	3	67	31
ypdG	2	1	27	16
glk	111	119	1848	968
yfeO	49	51	195	114
mntH	1100	1180	918	543
nupC	22	22	965	589
yfeA	19	21	749	412
gltX	66	77	5728	3320
yfeR	16	10	166	103
yfeH	53	61	529	290
ligA	76	78	1193	648
zipA	319	418	4473	2263
cysZ	35	35	388	233
cysK	188	248	36987	18154
ptsI	2256	2488	45644	26560
pdxK	23	30	718	387
cysM	19	25	4221	1907
cysA	27	28	3742	1670
cysW	8	10	2064	892
cysU	6	17	1838	711
cysP	18	27	4240	1922
ucpA	1703	1554	4154	1595
yfeT	10	6	130	59
yfeU	28	29	206	82
murP	34	30	188	71
murQ	24	23	230	123
yfeX	47	59	2025	1106
amiA	48	44	791	476
hemF	4	14	279	159
yfeG	4	7	162	60
eutL	5	4	184	80
eutC	7	10	187	115
eutB	44	51	905	590
eutA	0	2	17	9
eutH	7	11	25	15
eutG	1	0	25	14
eutJ	3	0	15	11
eutE	2	2	32	11
eutI	4	3	72	46
eutT	2	3	38	24
eutQ	1	9	63	22
maeB	558	600	21048	9712
talA	323	369	1937	1255
tktB	607	699	3147	2002
ypfG	15	25	325	197
aegA	5	7	127	59
narQ	24	21	260	147
acrD	7	17	222	113
dapE	164	230	881	524
ypfH	105	91	360	160
ypfJ	675	709	1022	626
purC	18	30	4411	2464
nlpB	106	129	4710	2705
dapA	128	149	7456	4055
hyfA	1	0	5	5
hyfC	0	1	9	5
hyfD	2	3	25	12
hyfE	0	1	17	5
hyfG	7	7	41	19
hyfI	1	4	20	10
perM	7	17	383	238
yfgC	53	69	1979	1086
hda	4	5	952	522
uraA	9	14	2549	1405
upp	13	14	4495	2444
purM	30	26	3034	1756
purN	6	9	869	553
ppk	101	87	1321	782
ppx	23	31	1188	648
yfgF	7	13	102	62
guaA	38	50	5682	3165
guaB	18	14	3373	2176
xseA	5	7	550	366
der	92	101	2788	1626
yfgL	135	181	3769	2122
yfgM	38	40	2542	1343
hisS	96	100	5768	3272
ispG	350	414	3237	1813
yfgA	380	373	2094	1213
yfgB	43	51	1941	1078
pbpC	6	5	142	61
sseA	469	459	1576	683
sseB	17	13	944	543
pepB	55	58	3255	1679
hscA	36	43	2889	1719
iscS	414	469	9518	5760
yfhQ	54	69	1100	665
suhB	16	14	1610	942
yfhR	5	6	31	22
hcaT	65	72	255	119
hcaR	78	89	5402	1950
hcaE	13	9	338	157
hcaB	3	0	77	42
yphB	11	5	114	58
yphC	4	3	136	54
yphD	6	4	37	12
yphE	6	13	94	45
yphF	10	14	92	43
yphH	28	23	488	220
glyA	108	128	20340	10566
hmp	69	76	903	477
yfhA	2	9	545	297
yfhG	18	14	324	176
yfhK	60	70	697	375
yfhD	5	11	349	193
yfhB	37	39	437	256
yfhH	10	2	260	140
pdxJ	29	36	1536	783
recO	36	31	627	358
era	164	188	2012	1149
rnc	193	286	1377	874
lepB	90	121	2428	1374
lepA	80	117	5191	2909
rseB	73	81	2158	1115
rseA	1433	1390	6719	3521
yfiC	4	3	313	173
srmB	15	13	781	458
yfiE	15	17	215	124
ung	22	14	811	440
yfiF	50	55	1320	772
yfiP	3	3	120	55
yfiQ	1036	1104	4008	1607
pssA	364	353	5083	2401
kgtP	1774	1891	22997	11537
clpB	956	1016	9565	5936
yfiH	13	9	414	195
rluD	62	71	1202	669
yfiO	65	66	5696	3279
pheA	33	25	2678	1599
tyrA	77	63	1939	1138
aroF	98	130	3415	1830
yfiN	2	7	109	67
trmD	262	303	31601	16555
ffh	136	143	2808	1605
ypjD	7	7	421	243
yfjD	14	11	602	400
yfjB	15	23	371	243
recN	104	138	783	431
gabT	286	435	879	443
gabP	32	30	263	147
csiR	44	67	402	188
nrdF	8	5	265	150
proV	5	12	1448	883
proW	6	9	440	307
proX	12	9	2107	1126
ygaZ	19	13	724	383
emrA	6	10	486	277
emrB	53	47	305	184
gshA	165	177	3601	2111
alaS	150	176	15586	8771
recA	554	493	7275	3970
mltB	4	5	178	86
srlE	8	9	75	40
srlD	15	19	150	90
srlR	27	21	582	260
gutQ	18	20	386	181
norV	4	7	83	52
norW	1	1	29	33
ascG	9	11	924	472
ascF	19	24	120	66
hycG	3	2	66	24
hycE	0	1	34	17
hycD	0	1	6	8
hycC	0	0	15	4
hycB	0	0	11	3
hypB	4	4	132	72
hypD	21	16	721	353
hypE	21	24	200	78
fhlA	25	22	161	101
mutS	9	11	1187	645
ygbI	42	54	736	375
ygbJ	41	42	63	46
ygbK	23	29	73	48
ygbL	4	5	41	25
ygbM	4	7	43	28
ygbN	7	10	116	52
nlpD	2512	2666	64314	30073
pcm	57	63	985	490
surE	28	37	934	481
truD	54	55	1976	972
ispD	5	11	449	261
cysC	6	19	2176	887
cysN	57	77	8817	3925
cysD	14	29	5452	2385
iap	7	11	316	191
cysH	27	35	5605	2480
cysI	38	68	10254	4699
cysJ	22	27	7055	3247
ygcQ	2	2	37	34
ygcR	1	0	15	13
ygcS	0	2	31	11
ygcU	2	2	62	30
ygcW	2	1	25	10
yqcE	1	3	100	46
ygcF	498	470	695	403
eno	1620	1848	28655	17383
pyrG	999	973	6555	3939
mazG	74	69	1050	555
relA	127	137	3823	2005
barA	18	21	817	474
gudD	20	23	235	130
gudX	7	20	115	50
gudP	21	14	57	30
truC	4	3	235	122
queF	13	17	903	523
ygdH	262	268	1123	572
sdaC	34	41	954	666
sdaB	16	13	380	242
exo	6	7	252	167
fucO	59	79	1288	467
fucA	19	17	478	170
fucP	17	19	106	42
fucI	23	19	294	147
fucK	12	15	247	151
fucR	22	27	1465	642
ygdE	47	43	815	441
gcvA	32	29	447	223
csdA	9	15	408	217
ygdL	19	13	453	222
mltA	46	43	1015	496
amiC	17	13	1555	813
argA	33	39	3950	1754
recD	36	28	861	438
ptr	26	23	1699	905
recC	31	45	1139	616
thyA	8	10	1139	697
lgt	5	11	859	484
ptsP	65	47	2759	1641
mutH	12	16	238	103
ygdQ	7	9	152	133
tas	50	60	908	572
ygeD	23	30	279	126
aas	31	34	909	552
galR	23	32	452	204
lysA	14	13	1500	758
lysR	4	4	124	79
ygeA	13	22	729	359
araE	34	48	253	111
kduD	11	9	222	119
kduI	13	16	213	98
yqeF	149	185	5219	2238
yqeG	8	8	81	48
yqeH	3	2	35	25
yqeI	1	1	65	32
ygeH	2	4	21	13
ygeR	38	55	1012	489
xdhA	13	12	178	90
xdhB	1	8	71	34
ygeV	542	614	1393	512
ygeW	2	2	30	10
ygeX	2	5	51	23
ygeY	0	3	46	26
hyuA	2	3	53	18
yqeA	30	26	139	72
yqeB	155	190	410	147
yqeC	98	83	199	58
ssnA	2	4	22	12
ygfM	1	5	30	12
xdhD	26	22	157	97
ygfO	48	68	100	68
guaD	12	13	216	112
ygfT	10	16	169	63
ygfU	3	4	38	22
lysS	83	86	6174	3412
prfB	31	35	4535	2565
recJ	32	19	1101	670
dsbC	37	42	1296	735
xerD	74	61	1043	595
ygfZ	155	155	2247	1176
yqfA	94	132	624	336
bglA	94	96	2621	1638
ygfF	3	7	126	53
gcvP	23	22	2970	1305
gcvT	26	25	1477	699
visC	16	22	1102	645
serA	123	118	16861	11784
rpiA	94	89	3563	1905
argP	46	44	801	446
yliK	4	7	84	38
argK	3	2	29	19
ygfG	1	1	37	21
ygfH	5	7	78	52
ygfI	8	11	120	47
yggE	144	149	1473	896
argO	7	3	249	111
mscS	23	22	1808	1300
fbaA	480	533	17469	9915
pgk	861	951	18386	10606
epd	200	238	3394	1943
yggF	11	16	63	40
cmtA	0	0	32	17
tktA	104	105	6046	4171
yggG	454	481	1453	693
speB	56	57	1206	623
speA	836	810	7868	4256
metK	47	60	4515	3181
galP	5	4	224	129
endA	10	9	43	9
yggJ	21	12	457	255
gshB	47	60	1396	766
yggS	11	16	520	326
yggW	0	5	532	284
yggM	3	4	91	46
ansB	13	13	135	72
yggN	40	36	1146	574
yggH	57	57	2049	1219
mutY	10	13	902	515
mltC	10	10	841	481
nupG	158	184	1203	482
yqgA	8	12	58	23
yghK	23	36	439	252
glcF	38	57	1245	655
glcD	68	87	1017	573
glcC	455	453	1600	641
ECIAI1_3132	0	1	204	108
yghR	0	0	10	5
yghS	1	1	17	10
yghT	1	0	7	4
pitB	3	6	33	22
gss	27	34	1089	672
yghU	57	55	1754	899
hybC	36	30	556	301
hybB	3	2	126	78
hybA	8	7	145	51
hybO	11	22	134	89
yghZ	585	597	3207	1180
yghA	58	83	268	146
exbB	61	59	3488	2028
metC	36	26	3280	1645
yghB	123	110	430	220
yqhC	42	43	226	118
yqhD	34	44	570	581
dkgA	323	304	473	337
yqhG	17	22	89	47
ygiQ	15	18	796	471
sufI	34	38	759	454
plsC	29	30	596	331
parC	56	44	2459	1283
qseB	2	3	53	27
parE	44	43	1995	1086
cpdA	326	358	1859	929
nudF	25	30	1098	614
tolC	131	144	4489	2765
ygiC	120	109	2672	1503
ygiE	232	211	700	453
ribB	361	356	3033	1618
yqiJ	10	6	38	19
yqiK	5	3	58	44
rfaE	40	57	2134	1261
htrG	13	11	745	380
cca	30	37	833	426
bacA	36	38	846	440
plsY	26	26	416	222
ygiP	0	7	105	52
ttdA	0	2	24	13
ttdB	0	0	7	4
ygjE	3	1	76	41
gcp	22	24	622	355
dnaG	235	241	2291	1362
rpoD	1940	1969	7804	4748
yqjH	4	7	309	173
yqjI	26	19	384	197
aer	64	64	9661	4332
ygjG	1076	1160	1622	831
ebgR	3	3	112	69
ygjI	2	2	18	9
ygjJ	0	0	10	7
ygjK	6	6	57	45
ygjO	6	7	212	151
ygjQ	0	1	21	15
ygjR	571	682	1077	473
alx	1	2	96	64
sstT	865	943	1949	955
uxaA	50	40	985	428
uxaC	50	37	1158	483
exuT	48	41	737	298
exuR	186	200	1148	582
yqjA	148	159	592	335
yqjG	237	250	534	295
yhaJ	8	14	984	554
yhaK	7	13	80	32
yhaM	6	5	138	78
yhaO	5	7	62	29
tdcG	10	6	103	46
tdcE	30	39	531	273
tdcD	1	2	63	23
tdcC	6	11	194	93
tdcB	0	3	68	28
tdcA	6	6	40	27
garK	142	171	246	121
garR	159	161	223	124
garL	56	70	63	37
garP	58	75	25	7
garD	86	90	418	158
agaR	34	37	1404	733
kbaZ	8	7	167	67
agaS	3	3	39	19
kbaY	1	1	26	10
agaC	0	0	10	7
agaD	3	2	25	18
agaI	0	0	19	10
yraI	0	0	12	7
yraL	14	19	563	293
yraQ	47	47	1105	527
yraR	196	188	203	109
yhbU	1	0	39	17
yhbV	4	2	35	24
yhbW	8	13	206	141
mtr	86	69	430	225
deaD	70	77	1667	1096
nlpI	263	387	8761	4635
pnp	291	481	17694	9820
truB	24	25	2004	1039
infB	195	216	24307	12723
nusA	160	149	8134	4337
argG	96	111	9463	4561
yhbX	15	25	155	82
glmM	93	107	3838	2030
folP	11	20	973	485
ftsH	1578	1768	13410	8198
rrmJ	599	681	4097	2455
dacB	2	3	187	117
obgE	680	703	2129	1155
yhbE	157	168	1290	685
ispB	64	96	1809	1045
murA	26	21	3179	1779
yrbC	130	117	2319	1357
yrbE	56	80	1111	626
yrbF	100	107	2334	1258
yrbG	21	22	469	251
kdsD	18	38	2051	1131
lptB	89	93	2262	1323
rpoN	158	200	7828	4399
yhbJ	31	35	1740	1016
yrbL	757	760	4948	2883
mtgA	62	54	1073	601
elbB	77	75	1297	671
arcB	250	228	2430	1220
yhcC	2	3	35	19
gltB	93	91	14982	10037
gltD	32	57	8267	5387
nanE	19	18	150	61
nanT	33	30	320	142
nanA	15	16	509	200
nanR	26	16	776	488
dcuD	1	6	60	17
sspA	131	155	2973	1783
degQ	60	68	1755	1108
degS	12	18	543	338
mdh	546	651	34676	19445
aaeB	8	13	92	57
aaeA	4	10	190	96
aaeR	13	15	183	103
tldD	163	221	1696	927
rng	52	51	2196	1199
mreC	14	14	828	498
mreB	40	33	3324	1988
csrD	88	97	1031	565
yhdH	227	196	1271	667
accC	88	110	8549	4701
panF	13	23	252	133
prmA	40	36	642	350
dusB	71	72	7596	4270
yhdJ	5	3	94	43
envR	0	0	93	60
acrE	0	0	15	13
acrF	21	29	254	143
aapQ	13	12	66	38
aapP	3	5	168	81
aroE	75	77	919	506
smf	231	248	1064	598
fmt	684	598	1759	1147
rsmB	49	73	995	615
trkA	156	145	942	568
rpoA	700	830	64536	33876
rpsD	436	537	57743	30167
secY	1731	2117	66346	34965
rpsC	364	444	44913	21849
rplB	312	383	41895	21598
rplD	263	259	26961	15293
rplC	282	319	40280	22323
tufA	1962	2224	172677	90307
fusA	2055	2370	148426	76194
yheO	28	27	1345	853
fkpA	169	215	6297	3810
kefB	70	70	646	349
yheS	21	32	875	587
yheT	25	23	282	153
prkB	60	46	662	362
crp	164	220	6933	4191
yhfK	10	13	1064	624
argD	32	36	4290	2037
fic	696	649	395	189
tsgA	10	9	96	72
nirB	5	7	134	83
nirC	4	0	83	48
cysG	23	36	793	441
frlA	5	1	37	22
frlB	5	3	38	21
frlC	2	3	54	23
frlD	5	11	83	53
frlR	17	9	196	125
yhfS	8	4	43	38
yhfT	1	0	42	28
php	2	5	43	15
yhfZ	51	59	479	223
trpS	74	75	3702	2069
gph	15	10	1297	681
rpe	12	14	1271	697
dam	8	15	832	532
aroB	70	99	5075	2921
hofQ	4	2	83	39
yrfD	3	4	103	67
mrcA	21	21	1334	851
igaA	42	31	1337	659
yrfG	37	35	651	364
hslO	80	83	1074	590
pck	1671	1594	19043	8420
envZ	57	60	1061	532
ompR	198	188	1540	842
yhgF	12	19	1943	1175
feoB	38	53	1077	625
yhgA	2	1	133	80
bioH	9	15	246	153
gntX	8	10	245	154
gntT	43	57	391	212
malQ	43	54	3021	1555
malP	44	44	4376	2248
malT	1449	1356	25720	11180
rtcB	108	108	162	88
glpG	23	18	921	510
glpD	17482	16836	45595	22202
glgP	342	383	6147	3486
glgA	194	231	3505	1983
glgC	289	332	4839	2707
glgX	300	348	3984	2238
glgB	142	202	6594	3668
asd	180	217	12548	6880
gntU	8	9	102	48
gntR	36	30	521	304
yhhW	24	23	287	148
yhhX	122	137	704	404
yhhZ	1	0	7	0
ggt	5	7	489	285
ugpC	24	47	447	235
ugpE	8	10	159	57
ugpA	9	9	93	46
ugpB	1399	1573	2468	930
livF	15	17	3829	1971
livG	7	19	3036	1485
livM	30	25	4018	2066
livH	24	27	3413	1732
livK	91	95	11603	5582
livJ	256	250	52720	28734
rpoH	419	412	3688	2078
ftsX	127	134	1108	720
ftsE	59	62	769	411
ftsY	98	120	3772	1984
yhhN	37	38	179	107
yhhQ	7	5	149	93
yhhS	11	10	168	97
yhhT	87	111	226	143
nikA	1	1	14	16
nikB	0	0	19	6
nikC	1	0	14	5
nikD	0	0	23	13
nikE	2	6	23	14
yhhI	21	34	94	51
yhhJ	44	36	611	376
rbbA	53	63	1441	899
yhiI	188	213	1908	1058
yhiM	11	9	54	28
yhiN	69	63	485	275
pitA	153	179	2065	1250
yhiP	142	158	173	108
yhiQ	17	36	240	150
prlC	220	278	2181	1415
yhiR	4	6	213	135
gor	57	55	1766	1007
arsB	13	17	69	49
yhiD	4	5	41	26
mdtE	4	2	25	14
mdtF	18	9	172	113
gadW	12	24	148	112
gadX	96	121	330	181
gadA	86	98	334	187
yhjA	10	12	107	46
treF	165	168	294	216
yhjB	10	14	130	53
yhjC	9	7	212	110
yhjD	253	233	259	168
yhjE	29	37	2676	2000
yhjG	185	205	3243	1688
yhjH	35	48	8957	4547
kdgK	21	20	1357	630
yhjJ	9	20	1143	617
dctA	269	321	2995	1314
yhjK	38	25	535	297
bcsC	79	83	488	234
bcsZ	0	1	52	26
bcsB	2	1	62	47
bcsA	6	9	87	47
bcsE	57	66	1006	595
bcsG	12	12	280	210
yhjV	2	8	589	283
dppF	16	12	2624	1424
dppD	18	21	2569	1287
dppC	25	27	2103	1003
dppB	18	25	2677	1276
dppA	549	696	50752	25972
eptB	3	14	647	291
yhjX	4	8	43	31
yhjY	190	173	561	301
yiaD	4	7	214	113
tiaE	17	18	1520	1043
yiaF	202	249	2888	1553
glyS	121	112	8203	4815
glyQ	66	75	4252	2437
yiaH	8	10	92	46
xylB	96	100	309	154
xylA	127	153	370	154
xylF	14	18	426	174
xylG	10	19	372	195
xylH	28	23	147	69
xylR	10	13	272	161
bax	187	195	15078	7065
avtA	15	21	1666	972
yiaJ	17	8	331	178
yiaK	7	6	70	40
yiaN	0	2	22	11
yiaO	0	0	24	10
sgbH	1	2	26	20
sgbU	2	1	35	19
sgbE	3	2	42	18
yiaT	42	41	44	27
yiaU	27	28	108	61
yiaV	11	12	42	24
aldB	966	1058	1396	488
yiaY	2	3	16	9
selB	16	19	1421	778
selA	8	18	579	305
yibF	15	33	231	124
yibH	52	44	99	66
mtlA	1390	1427	3204	1542
mtlD	457	557	1681	850
lldP	43	38	842	412
lldR	14	23	316	151
lldD	7	18	465	241
cysE	116	93	1408	709
gpsA	115	153	3230	1631
gpmI	78	94	2492	1740
envC	10	8	1066	636
yibQ	2	2	282	190
yibD	1	0	53	31
tdh	83	108	634	334
kbl	147	195	757	414
waaD	97	95	2187	1353
waaF	22	31	1359	826
kdtA	20	19	532	293
mutM	8	9	271	139
yicR	53	37	939	556
dfp	11	7	679	490
pyrE	6	6	102	47
yicC	28	31	1574	889
yicG	1	2	30	16
ligB	12	9	217	103
gmk	185	246	2462	1414
spoT	44	40	2707	1635
trmH	0	4	431	243
gltS	79	103	204	127
yicE	22	14	1102	669
yicH	270	268	1321	772
yicI	11	10	235	132
yicJ	4	8	43	23
setC	0	3	26	10
yicL	32	27	534	275
nlpA	49	51	3317	1607
yicM	4	2	55	45
uhpT	817	1106	4186	2491
uhpC	2	1	114	65
uhpB	2	4	236	132
ilvB	48	66	6625	3161
emrD	5	4	14	3
yidJ	1	2	85	47
yidK	4	0	30	19
yidL	10	10	118	60
yidP	0	2	33	14
yidE	116	125	890	477
yidR	11	13	771	340
cbrA	1	2	44	18
dgoT	2	9	45	27
dgoD	16	25	126	80
dgoA	6	8	58	22
dgoR	56	53	441	176
yidX	19	21	202	112
yidA	11	7	467	301
gyrB	186	220	4693	2635
recF	2	6	456	256
dnaN	41	47	1385	757
dnaA	47	66	2438	1279
yidC	58	71	6172	3514
trmE	14	16	774	500
tnaA	24	30	6005	2264
tnaB	10	7	532	188
mdtL	2	4	41	25
yidZ	31	28	176	91
yieE	10	9	285	124
yieH	5	6	214	140
yieK	6	12	67	47
yieL	1	4	42	21
bglH	4	1	43	23
bglB	2	0	45	36
bglG	0	0	39	13
phoU	11	14	893	585
pstB	16	12	1043	723
pstA	10	6	257	203
pstC	21	15	406	334
pstS	25	16	1344	1205
glmS	441	433	6992	4462
glmU	333	340	4701	2733
atpD	261	294	25873	13603
atpG	109	159	19393	9788
atpA	288	360	44964	24469
atpB	148	155	23959	12023
gidB	11	9	373	218
gidA	25	33	1906	1186
asnA	19	18	526	308
yieM	13	13	384	224
ravA	40	52	361	211
trkD	34	26	645	378
rbsA	89	119	1996	886
rbsC	68	92	1972	893
rbsB	255	378	18170	8433
rbsK	25	41	2061	1013
rbsR	7	5	445	204
hsrA	9	8	179	127
yieP	38	38	521	332
hdfR	20	27	603	334
yifB	5	3	207	131
ilvE	17	13	1611	902
ilvD	34	20	1924	1040
ilvA	16	23	960	497
ilvY	30	34	217	133
ilvC	160	183	41620	21765
rep	13	8	853	479
gpp	36	35	1229	721
rhlB	152	180	3150	1875
rho	104	131	3320	1991
rfe	38	40	1395	834
wzzE	18	10	856	578
rffE	10	4	823	443
rffD	12	8	704	375
rffG	9	9	548	307
rffH	11	16	351	210
rffC	1	2	212	133
rffA	20	22	442	249
wzxE	20	26	389	207
rffT	11	9	305	157
wzyE	13	13	201	109
rffM	12	13	318	189
yifK	169	209	1570	758
hemY	41	57	1976	1073
hemX	66	76	2571	1366
hemD	28	27	854	456
hemC	129	118	962	537
cyaA	265	270	3173	2440
dapF	25	26	1282	658
yigA	4	4	721	412
xerC	3	5	1168	576
yigB	9	7	597	268
uvrD	27	24	1083	594
yigE	1	1	54	37
corA	45	36	1059	570
rarD	4	5	150	90
pldA	19	12	896	571
recQ	3	7	746	374
rhtC	7	4	540	279
rhtB	7	8	326	164
pldB	21	25	986	552
yigL	7	8	452	256
yigM	2	2	117	65
metR	6	13	482	274
ysgA	57	56	1133	697
udp	69	99	1792	984
rmuC	56	48	1043	465
ubiE	41	51	1797	999
yigP	34	40	463	226
ubiB	34	37	1435	748
tatC	6	11	856	489
tatD	8	6	347	183
ubiD	224	267	3259	1592
fre	158	206	2163	1093
fadA	247	250	1627	625
fadB	752	829	5945	2147
pepQ	142	133	5009	2847
yigZ	24	27	536	293
trkH	50	60	722	447
yihE	17	16	1244	797
dsbA	71	50	3082	1758
yihG	0	0	104	58
polA	266	269	4219	2122
hemN	39	34	1129	634
glnG	61	61	662	316
glnL	40	40	535	263
glnA	40	50	4604	2945
bipA	119	135	8383	5392
yihL	2	4	214	128
yihM	2	6	425	200
yihN	2	1	191	104
ompL	0	0	22	10
yihO	2	8	49	34
yihP	2	3	28	17
yihQ	1	5	46	38
yihS	5	13	127	69
yihT	2	5	70	41
yihU	2	1	46	13
yihV	22	23	117	54
yihW	34	36	677	315
rbn	62	64	1056	451
yiiD	33	36	1826	922
fdhE	29	44	670	315
fdoI	66	106	291	152
fdoH	149	183	463	239
fdoG	1205	1463	4072	2278
fdhD	88	78	394	209
frvB	3	1	20	16
rhaD	0	1	14	10
rhaA	2	0	21	15
rhaS	29	23	121	57
rhaR	7	14	94	37
sodA	336	345	31964	18075
kdgT	14	20	150	67
yiiM	86	97	488	268
cpxA	51	39	1924	1052
cpxR	44	47	2125	1247
fieF	78	84	1325	781
pfkA	475	515	4323	2617
sbp	7	16	1401	662
cdh	1	1	170	112
tpiA	110	128	8164	4924
fpr	27	24	1195	696
glpX	161	176	3555	1669
glpK	8173	8684	121050	52700
glpF	6492	6722	41923	17569
menA	5	4	482	278
hslU	232	231	2992	1858
ftsN	66	58	870	480
cytR	17	18	1200	520
yiiX	2	5	234	129
