	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_chemostat1	K12_chemostat2
yaiV	1	1	33	15
ampH	9	16	583	312
sbmA	27	53	435	265
yaiW	31	40	611	331
ddlA	81	70	1366	754
phoA	17	17	496	267
yaiC	7	19	35	22
proC	11	13	428	204
aroM	14	21	419	208
rdgC	19	24	1278	726
mak	101	113	723	362
araJ	23	17	158	88
sbcD	7	9	291	163
phoB	18	16	250	196
phoR	5	9	198	129
brnQ	272	310	364	211
proY	14	26	368	222
malZ	16	15	497	289
queA	2	2	344	221
tgt	47	36	6108	2824
secD	115	121	9276	4972
secF	177	187	4193	2338
tsx	122	110	5219	2515
ribD	37	56	965	594
thiL	5	9	516	291
yajO	929	924	1877	885
dxs	35	49	2718	1379
ispA	12	15	1205	600
thiI	33	44	802	513
panE	102	110	474	274
yajR	9	14	382	219
cyoE	142	156	7546	3825
cyoC	57	88	5686	2861
cyoB	251	258	24833	12601
cyoA	190	196	16821	9026
ampG	2	1	389	232
tig	189	208	29156	15467
clpP	241	282	3201	1839
clpX	1187	1319	7784	4553
lon	225	245	8660	5513
ppiD	141	173	9069	4773
queC	26	16	1167	624
ybaE	66	82	355	148
cof	26	21	174	117
mdlA	17	19	297	162
mdlB	2	5	246	157
amtB	10	10	213	104
tesB	20	20	412	184
ylaB	57	81	361	186
acrB	173	237	8682	4971
acrA	73	80	5706	3290
acrR	17	25	679	414
kefA	30	35	1799	980
dnaX	33	35	1801	903
recR	30	36	1192	691
htpG	305	348	7078	4813
adk	26	36	6181	3307
hemH	97	113	303	160
aes	23	20	198	59
gsk	12	6	752	482
ybaL	139	134	1319	752
fsr	8	8	308	189
ushA	173	161	2317	1209
ybaP	8	5	196	106
copA	78	97	1015	539
ybaS	20	27	75	45
ybaT	20	28	58	64
ybbK	801	776	547	326
ybbL	9	10	369	208
ybbM	10	13	272	169
ybbN	49	59	1825	1090
ybbO	9	9	288	174
tesA	34	40	486	259
ybbA	33	26	220	114
ybbP	26	22	432	254
ybbB	10	9	213	98
ybbS	0	1	8	5
allR	1908	2352	1602	912
gcl	30	30	81	41
hyi	4	3	24	10
glxR	3	1	25	20
ybbW	12	9	13	13
allB	22	36	166	92
ybbY	4	3	33	21
glxK	10	12	100	44
ylbA	2	6	367	231
allC	5	8	202	117
allD	1	1	24	17
ylbE	2	1	34	17
ylbF	1	1	14	13
ybcF	2	3	46	31
purK	2	8	1725	927
lpxH	4	4	592	379
cysS	32	34	1750	1086
folD	21	14	752	518
sfmC	0	0	14	0
sfmH	2	0	11	9
fimZ	2	0	11	16
envY	3	1	35	41
ybcH	5	3	60	39
nfrB	23	19	165	79
cusR	2	8	151	70
cusC	3	1	915	460
cusB	3	0	34	16
cusA	5	9	91	56
pheP	7	9	410	236
ybdG	17	21	573	372
nfnB	11	18	930	533
ybdK	301	294	167	117
fepA	23	28	1848	791
fepC	1	1	184	106
fepG	3	6	120	47
fepD	8	14	81	48
ybdA	4	8	245	106
fepB	5	12	258	134
entC	13	20	542	255
entE	32	31	725	330
entB	18	22	697	284
entA	11	17	439	180
cstA	9899	10389	32937	12211
ybdH	147	155	1888	834
ybdL	5	16	583	340
ibrB	3	3	93	51
ibrA	2	3	38	17
ybdO	5	1	32	16
dsbG	26	28	350	185
ahpF	73	84	3766	2094
ybdR	16	21	287	119
rna	77	68	424	262
citT	2	3	35	27
citG	6	1	19	13
citF	1	2	8	4
citE	2	1	16	12
citC	0	1	20	12
citA	7	8	327	186
citB	4	3	128	81
dcuC	9	9	62	31
lipA	193	223	2849	1558
ybeF	5	10	126	76
lipB	2	4	436	258
dacA	13	10	1671	1127
rlpA	38	43	1946	1054
mrdB	14	16	969	485
mrdA	15	10	1120	656
phpB	7	5	102	53
nadD	3	9	251	170
holA	14	18	880	533
leuS	424	441	9905	5540
ybeQ	125	162	201	137
ybeU	0	0	18	8
hscC	8	8	156	67
rihA	31	28	2407	1034
gltL	12	5	1136	533
gltK	8	14	621	316
gltJ	6	7	622	277
gltI	307	313	7493	3923
ybeX	603	687	3644	2062
ybeZ	812	807	3195	1880
miaB	63	81	1692	979
asnB	66	55	2706	1544
nagD	12	15	897	512
nagC	44	66	1029	570
nagA	121	123	1182	625
nagB	109	120	740	418
nagE	484	510	3857	1835
glnS	51	44	4741	2884
ybfM	6	7	140	53
ybfF	8	8	302	184
pgm	142	198	5697	3065
potE	29	43	160	80
kdpE	42	50	85	42
kdpD	263	306	461	225
kdpB	2	3	116	54
ybgH	9	6	254	97
ybgI	125	93	2476	1331
ybgJ	61	61	1298	662
ybgK	63	62	1345	718
nei	2	3	188	101
abrB	5	4	45	34
gltA	986	1121	21985	13146
sdhA	241	314	18132	8745
sdhB	129	162	9537	4529
sucA	380	433	24432	13095
sucB	212	264	13412	7584
sucC	241	369	25587	14242
sucD	232	293	19705	12029
mngR	10	11	362	207
mngA	2	2	19	17
cydA	569	650	5126	2736
cydB	468	547	3531	1777
tolQ	13	15	1242	669
tolA	103	123	2391	1163
tolB	268	296	9230	5221
ybgF	86	99	5304	3035
nadA	79	77	4009	2125
pnuC	145	143	1618	877
zitB	66	61	442	224
aroG	41	61	4413	3194
gpmA	996	1064	15851	8205
galM	51	64	2712	1516
galK	52	79	2942	1494
galT	41	53	741	356
galE	126	148	864	504
modF	26	37	1704	963
modE	8	17	462	267
modA	28	41	2801	1532
modB	13	20	1234	635
modC	21	24	1900	1068
ybhA	8	10	525	273
pgl	51	68	1052	606
ybhD	1	2	61	30
ybhH	0	0	9	5
ybhI	131	132	815	419
ybhJ	4	5	122	67
ybhC	30	25	2364	1369
bioB	25	20	2040	1178
bioC	3	4	434	242
bioD	3	3	497	324
uvrB	230	236	1519	886
ybhK	13	8	837	428
moaA	91	90	1588	948
ybhL	1682	1730	939	626
ybhN	15	12	73	54
ybhO	40	41	181	137
ybhP	42	31	213	124
ybhR	10	14	146	77
ybhS	4	11	107	56
ybhF	19	37	372	191
ybhG	36	38	392	235
ybiH	14	14	128	101
rhlE	3	1	94	49
dinG	39	45	351	181
ybiB	128	132	809	454
ybiC	124	129	4740	2795
ybiX	9	18	154	91
fiu	9	9	552	283
ybiN	7	6	281	173
ybiO	38	46	196	117
glnQ	39	63	3067	1560
glnP	95	109	2779	1419
glnH	618	624	12063	6068
rhtA	10	8	101	47
ybiR	31	36	423	245
ybiS	73	98	1622	1144
ybiT	44	52	2708	1543
ybiU	7	11	162	107
ybiV	16	9	378	280
ybiW	7	12	147	67
ybiY	3	0	30	10
fsaA	9	6	110	73
moeB	10	10	440	244
moeA	36	41	729	389
iaaA	125	131	4159	1754
yliA	50	58	2802	1277
yliB	36	42	2372	1283
yliC	8	8	704	354
yliD	2	10	448	245
yliE	1	3	295	198
yliF	1	0	133	70
yliG	2	1	513	362
yliI	47	42	185	110
yliJ	36	43	2227	1348
dacC	600	568	2931	1516
deoR	19	16	620	344
cmr	227	217	224	145
ybjI	12	16	456	264
ybjJ	11	10	172	117
ybjL	64	56	532	345
nfsA	14	16	703	413
rimK	7	16	478	256
potF	213	200	2267	1224
potG	31	28	677	424
potH	17	20	311	165
potI	21	28	243	131
rumB	2	1	275	136
artJ	14	11	4520	2128
artM	11	23	840	422
artQ	20	27	720	380
artI	193	228	2431	1210
artP	102	137	1116	623
ybjR	327	310	544	316
ybjS	33	37	351	176
ybjT	15	17	721	409
ltaE	52	50	1179	655
poxB	119	110	1288	839
hcr	2	2	31	17
hcp	1	1	27	15
ybjE	4	7	64	54
aqpZ	45	47	126	73
ybjD	86	100	989	573
ybjX	63	65	2703	1847
macA	37	37	729	352
macB	89	183	739	396
clpA	3380	3574	21009	11675
aat	4	10	131	97
cydC	15	10	800	526
cydD	10	19	884	504
trxB	35	38	4538	2601
lolA	58	75	1242	718
ycaJ	12	14	539	316
serS	321	355	3290	2023
dmsA	12	13	128	86
dmsB	5	3	40	32
dmsC	13	13	107	57
ycaC	35	32	654	394
ycaD	13	24	212	128
ycaM	18	18	112	71
ycaN	3	3	95	80
pflA	181	164	418	283
pflB	2027	2234	33768	18345
focA	219	222	2323	1250
ycaO	14	23	1027	625
ycaP	58	72	367	183
serC	74	135	8434	5561
aroA	26	36	4675	3050
ycaL	33	38	70	42
cmk	229	295	6808	3907
rpsA	3873	4051	90301	49871
msbA	34	33	2421	1504
lpxK	21	21	383	205
kdsB	53	52	1208	721
ycbJ	104	135	347	152
smtA	11	13	1419	641
mukF	17	20	1948	1043
mukE	7	10	1228	703
mukB	55	58	7031	3760
ycbB	2484	2524	1014	565
ycbL	48	41	3089	1542
aspC	83	96	7070	4479
ompF	1730	1878	605735	266540
asnS	164	213	7270	4297
pncB	43	29	2315	1591
pepN	321	339	5590	2962
ssuC	1	0	21	8
ssuA	3	0	30	21
ycbR	2	8	21	7
ycbT	4	10	126	53
ycbF	4	2	100	59
pyrD	3	4	532	371
ycbX	6	7	829	497
ycbY	26	27	1634	862
uup	109	113	2638	1419
pqiA	55	64	463	262
pqiB	72	90	964	464
ycbZ	504	552	1998	1119
yccR	52	56	456	252
yccS	29	30	656	399
helD	130	139	1745	1001
yccT	15	13	50	25
yccW	315	321	841	529
yccA	445	416	4964	3346
hyaA	9	8	20	12
hyaB	8	9	26	18
hyaC	5	3	20	7
hyaF	3	0	28	12
appC	11	16	121	69
appB	3	3	63	40
appA	6	7	128	72
yccC	39	60	417	222
yccZ	6	3	81	42
ymcA	0	1	91	45
ymcB	0	0	14	4
ymcC	4	3	25	14
yccM	2	3	47	21
torR	5	8	250	106
torC	3	4	52	25
torA	6	13	151	88
cbpA	156	150	647	412
agp	3300	3320	5974	2414
rutG	17	9	118	54
rutD	0	1	7	1
rutB	1	1	7	5
rutA	5	0	12	4
rutR	39	35	294	176
putP	1197	1275	4979	1729
efeO	2	7	1044	492
efeB	5	10	615	283
phoH	2120	2518	2008	1017
ycdW	25	27	1691	932
ycdX	25	35	1613	803
csgG	4	12	159	122
csgD	16	11	260	147
ymdC	78	83	605	369
mdoC	13	9	257	134
mdoG	79	95	3496	2045
mdoH	74	75	2592	1539
mdtG	3	6	61	43
lpxL	26	29	175	133
yceA	14	8	1979	1141
solA	19	18	1027	632
pyrC	7	6	1226	678
grxB	63	75	838	450
mdtH	3	2	29	22
yceH	181	159	939	530
mviM	196	182	798	432
mviN	3	15	402	212
flgA	44	45	6326	3474
flgD	76	90	15489	8531
flgF	40	53	9522	5293
flgG	47	44	10614	5603
flgH	11	20	4009	2191
flgI	12	19	4120	2283
flgJ	11	11	2834	1579
flgK	181	213	29946	15519
flgL	159	157	27821	14532
rluC	18	28	1524	822
plsX	92	97	4133	2202
fabH	173	167	5366	2836
fabD	120	161	7908	4227
fabG	765	892	15880	8337
fabF	280	387	7768	4357
pabC	12	9	479	271
yceG	13	11	424	223
tmk	14	9	325	169
holB	9	4	332	184
ycfH	293	263	706	386
ptsG	368	455	40464	19861
fhuE	9	19	463	224
ycfM	37	52	1032	586
ycfN	24	22	625	290
nagZ	127	115	1629	895
ndh	40	33	882	549
ycfQ	60	59	1002	556
ycfS	18	11	522	273
mfd	30	35	2734	1622
lolC	5	7	717	390
lolD	3	6	389	256
lolE	167	173	1589	787
ycfX	119	130	1169	553
cobB	45	46	1158	579
potD	55	61	7904	3979
potC	13	15	1233	658
potB	12	6	404	283
potA	15	17	697	493
pepT	253	293	2025	1193
ycfD	204	211	1589	852
phoQ	45	61	1839	1022
phoP	115	126	2218	1375
purB	12	18	935	641
hflD	8	8	350	172
trmU	14	18	1370	788
ymfC	4	3	137	98
icd	1196	1314	109539	59606
ycgE	71	55	1146	582
ycgF	20	18	494	280
ycgG	16	8	46	28
minD	89	100	4925	2647
minC	47	63	1817	903
ycgM	32	47	976	560
umuC	16	18	131	71
nhaB	9	7	387	234
fadR	125	105	1020	485
ycgB	5086	5825	999	625
dadA	1526	1729	2135	869
dadX	408	492	1220	521
cvrA	20	27	1111	616
emtA	113	103	1108	610
ycgR	26	39	6182	3563
treA	162	164	430	242
dhaH	40	43	865	486
dhaL	16	15	553	294
dhaK	50	35	1051	523
dhaR	15	11	424	267
ychF	56	58	3352	2046
ychM	286	382	261	143
prsA	31	37	3540	2183
ispE	20	17	1287	749
lolB	17	16	819	513
hemA	20	31	990	590
prfA	9	11	831	527
prmC	1	7	250	121
ychA	32	34	1413	746
kdsA	88	91	3650	2092
chaA	24	26	987	670
chaC	124	109	501	244
ychP	10	15	299	179
narL	5	2	374	257
narX	37	40	390	272
narK	35	28	43	13
narG	17	15	198	84
