	YJ016_ASW1	YJ016_ASW2	YJ016_CMCP6ref_ASW1	YJ016_CMCP6ref_ASW2
VV1_RS04055	2557	575	2355	507
VV1_RS04060	2862	853	2844	849
VV1_RS04070	442	673	416	558
VV1_RS04075	588	932	585	918
VV1_RS04090	428	657	426	657
VV1_RS04095	544	558	544	551
VV1_RS04110	1158	455	1178	472
VV1_RS04115	29	13	27	13
VV1_RS04120	1203	741	1170	718
VV1_RS04125	202	67	198	68
VV1_RS04155	194	53	298	102
VV1_RS04175	25689	6920	23584	6408
VV1_RS04180	361	186	355	184
VV1_RS04190	488	187	485	185
VV1_RS04195	543	539	538	532
VV1_RS04200	267	324	264	321
VV1_RS04210	396	470	423	485
VV1_RS04220	197	189	193	196
VV1_RS04225	332	298	328	293
VV1_RS04235	975	710	1136	958
VV1_RS04250	29454	18103	29204	18023
VV1_RS04260	1700	354	1685	352
VV1_RS04275	7469	6745	7469	6733
VV1_RS04285	778	207	776	207
GLNG	3480	2250	8632	3101
VV1_RS04310	28873	12922	33222	14235
VV1_RS04315	418	163	414	150
VV1_RS04330	3788	955	3745	946
VV1_RS04335	4229	1992	4229	1992
VV1_RS04345	2530	1124	2488	1091
VV1_RS04350	421	197	424	197
VV1_RS04355	1099	557	1098	574
VV1_RS04360	917	380	923	394
VV1_RS04380	1223	486	1216	486
VV1_RS04395	6989	1424	7048	1431
VV1_RS04400	55327	9986	55146	9944
VV1_RS04495	5788	4768	5789	4759
VV1_RS04510	6044	4108	6056	4125
VV1_RS04515	2335	1666	2333	1650
VV1_RS04520	137	75	137	74
VV1_RS04530	2809	381	2803	378
VV1_RS04535	334	114	326	110
VV1_RS04540	329	85	326	85
VV1_RS04545	97	30	88	25
VV1_RS04560	136	34	266	66
VV1_RS04565	41	8	41	8
VV1_RS04580	82	74	79	72
VV1_RS04585	53	45	55	45
VV1_RS04590	624	398	620	394
VV1_RS04610	25	5	24	5
VV1_RS04620	1076	571	1073	571
VV1_RS04680	295	229	341	227
VV1_RS04685	320	209	318	206
VV1_RS04700	1115	585	1116	585
VV1_RS04705	460	317	451	308
VV1_RS04770	1115	436	1114	424
VV1_RS04780	1575	515	1915	558
VV1_RS04785	1228	380	1110	355
VV1_RS04790	514	155	509	151
VV1_RS04805	761	343	736	329
VV1_RS04830	2009	595	2008	595
VV1_RS04835	2496	927	2492	927
VV1_RS04845	5735	3799	5733	3800
VV1_RS04865	8487	7434	8214	7386
VV1_RS04870	2902	1378	2895	1372
VV1_RS04875	9519	3143	9520	3145
VV1_RS04890	480	189	578	216
VV1_RS04895	22116	9438	21902	9371
VV1_RS04900	814	369	804	364
VV1_RS04905	355	73	355	73
VV1_RS04910	447	213	442	205
VV1_RS04915	2103	1010	2094	996
VV1_RS04920	1248	560	1238	541
VV1_RS04930	1131	612	1118	588
VV1_RS04945	496	188	486	178
VV1_RS04950	1201	280	1176	274
VV1_RS04955	619	430	613	428
VV1_RS04960	1829	799	1789	762
VV1_RS04970	12195	6339	12066	6263
VV1_RS04975	1451	664	1344	516
VV1_RS04980	384	197	354	180
VV1_RS04990	1216	5060	1212	5057
VV1_RS05005	451	239	455	239
VV1_RS05010	8130	1120	8092	1096
VV1_RS05025	491	152	434	130
VV1_RS05040	727	239	717	235
VV1_RS05105	191	141	179	136
VV1_RS05110	2202	1172	2207	1171
VV1_RS05120	6118	1452	5971	1421
VV1_RS05125	4192	1217	4108	1180
VV1_RS05135	557	553	528	542
VV1_RS05170	12934	3287	13918	3787
VV1_RS05175	18511	4236	18396	4221
VV1_RS05180	2411	522	2410	522
VV1_RS05185	3168	873	3144	863
VV1_RS05200	50	53	50	53
VV1_RS05220	1747	650	1748	650
VV1_RS05225	18598	4527	17321	4306
VV1_RS05230	3542	535	3566	543
VV1_RS05235	1536	433	1462	434
VV1_RS05240	589	92	574	85
VV1_RS05250	922	164	921	161
VV1_RS05255	243	66	231	64
VV1_RS05275	6461	1496	6376	1478
VV1_RS05280	1964	1158	1880	1142
VV1_RS05285	15560	3704	15332	3645
VV1_RS05295	3171	960	3158	951
VV1_RS05300	2989	1799	2921	1694
VV1_RS05310	10225	3890	9898	3724
VV1_RS05330	433	171	368	154
VV1_RS05335	616	357	596	348
VV1_RS05340	542	324	509	284
VV1_RS05370	2033	929	2032	930
VV1_RS05380	258	210	238	175
VV1_RS05390	564	255	469	240
VV1_RS05400	444	178	441	175
VV1_RS05415	672	330	671	329
VV1_RS05420	854	324	852	324
VV1_RS05430	1416	428	1413	425
VV1_RS05440	145	74	145	74
VV1_RS05450	374	205	361	204
VV1_RS05470	415	186	417	186
VV1_RS05495	847	443	778	428
VV1_RS05500	155	58	155	58
VV1_RS05505	827	321	819	318
VV1_RS05510	1894	683	1890	681
VV1_RS05520	747	480	747	480
VV1_RS05540	165	47	142	37
VV1_RS05545	13020	6186	13021	6185
VV1_RS05550	831	334	827	333
VV1_RS05555	3397	2864	3430	2850
VV1_RS05560	896	539	896	538
