"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_K12ref_starvation1","IAI1_K12ref_starvation2"
"22","tufA",34222.7772223351,-2.57719699000808,0.0770255452209645,-33.4589905545599,1.90469172774924e-245,2.04321476249464e-243,56625.0973663891,60653.1134060543,9857.34433864921,9755.55377824766
"23","mltD",3978.27208759433,-3.04567446924345,0.0932114307459508,-32.6749031193876,3.54994364511931e-234,3.64255087064417e-232,6931.36722083716,7269.24119130166,872.220561717902,840.259376520602
"24","garP",957.665064943493,5.40153689666388,0.165814699955003,32.5757420670766,9.04798122064362e-233,8.89718153363289e-231,48.2611965788102,38.0517392702274,1773.65425229717,1970.69307162777
"25","garK",977.544613484581,4.68371702284268,0.14469280749754,32.3700749460012,7.24069758633589e-230,6.83521852150108e-228,77.1002042905382,67.2700390670092,1964.23514058322,1801.57306999756
"26","atpG",5332.26715130322,-2.91417758852695,0.0917900095861448,-31.7483090116904,3.35054334350572e-221,3.04126241948981e-219,9114.89209043943,9719.50140216666,1188.00057369552,1306.67453891127
"27","carB",1627.43506610144,-4.58423359576681,0.147505833419282,-31.0783206975702,4.72891836480593e-212,4.13342494108963e-210,2999.25680201971,3254.10320294856,133.545731937669,122.834527499834
"28","sfsA",4358.85560034515,3.00632850412416,0.0968588086802825,31.0382560459487,1.64335228759666e-211,1.38511121383147e-209,969.343789820736,953.331967788019,7159.99877378316,8352.74786998869
"29","clpA",23691.251153072,2.32204211004775,0.0753610711024977,30.8122227574177,1.79752436334058e-208,1.46281293016682e-206,7852.44981407909,7918.15924492786,38462.5618994231,40531.8336538582
"30","atpD",9330.90300492872,-2.52387241421627,0.0829630654957907,-30.4216388236562,2.84253536056622e-203,2.23612781697876e-201,15303.5077249051,16502.2239270847,2758.55402533748,2759.32634238757
"31","yeaH",755.390673942323,4.94215375847088,0.167241318762057,29.5510331720257,6.36939926767321e-192,4.84896202313186e-190,54.7352595345042,38.0517392702274,1469.00305131436,1459.7726456502
"32","yodA",1422.38068318878,-4.60071062041183,0.156410132052962,-29.4144027629487,3.59374361748604e-190,2.65038591789596e-188,2597.86489876668,2868.8293428375,107.114805825005,115.71368532593
"33","garL",729.416361027507,5.85970811268487,0.199596204466088,29.3578133329708,1.89927787263137e-189,1.35827144830607e-187,24.7191494671955,23.1028416997809,1386.92807022767,1482.91538271538
"34","adhE",7313.62728197873,2.38602153282508,0.0816848581778019,29.2100835583441,1.44404429263395e-187,1.0023366266518e-185,2285.93277453779,2404.05452746544,11948.1697042983,12616.3521216134
"35","yedE",2153.32718291856,-3.3484915491144,0.116598244747685,-28.7181986003343,2.26122155573205e-181,1.52470939186504e-179,3806.7490179481,4045.035783494,421.503716428268,340.020213803887
"36","potD",1605.97771451184,-3.70009295460789,0.129641372807704,-28.5409886865067,3.63408575853061e-179,2.38234510837007e-177,2825.04565339377,3144.02495720254,232.31392951657,222.526317934481
"37","ilvD",2154.48460192735,-3.14647935856964,0.110938600036796,-28.3623496017259,5.89456539740897e-177,3.75977684807707e-175,3689.03878239003,4057.94619503211,431.241426048723,439.712004238535
"38","rpsD",10795.0490130801,-2.47124604554479,0.087419618580008,-28.268780917673,8.36613660297457e-176,5.19581115342632e-174,17558.24728702,19034.023579243,3127.19588954042,3460.72929651705
"39","brnQ",839.2848071379,3.66017467581169,0.132441256732566,27.6362122054047,4.08760709694572e-168,2.47352634584408e-166,122.418644980397,121.629666595905,1503.78058567313,1609.31033130217
"40","lpxC",17624.3894728819,2.37855107107754,0.0861326009920951,27.6149918112403,7.35185044686213e-168,4.33759176364866e-166,5859.6155260809,5487.60439904208,27815.0719801427,31335.2659862619
"41","znuA",3114.64774797783,-2.59995418406067,0.0948227702363073,-27.4190911906638,1.62401725360685e-165,9.34800175246871e-164,5201.02675813348,5497.79682920375,875.002764466603,884.764640107498
"42","ilvE",2112.77052202726,-3.40194678280984,0.124359739524455,-27.3556924115369,9.23997174767247e-165,5.19198412488262e-163,3577.80260978765,4151.03705717534,396.463891689955,325.778529456081
"43","ycgB",589.427502215165,5.06768506807027,0.186433978763686,27.1821966235769,1.05461522229624e-162,5.7881207549282e-161,36.4901730230028,29.897795140893,1100.36118711142,1190.96085358534
"44","lrhA",5551.71237575353,2.28111795949464,0.0840598815800809,27.1368209973208,3.62270836356896e-162,1.94308903136881e-160,1872.18129655116,1910.06141229659,8861.31575461409,9563.29103955227
"45","rpoA",15499.7961258585,-2.28585608876085,0.0847443556292653,-26.9735497047246,3.02044811178311e-160,1.58405723195736e-158,24603.2048851708,26860.4509527159,5052.48019164182,5483.04847390562
"46","ribB",1474.86579503776,2.83130604636546,0.105249048721696,26.9010131754456,2.13708432703771e-159,1.09641717648022e-157,348.422297251898,376.440420637607,2611.0972796563,2563.50318260522
"47","thrA",2779.92968300516,-2.87077352610418,0.107331125278215,-26.746887435148,1.34213741418848e-157,6.73924318613788e-156,4551.26625785292,5236.87061706505,674.6841665601,656.897690542589
"48","infB",4620.12272440944,-2.58242279674177,0.0966588359263879,-26.7168828590948,2.99654996804563e-157,1.4733037342891e-155,7396.91120246934,8446.12712730226,1307.63529188968,1329.81727597646
"49","ybhL",1653.36980462849,2.98445099030248,0.111790869054573,26.696733065431,5.1363908663636e-157,2.47385356012614e-155,361.958974341076,376.440420637607,2709.8654772352,3165.21434630006
"50","tsf",4615.13736095224,-2.73264143671838,0.103777179866502,-26.3318143760856,8.29197970879002e-153,3.91381442254889e-151,7364.54088769087,8687.34797446174,1151.8319379624,1256.82864369395
"51","uspE",7586.12502404132,2.04139680447703,0.0780644074391142,26.1501607639718,9.81381727419538e-151,4.54129583668649e-149,2946.87574719637,2976.86910255118,12379.4111303471,12041.3441160707
"52","cysK",7111.64844365468,-2.27731350048363,0.089240751961438,-25.5187618933073,1.220583424487e-143,5.53957092651794e-142,11136.5653861493,12456.5086482466,2473.37824359558,2380.14149662721
"53","htpG",7377.32907450249,2.08601694943887,0.0821951531139255,25.3788316027294,4.32011947610673e-142,1.92367584219092e-140,2722.63774845824,2894.65016591373,11615.6964758285,12276.3319078095
"54","gdhA",3754.97780057155,-2.92779675459874,0.115697477871045,-25.3056229787656,2.77000029990935e-141,1.21059272366409e-139,5924.35615563784,7356.21659534789,820.749810866925,918.588640433539
