	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
mdoD	2242	1858	636	448
ydcK	72	68	85	68
tehA	145	103	115	95
ydcL	926	846	420	318
ydcO	110	75	58	50
ydcP	1035	973	201	157
ydcR	240	209	55	79
ydcS	53	51	349	227
ydcT	12	9	58	67
ydcU	18	14	49	26
ydcV	13	23	36	23
ydcW	135	122	126	89
yncB	966	812	653	444
yncC	133	102	249	168
yncD	218	160	66	58
yncE	7371	6550	4020	3015
ansP	190	161	54	60
yncG	24	13	28	16
nhoA	125	135	92	59
narV	42	40	52	40
narW	20	13	17	20
narY	57	41	44	29
narZ	68	63	75	58
narU	9	13	43	44
yddG	108	108	22	24
fdnG	197	188	449	401
fdnH	62	64	99	85
fdnI	75	69	55	57
adhP	91	87	110	77
sfcA	1903	1868	584	444
ddpD	84	73	20	18
ddpC	50	60	22	15
ddpB	31	39	12	13
ddpA	124	99	44	39
dos	322	234	134	120
yddV	351	239	462	325
yddW	377	352	243	201
gadC	119	103	149	95
gadB	172	154	102	87
ydeM	274	240	86	71
ydeN	2786	2577	447	450
ydeO	6	6	13	5
ydeP	231	203	289	192
ydeQ	15	15	26	15
lsrK	552	462	666	554
lsrR	1077	936	553	450
lsrC	240	161	88	51
lsrD	175	127	44	34
lsrB	666	569	95	52
lsrF	751	693	110	71
tam	201	163	80	65
yneE	62	51	29	19
uxaB	275	239	166	125
yneF	253	205	142	144
yneH	227	206	18	15
yneI	143	110	50	40
ydeA	64	46	43	31
marC	95	83	92	57
eamA	721	574	326	260
ydeE	109	83	86	56
ydeH	656	527	1053	668
dcp	2441	2236	423	245
ydfG	1971	1654	636	463
ydfH	419	352	243	214
ydfT	70	41	55	38
ydfU	13	12	15	11
rspB	242	168	117	104
rspA	738	572	56	54
ynfC	370	299	359	250
ynfF	85	64	49	39
ynfG	19	23	8	8
ynfH	123	122	70	73
dmsD	150	127	85	76
clcB	33	24	16	14
ynfK	745	632	592	425
dgsA	4282	3311	652	463
ynfL	55	43	51	41
ynfM	56	48	47	39
ydgD	231	198	458	345
ydgG	90	102	172	108
pntB	13964	13573	2308	1607
pntA	18161	17493	1984	1385
ydgH	6688	5705	1748	1472
ydgI	178	149	58	46
folM	355	331	134	107
rstA	742	762	195	153
rstB	882	685	169	125
tus	281	240	232	153
fumC	4777	3900	4403	3434
fumA	26011	24513	19681	16929
manA	1017	988	331	279
ydgA	2036	1908	1039	786
uidC	46	28	90	54
uidB	63	43	90	70
uidA	273	234	376	240
hdhA	724	700	263	209
malI	137	144	152	112
malX	306	305	139	91
malY	601	557	192	167
add	428	351	515	390
ydgJ	1561	1313	948	740
rsxD	183	156	18	14
rsxG	146	107	9	16
rsxE	99	65	19	17
nth	108	84	29	7
ydgR	216	163	60	49
gst	1874	1653	1827	1558
pdxY	557	541	128	91
tyrS	4328	4031	1053	796
pdxH	718	696	238	214
anmK	848	753	449	334
ydhJ	29	39	13	8
ydhF	508	446	459	300
nemA	236	250	68	54
rnt	95	88	20	19
ydhO	721	623	135	109
ydhP	91	75	18	15
purR	2180	1977	242	205
ydhB	125	89	37	43
ydhC	56	45	16	20
cfa	416	323	899	800
ribC	985	892	598	448
mdtK	211	150	626	494
ydhQ	938	760	605	465
ydhS	35	30	120	89
ydhT	50	40	44	29
ydhU	98	68	78	59
ydhX	43	56	25	15
ydhV	108	69	54	35
ydhY	11	6	10	13
pykF	1771	1740	483	331
ynhG	343	281	843	649
sufS	550	380	186	148
sufC	337	223	179	120
sufB	621	462	446	332
ydiK	453	380	277	232
ydiM	36	18	65	59
ydiN	52	41	52	42
ydiB	82	77	45	34
aroD	421	368	120	124
ydiF	20	26	23	23
ydiO	38	21	12	19
ydiP	138	137	216	195
ydiQ	21	13	9	10
ydiR	32	30	16	13
ydiS	23	19	14	10
ydiD	142	82	74	56
pps	25294	23474	12474	9653
ydiA	275	223	195	198
aroH	164	157	32	27
ydiV	433	312	134	80
btuD	337	288	52	34
btuC	317	235	125	99
pheT	9569	8861	3328	2600
pheS	2910	2611	243	168
thrS	24342	21660	11950	10102
ydiY	48	43	32	30
pfkB	187	174	191	126
yniA	1406	1235	8513	6513
yniC	324	312	153	190
ydjN	2626	2410	359	282
katE	180	198	57	32
chbF	202	241	243	175
chbR	249	226	283	203
chbC	217	187	457	396
nadE	1256	1169	502	359
ydjQ	63	56	54	33
astE	69	73	120	107
astB	102	68	168	126
astA	85	68	220	160
astC	144	101	418	328
xthA	584	546	190	154
ydjX	92	66	80	55
ydjZ	47	50	17	17
ynjE	912	871	60	45
ynjF	62	53	42	33
gdhA	10066	10826	590	516
topB	1775	1512	299	204
selD	2674	2390	1216	918
sppA	1109	943	534	406
ansA	393	347	64	60
pncA	582	481	245	221
ydjE	84	68	135	84
ydjF	525	400	364	293
ydjG	167	149	68	45
ydjH	69	88	36	18
ydjI	75	118	54	30
ydjJ	109	85	34	16
ydjK	78	86	24	18
ydjL	87	78	27	15
gapA	18990	17862	5443	4409
yeaD	297	281	70	57
yeaE	330	327	135	127
mipA	2640	2369	247	201
yeaG	327	286	3160	2311
yeaH	93	56	1056	820
yeaI	10	5	30	25
yeaJ	165	115	130	100
yeaM	93	57	56	47
yeaN	58	37	27	24
yeaP	815	623	370	301
yeaS	52	42	84	75
yeaT	236	182	103	79
yeaU	90	57	86	104
yeaV	444	353	341	300
yeaW	1665	1601	605	476
yeaX	1104	1051	372	250
rnd	420	363	94	48
fadD	5864	5214	6636	5113
yeaZ	471	399	28	29
yoaA	476	421	103	51
sdaA	205	151	627	505
adrB	69	61	54	44
yoaE	507	469	142	102
manX	44991	40214	1142	891
manY	33046	30451	859	648
rrmA	185	151	41	36
kdgR	2177	1910	1431	1120
yebQ	43	38	27	19
htpX	5256	4539	19130	15535
prc	5361	4981	919	703
yebS	200	137	125	116
yebT	439	358	86	95
yebU	231	199	60	53
pphA	73	54	61	49
yebZ	223	171	73	69
yobB	164	169	307	271
exoX	274	248	202	115
ptrB	194	185	137	113
yebE	471	439	933	744
purT	1003	819	26	23
eda	545	502	217	156
edd	305	288	95	86
zwf	2229	2050	780	631
yebK	1147	996	548	499
pykA	2861	2940	731	579
lpxM	580	527	212	207
yebA	3733	3229	1446	1000
znuA	8837	8091	629	497
znuC	744	653	175	137
znuB	609	555	50	46
ruvB	713	585	324	236
ruvA	443	389	338	275
yebB	21	15	38	24
yebC	2404	2336	451	295
aspS	4289	4011	846	735
yecE	106	94	30	31
yecO	174	137	89	61
yecP	334	289	81	75
torY	55	40	42	25
cutC	696	600	242	227
argS	2313	2034	380	300
flhA	159	149	78	65
flhB	11	12	6	5
cheZ	55	38	22	25
cheB	16	14	14	7
cheR	10	5	9	6
tap	24	19	16	7
tar	13	11	41	21
cheA	67	55	14	7
motB	18	20	9	3
motA	14	6	2	8
otsA	165	129	240	173
otsB	40	35	77	76
araH	407	384	876	727
araG	794	739	797	577
araF	1714	1451	1564	1205
tyrP	301	218	109	79
yecA	1809	1467	1696	1323
uvrC	728	599	205	135
uvrY	1238	968	581	441
sdiA	296	230	260	196
yecC	261	204	52	53
yecS	185	152	46	45
yedO	461	432	151	123
fliY	4945	4854	1218	861
fliA	7	9	6	3
fliD	25	18	19	13
amyA	257	222	304	279
yedE	6468	5953	303	191
fliF	7	4	6	2
fliG	7	10	8	7
fliH	9	3	5	2
fliI	6	4	4	4
fliM	14	16	6	5
fliP	4	12	4	4
fliR	45	25	106	106
rcsA	334	245	28	21
yedP	42	44	94	54
yedQ	280	232	170	131
yedI	425	387	205	138
yedA	44	30	19	9
dcm	729	593	148	118
yedJ	192	151	30	22
hchA	232	195	787	796
yedW	371	287	271	228
yedZ	77	63	61	53
yodA	4414	4222	77	65
yeeI	4103	3400	4850	4093
shiA	422	363	239	205
amn	414	402	260	221
yeeN	1432	1248	279	197
yeeO	152	99	174	144
cbl	1054	991	72	58
nac	53	54	69	47
erfK	501	385	266	202
cobS	280	241	208	139
yeeA	148	145	100	79
dacD	71	62	26	29
yeeE	2655	2125	84	55
yeeF	1691	1694	47	35
yeeY	175	130	324	259
yeeZ	692	622	881	787
hisG	1919	1789	178	154
hisD	1651	1630	128	112
hisC	1585	1448	123	115
hisB	2607	2498	241	184
hisA	2129	2085	172	110
hisF	2123	2086	126	92
ugd	752	654	251	172
gnd	4246	4073	951	632
galF	4608	4046	472	345
wcaL	32	35	10	5
wcaK	16	11	10	13
wzxC	11	9	1	4
wcaJ	6	16	5	5
cpsG	1249	1209	5	2
cpsB	743	742	12	11
fcl	22	26	4	4
gmd	33	20	7	7
wcaE	8	2	2	4
wcaD	17	13	4	2
wcaC	18	17	9	6
wcaA	11	7	5	5
wzc	31	27	20	22
wza	6	3	3	2
yegH	427	370	198	169
asmA	1601	1229	636	467
udk	365	313	38	37
yegL	18	12	1	1
mdtA	35	32	16	19
mdtB	105	79	18	17
mdtC	100	84	20	9
baeS	60	62	15	7
baeR	132	111	120	90
yegQ	241	243	68	55
yegS	51	41	61	41
gatD	34	28	57	29
gatZ	42	50	31	19
gatY	34	28	35	18
fbaB	1360	1181	560	385
yegT	130	101	40	34
yegU	116	91	21	21
yegV	89	82	34	22
yegW	194	146	98	58
yegX	109	86	12	17
thiD	1606	1374	117	76
thiM	1869	1531	89	83
rncA	63	61	70	44
yehA	28	28	27	24
yehC	0	0	0	0
mrp	2013	1975	855	697
metG	2138	2146	397	358
yehL	24	10	3	8
yehP	37	37	9	4
yehT	793	636	268	170
yehU	1551	1260	934	735
mlrA	54	51	55	45
yehW	27	14	7	4
yehX	34	26	14	6
yehY	28	18	9	8
yehZ	44	27	47	40
bglX	2015	1940	407	281
dld	5144	4611	1579	1234
pbpG	443	427	182	151
yohF	35	27	39	37
dusC	291	217	34	34
yohK	32	24	42	22
cdd	444	393	345	285
sanA	131	87	82	58
yeiT	674	650	1543	1127
yeiA	790	649	1193	824
mglC	3127	2770	692	483
mglA	6085	5389	1673	1064
mglB	24056	21562	6728	5069
galS	968	742	648	415
yeiB	164	143	34	20
folE	800	835	182	147
frmC	612	514	300	288
cirA	1873	1567	444	311
lysP	1854	1686	121	125
yeiE	285	229	159	126
yeiH	260	206	332	270
nfo	308	273	96	78
yeiJ	131	113	66	63
rihB	64	56	33	32
yeiL	112	57	107	74
yeiC	53	37	31	11
fruA	1209	1032	536	407
fruK	557	463	190	161
fruB	489	468	141	102
setB	50	52	19	12
yeiQ	200	167	162	153
yeiR	182	165	10	14
yeiU	141	100	16	10
rtn	375	300	175	146
yejB	150	149	44	24
yejE	169	130	31	22
yejF	392	384	89	48
bcr	259	195	91	92
rsuA	274	251	89	44
yejH	45	40	25	21
yejK	1134	1066	356	321
yejM	870	674	122	108
narP	323	328	323	254
ccmH	307	322	108	72
ccmF	374	363	70	31
ccmC	139	129	32	29
ccmB	64	82	29	17
ccmA	146	141	103	104
napC	220	215	148	141
napH	128	115	49	26
napG	126	117	35	18
napA	684	736	184	159
mqo	128	116	19	21
yojI	703	603	58	37
alkB	28	24	33	19
ada	132	105	121	76
yojL	80	71	17	13
rcsB	2425	2217	1381	1054
rcsC	952	814	296	237
yfaP	17	15	7	12
yfaQ	59	48	26	15
yfaT	4	2	2	3
gyrA	8148	7428	951	704
ubiG	485	416	42	41
nrdA	1833	1639	87	82
nrdB	1635	1512	146	103
inaA	283	236	232	170
glpQ	3210	2701	1233	926
glpT	1575	1240	483	362
glpA	21	22	20	14
glpB	18	12	11	10
glpC	46	31	30	35
yfaY	297	246	183	147
ais	143	146	42	16
yfbE	1415	1130	157	120
yfbF	259	247	38	26
yfbG	717	623	79	52
yfbH	326	303	26	19
arnT	406	335	59	60
menE	278	235	22	12
menC	368	370	47	28
menB	666	651	83	62
yfbB	168	146	21	16
menD	311	286	49	49
menF	353	326	70	57
elaC	171	135	64	52
nuoN	2747	2429	628	586
nuoM	2474	2212	436	348
nuoL	4454	3970	1065	842
nuoH	2765	2530	623	514
nuoG	9240	8690	2174	1576
nuoF	4013	3693	771	570
nuoC	5491	5075	2002	1456
nuoB	3580	3292	1932	1332
lrhA	3181	2811	6370	5372
yfbQ	1434	1392	904	756
yfbS	442	395	362	303
yfbT	1081	885	753	578
ackA	3601	3501	1496	1336
pta	5469	5214	815	543
yfcF	108	88	39	23
yfcG	24	19	42	41
yfcH	702	662	820	666
hisP	1140	1099	160	108
hisM	954	866	170	130
hisQ	2443	2162	425	285
hisJ	11776	10555	1231	941
purF	2409	2228	205	178
dedD	634	512	317	231
folC	943	868	395	309
accD	5512	4702	1878	1599
truA	557	517	114	82
usg	997	968	131	95
pdxB	1029	998	229	185
flk	279	205	40	25
yfcJ	57	59	8	11
fabB	9821	9027	12141	9860
trmC	382	306	103	101
yfcA	328	345	164	130
mepA	425	376	109	79
aroC	1327	1119	206	159
prmB	1277	1135	167	106
yfcY	853	796	679	473
fadL	1081	1006	671	496
vacJ	1645	1404	349	290
yfdC	68	40	62	50
dsdA	98	98	64	61
emrY	13	8	27	17
emrK	11	10	26	19
evgA	143	139	32	23
yfdE	41	26	64	52
yfdV	14	24	45	29
oxc	51	64	46	34
frc	43	62	27	31
yfdX	29	37	39	17
ddg	43	32	44	29
yfdZ	866	788	764	633
ypdA	137	89	129	73
ypdB	196	164	240	164
ypdC	69	41	71	40
ypdD	103	90	23	28
ypdE	28	30	9	4
ypdF	53	38	14	11
ypdG	47	38	22	8
glk	984	828	617	490
yfeO	116	103	124	114
mntH	416	382	1219	865
nupC	2472	2140	611	560
yfeA	563	448	187	167
gltX	2310	2143	413	326
yfeR	116	100	98	77
yfeH	515	410	236	281
ligA	916	802	315	257
zipA	3328	3112	2786	2191
cysZ	387	303	493	440
cysK	18922	18332	1778	1337
ptsI	25773	23771	3924	3389
pdxK	558	577	140	118
cysM	1398	1433	62	40
cysA	1940	1963	57	43
cysW	1217	1095	38	29
cysU	854	823	24	30
cysP	2337	2011	116	64
ucpA	7036	6406	7276	6437
yfeT	139	128	49	41
yfeU	269	218	334	279
murP	230	198	433	323
murQ	402	370	539	466
yfeX	864	780	502	371
amiA	397	299	113	108
hemF	176	134	43	22
yfeG	61	59	19	21
eutL	59	45	17	15
eutC	53	52	25	14
eutB	86	93	32	22
eutA	28	28	11	13
eutH	54	40	19	12
eutG	25	23	5	10
eutJ	7	10	1	2
eutE	17	25	9	6
eutI	137	116	102	83
eutT	86	84	50	41
eutQ	121	115	75	46
maeB	18584	18886	9360	7028
talA	375	298	486	350
tktB	275	235	481	326
ypfG	135	137	62	56
aegA	102	100	76	44
narQ	212	200	226	182
acrD	193	188	78	61
dapE	707	721	677	464
ypfH	234	237	120	130
ypfJ	671	531	551	375
purC	3751	3274	371	300
nlpB	5250	4800	1500	1208
dapA	6314	5828	1949	1664
hyfA	4	5	1	0
hyfC	5	10	14	6
hyfD	9	9	8	6
hyfE	7	0	8	5
