	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
recC	758	617	300	270
thyA	699	658	256	184
lgt	470	386	102	75
ptsP	1402	1164	458	324
mutH	257	201	188	169
ygdQ	128	92	73	76
tas	457	477	397	370
ygeD	345	333	106	69
aas	1065	940	141	91
galR	281	243	187	165
lysA	933	865	30	23
lysR	91	68	71	56
ygeA	284	202	132	93
araE	380	333	226	225
kduD	118	90	113	80
kduI	99	78	76	45
yqeF	6353	5556	2861	2054
yqeG	106	79	78	65
yqeH	47	22	23	11
yqeI	42	21	11	10
ygeH	10	6	19	12
ygeR	657	611	331	267
xdhA	355	347	213	155
xdhB	122	111	72	39
ygeV	2790	2293	4814	3962
ygeW	49	40	36	24
ygeX	58	31	12	12
ygeY	47	41	32	14
hyuA	24	22	25	17
yqeA	99	65	120	108
yqeB	336	297	869	622
yqeC	217	177	609	369
ssnA	33	16	57	56
ygfM	12	28	46	27
xdhD	122	118	298	198
ygfO	36	46	33	32
guaD	201	167	74	51
ygfT	147	170	117	92
ygfU	111	75	50	30
lysS	3967	3484	540	446
prfB	2960	2705	511	462
recJ	739	633	153	125
dsbC	651	591	178	152
xerD	589	519	221	185
ygfZ	1066	919	614	497
yqfA	204	179	828	594
bglA	926	885	367	285
ygfF	19	24	11	5
gcvP	1126	986	213	169
gcvT	907	787	158	127
visC	469	406	187	153
serA	5919	5939	1402	1148
rpiA	1560	1498	594	440
argP	514	448	507	371
yliK	58	39	32	19
argK	10	16	12	5
ygfG	19	16	5	3
ygfH	48	49	24	19
ygfI	118	76	77	86
yggE	548	507	387	253
argO	140	122	40	38
mscS	771	688	224	172
fbaA	10477	10134	2355	1908
pgk	8986	8268	2284	1940
epd	1618	1544	690	564
yggF	17	13	12	13
cmtA	40	31	12	3
tktA	9907	8983	2202	1829
yggG	2400	2113	1366	1174
speB	471	377	98	74
speA	6825	6755	593	459
metK	4886	4353	1997	1311
galP	65	63	24	15
endA	19	22	11	7
yggJ	309	293	95	95
gshB	794	748	329	264
yggS	381	356	125	100
yggW	359	327	39	34
yggM	101	90	66	45
ansB	143	151	113	88
yggN	534	540	229	172
yggH	743	621	139	114
mutY	174	164	47	39
mltC	343	278	42	51
nupG	3086	2437	3627	3275
yqgA	40	34	39	35
yghK	492	401	410	336
glcF	1500	1322	890	722
glcD	1253	1135	1758	1472
glcC	2282	1797	2642	1991
ECIAI1_3132	22	21	4	1
yghR	18	8	4	3
yghS	16	17	17	11
yghT	9	9	11	9
pitB	45	27	22	17
gss	642	577	480	421
yghU	1587	1348	504	385
hybC	611	628	284	245
hybB	147	156	116	70
hybA	129	146	113	89
hybO	192	188	254	158
yghZ	1932	1691	978	842
yghA	21	18	33	30
exbB	2103	1708	963	660
metC	1378	1250	246	150
yghB	286	246	306	277
yqhC	137	108	142	92
yqhD	462	424	570	557
dkgA	212	170	680	542
yqhG	69	39	45	32
ygiQ	341	309	42	26
sufI	628	496	217	175
plsC	370	263	106	93
parC	1330	1241	323	245
qseB	145	128	73	59
parE	1529	1477	235	185
cpdA	1837	1479	1925	1630
nudF	451	382	212	179
tolC	2151	2089	985	843
ygiC	2848	2715	1151	820
ygiE	613	526	1009	716
ribB	592	554	1877	1440
yqiJ	43	42	53	45
yqiK	113	75	44	30
rfaE	1489	1356	209	202
htrG	815	753	123	87
cca	630	522	231	179
bacA	492	417	218	178
plsY	205	155	61	57
ygiP	33	30	30	30
ttdA	7	6	4	1
ttdB	9	5	4	4
ygjE	24	19	16	10
gcp	417	360	179	135
dnaG	1768	1577	530	505
rpoD	5243	4819	5060	4054
yqjH	135	101	50	67
yqjI	112	120	46	40
aer	174	123	47	30
ygjG	107	90	223	158
ebgR	101	76	42	44
ygjI	15	19	19	16
ygjJ	7	3	4	4
ygjK	40	27	21	14
ygjO	125	102	20	16
ygjQ	30	26	4	2
ygjR	756	658	794	674
alx	27	34	17	20
sstT	2654	2279	4600	3799
uxaA	345	333	402	324
uxaC	488	406	357	306
exuT	402	362	233	182
exuR	558	482	580	511
yqjA	373	303	838	764
yqjG	83	79	94	79
yhaJ	501	477	110	79
yhaK	58	45	100	86
yhaM	81	81	70	38
yhaO	54	47	69	60
tdcG	103	73	65	39
tdcE	490	431	270	190
tdcD	141	103	64	46
tdcC	446	342	274	198
tdcB	225	155	150	98
tdcA	185	128	320	244
garK	131	99	1412	1012
garR	176	146	2041	1432
garL	42	34	997	833
garP	82	56	1275	1107
garD	482	404	922	663
agaR	528	443	283	229
kbaZ	88	98	46	43
agaS	22	19	16	18
kbaY	26	18	11	17
agaC	18	13	15	10
agaD	30	22	21	23
agaI	15	19	2	5
yraI	15	13	33	42
yraL	346	315	113	76
yraQ	367	301	48	36
yraR	82	75	75	49
yhbU	43	30	15	2
yhbV	30	26	21	16
yhbW	62	57	34	36
mtr	310	245	211	193
deaD	776	734	400	309
nlpI	5728	4807	1924	1911
pnp	12633	11762	1121	932
truB	995	1009	167	114
infB	12568	12430	940	747
nusA	5342	5182	626	441
argG	4183	4073	209	168
yhbX	74	64	39	33
glmM	1802	1763	692	504
folP	395	406	102	91
ftsH	10765	9667	14252	12126
rrmJ	2357	2069	4420	3998
dacB	156	122	64	51
obgE	1176	1060	810	652
yhbE	457	363	169	131
ispB	978	903	404	252
murA	2315	2330	187	145
yrbC	1229	1153	477	377
yrbE	640	560	175	147
yrbF	950	900	321	253
yrbG	338	282	163	117
kdsD	1037	1013	207	166
lptB	1199	1094	272	183
rpoN	4766	4073	1904	1408
yhbJ	981	818	244	165
yrbL	2651	2484	3760	3176
mtgA	662	608	465	338
elbB	1418	1267	734	565
arcB	1550	1403	1831	1424
yhcC	20	23	4	6
gltB	2349	2495	155	124
gltD	1313	1308	130	80
nanE	132	127	99	68
nanT	293	208	159	130
nanA	211	179	50	55
nanR	573	403	217	173
dcuD	68	42	28	29
sspA	2457	2199	1727	1386
degQ	1057	923	437	328
degS	351	264	135	107
mdh	28976	26620	9237	6900
aaeB	53	51	39	23
aaeA	62	58	40	46
aaeR	93	68	90	62
tldD	944	863	482	351
rng	981	894	184	152
mreC	411	339	28	13
mreB	2280	2270	209	169
csrD	1086	973	348	294
yhdH	1092	1049	356	314
accC	7193	7198	856	670
panF	172	168	18	21
prmA	408	382	49	36
dusB	4212	3724	359	317
yhdJ	81	86	22	13
envR	32	16	3	6
acrE	22	11	8	5
acrF	229	189	191	157
aapQ	64	49	115	85
aapP	106	86	102	77
aroE	475	417	179	110
smf	757	645	837	710
fmt	1003	918	847	628
rsmB	496	449	119	86
trkA	490	456	240	164
rpoA	41803	39530	3632	3080
rpsD	29833	28012	2248	1944
secY	39647	38127	6381	5213
rpsC	24030	24096	1152	942
rplB	24211	24319	755	611
rplD	19199	18662	510	447
rplC	24179	24243	646	552
tufA	96211	89262	7086	5480
fusA	58585	56492	3064	2338
yheO	991	787	222	180
fkpA	8453	7456	1868	1496
kefB	338	301	270	270
yheS	491	446	92	68
yheT	167	141	28	17
prkB	354	325	332	290
crp	4021	3524	2510	2249
yhfK	634	543	93	105
argD	1745	1601	96	67
fic	53	57	93	67
tsgA	58	45	34	26
nirB	77	48	42	49
nirC	24	22	12	3
cysG	634	520	326	237
frlA	17	13	4	10
frlB	11	11	11	6
frlC	28	31	9	6
frlD	34	38	14	12
frlR	145	134	102	91
yhfS	53	38	29	31
yhfT	53	49	12	18
php	21	20	12	8
yhfZ	376	351	509	431
trpS	2175	1973	492	414
gph	665	695	120	72
rpe	837	757	146	110
dam	569	511	137	83
aroB	3256	2996	600	444
hofQ	94	86	15	14
yrfD	119	107	22	20
mrcA	1121	927	78	64
igaA	1078	954	567	474
yrfG	328	289	108	83
hslO	706	679	271	186
pck	30557	27715	19738	16517
envZ	656	510	270	208
ompR	1388	1210	1308	1047
yhgF	1595	1470	68	43
feoB	1216	1113	1135	890
yhgA	51	49	29	25
bioH	209	147	62	47
gntX	218	175	95	82
gntT	2017	1899	75	69
malQ	1255	1203	72	54
malP	1325	1231	92	69
malT	16032	13690	2162	1703
rtcB	62	66	66	55
glpG	405	341	60	41
glpD	81	83	143	120
glgP	7656	6802	4486	3502
glgA	3890	3531	2083	1534
glgC	4335	4263	2749	1979
glgX	3686	3496	2104	1788
glgB	6931	6372	1214	957
asd	4625	4518	1288	1004
gntU	98	69	24	14
gntR	234	225	66	82
yhhW	168	161	154	132
yhhX	709	619	334	306
yhhZ	6	5	4	3
ggt	70	41	13	15
ugpC	160	161	34	14
ugpE	62	72	12	9
ugpA	44	50	15	4
ugpB	895	753	828	610
livF	902	847	169	126
livG	1056	832	208	143
livM	1682	1459	413	280
livH	1850	1687	559	360
livK	4774	4384	1423	983
livJ	16109	14481	4006	2992
rpoH	4340	3933	2206	1746
ftsX	995	844	642	464
ftsE	553	521	223	165
ftsY	2306	1991	806	616
yhhN	165	167	96	70
yhhQ	71	63	28	51
yhhS	71	73	99	68
yhhT	70	56	51	54
nikA	32	22	3	10
nikB	13	12	7	5
nikC	13	8	2	2
nikD	10	6	2	6
nikE	10	8	4	2
yhhI	889	558	124	82
yhhJ	1294	1173	515	401
rbbA	2006	1796	756	575
yhiI	1899	1743	1129	846
yhiM	62	60	85	66
yhiN	271	214	202	142
pitA	1355	1249	451	334
yhiP	47	34	49	33
yhiQ	73	69	17	13
prlC	1028	1003	752	633
yhiR	122	99	28	22
gor	908	795	229	174
arsB	57	42	25	29
yhiD	33	27	17	11
mdtE	18	7	5	3
mdtF	97	87	54	50
gadW	36	28	23	11
gadX	89	66	58	36
gadA	159	140	98	86
yhjA	81	63	68	56
treF	78	75	107	105
yhjB	59	44	41	31
yhjC	70	68	30	31
yhjD	57	51	68	42
yhjE	2219	2001	575	468
yhjG	48	66	74	64
yhjH	15	20	4	2
kdgK	289	263	134	125
yhjJ	965	795	183	123
dctA	7155	6717	9568	9062
yhjK	394	352	129	101
bcsC	668	597	164	120
bcsZ	227	184	60	50
bcsB	312	310	130	94
bcsA	425	389	158	120
bcsE	338	255	395	282
bcsG	171	157	75	58
yhjV	179	140	58	71
dppF	624	579	32	27
dppD	839	727	48	28
dppC	681	718	36	18
dppB	879	825	45	31
dppA	16999	15663	1788	1478
eptB	883	662	571	438
yhjX	29	23	75	49
yhjY	76	62	132	93
yiaD	116	77	10	10
tiaE	601	518	99	49
yiaF	2103	1932	930	735
glyS	4552	4214	708	633
glyQ	1891	1721	406	283
yiaH	65	48	80	71
xylB	250	209	152	144
xylA	356	304	256	176
xylF	674	617	471	353
xylG	375	288	157	153
xylH	255	195	174	100
xylR	507	411	221	190
bax	15891	13900	2237	1721
avtA	1216	1063	354	296
yiaJ	236	200	96	81
yiaK	96	102	144	114
yiaN	28	32	49	36
yiaO	94	72	61	42
sgbH	64	61	19	8
sgbU	92	78	20	28
sgbE	77	60	22	18
yiaT	30	36	34	9
yiaU	111	84	131	90
yiaV	30	21	28	19
aldB	428	314	405	260
yiaY	52	59	21	23
selB	943	905	176	137
selA	402	351	77	75
yibF	206	173	54	36
yibH	68	56	61	40
mtlA	1701	1312	1459	1157
mtlD	753	659	645	455
lldP	327	264	199	159
lldR	126	93	74	45
lldD	180	169	92	73
cysE	1137	1031	895	634
gpsA	2357	2234	542	405
gpmI	514	467	138	145
envC	600	453	65	37
yibQ	238	207	45	46
yibD	78	38	19	13
tdh	437	357	292	252
kbl	553	472	568	453
waaD	991	854	617	494
waaF	809	712	172	121
kdtA	591	493	167	118
mutM	190	144	156	135
yicR	813	696	508	376
dfp	414	398	64	57
pyrE	337	300	10	7
yicC	938	865	209	193
yicG	14	5	9	9
ligB	89	73	43	32
gmk	735	637	457	387
spoT	1841	1600	125	110
trmH	285	278	23	16
gltS	335	268	363	267
yicE	605	523	23	18
yicH	1059	888	808	621
yicI	113	93	82	74
yicJ	58	37	29	29
setC	21	11	21	16
yicL	331	259	129	79
nlpA	984	944	195	113
yicM	34	20	6	10
uhpT	115	81	38	40
uhpC	39	39	10	3
uhpB	105	63	9	5
ilvB	2187	2505	238	218
emrD	26	12	26	35
yidJ	128	101	89	74
yidK	46	30	23	12
yidL	120	109	109	101
yidP	26	18	11	8
yidE	1639	1436	958	660
yidR	336	276	161	129
cbrA	32	33	21	14
dgoT	89	51	42	54
dgoD	168	132	117	87
dgoA	59	57	60	46
dgoR	308	319	296	215
yidX	167	92	82	87
yidA	220	170	55	55
gyrB	2625	2513	1376	1182
recF	198	173	13	21
dnaN	854	699	163	136
dnaA	1546	1346	625	518
yidC	4049	3768	317	231
trmE	427	374	164	111
tnaA	1184	993	207	137
tnaB	109	95	67	60
mdtL	21	17	8	6
yidZ	119	77	46	25
yieE	408	330	69	58
yieH	248	186	69	48
yieK	35	32	18	23
yieL	45	37	15	21
bglH	22	26	40	25
bglB	18	17	10	9
bglG	30	19	17	18
phoU	977	886	273	228
pstB	819	682	211	145
pstA	211	169	22	11
pstC	245	185	59	43
pstS	760	667	60	50
glmS	2860	2647	554	447
glmU	2669	2443	426	336
atpD	26002	24286	1983	1550
atpG	15487	14304	854	734
atpA	39671	37096	2373	1768
atpB	15310	14055	1876	1341
gidB	247	214	81	77
gidA	1094	1017	148	145
asnA	786	691	95	91
yieM	244	197	49	38
ravA	225	229	84	78
trkD	332	263	67	61
rbsA	414	358	250	135
rbsC	586	411	384	279
rbsB	9857	7878	3779	3080
rbsK	1659	1493	432	314
rbsR	484	390	56	45
hsrA	119	90	45	41
yieP	170	149	135	116
hdfR	313	289	228	206
yifB	67	54	32	26
ilvE	6079	6109	285	183
ilvD	6268	5972	310	247
ilvA	3408	3150	160	121
ilvY	132	124	66	52
ilvC	8549	8392	120	94
rep	560	463	111	94
gpp	1002	885	167	115
rhlB	2006	1733	584	501
rho	2606	2270	2387	2124
rfe	972	826	342	239
wzzE	786	664	140	115
rffE	430	378	24	20
rffD	475	379	29	15
rffG	409	362	39	12
rffH	282	265	18	15
rffC	141	131	17	13
rffA	348	306	76	53
wzxE	258	225	64	32
rffT	216	185	41	24
wzyE	136	149	35	28
rffM	173	151	52	43
yifK	597	578	117	86
hemY	2186	1892	723	557
hemX	2366	2165	578	455
hemD	632	577	213	174
hemC	820	749	529	392
cyaA	1208	1080	806	638
dapF	705	572	133	103
yigA	462	365	39	25
xerC	452	409	18	17
yigB	249	274	15	14
uvrD	652	557	246	180
yigE	57	44	7	4
corA	1183	1059	483	453
rarD	114	113	66	24
pldA	842	711	160	118
recQ	605	527	34	21
rhtC	453	350	295	244
rhtB	285	240	153	95
pldB	389	311	240	166
yigL	196	179	59	57
yigM	151	110	53	54
metR	592	457	312	170
ysgA	3022	2750	341	242
udp	4260	3815	2219	1844
rmuC	676	567	501	397
ubiE	1179	1119	634	514
yigP	779	649	160	122
ubiB	1075	1007	448	350
tatC	744	646	115	123
tatD	204	141	24	32
ubiD	2652	2179	1485	1206
fre	1476	1271	944	683
fadA	2276	1971	1265	1035
fadB	6971	6022	3097	2338
pepQ	3311	3112	1273	961
yigZ	388	390	159	124
trkH	544	455	216	136
yihE	924	871	450	351
dsbA	2466	2219	695	518
yihG	91	66	16	21
polA	2405	2134	1484	1213
hemN	977	795	420	299
glnG	312	271	147	109
glnL	206	175	86	74
glnA	4268	4189	842	660
bipA	4874	4531	1427	1175
yihL	107	85	43	42
yihM	187	181	90	70
yihN	94	111	13	15
ompL	3	5	17	14
yihO	24	16	58	55
yihP	53	37	45	39
yihQ	89	80	85	66
yihS	172	161	60	40
yihT	90	106	20	24
yihU	41	34	25	7
yihV	111	86	74	59
yihW	516	416	370	303
rbn	518	459	221	190
yiiD	816	755	170	135
fdhE	611	527	272	207
fdoI	269	269	603	449
fdoH	504	441	1147	953
fdoG	3740	3451	7609	6899
fdhD	298	257	272	232
frvB	11	17	3	2
rhaD	16	18	9	7
rhaA	15	8	7	5
rhaS	257	189	87	60
rhaR	286	200	259	239
sodA	19138	14676	5107	4119
kdgT	126	106	88	65
yiiM	303	254	147	133
cpxA	1603	1405	426	387
cpxR	1636	1375	618	455
fieF	573	525	407	346
pfkA	1569	1384	935	770
sbp	427	473	37	32
cdh	113	117	17	15
tpiA	5094	4892	724	526
fpr	674	517	443	311
glpX	195	159	198	168
glpK	1685	1390	969	786
glpF	490	355	348	320
menA	303	302	72	58
hslU	1718	1775	1928	1412
ftsN	657	561	283	228
cytR	447	391	168	149
yiiX	127	116	31	12
metB	1344	1168	1046	471
metL	1768	1537	1226	649
metF	3173	2722	1296	679
katG	8468	7404	3362	2415
yijE	96	76	57	60
yijF	19	10	6	5
gldA	348	338	254	154
fsaB	52	63	24	13
ptsA	75	69	53	51
frwC	98	76	30	26
pflD	135	116	72	52
pflC	46	54	19	11
yijO	53	28	16	18
yijP	943	884	94	85
ppc	2301	2123	655	567
argE	802	748	172	135
argC	1225	1076	81	41
argB	876	916	62	31
argH	1744	1617	118	65
oxyR	1288	1168	609	465
sthA	3528	2967	2800	2438
fabR	1808	1534	1258	1094
trmA	554	474	185	136
btuB	1435	1257	395	301
murI	279	269	139	107
murB	1064	964	424	312
birA	550	471	227	183
coaA	990	868	232	200
tufB	98636	91204	7048	5450
rplA	15297	15336	1759	1333
rpoB	34632	31699	5908	4429
rpoC	38008	35815	6773	5281
thiH	2552	2018	319	206
thiG	1904	1456	232	132
thiF	2112	1613	204	171
thiE	1847	1436	219	149
thiC	7550	5897	1144	778
nudC	250	220	79	67
hemE	581	547	180	123
nfi	259	215	40	29
yjaH	762	568	73	70
zraR	340	328	238	165
purD	868	775	77	55
purH	790	677	40	35
metA	3606	3032	2570	1376
aceA	3848	3644	3204	2481
aceK	503	473	968	854
iclR	269	238	243	217
metH	6322	5731	2390	1745
yjbB	340	246	117	100
pepE	1278	1107	280	306
yjbC	711	601	244	208
lysC	2275	2146	476	493
pgi	3449	3069	1706	1365
yjbF	3	8	1	1
yjbG	9	1	0	0
yjbH	33	22	14	14
xylE	52	32	89	58
malG	839	731	135	117
malF	1919	1700	33	33
malE	12946	11690	85	87
malK	3337	3035	23	19
malM	2134	1824	57	76
ubiA	647	538	1127	842
plsB	2009	1882	1246	918
lexA	863	783	1352	1037
dinF	118	120	70	54
yjbM	6	4	7	11
yjbN	467	477	146	108
qor	587	520	295	269
dnaB	678	620	101	87
alr	301	266	118	87
tyrB	2642	2269	193	157
aphA	1013	879	356	312
uvrA	630	632	297	247
yjcC	61	59	147	107
yjcE	674	619	183	173
actP	7858	6913	869	666
acs	22400	21202	6090	4266
nrfA	64	59	33	29
nrfC	14	10	5	1
nrfD	22	19	8	7
gltP	79	72	56	33
yjcO	874	810	440	471
fdhF	173	136	139	92
yjcQ	40	26	5	10
yjcR	19	10	5	5
phnL	0	1	0	1
phnK	18	20	12	11
phnJ	9	4	1	1
phnI	0	5	1	1
phnF	3	1	0	0
phnD	7	2	3	2
phnC	9	4	1	1
yjcZ	17	12	17	10
proP	284	285	264	206
basS	414	343	50	39
basR	420	340	91	65
eptA	456	436	54	56
adiC	17	12	31	19
adiY	13	12	53	34
adiA	36	31	46	37
melR	306	228	517	377
melA	320	297	127	104
melB	172	123	95	62
yjdF	108	85	57	36
fumB	500	471	453	353
dcuB	61	36	66	47
dcuR	793	689	247	196
dcuS	889	776	360	250
lysU	539	492	163	149
yjdL	33	27	28	26
cadA	97	78	83	72
cadB	15	7	11	8
cadC	58	52	120	109
dipZ	457	417	88	73
dcuA	2483	2175	4969	4475
aspA	20727	16754	24367	19894
yjeH	175	139	134	102
groL	30232	28015	22769	16149
yjeJ	151	134	95	83
yjeK	267	268	71	45
frdB	1205	1085	1330	1071
frdA	3142	2968	3468	2643
poxA	135	124	100	68
yjeP	755	693	103	73
psd	859	726	263	188
rsgA	958	809	267	204
yjeS	110	98	98	87
yjeF	201	201	142	110
amiB	509	464	239	150
mutL	867	769	561	423
miaA	5344	4757	3227	2601
hflX	4244	3358	1480	1136
hflK	4728	4521	1139	800
hflC	4173	3899	1069	793
purA	5639	5159	2032	1539
rnr	4018	3628	2955	2177
rlmB	603	577	266	191
yjfJ	44	38	18	17
yjfK	11	17	4	5
yjfC	69	63	36	33
aidB	136	116	121	70
yjfP	167	156	132	86
ulaR	262	198	326	280
ulaG	58	42	46	35
ulaA	59	53	29	15
ulaD	93	64	32	22
ulaE	79	88	29	14
ulaF	47	36	22	15
ytfB	659	562	515	408
fklB	552	525	58	69
cycA	6804	5754	2913	2311
ytfE	140	93	128	86
ytfF	58	54	34	28
ytfG	48	32	45	24
cpdB	2779	2370	944	753
cysQ	559	464	977	715
ytfL	245	211	227	183
msrA	211	167	209	167
ytfM	417	358	186	143
ytfQ	971	777	454	309
ytfT	70	48	92	69
yjfF	79	80	106	95
fbp	1108	1080	2075	1942
mpl	1493	1250	411	292
pmbA	726	604	380	288
nrdD	202	183	119	127
treC	112	137	26	14
treB	145	122	58	38
treR	192	186	93	76
mgtA	1980	1696	324	254
pyrB	231	228	12	7
yjgI	20	18	27	14
argI	858	802	41	31
valS	5487	5189	926	676
pepA	3791	3474	707	557
yjgP	986	806	387	322
yjgQ	914	768	381	320
yjgB	48	35	32	20
yjhT	243	167	192	162
yjhA	99	100	43	21
fimB	237	206	27	16
fimC	665	768	310	220
fimH	321	310	100	69
gntP	209	148	174	144
uxuA	509	427	706	548
uxuB	599	525	345	235
uxuR	358	306	399	326
yjiE	133	115	47	26
iadA	365	347	43	44
yjiH	13	10	24	12
yjiK	105	68	49	44
hgdC	73	66	23	25
yjiM	202	229	114	69
yjiN	74	55	30	22
yjiY	814	746	506	372
tsr	107	84	68	58
mdoB	1881	1478	415	302
dnaC	200	184	38	45
yjjP	74	55	54	52
yjjQ	13	15	8	12
bglJ	54	26	44	28
rsmC	312	263	50	51
yjjG	161	144	31	15
prfC	826	770	31	30
osmY	45	39	167	146
yjjU	235	196	59	54
yjjW	20	24	6	4
yjjI	40	25	31	26
deoC	298	289	376	272
deoA	726	595	412	332
deoB	1480	1299	1725	1383
deoD	1316	1206	1686	1532
ytjB	228	206	142	125
serB	688	619	61	45
radA	869	818	108	64
nadR	978	853	139	97
slt	986	833	715	532
ytjC	1138	953	257	208
rob	1283	1066	1000	981
creB	517	420	106	74
creC	241	231	49	56
arcA	4677	3951	13066	10504
yjtD	138	155	126	94
