	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_batch1	K12_batch2
acrR	578	706	578	706
kefA	1680	2473	1775	2629
dnaX	1551	2020	1618	2125
recR	1139	1694	1179	1771
htpG	6811	11022	6943	11246
adk	7239	9543	7421	9786
hemH	237	344	249	358
aes	53	83	55	84
gsk	1012	1303	1048	1342
ybaL	801	1199	877	1311
fsr	172	222	176	228
ushA	1523	2131	1642	2344
ybaP	205	278	217	302
copA	705	1030	778	1136
ybaS	64	93	73	97
ybaT	55	98	55	99
ybbK	347	519	354	540
ybbL	359	464	374	490
ybbM	270	372	272	373
ybbN	1670	2601	1815	2776
ybbO	280	368	298	394
tesA	324	397	324	397
ybbA	127	219	129	227
ybbP	276	458	289	484
ybbB	154	240	169	254
ybbS	12	17	12	18
allR	1355	2000	1371	2024
gcl	40	49	52	66
hyi	10	27	10	27
glxR	20	29	20	29
ybbW	4	8	4	8
allB	46	60	51	65
ybbY	24	26	27	28
glxK	62	95	63	96
ylbA	278	368	289	377
allC	110	163	124	177
allD	13	16	14	16
ylbE	20	30	21	33
ylbF	13	20	13	22
ybcF	30	45	49	75
purK	1771	2617	2096	3142
lpxH	635	961	718	1101
cysS	2236	3197	2250	3237
folD	803	971	844	1037
sfmC	5	10	5	10
sfmH	8	10	8	10
fimZ	8	13	8	13
envY	35	63	38	64
ybcH	37	59	44	69
nfrB	130	127	135	131
cusR	102	171	107	184
cusC	20	37	1334	1128
cusB	18	37	18	37
cusA	51	92	53	95
pheP	381	686	392	720
ybdG	684	1024	692	1035
nfnB	1099	1517	1125	1555
ybdK	51	69	57	74
fepA	1663	2409	2018	2915
fepC	165	194	205	252
fepG	90	131	96	149
fepD	56	86	60	91
ybdA	239	383	242	395
fepB	223	300	242	319
entC	577	835	621	906
entE	744	1203	782	1270
entB	670	1039	676	1051
entA	400	558	443	633
cstA	1590	2356	1814	2653
ybdH	488	755	631	956
ybdL	419	629	427	641
ibrB	70	86	70	89
ibrA	30	32	35	32
ybdO	18	32	20	32
dsbG	308	346	308	347
ahpF	3591	5251	3667	5373
ybdR	99	150	105	155
rna	484	582	484	585
citT	35	49	35	50
citG	15	16	15	16
citF	5	6	5	6
citE	8	12	9	12
citC	27	29	27	31
citA	204	304	211	312
citB	86	150	109	165
dcuC	44	59	45	60
lipA	1570	2399	1572	2400
ybeF	96	105	96	105
lipB	682	735	685	743
dacA	2020	2819	2046	2855
rlpA	1591	2158	1707	2318
mrdB	876	1115	890	1142
mrdA	1300	1637	1360	1717
phpB	64	119	64	120
nadD	227	290	227	292
holA	825	983	827	989
leuS	9835	13866	9928	14017
ybeQ	101	148	102	151
ybeU	17	14	18	15
hscC	73	105	77	113
rihA	509	602	541	654
gltL	513	746	577	832
gltK	278	379	313	431
gltJ	190	320	251	418
gltI	2659	3683	3044	4216
ybeX	2831	3894	2843	3910
ybeZ	2702	3930	2700	3928
miaB	1839	2763	1941	2938
asnB	2754	3812	3214	4530
nagD	685	871	781	1019
nagC	814	1024	850	1055
nagA	790	1137	794	1142
nagB	421	540	451	594
nagE	1125	1662	1190	1765
glnS	4561	6708	4965	7319
ybfM	23	32	25	36
ybfF	229	327	234	337
pgm	4323	6251	4722	6912
potE	93	112	104	125
kdpE	46	71	51	80
kdpD	240	359	273	406
kdpB	37	75	46	84
ybgH	373	521	405	567
ybgI	2156	3004	2212	3079
ybgJ	1099	1550	1102	1558
ybgK	1115	1524	1209	1674
nei	221	330	241	361
abrB	60	87	67	100
gltA	10167	12766	10494	13211
sdhA	6090	8582	6657	9406
sdhB	3553	4736	3629	4830
sucA	12165	17865	12401	18181
sucB	6961	10958	7042	11045
sucC	10267	14982	10310	15054
sucD	7065	10766	8095	12225
mngR	284	361	305	393
mngA	15	21	16	21
cydA	3557	6413	3558	6420
cydB	2689	4246	2452	3882
tolQ	1415	2064	1447	2111
tolA	2473	3469	2473	3469
tolB	9298	13606	9312	13620
ybgF	5936	8346	5962	8379
nadA	3469	4762	3538	4871
pnuC	1392	2080	1392	2080
zitB	338	509	338	509
aroG	10241	12897	10537	13290
gpmA	14324	21372	15188	22630
galM	1787	2773	1971	3051
galK	1320	1853	1411	1996
galT	343	435	363	468
galE	566	728	571	750
modF	1622	2163	1660	2219
modE	467	577	468	579
modA	1027	1289	1200	1577
modB	491	701	504	710
modC	777	1095	834	1182
ybhA	500	663	511	675
pgl	699	1002	741	1052
ybhD	24	43	32	51
ybhH	3	6	3	6
ybhI	2693	2990	999	1006
ybhJ	99	113	101	119
ybhC	2678	3923	2811	4127
bioB	1643	2265	1683	2312
bioC	335	511	390	608
bioD	414	629	457	679
uvrB	1003	1551	1044	1609
ybhK	491	726	491	726
moaA	1396	1919	1405	1933
ybhL	616	827	627	838
ybhN	30	47	36	56
ybhO	86	111	90	117
ybhP	95	145	95	145
ybhR	61	67	63	68
ybhS	73	92	73	93
ybhF	229	315	264	358
ybhG	238	310	252	326
ybiH	98	135	109	146
rhlE	222	320	262	376
