	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_batch1	K12_batch2
purT	1677	2584	1725	2664
eda	1304	2147	1312	2152
edd	1348	1680	1358	1685
zwf	7128	9684	7329	9929
yebK	628	803	635	809
pykA	2926	4042	2993	4126
lpxM	724	962	733	980
yebA	4917	6855	4992	6944
znuA	27614	38786	27900	39283
znuC	792	1003	830	1048
znuB	592	839	621	866
ruvB	476	732	538	842
ruvA	416	605	419	609
yebB	13	23	13	25
yebC	3607	5094	3772	5296
aspS	4331	6408	4577	6751
yecE	157	220	160	225
yecO	427	560	441	590
yecP	354	522	552	784
torY	39	38	44	43
cutC	404	692	404	692
argS	3186	4542	3319	4773
flhA	1497	2231	1499	2235
flhB	909	1329	909	1329
cheZ	4530	7035	4530	7035
cheB	4147	5130	4259	5290
cheR	2196	3123	2204	3132
tap	10160	13985	10187	14033
tar	16601	22035	16618	22064
cheA	13513	19130	14148	20066
motB	3278	4265	3502	4511
motA	4247	5903	4248	5905
otsA	827	1089	828	1090
otsB	363	549	366	554
araH	149	166	152	169
araG	111	180	115	194
araF	84	87	84	87
tyrP	328	459	328	459
yecA	1441	1890	1441	1890
uvrC	1677	2425	1678	2427
uvrY	1943	2591	1943	2591
sdiA	311	431	346	478
yecC	550	820	577	854
yecS	351	533	381	573
yedO	1087	1556	1151	1627
fliY	13265	18961	14583	20634
fliA	9195	12202	9821	12939
fliD	4889	5351	5223	5758
amyA	1460	1867	1538	1992
yedE	669	869	691	905
fliF	3435	4583	3687	4903
fliG	2558	3657	2742	3950
fliH	1336	2084	1459	2275
fliI	1119	1559	1177	1644
fliM	2068	2769	2189	2928
fliP	323	449	348	506
fliR	192	225	215	264
rcsA	524	696	531	713
yedP	165	212	194	240
yedQ	293	385	291	370
yedI	529	709	541	737
yedA	32	32	36	40
dcm	889	1289	913	1324
yedJ	338	479	354	509
hchA	263	297	309	350
yedW	410	576	411	583
yedZ	71	78	78	84
yodA	25599	34399	25725	34581
yeeI	696	912	697	913
shiA	981	1446	1054	1539
amn	787	856	803	876
yeeN	3691	4978	3693	4980
yeeO	108	143	110	147
cbl	773	1041	804	1080
nac	104	119	108	121
erfK	410	537	418	552
cobS	491	654	513	692
yeeA	239	371	260	391
dacD	250	309	287	360
yeeE	3791	5152	3830	5203
yeeF	5459	7942	5410	8007
yeeY	126	233	128	241
yeeZ	928	1331	931	1338
hisG	1329	1653	1559	1987
hisD	804	1039	1119	1466
hisC	720	1077	861	1262
hisB	1411	1865	1741	2315
hisA	1259	1907	1259	1907
hisF	921	1334	1097	1593
ugd	243	328	323	409
gnd	20122	29557	30300	44212
galF	3923	5402	8064	11472
wcaL	11	31	17	45
wcaK	29	26	34	31
wzxC	19	22	24	31
wcaJ	20	23	26	27
cpsG	31	59	35	67
cpsB	57	62	58	64
fcl	52	49	70	58
gmd	84	119	87	126
wcaE	16	22	18	22
wcaD	32	35	37	42
wcaC	24	52	31	67
wcaA	16	25	16	26
wzc	42	53	47	64
wza	27	18	30	20
yegH	458	648	500	706
asmA	1369	1900	1413	1963
udk	434	537	434	539
yegL	12	27	24	34
mdtA	80	89	85	100
mdtB	132	190	144	211
mdtC	141	196	144	216
baeS	57	116	61	124
baeR	197	243	183	225
yegQ	658	830	659	830
yegS	146	184	154	189
gatD	945	1314	981	1399
gatZ	24777	33136	24870	33291
gatY	23410	32368	23621	32651
fbaB	1728	2369	1782	2482
yegT	66	98	66	99
yegU	84	123	88	124
yegV	72	104	74	105
yegW	155	201	155	201
yegX	232	319	253	337
thiD	759	1094	770	1122
thiM	1416	1891	1542	2049
rncA	53	57	58	63
yehA	18	26	18	27
yehC	4	2	5	3
mrp	3218	4533	3858	5419
metG	1913	2617	2238	3022
yehL	1	2	1	3
yehP	11	10	11	10
yehT	281	389	281	389
yehU	599	651	609	661
mlrA	91	138	95	150
yehW	46	48	48	54
yehX	54	109	56	112
yehY	58	97	59	98
yehZ	143	249	143	249
bglX	1713	2625	1742	2680
dld	2752	3892	2850	4061
pbpG	638	835	638	835
yohF	71	80	93	113
dusC	172	229	183	251
yohK	48	69	48	69
cdd	118	209	122	213
sanA	164	225	165	226
yeiT	47	68	50	69
yeiA	78	96	79	99
mglC	251	317	253	326
mglA	562	704	613	763
mglB	1209	1745	1277	1830
galS	74	124	66	116
yeiB	349	484	380	517
folE	2056	2350	2077	2358
frmC	878	1178	1242	1636
cirA	3073	4485	2852	4167
lysP	4683	6418	4691	6423
yeiE	343	420	344	422
yeiH	152	188	152	188
nfo	697	832	731	880
yeiJ	10	22	19	37
rihB	5	6	5	7
yeiL	15	19	18	21
yeiC	12	10	13	10
fruA	846	1473	908	1593
fruK	459	700	463	703
fruB	443	726	449	732
setB	50	82	36	57
yeiQ	202	259	232	278
yeiR	265	365	267	366
yeiU	313	408	316	411
rtn	355	411	364	426
yejB	70	102	77	125
yejE	110	146	112	147
yejF	449	622	449	622
bcr	355	476	389	515
rsuA	562	712	625	787
yejH	80	102	88	110
yejK	1718	2459	1814	2569
yejM	917	1152	934	1181
narP	758	1197	878	1383
ccmH	114	183	145	229
ccmF	153	236	182	289
ccmC	89	133	90	134
ccmB	54	73	56	75
ccmA	117	123	125	132
napC	149	254	149	254
napH	37	51	39	55
napG	24	42	24	42
napA	168	323	177	343
mqo	1238	1829	1291	1916
yojI	1224	1644	1350	1803
alkB	33	23	34	25
ada	90	117	95	129
yojL	115	145	130	174
rcsB	3921	5057	3931	5079
rcsC	1296	1732	1365	1834
yfaP	9	16	12	18
yfaQ	29	78	31	79
yfaT	5	11	5	11
gyrA	11819	18134	12108	18568
ubiG	450	599	529	690
nrdA	2236	2834	2492	3217
nrdB	1731	2675	1926	2959
inaA	596	688	596	690
glpQ	3357	4917	3567	5236
glpT	3398	4583	3546	4804
glpA	510	828	515	837
glpB	291	399	328	463
glpC	199	301	209	317
yfaY	501	763	525	798
ais	15	26	17	27
yfbE	104	119	104	117
yfbF	36	36	36	36
yfbG	106	159	113	168
yfbH	33	64	33	64
arnT	55	63	55	64
menE	322	540	345	585
menC	343	621	446	790
menB	889	1424	929	1513
yfbB	323	412	329	425
menD	282	411	286	426
menF	510	673	517	677
elaC	324	450	330	453
nuoN	1051	1900	1201	2153
nuoM	1410	2254	1414	2265
nuoL	2679	4320	2740	4413
nuoH	2528	3723	2528	3724
nuoG	7974	12403	8174	12737
nuoF	3172	5048	3729	5934
nuoC	4582	6514	4949	7006
nuoB	2248	3194	2357	3295
lrhA	1108	1779	1112	1785
yfbQ	774	1176	775	1179
yfbS	193	309	195	310
yfbT	1575	2298	1631	2375
ackA	1641	2202	1766	2341
pta	2409	3527	2411	3531
yfcF	166	181	167	182
yfcG	40	62	40	63
yfcH	763	1127	844	1249
hisP	921	1295	924	1298
hisM	713	899	717	908
hisQ	1295	1720	1325	1746
hisJ	7181	9629	7200	9659
purF	3808	5587	3840	5623
dedD	614	1001	623	1007
folC	1414	2115	1465	2166
accD	5914	8945	5926	8958
truA	793	1120	835	1161
usg	858	1338	935	1442
pdxB	1433	2343	1552	2525
flk	417	588	440	614
yfcJ	96	145	101	155
fabB	3573	5508	3667	5649
trmC	468	662	468	662
yfcA	485	610	525	654
mepA	469	825	483	845
aroC	2077	2977	2456	3529
prmB	1540	2203	1828	2611
yfcY	129	180	140	190
fadL	857	974	904	1022
vacJ	1631	2515	1738	2647
yfdC	59	89	62	95
dsdA	228	274	229	277
emrY	29	22	30	22
emrK	31	37	33	44
evgA	980	1410	1016	1464
yfdE	21	45	21	45
yfdV	12	18	12	18
oxc	34	45	34	45
frc	37	50	37	50
yfdX	21	36	21	36
ddg	87	73	117	102
yfdZ	572	921	633	1057
ypdA	313	403	323	420
ypdB	335	509	335	509
ypdC	67	85	76	96
ypdD	56	75	61	85
ypdE	18	30	21	32
ypdF	16	25	17	26
ypdG	8	14	11	15
glk	883	1278	930	1358
yfeO	114	151	115	157
mntH	741	938	789	1013
nupC	797	1176	870	1286
yfeA	668	857	674	868
gltX	6865	9729	7044	9991
yfeR	116	163	121	171
yfeH	549	805	430	627
ligA	1024	1541	1112	1669
zipA	3625	5232	3636	5251
cysZ	261	355	264	361
cysK	28616	41859	29380	42910
ptsI	36054	51630	36131	51724
pdxK	690	1080	732	1140
cysM	3273	4439	3830	5320
cysA	1707	2595	2449	3554
cysW	1177	1667	1307	1880
cysU	1188	1694	1241	1759
cysP	2583	4032	2583	4032
ucpA	784	1032	815	1085
yfeT	70	142	72	148
yfeU	42	69	47	85
murP	74	101	78	104
murQ	75	109	80	121
yfeX	1550	2240	1556	2243
amiA	750	1144	785	1195
hemF	200	321	231	373
yfeG	79	143	91	148
eutL	80	125	118	156
eutC	122	200	127	206
eutB	597	874	628	937
eutA	8	10	8	11
eutH	14	25	14	26
eutG	11	22	11	25
eutJ	6	8	7	8
eutE	17	21	21	22
eutI	23	25	23	28
eutT	7	17	7	17
eutQ	8	20	8	20
maeB	5177	7271	5605	7960
talA	893	1293	940	1345
tktB	1491	2270	1495	2276
ypfG	161	206	186	234
aegA	74	140	76	142
narQ	185	264	197	274
acrD	118	215	124	224
dapE	880	1185	1015	1382
ypfH	291	435	291	435
ypfJ	992	1365	1029	1399
purC	4426	6964	4750	7522
nlpB	4616	7212	4616	7212
dapA	7029	10050	7035	10061
hyfA	0	1	0	1
hyfC	11	13	11	13
hyfD	10	15	11	17
hyfE	9	15	10	15
hyfG	31	44	32	48
hyfI	14	18	14	19
perM	318	421	326	435
yfgC	1509	2023	1526	2035
hda	1016	1465	996	1422
uraA	3244	5031	3279	5099
upp	6549	8651	6661	8778
purM	2842	4708	2878	4784
purN	1098	1576	1100	1589
ppk	1275	1550	1347	1624
ppx	1068	1499	1097	1541
yfgF	73	101	73	102
guaA	8396	13758	8514	13991
guaB	5586	8397	6107	9202
xseA	771	945	813	1013
der	2550	3520	2589	3569
yfgL	3412	5229	3439	5264
yfgM	2204	3269	2204	3269
hisS	5062	7145	5345	7466
ispG	2295	3202	2395	3341
yfgA	1559	1984	1612	2076
yfgB	1376	1831	1398	1857
pbpC	82	143	83	143
sseA	578	766	578	766
sseB	741	1177	749	1197
pepB	1774	2594	1816	2678
hscA	2469	3836	2551	3988
iscS	5553	7749	5579	7794
yfhQ	919	1519	968	1575
suhB	2086	2758	2136	2840
yfhR	25	38	26	37
hcaT	104	138	106	141
hcaR	509	668	474	633
hcaE	123	186	123	186
hcaB	23	62	23	62
yphB	69	97	74	97
yphC	48	79	58	92
yphD	17	27	21	34
yphE	17	30	25	35
yphF	17	33	18	37
yphH	322	449	328	464
glyA	25527	37418	26485	39053
hmp	497	915	498	925
yfhA	495	706	544	787
yfhG	354	443	295	377
yfhK	471	625	491	659
yfhD	291	419	322	449
yfhB	316	503	328	526
yfhH	176	265	180	269
pdxJ	1097	1744	1428	2170
recO	605	890	617	917
era	1479	2018	1913	2607
rnc	1347	1832	1574	2080
lepB	1855	2624	1979	2825
lepA	4081	6237	4172	6390
rseB	1353	1877	1354	1878
rseA	3759	5638	3763	5640
yfiC	274	393	287	427
srmB	555	778	616	837
yfiE	120	211	147	257
ung	724	954	789	1042
yfiF	1417	1879	1446	1962
yfiP	141	146	143	150
yfiQ	598	832	619	859
pssA	2772	3603	2818	3655
kgtP	10497	13360	11109	14316
clpB	7036	11271	7236	11636
yfiH	486	673	503	712
rluD	1303	1665	1408	1768
yfiO	5892	7442	5919	7482
pheA	3095	3818	3375	4150
tyrA	3003	4177	3246	4547
aroF	5815	7511	5827	7532
yfiN	124	171	130	175
trmD	35902	48325	35920	48359
ffh	2153	3257	2626	3986
ypjD	372	480	349	455
yfjD	629	857	704	949
yfjB	328	431	331	432
recN	518	664	519	664
gabT	106	181	125	207
gabP	36	59	50	72
csiR	151	233	156	235
nrdF	111	123	114	124
proV	1393	1687	1399	1691
proW	340	491	366	519
proX	907	1115	1020	1279
ygaZ	714	1033	714	1035
emrA	563	792	617	861
emrB	323	505	365	557
gshA	3458	5002	3539	5098
alaS	17443	24665	17716	25082
recA	5014	7427	5053	7480
mltB	159	198	159	199
srlE	22	22	22	22
srlD	104	143	104	143
srlR	277	389	299	422
gutQ	191	313	203	334
norV	56	81	64	96
norW	30	26	31	27
ascG	638	893	646	907
ascF	61	88	63	92
hycG	32	48	36	56
hycE	14	19	19	21
hycD	8	8	8	9
hycC	4	13	5	15
hycB	1	4	1	4
hypB	57	102	58	104
hypD	249	358	280	408
hypE	85	143	101	172
fhlA	99	115	103	122
mutS	848	1358	981	1535
ygbI	403	483	397	476
ygbJ	35	46	35	46
ygbK	52	83	47	80
ygbL	26	45	28	49
ygbM	34	48	34	49
ygbN	65	87	66	94
nlpD	24709	33800	26066	35717
pcm	817	1115	819	1126
surE	588	748	807	1146
truD	1608	2238	1614	2252
ispD	549	856	582	909
cysC	2019	2932	2022	2938
cysN	6819	10238	7554	11395
cysD	5236	7384	5250	7397
iap	280	400	290	414
cysH	4249	6252	5027	7259
cysI	8437	12977	9208	14204
cysJ	7325	10794	7565	11203
ygcQ	24	56	24	56
ygcR	18	16	18	16
ygcS	16	18	16	18
ygcU	23	32	27	35
ygcW	2	4	2	4
yqcE	39	43	44	48
ygcF	679	923	688	928
eno	37226	59221	37245	59259
pyrG	8282	12308	8532	12711
mazG	857	1125	901	1204
relA	2649	3698	2947	4130
barA	746	1033	762	1052
gudD	126	227	130	235
gudX	53	83	65	98
gudP	11	24	12	24
truC	197	315	208	325
queF	863	1122	875	1144
ygdH	735	845	739	849
sdaC	633	846	641	856
sdaB	256	464	268	487
exo	146	213	145	211
fucO	117	142	117	142
fucA	29	50	32	51
fucP	24	30	26	30
fucI	45	77	46	82
fucK	144	181	144	181
fucR	386	469	386	469
ygdE	623	943	623	943
gcvA	384	503	399	528
csdA	311	432	384	508
ygdL	362	599	381	616
mltA	921	1256	972	1354
amiC	677	1181	756	1314
argA	4612	6688	4819	7010
recD	658	1072	687	1125
ptr	1245	1872	1333	1976
recC	1015	1318	1049	1368
thyA	1167	1515	1306	1721
lgt	783	1081	827	1133
ptsP	2436	3417	2443	3425
mutH	171	224	171	224
ygdQ	160	177	163	181
tas	841	1161	841	1161
ygeD	247	292	247	292
aas	875	1210	902	1255
galR	333	417	337	419
lysA	1436	2131	1444	2143
lysR	64	97	68	104
ygeA	450	599	453	602
araE	135	199	142	210
kduD	102	118	103	120
kduI	65	91	67	97
yqeF	733	980	740	992
yqeG	51	82	51	85
yqeH	34	51	34	51
yqeI	56	99	56	101
ygeH	13	32	13	32
ygeR	668	833	624	755
xdhA	49	80	49	80
xdhB	23	39	23	39
ygeV	112	155	113	157
ygeW	13	12	14	12
ygeX	25	27	25	28
ygeY	32	28	33	29
hyuA	44	44	44	44
yqeA	67	107	68	109
yqeB	83	138	83	140
yqeC	14	32	15	32
ssnA	15	15	16	18
ygfM	21	37	21	37
xdhD	99	152	101	154
ygfO	99	105	100	110
guaD	186	222	188	227
ygfT	41	61	44	61
ygfU	7	15	8	13
lysS	5923	8635	6442	9330
prfB	4818	6345	4958	6533
recJ	1155	1790	1245	1913
dsbC	1310	1757	1316	1769
xerD	953	1296	1001	1359
ygfZ	1488	2151	1495	2160
yqfA	350	420	380	440
bglA	2251	3267	2453	3565
ygfF	84	118	102	135
gcvP	2703	4464	2840	4698
gcvT	1865	2755	1878	2782
visC	877	1242	982	1366
serA	34874	50555	35610	51539
rpiA	3071	4464	3076	4474
argP	663	941	665	945
yliK	46	80	47	80
argK	21	25	21	25
ygfG	38	37	38	37
ygfH	56	75	56	76
ygfI	73	115	73	115
yggE	1216	1811	1221	1828
argO	182	206	254	308
mscS	2494	4012	2498	4019
fbaA	19089	28175	19427	28689
pgk	17599	25588	17603	25594
epd	3667	5141	3669	5143
yggF	40	40	42	41
cmtA	13	17	13	18
tktA	5494	7299	5810	7720
yggG	754	980	801	1069
speB	875	1275	1066	1598
speA	7509	10914	8480	12436
metK	8060	11410	8253	11750
galP	572	776	593	802
endA	36	47	36	47
yggJ	442	628	443	634
gshB	1239	1645	1245	1656
yggS	417	604	440	659
yggW	479	659	515	695
yggM	65	90	65	90
ansB	81	127	81	127
yggN	902	1264	920	1278
yggH	2458	3096	2462	3102
mutY	817	1169	848	1219
mltC	763	872	777	900
nupG	221	310	221	310
yqgA	51	88	51	89
yghK	62	100	65	102
glcF	149	218	157	231
glcD	54	62	54	62
glcC	203	288	203	291
ECIAI1_3132	16	24	120	139
yghR	5	12	5	14
yghS	10	18	10	18
yghT	7	10	7	10
pitB	51	74	36	58
gss	1967	2869	2006	2912
yghU	746	1044	773	1091
hybC	366	554	391	596
hybB	65	114	67	117
hybA	53	92	53	93
hybO	65	109	71	117
yghZ	242	356	251	360
yghA	98	123	99	124
exbB	4027	5720	4012	5685
metC	2770	3828	3015	4178
yghB	300	439	300	439
yqhC	245	280	249	287
yqhD	534	842	536	843
dkgA	279	360	279	360
yqhG	55	80	55	80
ygiQ	783	999	861	1106
sufI	594	833	595	838
plsC	521	665	540	692
parC	2319	3398	2360	3476
qseB	57	87	57	88
parE	1536	2413	1727	2748
cpdA	962	1394	986	1425
nudF	865	1033	910	1095
tolC	3638	4677	4052	5235
ygiC	1695	2344	2041	2735
ygiE	509	742	513	752
ribB	1927	2440	2055	2612
yqiJ	24	30	26	31
yqiK	24	49	33	60
rfaE	1756	2533	2119	3156
htrG	308	402	362	481
cca	440	729	481	801
bacA	757	1121	848	1234
plsY	265	361	268	363
ygiP	75	81	76	87
ttdA	12	12	12	12
ttdB	8	4	9	5
ygjE	61	93	63	98
gcp	576	791	638	855
dnaG	2427	3259	2434	3273
rpoD	6464	9715	6541	9813
yqjH	232	367	244	382
yqjI	187	320	188	322
aer	2202	2900	2287	3009
ygjG	517	797	517	805
ebgR	96	116	97	119
ygjI	14	8	14	8
ygjJ	6	9	6	9
ygjK	44	41	46	44
ygjO	214	317	242	348
ygjQ	10	15	22	22
ygjR	295	396	317	433
alx	62	94	65	104
sstT	834	1376	914	1538
uxaA	228	316	239	345
uxaC	237	308	247	322
exuT	53	70	55	74
exuR	811	1073	936	1219
yqjA	623	838	623	839
yqjG	280	364	304	398
yhaJ	783	1093	851	1177
yhaK	38	59	38	60
yhaM	95	138	95	140
yhaO	48	74	50	79
tdcG	52	82	56	84
tdcE	318	472	318	472
tdcD	33	35	33	35
tdcC	85	134	90	141
tdcB	13	12	13	12
tdcA	5	8	6	8
garK	155	170	150	166
garR	80	130	87	143
garL	18	13	21	16
garP	7	6	7	6
garD	70	98	74	109
agaR	1066	1426	1075	1437
kbaZ	26	36	28	40
agaS	19	20	21	22
kbaY	14	17	14	17
agaC	11	10	13	10
agaD	7	19	7	19
agaI	18	23	20	25
yraI	9	14	10	16
yraL	477	697	537	789
yraQ	747	1142	759	1153
yraR	80	143	83	148
yhbU	60	88	61	90
yhbV	29	72	28	71
yhbW	189	309	204	327
mtr	189	307	272	413
deaD	2359	3242	2393	3284
nlpI	7190	9228	7190	9228
pnp	12279	17715	13630	19469
truB	1266	1967	1656	2491
infB	19542	27948	19838	28430
nusA	6884	9682	6907	9729
argG	14889	22043	15789	23469
yhbX	118	178	118	181
glmM	3474	5330	3474	5330
folP	836	1263	836	1265
ftsH	11971	18457	12191	18771
rrmJ	3076	4169	3077	4170
dacB	253	309	254	315
obgE	1465	2071	1721	2480
yhbE	1244	1638	1246	1639
ispB	1705	2317	1713	2326
murA	3745	4981	3814	5074
yrbC	1821	2850	1824	2855
yrbE	1088	1589	1088	1589
yrbF	2119	2972	2145	3002
yrbG	414	551	415	552
kdsD	1710	2220	1748	2269
lptB	1554	2246	1554	2246
rpoN	5345	7025	5556	7343
yhbJ	1499	1894	1503	1901
yrbL	3315	4834	3322	4844
mtgA	621	864	650	900
elbB	720	1201	722	1205
arcB	1429	1825	1445	1841
yhcC	22	46	22	46
gltB	26196	39434	29527	44479
gltD	14589	22586	16077	24852
nanE	20	43	26	48
nanT	37	35	39	51
nanA	86	137	86	137
nanR	634	838	675	911
dcuD	32	37	36	41
sspA	2752	4417	2752	4417
degQ	1241	1781	1242	1782
degS	518	715	525	722
mdh	16969	23768	18029	25462
aaeB	76	90	76	91
aaeA	157	201	162	204
aaeR	154	214	161	220
tldD	1528	2443	1601	2572
rng	1800	2620	1977	2884
mreC	795	1245	868	1348
mreB	2787	4020	2843	4132
csrD	716	1023	746	1058
yhdH	631	990	658	1012
accC	7285	11184	7848	12026
panF	238	327	261	359
prmA	701	1019	703	1022
dusB	7192	10040	7192	10040
yhdJ	60	82	60	82
envR	15	42	16	42
acrE	8	25	9	29
acrF	203	272	211	277
aapQ	30	67	30	67
aapP	102	110	125	127
aroE	962	1264	1010	1338
smf	667	926	694	962
fmt	1959	2602	1999	2669
rsmB	996	1515	1032	1544
trkA	1006	1352	1023	1369
rpoA	63731	99071	63750	99111
rpsD	56084	79228	56084	79228
secY	63333	96334	62194	94262
rpsC	43710	65367	43710	65367
rplB	43190	65015	43190	65015
rplD	27394	44924	27394	44924
rplC	43073	66164	43073	66164
tufA	158827	235631	159018	235885
fusA	138345	200938	134798	196610
yheO	1300	1789	1315	1806
fkpA	6260	8371	6371	8509
kefB	456	675	487	707
yheS	870	1142	885	1163
yheT	208	320	221	347
prkB	499	606	520	636
crp	4120	5986	5196	7214
yhfK	922	1429	943	1463
argD	5885	9121	6085	9503
fic	179	205	185	219
tsgA	228	308	228	310
nirB	97	182	99	184
nirC	67	134	67	134
cysG	570	839	650	939
frlA	20	23	20	23
frlB	12	24	12	24
frlC	35	50	35	50
frlD	34	69	34	69
frlR	141	210	141	210
yhfS	38	53	38	53
yhfT	27	41	29	43
php	24	26	28	30
yhfZ	172	233	207	287
trpS	4109	6013	4400	6398
gph	1377	1929	1427	2014
rpe	1146	1590	1177	1640
dam	909	1200	913	1203
aroB	5139	7175	5148	7190
hofQ	53	90	53	90
yrfD	58	79	66	84
mrcA	1250	1798	1347	1906
igaA	657	965	695	1017
yrfG	526	839	526	839
hslO	965	1568	976	1573
pck	1311	1942	1424	2140
envZ	473	708	508	770
ompR	837	1081	840	1082
yhgF	2416	3819	2486	3912
feoB	1101	1899	1106	1915
yhgA	90	136	105	166
bioH	260	393	261	393
gntX	189	216	191	219
gntT	225	426	232	440
malQ	1313	1786	1363	1856
malP	2080	2605	2117	2646
malT	4354	6159	4672	6637
rtcB	129	188	133	195
glpG	1059	1371	1090	1398
glpD	15090	21810	17703	25954
glgP	4618	7279	4766	7505
glgA	2492	3900	2495	3903
glgC	3756	5394	3777	5434
glgX	3024	4552	3035	4569
glgB	5723	8791	5762	8874
asd	18386	27350	18393	27357
gntU	80	169	86	185
gntR	312	403	382	491
yhhW	209	302	212	314
yhhX	810	1185	818	1191
yhhZ	6	12	6	12
ggt	178	284	182	300
ugpC	156	216	162	226
ugpE	40	48	41	52
ugpA	21	24	21	24
ugpB	474	608	514	664
livF	2650	3619	3635	5092
livG	2424	3467	2942	4135
livM	3166	5134	3577	5841
livH	2803	4527	3000	4862
livK	10209	14215	10480	14682
livJ	28431	38952	30391	41741
rpoH	2369	3848	2459	3999
ftsX	860	1390	978	1568
ftsE	663	969	701	1027
ftsY	3258	4425	3505	4730
yhhN	106	178	112	195
yhhQ	93	127	101	136
yhhS	184	255	188	258
yhhT	96	130	103	139
nikA	21	35	22	35
nikB	13	28	13	28
nikC	12	18	12	18
nikD	23	28	23	29
nikE	12	25	13	31
yhhI	377	644	65	125
yhhJ	425	590	491	681
rbbA	1084	1813	1150	1933
yhiI	1252	2139	1397	2342
yhiM	53	60	54	60
yhiN	590	814	616	856
pitA	2504	3509	2525	3542
yhiP	115	141	117	146
yhiQ	201	304	224	366
prlC	1674	2749	1908	3084
yhiR	191	264	201	279
gor	1483	2257	1486	2257
arsB	59	71	59	71
yhiD	36	56	36	56
mdtE	17	25	17	25
mdtF	163	216	175	229
gadW	266	371	291	403
gadX	439	718	498	801
gadA	320	506	312	492
yhjA	79	99	79	99
treF	224	321	241	341
yhjB	75	111	77	118
yhjC	141	216	146	221
yhjD	145	226	153	238
yhjE	3409	5095	3702	5614
yhjG	1553	2147	1603	2188
yhjH	3875	5247	3962	5340
kdgK	636	975	683	1032
yhjJ	640	911	724	1023
dctA	317	414	317	415
yhjK	453	604	460	618
bcsC	346	470	352	481
bcsZ	52	65	53	66
bcsB	62	90	66	93
bcsA	194	294	73	109
bcsE	1035	1345	1039	1347
bcsG	254	332	261	341
yhjV	298	392	307	401
dppF	929	1480	1111	1765
dppD	968	1408	1028	1491
dppC	824	1346	825	1349
dppB	892	1366	944	1440
dppA	10869	14198	12379	16311
eptB	232	295	233	296
yhjX	17	24	25	27
yhjY	261	363	261	363
yiaD	261	374	264	375
tiaE	1594	2226	1607	2251
yiaF	2652	3894	2806	4111
glyS	7602	11939	8261	12842
glyQ	4235	6597	4284	6655
yiaH	107	126	108	126
xylB	212	273	227	298
xylA	154	185	162	201
xylF	23	28	23	29
xylG	101	151	101	153
xylH	72	76	71	73
xylR	178	283	211	307
bax	2775	3599	2949	3801
avtA	1390	1666	1581	1919
yiaJ	301	474	306	484
yiaK	9	11	9	13
yiaN	11	5	11	5
yiaO	4	5	4	8
sgbH	4	6	10	12
sgbU	19	14	25	17
sgbE	12	23	13	28
yiaT	53	45	54	47
yiaU	87	138	87	138
yiaV	31	37	32	40
aldB	45	69	47	69
yiaY	7	15	7	15
selB	1333	2037	1567	2378
selA	632	894	642	917
yibF	179	255	178	253
yibH	54	69	54	69
mtlA	1014	1735	1041	1786
mtlD	785	1113	921	1294
lldP	123	162	148	186
lldR	116	166	120	168
lldD	153	262	161	274
cysE	720	882	784	953
gpsA	1622	2410	1857	2752
gpmI	4177	5874	4611	6532
envC	927	1406	1075	1601
yibQ	297	417	316	455
yibD	34	34	37	35
tdh	269	361	404	540
kbl	353	611	369	646
waaD	2329	3114	2520	3405
waaF	1476	2098	1482	2109
kdtA	389	602	406	624
mutM	288	395	296	399
yicR	746	1034	940	1327
dfp	750	807	754	816
pyrE	96	136	132	185
yicC	1505	2105	1685	2311
yicG	30	31	32	32
ligB	70	121	71	124
gmk	2644	3413	2644	3414
spoT	2789	4086	2913	4275
trmH	484	631	484	631
gltS	162	250	182	288
yicE	947	1270	949	1271
yicH	1003	1399	1016	1426
yicI	98	173	101	177
yicJ	40	41	40	41
setC	11	15	11	15
yicL	500	605	500	605
nlpA	2997	4057	3002	4060
yicM	119	172	114	170
uhpT	888	1785	895	1796
uhpC	91	140	94	140
uhpB	151	297	166	311
ilvB	3161	4393	3058	4252
emrD	6	9	6	9
yidJ	28	33	33	39
yidK	12	17	13	18
yidL	54	69	49	62
yidP	14	29	14	30
yidE	541	759	543	759
yidR	274	357	326	431
cbrA	14	28	16	28
dgoT	24	33	25	35
dgoD	30	47	31	52
dgoA	18	25	18	25
dgoR	182	289	184	301
yidX	163	248	163	248
yidA	525	675	580	761
gyrB	4713	6790	4943	7133
recF	602	781	643	832
dnaN	1247	1736	1302	1826
dnaA	2017	2920	2022	2946
yidC	5670	7955	5730	8032
trmE	605	843	646	904
tnaA	74	85	82	91
tnaB	25	21	27	25
mdtL	24	41	27	44
yidZ	176	183	193	216
yieE	184	267	186	266
yieH	201	238	211	251
yieK	32	85	40	95
yieL	21	36	24	37
bglH	20	35	20	35
bglB	23	48	23	52
bglG	15	15	15	15
phoU	631	1014	696	1106
pstB	896	1036	898	1037
pstA	206	309	219	341
pstC	336	489	336	489
pstS	1027	1300	1027	1300
glmS	7916	12739	9530	15498
glmU	5684	8703	6436	9892
atpD	17579	27028	17790	27349
atpG	14162	18495	14162	18495
atpA	31168	47074	31168	47074
atpB	16642	21881	16653	21903
gidB	425	570	425	570
gidA	2013	2868	2031	2883
asnA	526	792	608	907
yieM	309	414	309	414
ravA	241	351	260	378
trkD	647	828	651	833
rbsA	583	888	593	904
rbsC	410	607	412	610
