	YJ016_HS1	YJ016_HS2	YJ016_CMCP6ref_HS1	YJ016_CMCP6ref_HS2
VV1_RS04835	12575	10474	12574	10470
VV1_RS04845	8857	5814	8850	5815
VV1_RS04865	19799	14504	19270	14224
VV1_RS04870	5007	4794	4995	4784
VV1_RS04875	19682	15820	19682	15826
VV1_RS04890	255	274	270	257
VV1_RS04895	2340	675	2329	663
VV1_RS04900	170	112	167	112
VV1_RS04905	291	226	291	226
VV1_RS04910	1087	2017	1060	1988
VV1_RS04915	4838	9598	4795	9557
VV1_RS04920	3098	4969	3034	4907
VV1_RS04930	2521	4768	2489	4725
VV1_RS04945	403	211	378	205
VV1_RS04950	1244	559	1227	540
VV1_RS04955	628	635	623	630
VV1_RS04960	4522	621	4488	580
VV1_RS04970	51956	6432	51451	6367
VV1_RS04975	2730	3093	2490	2789
VV1_RS04980	970	552	851	492
VV1_RS04990	796	416	794	415
VV1_RS05005	409	184	409	184
VV1_RS05010	2429	3018	2420	3012
VV1_RS05025	2817	2028	2606	1859
VV1_RS05040	1805	1395	1777	1382
VV1_RS05105	232	205	230	205
VV1_RS05110	7117	16386	7127	16383
VV1_RS05120	14452	8164	14174	8010
VV1_RS05125	8990	4979	8891	4900
VV1_RS05135	1142	779	1099	725
VV1_RS05170	3959	21707	4101	21934
VV1_RS05175	2403	34127	2394	33996
VV1_RS05180	508	5156	509	5152
VV1_RS05185	657	5200	649	5147
VV1_RS05200	106	87	107	87
VV1_RS05220	431	363	429	363
VV1_RS05225	663	383	636	361
VV1_RS05230	416	271	422	275
VV1_RS05235	572	330	628	344
VV1_RS05240	3411	236	3327	230
VV1_RS05250	11252	445	11152	444
VV1_RS05255	4796	341	4475	315
VV1_RS05275	10877	3268	10746	3231
VV1_RS05280	1256	1610	1202	1555
VV1_RS05285	2088	4158	2040	4086
VV1_RS05295	2403	1124	2383	1118
VV1_RS05300	4828	3719	4756	3652
VV1_RS05310	6441	710	6247	702
VV1_RS05330	118	75	107	60
VV1_RS05335	2927	1764	2891	1751
VV1_RS05340	1989	971	1805	868
VV1_RS05370	6007	10511	6007	10504
VV1_RS05380	509	1046	479	975
VV1_RS05390	191	174	171	143
VV1_RS05400	863	323	856	322
VV1_RS05415	17222	3431	17200	3431
VV1_RS05420	1334	778	1332	777
VV1_RS05430	1150	702	1149	703
VV1_RS05440	1617	1025	1617	1021
VV1_RS05450	1333	788	1316	765
VV1_RS05470	503	125	503	125
VV1_RS05495	2295	2428	2202	2285
VV1_RS05500	235	479	236	479
VV1_RS05505	1749	1739	1743	1725
VV1_RS05510	9909	8563	9925	8573
VV1_RS05520	664	674	664	667
VV1_RS05540	775	925	699	844
VV1_RS05545	5688	4107	5690	4108
VV1_RS05550	6150	11575	6130	11543
VV1_RS05555	1734	1348	1688	1335
VV1_RS05560	2643	985	2642	985
VV1_RS05570	814	589	794	571
VV1_RS05580	389	161	368	150
VV1_RS05585	533	259	532	258
VV1_RS05655	3589	2061	3586	2059
VV1_RS05660	1361	1043	1358	1041
VV1_RS05725	10808	18320	10916	18615
VV1_RS05745	250	430	250	430
VV1_RS05760	423	750	445	773
VV1_RS05770	10154	640	10152	640
VV1_RS05780	5831	2084	5813	2064
VV1_RS05785	1057	2094	1044	2064
VV1_RS05800	255	288	249	283
VV1_RS05810	1695	972	1694	972
VV1_RS05820	420	624	417	615
VV1_RS05835	237	377	235	370
VV1_RS05840	115	51	110	50
VV1_RS05845	92	79	91	79
VV1_RS05850	2579	74	2574	74
VV1_RS05855	1676	1718	1676	1707
VV1_RS05875	157	157	158	157
VV1_RS05885	60	55	59	54
VV1_RS05890	1668	344	1660	342
VV1_RS05900	15791	501	14703	468
VV1_RS05930	14864	2345	14856	2343
VV1_RS05950	61	73	67	74
VV1_RS05975	185	416	184	415
VV1_RS05985	1995	4212	1827	3925
VV1_RS06000	15850	5244	15910	5246
VV1_RS06005	106842	30009	104513	29050
VV1_RS06010	470	363	515	386
VV1_RS06020	1961	1085	1959	1084
VV1_RS06025	4168	4429	4043	4290
VV1_RS06030	751	418	766	421
VV1_RS06035	1091	713	1141	783
VV1_RS06060	18399	50205	19029	50444
VV1_RS06065	906	465	889	460
VV1_RS06070	3705	827	3668	804
VV1_RS06080	4013	2753	4006	2756
VV1_RS06135	619	274	619	281
VV1_RS06145	3662	1563	3656	1560
VV1_RS06165	6907	6134	6881	6100
VV1_RS06170	7892	6884	7862	6839
VV1_RS06175	10479	9819	10470	9796
VV1_RS06185	4415	7054	4413	7038
VV1_RS06190	6709	5657	6663	5613
VV1_RS06195	317	109	314	104
VV1_RS06205	1467	359	1436	341
VV1_RS06210	21085	12823	21011	12766
VV1_RS06215	2091	881	2083	870
VV1_RS06220	475	263	464	257
VV1_RS06225	2075	4568	2074	4562
VV1_RS06230	804	380	786	366
VV1_RS06250	1216	5485	1214	5476
VV1_RS06260	618	3103	592	2928
VV1_RS06265	8364	14605	8355	14600
VV1_RS06270	755	1179	749	1144
VV1_RS06280	809	220	801	220
VV1_RS06290	1831	807	1822	806
VV1_RS06300	2382	2784	2337	2706
VV1_RS06315	3522	2061	3471	2023
VV1_RS06325	819	206	833	205
VV1_RS06330	6014	3977	6007	3985
VV1_RS06335	2521	4653	2520	4653
VV1_RS06385	1528	2908	1502	2843
VV1_RS06410	2098	760	2099	769
VV1_RS06430	300	444	283	411
VV1_RS06450	12583	1470	12550	1461
VV1_RS06465	1542	1708	1537	1697
VV1_RS06475	786	1607	687	1388
VV1_RS06490	2785	352	2782	352
VV1_RS06495	4318	62330	4310	62185
VV1_RS06500	2116	7218	2112	7184
VV1_RS06510	661	11158	689	11563
VV1_RS06515	2674	38057	2378	34572
VV1_RS06520	3170	32121	3132	31651
VV1_RS06530	3414	1960	3319	1929
VV1_RS06535	5941	7496	5921	7471
VV1_RS06540	533	312	533	321
VV1_RS06560	1073	699	1067	691
VV1_RS06575	5379	5434	5378	5432
VV1_RS06580	595	477	593	476
VV1_RS06585	1870	286	1866	285
VV1_RS06610	775	477	790	482
VV1_RS06615	8494	4914	8477	4894
VV1_RS06625	1864	1457	1865	1457
VV1_RS06650	294	192	294	188
VV1_RS06660	1331	698	1333	699
CYSJ	634	522	635	522
VV1_RS06675	1428	1433	1352	1349
VV1_RS06680	1022	1304	986	1272
VV1_RS06715	5631	3300	5608	3288
VV1_RS06720	765	901	739	881
VV1_RS06725	1173	1251	1256	1365
VV1_RS06735	510	796	509	796
VV1_RS06740	9559	5446	9534	5420
VV1_RS06745	561	732	550	725
VV1_RS06755	4076	5327	4068	5329
VV1_RS06760	501	364	501	364
VV1_RS06770	5547	2448	6298	2770
VV1_RS06780	1620	744	1620	743
VV1_RS06790	4344	2652	4328	2629
VV1_RS06795	2717	1619	2718	1625
VV1_RS06800	1918	1485	1906	1479
VV1_RS06805	2836	2575	2796	2529
VV1_RS06810	1528	852	1524	850
VV1_RS06855	4463	2627	4436	2608
VV1_RS06860	252	277	252	277
VV1_RS06875	2360	910	2325	904
VV1_RS06880	1539	1338	1555	1356
VV1_RS06885	1375	1265	1369	1248
TLDD	5320	3844	5246	3792
VV1_RS06895	13898	15227	13231	14797
VV1_RS06905	231	411	230	407
VV1_RS06930	182	4904	175	4817
VV1_RS06935	620	159	619	158
VV1_RS06945	521	221	519	221
VV1_RS06960	1954	568	1956	567
VV1_RS06965	2100	910	2073	904
VV1_RS06980	3446	3598	3451	3605
VV1_RS06985	1986	2877	1982	2857
VV1_RS06990	1437	1963	1435	1964
VV1_RS07005	5565	687	5560	684
VV1_RS07015	6109	476	6237	500
VV1_RS07025	12698	2054	12712	2057
VV1_RS07030	4051	1215	3975	1197
VV1_RS07035	7767	2547	7618	2510
VV1_RS07045	550	588	550	588
VV1_RS07090	434	451	434	450
VV1_RS07095	444	279	444	280
VV1_RS07150	738	763	725	754
VV1_RS07160	1407	1516	1416	1460
VV1_RS07170	1449	165	1449	165
VV1_RS07175	320	226	320	226
VV1_RS07180	979	531	973	528
VV1_RS07185	846	361	840	361
VV1_RS07205	4588	1148	4535	1144
VV1_RS07210	4739	794	4789	877
VV1_RS07215	5382	4354	5296	4268
VV1_RS07220	2009	2254	1994	2249
VV1_RS07235	8792	2636	8691	2615
VV1_RS07240	4653	993	4674	992
VV1_RS07250	823	966	817	955
VV1_RS07260	307	358	304	354
VV1_RS07265	2024	2778	2024	2766
GAPA	2120	1649	2122	1936
VV1_RS07290	20177	32330	20182	32323
VV1_RS07295	9053	7907	9004	7818
VV1_RS07300	282	772	283	774
VV1_RS07305	1063	440	1052	433
VV1_RS07310	3504	1784	3492	1779
VV1_RS07320	814	355	806	354
VV1_RS07340	1767	982	1764	969
VV1_RS07345	2222	1695	2223	1691
VV1_RS07375	4391	7803	3882	7165
VV1_RS07385	7198	2418	7164	2405
VV1_RS07400	2218	987	2213	981
VV1_RS07405	210	236	308	383
VV1_RS07425	1863	2010	1857	2001
VV1_RS07435	7005	2501	6947	2478
VV1_RS07445	6119	1493	6114	1492
RELA	8163	9332	8007	9213
VV1_RS07510	20568	16193	22929	18054
VV1_RS07515	9575	13311	9221	12614
VV1_RS07520	1986	1697	1933	1654
VV1_RS07600	15000	15838	14849	15579
VV1_RS07605	7601	9435	7607	9440
VV1_RS07610	5017	4428	4943	4349
VV1_RS07620	8852	9748	8857	9753
VV1_RS07630	4597	2495	4570	2479
VV1_RS07640	430	581	437	585
VV1_RS07645	1998	2002	1939	1936
VV1_RS07650	6553	1909	6372	1850
VV1_RS07680	11618	5219	11582	5212
VV1_RS07690	447	735	416	708
VV1_RS07695	114	154	117	152
VV1_RS07735	16369	4296	16338	4294
VV1_RS07740	4384	8220	4329	8103
VV1_RS07750	2245	1851	1512	1101
VV1_RS07755	291	275	262	239
VV1_RS07760	12369	210	12385	212
VV1_RS07765	2548	235	2333	222
VV1_RS07785	3361	2494	3289	2446
VV1_RS07790	305	118	293	124
VV1_RS07800	4192	328	4193	328
VV1_RS07810	1197	1440	1202	1463
VV1_RS07820	16055	18915	14614	17618
VV1_RS07830	82	74	82	74
VV1_RS07835	701	590	688	583
VV1_RS07850	6712	249546	5131	180304
VV1_RS07855	46445	21807	43621	20547
VV1_RS07860	2213	1420	2214	1415
VV1_RS07865	1029	921	1025	925
VV1_RS07870	504	723	482	649
VV1_RS07875	514	836	504	828
VV1_RS07880	288	308	288	307
VV1_RS07885	60	76	60	76
VV1_RS07895	113	109	112	109
VV1_RS07900	192	144	192	142
VV1_RS07905	33	38	34	38
VV1_RS07910	117	150	117	150
VV1_RS07915	767	706	767	706
VV1_RS07920	3949	1479	3954	1487
VV1_RS07930	1642	1817	1627	1793
VV1_RS07935	1092	589	1370	698
VV1_RS07945	1134	810	1131	803
VV1_RS07950	3596	3798	3500	3650
VV1_RS07955	1383	257	1366	251
VV1_RS07960	2673	2091	2675	2094
VV1_RS07970	3978	3139	3958	3132
HFLB	33479	30717	33456	30699
FOLP	1203	573	1190	568
VV1_RS08070	92	183	132	307
VV1_RS08090	21664	29386	21632	29312
VV1_RS08095	2403	4747	2343	4618
VV1_RS08110	244	526	244	512
VV1_RS08115	177	618	165	604
VV1_RS08120	1519	2260	1513	2250
VV1_RS08145	1576	1158	1536	1152
VV1_RS08150	3156	1065	3151	1059
VV1_RS08160	3089	1192	5940	1705
VV1_RS08165	28947	3107	25238	2717
VV1_RS08170	17775	2540	17768	2536
VV1_RS08180	8506	2022	8260	1963
VV1_RS08190	1029	979	1025	975
VV1_RS08200	8963	4602	8915	4566
VV1_RS08205	1193	2028	1216	2057
VV1_RS08210	3220	1885	3120	1794
VV1_RS08215	1133	643	1128	643
VV1_RS08220	788	496	789	496
VV1_RS08240	709	1017	700	998
VV1_RS08245	220	357	214	354
VV1_RS08270	71	47	63	41
VV1_RS08275	214	281	214	279
VV1_RS08285	174	152	212	187
VV1_RS08300	568	582	564	579
VV1_RS08305	304	389	302	384
VV1_RS08310	226	300	215	293
VV1_RS08315	375	306	372	301
VV1_RS08320	1076	1031	688	699
VV1_RS08325	45	36	39	35
VV1_RS08330	419	118	419	118
VV1_RS08335	356	203	356	201
VV1_RS08345	353	32	349	32
VV1_RS08350	3500	47	2998	38
VV1_RS08375	9850	199	8568	169
VV1_RS08380	7824	402	7042	397
VV1_RS08385	1196	135	1083	124
VV1_RS08395	1760	785	1753	784
VV1_RS08400	3748	812	3750	829
VV1_RS08425	1449	6399	1452	6394
VV1_RS08430	11483	14690	11465	14693
VV1_RS08435	943	1402	934	1396
VV1_RS08445	5430	4338	5394	4326
VV1_RS08455	38371	1278	37894	1261
VV1_RS08460	9254	8124	9899	8608
VV1_RS08470	107	106	107	103
VV1_RS08475	3478	512	3460	502
VV1_RS08480	1087	1133	1082	1131
VV1_RS08505	604	7801	618	7800
VV1_RS08520	125	143	125	137
VV1_RS08575	5032	3137	4533	2766
VV1_RS08580	245	253	323	317
VV1_RS08595	1901	1211	2039	1298
VV1_RS08605	22213	8111	22159	8099
VV1_RS08610	9220	4441	9289	4479
VV1_RS08615	3325	1489	3315	1475
VV1_RS08620	4753	1901	4748	1899
VV1_RS08630	9145	5564	9146	5564
VV1_RS08635	282	403	279	402
VV1_RS08645	3923	3319	3888	3304
VV1_RS08650	1407	1046	1397	1037
VV1_RS08655	1078	1674	1014	1594
VV1_RS08660	1291	1001	1318	1020
VV1_RS08665	203	272	201	270
VV1_RS08670	445	332	421	299
VV1_RS08685	35361	33016	34772	32447
VV1_RS08690	2334	2904	2301	2850
VV1_RS08695	216	283	213	275
VV1_RS08705	135	164	199	290
VV1_RS08760	6257	406	5798	329
VV1_RS08770	489	174	475	173
VV1_RS08780	4005	8848	3969	8812
VV1_RS08785	1684	1756	1681	1752
VV1_RS08810	2965	1314	2979	1338
VV1_RS08815	375	211	374	211
VV1_RS08820	239	240	237	240
VV1_RS08825	8585	6295	8541	6274
VV1_RS08830	8476	7292	8824	7927
VV1_RS08850	2004	1242	2003	1242
VV1_RS08870	5839	2509	5831	2508
VV1_RS08875	1364	1388	1753	1688
VV1_RS08890	1001	577	999	577
VV1_RS08895	386	241	386	239
VV1_RS08900	206	193	203	171
VV1_RS08905	692	1885	696	1904
