"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_K12ref_chemostat1","IAI1_K12ref_chemostat2"
"16","aceA","aceA",2183,3639.22269526751,-0.0166538571708265,0.0577426160550452,-0.288415356085541,0.773028814464536,0.999807467026667,3535.13635043148,3805.30274501228,3472.29035282588,3744.1613328004
"17","aceE","aceE",113,18818.6757386019,0.0733569353287589,0.0535588029190374,1.36965225753177,0.170795478580257,0.999807467026667,17757.4455606783,18602.5420141737,19007.5320141721,19907.1833653835
"18","aceF","aceF",114,9885.97250117079,-0.00524680682200578,0.0541735092912596,-0.0968518910930569,0.922844014462078,0.999807467026667,9692.22674039815,10128.3291229073,9660.90055947664,10062.4335819011
"19","aceK","aceK",2184,496.148231959049,0.0469715407182195,0.0613793738547604,0.765265882792588,0.444113235434662,0.999807467026667,462.103322314717,493.937485837215,496.315232550719,532.236887133545
"20","ackA","ackA",1260,3649.24950716053,0.0868330042060104,0.0586467039744978,1.48061183871082,0.138710038813398,0.999807467026667,3308.21881442405,3655.97280743359,3636.13186781849,3996.674538966
"21","acnA","acnA",733,4832.22475672883,-0.00798934717677459,0.0579723412944727,-0.137813084625863,0.890388143001151,0.999807467026667,4631.13886240257,5073.04081648454,4579.89731967652,5044.8220283517
"22","acnB","acnB",116,47911.1140604965,0.00155420526344179,0.0520363121529846,0.0298677058218978,0.976172561373749,0.999807467026667,47183.2296834226,48571.9117943898,47302.290957136,48587.0238070377
"23","acrA","acrA",280,3085.01470089783,0.0398664475678823,0.0581588880335607,0.68547472133369,0.493044406874721,0.999807467026667,2908.58671659721,3133.84015855704,3033.46337114976,3264.16855728732
"24","acrB","acrB",279,6006.66042207142,0.0138030611565647,0.0557987240439405,0.247372343957095,0.804620075513065,0.999807467026667,5798.79954363916,6134.01435900169,5872.42482684046,6221.40295880438
"25","acrD","acrD",1350,186.797903347953,-0.000174133840951279,0.054201525189047,-0.00321271108781396,0.997436631834353,0.999807467026667,177.308034208232,196.321875977582,174.381027652955,199.180675553044
"26","acrE","acrE",1765,15.436284249633,-0.0023278271326312,0.0211499637260831,-0.110062937354376,0.912359461238943,0.999807467026667,20.2112785107829,11.4869182752841,19.1627502915335,10.8841899209314
"27","acrF","acrF",1766,207.162115633959,0.0130565494015309,0.0556890316295859,0.234454595805799,0.814632078176077,0.999807467026667,210.381035407694,197.366141275335,218.455353323482,202.445932529324
"28","acrR","acrR",281,367.169961430369,0.02357258556181,0.0602728914583946,0.391097639277548,0.695725065536437,0.999807467026667,370.233874538432,348.784609449534,386.129418374401,363.531943359108
"29","acs","acs",2216,21625.190104609,0.0257311819578089,0.0550676331120387,0.467265079388052,0.640310237301508,0.999807467026667,20578.756301888,22140.5128429612,21093.3973834056,22688.0938901815
"30","actP","actP",2215,7010.38701038537,-0.0639144552747647,0.0538896434355557,-1.18602483149099,0.235612493385464,0.999807467026667,7219.10120626054,7219.00600336716,6817.14841621306,6786.29241570072
"31","ada","ada",1217,114.402085207754,-0.00504491888604049,0.0482316609707706,-0.104597660219452,0.916695071396739,0.999807467026667,121.267671064697,109.647856264075,117.850914292931,108.841899209314
"32","add","add",899,387.964069614337,0.0240757468691426,0.0604926294935502,0.397994715566291,0.690634081056904,0.999807467026667,393.201236482503,366.537119511337,410.082856238818,382.035066224692
"33","adhE","adhE",710,3703.8211213039,0.0397912805549652,0.0563073274535737,0.706680326601786,0.479765158082842,0.999807467026667,3568.20935163094,3694.61062345046,3714.69914401378,3837.76536612041
