"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_K12ref_chemostat1","IAI1_K12ref_chemostat2"
"37","rfaE",1282.94185470041,-0.148335020478775,0.0604170162134209,-2.45518613423058,0.0140811656858548,0.897769455484631,1367.9360773889,1416.0237437532,1144.01619240455,1203.79140525501
"38","ycjX",214.623718858099,-0.135227226221287,0.0560528359364337,-2.41249570984491,0.0158437239020406,0.958342171408046,259.071842729126,239.136753185459,183.962402798722,176.323876719088
"39","ompN",136.101689251089,0.121951747040925,0.0504982624669001,2.41496917088701,0.0157365415711565,0.958342171408046,113.918115242594,104.42652977531,171.506615109225,154.555496877226
"40","tbpA",320.197764435307,-0.142342474053727,0.05952614769888,-2.39125963221714,0.016790674449297,0.966078073802236,372.98995797172,352.961670640547,274.02732916893,280.81209996003
"41","modA",471.69745486441,-0.144298272804152,0.0601959629509834,-2.39714202963497,0.0165235174914965,0.966078073802236,577.858826512837,486.627628752943,452.240906880192,370.062457311667
"42","thrA",7494.31089726832,-0.0205976322767286,0.0587810618418811,-0.350412728714148,0.726028975096828,0.999807467026667,7104.26439654018,8048.15264978312,6959.91090588499,7864.91563686502
"43","thrB",2596.31876374855,-0.0146612869554831,0.0602957152585245,-0.243156365135088,0.807884268095983,0.999807467026667,2443.7273108492,2792.36540619178,2418.33908679153,2730.84325116168
"44","thrC",4657.71219779993,-0.0134823589232903,0.0609160757878018,-0.221326780310923,0.824837999318332,0.999807467026667,4284.79104428597,5105.41304071489,4218.67947668111,5021.96522951774
"45","yaaA",332.6908525624,0.0166541055976938,0.0595244795998143,0.279785824414763,0.779641828018505,0.999807467026667,342.673040205546,312.235324028176,352.594605364217,323.260440651662
"46","yaaJ",55.9680847001964,0.0022181148733715,0.0379557120527037,0.0584395537170141,0.953398509281806,0.999807467026667,57.87775209906,53.2575301854079,59.404525903754,53.3325306125638
"47","talB",3269.44907011162,0.0156349857842519,0.0576325066059806,0.271287624033855,0.786169824277957,0.999807467026667,3141.93511394897,3344.78174870317,3188.68164851118,3402.39776928315
"48","htpY",20.9866301701043,-0.0063944942359162,0.0252428423875044,-0.253319104788357,0.800021633981695,0.999807467026667,21.1299729885457,22.9738365505681,19.1627502915335,20.6799608497696
"49","dnaK",10627.6467021272,0.024838984227423,0.0554799504678731,0.447711002226048,0.654361780297632,0.999807467026667,10132.2813952466,10868.7132190142,10388.1269330403,11121.4652612077
"50","dnaJ",1901.09473836436,0.0711145118119191,0.0592868305750927,1.19949930063887,0.230333856533227,0.999807467026667,1773.99903656008,1881.76606655108,1914.3587541242,2034.25509622208
"51","nhaA",470.209395075028,0.00965829487683336,0.0613635864765243,0.157394562987747,0.874933898159767,0.999807467026667,467.615489181295,465.742322797881,476.194344744609,471.285423576329
"52","nhaR",171.007291992979,0.011856851479112,0.0534912398692722,0.221659686858802,0.824578814645458,0.999807467026667,174.551950774943,161.86112115173,181.087990254992,166.52810579025
"53","ribF",1369.57132812754,0.00503936979676037,0.0606060186264049,0.0831496592413482,0.933732540159568,0.999807467026667,1418.46427366585,1312.64147927564,1424.75048417552,1322.42907539316
"54","ileS",5510.03376350628,-0.0266259418891365,0.0549944446875706,-0.484156936948838,0.628274495913994,0.999807467026667,5486.44342119979,5673.49336269258,5368.44449417312,5511.75377595965
"55","ispH",786.543221544719,-0.0989738180991976,0.0615848806390497,-1.60711228262803,0.108029739391623,0.999807467026667,842.442836108541,831.235177011465,745.430986340655,727.063886718217
"56","rihC",272.931693185014,-0.0897808086106787,0.0584035939461888,-1.53724801068578,0.124232587414124,0.999807467026667,298.575705272929,297.615609859633,253.90644136282,241.629016244677
"57","dapB",875.432048022557,-0.0560670368612447,0.061745373426928,-0.908036242223018,0.363859073908806,0.999807467026667,837.849363719726,981.609379887911,787.589036982029,894.68041150056
"58","carA",2037.09060841625,-0.00620651466226274,0.0586128196509883,-0.105890054415051,0.91566958512909,0.999807467026667,2075.3308252663,2012.29922877022,2074.36771905851,1986.36466056998
"59","carB",4680.88093328648,-0.0692539532425878,0.0565890646212535,-1.22380452311943,0.221025977633892,0.999807467026667,4681.66705867952,5000.98651093958,4391.14422930491,4649.72593422189
