	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
ycgB	62	44	60	43
dadA	1053	1027	967	934
dadX	637	506	616	489
cvrA	311	300	283	270
emtA	538	501	526	491
ycgR	80	54	79	53
treA	82	57	82	57
dhaH	636	588	624	579
dhaL	386	329	385	326
dhaK	692	665	679	655
dhaR	236	203	231	195
ychF	2367	2233	2365	2230
ychM	469	377	463	374
prsA	4219	4111	4218	4107
ispE	1113	1021	1113	1020
lolB	395	398	395	398
hemA	889	779	850	752
prfA	595	606	575	576
prmC	190	188	190	188
ychA	723	629	723	628
kdsA	1906	1879	1901	1876
chaA	1044	849	1002	819
chaC	194	193	157	165
ychP	113	93	137	124
narL	303	226	301	226
narX	215	141	217	140
narK	26	15	26	15
narG	84	82	84	82
narH	74	82	71	82
narJ	27	16	22	15
narI	46	26	46	26
purU	1079	1046	1048	1007
rssA	433	387	410	365
rssB	290	244	279	235
galU	2175	2140	2168	2139
tdk	407	341	407	341
adhE	3884	3538	3877	3526
ychE	66	68	64	68
oppA	3402	3119	3392	3115
oppB	508	457	505	456
oppC	658	620	657	620
oppD	815	810	755	748
oppF	841	699	774	639
cls	1048	869	988	825
kch	234	211	231	203
tonB	733	631	719	611
yciC	769	729	759	711
ompW	6992	8263	6751	7959
trpA	1370	1271	1337	1240
trpB	2366	2125	2340	2107
trpD	1247	1106	1123	999
trpE	511	482	432	415
yciV	495	472	495	472
yciO	372	381	337	337
rluB	686	692	580	572
yciK	888	834	861	809
sohB	1794	1558	1758	1526
topA	6384	5966	6362	5958
cysB	526	440	505	423
acnA	5041	4858	4780	4635
pgpB	349	300	349	300
yciM	1251	922	1234	917
pyrF	758	723	756	720
deoT	424	352	386	319
gmr	488	414	488	411
rnb	2439	2403	2397	2365
fabI	4804	4613	4734	4544
sapF	195	154	190	152
sapD	267	242	267	241
sapC	105	85	100	79
sapB	125	104	121	99
sapA	247	225	247	225
puuP	389	301	383	297
puuA	2011	1424	1818	1292
puuD	2766	2023	2730	2001
puuB	256	225	240	203
puuE	293	203	262	180
pspF	190	161	189	161
pspA	700	595	677	583
ycjM	67	37	67	37
ycjN	28	23	28	21
ycjO	21	10	19	10
ycjP	11	12	10	12
ycjQ	26	25	22	21
ycjR	24	16	22	16
ycjS	38	28	36	27
ycjU	7	4	7	3
ompG	19	18	18	14
ycjW	274	229	192	186
ycjX	282	229	192	162
ycjF	312	277	283	257
tyrR	1121	986	1112	981
ycjG	776	643	748	612
mpaA	225	187	219	176
ycjZ	216	166	212	162
mppA	2438	2044	2407	2022
ynaI	376	333	370	322
uspE	5007	4381	4993	4367
fnr	2988	2736	2988	2736
abgT	28	18	34	20
abgB	54	45	51	49
abgA	90	90	90	90
abgR	283	249	272	244
ydaM	93	58	89	57
ydaN	499	406	492	402
dbpA	137	95	134	92
ydaO	546	488	525	466
ompN	124	100	179	142
ldhA	685	615	662	582
feaR	2564	1735	2560	1734
feaB	406	328	396	322
maoC	190	144	189	144
paaA	231	171	231	170
paaC	159	134	151	132
paaJ	127	113	116	103
paaF	52	56	47	51
paaG	65	52	61	49
paaH	131	110	125	106
paaE	907	882	893	872
paaK	1352	1145	1289	1088
paaX	558	418	473	365
ydbC	1310	1147	1146	1024
azoR	370	306	356	286
hrpA	806	770	706	678
ydcF	216	209	212	206
aldA	11735	10493	11616	10390
trg	190	145	183	140
ydcI	3027	2597	3009	2580
ydcJ	175	135	175	135
mdoD	2242	1858	2305	1928
ydcK	72	68	68	63
tehA	145	103	145	103
ydcL	926	846	913	832
ydcO	110	75	106	75
ydcP	1035	973	999	935
ydcR	240	209	237	207
ydcS	53	51	52	51
ydcT	12	9	11	9
ydcU	18	14	18	14
ydcV	13	23	14	23
ydcW	135	122	136	120
yncB	966	812	985	831
yncC	133	102	133	102
yncD	218	160	218	160
yncE	7371	6550	7130	6352
ansP	190	161	188	158
yncG	24	13	19	12
nhoA	125	135	121	131
narV	42	40	40	36
narW	20	13	20	13
narY	57	41	54	38
narZ	68	63	68	63
narU	9	13	9	13
yddG	108	108	99	106
fdnG	197	188	239	219
fdnH	62	64	63	65
fdnI	75	69	72	67
adhP	91	87	80	78
sfcA	1903	1868	1765	1753
ddpD	84	73	78	67
ddpC	50	60	50	58
ddpB	31	39	30	39
