	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
yfgA	1339	1118	1278	1061
yfgB	1031	948	1013	928
pbpC	229	195	225	186
sseA	2619	2158	2617	2156
sseB	592	489	575	480
pepB	1578	1384	1532	1337
hscA	1698	1661	1661	1621
iscS	7660	8281	7629	8252
yfhQ	488	388	458	361
suhB	878	721	861	707
yfhR	25	26	24	23
hcaT	299	216	290	211
hcaR	5498	4341	5204	4106
hcaE	43	37	43	37
hcaB	29	29	29	29
yphB	69	65	69	65
yphC	82	56	79	46
yphD	35	31	33	25
yphE	114	98	89	81
yphF	112	93	96	77
yphH	187	160	179	154
glyA	16726	15274	15946	14578
hmp	963	832	956	826
yfhA	444	335	382	289
yfhG	286	262	227	191
yfhK	477	374	463	359
yfhD	184	168	195	174
yfhB	242	200	258	217
yfhH	272	217	272	215
pdxJ	1408	1266	1156	1048
recO	339	352	336	347
era	1106	949	823	734
rnc	691	590	736	615
lepB	1490	1339	1370	1240
lepA	3573	3253	3516	3203
rseB	1648	1264	1647	1263
rseA	7225	5984	7221	5981
yfiC	218	200	208	186
srmB	327	287	308	272
yfiE	125	120	102	102
ung	391	341	366	313
yfiF	737	683	681	627
yfiP	74	49	70	45
yfiQ	3946	3295	3757	3177
pssA	4029	3503	3991	3473
kgtP	4746	4081	4412	3788
clpB	5540	5135	5380	4973
yfiH	179	159	167	144
rluD	561	498	517	462
yfiO	3585	3271	3567	3258
pheA	883	849	832	786
tyrA	1470	1481	1355	1375
aroF	2007	1884	2003	1882
yfiN	107	78	103	75
trmD	16382	15633	16378	15623
ffh	1428	1321	1535	1394
ypjD	348	278	335	271
yfjD	582	470	571	468
yfjB	315	279	314	278
recN	309	271	308	271
gabT	1048	820	901	707
gabP	262	229	228	196
csiR	338	227	327	223
nrdF	106	71	106	71
proV	283	225	278	224
proW	76	92	69	83
proX	248	223	227	191
ygaZ	597	490	596	489
emrA	141	123	140	119
emrB	135	139	123	125
gshA	2255	2150	2186	2088
alaS	11708	11123	11499	10943
recA	3726	3311	3626	3201
mltB	106	91	106	91
srlE	31	34	31	34
srlD	92	93	92	93
srlR	412	347	383	333
gutQ	420	347	387	307
norV	24	17	22	17
norW	17	17	17	17
ascG	419	359	413	356
ascF	35	41	35	38
hycG	64	56	52	37
hycE	21	22	16	17
hycD	8	5	6	4
hycC	12	11	10	9
hycB	2	2	2	1
hypB	126	105	126	103
hypD	121	107	97	75
hypE	100	99	86	90
fhlA	87	84	80	78
mutS	656	589	570	520
ygbI	701	596	698	596
ygbJ	62	35	62	35
ygbK	83	56	73	52
ygbL	28	27	31	30
ygbM	48	34	46	34
ygbN	64	35	64	35
nlpD	40216	35415	40414	35632
pcm	632	533	630	530
surE	570	503	351	331
truD	1164	1052	1158	1044
ispD	468	424	434	400
cysC	1011	867	1008	866
cysN	3931	3748	3531	3352
cysD	1964	1837	1963	1835
iap	230	202	220	195
cysH	2368	2318	1974	1994
cysI	4546	4707	4065	4228
cysJ	2541	2493	2465	2424
ygcQ	38	30	38	30
ygcR	21	22	21	22
ygcS	10	9	10	9
ygcU	99	111	93	104
ygcW	71	59	71	59
yqcE	66	64	61	58
ygcF	473	429	469	426
eno	13729	12550	13705	12519
pyrG	3528	3354	3439	3282
mazG	818	662	762	629
relA	3245	2915	2884	2598
barA	605	521	592	514
gudD	174	153	169	137
gudX	94	81	78	70
gudP	40	45	39	42
truC	181	123	175	117
queF	673	534	663	523
ygdH	1449	1239	1444	1233
sdaC	117	100	115	98
sdaB	112	96	104	90
exo	272	231	271	229
fucO	4493	3809	4489	3807
fucA	887	756	910	779
fucP	153	110	144	100
fucI	418	400	404	393
fucK	277	269	277	269
fucR	2031	1791	2031	1791
ygdE	549	490	549	490
gcvA	284	243	273	231
csdA	237	195	205	170
ygdL	295	279	285	274
mltA	2118	1791	1988	1677
amiC	560	467	510	413
argA	2756	2681	2597	2543
recD	569	517	537	481
ptr	1278	1115	1216	1061
recC	758	617	728	600
thyA	699	658	620	583
lgt	470	386	453	376
ptsP	1402	1164	1400	1163
mutH	257	201	257	201
ygdQ	128	92	124	91
tas	457	477	457	477
ygeD	345	333	345	333
aas	1065	940	1046	919
galR	281	243	280	241
lysA	933	865	922	855
lysR	91	68	86	64
ygeA	284	202	282	199
araE	380	333	357	316
kduD	118	90	117	89
kduI	99	78	94	70
yqeF	6353	5556	6231	5455
yqeG	106	79	102	77
yqeH	47	22	47	22
yqeI	42	21	40	21
ygeH	10	6	10	6
ygeR	657	611	582	558
xdhA	355	347	355	347
xdhB	122	111	122	110
ygeV	2790	2293	2738	2254
ygeW	49	40	49	37
ygeX	58	31	58	31
ygeY	47	41	43	40
hyuA	24	22	24	21
yqeA	99	65	97	65
yqeB	336	297	332	297
yqeC	217	177	217	175
ssnA	33	16	30	13
ygfM	12	28	12	28
xdhD	122	118	122	118
ygfO	36	46	36	44
guaD	201	167	199	165
ygfT	147	170	144	162
ygfU	111	75	101	72
lysS	3967	3484	3734	3239
prfB	2960	2705	2842	2577
recJ	739	633	703	602
dsbC	651	591	646	588
xerD	589	519	550	476
ygfZ	1066	919	1064	914
yqfA	204	179	192	170
bglA	926	885	848	816
ygfF	19	24	17	22
gcvP	1126	986	1066	939
gcvT	907	787	902	783
visC	469	406	446	385
serA	5919	5939	5842	5878
rpiA	1560	1498	1559	1497
argP	514	448	513	448
yliK	58	39	57	39
argK	10	16	10	16
ygfG	19	16	19	16
ygfH	48	49	48	49
ygfI	118	76	117	76
yggE	548	507	545	503
argO	140	122	96	84
mscS	771	688	771	686
fbaA	10477	10134	10132	9808
pgk	8986	8268	8984	8265
epd	1618	1544	1618	1544
yggF	17	13	17	11
cmtA	40	31	37	30
tktA	9907	8983	9481	8632
yggG	2400	2113	2269	1996
speB	471	377	391	317
speA	6825	6755	6082	6073
metK	4886	4353	4698	4185
galP	65	63	65	60
endA	19	22	19	22
yggJ	309	293	308	291
gshB	794	748	793	748
yggS	381	356	361	335
yggW	359	327	347	309
yggM	101	90	99	90
ansB	143	151	143	151
yggN	534	540	529	536
yggH	743	621	744	621
mutY	174	164	167	161
mltC	343	278	337	273
nupG	3086	2437	3080	2436
yqgA	40	34	39	34
yghK	492	401	481	386
glcF	1500	1322	1455	1264
glcD	1253	1135	1243	1129
glcC	2282	1797	2271	1791
ECIAI1_3132	22	21	14	13
yghR	18	8	18	7
yghS	16	17	16	17
yghT	9	9	9	9
pitB	45	27	37	29
gss	642	577	636	570
yghU	1587	1348	1537	1301
hybC	611	628	580	593
hybB	147	156	142	148
hybA	129	146	126	142
hybO	192	188	186	178
yghZ	1932	1691	1873	1632
yghA	21	18	21	18
exbB	2103	1708	2059	1674
metC	1378	1250	1310	1187
yghB	286	246	286	246
yqhC	137	108	135	106
yqhD	462	424	461	423
dkgA	212	170	212	170
yqhG	69	39	69	39
ygiQ	341	309	313	286
sufI	628	496	627	495
plsC	370	263	355	254
parC	1330	1241	1318	1229
qseB	145	128	144	128
parE	1529	1477	1322	1268
cpdA	1837	1479	1791	1447
nudF	451	382	435	367
tolC	2151	2089	1899	1836
ygiC	2848	2715	2492	2316
ygiE	613	526	610	526
ribB	592	554	555	520
yqiJ	43	42	40	39
yqiK	113	75	90	58
rfaE	1489	1356	1194	1106
htrG	815	753	773	738
cca	630	522	587	489
bacA	492	417	448	389
plsY	205	155	205	155
ygiP	33	30	32	30
ttdA	7	6	7	6
ttdB	9	5	9	5
ygjE	24	19	24	17
gcp	417	360	381	326
dnaG	1768	1577	1763	1571
rpoD	5243	4819	5202	4786
yqjH	135	101	133	101
yqjI	112	120	112	119
aer	174	123	156	113
ygjG	107	90	106	89
ebgR	101	76	100	75
ygjI	15	19	15	19
ygjJ	7	3	7	3
ygjK	40	27	38	24
ygjO	125	102	111	96
ygjQ	30	26	26	23
ygjR	756	658	694	608
alx	27	34	30	34
sstT	2654	2279	2408	2089
uxaA	345	333	327	323
uxaC	488	406	473	396
exuT	402	362	359	331
exuR	558	482	491	416
yqjA	373	303	373	303
yqjG	83	79	73	72
yhaJ	501	477	473	450
yhaK	58	45	58	44
yhaM	81	81	78	80
yhaO	54	47	55	46
tdcG	103	73	100	72
tdcE	490	431	486	431
tdcD	141	103	141	103
tdcC	446	342	436	332
tdcB	225	155	223	155
tdcA	185	128	180	122
garK	131	99	118	92
garR	176	146	173	139
garL	42	34	41	34
garP	82	56	79	56
garD	482	404	440	372
agaR	528	443	521	437
kbaZ	88	98	82	93
agaS	22	19	21	18
kbaY	26	18	26	18
agaC	18	13	18	13
agaD	30	22	29	21
agaI	15	19	9	15
yraI	15	13	14	12
yraL	346	315	336	306
yraQ	367	301	364	301
yraR	82	75	78	70
yhbU	43	30	42	29
yhbV	30	26	26	22
yhbW	62	57	56	55
mtr	310	245	232	173
deaD	776	734	693	669
nlpI	5728	4807	5728	4807
pnp	12633	11762	11372	10546
truB	995	1009	788	820
infB	12568	12430	12336	12203
nusA	5342	5182	5305	5142
argG	4183	4073	3918	3786
yhbX	74	64	74	64
glmM	1802	1763	1802	1763
folP	395	406	395	406
ftsH	10765	9667	10548	9479
rrmJ	2357	2069	2355	2066
dacB	156	122	156	120
obgE	1176	1060	1036	951
yhbE	457	363	457	362
ispB	978	903	969	896
murA	2315	2330	2272	2277
yrbC	1229	1153	1226	1149
yrbE	640	560	640	560
yrbF	950	900	937	889
yrbG	338	282	337	281
kdsD	1037	1013	1013	995
lptB	1199	1094	1199	1094
rpoN	4766	4073	4565	3903
yhbJ	981	818	980	818
yrbL	2651	2484	2647	2479
mtgA	662	608	630	569
elbB	1418	1267	1414	1259
arcB	1550	1403	1539	1396
yhcC	20	23	20	23
gltB	2349	2495	2053	2188
gltD	1313	1308	1206	1173
nanE	132	127	145	135
nanT	293	208	238	174
nanA	211	179	211	179
nanR	573	403	531	366
dcuD	68	42	57	39
sspA	2457	2199	2457	2199
degQ	1057	923	1057	922
degS	351	264	346	258
mdh	28976	26620	26332	24177
aaeB	53	51	52	51
aaeA	62	58	62	56
aaeR	93	68	90	65
tldD	944	863	893	802
rng	981	894	920	845
mreC	411	339	449	363
mreB	2280	2270	2218	2189
csrD	1086	973	1084	973
yhdH	1092	1049	1053	1009
accC	7193	7198	6754	6760
panF	172	168	150	151
prmA	408	382	408	382
dusB	4212	3724	4212	3724
yhdJ	81	86	80	85
envR	32	16	32	16
acrE	22	11	20	10
acrF	229	189	228	186
aapQ	64	49	61	48
aapP	106	86	97	75
aroE	475	417	455	397
smf	757	645	741	635
fmt	1003	918	992	905
rsmB	496	449	476	435
trkA	490	456	479	451
rpoA	41803	39530	41798	39522
rpsD	29833	28012	29833	28012
secY	39647	38127	38109	36746
rpsC	24030	24096	24030	24096
rplB	24211	24319	24211	24319
rplD	19199	18662	19199	18662
rplC	24179	24243	24179	24243
tufA	96211	89262	96234	89270
fusA	58585	56492	57809	55796
yheO	991	787	987	787
fkpA	8453	7456	8396	7427
kefB	338	301	318	280
yheS	491	446	482	440
yheT	167	141	153	123
prkB	354	325	347	322
crp	4021	3524	4268	3725
yhfK	634	543	611	531
argD	1745	1601	1695	1550
fic	53	57	52	53
tsgA	58	45	58	45
nirB	77	48	77	46
nirC	24	22	24	22
cysG	634	520	585	487
frlA	17	13	17	13
frlB	11	11	11	11
frlC	28	31	27	31
frlD	34	38	34	38
frlR	145	134	145	134
yhfS	53	38	53	38
yhfT	53	49	47	47
php	21	20	20	20
yhfZ	376	351	312	296
trpS	2175	1973	1971	1814
gph	665	695	656	678
rpe	837	757	818	733
dam	569	511	568	511
aroB	3256	2996	3253	2996
hofQ	94	86	94	86
yrfD	119	107	113	102
mrcA	1121	927	1068	881
igaA	1078	954	1012	909
yrfG	328	289	328	289
hslO	706	679	704	673
pck	30557	27715	26455	24033
envZ	656	510	587	462
ompR	1388	1210	1381	1200
yhgF	1595	1470	1564	1437
feoB	1216	1113	1202	1105
yhgA	51	49	41	41
bioH	209	147	208	147
gntX	218	175	217	174
gntT	2017	1899	1962	1846
malQ	1255	1203	1211	1159
malP	1325	1231	1310	1217
malT	16032	13690	14655	12471
rtcB	62	66	62	64
glpG	405	341	386	328
glpD	81	83	71	66
glgP	7656	6802	7504	6665
glgA	3890	3531	3888	3527
glgC	4335	4263	4315	4243
glgX	3686	3496	3681	3491
glgB	6931	6372	6871	6313
asd	4625	4518	4624	4514
gntU	98	69	91	59
gntR	234	225	207	192
yhhW	168	161	159	152
yhhX	709	619	701	617
yhhZ	6	5	6	5
ggt	70	41	69	41
ugpC	160	161	149	148
ugpE	62	72	59	72
ugpA	44	50	43	49
ugpB	895	753	854	708
livF	902	847	656	601
livG	1056	832	888	723
livM	1682	1459	1507	1305
livH	1850	1687	1685	1536
livK	4774	4384	4384	4017
livJ	16109	14481	15135	13670
rpoH	4340	3933	4207	3793
ftsX	995	844	866	730
ftsE	553	521	538	499
ftsY	2306	1991	2156	1837
yhhN	165	167	156	155
yhhQ	71	63	62	56
yhhS	71	73	71	72
yhhT	70	56	63	55
nikA	32	22	29	21
nikB	13	12	13	12
nikC	13	8	13	7
nikD	10	6	10	6
nikE	10	8	5	6
yhhI	889	558	189	125
yhhJ	1294	1173	1093	1002
rbbA	2006	1796	1875	1704
yhiI	1899	1743	1748	1605
yhiM	62	60	61	60
yhiN	271	214	257	206
pitA	1355	1249	1351	1244
yhiP	47	34	46	33
yhiQ	73	69	61	50
prlC	1028	1003	931	903
yhiR	122	99	111	93
gor	908	795	906	795
arsB	57	42	57	42
yhiD	33	27	33	27
mdtE	18	7	18	7
mdtF	97	87	91	84
gadW	36	28	36	25
gadX	89	66	75	64
gadA	159	140	157	140
yhjA	81	63	81	62
treF	78	75	77	74
yhjB	59	44	58	44
yhjC	70	68	66	68
yhjD	57	51	55	50
yhjE	2219	2001	2028	1816
yhjG	48	66	40	57
yhjH	15	20	9	15
kdgK	289	263	278	254
yhjJ	965	795	887	739
dctA	7155	6717	7144	6703
yhjK	394	352	399	356
bcsC	668	597	639	584
bcsZ	227	184	226	181
bcsB	312	310	310	309
bcsA	425	389	296	268
bcsE	338	255	338	255
bcsG	171	157	164	155
yhjV	179	140	175	139
dppF	624	579	526	497
dppD	839	727	784	673
dppC	681	718	679	717
dppB	879	825	905	842
dppA	16999	15663	15461	14357
eptB	883	662	882	663
yhjX	29	23	24	16
yhjY	76	62	76	61
yiaD	116	77	116	77
tiaE	601	518	594	511
yiaF	2103	1932	1946	1817
glyS	4552	4214	4242	3877
glyQ	1891	1721	1879	1706
yiaH	65	48	65	48
xylB	250	209	229	193
xylA	356	304	328	286
xylF	674	617	643	599
xylG	375	288	371	287
xylH	255	195	249	187
xylR	507	411	523	427
bax	15891	13900	15042	13165
avtA	1216	1063	1160	1015
yiaJ	236	200	233	194
yiaK	96	102	90	89
yiaN	28	32	28	32
yiaO	94	72	80	63
sgbH	64	61	43	42
sgbU	92	78	72	51
sgbE	77	60	64	47
yiaT	30	36	29	36
yiaU	111	84	111	83
yiaV	30	21	28	18
aldB	428	314	421	312
yiaY	52	59	50	57
selB	943	905	863	809
selA	402	351	390	348
yibF	206	173	203	172
yibH	68	56	68	56
mtlA	1701	1312	1655	1280
mtlD	753	659	637	570
lldP	327	264	294	239
lldR	126	93	117	91
lldD	180	169	163	162
cysE	1137	1031	1050	975
gpsA	2357	2234	2066	1976
gpmI	514	467	446	415
envC	600	453	528	394
yibQ	238	207	225	198
yibD	78	38	75	37
tdh	437	357	283	243
kbl	553	472	522	445
waaD	991	854	875	760
waaF	809	712	806	712
kdtA	591	493	561	472
mutM	190	144	187	144
yicR	813	696	959	847
dfp	414	398	408	388
pyrE	337	300	259	236
yicC	938	865	853	780
yicG	14	5	11	4
ligB	89	73	86	72
gmk	735	637	735	637
spoT	1841	1600	1762	1547
trmH	285	278	285	278
gltS	335	268	316	257
yicE	605	523	605	523
yicH	1059	888	1028	869
yicI	113	93	108	91
yicJ	58	37	58	37
setC	21	11	21	11
yicL	331	259	331	259
nlpA	984	944	983	943
yicM	34	20	28	17
uhpT	115	81	115	79
uhpC	39	39	39	39
uhpB	105	63	98	61
ilvB	2187	2505	1837	2041
emrD	26	12	26	12
yidJ	128	101	106	86
yidK	46	30	46	30
yidL	120	109	107	100
yidP	26	18	25	16
yidE	1639	1436	1637	1431
yidR	336	276	268	230
cbrA	32	33	27	27
dgoT	89	51	85	49
dgoD	168	132	146	112
dgoA	59	57	58	56
dgoR	308	319	290	298
yidX	167	92	167	92
yidA	220	170	196	151
gyrB	2625	2513	2516	2391
recF	198	173	193	166
dnaN	854	699	834	682
dnaA	1546	1346	1534	1338
yidC	4049	3768	4033	3746
trmE	427	374	395	331
tnaA	1184	993	1130	939
tnaB	109	95	97	86
mdtL	21	17	19	16
yidZ	119	77	110	65
yieE	408	330	406	328
yieH	248	186	241	182
yieK	35	32	31	30
yieL	45	37	44	35
bglH	22	26	23	26
bglB	18	17	18	14
bglG	30	19	29	19
phoU	977	886	940	862
pstB	819	682	818	681
pstA	211	169	196	151
pstC	245	185	245	185
pstS	760	667	760	667
glmS	2860	2647	2305	2148
glmU	2669	2443	2353	2166
atpD	26002	24286	25689	24027
atpG	15487	14304	15487	14304
atpA	39671	37096	39671	37096
atpB	15310	14055	15298	14043
gidB	247	214	247	214
gidA	1094	1017	1087	1011
asnA	786	691	701	605
yieM	244	197	244	197
ravA	225	229	201	213
trkD	332	263	323	256
rbsA	414	358	407	350
rbsC	586	411	582	410
rbsB	9857	7878	9736	7771
rbsK	1659	1493	1652	1482
rbsR	484	390	482	390
hsrA	119	90	118	89
yieP	170	149	156	142
hdfR	313	289	313	289
yifB	67	54	64	52
ilvE	6079	6109	5767	5775
ilvD	6268	5972	5523	5326
ilvA	3408	3150	2542	2391
ilvY	132	124	99	90
ilvC	8549	8392	6877	6753
rep	560	463	487	398
gpp	1002	885	993	873
rhlB	2006	1733	1985	1705
rho	2606	2270	2502	2207
rfe	972	826	992	838
wzzE	786	664	781	659
rffE	430	378	419	368
rffD	475	379	455	365
rffG	409	362	399	353
rffH	282	265	266	259
rffC	141	131	135	124
rffA	348	306	348	306
wzxE	258	225	247	211
rffT	216	185	202	176
wzyE	136	149	132	147
rffM	173	151	159	131
yifK	597	578	589	577
hemY	2186	1892	1998	1763
hemX	2366	2165	2179	2005
hemD	632	577	624	570
hemC	820	749	752	695
cyaA	1208	1080	1162	1040
dapF	705	572	705	572
yigA	462	365	436	349
xerC	452	409	442	403
yigB	249	274	249	273
uvrD	652	557	565	487
yigE	57	44	56	44
corA	1183	1059	1172	1046
rarD	114	113	102	102
pldA	842	711	810	681
recQ	605	527	531	478
rhtC	453	350	404	310
rhtB	285	240	244	212
pldB	389	311	562	451
yigL	196	179	186	168
yigM	151	110	144	104
metR	592	457	518	410
ysgA	3022	2750	2795	2563
udp	4260	3815	4232	3776
rmuC	676	567	658	557
ubiE	1179	1119	1179	1119
yigP	779	649	456	385
ubiB	1075	1007	1074	1007
tatC	744	646	744	646
tatD	204	141	204	141
ubiD	2652	2179	2552	2091
fre	1476	1271	1447	1239
fadA	2276	1971	2215	1933
fadB	6971	6022	6744	5784
pepQ	3311	3112	2991	2820
yigZ	388	390	382	375
trkH	544	455	533	439
yihE	924	871	908	852
dsbA	2466	2219	2462	2205
yihG	91	66	80	61
polA	2405	2134	2402	2130
hemN	977	795	977	795
glnG	312	271	312	271
glnL	206	175	206	175
glnA	4268	4189	4170	4113
bipA	4874	4531	4832	4488
yihL	107	85	91	73
yihM	187	181	187	181
yihN	94	111	92	108
ompL	3	5	1	5
yihO	24	16	24	16
yihP	53	37	47	31
yihQ	89	80	89	80
yihS	172	161	172	161
yihT	90	106	90	106
yihU	41	34	40	33
yihV	111	86	111	86
yihW	516	416	516	416
rbn	518	459	499	441
yiiD	816	755	756	688
fdhE	611	527	530	458
fdoI	269	269	269	268
fdoH	504	441	497	432
fdoG	3740	3451	3631	3353
fdhD	298	257	294	254
frvB	11	17	10	17
rhaD	16	18	11	12
rhaA	15	8	16	7
rhaS	257	189	262	196
rhaR	286	200	282	196
sodA	19138	14676	19121	14671
kdgT	126	106	126	106
yiiM	303	254	295	248
cpxA	1603	1405	1572	1368
cpxR	1636	1375	1636	1375
fieF	573	525	572	525
pfkA	1569	1384	1559	1374
sbp	427	473	401	436
cdh	113	117	95	102
tpiA	5094	4892	4567	4345
fpr	674	517	612	473
glpX	195	159	195	159
glpK	1685	1390	1600	1319
glpF	490	355	490	355
menA	303	302	301	302
hslU	1718	1775	1713	1762
ftsN	657	561	632	536
cytR	447	391	437	386
yiiX	127	116	71	71
metB	1344	1168	1332	1164
metL	1768	1537	1673	1454
metF	3173	2722	2897	2475
katG	8468	7404	7563	6658
yijE	96	76	83	72
yijF	19	10	17	8
gldA	348	338	317	322
fsaB	52	63	43	50
ptsA	75	69	58	54
frwC	98	76	98	76
pflD	135	116	127	108
pflC	46	54	41	51
yijO	53	28	48	25
yijP	943	884	863	795
ppc	2301	2123	2263	2078
argE	802	748	783	732
argC	1225	1076	1222	1076
argB	876	916	876	916
argH	1744	1617	1723	1593
oxyR	1288	1168	1253	1151
sthA	3528	2967	3419	2884
fabR	1808	1534	1803	1530
trmA	554	474	521	444
btuB	1435	1257	1435	1252
murI	279	269	251	244
murB	1064	964	1010	902
birA	550	471	516	433
coaA	990	868	982	862
tufB	98636	91204	98578	91153
rplA	15297	15336	15297	15336
rpoB	34632	31699	34616	31692
rpoC	38008	35815	37621	35454
thiH	2552	2018	2299	1823
thiG	1904	1456	1874	1419
thiF	2112	1613	2105	1603
thiE	1847	1436	1843	1433
thiC	7550	5897	7539	5887
nudC	250	220	250	220
hemE	581	547	579	547
nfi	259	215	259	215
yjaH	762	568	684	510
zraR	340	328	332	323
purD	868	775	842	750
purH	790	677	719	624
metA	3606	3032	3481	2929
aceA	3848	3644	3624	3440
aceK	503	473	518	489
iclR	269	238	259	232
metH	6322	5731	5852	5350
yjbB	340	246	324	237
pepE	1278	1107	1277	1105
yjbC	711	601	600	484
lysC	2275	2146	2219	2100
pgi	3449	3069	3224	2887
yjbF	3	8	2	8
yjbG	9	1	9	1
yjbH	33	22	30	21
xylE	52	32	50	30
malG	839	731	830	715
malF	1919	1700	1886	1688
malE	12946	11690	12405	11197
malK	3337	3035	3302	3000
malM	2134	1824	2127	1819
ubiA	647	538	622	521
plsB	2009	1882	1937	1808
lexA	863	783	859	780
dinF	118	120	113	110
yjbM	6	4	6	4
yjbN	467	477	507	507
qor	587	520	569	504
dnaB	678	620	597	550
alr	301	266	291	256
tyrB	2642	2269	2636	2264
aphA	1013	879	980	859
uvrA	630	632	533	530
yjcC	61	59	61	59
yjcE	674	619	654	604
actP	7858	6913	7115	6235
acs	22400	21202	22015	20845
nrfA	64	59	64	58
nrfC	14	10	13	8
nrfD	22	19	22	19
gltP	79	72	75	70
yjcO	874	810	840	778
fdhF	173	136	171	134
yjcQ	40	26	36	25
yjcR	19	10	17	8
phnL	0	1	0	0
phnK	18	20	18	20
phnJ	9	4	8	3
phnI	0	5	0	3
phnF	3	1	2	1
phnD	7	2	4	1
phnC	9	4	7	4
yjcZ	17	12	17	12
proP	284	285	282	278
basS	414	343	381	297
basR	420	340	390	317
eptA	456	436	434	417
adiC	17	12	17	12
adiY	13	12	13	12
adiA	36	31	35	30
melR	306	228	306	228
melA	320	297	315	295
melB	172	123	170	123
yjdF	108	85	105	80
fumB	500	471	500	471
dcuB	61	36	61	36
dcuR	793	689	749	639
dcuS	889	776	833	737
lysU	539	492	519	470
yjdL	33	27	33	25
cadA	97	78	97	77
cadB	15	7	14	7
cadC	58	52	58	51
dipZ	457	417	432	407
dcuA	2483	2175	2478	2169
aspA	20727	16754	20693	16722
yjeH	175	139	164	135
groL	30232	28015	29080	26969
yjeJ	151	134	149	133
yjeK	267	268	224	226
frdB	1205	1085	1198	1080
frdA	3142	2968	3121	2947
poxA	135	124	135	124
yjeP	755	693	679	656
psd	859	726	856	726
rsgA	958	809	956	806
yjeS	110	98	106	96
yjeF	201	201	194	195
amiB	509	464	475	438
mutL	867	769	842	749
miaA	5344	4757	5343	4753
hflX	4244	3358	4232	3341
hflK	4728	4521	4724	4519
hflC	4173	3899	4166	3894
purA	5639	5159	5616	5140
rnr	4018	3628	3926	3555
rlmB	603	577	573	537
yjfJ	44	38	42	36
yjfK	11	17	9	15
yjfC	69	63	61	52
aidB	136	116	129	111
yjfP	167	156	165	148
ulaR	262	198	253	195
ulaG	58	42	50	36
ulaA	59	53	52	45
ulaD	93	64	92	63
ulaE	79	88	60	68
ulaF	47	36	36	24
ytfB	659	562	602	518
fklB	552	525	551	525
cycA	6804	5754	6431	5462
ytfE	140	93	136	83
ytfF	58	54	52	47
ytfG	48	32	46	32
cpdB	2779	2370	2398	1991
cysQ	559	464	561	457
ytfL	245	211	243	207
msrA	211	167	210	166
ytfM	417	358	394	346
ytfQ	971	777	725	566
ytfT	70	48	60	41
yjfF	79	80	65	68
fbp	1108	1080	1104	1073
mpl	1493	1250	1343	1124
pmbA	726	604	704	583
nrdD	202	183	183	168
treC	112	137	110	135
treB	145	122	136	118
treR	192	186	180	177
mgtA	1980	1696	1926	1658
pyrB	231	228	231	228
yjgI	20	18	20	18
argI	858	802	666	626
valS	5487	5189	5057	4789
pepA	3791	3474	3505	3232
yjgP	986	806	981	801
yjgQ	914	768	839	701
yjgB	48	35	40	29
yjhT	243	167	224	155
yjhA	99	100	99	100
fimB	237	206	237	206
fimC	665	768	647	751
fimH	321	310	303	287
gntP	209	148	207	148
uxuA	509	427	481	402
uxuB	599	525	583	515
uxuR	358	306	340	292
yjiE	133	115	133	114
iadA	365	347	347	328
yjiH	13	10	13	10
yjiK	105	68	72	49
hgdC	73	66	65	61
yjiM	202	229	193	223
yjiN	74	55	59	45
yjiY	814	746	656	629
tsr	107	84	99	81
mdoB	1881	1478	1816	1422
dnaC	200	184	198	183
yjjP	74	55	70	53
yjjQ	13	15	11	14
bglJ	54	26	54	24
rsmC	312	263	307	260
yjjG	161	144	139	120
prfC	826	770	720	669
osmY	45	39	43	39
yjjU	235	196	232	195
yjjW	20	24	16	21
yjjI	40	25	40	25
deoC	298	289	283	276
deoA	726	595	689	564
deoB	1480	1299	1334	1177
deoD	1316	1206	1123	1023
ytjB	228	206	223	202
serB	688	619	665	596
radA	869	818	774	742
nadR	978	853	688	617
slt	986	833	949	792
ytjC	1138	953	1123	933
rob	1283	1066	1196	1003
creB	517	420	411	330
creC	241	231	219	217
arcA	4677	3951	4532	3863
yjtD	138	155	133	145
