"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_chemostat1","K12_IAI1ref_chemostat2","K12_batch1","K12_batch2"
"17","aceK","aceK",57,4565.2031022227,1.38985491168986,0.100947556901358,13.7680886427789,3.96566743384589e-43,1.61061756304443e-41,6739.52063749061,6496.41553385448,2536.2447379037,2488.63149964203
"18","ackA","ackA",1748,1851.6856278284,0.0900525381793511,0.112071562800709,0.80352710294124,0.42167013794532,0.558447579715913,1908.82793524922,1910.08821465272,1850.8298376603,1736.99652375134
"19","acnA","acnA",110,4839.52766161199,1.05522648092589,0.100147593475327,10.5367133079025,5.85080281798772e-26,1.23132804760378e-24,6509.24665325595,6576.50625804482,3197.55483278685,3074.80290236034
"20","acnB","acnB",101,20021.2764990158,1.02477867181996,0.0936554160493023,10.9420118456416,7.25713615017849e-28,1.66339308788745e-26,26568.3881151038,27188.5341440125,13101.4857307992,13226.6980061476
"21","acrA","acrA",889,5411.8681101015,-0.281127632093763,0.101552478671824,-2.7682990683295,0.00563497203913018,0.0146572587309959,4807.0748577045,4959.58031684354,6146.72536686165,5734.09189899632
"22","acrB","acrB",1119,7814.05302982673,-0.207922252342521,0.0990965126802132,-2.09817930741409,0.0358893088262515,0.0742482126298233,7143.55447796094,7356.25745959609,8110.74298621352,8645.65719553637
"23","acrD","acrD",1699,160.012324766297,0.208198246086921,0.233429250313563,0.891911556958909,0.372440339628855,0.507338691780271,182.194800713138,161.692594120128,129.956341942173,166.205562289748
"24","acrE","acrE",2287,15.6009541064294,-0.0231034420047361,0.559911614552596,-0.041262658970197,0.967086501527209,0.97892665108679,11.8089222684441,19.6448946127258,9.43231514096417,21.5176844035835
"25","acrF","acrF",2200,210.842942823728,-0.032294922855334,0.201729895663464,-0.160089919984939,0.872810241452493,0.918784187542767,206.656139697772,210.049257782222,221.135388304827,205.530985510091
"26","acrR","acrR",1902,581.988905515142,0.0836107450984934,0.150247273406273,0.556487603421644,0.57787756660882,0.703357816350903,572.73273001954,625.614336128345,605.764239053032,523.844316859653
"27","acs","acs",4,10983.1925022552,4.45892946686078,0.140029765688896,31.8427260441698,1.65981399128874e-222,9.6061734745836e-220,24515.32262929,17567.0692209952,942.183479080754,908.194679654696
"28","actP","actP",1,2763.21819897218,5.18275463012628,0.147704341660207,35.0887087804714,1.00216911840275e-269,2.32002150910237e-266,5987.96708454891,4781.26511958957,140.4366920988,143.203899651435
"29","ada","ada",1174,119.696850883922,0.506968330743362,0.25831256926787,1.96261580371506,0.0496908329883593,0.097901513504725,124.837178266409,158.670302641247,99.5633264879551,95.7165961400783
"30","add","add",609,288.361875540948,0.720325574315103,0.182509989581278,3.946773412062,7.92114558641003e-05,0.000301107586741202,358.485140292054,362.674977465707,202.270758022898,230.016626383134
"31","adhE","adhE",1623,8680.14726112836,-0.109197798480723,0.106984088954559,-1.02069195099754,0.307400409171539,0.438197011842434,7755.93144702455,8947.49392322688,9150.39372175091,8866.76995251113
"32","adhP","adhP",177,681.428227390716,1.21547680203671,0.143855724517976,8.44927656587507,2.93113375523686e-17,3.83365799060641e-16,1019.78478732492,890.064840530423,400.349375983146,415.513905724371
"33","adiA","adiA",1613,52.0645530704141,0.379146735416006,0.36328402760827,1.04366475430305,0.296640522089759,0.425742596799623,66.6360613719347,51.3789551409752,52.4017507831343,37.8414449856123
"34","adiC","adiC",2257,15.5449357791726,0.046752610950938,0.546769395089595,0.0855070005212655,0.931858330245385,0.955805066246374,19.4003722981582,12.0891659155236,13.6244552036149,17.0657496993938
"35","adiY","adiY",2128,11.9732856518187,-0.145563042209958,0.587927013757218,-0.247586926274606,0.804454027166549,0.875357091335872,7.59145002971407,15.1114573944045,12.5764201879522,12.6138149952041
