"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_chemostat1","K12_IAI1ref_chemostat2","K12_batch1","K12_batch2"
"583","glpT","glpT",85,24469.3720275578,3.45420762907548,0.294533302382023,11.7277319784885,9.18878455016903e-32,2.50259249807545e-30,55007.6469153082,35588.9933095619,3716.33216553988,3564.51571982121
"584","glpX","glpX",34,1697.42536150771,2.09271172314172,0.126890188956705,16.4923051998587,4.16741803840673e-61,2.84534108792319e-59,2993.56179505058,2519.07994764722,633.013149460262,644.046553872775
"585","gltA","gltA",195,14485.0158889323,0.831398259897821,0.10394411046909,7.99851243274678,1.25931309074926e-15,1.49503066927412e-14,17941.9703980053,19197.5954738514,10998.0794543642,9802.41822950832
"586","gltB","gltB",79,22145.9786250237,-1.3669161504151,0.113732946974966,-12.0186470743256,2.83576460840361e-33,8.30986717525869e-32,11121.4742935311,13514.1763478159,30945.3299074721,33002.9339512755
"587","gltD","gltD",77,12251.1590574251,-1.35502755590489,0.111511762364809,-12.1514316263063,5.63697797667799e-34,1.69475376831293e-32,6309.33846914014,7406.12526899763,16849.258946809,18439.9135447537
"588","gltI","gltI",222,4253.45984153093,0.755600491447585,0.102056095523033,7.40377620342191,1.32365427170907e-13,1.38029713468761e-12,5497.05331596074,5198.34134367514,3190.21858767721,3128.22611881062
"589","gltJ","gltJ",1228,325.666485977018,0.34618009091285,0.187942080940758,1.84195093073366,0.0654823277599931,0.123245194117385,409.094807156814,320.362896761375,263.056788931334,310.151451058548
"590","gltK","gltK",984,377.621281617683,0.411787045408301,0.16575790430203,2.48426792762761,0.0129818093525007,0.0305415535071535,454.643507335098,408.00934964892,328.03495990242,319.797309584292
"591","gltL","gltL",1016,693.779110919082,0.346608435001207,0.144478771758294,2.39902672747708,0.0164387147561924,0.0374563234848281,844.337942193754,708.727351797569,604.716204037369,617.334945647636
"592","gltP","gltP",93,610.559332543595,-1.75607164562338,0.155938105180495,-11.2613375902623,2.03643994972373e-29,5.06920267054886e-28,252.204839876056,302.229147888089,895.021903375933,992.7814390343
"593","gltS","gltS",1363,180.956393291958,-0.341006779232248,0.217648511924691,-1.56677744413084,0.117166721417473,0.19900290541559,150.142011698789,169.24832281733,190.742372850609,213.692865801105
"594","gltX","gltX",297,6098.67329834009,-0.62125386173294,0.0984922990214346,-6.30763895152593,2.8332418541341e-10,2.20840232064662e-09,4707.54251287047,4891.57875856872,7382.35865032796,7413.21327159319
"595","glxK","glxK",2061,71.0138473702715,0.101807765651839,0.314906319048085,0.323295404041394,0.746471534321992,0.837220355785856,81.8189614313628,64.9792667959392,66.0262059867492,71.230955267035
"596","glxR","glxR",1969,23.4471651748241,0.21232932627668,0.479575645298585,0.442744180940388,0.657950781955908,0.773393015905798,21.0873611936502,30.2229147888089,20.9607003132537,21.5176844035835
"597","glyA","glyA",171,22110.3620279711,-0.834763471638904,0.0976610076699435,-8.54756152486243,1.2571627933221e-17,1.7019484599653e-16,16444.7677532562,15262.5719683485,27757.2073898262,28976.9010004533
"598","glyQ","glyQ",662,4153.36316912681,-0.390082552063271,0.105506204488081,-3.69724751218152,0.000217949816943533,0.000762165900640903,3546.89415277196,3638.83894057259,4489.78200709894,4937.93757606373
"599","glyS","glyS",498,7820.07558659068,-0.471785216160629,0.102916263279724,-4.58416581719769,4.55802427697849e-06,2.11884060265165e-05,6376.81802495982,6717.04281181278,8657.81726438944,9528.62424520066
"600","gmd","gmd",678,65.1364226521896,-1.22237850482692,0.336701620018487,-3.63045032203825,0.000282927158432761,0.000966041846271154,32.0527890143483,43.8232264437729,91.1790463626536,93.4906287879834
"601","gmk","gmk",836,2379.39970850388,-0.329764422120504,0.110746718677177,-2.97764508113109,0.00290472133701168,0.00804357642964359,2076.68333035067,2136.76007556879,2771.00458141214,2533.15084668393
"602","gmr","gmr",924,549.974901035713,0.407291096648071,0.151945567512696,2.68050660058931,0.00735108147001269,0.0184174822544149,645.273252525696,608.9917329945,509.345017612065,436.289601010589
"603","gnd","gnd",36,21580.3094342622,-1.56122624276014,0.0958016662234978,-16.2964414326357,1.04608022476133e-59,6.7268770008958e-58,10587.5423081079,11173.4115974227,31755.4609745794,32804.8228569391
"604","gntP","gntP",149,194.314820128376,2.29900213940216,0.24666784479064,9.32023442842112,1.16083530868689e-20,1.80357969101353e-19,388.85094041091,262.939358662638,58.6899608771104,66.7790205628453
"605","gntR","gntR",2028,374.425937948514,-0.0622669513994697,0.167403144234387,-0.371958075723402,0.7099240640612,0.810746435341751,349.206701366847,383.831017817873,400.349375983146,364.316656626189
"606","gntT","gntT",1852,298.383958183307,0.123936515309136,0.193245869985536,0.641341081796018,0.521301103529752,0.65162637941219,317.153912352499,306.762585106411,243.144123633743,326.475211640577
"607","gntU","gntU",1191,94.2169578633965,-0.576978362814443,0.298371555372232,-1.93375793511763,0.053142896935936,0.103296227041723,78.4449836403788,71.023849753701,90.1310113469909,137.267986712515
"608","gntX","gntX",1551,198.911654749058,0.248709897487978,0.214232638060382,1.16093373885392,0.245668846939401,0.36668174124095,203.282161906788,229.694152394948,200.174687991573,162.495616702924
"609","gor","gor",1692,1559.66878628226,-0.104778411717301,0.115906275324937,-0.903992570061974,0.365999341156036,0.500761509915025,1487.92420582396,1518.70146813765,1557.38003327475,1674.66943789269
"610","gph","gph",511,1259.78538385653,-0.538492973462084,0.120158218777375,-4.48153259045714,7.410891293473e-06,3.35738030222896e-05,1059.42902636899,989.800459333492,1495.54596735065,1494.366082373
"611","gpmA","gpmA",552,14272.8328548849,-0.421298215862834,0.0990325227469307,-4.25413999539753,2.09853984704475e-05,8.80094156867501e-05,12643.9817717127,11738.5801039734,15917.5558178849,16791.2137259688
"612","gpp","gpp",1546,998.644774382916,0.159282336701813,0.135161747814489,1.17845721350415,0.238614380207778,0.357304198047223,1027.37623735464,1080.46920369992,1026.02628033377,860.707376143339
"613","gpsA","gpsA",1323,2131.91085615662,0.186818678095853,0.114114146118446,1.6371211146946,0.101605165553453,0.17778983995181,2392.15025380768,2147.33809574487,1946.20102408561,2041.95405098834
"614","groL","groL",1346,41778.0367404888,-0.164742380447869,0.103003384574366,-1.5993880310693,0.10973441008634,0.188885145014644,37233.5319124043,41533.8406485207,42351.0949829291,45993.679418101
"615","grxB","grxB",1234,634.87338442097,0.26359972964151,0.144008506506603,1.83044554822477,0.0671833420441381,0.126036820771621,705.161358315663,680.015582748201,614.148519178334,540.168077441682
"616","gshA","gshA",873,3400.6250829461,-0.292971155464994,0.103526604701755,-2.82991175368883,0.00465608445866979,0.0123468906320969,2984.28335612538,3126.56053490228,3708.99592043024,3782.6605203265
"617","gshB","gshB",1652,1216.30487013256,-0.117666237075306,0.120407239792051,-0.977235565556692,0.328452544316892,0.460270968579663,1174.14427126244,1157.53763641138,1304.80359450004,1228.73397835635
"618","gsk","gsk",474,855.35370972331,-0.655013803907811,0.138906330543689,-4.71550721514306,2.41109348676639e-06,1.17756992022451e-05,614.063957959094,713.260789015891,1098.34069641449,995.74939550376
"619","gss","gss",138,1542.78729457347,-1.15444471539259,0.119640055795323,-9.64931608998564,4.94846410849873e-22,8.30122783418446e-21,901.695564640483,1006.42306246734,2102.35824141935,2160.67230976673
"620","guaA","guaA",147,7185.98972581096,-1.02561286625823,0.108901951306187,-9.41776390557618,4.60796420640805e-21,7.25675995771063e-20,4715.97745734793,4723.84158149083,8922.9701233521,10381.169741053
"621","guaB","guaB",98,4696.69500601785,-1.24424760676127,0.112792291878216,-11.0313177083476,2.6988142684167e-28,6.3752602361068e-27,2565.06661559561,2993.57970983152,6400.34984065202,6827.78385799225
"622","guaC","guaC",571,1484.65713838226,-0.564229356322559,0.136781409829509,-4.12504416371964,3.70663624087785e-05,0.000150277809065363,1048.46359854829,1346.43085384144,1831.96520737837,1711.76889376093
"623","guaD","guaD",2102,178.426775370491,-0.0599125180804575,0.218771949954747,-0.27385831726988,0.784193505355172,0.86324677360781,180.507811817646,167.73717707789,197.030582944585,168.431529641843
"624","gudD","gudD",1587,170.556885557065,0.2454384578744,0.226448838298849,1.08385832189825,0.278427621449517,0.406149932990317,187.255767399614,184.359780211734,136.244552036149,174.367442580763
"625","gudP","gudP",844,29.561234971832,1.32311437597547,0.45077676356119,2.93518762041483,0.00333346062493998,0.00914331913120386,45.5487001782844,42.3120807043325,12.5764201879522,17.8077388167587
"626","gudX","gudX",2262,70.6085873092814,0.023721757427934,0.319924835123254,0.0741479085823237,0.940892694612764,0.962938367828713,82.6624558791088,58.9346838381774,68.1222760180745,72.7149335017649
"627","gyrA","gyrA",433,11299.7543794989,-0.496299185752517,0.100184937143537,-4.95383038511526,7.27666416839181e-07,3.89041051959054e-06,9133.35788019378,9598.79773692572,12689.6079696438,13777.2539312323
"628","gyrB","gyrB",464,4497.72387683331,-0.475722608168644,0.099953768893993,-4.75942641715868,1.94143885961962e-06,9.6862736207315e-06,3761.14174249945,3756.70830824895,5180.43708242065,5292.60837416417
"629","hcaB","hcaB",1143,49.6313310424525,0.77754022138829,0.382353146665787,2.03356563995518,0.041995409135953,0.0850563185911909,64.9490724764426,63.4681210564987,24.1048053602418,46.0033252766268
"630","hcaE","hcaE",521,197.106448184736,0.946401508868887,0.21381527174294,4.42625777454616,9.58819375069716e-06,4.26039703125987e-05,284.257628890405,237.24988109215,128.90830692651,138.00997582988
"631","hcaR","hcaR",131,2209.62769253599,2.87611529798482,0.292966707374934,9.8172086642733,9.49358609580185e-23,1.67768334441079e-21,4781.77002427212,3090.29303715571,496.768597424113,469.679111292012
"632","hcaT","hcaT",745,148.914567201621,0.801364200300959,0.237303969696323,3.37695235914705,0.000732937435463999,0.00227751699744853,209.18662304101,170.75946855677,111.091711660245,104.620465548458
"633","hchA","hchA",1296,327.913971309821,0.312651909386406,0.184540638357615,1.69421712295439,0.0902240322437757,0.161153326331474,338.241273546149,389.875600775635,323.84281983977,259.696191077732
"634","hcp","hcp",1674,27.2295040045229,-0.422707268074002,0.454031413647541,-0.931008858347727,0.351848981944428,0.486577295819205,22.7743500891422,22.6671860916067,29.3449804385552,34.1314993987876
"635","hcr","hcr",1889,23.3170387879471,0.274644537987683,0.476248330191708,0.576683466537569,0.564153303293723,0.690647750991523,26.1483278801263,25.6894775704876,19.912665297591,21.5176844035835
"636","hda","hda",861,930.601462693081,-0.367040549217327,0.126321129402911,-2.90561484806411,0.00366532309720389,0.0098550789431208,816.502625418136,806.951824861198,1043.84287560003,1055.10852489296
"637","hdfR","hdfR",2034,515.987051868314,-0.0534912940599207,0.147516020471408,-0.362613456416338,0.716893656749672,0.815933537549406,507.783657543097,504.722676973109,526.113577862668,525.328295094383
"638","hdhA","hdhA",1336,1499.39838221075,0.18712865544736,0.116696667195597,1.60354755576448,0.108813818658881,0.188119151838602,1573.11714504631,1622.97052415904,1350.9171351892,1450.58872444847
"639","helD","helD",1864,1526.39010292711,-0.0717843536594214,0.114998995618775,-0.624217222708522,0.532484937647078,0.66132115378379,1469.36732797355,1508.12344796157,1529.08308785186,1598.98654792146
"640","hemA","hemA",1203,920.376417239519,-0.244717585343098,0.128425023689261,-1.90552883163348,0.0567113633168414,0.109132839632991,815.65913097039,868.908800178257,1019.73807023979,977.199667569636
"641","hemB","hemB",508,1428.24562302716,-0.55191438402819,0.122419192210314,-4.50839753198182,6.53191024622244e-06,2.97664807480413e-05,1086.42084869686,1228.56148616508,1747.0743711097,1650.92578613701
"642","hemC","hemC",1023,686.022572152095,0.322570102964645,0.135978910970315,2.37220684194965,0.0176821888181453,0.0400139463480022,763.362475210138,763.128598417425,604.716204037369,612.883010943447
"643","hemD","hemD",1398,640.299556074255,0.225884345628658,0.15262440885261,1.4800014448986,0.138872861066107,0.22996471628615,704.317863867917,675.48214552988,656.069919804841,525.328295094383
"644","hemE","hemE",792,667.006109152336,-0.450160279092151,0.140292624689641,-3.20872376639904,0.00133325517463084,0.00389707794099796,536.462468766461,590.857984121214,760.87342137111,779.83056235056
"645","hemF","hemF",1310,232.792527870105,-0.330155077664513,0.197835146414094,-1.66883935260652,0.0951492214264076,0.168145379848957,200.75167856355,211.560403521662,242.09608861808,276.761940777125
"646","hemH","hemH",1811,251.402411383081,-0.131316831079917,0.188694616910761,-0.695922508176373,0.486477360615805,0.620835220411019,246.300378741834,232.716443873829,260.960718900009,265.632104016651
"647","hemL","hemL",699,2084.2020114339,-0.417648915523461,0.116791856934012,-3.57601057545847,0.000348877544085052,0.00115543850437324,1676.86696211906,1891.95446577944,2299.38882436393,2468.59779347318
"648","hemN","hemN",1706,992.446358762847,-0.109989265666914,0.124204548430691,-0.885549418733977,0.375860378348829,0.510033280115791,952.305231505243,956.555253065803,1022.88217528678,1038.04277519356
"649","hemX","hemX",920,1872.21041140003,0.299004789933581,0.11095739564568,2.69477116143202,0.00704369878267325,0.017724089871618,2112.110097156,2020.40185363188,1683.14423515427,1673.18545965796
"650","hemY","hemY",2141,1443.07242437252,0.0274802441501092,0.116186080926369,0.236519245085169,0.813029775437429,0.879105058448224,1469.36732797355,1444.65532690507,1392.83853581571,1465.42850679577
"651","hflC","hflC",1431,4281.43483400121,-0.146686357337404,0.103332631350871,-1.4195550371627,0.155737263239201,0.25194393039745,3912.12724864599,4216.09661303885,4439.47632634714,4558.03914797287
"652","hflD","hflD",1893,286.22649719401,-0.105493352231755,0.185164106243265,-0.569728952182338,0.568861550102367,0.694941682578881,291.005584472373,258.405921444316,316.506574730131,278.98790812922
"653","hflK","hflK",1798,5270.12871644915,-0.0723833447994564,0.10059058173565,-0.71958371798344,0.471781339852345,0.607868038861358,4989.26965841764,5287.49894230212,5339.73840480138,5464.00786027547
"654","hflX","hflX",1984,5842.95319380986,-0.0412404363486378,0.0977454141833336,-0.421916840735732,0.673085717334247,0.785379755861282,5736.6057391206,5781.64359909915,5933.97425868212,5919.58917833755
"655","hisA","hisA",473,1139.28400602955,-0.581273494563162,0.12300738152688,-4.72551717911448,2.29530428026572e-06,1.12338888135627e-05,908.443520222451,914.24317236147,1319.47608471932,1414.97324681496
"656","hisB","hisB",314,1422.56095363446,-0.717014324138023,0.118366291149771,-6.05758883862276,1.38177033249835e-09,1.01872557953302e-08,1049.30709299603,1098.6029525732,1824.62896226874,1717.70480669985
"657","hisC","hisC",422,744.970185907835,-0.685365944039658,0.136618392087224,-5.01664478383033,5.25816547391366e-07,2.88451494599766e-06,545.740907691667,595.391421339536,902.358148485572,936.390266114564
"658","hisD","hisD",208,840.01595184016,-1.03248251452633,0.135373551969322,-7.62691455979756,2.40438828721215e-14,2.67603792543083e-13,523.810052050271,575.74652672681,1172.75118252654,1087.75604605701
"659","hisF","hisF",289,908.304177141076,-0.832065979432356,0.128675256252832,-6.46640235009476,1.003636313734e-10,8.05793724177973e-10,663.830130376109,637.703502043868,1149.69441218197,1181.98866396236
"660","hisG","hisG",280,1209.36340441561,-0.840943850266091,0.128077563400075,-6.5658951337108,5.17212068980747e-11,4.27623549889439e-10,816.502625418136,912.732026622029,1633.88658941813,1474.33237620415
"661","hisJ","hisJ",2152,7427.03047689603,0.0283812481354842,0.127955402925161,0.221805781441554,0.824465078621629,0.886597628502481,8520.13741668243,6475.25949350231,7545.85211277133,7166.87288462803
"662","hisM","hisM",2315,711.047776942189,0.000194372159334575,0.144361313691241,0.0013464283080043,0.998925705965408,0.998925705965408,761.675486314646,657.348396656594,751.441106230145,673.726118567373
"663","hisP","hisP",2201,957.030738164255,-0.0211383667713647,0.134775350590991,-0.156841489772965,0.875369773369514,0.920709234598103,1030.75021514562,865.886508699376,968.384354472321,963.101874339702
"664","hisQ","hisQ",1179,1469.9333379855,0.253378335572084,0.129494300332289,1.95667558280095,0.0503856224065402,0.098976442643869,1749.40748462522,1446.16647264451,1388.64639575306,1295.5129989192
"665","hisS","hisS",999,5136.94042305181,-0.243047307157568,0.0988461625475525,-2.45884413611549,0.0139385116866086,0.032299954509008,4662.83730713993,4743.48647610356,5601.74715871705,5539.6907502467
"666","hmp","hmp",1255,670.834442129167,0.281170074721042,0.157311869852934,1.78734176247412,0.0738822680428021,0.136284821130746,755.771025180424,719.305371973652,521.921437800017,686.339933562577
"667","hofB","hofB",1938,81.0881987397222,0.155016969892733,0.312005352750498,0.496840738551993,0.619301364470848,0.739534278019577,81.8189614313628,89.1575986269863,93.275116393979,60.1011185065608
"668","hofC","hofC",1901,77.2329411441274,0.167469377373802,0.300781414196322,0.556781002646971,0.577677065054968,0.703357816350903,85.1929392223468,78.5795784509032,70.2183460493999,74.9409008538597
"669","hofQ","hofQ",2148,62.8173998485159,0.0754438795173253,0.331025329143959,0.227909688096755,0.819716450905361,0.883446733634036,70.0100391629187,58.9346838381774,55.5458558301223,66.7790205628453
"670","holA","holA",2015,785.257056111902,-0.054793274548296,0.142044293596453,-0.385747805568053,0.699683454072807,0.8038546879298,738.057641777757,802.418387642877,866.724957953041,733.827237073933
"671","holB","holB",1317,298.346522000403,-0.292679845419331,0.17753278231809,-1.64859605982476,0.0992304164909673,0.174425523292779,270.761717726469,264.450504402078,322.794784824107,335.379081048956
"672","hrpA","hrpA",337,1938.86188843397,-0.640647523551635,0.110130324591601,-5.8171763855901,5.98499788855281e-09,4.1113561163204e-08,1503.95060033113,1521.72375961653,2341.31022499044,2388.46296879777
"673","hscA","hscA",1225,2628.50439428591,-0.20660503313125,0.111396690504586,-1.85467837684769,0.0636421683587474,0.120270710000408,2374.43687040501,2506.9907817317,2673.53732495551,2959.05260005141
"674","hscC","hscC",1406,96.1457065798558,0.412209779942824,0.281861238447276,1.46245642789912,0.143616176119058,0.236309021578149,124.837178266409,95.2021815847481,80.6986962060268,83.8447702622391
"675","hslO","hslO",1081,995.403904729174,-0.288300516228722,0.130564161377253,-2.20811372115893,0.0272363467517485,0.0583276065960201,900.008575744991,891.575986269863,1022.88217528678,1167.14888161506
"676","hslU","hslU",856,2965.9971560831,-0.319049765514711,0.109510932196327,-2.91340562184906,0.00357509886075869,0.00966863769001913,2497.58705977593,2780.50816057042,3244.71640849167,3341.17699549436
"677","hsrA","hsrA",1887,175.81859565194,-0.129362472169317,0.223323694241575,-0.579259950936431,0.562413784275495,0.690231589406511,149.298517251043,187.382071690615,190.742372850609,175.851420815493
"678","htpG","htpG",1092,7149.90219799067,-0.266388443020358,0.122060165600174,-2.18243553669224,0.0290774040026368,0.0616430313792162,5844.57302843209,7134.11903589835,7276.50711374602,8344.4096138862
"679","htpX","htpX",1307,4143.7946071415,0.180627725158704,0.107967210728132,1.67298686277573,0.0943298822778436,0.167080089880037,4296.76071681817,4515.30346944805,3662.88237974109,4100.2318625587
"680","hyaA","hyaA",2002,15.623620902651,0.214899861728895,0.542108471327643,0.39641487468845,0.691798994593642,0.799957378863277,16.0263945071742,18.1337488732854,15.7205252349403,12.6138149952041
"681","hyaB","hyaB",2213,23.7974779835542,0.0678220526807968,0.474257515704814,0.143006806291733,0.886284805803193,0.926716045814992,21.9308556413962,27.200623309928,23.0567703445791,23.0016626383134
"682","hyaC","hyaC",1840,16.357026971723,-0.356167547604255,0.54199632125562,-0.657140156927886,0.51109080018504,0.643030001319765,16.8698889549202,10.5780201760831,15.7205252349403,22.2596735209484
"683","hyaF","hyaF",1993,22.9680672837368,-0.199640110849249,0.485642843497076,-0.41108422274208,0.681010778412758,0.791038611151798,23.6178445368882,18.1337488732854,29.3449804385552,20.7756952862185
"684","hybA","hybA",1280,78.0821533999539,0.571242761824081,0.328545584443684,1.73870168668177,0.0820872492066277,0.148346590096287,119.776211579933,68.0015582748201,55.5458558301223,69.0049879149401
"685","hybB","hybB",1421,92.6417498412139,0.408476522531396,0.28528053678212,1.43184153794329,0.152189176537421,0.247984230031955,98.688850386283,114.847076197474,70.2183460493999,86.8127267316989
"686","hybC","hybC",2223,429.191854105937,0.0207724212658857,0.157859507923316,0.131588027475522,0.89531015586349,0.932363027811057,438.617112827924,426.143098522206,409.78169112411,442.225513949509
"687","hybO","hybO",1324,97.0108715257198,0.456224075453881,0.27950696440614,1.63224582408244,0.10262771094053,0.17944346739224,102.906322625013,123.913950634117,74.4104861120507,86.8127267316989
"688","hycB","hycB",2343,4.45696690716248,0.896370310466205,0.673592869903959,1.33073010495793,0.183277833512205,NA,9.27843892520609,4.53343721832134,1.04803501566269,2.96795646945979
"689","hycC","hycC",2342,7.96721921945177,-0.032659188577138,0.641177863391851,-0.0509362385101223,0.959376328821627,NA,10.9654278206981,4.53343721832134,5.24017507831343,11.1298367604742
"690","hycD","hycD",2341,7.46441864909979,-0.0496072460092997,0.644781526244073,-0.0769365187899654,0.938674045838293,NA,4.21747223873004,10.5780201760831,8.38428012530148,6.67790205628453
"691","hycE","hycE",1802,20.655740459624,0.353503042653132,0.497976119074489,0.70987950849959,0.477778858633835,0.6139761110351,24.4613389846342,22.6671860916067,19.912665297591,15.5817714646639
"692","hycG","hycG",2226,40.1512602313765,0.0504071346184529,0.397029234406958,0.126960763213686,0.898971453597718,0.934583709446814,48.0791835215225,33.2452062676898,37.7292605638567,41.5513905724371
"693","hyfA","hyfA",2339,2.9179239013878,1.21669622917503,0.65770195068225,1.84992035969017,0.0643250289746898,NA,3.37397779098403,7.55572869720223,0,0.741989117364948
"694","hyfC","hyfC",2340,8.86948199430104,-0.392707651521747,0.622473199834638,-0.630882826161947,0.528117141801272,NA,6.74795558196807,7.55572869720223,11.5283851722895,9.64585852574432
"695","hyfD","hyfD",1715,15.2082067227978,0.477321814562972,0.545810022013143,0.874520062498008,0.381835099327328,0.515178409716837,18.5568778504122,18.1337488732854,11.5283851722895,12.6138149952041
"696","hyfE","hyfE",2269,10.8763303064964,0.0408147089396079,0.598959508063933,0.0681426847559974,0.945672051781319,0.965190333893117,14.3394056116821,7.55572869720223,10.4803501566269,11.1298367604742
"697","hyfG","hyfG",2087,32.9010362734831,-0.12298508484798,0.422249400600313,-0.291261715642774,0.77085116519311,0.854780753570167,33.7397779098403,28.7117690493685,33.5371205012059,35.6154776335175
"698","hyfI","hyfI",2216,14.8101210147739,0.0774028782518259,0.549781715279986,0.140788382189843,0.888037121314386,0.927291806875419,16.8698889549202,13.600311654964,14.6724902192776,14.097793229934
"699","hyi","hyi",2078,16.4673451164473,0.166896521157472,0.543439866051612,0.307111295257131,0.758758660522309,0.84529658282442,20.2438667459042,15.1114573944045,10.4803501566269,20.0337061688536
"700","hypB","hypB",1097,89.1024176402709,0.623716707535897,0.288877073643332,2.15910767742677,0.0308418141754696,0.0650855057577138,109.654278206981,108.802493239712,60.7860309084357,77.1668682059546
"701","hypD","hypD",477,404.395373393439,0.768666246342041,0.16390600176134,4.68967724233357,2.73636322585308e-06,1.32802533917188e-05,542.366929900683,479.033199402621,293.449804385552,302.731559884899
"702","hypE","hypE",2118,119.150834922148,0.0687362995446911,0.268705173031572,0.255805642925284,0.798100916428225,0.871599036427891,143.394056116821,99.7356188030695,105.851536581931,127.622128186771
"703","hyuA","hyuA",2164,37.6667227234206,-0.0830258633761528,0.416943230468713,-0.199129899010036,0.842161133519433,0.900925611874994,44.7052057305384,27.200623309928,46.1135406891582,32.6475211640577
"704","iaaA","iaaA",1257,2906.58997477006,0.23696579043168,0.132833280223585,1.78393389091061,0.0744344080679126,0.137084848589672,3577.25995289082,2712.5066022956,2612.75129404707,2723.84204984672
"705","iadA","iadA",619,555.892866454291,-0.585419231623028,0.150505466594514,-3.8896874968684,0.000100373392885488,0.000375386760145243,411.625290500052,477.522053663181,659.214024851829,675.210096802102
"706","iap","iap",1602,286.396694325774,-0.194233292714344,0.180690514461007,-1.07495013390014,0.282397054608037,0.408083134467919,256.422312114787,278.050816057042,303.930154542179,307.183494589088
"707","icd","icd",1279,77947.5759132812,0.160644403676732,0.0923615676301449,1.73929923233894,0.0819821422913401,0.148346590096287,83424.1313654235,81181.7714142196,73123.4991128169,74060.9017606649
"708","iclR","iclR",1355,888.578816973188,-0.216394238651152,0.136269367625681,-1.58798886662164,0.112288856690608,0.191891734287146,783.606341956042,859.841925741614,1019.73807023979,891.128929955302
"709","ileS","ileS",1062,8501.74767883297,-0.240669321799568,0.106758209194465,-2.25434019187394,0.0241747746910534,0.0526973666758838,7650.4946410563,7932.0039863229,8576.07053316775,9848.42155478495
"710","ilvA","ilvA",230,868.839635911908,-0.986183696836911,0.136558468676836,-7.22169563259167,5.13432897793802e-13,5.16781373214196e-12,603.098530138396,556.101632114084,1088.90838127353,1227.25000012162
"711","ilvB","ilvB",253,4287.8317424963,0.758811566179343,0.11104312983505,6.83348503690884,8.28761445861717e-12,7.58333101648172e-11,5795.65035046282,4995.84781459012,3204.89107789649,3154.93772703576
"712","ilvC","ilvC",143,41379.8223137944,-0.921189689833788,0.0969941246929035,-9.49737618387092,2.15245287902239e-21,3.48456532513065e-20,29444.7041819177,27628.2775541897,52624.9822414704,55821.3252775997
"713","ilvD","ilvD",266,1890.46580639086,-0.756724361858796,0.11260016417266,-6.72045522685421,1.81157693739714e-11,1.57661677070465e-10,1420.44465000428,1384.20949732745,2305.67703445791,2451.53204377379
"714","ilvE","ilvE",181,1894.23567347547,-0.93628012056421,0.111256255320756,-8.4155278987674,3.91129495919671e-17,5.00256786217701e-16,1302.35542731984,1290.51846148214,2452.40193665068,2531.6668684492
"715","ilvI","ilvI",383,4950.17608749496,-0.53451373045438,0.0997168696710556,-5.3603139791454,8.30774338500234e-08,5.0215211321881e-07,4005.75513234579,4072.537767792,5769.43276122308,5952.97868861897
"716","ilvY","ilvY",1293,142.294719849227,-0.401695702241868,0.236909714749071,-1.69556450087888,0.0899683853780432,0.161080287819157,114.715244893457,129.958533591878,163.493462443379,161.011638468194
"717","inaA","inaA",1288,516.735643525632,-0.276771625479355,0.161903869074808,-1.70948123143043,0.0873618453904744,0.157020708135829,495.131240826907,435.209972958849,624.62886933496,511.972490981814
"718","infB","infB",1616,20238.7670308156,-0.0997429566360318,0.0960338141186164,-1.03862329692366,0.298979966566576,0.428303603095064,20175.5436956368,18893.8551802239,20790.9186407164,21094.7506066855
"719","iscS","iscS",408,7069.33389243528,0.514117826079507,0.100374468858625,5.12199797344513,3.02315140962237e-07,1.7153420375676e-06,7992.95338684118,8654.33164977543,5846.98735238212,5783.0631807424
"720","ispA","ispA",1422,851.333562674552,0.191816065793949,0.134558144823293,1.42552549342776,0.154005356236171,0.250718987121474,957.366198191719,856.819634262733,826.899627357859,764.248790885896
"721","ispB","ispB",1315,1652.67013936746,-0.187840456820348,0.113689243451549,-1.6522271687066,0.0984882499224515,0.173384257468042,1514.91602815183,1574.61386049694,1795.28398183018,1725.86668699087
"722","ispD","ispD",394,503.373004891872,-0.808626600568508,0.153366191718822,-5.27252187399311,1.3456179333579e-07,7.90635917696329e-07,361.859118083038,367.208414684028,609.956379115683,674.468107684737
"723","ispE","ispE",1563,1054.53757217619,0.138829235505812,0.123368352026318,1.12532293108848,0.260452216018676,0.385762559234315,1083.04687090587,1128.82586736201,1018.69003522413,987.587515212745
"724","ispG","ispG",1801,2561.30123058985,0.0747997882024583,0.105403501079887,0.709651837330964,0.477920065695573,0.6139761110351,2620.73724914685,2635.43816958414,2510.04386251213,2478.98564111629
"725","ispH","ispH",864,1244.14023856239,-0.3493123329068,0.120720020212262,-2.89357417512526,0.00380884316026464,0.0102054073101998,1069.55095974194,1118.24784718593,1353.01320522053,1435.74894210117
"726","ispU","ispU",1490,3357.09809362786,0.142788213004961,0.110897947972332,1.28756406782735,0.197897754099979,0.307265795265896,3721.49750345539,3323.00948102954,3307.59850943144,3076.28688059507
"727","katE","katE",69,1114.366772751,1.55056941886987,0.125503211870074,12.3548186199018,4.58789753593639e-35,1.53927286894098e-33,1648.1881508957,1681.90520799722,587.947643786766,539.426088324317
