	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_batch1	K12_batch2
gatD	9032	3752	981	1399
gatZ	138196	53318	24870	33291
gatY	114869	46727	23621	32651
fbaB	5116	2556	1782	2482
yegT	140	85	66	99
yegU	185	86	88	124
yegV	160	79	74	105
yegW	177	99	155	201
yegX	242	109	253	337
thiD	932	503	770	1122
thiM	1713	924	1542	2049
rncA	53	32	58	63
yehA	26	13	18	27
yehC	0	1	5	3
mrp	2991	1839	3858	5419
metG	1958	1230	2238	3022
yehL	7	4	1	3
yehP	15	8	11	10
yehT	654	305	281	389
yehU	1322	557	609	661
mlrA	216	130	95	150
yehW	101	40	48	54
yehX	153	81	56	112
yehY	171	87	59	98
yehZ	441	225	143	249
bglX	1966	1056	1742	2680
dld	4837	2543	2850	4061
pbpG	651	354	638	835
yohF	157	97	93	113
dusC	136	85	183	251
yohK	66	49	48	69
cdd	318	171	122	213
sanA	159	92	165	226
yeiT	258	122	50	69
yeiA	394	164	79	99
mglC	4938	1841	253	326
mglA	11074	3932	613	763
mglB	34380	14482	1277	1830
galS	1058	396	66	116
yeiB	305	184	380	517
folE	1432	937	2077	2358
frmC	1464	920	1242	1636
cirA	2699	1405	2852	4167
lysP	2929	1835	4691	6423
yeiE	406	276	344	422
yeiH	163	107	152	188
nfo	613	395	731	880
yeiJ	14	17	19	37
rihB	18	7	5	7
yeiL	47	23	18	21
yeiC	209	68	13	10
fruA	1542	847	908	1593
fruK	779	407	463	703
fruB	699	415	449	732
setB	80	38	36	57
yeiQ	462	256	232	278
yeiR	246	144	267	366
yeiU	159	103	316	411
rtn	532	331	364	426
yejB	98	59	77	125
yejE	160	112	112	147
yejF	583	347	449	622
bcr	443	235	389	515
rsuA	467	319	625	787
yejH	85	63	88	110
yejK	1608	846	1814	2569
yejM	1238	629	934	1181
narP	924	521	878	1383
ccmH	186	130	145	229
ccmF	235	106	182	289
ccmC	151	67	90	134
ccmB	74	40	56	75
ccmA	152	85	125	132
napC	313	141	149	254
napH	72	37	39	55
napG	54	32	24	42
napA	477	236	177	343
mqo	236	146	1291	1916
yojI	924	497	1350	1803
alkB	36	18	34	25
ada	148	105	95	129
yojL	137	59	130	174
rcsB	4012	2301	3931	5079
rcsC	1379	769	1365	1834
yfaP	33	10	12	18
yfaQ	111	40	31	79
yfaT	8	4	5	11
gyrA	10828	6352	12108	18568
ubiG	547	306	529	690
nrdA	2604	1674	2492	3217
nrdB	1914	1168	1926	2959
inaA	587	288	596	690
glpQ	58669	22142	3567	5236
glpT	65214	23551	3546	4804
glpA	8019	3147	515	837
glpB	4667	1789	328	463
glpC	3090	1230	209	317
yfaY	570	324	525	798
ais	18	11	17	27
yfbE	189	102	104	117
yfbF	48	36	36	36
yfbG	228	118	113	168
yfbH	78	42	33	64
arnT	103	51	55	64
menE	301	173	345	585
menC	376	223	446	790
menB	853	478	929	1513
yfbB	271	171	329	425
menD	315	172	286	426
menF	622	369	517	677
elaC	302	226	330	453
nuoN	2052	1283	1201	2153
nuoM	2437	1436	1414	2265
nuoL	5194	2886	2740	4413
nuoH	4651	2381	2528	3724
nuoG	15597	7707	8174	12737
nuoF	6760	3386	3729	5934
nuoC	9723	4848	4949	7006
nuoB	5449	2648	2357	3295
lrhA	2898	1330	1112	1785
yfbQ	1132	658	775	1179
yfbS	346	187	195	310
yfbT	1504	883	1631	2375
ackA	2263	1264	1766	2341
pta	3673	2109	2411	3531
yfcF	201	125	167	182
yfcG	88	56	40	63
yfcH	908	534	844	1249
hisP	1222	573	924	1298
hisM	903	435	717	908
hisQ	2074	957	1325	1746
hisJ	10101	4285	7200	9659
purF	2648	1638	3840	5623
dedD	827	417	623	1007
folC	1638	855	1465	2166
accD	6977	3831	5926	8958
truA	998	598	835	1161
usg	918	533	935	1442
pdxB	1452	886	1552	2525
flk	440	238	440	614
yfcJ	78	62	101	155
fabB	4142	2786	3667	5649
trmC	476	315	468	662
yfcA	429	224	525	654
mepA	550	333	483	845
aroC	2090	1243	2456	3529
prmB	1646	965	1828	2611
yfcY	1421	534	140	190
fadL	3423	1435	904	1022
vacJ	1351	762	1738	2647
yfdC	182	83	62	95
dsdA	197	128	229	277
emrY	14	9	30	22
emrK	32	15	33	44
evgA	320	216	1016	1464
yfdE	48	13	21	45
yfdV	12	9	12	18
oxc	52	18	34	45
frc	41	19	37	50
yfdX	25	8	21	36
ddg	65	35	117	102
yfdZ	844	478	633	1057
ypdA	369	200	323	420
ypdB	428	212	335	509
ypdC	87	53	76	96
ypdD	118	63	61	85
ypdE	42	16	21	32
ypdF	56	29	17	26
ypdG	24	12	11	15
glk	1769	923	930	1358
yfeO	190	113	115	157
mntH	847	509	789	1013
nupC	885	539	870	1286
yfeA	743	412	674	868
gltX	5581	3237	7044	9991
yfeR	162	101	121	171
yfeH	677	358	430	627
ligA	1117	612	1112	1669
zipA	4455	2255	3636	5251
cysZ	381	228	264	361
cysK	36048	17702	29380	42910
ptsI	45565	26519	36131	51724
pdxK	685	368	732	1140
cysM	3598	1615	3830	5320
cysA	2727	1262	2449	3554
cysW	1836	802	1307	1880
cysU	1764	682	1241	1759
cysP	4240	1922	2583	4032
ucpA	3992	1529	815	1085
yfeT	127	58	72	148
yfeU	173	68	47	85
murP	181	70	78	104
murQ	211	111	80	121
yfeX	2022	1105	1556	2243
amiA	743	455	785	1195
hemF	238	140	231	373
yfeG	151	54	91	148
eutL	133	54	118	156
eutC	180	110	127	206
eutB	851	549	628	937
eutA	15	7	8	11
eutH	24	14	14	26
eutG	22	13	11	25
eutJ	14	11	7	8
eutE	27	9	21	22
eutI	71	46	23	28
eutT	38	23	7	17
eutQ	61	22	8	20
maeB	19269	8874	5605	7960
talA	1833	1187	940	1345
tktB	3137	1997	1495	2276
ypfG	280	166	186	234
aegA	127	58	76	142
narQ	247	137	197	274
acrD	216	107	124	224
dapE	776	450	1015	1382
ypfH	360	160	291	435
ypfJ	990	592	1029	1399
purC	4089	2289	4750	7522
nlpB	4710	2705	4616	7212
dapA	7453	4052	7035	10061
hyfA	4	5	0	1
hyfC	8	5	11	13
hyfD	22	12	11	17
hyfE	17	5	10	15
hyfG	40	19	32	48
hyfI	20	9	14	19
perM	375	230	326	435
yfgC	1964	1076	1526	2035
hda	968	534	996	1422
uraA	2524	1389	3279	5099
upp	4406	2393	6661	8778
purM	2994	1733	2878	4784
purN	866	549	1100	1589
ppk	1258	740	1347	1624
ppx	1154	633	1097	1541
yfgF	102	62	73	102
guaA	5591	3126	8514	13991
guaB	3041	1981	6107	9202
xseA	526	350	813	1013
der	2747	1605	2589	3569
yfgL	3749	2111	3439	5264
yfgM	2542	1343	2204	3269
hisS	5528	3139	5345	7466
ispG	3107	1744	2395	3341
yfgA	2003	1154	1612	2076
yfgB	1921	1063	1398	1857
pbpC	139	60	83	143
sseA	1575	683	578	766
sseB	933	538	749	1197
pepB	3184	1628	1816	2678
hscA	2815	1659	2551	3988
iscS	9476	5727	5579	7794
yfhQ	1053	642	968	1575
suhB	1564	918	2136	2840
yfhR	32	21	26	37
hcaT	248	113	106	141
hcaR	5669	2045	474	633
hcaE	337	157	123	186
hcaB	77	42	23	62
yphB	110	58	74	97
yphC	124	49	58	92
yphD	31	10	21	34
yphE	78	41	25	35
yphF	79	37	18	37
yphH	480	218	328	464
glyA	19496	10100	26485	39053
hmp	896	476	498	925
yfhA	488	265	544	787
yfhG	392	202	295	377
yfhK	661	360	491	659
yfhD	328	170	322	449
yfhB	416	244	328	526
yfhH	257	140	180	269
pdxJ	1220	588	1428	2170
recO	614	350	617	917
era	1589	874	1913	2607
rnc	1225	765	1574	2080
lepB	2243	1268	1979	2825
lepA	5080	2840	4172	6390
rseB	2156	1114	1354	1878
rseA	6715	3520	3763	5640
yfiC	289	162	287	427
srmB	707	423	616	837
yfiE	166	91	147	257
ung	753	409	789	1042
yfiF	1294	764	1446	1962
yfiP	118	54	143	150
yfiQ	3850	1554	619	859
pssA	5024	2360	2818	3655
kgtP	21628	10824	11109	14316
clpB	9327	5774	7236	11636
yfiH	390	184	503	712
rluD	1129	631	1408	1768
yfiO	5662	3265	5919	7482
pheA	2456	1470	3375	4150
tyrA	1773	1050	3246	4547
aroF	3410	1827	5827	7532
yfiN	105	65	130	175
trmD	31582	16544	35920	48359
ffh	2287	1305	2626	3986
ypjD	443	253	349	455
yfjD	552	359	704	949
yfjB	371	243	331	432
recN	783	431	519	664
gabT	790	396	125	207
gabP	231	126	50	72
csiR	391	185	156	235
nrdF	260	149	114	124
proV	1437	870	1399	1691
proW	408	272	366	519
proX	1865	974	1020	1279
ygaZ	724	383	714	1035
emrA	446	253	617	861
emrB	267	173	365	557
gshA	3538	2069	3539	5098
alaS	15332	8634	17716	25082
recA	7236	3950	5053	7480
mltB	178	86	159	199
srlE	75	40	22	22
srlD	150	90	104	143
srlR	543	241	299	422
gutQ	351	170	203	334
norV	75	44	64	96
norW	27	32	31	27
ascG	909	462	646	907
ascF	116	65	63	92
hycG	57	22	36	56
hycE	29	15	19	21
hycD	5	7	8	9
hycC	13	3	5	15
hycB	11	3	1	4
hypB	130	72	58	104
hypD	643	317	280	408
hypE	170	66	101	172
fhlA	152	95	103	122
mutS	1028	565	981	1535
ygbI	739	375	397	476
ygbJ	63	46	35	46
ygbK	78	51	47	80
ygbL	36	22	28	49
ygbM	42	28	34	49
ygbN	111	48	66	94
nlpD	61037	28516	26066	35717
pcm	980	486	819	1126
surE	628	337	807	1146
truD	1967	967	1614	2252
ispD	429	243	582	909
cysC	2170	887	2022	2938
cysN	8003	3569	7554	11395
cysD	5447	2381	5250	7397
iap	304	184	290	414
cysH	4823	2110	5027	7259
cysI	9405	4290	9208	14204
cysJ	6832	3154	7565	11203
ygcQ	37	34	24	56
