	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_batch1	K12_batch2
glgA	3500	1980	2495	3903
glgC	4808	2687	3777	5434
glgX	3972	2232	3035	4569
glgB	6542	3632	5762	8874
asd	12543	6878	18393	27357
gntU	93	47	86	185
gntR	414	254	382	491
yhhW	279	143	212	314
yhhX	697	402	818	1191
yhhZ	7	0	6	12
ggt	466	268	182	300
ugpC	420	227	162	226
ugpE	151	56	41	52
ugpA	89	46	21	24
ugpB	2296	852	514	664
livF	2726	1395	3635	5092
livG	2533	1256	2942	4135
livM	3501	1824	3577	5841
livH	3154	1619	3000	4862
livK	11536	5527	10480	14682
livJ	49247	26926	30391	41741
rpoH	3579	2010	2459	3999
ftsX	974	638	978	1568
ftsE	722	393	701	1027
ftsY	3505	1834	3505	4730
yhhN	172	97	112	195
yhhQ	132	84	101	136
yhhS	162	95	188	258
yhhT	212	135	103	139
nikA	12	16	22	35
nikB	19	6	13	28
nikC	14	5	12	18
nikD	22	13	23	29
nikE	23	13	13	31
yhhI	501	284	65	125
yhhJ	526	330	491	681
rbbA	1342	849	1150	1933
yhiI	1740	960	1397	2342
yhiM	54	28	54	60
yhiN	462	263	616	856
pitA	2045	1234	2525	3542
yhiP	166	103	117	146
yhiQ	204	132	224	366
prlC	1964	1253	1908	3084
yhiR	204	133	201	279
gor	1764	1005	1486	2257
arsB	69	49	59	71
yhiD	41	26	36	56
mdtE	25	14	17	25
mdtF	162	106	175	229
gadW	140	101	291	403
gadX	305	157	498	801
gadA	337	190	312	492
yhjA	106	46	79	99
treF	280	201	241	341
yhjB	127	50	77	118
yhjC	209	107	146	221
yhjD	250	164	153	238
yhjE	2419	1833	3702	5614
yhjG	3212	1665	1603	2188
yhjH	8808	4459	3962	5340
kdgK	1284	606	683	1032
yhjJ	1016	554	724	1023
dctA	2990	1310	317	415
yhjK	521	290	460	618
bcsC	475	231	352	481
bcsZ	51	26	53	66
bcsB	61	47	66	93
bcsA	192	97	73	109
bcsE	1004	594	1039	1347
bcsG	273	203	261	341
yhjV	576	275	307	401
dppF	2225	1215	1111	1765
dppD	2420	1221	1028	1491
dppC	2096	1001	825	1349
dppB	2509	1201	944	1440
dppA	44393	22780	12379	16311
eptB	644	289	233	296
yhjX	36	24	25	27
yhjY	560	300	261	363
yiaD	213	113	264	375
tiaE	1509	1028	1607	2251
yiaF	2726	1471	2806	4111
glyS	7560	4445	8261	12842
glyQ	4205	2408	4284	6655
yiaH	92	46	108	126
xylB	284	143	227	298
xylA	340	142	162	201
xylF	411	162	23	29
xylG	371	193	101	153
xylH	148	69	71	73
xylR	247	145	211	307
bax	14156	6629	2949	3801
avtA	1417	846	1581	1919
yiaJ	326	175	306	484
yiaK	62	33	9	13
yiaN	22	11	11	5
yiaO	21	10	4	8
sgbH	18	13	10	12
sgbU	26	13	25	17
sgbE	36	17	13	28
yiaT	42	24	54	47
yiaU	107	61	87	138
yiaV	40	23	32	40
aldB	1382	478	47	69
yiaY	16	9	7	15
selB	1216	653	1567	2378
selA	571	299	642	917
yibF	232	125	178	253
yibH	99	66	54	69
mtlA	3119	1491	1041	1786
mtlD	1432	741	921	1294
lldP	723	349	148	186
lldR	305	142	120	168
lldD	442	230	161	274
cysE	1304	663	784	953
gpsA	2836	1421	1857	2752
gpmI	2255	1564	4611	6532
envC	911	569	1075	1601
yibQ	264	177	316	455
yibD	51	30	37	35
tdh	403	228	404	540
kbl	728	391	369	646
waaD	2021	1213	2520	3405
waaF	1353	819	1482	2109
kdtA	510	282	406	624
mutM	268	136	296	399
yicR	746	440	940	1327
dfp	674	484	754	816
pyrE	76	35	132	185
yicC	1417	802	1685	2311
yicG	28	15	32	32
ligB	212	96	71	124
gmk	2462	1414	2644	3414
spoT	2603	1572	2913	4275
trmH	431	243	484	631
gltS	178	112	182	288
yicE	1102	667	949	1271
yicH	1292	752	1016	1426
yicI	228	131	101	177
yicJ	43	23	40	41
setC	26	10	11	15
yicL	534	275	500	605
nlpA	3310	1605	3002	4060
yicM	64	53	114	170
uhpT	4167	2480	895	1796
uhpC	113	63	94	140
uhpB	229	124	166	311
ilvB	6871	3306	3058	4252
emrD	14	3	6	9
yidJ	73	35	33	39
yidK	30	19	13	18
yidL	133	69	49	62
yidP	30	12	14	30
yidE	887	475	543	759
yidR	619	277	326	431
cbrA	41	14	16	28
dgoT	44	27	25	35
dgoD	108	73	31	52
dgoA	54	22	18	25
dgoR	424	166	184	301
yidX	202	112	163	248
yidA	426	269	580	761
gyrB	4459	2486	4943	7133
recF	434	243	643	832
dnaN	1319	715	1302	1826
dnaA	2421	1268	2022	2946
yidC	6093	3475	5730	8032
trmE	732	462	646	904
tnaA	5628	2130	82	91
tnaB	481	167	27	25
mdtL	35	23	27	44
yidZ	162	87	193	216
yieE	283	121	186	266
yieH	199	136	211	251
yieK	58	40	40	95
yieL	41	19	24	37
bglH	43	22	20	35
bglB	45	34	23	52
bglG	39	13	15	15
phoU	835	521	696	1106
pstB	1042	722	898	1037
pstA	237	175	219	341
pstC	406	334	336	489
pstS	1344	1205	1027	1300
glmS	5772	3713	9530	15498
glmU	4200	2382	6436	9892
atpD	25515	13439	17790	27349
atpG	19393	9788	14162	18495
atpA	44964	24469	31168	47074
atpB	23931	12006	16653	21903
gidB	373	218	425	570
gidA	1892	1177	2031	2883
asnA	463	269	608	907
yieM	384	224	309	414
ravA	332	196	260	378
trkD	641	374	651	833
rbsA	1971	870	593	904
rbsC	1966	890	412	610
rbsB	18005	8337	2861	3898
rbsK	2050	1009	784	1030
rbsR	441	203	199	247
hsrA	177	124	182	237
yieP	491	296	700	1002
hdfR	602	334	502	708
yifB	199	129	210	277
ilvE	1544	854	2340	3412
ilvD	1684	916	2200	3304
ilvA	715	368	1039	1654
ilvY	136	86	156	217
ilvC	34908	18283	50213	75232
rep	725	429	856	1155
gpp	1218	715	979	1160
rhlB	3098	1836	2842	3538
rho	3185	1915	3366	3879
rfe	1364	820	1540	2236
wzzE	853	573	958	1465
rffE	800	429	1020	1543
rffD	684	358	1004	1412
rffG	537	300	735	1026
rffH	324	197	414	574
rffC	203	129	295	406
rffA	441	246	566	790
wzxE	374	200	469	694
rffT	284	149	306	446
wzyE	199	107	265	347
rffM	245	150	397	527
yifK	1558	752	1410	2055
hemY	1742	956	1329	1975
hemX	2504	1337	1606	2255
hemD	835	447	626	708
hemC	905	505	577	826
cyaA	3021	2312	4550	5944
dapF	1282	658	1111	1696
yigA	701	391	680	1012
xerC	1137	555	1069	1450
yigB	595	267	593	794
uvrD	971	520	838	1244
yigE	54	34	47	72
corA	987	537	960	1391
rarD	132	85	158	201
pldA	862	553	995	1425
recQ	681	346	666	977
rhtC	498	266	403	580
rhtB	452	228	287	397
pldB	740	417	779	1103
yigL	431	244	454	633
yigM	109	62	124	150
metR	445	251	344	510
ysgA	995	604	726	1071
udp	1787	984	806	1280
rmuC	1028	450	328	429
ubiE	1797	999	1497	2070
yigP	843	426	341	538
ubiB	1433	748	1246	1776
tatC	855	489	853	1264
tatD	347	183	278	417
ubiD	3095	1528	1945	2855
fre	2098	1063	1350	2032
fadA	1595	613	108	157
fadB	5725	2062	220	275
pepQ	4458	2524	3657	5104
yigZ	518	285	405	628
trkH	701	434	706	982
yihE	1225	785	1533	2007
dsbA	3075	1754	3608	5027
yihG	98	55	127	171
polA	4214	2118	3180	4311
hemN	1129	633	976	1399
glnG	660	315	635	968
glnL	535	263	538	737
glnA	4478	2858	6752	8620
bipA	8281	5336	13873	21448
yihL	177	101	108	156
yihM	424	199	152	194
yihN	184	101	47	68
ompL	22	8	13	9
yihO	47	34	32	32
yihP	24	14	28	43
yihQ	45	35	28	26
yihS	127	69	64	92
yihT	70	41	30	44
yihU	46	13	16	12
yihV	117	54	47	58
yihW	677	315	291	398
rbn	950	406	412	578
yiiD	1659	833	1211	1762
fdhE	588	284	338	500
fdoI	291	152	135	154
fdoH	444	231	135	212
fdoG	3997	2247	1626	2231
fdhD	388	207	325	539
frvB	20	16	15	29
rhaD	10	6	13	27
rhaA	17	11	14	28
rhaS	120	57	29	41
rhaR	95	37	37	49
sodA	31956	18070	32206	37809
kdgT	150	67	95	121
yiiM	477	262	402	523
cpxA	1884	1037	1537	2257
cpxR	2125	1247	1681	2433
fieF	1322	781	1321	1750
pfkA	4282	2588	4770	7143
sbp	1322	638	1225	1595
cdh	155	101	232	327
tpiA	7417	4474	8947	13466
fpr	1082	631	1012	1357
glpX	3549	1667	604	868
glpK	114725	49867	10067	14086
glpF	41923	17569	2347	2677
menA	481	278	477	668
hslU	2961	1840	3096	4503
ftsN	844	465	766	1072
cytR	1188	513	693	859
yiiX	113	58	235	351
metB	1803	943	1863	2135
metL	1984	984	1833	2988
metF	3952	2186	5735	8489
katG	8337	4471	4861	7665
yijE	98	46	90	117
yijF	12	9	12	19
gldA	199	108	103	191
fsaB	58	32	33	44
ptsA	65	28	25	42
frwC	73	33	12	17
pflD	144	70	74	126
pflC	65	28	24	53
yijO	61	32	60	53
yijP	727	402	1020	1237
ppc	7217	4581	9389	13235
argE	1746	954	2380	3492
argC	2565	1154	3400	4794
argB	2310	962	2756	4113
argH	3809	1686	4691	7738
oxyR	1450	864	1280	1887
sthA	3638	1960	1071	1366
fabR	3855	1730	1629	2173
trmA	970	567	813	1097
btuB	2556	1321	2290	3049
murI	269	182	230	362
murB	1960	1028	2073	2802
birA	715	360	766	1033
coaA	1398	742	1132	1500
tufB	163491	86230	149249	226426
rplA	24218	13173	26843	40361
rpoB	45068	25144	36343	53371
rpoC	45413	24416	36523	59020
thiH	2978	1841	3028	4179
thiG	1586	991	1439	2048
thiF	1809	994	1557	2284
thiE	1484	944	1332	2005
thiC	5701	3522	5570	7354
nudC	538	282	547	767
hemE	636	391	726	1051
nfi	309	159	279	461
yjaH	535	295	438	581
zraR	368	192	240	364
purD	1263	758	1663	2648
purH	1236	833	1839	2800
metA	2653	1441	3174	4665
aceA	65448	35218	14563	22214
aceK	7990	4299	2420	3354
iclR	929	569	973	1201
metH	7125	3736	7792	10602
yjbB	437	233	318	489
pepE	637	268	84	157
yjbC	456	272	644	854
lysC	2801	1494	5476	7951
pgi	8233	4844	10170	14411
yjbF	3	1	8	12
yjbG	5	6	8	11
yjbH	88	42	57	74
xylE	75	46	73	106
malG	521	285	41	58
malF	2060	951	122	143
malE	21429	10426	1274	1617
malK	5480	2452	243	271
malM	1808	924	159	186
ubiA	905	429	550	769
plsB	3183	1667	2437	3502
lexA	1670	928	1183	1737
dinF	139	81	122	180
yjbM	11	10	7	18
yjbN	590	394	678	938
qor	1239	709	757	1110
dnaB	1378	732	1450	2046
alr	503	297	544	811
tyrB	3675	2093	3219	4768
aphA	1276	451	148	207
uvrA	1065	656	852	1169
yjcC	172	95	131	166
yjcE	597	364	573	866
actP	7099	3164	134	193
acs	29064	11625	899	1224
nrfA	101	49	60	99
nrfC	6	6	7	6
nrfD	20	8	9	10
gltP	299	200	854	1338
yjcO	703	368	357	440
fdhF	355	195	241	386
yjcQ	37	21	38	35
yjcR	12	11	13	20
phnL	22	13	20	22
phnK	28	13	6	19
phnJ	5	2	2	1
phnI	3	2	1	3
phnF	3	1	3	5
phnD	10	6	3	10
phnC	10	4	0	6
yjcZ	3956	2270	1487	2231
proP	2081	1705	3017	4384
basS	224	144	169	198
basR	208	85	99	165
eptA	119	55	63	103
adiC	23	8	13	23
adiY	9	10	12	17
adiA	79	34	50	51
melR	376	156	85	129
melA	303	147	55	92
melB	172	89	86	113
yjdF	161	83	174	235
fumB	298	122	80	110
dcuB	32	20	21	30
dcuR	709	340	308	443
dcuS	1193	594	584	729
lysU	845	499	879	1218
yjdL	129	64	95	136
cadA	99	46	95	95
cadB	13	5	3	11
cadC	68	43	50	89
dipZ	676	405	588	798
dcuA	2433	1505	1836	2532
aspA	9153	3662	977	1374
yjeH	280	170	267	423
groL	44142	27485	40410	61987
yjeJ	459	264	351	466
yjeK	581	321	671	879
frdB	750	309	166	262
frdA	2287	881	441	797
poxA	246	136	254	385
yjeP	665	405	575	868
psd	1143	693	874	1221
rsgA	2129	1138	1725	2285
yjeS	425	216	330	438
yjeF	650	258	413	561
amiB	783	496	714	1096
mutL	1063	560	954	1293
miaA	8048	4535	5985	8590
hflX	6801	3826	5662	7978
hflK	5915	3499	5095	7364
hflC	4638	2790	4236	6143
purA	12336	7060	9093	13210
rnr	3886	2173	3533	5435
rlmB	451	284	425	706
yjfJ	20	15	14	17
yjfK	20	11	6	13
yjfC	20	4	23	42
aidB	264	158	177	262
yjfP	184	123	187	261
ulaR	489	237	369	488
ulaG	57	33	63	106
ulaA	53	34	20	20
ulaD	90	47	47	86
ulaE	96	37	51	84
ulaF	55	27	44	52
ytfB	1087	580	783	1017
fklB	650	360	613	715
cycA	4142	1799	1383	2226
ytfE	88	38	56	84
ytfF	66	44	42	72
ytfG	144	72	106	135
cpdB	2524	1097	1021	1367
cysQ	1147	575	703	1101
ytfL	260	158	166	259
msrA	359	223	274	352
ytfM	809	450	861	1295
ytfQ	1000	360	113	142
ytfT	90	32	16	36
yjfF	121	39	41	55
fbp	899	500	832	1130
mpl	1865	1022	1903	2772
pmbA	1383	795	1357	1943
nrdD	529	278	247	376
treC	232	104	54	91
treB	405	166	56	98
treR	205	135	165	214
mgtA	5325	2811	5191	6762
pyrB	13359	7167	9665	13557
yjgI	31	23	40	39
argI	3653	1584	3997	6088
valS	7928	4605	8826	13520
pepA	4719	2592	4109	6436
yjgP	1457	878	1340	1925
yjgQ	897	500	817	1234
yjgB	278	153	135	203
yjhT	312	171	168	241
yjhA	82	44	26	45
fimB	384	274	676	861
fimC	401	275	366	472
fimH	135	97	135	176
gntP	461	174	56	90
uxuA	895	422	159	290
uxuB	871	427	186	310
uxuR	555	286	396	622
yjiE	188	104	217	287
iadA	488	316	629	910
yjiH	14	12	23	28
yjiK	116	64	67	81
hgdC	58	22	7	20
yjiM	252	88	40	43
yjiN	127	61	98	140
yjiY	180	78	70	71
tsr	20189	10695	16027	23175
mdoB	1945	1117	1527	2089
dnaC	280	185	207	309
yjjP	61	35	39	52
yjjQ	6	3	4	5
bglJ	226	104	196	252
rsmC	520	320	530	743
yjjG	227	114	189	326
prfC	1775	1033	2587	3758
osmY	3084	1788	1804	2477
yjjU	723	378	543	849
yjjW	34	12	27	62
yjjI	64	47	67	87
deoC	311	173	240	384
deoA	706	332	326	520
deoB	1876	1037	1045	1561
deoD	2762	1537	2084	2904
ytjB	262	181	264	351
serB	836	416	870	1260
radA	988	571	1140	1690
nadR	886	468	1097	1553
slt	1256	636	868	1336
ytjC	1314	567	575	863
rob	1365	744	1125	1544
creB	506	279	569	837
creC	308	166	276	384
arcA	7551	4056	4094	5336
yjtD	232	143	240	290
