	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2	IAI1_K12ref_batch1	IAI1_K12ref_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
gloB	255	213	390	308	160	143	616	757	998	462	68	51	638	798	1052	490	73	55	241	204	373	294	150	139
yafS	235	159	281	254	180	173	373	495	487	264	25	29	380	508	493	269	25	29	229	156	277	246	177	169
dnaQ	530	422	587	487	420	355	908	1220	958	520	92	85	1056	1407	1085	608	105	101	454	360	505	417	377	305
yafT	9	9	17	15	6	1	11	15	6	6	0	0	11	16	7	6	0	0	9	9	17	15	6	1
yafV	149	103	165	140	103	98	210	272	316	193	48	53	227	291	341	211	57	60	135	96	150	132	100	86
fadE	198	154	1180	943	947	708	314	449	2422	1046	1796	1959	341	498	2657	1154	1954	2153	183	144	1087	858	871	656
yafJ	395	297	379	308	385	286	594	827	677	374	10	11	639	891	730	405	11	11	374	282	352	287	365	272
yafK	799	614	739	624	244	209	1390	1916	1633	914	23	21	1468	2013	1714	954	24	22	763	592	697	603	237	202
dinB	103	68	79	64	116	81	126	209	167	108	49	54	138	224	187	116	54	60	100	67	74	59	110	83
pepD	2633	1786	3004	2770	958	755	4854	6600	5625	3268	135	157	5011	6867	5823	3386	142	163	2514	1707	2869	2653	898	732
frsA	347	235	368	293	423	322	378	550	448	279	45	32	425	608	489	295	52	33	328	225	346	281	403	312
phoE	57	49	106	82	135	108	43	33	30	22	2	1	49	40	32	26	1	1	51	43	88	67	92	79
proB	1388	869	856	731	309	242	1510	2415	1955	1119	41	49	1535	2451	1983	1133	41	49	1355	843	834	714	301	235
proA	1734	1202	1435	1276	511	394	2255	3508	2753	1682	137	138	2284	3574	2781	1704	139	139	1702	1174	1409	1254	506	390
yagR	11	4	15	13	25	16	22	37	55	29	14	15	22	38	55	29	14	15	11	4	13	13	24	16
yagS	4	0	6	1	4	4	3	8	12	10	2	2	3	8	12	11	2	2	4	0	6	1	4	4
yagT	4	2	7	3	5	10	7	8	11	10	3	3	7	8	11	10	3	3	4	2	7	3	5	10
yagU	414	337	252	222	185	138	633	938	456	257	26	42	633	938	456	257	26	42	414	337	252	222	185	138
yagV	159	109	305	620	31	9	45	38	43	19	4	3	47	44	47	20	4	4	151	101	283	581	29	9
yagW	468	359	921	1960	67	38	78	112	114	87	11	8	79	112	115	87	11	8	458	350	900	1906	67	37
yagX	1006	677	1336	2834	141	46	72	99	90	48	9	13	74	101	92	48	8	13	993	665	1309	2788	138	45
yagY	503	331	545	1316	90	29	13	16	17	13	1	1	14	16	17	13	1	1	502	331	545	1314	90	29
insF	32	25	44	45	26	20	232	304	367	254	9	15	1303	1798	2236	1502	45	90	170	146	235	235	135	105
ykgC	40	29	66	39	41	15	92	148	238	123	30	34	93	150	244	127	31	35	40	29	65	38	41	15
ykgD	62	62	90	77	48	38	62	87	116	54	8	6	64	88	116	54	8	6	62	62	90	77	47	38
ykgE	92	67	1456	1206	637	615	62	59	331	130	13	16	62	59	331	131	13	17	91	66	1450	1198	635	613
ykgF	160	138	2370	2116	1122	890	124	202	619	195	28	18	125	202	624	197	28	18	158	136	2349	2100	1117	887
ykgG	131	95	1193	1037	726	545	96	150	288	135	7	8	115	169	326	153	8	7	112	77	1045	924	631	480
betA	353	244	173	166	66	62	294	448	286	150	1	4	327	509	321	177	1	4	314	198	148	141	54	52
betT	336	268	346	292	206	169	410	633	524	288	100	104	430	668	540	298	105	111	317	256	328	280	193	157
yahB	85	58	144	123	103	69	153	199	240	97	18	9	168	221	247	106	18	9	77	58	134	116	96	65
yahD	26	15	35	25	20	13	71	83	103	53	9	10	71	83	103	53	9	10	26	15	35	25	20	13
yahG	3	7	4	8	5	7	18	26	22	13	2	1	31	38	35	19	2	1	3	6	4	7	3	5
yahI	15	13	19	17	11	1	11	19	21	13	0	2	12	27	26	20	0	2	15	8	14	11	8	0
yahJ	68	42	82	68	38	18	164	252	232	141	10	9	194	306	269	181	13	9	52	37	65	57	31	16
yahK	108	92	283	289	340	198	667	919	1635	790	58	57	677	939	1664	799	58	57	107	92	279	283	337	194
yahN	12	13	47	39	338	371	10	15	44	28	29	21	10	15	46	31	29	21	12	13	44	37	330	354
prpR	22	14	131	95	110	70	36	35	326	142	80	121	39	38	358	156	85	133	22	14	119	89	98	67
prpB	3	1	58	55	130	130	1	1	362	43	100	250	2	2	415	45	112	282	3	1	52	46	113	117
prpC	9	6	103	74	108	128	7	13	239	46	10	49	8	14	289	52	12	59	9	5	91	68	95	114
prpD	14	7	154	106	150	113	15	14	335	55	26	47	15	14	350	58	28	52	14	7	146	97	140	105
prpE	30	16	272	194	213	215	32	37	512	87	22	65	32	38	528	89	24	67	27	14	253	178	199	205
codB	798	600	368	404	33	17	3072	4907	2814	1684	5	9	3317	5340	3069	1856	6	10	741	558	342	372	30	17
codA	1021	792	479	479	87	69	5187	8081	4757	2540	19	27	5522	8641	5053	2710	22	29	1007	774	471	468	86	67
cynT	14	5	17	16	7	14	15	33	37	17	4	1	15	33	37	17	4	1	14	5	17	16	7	14
cynX	12	6	18	8	9	9	21	24	23	19	1	0	21	26	25	21	1	0	12	6	18	8	7	8
lacY	14	12	32	31	63	74	32	46	58	28	13	9	32	49	62	29	13	9	12	12	31	30	60	72
lacI	264	173	737	594	642	426	282	383	853	309	117	137	299	412	894	324	119	139	257	167	718	585	626	417
mhpR	100	72	1601	1421	2249	1796	264	337	2400	700	513	615	274	347	2401	695	528	602	95	65	1395	1253	1961	1567
mhpB	3	4	15	13	7	4	9	25	27	16	0	1	9	26	30	17	0	1	3	4	18	13	7	4
mhpC	12	15	38	33	5	12	32	49	52	40	1	2	34	50	55	41	1	2	12	14	36	32	5	12
mhpD	12	7	31	26	5	5	28	46	45	34	1	1	29	51	47	42	1	1	10	7	30	24	5	5
mhpF	25	9	39	44	12	12	45	51	67	35	3	5	49	53	69	35	3	5	25	9	38	43	12	11
mhpE	28	19	57	51	16	16	41	62	101	46	6	5	41	62	101	46	6	5	28	19	57	51	16	16
mhpT	32	21	53	54	28	32	46	85	98	50	14	19	48	91	101	54	16	22	28	18	45	52	25	29
frmA	376	251	398	395	37	32	505	763	795	509	25	27	548	831	867	559	28	27	353	231	362	369	34	29
yaiO	16	13	55	52	200	124	27	30	43	23	38	36	28	31	44	24	42	39	15	13	53	49	184	116
yaiP	19	8	17	12	14	9	33	31	42	24	12	12	34	33	45	24	12	12	20	8	17	13	15	9
tauA	58	47	32	39	10	5	21	39	63	33	2	3	25	45	71	35	2	3	57	46	28	38	9	5
tauB	38	16	20	21	7	6	19	37	48	25	0	1	20	37	50	25	0	1	38	16	20	21	7	6
tauD	36	23	30	25	14	8	31	40	48	25	5	2	37	48	53	31	7	2	33	22	26	22	14	7
hemB	1068	828	962	882	275	237	1565	2054	1288	813	19	5	1667	2225	1393	881	19	5	1004	787	914	844	260	229
yaiV	10	8	13	11	35	48	12	22	33	15	1	1	12	22	33	15	0	1	10	8	13	11	34	47
ampH	233	134	285	239	57	45	338	450	563	303	9	16	347	465	583	312	9	17	227	126	273	227	55	44
sbmA	139	88	212	182	62	62	311	396	395	251	27	53	340	434	435	265	33	60	137	82	208	179	58	56
yaiW	273	183	341	313	140	104	434	621	581	311	31	40	453	647	611	331	33	42	259	171	323	296	133	97
ddlA	1133	862	2134	1798	935	657	974	1473	1309	726	81	70	1017	1537	1366	754	87	73	1070	818	2007	1708	888	623
phoA	140	90	224	182	118	92	277	332	491	262	17	17	279	335	496	267	17	17	136	87	222	179	118	91
yaiC	14	13	23	21	22	21	35	41	34	22	7	19	35	43	35	22	7	19	14	13	23	21	21	21
proC	272	143	178	170	91	82	258	321	427	204	11	13	258	322	428	204	11	13	272	143	178	170	91	82
aroM	144	120	82	79	41	28	219	337	416	205	14	21	219	340	419	208	14	22	138	119	81	75	40	28
rdgC	1382	932	1013	991	134	90	1460	1808	1157	675	19	24	1598	1972	1278	726	19	26	1265	859	939	923	117	77
mak	200	144	504	434	382	289	337	491	686	350	101	113	351	519	723	362	107	117	191	132	473	413	359	274
araJ	112	96	127	95	81	61	101	165	128	74	23	17	114	187	158	88	24	18	96	79	99	82	62	47
sbcD	225	168	284	241	80	39	201	311	282	152	7	9	211	329	291	163	7	9	218	163	275	232	76	37
phoB	148	119	189	179	83	64	191	251	248	196	18	16	194	254	250	196	18	16	148	118	189	179	83	64
phoR	134	92	154	169	72	65	172	208	193	125	5	9	177	215	198	129	6	9	129	91	149	166	69	64
brnQ	358	289	208	179	1098	922	472	784	362	211	272	310	479	788	364	211	275	315	354	286	206	180	1081	904
proY	350	286	246	217	226	200	390	564	359	216	14	26	402	570	368	222	14	26	332	279	238	212	218	195
malZ	296	208	309	313	98	73	366	530	469	268	16	15	394	561	497	289	17	15	286	198	290	294	91	72
queA	304	184	100	84	15	11	423	563	321	211	2	2	445	599	344	221	2	2	291	170	92	79	15	11
tgt	2566	1841	2801	2474	393	304	4179	5237	6108	2823	47	36	4179	5237	6108	2824	47	36	2565	1840	2801	2474	393	304
secD	7142	5128	7061	6604	803	590	7020	10354	8798	4701	115	121	7401	10960	9276	4972	118	127	6771	4789	6695	6225	763	562
secF	4078	2730	3694	3517	986	735	3264	4880	4077	2274	177	187	3362	5028	4193	2338	181	193	3922	2630	3562	3366	962	712
tsx	2930	2218	5387	4529	2529	2090	3729	5372	5189	2497	122	110	3753	5406	5219	2515	125	110	2907	2192	5337	4486	2507	2078
ribD	642	395	625	576	404	343	749	1110	902	564	37	56	785	1175	965	594	37	58	613	370	601	545	383	330
thiL	307	244	256	196	53	48	411	585	488	272	5	9	430	629	516	291	6	9	283	225	242	188	48	47
yajO	199	155	1319	1105	771	591	658	949	1534	727	929	924	782	1100	1877	885	1109	1111	175	134	1153	984	681	524
dxs	896	680	1110	1009	184	125	1623	2310	2509	1283	35	49	1757	2499	2718	1379	38	52	838	647	1028	946	172	115
ispA	560	335	657	600	118	71	732	959	1135	567	12	15	789	1030	1205	600	12	16	522	313	622	562	113	68
thiI	863	638	393	372	88	66	1055	1578	743	486	33	44	1128	1691	802	513	34	45	790	576	360	346	83	62
panE	264	199	247	217	160	126	481	729	417	229	102	110	549	828	474	274	118	127	240	175	216	195	147	115
yajR	293	207	295	243	111	88	298	457	343	201	9	14	330	492	382	219	10	14	280	196	268	231	104	84
