	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2	IAI1_K12ref_batch1	IAI1_K12ref_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
fcl	17	9	22	26	8	4	52	49	23	11	0	0	70	58	28	14	0	0	11	7	20	21	4	4
gmd	17	9	33	20	8	7	84	119	38	29	0	0	87	126	39	29	0	0	17	9	30	20	7	7
wcaE	3	3	8	2	2	4	16	22	8	7	0	0	18	22	8	7	0	0	3	3	8	2	2	4
wcaD	6	3	17	13	6	3	32	35	19	19	4	1	37	42	26	22	6	2	4	3	16	10	4	2
wcaC	15	10	18	17	9	8	24	52	46	22	1	1	31	67	53	25	1	2	11	10	14	12	9	6
wcaA	6	2	11	7	5	6	16	25	13	10	1	1	16	26	13	10	1	1	6	2	11	7	5	5
wzc	22	16	31	27	22	23	42	53	34	16	2	0	47	64	35	17	2	0	20	15	28	26	20	22
wza	8	4	6	3	3	3	27	18	7	5	0	2	30	20	9	5	0	2	8	3	6	3	3	2
yegH	500	399	427	370	209	178	458	648	463	256	123	136	500	706	504	280	130	149	481	384	397	343	198	169
asmA	1142	758	1601	1229	659	482	1369	1900	2201	1082	60	67	1413	1963	2246	1130	63	72	1095	740	1528	1176	636	467
udk	424	321	365	313	38	37	434	537	399	254	2	6	434	539	400	254	2	6	424	319	365	311	38	37
yegL	10	4	18	12	3	2	12	27	26	7	0	2	24	34	39	12	0	3	9	4	13	9	1	1
mdtA	36	34	35	32	17	19	80	89	74	58	9	6	85	100	84	65	12	6	35	33	33	30	16	19
mdtB	111	82	105	79	19	20	132	190	197	110	10	9	144	211	217	118	11	11	104	73	101	76	18	17
mdtC	82	78	100	84	20	9	141	196	200	100	7	12	144	216	219	108	7	12	74	72	92	78	20	9
baeS	69	55	60	62	15	8	57	116	105	68	5	7	61	124	117	74	5	9	64	49	57	57	15	7
baeR	146	95	132	111	125	91	197	243	205	158	15	18	183	225	194	150	15	18	140	90	126	108	120	90
yegQ	621	445	241	243	68	55	658	830	526	347	13	20	659	830	526	347	13	20	621	445	241	243	68	55
yegS	23	24	51	41	71	48	146	184	298	181	57	58	154	189	312	192	60	61	17	19	43	34	61	41
gatD	19	13	34	28	63	31	945	1314	9032	3752	54	70	981	1399	9551	3966	59	77	19	12	32	27	57	29
gatZ	3	10	42	50	30	19	24777	33136	138196	53318	5889	6069	24870	33291	138739	53535	5940	6121	3	10	42	49	31	19
gatY	5	5	34	28	35	18	23410	32368	114869	46727	7161	6805	23621	32651	115782	47113	7189	6833	5	5	33	28	35	18
fbaB	405	306	1360	1181	576	401	1728	2369	5116	2556	464	548	1782	2482	5305	2643	482	563	396	298	1333	1151	560	385
yegT	59	35	130	101	41	34	66	98	140	85	6	2	66	99	142	86	6	2	59	35	128	100	40	34
yegU	63	53	116	91	23	24	84	123	185	86	4	3	88	124	194	87	4	3	60	51	112	89	21	21
yegV	62	33	89	82	34	22	72	104	160	79	2	5	74	105	163	79	2	5	62	32	89	81	34	22
yegW	128	82	194	146	98	58	155	201	177	99	9	14	155	201	177	99	9	14	128	82	194	146	98	58
yegX	142	85	109	86	12	18	232	319	242	109	4	8	253	337	260	118	4	8	138	83	107	84	12	17
thiD	1423	844	1606	1374	118	80	759	1094	932	503	17	14	770	1122	946	509	17	14	1377	815	1562	1339	117	76
thiM	1568	986	1869	1531	92	85	1416	1891	1713	924	17	11	1542	2049	1852	1001	19	12	1504	943	1820	1473	89	83
rncA	46	39	63	61	74	45	53	57	53	32	2	3	58	63	57	37	2	3	44	37	55	55	70	44
yehA	12	8	28	28	27	25	18	26	26	13	2	5	18	27	27	14	2	5	12	8	28	27	27	24
yehC	0	1	0	0	1	0	4	2	0	1	0	0	5	3	0	2	0	0	0	1	0	0	0	0
mrp	2349	1812	2013	1975	1027	850	3218	4533	2991	1839	93	101	3858	5419	3604	2192	122	133	1955	1515	1677	1658	855	697
metG	3024	1825	2138	2146	514	451	1913	2617	1958	1230	21	22	2238	3022	2279	1443	25	27	2640	1590	1887	1912	397	358
yehL	23	15	24	10	7	9	1	2	7	4	0	0	1	3	8	4	0	0	13	9	17	9	3	8
yehP	24	28	37	37	8	3	11	10	15	8	1	4	11	10	21	11	3	4	19	27	32	29	9	4
yehT	262	201	793	636	268	170	281	389	654	305	9	15	281	389	654	306	9	14	262	201	792	635	268	170
yehU	490	347	1551	1260	992	774	599	651	1322	557	33	39	609	661	1355	572	34	40	477	329	1493	1212	934	735
mlrA	38	19	54	51	58	46	91	138	216	130	20	28	95	150	227	135	19	32	37	19	54	48	55	45
yehW	17	15	27	14	6	4	46	48	101	40	6	1	48	54	107	43	6	3	19	16	30	17	7	4
yehX	26	19	34	26	15	6	54	109	153	81	10	9	56	112	157	82	10	9	22	19	33	25	14	6
yehY	18	5	28	18	10	8	58	97	171	87	8	6	59	98	179	91	8	6	15	4	25	15	9	8
yehZ	26	17	44	27	48	40	143	249	441	225	86	105	143	249	442	225	86	105	26	17	44	27	47	40
bglX	1898	1294	2015	1940	415	289	1713	2625	1966	1056	55	62	1742	2680	1998	1079	56	64	1849	1270	1970	1912	407	281
dld	1770	1129	5144	4611	1631	1271	2752	3892	4837	2543	85	111	2850	4061	5011	2635	85	115	1714	1089	4988	4453	1579	1234
pbpG	453	315	443	427	183	151	638	835	651	354	17	13	638	835	651	356	17	14	452	314	442	427	182	151
yohF	33	15	35	27	52	42	71	80	157	97	97	116	93	113	213	126	129	156	26	9	29	21	39	37
dusC	392	239	291	217	37	35	172	229	136	85	4	6	183	251	159	90	4	6	361	221	274	202	34	34
yohK	35	18	32	24	42	22	48	69	66	49	34	59	48	69	66	49	34	59	35	18	32	24	42	22
cdd	69	49	444	393	367	300	118	209	318	171	75	90	122	213	330	180	79	91	67	48	419	369	345	285
sanA	160	87	131	87	82	59	164	225	159	92	5	5	165	226	160	92	5	5	160	87	131	87	82	58
yeiT	38	37	674	650	1590	1169	47	68	258	122	20	31	50	69	268	127	20	32	37	37	663	627	1543	1127
yeiA	70	67	790	649	1211	842	78	96	394	164	36	39	79	99	402	168	37	40	69	64	775	636	1193	824
mglC	337	263	3127	2770	700	489	251	317	4938	1841	23	43	253	326	5006	1878	24	44	335	261	3106	2759	692	483
mglA	561	465	6085	5389	1773	1119	562	704	11074	3932	45	62	613	763	12035	4298	48	68	522	448	5750	5066	1673	1064
mglB	1455	1112	24056	21562	6956	5254	1209	1745	34380	14482	324	324	1277	1830	36197	15214	333	334	1407	1065	23103	20741	6728	5069
galS	100	78	968	742	649	418	74	124	1058	396	22	35	66	116	1067	394	23	35	97	73	957	735	648	415
yeiB	348	188	164	143	36	19	349	484	305	184	3	5	380	517	326	200	3	7	349	188	161	136	34	20
folE	2469	1301	800	835	182	147	2056	2350	1432	937	6	6	2077	2358	1440	940	6	6	2458	1290	795	831	182	147
frmC	383	182	612	514	259	240	878	1178	1464	920	32	46	1242	1636	2069	1247	38	56	431	211	734	610	300	288
cirA	8202	2689	1873	1567	492	341	3073	4485	2699	1405	31	36	2852	4167	2542	1330	30	37	7540	2480	1685	1431	444	311
lysP	5929	3858	1854	1686	121	125	4683	6418	2929	1835	105	109	4691	6423	2934	1836	105	109	5920	3847	1851	1684	121	125
yeiE	182	109	285	229	159	128	343	420	406	276	114	101	344	422	409	277	115	101	180	108	283	229	159	126
yeiH	200	107	260	206	333	270	152	188	163	107	34	42	152	188	164	109	34	42	199	106	260	206	332	270
nfo	304	206	308	273	99	80	697	832	613	395	9	13	731	880	650	419	11	13	298	193	296	265	96	78
yeiJ	59	35	131	113	105	102	10	22	14	17	3	4	19	37	31	32	5	4	40	15	90	70	66	63
rihB	13	4	64	56	35	34	5	6	18	7	3	3	5	7	21	7	4	3	12	4	56	48	33	32
yeiL	19	18	112	57	112	79	15	19	47	23	3	8	18	21	54	24	4	9	18	16	108	53	107	74
yeiC	4	1	53	37	33	13	12	10	209	68	2	0	13	10	213	68	2	0	4	1	50	37	31	11
fruA	859	604	1209	1032	575	437	846	1473	1542	847	296	302	908	1593	1670	914	321	321	783	561	1120	957	536	407
fruK	476	286	557	463	190	162	459	700	779	407	94	110	463	703	781	408	94	111	473	286	557	460	190	161
fruB	473	293	489	468	140	100	443	726	699	415	51	59	449	732	703	419	52	61	479	294	491	471	141	102
setB	36	21	50	52	29	18	50	82	80	38	1	5	36	57	46	24	0	3	25	14	31	32	19	12
yeiQ	229	135	200	167	165	156	202	259	462	256	64	64	232	278	493	279	64	64	216	132	196	156	162	153
yeiR	237	208	182	165	10	14	265	365	246	144	0	1	267	366	248	145	0	1	236	207	181	164	10	14
yeiU	386	323	141	100	16	10	313	408	159	103	2	1	316	411	160	103	2	1	385	319	142	101	16	10
rtn	310	189	375	300	182	154	355	411	532	331	14	17	364	426	556	343	16	20	299	185	362	293	175	146
yejB	89	69	150	149	46	26	70	102	98	59	1	4	77	125	114	71	2	4	79	60	137	139	44	24
yejE	123	105	169	130	31	22	110	146	160	112	3	4	112	147	161	112	3	4	121	104	169	129	31	22
yejF	314	199	392	384	89	48	449	622	583	347	23	23	449	622	584	347	23	23	313	198	388	382	89	48
bcr	298	189	259	195	96	96	355	476	443	235	37	37	389	515	473	256	42	38	276	176	242	183	91	92
rsuA	449	301	274	251	97	50	562	712	467	319	9	9	625	787	508	371	9	9	393	277	247	231	89	44
yejH	63	39	45	40	28	22	80	102	85	63	3	3	88	110	99	69	3	3	55	33	38	35	25	21
yejK	1479	1099	1134	1066	384	338	1718	2459	1608	846	25	23	1814	2569	1714	886	31	23	1365	1019	1061	1010	356	321
yejM	780	509	870	674	126	111	917	1152	1238	629	30	43	934	1181	1253	646	31	44	773	495	851	659	122	108
narP	241	196	323	328	325	258	758	1197	924	521	43	42	878	1383	1068	592	47	47	247	208	315	335	323	254
ccmH	174	179	307	322	123	95	114	183	186	130	4	1	145	229	249	151	5	3	143	141	253	267	108	72
ccmF	283	293	374	363	73	39	153	236	235	106	2	7	182	289	287	137	2	7	245	248	304	316	70	31
ccmC	93	99	139	129	33	29	89	133	151	67	0	5	90	134	152	67	0	5	93	98	139	127	32	29
ccmB	68	57	64	82	29	17	54	73	74	40	1	4	56	75	79	40	1	4	63	55	64	80	29	17
ccmA	66	80	146	141	111	111	117	123	152	85	24	30	125	132	162	87	24	30	63	72	136	136	103	104
napC	95	121	220	215	148	141	149	254	313	141	18	28	149	254	313	141	18	28	95	121	220	215	148	141
napH	43	59	128	115	51	29	37	51	72	37	1	1	39	55	74	38	1	1	41	56	118	104	49	26
napG	44	64	126	117	35	18	24	42	54	32	1	1	24	42	54	32	1	1	44	64	126	117	35	18
napA	305	404	684	736	198	170	168	323	477	236	8	12	177	343	503	250	10	13	280	380	638	687	184	159
mqo	1095	694	128	116	20	24	1238	1829	236	146	10	6	1291	1916	249	154	10	8	1048	655	121	107	19	21
yojI	953	624	703	603	64	44	1224	1644	924	497	6	10	1350	1803	1036	551	7	12	866	568	647	542	58	37
alkB	23	20	28	24	34	20	33	23	36	18	8	13	34	25	39	18	8	13	21	18	28	21	33	19
ada	69	44	132	105	128	80	90	117	148	105	38	45	95	129	158	110	40	46	64	41	123	100	121	76
yojL	49	38	80	71	21	15	115	145	137	59	0	3	130	174	158	72	0	3	39	25	61	58	17	13
rcsB	1923	1343	2425	2217	1385	1056	3921	5057	4012	2301	178	228	3931	5079	4021	2308	179	228	1912	1339	2412	2207	1381	1054
rcsC	915	671	952	814	261	214	1296	1732	1379	769	48	35	1365	1834	1463	809	50	40	971	730	1017	882	296	237
yfaP	13	3	17	15	8	13	9	16	33	10	11	6	12	18	38	11	12	10	10	3	16	13	7	12
yfaQ	29	22	59	48	26	15	29	78	111	40	8	6	31	79	113	40	8	6	29	22	58	46	26	15
yfaT	1	2	4	2	2	3	5	11	8	4	0	0	5	11	8	4	0	0	1	3	5	2	2	3
gyrA	8946	6396	8148	7428	964	715	11819	18134	10828	6352	108	104	12108	18568	11092	6511	110	105	8781	6270	7981	7263	951	704
ubiG	443	277	485	416	49	48	450	599	547	306	7	9	529	690	627	346	7	9	410	253	436	362	42	41
nrdA	2307	1368	1833	1639	99	92	2236	2834	2604	1674	24	30	2492	3217	2922	1878	29	33	2050	1206	1621	1432	87	82
nrdB	1607	1123	1635	1512	165	120	1731	2675	1914	1168	38	46	1926	2959	2137	1318	44	50	1425	990	1461	1343	146	103
inaA	301	187	283	236	232	171	596	688	587	288	31	35	596	690	587	289	31	35	301	187	283	236	232	170
glpQ	331	247	3210	2701	1322	1021	3357	4917	58669	22142	2138	2294	3567	5236	62411	23644	2335	2459	308	229	2975	2466	1233	926
glpT	100	59	1575	1240	496	376	3398	4583	65214	23551	2195	2278	3546	4804	68349	24728	2281	2369	96	59	1513	1187	483	362
glpA	20	13	21	22	20	14	510	828	8019	3147	2431	2295	515	837	8081	3167	2451	2303	20	13	21	22	20	14
glpB	14	10	18	12	11	11	291	399	4667	1789	1280	1185	328	463	5284	2028	1481	1352	11	8	17	12	11	10
glpC	23	14	46	31	31	35	199	301	3090	1230	776	809	209	317	3180	1276	820	843	22	14	43	29	30	35
yfaY	333	223	297	246	193	152	501	763	570	324	30	24	525	798	593	334	33	26	321	218	290	243	183	147
ais	146	85	143	146	47	18	15	26	18	11	2	2	17	27	22	11	2	3	131	76	123	126	42	16
yfbE	547	374	1415	1130	162	132	104	119	189	102	16	24	104	117	178	99	15	23	503	347	1274	1032	157	120
yfbF	144	76	259	247	38	26	36	36	48	36	1	2	36	36	48	36	1	2	141	76	259	243	38	26
yfbG	360	251	717	623	82	52	106	159	228	118	6	6	113	168	234	123	6	7	353	245	703	608	79	52
yfbH	123	84	326	303	26	20	33	64	78	42	3	0	33	64	80	43	3	0	122	84	319	299	26	19
arnT	146	103	406	335	60	60	55	63	103	51	41	46	55	64	105	51	41	46	142	102	401	332	59	60
menE	341	266	278	235	25	16	322	540	301	173	13	6	345	585	332	182	14	6	309	245	248	215	22	12
menC	437	291	368	370	55	37	343	621	376	223	15	19	446	790	485	301	17	22	343	224	288	289	47	28
menB	780	557	666	651	88	64	889	1424	853	478	21	30	929	1513	908	509	22	33	702	504	620	596	83	62
yfbB	160	142	168	146	21	17	323	412	271	171	8	6	329	425	283	178	8	6	152	139	163	137	21	16
menD	252	199	311	286	52	51	282	411	315	172	21	27	286	426	328	178	21	27	248	196	298	279	49	49
menF	325	237	353	326	70	58	510	673	622	369	26	14	517	677	633	377	26	15	321	236	344	320	70	57
elaC	145	91	171	135	65	53	324	450	302	226	4	4	330	453	306	234	4	4	144	90	169	133	64	52
nuoN	2334	1580	2747	2429	695	650	1051	1900	2052	1283	52	98	1201	2153	2299	1429	60	103	2075	1422	2463	2177	628	586
nuoM	2164	1484	2474	2212	439	351	1410	2254	2437	1436	29	34	1414	2265	2451	1445	29	34	2152	1471	2465	2203	436	348
nuoL	3941	2699	4454	3970	1091	852	2679	4320	5194	2886	105	146	2740	4413	5309	2958	107	148	3876	2633	4370	3889	1065	842
nuoH	2602	1883	2765	2530	623	514	2528	3723	4651	2381	78	76	2528	3724	4656	2382	78	76	2601	1883	2763	2529	623	514
nuoG	8739	6362	9240	8690	2243	1628	7974	12403	15597	7707	253	298	8174	12737	15983	7900	260	303	8445	6171	8924	8387	2174	1576
nuoF	3788	2804	4013	3693	870	645	3172	5048	6760	3386	89	131	3729	5934	7917	3978	101	155	3329	2505	3543	3274	771	570
nuoC	4672	3515	5491	5075	2136	1564	4582	6514	9723	4848	180	217	4949	7006	10396	5175	188	225	4365	3288	5136	4757	2002	1456
nuoB	2457	1674	3580	3292	1959	1357	2248	3194	5449	2648	209	188	2357	3295	5668	2759	209	190	2424	1647	3539	3243	1932	1332
lrhA	636	565	3181	2811	6392	5384	1108	1779	2898	1330	546	678	1112	1785	2908	1333	547	677	633	565	3165	2805	6370	5372
yfbQ	690	464	1434	1392	905	759	774	1176	1132	658	18	27	775	1179	1133	659	18	27	688	464	1432	1390	904	756
yfbS	205	139	442	395	365	303	193	309	346	187	62	57	195	310	351	188	62	57	203	139	435	389	362	303
yfbT	1907	1345	1081	885	762	593	1575	2298	1504	883	161	158	1631	2375	1552	920	164	161	1854	1310	1055	858	753	578
ackA	2302	1554	3601	3501	1404	1249	1641	2202	2263	1264	538	515	1766	2341	2469	1371	603	578	2375	1605	3795	3672	1496	1336
pta	3849	2537	5469	5214	815	543	2409	3527	3673	2109	189	154	2411	3531	3677	2113	189	154	3847	2537	5468	5213	815	543
yfcF	111	58	108	88	39	23	166	181	201	125	14	12	167	182	201	125	14	12	111	58	108	88	39	23
yfcG	13	11	24	19	42	42	40	62	88	56	98	100	40	63	90	57	98	104	13	11	23	18	42	41
yfcH	691	437	702	662	945	771	763	1127	908	534	390	456	844	1249	1004	609	445	515	595	383	612	586	820	666
hisP	1338	909	1140	1099	160	109	921	1295	1222	573	6	11	924	1298	1229	573	6	11	1333	906	1136	1095	160	108
hisM	1094	758	954	866	171	133	713	899	903	435	13	8	717	908	913	441	13	9	1063	734	935	854	170	130
hisQ	2094	1634	2443	2162	430	287	1295	1720	2074	957	35	35	1325	1746	2099	969	37	35	2063	1618	2412	2130	425	285
hisJ	10536	7580	11776	10555	1233	942	7181	9629	10101	4285	217	206	7200	9659	10123	4298	218	207	10501	7561	11742	10525	1231	941
purF	4608	3337	2409	2228	209	179	3808	5587	2648	1638	23	23	3840	5623	2659	1648	22	23	4568	3312	2386	2213	205	178
dedD	569	370	634	512	318	233	614	1001	827	417	105	124	623	1007	829	419	106	125	567	367	631	511	317	231
folC	1061	762	943	868	395	309	1414	2115	1638	855	124	154	1465	2166	1667	875	124	154	1024	734	919	845	395	309
accD	5631	4128	5512	4702	1880	1601	5914	8945	6977	3831	126	140	5926	8958	6993	3837	126	140	5626	4125	5500	4695	1878	1599
truA	625	456	557	517	122	87	793	1120	998	598	85	85	835	1161	1028	619	86	90	589	433	525	489	114	82
usg	1225	873	997	968	140	100	858	1338	918	533	21	15	935	1442	989	588	23	16	1089	788	895	855	131	95
pdxB	1379	1008	1029	998	253	197	1433	2343	1452	886	27	35	1552	2525	1573	975	28	38	1281	929	949	923	229	185
flk	289	199	279	205	42	25	417	588	440	238	4	4	440	614	461	242	4	4	285	195	268	202	40	25
yfcJ	153	92	57	59	8	11	96	145	78	62	2	1	101	155	83	65	2	1	145	87	54	57	8	11
fabB	7074	4692	9821	9027	12369	10057	3573	5508	4142	2786	236	233	3667	5649	4238	2839	235	238	6940	4588	9614	8855	12141	9860
trmC	369	260	382	306	103	101	468	662	476	315	15	11	468	662	477	315	15	11	369	260	382	306	103	101
yfcA	380	290	328	345	179	138	485	610	429	224	8	4	525	654	451	249	8	5	341	263	307	308	164	130
mepA	537	354	425	376	109	79	469	825	550	333	7	7	483	845	562	341	7	7	529	347	420	372	109	79
aroC	1742	1084	1327	1119	245	196	2077	2977	2090	1243	25	23	2456	3529	2536	1500	30	27	1439	885	1105	924	206	159
prmB	1284	842	1277	1135	201	125	1540	2203	1646	965	17	16	1828	2611	1936	1104	22	16	1085	711	1080	961	167	106
yfcY	85	51	853	796	734	510	129	180	1421	534	370	411	140	190	1520	568	399	442	78	48	785	740	679	473
fadL	1106	682	1081	1006	707	523	857	974	3423	1435	444	446	904	1022	3592	1509	465	468	1046	650	1025	952	671	496
vacJ	1243	984	1645	1404	350	284	1631	2515	1351	762	145	189	1738	2647	1418	798	153	205	1264	996	1679	1406	349	290
yfdC	23	31	68	40	67	51	59	89	182	83	84	98	62	95	193	91	88	105	21	30	63	38	62	50
dsdA	131	90	98	98	69	63	228	274	197	128	15	19	229	277	199	129	15	19	126	89	97	95	64	61
emrY	18	14	13	8	27	19	29	22	14	9	2	3	30	22	15	9	2	3	17	14	13	7	27	17
emrK	19	14	11	10	33	21	31	37	32	15	22	43	33	44	35	17	22	51	16	13	10	9	26	19
evgA	460	361	143	139	32	25	980	1410	320	216	5	13	1016	1464	343	230	5	13	444	354	140	133	32	23
yfdE	25	23	41	26	65	52	21	45	48	13	77	81	21	45	48	13	77	81	25	23	41	26	64	52
yfdV	11	14	14	24	45	29	12	18	12	9	1	4	12	18	12	9	1	4	11	14	14	24	45	29
oxc	45	25	51	64	46	34	34	45	52	18	0	0	34	45	52	18	0	0	45	25	51	64	46	34
frc	60	31	43	62	27	31	37	50	41	19	0	1	37	50	41	19	0	1	60	31	43	62	27	31
yfdX	18	17	29	37	39	17	21	36	25	8	1	5	21	36	25	8	1	6	18	16	28	37	39	17
ddg	34	39	43	32	28	20	87	73	65	35	0	0	117	102	90	50	4	4	48	44	65	42	44	29
yfdZ	855	536	866	788	895	730	572	921	844	478	48	63	633	1057	938	551	56	70	724	453	726	671	764	633
ypdA	140	99	137	89	131	74	313	403	369	200	68	59	323	420	378	205	70	61	139	96	134	88	129	73
ypdB	165	124	196	164	240	164	335	509	428	212	83	74	335	509	428	212	83	74	165	124	196	164	240	164
ypdC	54	40	69	41	80	44	67	85	87	53	15	20	76	96	101	60	19	21	46	34	61	36	71	40
ypdD	56	53	103	90	24	28	56	75	118	63	2	3	61	85	132	72	2	3	52	49	96	84	23	28
ypdE	13	3	28	30	11	6	18	30	42	16	0	1	21	32	44	18	0	1	11	2	26	27	9	4
ypdF	16	15	53	38	16	12	16	25	56	29	0	3	17	26	67	31	0	3	16	15	50	34	14	11
ypdG	17	9	47	38	23	14	8	14	24	12	2	1	11	15	27	16	2	1	16	9	41	33	22	8
glk	937	614	984	828	653	522	883	1278	1769	923	111	119	930	1358	1848	968	117	124	873	584	934	781	617	490
yfeO	70	50	116	103	126	117	114	151	190	113	49	51	115	157	195	114	49	52	67	49	114	102	124	114
mntH	451	302	416	382	1309	923	741	938	847	509	1100	1180	789	1013	918	543	1177	1249	417	281	386	353	1219	865
nupC	2371	1823	2472	2140	651	596	797	1176	885	539	22	22	870	1286	965	589	23	24	2199	1695	2294	1992	611	560
yfeA	399	356	563	448	187	167	668	857	743	412	19	21	674	868	749	412	19	21	399	355	563	448	187	167
gltX	3307	2523	2310	2143	418	332	6865	9729	5581	3237	66	77	7044	9991	5728	3320	66	79	3266	2483	2282	2095	413	326
yfeR	91	66	116	100	97	76	116	163	162	101	16	10	121	171	166	103	16	12	90	66	117	100	98	77
yfeH	725	454	515	410	286	317	549	805	677	358	53	61	430	627	529	290	38	50	578	372	423	318	236	281
ligA	884	591	916	802	304	246	1024	1541	1117	612	76	78	1112	1669	1193	648	83	79	917	607	937	826	315	257
zipA	2879	1965	3328	3112	2792	2195	3625	5232	4455	2255	319	418	3636	5251	4473	2263	320	419	2868	1962	3316	3096	2786	2191
cysZ	168	150	387	303	500	447	261	355	381	228	35	35	264	361	388	233	35	35	167	148	373	300	493	440
cysK	20013	15004	18922	18332	1806	1373	28616	41859	36048	17702	188	248	29380	42910	36987	18154	195	252	19553	14683	18498	17921	1778	1337
ptsI	32290	22767	25773	23771	3926	3391	36054	51630	45565	26519	2256	2488	36131	51724	45644	26560	2259	2489	32245	22736	25737	23743	3924	3389
pdxK	687	492	558	577	158	129	690	1080	685	368	23	30	732	1140	718	387	25	32	644	467	521	551	140	118
cysM	2579	1704	1398	1433	69	43	3273	4439	3598	1615	19	25	3830	5320	4221	1907	22	28	2261	1491	1241	1277	62	40
cysA	2950	1875	1940	1963	74	54	1707	2595	2727	1262	27	28	2449	3554	3742	1670	35	34	2342	1483	1524	1528	57	43
cysW	1682	1064	1217	1095	42	33	1177	1667	1836	802	8	10	1307	1880	2064	892	10	13	1525	953	1111	1010	38	29
cysU	1347	915	854	823	25	30	1188	1694	1764	682	6	17	1241	1759	1838	711	7	17	1282	867	810	792	24	30
cysP	3181	2024	2337	2011	116	64	2583	4032	4240	1922	18	27	2583	4032	4240	1922	18	27	3181	2024	2337	2011	116	64
ucpA	816	517	7036	6406	7663	6724	784	1032	3992	1529	1703	1554	815	1085	4154	1595	1814	1651	790	499	6726	6111	7276	6437
yfeT	53	53	139	128	49	42	70	142	127	58	10	6	72	148	130	59	10	7	51	50	128	125	49	41
yfeU	108	54	269	218	397	330	42	69	173	68	28	29	47	85	206	82	32	34	87	45	228	186	334	279
murP	51	56	230	198	464	343	74	101	181	70	34	30	78	104	188	71	36	30	48	55	212	183	433	323
murQ	87	74	402	370	586	509	75	109	211	111	24	23	80	121	230	123	25	26	79	68	370	343	539	466
yfeX	924	687	864	780	502	372	1550	2240	2022	1105	47	59	1556	2243	2025	1106	47	59	923	687	863	779	502	371
amiA	461	302	397	299	119	111	750	1144	743	455	48	44	785	1195	791	476	48	47	439	291	378	286	113	108
hemF	195	127	176	134	47	22	200	321	238	140	4	14	231	373	279	159	4	16	167	106	145	119	43	22
yfeG	46	15	61	59	22	26	79	143	151	54	4	7	91	148	162	60	4	8	37	12	50	54	19	21
eutL	36	31	59	45	23	19	80	125	133	54	5	4	118	156	184	80	9	7	25	22	41	33	17	15
eutC	17	19	53	52	26	15	122	200	180	110	7	10	127	206	187	115	8	10	17	17	52	51	25	14
eutB	38	30	86	93	32	22	597	874	851	549	44	51	628	937	905	590	47	52	33	27	82	91	32	22
eutA	6	7	28	28	12	14	8	10	15	7	0	2	8	11	17	9	0	3	6	4	27	26	11	13
eutH	21	10	54	40	19	13	14	25	24	14	7	11	14	26	25	15	7	12	18	10	49	36	19	12
eutG	7	6	25	23	8	11	11	22	22	13	1	0	11	25	25	14	2	0	7	5	23	19	5	10
eutJ	5	2	7	10	1	2	6	8	14	11	3	0	7	8	15	11	3	0	5	2	5	9	1	2
eutE	10	5	17	25	11	7	17	21	27	9	2	2	21	22	32	11	2	2	9	5	13	18	9	6
eutI	9	10	137	116	102	84	23	25	71	46	4	3	23	28	72	46	4	3	9	10	137	113	102	83
eutT	11	7	86	84	50	41	7	17	38	23	2	3	7	17	38	24	2	3	11	7	85	84	50	41
eutQ	7	9	121	115	75	46	8	20	61	22	1	9	8	20	63	22	1	9	7	9	121	115	75	46
maeB	3700	2499	18584	18886	10374	7812	5177	7271	19269	8874	558	600	5605	7960	21048	9712	604	632	3365	2211	16573	16815	9360	7028
talA	150	106	375	298	512	367	893	1293	1833	1187	323	369	940	1345	1937	1255	331	384	142	101	364	286	486	350
tktB	174	116	275	235	481	326	1491	2270	3137	1997	607	699	1495	2276	3147	2002	607	699	174	115	274	234	481	326
ypfG	27	24	135	137	64	60	161	206	280	166	15	25	186	234	325	197	16	25	25	24	127	134	62	56
aegA	54	45	102	100	80	45	74	140	127	58	5	7	76	142	127	59	6	8	53	44	100	97	76	44
narQ	136	115	212	200	237	194	185	264	247	137	24	21	197	274	260	147	25	21	126	111	205	186	226	182
acrD	123	88	193	188	79	62	118	215	216	107	7	17	124	224	222	113	8	18	120	87	182	183	78	61
dapE	983	738	707	721	744	496	880	1185	776	450	164	230	1015	1382	881	524	176	235	897	673	646	648	677	464
ypfH	178	158	234	237	120	130	291	435	360	160	105	91	291	435	360	160	105	91	178	158	234	237	120	130
ypfJ	669	494	671	531	570	385	992	1365	990	592	675	709	1029	1399	1022	626	701	735	655	479	650	513	551	375
purC	3831	2825	3751	3274	416	323	4426	6964	4089	2289	18	30	4750	7522	4411	2464	22	35	3451	2585	3419	3002	371	300
nlpB	4939	3500	5250	4800	1500	1208	4616	7212	4710	2705	106	129	4616	7212	4710	2705	106	129	4939	3500	5250	4800	1500	1208
dapA	5699	4011	6314	5828	1949	1664	7029	10050	7453	4052	128	149	7035	10061	7456	4055	128	149	5697	4005	6313	5826	1949	1664
