	CMCP6_HS1	CMCP6_HS2	CMCP6_ASW1	CMCP6_ASW2	YJ016_HS1	YJ016_HS2	YJ016_ASW1	YJ016_ASW2	CMCP6_YJ016_HS1	CMCP6_YJ016_HS2	CMCP6_YJ016_ASW1	CMCP6_YJ016_ASW2	YJ016_CMCP6_HS1	YJ016_CMCP6_HS2	YJ016_CMCP6_ASW1	YJ016_CMCP6_ASW2
VV1_RS02215	16500	19707	15980	8692	23748	4458	13187	3933	23740	4458	13178	3932	16498	19699	15975	8689
VV1_RS02225	2333	3451	27815	22503	2864	1511	22948	7199	2660	1399	21825	7004	2243	3259	27163	21338
VV1_RS02240	104	152	327	249	148	214	444	146	150	215	448	145	104	152	328	253
VV1_RS02250	2701	1728	964	1318	1446	1530	1314	588	1445	1525	1310	587	2682	1713	963	1293
VV1_RS02255	1837	2898	2028	1545	2699	2019	2080	853	2698	2018	2077	852	1836	2893	2026	1541
VV1_RS02265	3035	6218	3899	3650	5986	2171	3869	1861	5712	2078	3737	1781	2986	6092	3897	3575
VV1_RS02270	1378	4811	20007	10102	4046	1706	22229	5622	3840	1636	21062	5432	1344	4572	19228	9524
VV1_RS02275	1465	4552	8176	6409	4535	2155	13434	3472	4532	2148	13420	3461	1462	4549	8164	6396
VV1_RS02280	208	688	535	474	781	371	736	238	770	371	733	237	208	684	534	466
VV1_RS02290	2881	2928	2521	2393	5113	2733	4366	1030	5107	2732	4362	1026	2877	2926	2522	2391
VV1_RS02300	534	690	465	228	1285	459	643	149	1282	458	638	149	521	682	463	227
VV1_RS02345	31773	447021	2220	1674	402974	21907	4289	1357	395891	21433	4203	1323	30671	430806	2155	1610
VV1_RS02360	6757	7931	3585	3080	4438	3629	2505	1191	4362	3584	1866	1159	6756	7886	3551	3053
PHEA	2882	1409	343	592	767	1127	384	140	764	1126	383	141	2866	1386	342	582
VV1_RS02385	8965	8034	2511	3202	13143	13810	4789	2050	13134	13806	4787	2049	8925	8005	2509	3204
VV1_RS02390	9601	6579	4220	4463	5157	5026	10400	1575	5104	4934	10381	1568	9558	6546	4210	4464
VV1_RS02400	270	1239	1167	752	553	325	837	344	552	324	830	340	268	1237	1160	748
VV1_RS02410	18801	3311	308	494	32918	25106	1430	1240	32970	25153	1428	1240	18822	3310	308	492
VV1_RS02415	6457	1260	98	153	1196	1387	159	124	1191	1381	158	123	6436	1252	98	153
VV1_RS02425	2737	2989	2049	3444	2544	2932	2352	848	2649	3104	2703	940	2552	2689	1810	3067
VV1_RS02440	1566	59987	279	232	24449	2054	1213	260	23663	2018	1201	260	1546	57434	273	226
VV1_RS02445	464	1608	471	458	1000	492	489	151	989	486	489	151	463	1601	468	451
VV1_RS02450	172	388	89	73	330	220	115	42	329	219	115	41	167	384	89	73
VV1_RS02480	1648	922	1158	942	975	1453	1274	728	986	1498	1323	736	1608	895	1121	915
VV1_RS02500	57	73	3591	1016	71	85	347	107	61	67	273	93	81	77	3619	1030
VV1_RS02505	992	1053	1738	996	1277	1753	2548	945	1274	1746	2546	944	991	1051	1737	997
VV1_RS02515	296	1083	303	320	1190	741	373	232	1188	739	373	231	296	1082	303	318
VV1_RS02520	380	1402	443	423	1149	679	411	160	1148	680	410	160	380	1402	444	420
VV1_RS02525	7244	8491	3144	2916	8930	6173	3297	1715	8930	6170	3295	1706	7240	8487	3143	2903
VV1_RS02535	1079	410	1584	1949	606	1023	2881	935	593	992	2840	886	1050	399	1617	1973
VV1_RS02545	7714	2044	2210	2411	1314	4279	2198	1526	1314	4281	2198	1526	7716	2042	2210	2410
VV1_RS02555	22845	10192	4143	7161	31815	29499	11728	4102	31811	29501	11729	4101	22848	10192	4142	7165
VV1_RS02565	6874	1660	608	690	2458	3869	974	325	2461	3859	973	324	6866	1652	605	690
VV1_RS02570	1090	861	331	455	1976	1321	456	391	1968	1320	449	388	1085	849	330	454
VV1_RS02575	2347	1149	921	750	2364	1350	1089	430	2166	1268	1017	412	2304	1111	891	713
VV1_RS02590	81	145	117	83	70	109	158	42	71	114	178	49	77	133	97	66
VV1_RS02595	466	307	455	317	342	298	239	108	389	350	362	166	449	251	346	266
VV1_RS02600	1011	813	412	281	686	490	294	149	664	472	287	144	922	761	386	262
VV1_RS02605	9010	3593	1637	1949	5944	3257	1217	990	5902	3239	1206	983	9001	3585	1628	1922
