	CMCP6_HS1	CMCP6_HS2	CMCP6_ASW1	CMCP6_ASW2	YJ016_HS1	YJ016_HS2	YJ016_ASW1	YJ016_ASW2	CMCP6_YJ016_HS1	CMCP6_YJ016_HS2	CMCP6_YJ016_ASW1	CMCP6_YJ016_ASW2	YJ016_CMCP6_HS1	YJ016_CMCP6_HS2	YJ016_CMCP6_ASW1	YJ016_CMCP6_ASW2
VV1_RS07045	445	859	8960	5612	550	588	15724	3590	550	588	15728	3591	445	859	8960	5604
VV1_RS07090	221	489	12259	8703	434	451	25093	5621	434	450	25050	5606	219	487	12238	8663
VV1_RS07095	277	796	17927	9976	444	279	27023	6818	444	280	26903	6743	273	794	17894	9954
VV1_RS07150	1041	970	310	363	738	763	609	162	725	754	596	160	1021	944	303	355
VV1_RS07160	1574	1246	1339	1582	1407	1516	924	712	1416	1460	895	662	1508	1064	1230	1451
VV1_RS07170	232	1043	376	352	1449	165	285	144	1449	165	284	144	228	1042	376	352
VV1_RS07175	418	603	212	206	320	226	246	84	320	226	247	84	418	604	212	206
VV1_RS07180	670	866	954	1107	979	531	2089	764	973	528	2064	760	660	860	954	1105
VV1_RS07185	347	811	906	855	846	361	1540	515	840	361	1536	511	346	805	906	852
VV1_RS07205	1540	5275	178	239	4588	1148	371	173	4535	1144	369	161	1477	5195	176	232
VV1_RS07210	1451	5739	696	536	4739	794	485	279	4789	877	616	391	1208	5551	502	510
VV1_RS07215	8605	4582	23909	12881	5382	4354	44337	16321	5296	4268	43386	16117	8466	4465	23530	12477
VV1_RS07220	3225	2339	5635	3729	2009	2254	13810	3061	1994	2249	13760	3059	3221	2336	5640	3736
VV1_RS07235	2510	7721	64632	17348	8792	2636	18139	6476	8691	2615	18105	6458	2507	7738	64538	17238
VV1_RS07240	969	5795	332	386	4653	993	343	173	4674	992	344	178	966	5775	331	385
VV1_RS07250	1896	904	736	1224	823	966	754	349	817	955	739	338	1944	914	766	1238
VV1_RS07260	582	461	29697	29364	307	358	60695	16495	304	354	59921	16308	581	459	29481	29109
VV1_RS07265	2853	1218	2579	2070	2024	2778	6141	1678	2024	2766	6123	1670	2848	1216	2572	2056
GAPA	3570	2308	466	637	2120	1649	657	316	2122	1936	681	308	3191	2069	410	565
VV1_RS07290	43669	11494	2405	2195	20177	32330	5002	1093	20182	32323	5003	1092	43680	11488	2406	2193
VV1_RS07295	7008	7913	1687	1548	9053	7907	3156	1266	9004	7818	3101	1233	7028	7948	1701	1544
VV1_RS07300	756	228	224	144	282	772	303	83	283	774	321	89	747	223	212	129
VV1_RS07305	152	178	258	198	1063	440	855	344	1052	433	840	341	152	179	262	196
VV1_RS07310	6229	1374	2822	2809	3504	1784	5903	1203	3492	1779	5884	1196	6205	1359	2798	2785
VV1_RS07320	851	1203	390	307	814	355	230	125	806	354	216	129	840	1160	379	283
VV1_RS07340	765	1898	158	143	1767	982	262	96	1764	969	263	96	765	1894	158	141
VV1_RS07345	965	1672	330	319	2222	1695	717	501	2223	1691	714	500	964	1660	330	320
VV1_RS07375	15230	4832	1569	1112	4391	7803	1587	944	3882	7165	1409	634	18437	5714	1946	1235
VV1_RS07385	2580	5462	2937	3007	7198	2418	2892	1046	7164	2405	2875	1043	2576	5448	2928	2991
VV1_RS07400	1168	2142	802	659	2218	987	872	257	2213	981	871	256	1166	2135	795	657
VV1_RS07405	373	418	564	297	210	236	447	113	308	383	1083	174	308	301	381	142
VV1_RS07425	4288	2217	2911	1932	1863	2010	3026	1516	1857	2001	3016	1512	4270	2198	2908	1926
VV1_RS07435	2358	5651	36240	41360	7005	2501	19464	11968	6947	2478	19276	11865	2335	5596	36037	40958
VV1_RS07445	1062	4768	8844	10233	6119	1493	13119	4664	6114	1492	13091	4644	1060	4760	8840	10204
RELA	16152	7561	3907	3339	8163	9332	3831	1678	8007	9213	3756	1644	16009	7418	3857	3284
VV1_RS07510	7242	10527	106470	188566	20568	16193	206115	92434	22929	18054	232106	106954	6264	8874	89766	167800
VV1_RS07515	25420	8864	184849	298489	9575	13311	220835	158655	9221	12614	207276	134005	20705	8058	154289	280399
VV1_RS07520	2384	1674	1112	1536	1986	1697	2023	972	1933	1654	1973	962	2356	1630	1123	1539
VV1_RS07600	24537	30674	722	613	15000	15838	1169	495	14849	15579	1155	491	24109	30084	705	598
VV1_RS07605	11079	14695	735	612	7601	9435	899	341	7607	9440	898	341	11075	14689	735	613
VV1_RS07610	4730	3433	12016	11677	5017	4428	15789	5330	4943	4349	15523	5242	4686	3377	11842	11525
VV1_RS07620	15691	7886	22396	18898	8852	9748	26292	9651	8857	9753	26296	9651	15692	7886	22392	18883
VV1_RS07630	1447	4706	2753	2586	4597	2495	5457	2091	4570	2479	5408	2072	1440	4673	2736	2540
VV1_RS07640	607	735	342	288	430	581	337	118	437	585	357	127	595	722	328	279
VV1_RS07645	1819	3200	4203	3825	1998	2002	3299	2300	1939	1936	3247	2267	1858	3275	4235	3892
VV1_RS07650	1735	8470	880	1041	6553	1909	1895	581	6372	1850	1833	559	1697	8354	870	1028
VV1_RS07680	5637	7396	2564	2589	11618	5219	2352	1403	11582	5212	2343	1400	5598	7357	2554	2580
VV1_RS07690	638	474	112	136	447	735	295	142	416	708	243	116	681	515	159	183
VV1_RS07695	89	174	110	54	114	154	148	92	117	152	168	93	89	156	108	53
VV1_RS07735	7337	16133	2192	2154	16369	4296	3478	1118	16338	4294	3464	1112	7307	16041	2185	2147
VV1_RS07740	16590	5264	3669	3368	4384	8220	10327	4057	4329	8103	9857	3918	17291	5795	3908	3470
VV1_RS07750	3842	2328	447	800	2245	1851	751	545	1512	1101	471	306	2188	1254	319	411
VV1_RS07755	593	400	229	263	291	275	274	108	262	239	255	104	529	388	203	227
VV1_RS07760	422	22805	264	206	12369	210	216	77	12385	212	213	77	414	22368	259	203
VV1_RS07765	231	6514	96	153	2548	235	91	45	2333	222	82	44	228	6454	93	143
VV1_RS07785	3619	2658	720	526	3361	2494	1073	695	3289	2446	1005	663	3588	2669	745	528
VV1_RS07790	120	253	234	152	305	118	343	162	293	124	338	158	105	237	238	159
VV1_RS07800	343	4329	8377	3904	4192	328	11355	3558	4193	328	11357	3557	345	4328	8377	3902
VV1_RS07810	805	613	289	363	1197	1440	1226	303	1202	1463	1227	303	790	610	286	354
VV1_RS07820	11452	10908	6523	5461	16055	18915	12927	4020	14614	17618	12156	3756	10955	10167	6222	5192
VV1_RS07830	62	103	111	92	82	74	132	33	82	74	132	33	62	103	111	92
VV1_RS07835	779	1083	156	214	701	590	183	126	688	583	177	126	772	1076	164	212
VV1_RS07850	200165	3522	1821	2078	6712	249546	2951	705	5131	180304	2033	446	87341	3038	1149	1258
VV1_RS07855	92420	55555	4180	12512	46445	21807	5081	4581	43621	20547	4848	4477	88873	50857	3987	11831
VV1_RS07860	1962	3308	321	537	2213	1420	347	307	2214	1415	344	306	1960	3298	321	523
VV1_RS07865	869	765	290	448	1029	921	290	118	1025	925	286	118	868	763	290	439
VV1_RS07870	390	348	536	332	504	723	814	443	482	649	749	427	403	361	544	368
VV1_RS07875	823	505	933	587	514	836	1003	419	504	828	985	420	803	476	909	569
VV1_RS07880	288	261	399	289	288	308	621	266	288	307	609	256	286	257	388	279
VV1_RS07885	50	62	110	74	60	76	186	107	60	76	184	105	49	62	110	74
VV1_RS07895	498	243	804	352	113	109	427	353	112	109	425	348	498	239	801	351
VV1_RS07900	260	128	174	116	192	144	364	117	192	142	362	116	260	128	173	115
VV1_RS07905	66	62	484	208	33	38	876	97	34	38	879	98	66	62	484	201
VV1_RS07910	112	118	238	149	117	150	452	103	117	150	452	103	112	118	239	148
VV1_RS07915	1165	1708	1836	1418	767	706	3658	1593	767	706	3658	1591	1163	1707	1835	1415
VV1_RS07920	1900	5536	1129	1499	3949	1479	1396	617	3954	1487	1408	619	1882	5364	1105	1485
VV1_RS07930	2058	2124	987	1251	1642	1817	1050	767	1627	1793	1036	760	2024	2087	981	1226
VV1_RS07935	1014	1237	799	878	1092	589	416	215	1370	698	591	254	780	1035	561	522
VV1_RS07945	1168	3264	2848	1633	1134	810	6197	1138	1131	803	6171	1130	1156	3219	2820	1615
VV1_RS07950	2089	7198	8806	7260	3596	3798	17856	3310	3500	3650	17300	3222	2049	7072	8640	7156
VV1_RS07955	752	3139	701	484	1383	257	553	280	1366	251	540	278	738	3054	689	471
VV1_RS07960	4113	3208	720	564	2673	2091	570	355	2675	2094	552	350	4109	3200	716	563
VV1_RS07970	3674	2967	758	1433	3978	3139	1539	766	3958	3132	1603	772	3643	2939	756	1429
HFLB	29756	35712	25030	25273	33479	30717	36832	11657	33456	30699	36793	11644	29750	35655	24999	25258
FOLP	233	1021	612	561	1203	573	537	253	1190	568	525	246	230	1011	607	548
VV1_RS08070	293	248	352	441	92	183	96	45	132	307	131	46	291	208	306	374
VV1_RS08090	25022	24894	4554	3953	21664	29386	7040	3160	21632	29312	7021	3145	24952	24818	4540	3925
VV1_RS08095	9115	1591	1405	3493	2403	4747	2582	1968	2343	4618	2507	1874	8866	1540	1359	3380
VV1_RS08110	460	132	2170	1331	244	526	314	82	244	512	311	79	474	134	2162	1328
VV1_RS08115	659	102	37	22	177	618	115	32	165	604	114	29	618	96	34	22
VV1_RS08120	2339	1677	1749	1619	1519	2260	1601	1488	1513	2250	1599	1487	2333	1676	1748	1617
VV1_RS08145	1030	2164	43168	30104	1576	1158	46504	14383	1536	1152	46177	14300	1030	2146	42991	29818
VV1_RS08150	886	4247	2103	1754	3156	1065	2625	975	3151	1059	2618	971	882	4239	2103	1753
VV1_RS08160	1431	5513	4302	1795	3089	1192	2119	1156	5940	1705	3075	1623	1075	3563	2528	1270
VV1_RS08165	4933	28184	4479	3688	28947	3107	12092	3351	25238	2717	10122	2806	4051	24259	3868	3142
VV1_RS08170	2559	13207	12727	8898	17775	2540	13402	2692	17768	2536	13394	2688	2555	13205	12726	8888
VV1_RS08180	1769	4542	4245	3310	8506	2022	6065	1660	8260	1963	5834	1590	1749	4492	4228	3265
VV1_RS08190	1464	1642	395	439	1029	979	574	145	1025	975	572	143	1459	1623	391	438
VV1_RS08200	3402	9025	11114	8525	8963	4602	11850	6061	8915	4566	11781	6013	3323	8913	11010	8486
VV1_RS08205	2885	1124	1086	911	1193	2028	1232	495	1216	2057	1247	499	2863	1090	1054	890
VV1_RS08210	1020	6769	4099	3431	3220	1885	6254	2711	3120	1794	5971	2567	1007	6601	4024	3353
VV1_RS08215	376	2997	1837	2039	1133	643	1352	658	1128	643	1350	658	375	2993	1831	2036
VV1_RS08220	345	1160	1384	1084	788	496	2017	484	789	496	2009	481	343	1159	1379	1078
VV1_RS08240	1018	727	56518	66777	709	1017	61204	36033	700	998	60062	35345	1004	730	56454	66486
VV1_RS08245	564	366	12506	10171	220	357	13561	14452	214	354	13354	14166	555	356	12408	10008
VV1_RS08270	29	38	1427	1495	71	47	3778	726	63	41	3379	670	26	37	1321	1370
VV1_RS08275	223	150	4127	4441	214	281	8328	2029	214	279	8318	2031	223	150	4126	4436
VV1_RS08285	58	174	2479	2458	174	152	6175	1129	212	187	7397	1509	42	154	2168	2054
VV1_RS08300	423	490	9207	8660	568	582	15268	3936	564	579	15182	3905	419	489	9148	8556
VV1_RS08305	191	219	4554	3490	304	389	9464	1832	302	384	9321	1810	189	211	4506	3440
VV1_RS08310	226	221	3407	2541	226	300	5445	1591	215	293	5334	1548	223	219	3346	2478
VV1_RS08315	76	301	2153	1666	375	306	4737	990	372	301	4678	843	73	295	1947	1685
VV1_RS08320	1004	669	19949	11091	1076	1031	33005	9467	688	699	23694	6109	744	504	15667	8066
VV1_RS08325	212	897	420	273	45	36	141	50	39	35	128	44	204	885	298	222
VV1_RS08330	563	954	725	567	419	118	965	346	419	118	953	345	562	953	724	559
VV1_RS08335	164	317	1678	1626	356	203	2087	590	356	201	2072	589	164	315	1674	1618
VV1_RS08345	32	293	54	33	353	32	187	41	349	32	182	41	32	291	54	34
VV1_RS08350	78	1860	292	118	3500	47	794	264	2998	38	713	247	78	2011	297	151
VV1_RS08375	106	1987	224	182	9850	199	623	439	8568	169	536	374	93	1825	219	175
VV1_RS08380	510	3678	709	471	7824	402	613	481	7042	397	592	439	423	3241	665	447
VV1_RS08385	162	789	201	187	1196	135	261	165	1083	124	245	140	147	714	183	176
VV1_RS08395	1342	2064	15329	16406	1760	785	34130	15145	1753	784	33814	14950	1329	2036	15251	16252
VV1_RS08400	970	2201	1202	844	3748	812	3307	957	3750	829	3357	980	960	2079	1150	817
VV1_RS08425	5988	2028	547	869	1449	6399	746	454	1452	6394	744	451	5969	2023	542	863
VV1_RS08430	31679	12340	4265	5199	11483	14690	3384	2787	11465	14693	3378	2783	31631	12317	4259	5197
VV1_RS08435	1972	1188	573	922	943	1402	876	545	934	1396	864	542	1962	1154	571	913
VV1_RS08445	4431	6017	1472	1777	5430	4338	1964	1376	5394	4326	1944	1342	4383	5955	1462	1757
VV1_RS08455	1309	40382	2051	638	38371	1278	1254	1104	37894	1261	1222	1087	1289	39723	2027	626
VV1_RS08460	10926	6539	319	223	9254	8124	561	224	9899	8608	614	241	10319	6096	288	209
VV1_RS08470	153	141	119	59	107	106	76	54	107	103	74	54	153	140	117	60
VV1_RS08475	617	1800	83	91	3478	512	156	67	3460	502	156	67	612	1780	83	91
VV1_RS08480	1410	810	502	413	1087	1133	947	341	1082	1131	947	339	1411	814	501	412
VV1_RS08505	5976	569	924	918	604	7801	4216	698	618	7800	4433	728	5943	552	891	888
VV1_RS08520	562	197	365	218	125	143	547	80	125	137	544	79	558	189	359	201
VV1_RS08575	4853	9768	78314	63661	5032	3137	107023	25421	4533	2766	95725	22607	4565	9117	73707	59023
VV1_RS08580	314	552	4270	3755	245	253	4164	1622	323	317	5603	2353	260	414	2489	2956
VV1_RS08595	1424	1901	1310	1165	1901	1211	1612	708	2039	1298	1906	793	1342	1795	1055	1009
VV1_RS08605	8184	22558	1965	1311	22213	8111	3890	889	22159	8099	3834	871	8279	22897	1975	1310
VV1_RS08610	2770	9114	814	595	9220	4441	1761	282	9289	4479	1788	283	2725	8924	798	585
VV1_RS08615	1081	3302	402	162	3325	1489	839	120	3315	1475	837	120	1088	3313	402	164
VV1_RS08620	3277	5216	866	338	4753	1901	854	365	4748	1899	854	366	3277	5219	865	337
VV1_RS08630	4963	11492	1697	1033	9145	5564	3083	599	9146	5564	3081	599	4967	11481	1696	1031
VV1_RS08635	849	361	239	195	282	403	415	301	279	402	411	299	848	356	238	190
VV1_RS08645	1530	1233	5217	8369	3923	3319	5514	2107	3888	3304	5484	2081	1522	1221	5183	8268
VV1_RS08650	1146	848	3442	2132	1407	1046	3695	1033	1397	1037	3683	1032	1139	840	3437	2121
VV1_RS08655	5134	2199	865	871	1078	1674	600	292	1014	1594	540	270	5206	2304	899	962
VV1_RS08660	1984	906	747	561	1291	1001	792	378	1318	1020	800	386	1934	848	715	527
VV1_RS08665	154	223	1082	593	203	272	1838	412	201	270	1806	390	154	222	1435	709
VV1_RS08670	370	735	13717	15693	445	332	7522	3588	421	299	7122	3461	363	724	13509	15258
VV1_RS08685	40858	28187	482	527	35361	33016	1148	1837	34772	32447	1109	1760	40280	27469	473	523
VV1_RS08690	4408	2291	734	354	2334	2904	687	244	2301	2850	677	242	4335	2271	712	343
VV1_RS08695	956	246	163	158	216	283	185	153	213	275	183	151	944	241	161	153
VV1_RS08705	39	131	111	75	135	164	181	43	199	290	199	47	24	96	97	71
VV1_RS08760	361	10651	153	166	6257	406	171	69	5798	329	160	57	460	11724	182	183
VV1_RS08770	169	428	309	183	489	174	293	133	475	173	271	96	164	418	256	176
VV1_RS08780	13505	4814	1760	2641	4005	8848	1841	1273	3969	8812	1824	1261	13464	4780	1744	2623
VV1_RS08785	1834	2112	452	293	1684	1756	531	172	1681	1752	529	172	1832	2108	450	292
VV1_RS08810	1436	3218	745	585	2965	1314	694	353	2979	1338	712	358	1397	3179	736	582
VV1_RS08815	121	453	210	195	375	211	266	107	374	211	262	107	120	447	210	196
VV1_RS08820	498	282	206	123	239	240	197	118	237	240	197	118	497	279	204	119
VV1_RS08825	16501	10079	3531	5027	8585	6295	2884	2584	8541	6274	2856	2565	16469	10025	3519	4987
VV1_RS08830	7590	8450	2944	3148	8476	7292	4249	2230	8824	7927	4383	2392	6844	7892	2834	2739
VV1_RS08850	1459	1547	555	552	2004	1242	877	188	2003	1242	877	189	1461	1547	553	552
VV1_RS08870	3585	6365	1090	761	5839	2509	865	303	5831	2508	865	303	3574	6352	1084	755
VV1_RS08875	4998	1885	328	319	1364	1388	245	165	1753	1688	314	189	4607	1541	291	293
VV1_RS08890	473	536	624	628	1001	577	1235	238	999	577	1233	238	471	536	623	626
VV1_RS08895	1298	1017	710	385	386	241	732	331	386	239	728	330	1285	1012	709	382
VV1_RS08900	271	373	248	167	206	193	451	172	203	171	417	160	264	363	250	180
VV1_RS08905	3402	1029	1175	1058	692	1885	1766	1187	696	1904	1787	1195	3397	1019	1163	1035
VV1_RS08910	2166	3149	1660	1509	2836	2807	2912	1114	2782	2758	2860	1101	2134	3066	1635	1486
VV1_RS08920	1871	1412	1100	623	1420	1313	817	927	1421	1318	816	927	1865	1405	1100	604
VV1_RS08925	2822	2206	3122	4134	3487	2627	4221	2271	3475	2619	4200	2262	2835	2206	3117	4120
VV1_RS08930	1104	897	1051	1371	1445	1453	1557	850	1445	1451	1555	852	1103	896	1050	1368
VV1_RS08935	1586	2056	3530	4331	2320	2124	3651	1779	2317	2118	3636	1785	1570	2048	3520	4305
VV1_RS08940	108	231	1071	823	287	146	3034	549	416	236	3356	696	105	239	1021	804
VV1_RS08970	3273	3468	899	588	2220	2157	1443	405	2110	2064	1369	387	3320	3566	982	628
VV1_RS08980	6502	2571	452	412	5187	5120	805	216	5182	5113	804	210	6490	2563	450	411
VV1_RS08990	549	629	279	316	579	695	923	276	578	684	912	276	550	623	277	315
VV1_RS08995	6162	2254	1191	464	2064	2151	1206	755	2056	2133	1182	752	6144	2233	1188	464
VV1_RS09015	6136	6388	4472	2970	4708	3137	4452	1532	5540	3524	4461	1548	5750	5763	4488	2615
VV1_RS09025	1772	1273	900	833	1400	1117	2564	848	1303	1006	2425	803	1861	1417	931	838
VV1_RS09045	9887	13544	1860	2305	10031	6856	1705	735	9993	6817	1699	735	9821	13485	1859	2289
VV1_RS09055	836	475	218	203	377	878	258	154	362	859	242	136	818	459	204	190
VV1_RS09060	10014	2115	1109	1238	2310	4797	1407	622	2302	4793	1401	619	9999	2113	1108	1235
VV1_RS09095	6399	2150	1940	1480	2635	4348	3178	357	2630	4334	3164	356	6372	2144	1931	1476
VV1_RS09100	4688	4014	15557	11617	5560	4197	14203	6922	5507	4174	14106	6884	4654	3981	15491	11485
VV1_RS09105	88004	61144	333818	307418	132478	105904	362718	144936	132817	106039	364017	145553	88268	61017	333533	307209
VV1_RS09110	31717	61925	61508	49805	65580	35070	54910	30093	65485	35034	54841	30050	31683	61850	61451	49664
VV1_RS09135	3905	9998	2625	1929	8791	3899	3190	1058	8709	3869	3171	1056	3868	9875	2605	1917
VV1_RS09140	2222	1760	7875	2243	1824	1337	4435	3628	1822	1335	4424	3622	2215	1752	7859	2240
VV1_RS09145	1102	783	1914	1023	1302	1753	3265	1162	1276	1728	3217	1144	1092	754	1869	978
VV1_RS09235	7102	7782	10239	9254	11849	12016	15701	3846	11813	11942	15649	3759	7206	7786	10545	9297
VV1_RS09250	10599	14687	22800	11960	17380	9523	30142	12085	13040	7503	24676	9797	12469	18203	28686	14669
VV1_RS09255	27341	37358	58576	38472	24945	18043	42965	16441	24667	17917	42574	16346	27120	36552	57704	37639
VV1_RS09260	2293	5276	7021	5098	3523	3079	7917	2018	3431	2989	7709	1971	2214	5050	6762	4913
VV1_RS09265	2454	5032	9984	7948	5126	5220	11868	4606	5135	5218	11852	4588	2452	5021	9960	7912
VV1_RS09270	4992	11963	27595	25152	12191	10290	34239	10048	12179	10276	34200	10025	4983	11944	27568	25117
VV1_RS09285	1151	2967	833	659	2490	1255	999	442	2495	1253	999	445	1149	2957	824	658
VV1_RS09290	648	1106	908	631	880	666	1932	371	874	668	1926	370	644	1103	911	629
VV1_RS09295	292	596	469	354	494	355	781	183	494	355	782	183	292	596	467	359
VV1_RS09310	874	1078	1103	706	1018	978	1528	386	1017	973	1525	382	868	1067	1100	697
VV1_RS09325	425	606	894	478	689	477	883	243	675	468	869	239	417	596	889	470
VV1_RS09330	2796	1558	576	1055	1533	1678	622	385	1517	1653	609	377	2710	1507	562	1030
VV1_RS09335	304	444	258	349	572	553	530	191	522	492	470	163	275	394	257	284
VV1_RS09340	478	1705	21719	13989	1074	358	40779	7462	1059	357	40553	7418	475	1682	21610	13820
VV1_RS09345	1958	3253	1724	1217	5093	1897	2171	825	5083	1887	2165	825	1956	3242	1720	1212
VV1_RS09365	12219	13838	70342	49116	18666	8330	76482	29028	18646	8346	76232	28949	12012	13579	69495	48412
VV1_RS09380	4242	1841	1647	1944	3222	3518	2235	1007	3215	3508	2232	1006	4242	1832	1643	1942
VV1_RS09385	7138	2567	1879	3421	4679	8618	2744	1392	4679	8612	2744	1391	7136	2568	1878	3415
VV1_RS09390	63	229	91	79	195	39	80	22	195	39	80	22	63	229	91	68
VV1_RS09410	3651	2010	2153	1991	2548	2178	2286	784	2539	2169	2282	780	3646	1992	2143	1988
VV1_RS09420	1575	1728	1598	1367	1930	1437	1869	440	1892	1410	1848	437	1565	1715	1586	1359
VV1_RS09435	1567	8483	1028	692	10638	1509	1227	332	11107	1572	1364	436	1396	6759	771	626
VV1_RS09440	2307	1192	252	282	1377	1487	365	150	1378	1487	365	151	2306	1191	253	282
VV1_RS09455	2758	1350	404	497	1774	1357	300	171	1755	1345	298	169	2752	1326	401	490
VV1_RS09460	61845	9855	1409	2139	16075	40563	2556	1466	15954	40463	2507	1437	61726	9913	1371	2184
VV1_RS09465	7157	4350	129733	104109	3488	3569	136254	46963	3497	3597	137628	47428	7096	4315	128349	102936
VV1_RS09500	292	142	148	206	140	139	172	51	124	130	153	48	308	154	173	208
VV1_RS09505	1182	1146	2788	3386	1304	1029	2585	1452	1304	1027	2577	1449	1181	1142	2783	3373
VV1_RS09510	339	772	916	716	541	185	762	333	516	175	726	328	338	750	879	699
VV1_RS09515	226	202	320	220	288	256	446	167	292	258	446	171	220	202	311	216
VV1_RS09545	131	139	47	53	170	107	59	20	186	131	61	28	125	125	46	53
VV1_RS09565	707	356	73	102	326	491	70	17	326	491	70	17	700	355	75	101
VV1_RS09695	1888	1673	915	313	839	317	204	94	846	318	209	102	1882	1672	914	311
VV1_RS09705	8916	2061	2903	5998	4415	15413	8292	2347	4360	15211	8142	2309	8843	2016	2852	5924
VV1_RS09720	176	242	559	189	153	146	327	89	152	144	310	89	176	229	551	185
VV1_RS09725	188	574	9598	6120	824	214	18432	6089	811	208	18082	5986	184	565	9484	6044
VV1_RS09740	27009	19194	12251	6279	21011	9285	14952	4110	20308	8984	14347	3974	26189	18230	11869	5805
VV1_RS09745	8195	43294	208	205	64903	4272	316	207	64795	4267	314	207	8186	43184	206	203
VV1_RS09750	3972	13927	10644	7918	13941	4263	8920	4196	13795	4228	8821	4129	3902	13678	10519	7669
VV1_RS09760	4327	1555	833	709	1944	3749	685	317	2077	4038	787	378	4145	1428	765	643
VV1_RS09775	4517	2194	2578	2044	4491	7485	3536	1580	4433	7361	3491	1558	4501	2158	2564	2027
VV1_RS09785	5694	743	235	236	1903	3768	510	254	1851	3640	490	234	5121	708	224	223
VV1_RS09795	4992	1937	1060	737	1034	1278	851	483	1020	1265	835	482	4823	1914	1048	711
VV1_RS09800	3760	1717	3910	3024	2468	3828	4158	1854	2456	3805	4140	1849	3738	1686	3858	2989
VV1_RS09810	1287	963	539	389	684	714	388	281	743	750	406	315	1070	790	486	313
VV1_RS09815	499	568	255	219	749	775	245	192	743	772	239	187	511	573	266	219
VV1_RS09820	1094	1374	276	342	830	742	234	117	848	745	236	120	1042	1360	274	341
VV1_RS09830	5148	3470	858	508	1125	1189	622	736	1178	1223	641	741	5118	3378	843	490
VV1_RS09835	2511	1829	392	355	1675	1519	424	213	1675	1524	424	213	2508	1815	390	355
VV1_RS09850	650	658	138	94	869	587	166	80	865	583	164	80	650	658	138	94
VV1_RS09855	76	280	2238	2150	267	180	3854	1400	261	178	3787	1364	74	273	2208	2124
VV1_RS09860	1771	3886	384978	284955	3135	4012	496819	236004	3012	3923	480533	228618	1737	3710	376934	273197
VV1_RS09865	3514	7542	442541	421875	7058	6961	734277	210575	7045	6945	732067	209714	3502	7517	441503	419885
VV1_RS09870	16245	14745	983728	842500	13473	10646	966927	417875	13469	10646	967050	417849	16244	14737	983861	842120
VV1_RS09880	117	443	687	927	240	154	1808	428	238	149	1795	428	117	446	693	927
VV1_RS09890	624	246	16171	14397	151	417	18307	6142	151	418	18188	6105	619	245	16094	14214
VV1_RS09895	251	524	809	663	397	215	1643	604	374	209	1581	562	249	510	782	640
VV1_RS09900	369727	25453	10252	4145	43384	384523	6704	2077	43361	384238	6703	2064	369246	25425	10250	4140
VV1_RS09905	56613	7603	3166	1994	7415	32620	4551	1279	7264	32019	4363	1255	56082	7499	3098	1931
VV1_RS09915	4556	375	25473	21121	384	3233	16234	6136	400	3382	17112	6547	4257	374	23647	19798
VV1_RS09920	10943	657	33466	20130	944	17139	24943	8824	817	16614	22798	8256	11300	740	36016	22110
VV1_RS09925	864	94	4014	2521	121	2284	3923	2308	121	2283	3928	2307	861	92	4007	2514
VV1_RS09930	503	96	2215	1308	93	541	1534	1150	93	538	1506	1139	504	96	2223	1320
VV1_RS09940	4351	3447	529	502	3985	1872	552	177	3952	1861	546	174	4369	3470	536	504
VV1_RS09945	7733	2403	4449	8547	1754	6820	6944	4332	1751	6810	6933	4328	7709	2399	4444	8526
VV1_RS09960	88	317	89	69	229	113	135	89	228	113	135	89	88	317	88	69
VV1_RS09975	1376	2365	1273	881	1821	1434	964	395	1826	1430	963	395	1374	2354	1276	884
VV1_RS09980	1180	1565	2885	1060	1232	970	2173	1160	1232	969	2171	1160	1179	1563	2885	1058
VV1_RS09985	29566	10711	4053	3380	11055	17087	4908	1905	11036	17059	4896	1898	29519	10689	4040	3367
VV1_RS10010	1064	516	7560	4223	1264	1063	14191	3894	765	726	8935	2688	1442	794	10498	5242
VV1_RS10025	6600	4414	4394	3978	3552	4303	797	410	3529	4264	787	397	6452	4321	4287	3836
VV1_RS10050	569	834	963	719	960	1031	2321	868	1063	1182	2581	951	531	745	872	704
VV1_RS10060	102	116	379	292	77	87	369	113	84	87	452	135	94	100	329	267
VV1_RS10070	1780	1359	865	551	1144	948	1049	240	1140	948	1052	240	1779	1359	862	551
VV1_RS10080	993	932	973	749	1361	1386	2047	427	1363	1386	2048	427	992	930	974	749
VV1_RS10085	1290	5465	949	771	3709	1293	1454	328	3708	1294	1455	327	1271	5413	944	767
VV1_RS10090	1967	1120	1562	851	863	733	923	931	858	725	923	924	1980	1125	1577	854
VV1_RS10095	2466	1281	674	1057	1531	1397	694	413	1527	1398	693	412	2453	1273	669	1054
VV1_RS10100	738	1098	415	878	2033	2403	988	458	2031	2393	987	458	736	1094	413	873
VV1_RS10110	895	271	484	522	425	585	657	357	425	585	643	342	899	274	503	522
VV1_RS10125	547	2409	918	965	3154	1363	698	175	2641	1092	605	159	518	2187	840	846
VV1_RS10130	959	2537	831	924	2703	908	853	296	2696	905	845	294	953	2506	832	903
VV1_RS10135	923	1684	986	822	1243	863	1372	713	1241	863	1365	709	923	1671	983	819
VV1_RS10140	498	355	243	206	279	296	241	110	305	332	249	118	492	313	226	178
VV1_RS10145	546	494	464	375	115	163	132	116	1081	790	1929	1165	405	342	353	338
VV1_RS10150	898	728	610	653	746	610	687	447	740	601	671	425	871	716	598	641
