"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_starvation1","IAI1_starvation2"
"17","aceE","aceE",408,11413.9414127873,-1.26871448639371,0.0915795627395883,-13.8536857835996,1.20848467535665e-43,6.99321646695357e-43,15729.7409264364,16542.3462381616,6810.1841685796,6573.49431797172
"18","aceF","aceF",873,7133.96536863474,-0.675111391733654,0.0957775661458763,-7.04874240284421,1.80542020745174e-12,4.87711339793314e-12,8627.53835468509,8923.50302723071,5694.55731805876,5290.26277456442
"19","aceK","aceK",135,660.239361433643,4.56192523614492,0.190124537079084,23.9944054893207,3.18107097179561e-127,5.56333967734033e-126,57.1919680009256,48.1151137926168,1184.57643297451,1351.07393096652
"20","ackA","ackA",1799,1580.95941013835,0.206511236147557,0.120000810863062,1.72091533934063,0.0852661876590659,0.111937314794484,1496.08989020603,1437.90166987936,1586.97071745822,1802.87536300981
"21","acnA","acnA",502,1806.44372329313,1.40400033560513,0.118714954767709,11.8266509754593,2.84258377608219e-32,1.33692037755579e-31,959.265281470071,1022.44616809311,2777.19875555188,2466.86468805746
"22","acnB","acnB",403,15817.6077715496,1.55351397680685,0.111349480535949,13.9516948739181,3.0721687705958e-44,1.7998487512101e-43,8706.82721941364,7354.21008507151,22666.3274908758,24543.0662908373
"23","acrA","acrA",306,1811.84238908209,-1.88232008370467,0.1157086452041,-16.2677566605712,1.6717099915877e-59,1.28983898370541e-58,2788.75834877241,2915.59083770261,802.527926919754,740.492442933573
"24","acrB","acrB",416,3694.95163860827,-1.42507983468508,0.104298726348284,-13.6634442680183,1.67852826609513e-42,9.52645489483319e-42,5453.38413063372,5320.42123668359,2103.52742534882,1902.47376176696
"25","acrD","acrD",2178,85.0384812254881,0.147161781953277,0.314701517635705,0.467623362794296,0.64005395465995,0.693600369189628,79.9387734558392,81.4255771875054,89.2953608826205,89.4942133759874
"26","acrE","acrE",2318,8.5344501141514,-0.104507167014228,0.918298722230439,-0.113805197028253,0.909392218730217,0.926261875937033,5.84917854554921,12.0287784481542,9.04256819064512,7.21727527225705
"27","acrF","acrF",1382,181.852651613683,0.825210690460152,0.227788453577423,3.62270640807381,0.000291536658143432,0.000498059370388308,128.681928002083,133.241853579554,221.542920670805,243.943904202288
"28","acrR","acrR",2040,233.182506234554,-0.173275979028821,0.20463640600165,-0.84675049965168,0.397134204342428,0.45944836687615,239.166411640234,255.380219360812,215.891315551652,222.292078385517
"29","acs","acs",78,3631.32237125839,3.36522122056865,0.113465715150208,29.6584850861222,2.6363118130267e-193,7.97991306481544e-192,665.506536738044,615.318282155581,7000.07810058315,6244.3865655568
"30","actP","actP",196,596.01516917268,3.29148907927649,0.16232290964005,20.2774154712687,2.03549256088968e-91,2.45193772258191e-90,113.084118547285,106.408424733672,1096.41139311572,1068.15674029404
"31","ada","ada",1165,86.4284965456828,1.59009305931552,0.329741165271507,4.82224613358858,1.41950632763197e-06,2.87678492664298e-06,44.843702182544,40.7127885937527,144.681091050322,115.476404356113
"32","add","add",470,342.369807421369,2.33941047638403,0.187558478350373,12.4729657489215,1.04849776272924e-35,5.26231152105578e-35,118.933297092834,105.483134083814,582.115327272779,562.94747123605
"33","adhE","adhE",636,7711.66949541856,0.878552390197322,0.0923415360185396,9.5141626193107,1.83182226467963e-21,6.80020812407014e-21,5474.18120990678,5388.89274477308,9726.41241006265,10257.1916169317
"34","adhP","adhP",1200,90.7071706579029,1.52581705913895,0.334044923066328,4.56770019173734,4.93104646648428e-06,9.70183392280783e-06,55.2422418190759,37.0116259943206,143.550770026491,127.024044791724
"35","adiA","adiA",1284,31.9822667694329,2.16383708752936,0.526346036221529,4.11105420886772,3.93856708885306e-05,7.24217826852187e-05,12.3482658183817,10.1781971484382,51.9947670962094,53.4078370147022
"36","adiC","adiC",1442,19.0660148139662,2.37718127443861,0.713120932937351,3.33348968546889,0.000857638514819547,0.00140450513313692,8.4488134546822,2.77587194957405,36.1702727625805,28.8691010890282
"37","adiY","adiY",1015,28.3586755808052,4.37231495888358,0.723744351673785,6.04124225463292,1.52932156827535e-09,3.55736770709172e-09,2.59963490913298,1.85058129971603,59.9070142630239,49.0774718513479
"38","adk","adk",155,1657.23034020193,-2.95669735671049,0.130757967798595,-22.6119861488261,3.30335596982376e-113,5.03175706113154e-112,2756.91282113553,3117.30419937166,370.74529581645,383.959044484075
"39","adrB","yoaD",1647,45.9409414741266,1.11277325049668,0.459227667502673,2.42314069739755,0.0153869659971877,0.0220476157688366,20.1471705457806,37.9369166441787,62.1676563106852,63.512022395862
"40","aegA","aegA",1600,58.0285774684177,1.0165252627945,0.394492488165184,2.57679244419188,0.00997218099406928,0.0147151995793735,35.0950712732953,41.6380792436107,90.4256819064512,64.9554774503134
"41","aer","aer",1691,67.3122630690263,-0.820799196282168,0.373807348771047,-2.19578132688049,0.0281075988292953,0.0392442583299623,74.7395036375733,98.0808088849497,53.1250881200401,43.3036516335423
"42","aes","aes",553,176.648904788044,2.79265015207688,0.253109783585564,11.0333552204742,2.63834606173775e-28,1.12642586831154e-27,45.4936109098272,42.5633698934687,299.535071315119,319.003567033761
"43","agaC","agaC",1941,11.923030879634,0.91882893479685,0.803976865315366,1.1428549432656,0.253098822348702,0.307865182671451,5.19926981826597,11.1034877982962,16.9548153574596,14.4345505445141
"44","agaD","agaD",1617,18.873216701836,1.66340482828703,0.655626605732934,2.53712221825941,0.0111767926795285,0.0163193614819831,9.09872218196544,8.32761584872214,24.8670625242741,33.1994662523824
"45","agaI","agaI",1912,10.0324750660421,-1.15948641092975,0.889746811817695,-1.30316444580565,0.192518625522779,0.237728281830168,12.3482658183817,15.7299410475863,3.39096307149192,8.66073032670846
"46","agaR","agaR",2001,308.114400679294,0.198818104529062,0.202523554939839,0.98170360770194,0.326245887556913,0.384940799861006,248.915042549483,325.702308750022,324.402133839394,333.438117578276
"47","agaS","agaS",1788,16.9493493508372,1.18627174525901,0.681263301186711,1.74128232533972,0.0816341027810107,0.107795367262845,11.6983570910984,8.32761584872214,20.3457784289515,27.4256460345768
"48","agp","agp",5,2586.6206614768,4.74960630548701,0.124377227689819,38.1871054187822,0,0,174.825447639193,196.161617769899,5096.61749645235,4878.87808404576
"49","ahpF","ahpF",593,1344.98691127757,-1.2123017866704,0.116987125634436,-10.3626940152255,3.66491557349501e-25,1.45916790371361e-24,1860.03877748465,1899.62170415851,820.613063301044,799.674100166081
"50","aidB","aidB",1655,102.001834498558,0.73368228423105,0.306409145926969,2.39445295280422,0.0166451787355003,0.0237457806613391,85.1380432741052,67.5462174396352,141.29012797883,114.032949301661
"51","ais","ais",1586,63.1609146303627,-1.10047458867298,0.417948710033381,-2.63303740926748,0.00846250258998842,0.0125977103499134,94.8866741833539,78.6497052379314,53.1250881200401,25.9821909801254
