	IAI1_batch1	IAI1_batch2	IAI1_starvation1	IAI1_starvation2
ydfU	6	3	15	11
rspB	105	77	120	108
rspA	243	159	161	141
ynfC	235	166	359	250
ynfF	50	46	50	39
ynfG	19	12	8	10
ynfH	127	81	71	73
dmsD	185	137	85	76
clcB	39	30	16	14
ynfK	132	121	592	425
dgsA	996	689	668	471
ynfL	61	37	54	43
ynfM	176	96	53	40
ydgD	175	125	522	394
ydgG	138	120	174	109
pntB	26422	18184	2367	1663
pntA	35926	23832	2064	1433
ydgH	3349	2354	1749	1474
ydgI	152	113	61	49
folM	207	148	134	111
rstA	661	499	195	153
rstB	738	532	169	126
tus	117	62	233	153
fumC	814	421	4745	3693
fumA	3208	2383	20474	17513
manA	657	491	344	300
ydgA	2375	1778	1166	885
uidC	13	12	91	54
uidB	7	8	99	73
uidA	21	18	393	251
hdhA	675	540	284	219
malI	81	64	166	118
malX	112	108	140	91
malY	393	300	214	189
add	183	114	515	390
ydgJ	1395	938	948	741
rsxD	272	153	18	15
rsxG	214	105	9	16
rsxE	135	91	19	17
nth	151	79	29	7
ydgR	210	123	66	51
gst	644	441	1829	1560
pdxY	490	327	128	91
tyrS	6087	4221	1055	796
pdxH	663	472	249	226
anmK	378	257	491	362
ydhJ	39	29	14	8
ydhF	233	161	459	300
nemA	222	142	68	56
rnt	138	77	20	19
ydhO	282	190	135	109
ydhP	361	256	18	15
purR	2158	1563	250	209
ydhB	118	85	37	44
ydhC	66	51	16	20
cfa	585	305	954	856
ribC	887	639	623	468
mdtK	152	102	631	496
ydhQ	587	415	645	504
ydhS	19	17	122	90
ydhT	17	17	44	29
ydhU	42	32	78	59
ydhX	25	16	26	15
ydhV	26	16	58	37
ydhY	4	2	10	13
pykF	5250	3691	483	331
ynhG	252	200	852	657
sufS	805	297	212	175
sufC	603	219	185	125
sufB	1221	457	462	339
ydiK	464	299	278	234
ydiM	5	6	65	59
ydiN	3	5	58	45
ydiB	53	34	46	35
aroD	382	221	127	129
ydiF	25	9	24	26
ydiO	27	14	12	19
ydiP	75	47	216	195
ydiQ	7	9	8	10
ydiR	13	17	16	13
ydiS	18	11	15	11
ydiD	32	36	76	56
pps	7622	5474	13037	10050
ydiA	179	108	196	199
aroH	476	300	35	29
ydiV	253	197	148	88
btuD	246	164	53	34
btuC	262	184	128	103
pheT	15295	10576	3366	2625
pheS	5466	3745	246	172
thrS	19354	14094	12880	10951
ydiY	91	58	35	32
pfkB	241	90	194	128
yniA	145	108	8811	6715
yniC	338	240	169	200
ydjN	7611	5672	366	290
katE	82	54	69	38
chbF	107	77	252	178
chbR	80	80	285	205
chbC	36	40	458	396
nadE	1778	1244	536	376
ydjQ	92	51	55	34
astE	6	12	120	107
astB	12	9	177	130
astA	12	6	223	167
astC	11	11	418	328
xthA	645	427	190	154
ydjX	45	29	84	60
ydjZ	37	26	17	17
ynjE	343	270	66	48
ynjF	57	45	42	33
gdhA	12043	7309	686	579
topB	1081	740	314	211
selD	1449	961	1536	1147
sppA	1164	819	538	416
ansA	391	257	66	62
pncA	466	292	258	227
ydjE	35	25	138	86
ydjF	241	227	364	293
ydjG	89	66	68	45
ydjH	43	28	36	18
ydjI	53	36	54	30
ydjJ	43	41	34	18
ydjK	27	24	25	18
ydjL	32	35	27	15
gapA	42272	29884	5452	4418
yeaD	595	325	71	59
yeaE	257	165	141	129
mipA	4362	3193	247	201
yeaG	284	188	3311	2441
yeaH	45	32	1074	828
yeaI	2	3	30	25
yeaJ	155	113	133	101
yeaM	70	37	62	51
yeaN	50	40	27	24
