	IAI1_batch1	IAI1_batch2	IAI1_starvation1	IAI1_starvation2
ybdR	40	26	70	56
rna	189	130	339	288
citT	19	13	21	31
citG	6	5	0	1
citF	3	1	2	4
citE	4	5	5	5
citC	9	7	12	14
citA	156	92	72	49
citB	52	47	37	24
dcuC	17	15	23	17
lipA	945	701	2910	2398
ybeF	47	48	89	75
lipB	241	138	57	61
dacA	1361	946	268	239
rlpA	1170	750	150	120
mrdB	510	351	61	36
mrdA	739	547	72	50
phpB	75	49	16	12
nadD	171	121	52	45
holA	585	399	73	60
leuS	7709	5412	2695	1959
ybeQ	64	48	157	148
ybeU	7	11	6	7
hscC	62	43	59	58
rihA	499	361	580	409
gltL	680	508	446	288
gltK	446	315	358	318
gltJ	515	372	437	295
gltI	4413	3067	8270	6517
ybeX	1711	1158	1069	823
ybeZ	1309	915	1110	874
miaB	1355	966	101	71
asnB	2387	1490	370	274
nagD	497	294	150	97
nagC	550	374	349	281
nagA	990	709	433	358
nagB	554	404	387	346
nagE	1345	981	3071	2483
glnS	3616	2528	1210	995
ybfM	28	22	202	193
ybfF	289	181	95	93
pgm	4898	3386	3601	2561
potE	78	60	238	211
kdpE	60	37	54	45
kdpD	161	91	161	120
kdpB	33	20	17	11
ybgH	403	307	53	39
ybgI	1190	885	472	324
ybgJ	825	528	282	218
ybgK	966	730	369	251
nei	245	192	53	37
abrB	58	37	21	18
gltA	9599	6088	8364	6295
sdhA	9641	6753	11232	8348
sdhB	3931	2942	4643	3540
sucA	18838	12552	20312	14620
sucB	12045	7925	9053	6169
sucC	13132	8836	11887	8454
sucD	10225	6606	12092	9334
mngR	109	82	101	95
mngA	15	2	7	13
cydA	4231	3587	4759	3368
cydB	2581	2160	3898	2924
tolQ	1298	927	164	89
tolA	2152	1428	352	257
tolB	8869	6433	2035	1455
ybgF	3869	2686	657	528
nadA	1475	863	162	94
pnuC	782	488	173	124
zitB	211	130	207	169
aroG	8700	6027	1075	873
gpmA	8103	5576	3442	2385
galM	3012	2282	1011	859
galK	684	559	293	220
galT	349	213	138	122
galE	379	242	228	182
modF	1791	1253	334	251
modE	286	182	180	172
modA	270	202	137	131
modB	148	107	102	44
modC	262	178	101	72
ybhA	298	226	69	44
pgl	644	450	184	113
ybhD	26	9	49	42
ybhH	4	1	22	19
ybhI	1169	845	223	199
ybhJ	67	67	22	34
ybhC	2704	2226	90	66
bioB	1635	1034	1001	641
bioC	458	278	47	33
bioD	455	308	34	22
uvrB	742	529	1150	977
ybhK	377	237	208	137
moaA	963	588	679	514
ybhL	493	294	1974	1791
ybhN	8	4	16	18
ybhO	13	8	31	16
ybhP	14	13	34	26
ybhR	46	37	78	64
ybhS	74	60	55	57
ybhF	252	185	143	87
ybhG	160	100	117	66
ybiH	58	40	58	37
rhlE	188	111	21	29
dinG	205	136	240	186
ybiB	313	226	259	183
ybiC	2642	1885	867	634
ybiX	50	41	71	53
fiu	378	123	77	42
ybiN	282	201	50	35
ybiO	53	27	56	51
glnQ	785	571	934	808
glnP	540	440	1233	1058
glnH	2287	1675	9485	7812
rhtA	66	46	28	21
ybiR	264	192	209	149
ybiS	1606	1102	402	344
ybiT	2162	1539	399	306
ybiU	108	79	31	25
ybiV	283	220	72	41
ybiW	65	39	69	48
ybiY	11	5	5	3
fsaA	49	32	41	35
moeB	274	194	134	96
moeA	446	291	310	234
iaaA	1526	1027	404	283
yliA	1244	848	224	162
yliB	1149	822	255	195
yliC	414	262	57	47
yliD	330	234	28	25
yliE	417	421	20	20
yliF	167	181	47	25
yliG	656	412	50	83
yliI	23	25	70	61
yliJ	877	643	210	154
dacC	928	730	1038	775
deoR	472	363	240	226
cmr	224	173	126	133
ybjI	225	137	71	51
ybjJ	107	77	53	53
ybjL	422	264	545	464
nfsA	429	263	146	114
rimK	370	247	91	92
potF	1473	1053	417	330
potG	608	439	122	103
potH	313	208	70	39
potI	273	177	118	97
rumB	279	190	27	14
artJ	3931	2815	116	93
artM	730	544	83	57
artQ	656	525	85	66
artI	1543	1202	435	314
artP	937	636	192	153
ybjR	231	162	306	235
ybjS	263	149	94	73
ybjT	561	344	106	84
ltaE	893	540	134	112
poxB	47	23	112	93
hcr	27	8	35	31
hcp	15	16	17	16
ybjE	155	76	25	28
aqpZ	100	54	184	141
ybjD	448	325	1166	876
ybjX	2316	1691	2049	1800
macA	351	228	347	250
macB	377	248	537	414
clpA	6294	4321	28012	23031
aat	116	54	28	32
cydC	484	311	114	70
cydD	566	374	119	124
trxB	5468	3746	482	362
lolA	723	542	656	481
ycaJ	507	405	151	116
serS	5551	4025	4176	3306
dmsA	80	92	64	40
dmsB	26	33	39	24
dmsC	71	68	101	67
ycaC	40	25	97	81
ycaD	239	200	152	109
ycaM	22	11	30	27
ycaN	91	70	128	120
pflA	300	214	614	599
pflB	11469	10594	13985	10433
focA	966	945	1918	1312
ycaO	1743	1174	58	57
ycaP	333	237	546	476
serC	12366	8189	1316	1004
aroA	5723	3980	191	115
ycaL	77	53	39	38
cmk	2884	2112	311	273
rpsA	85900	63854	9151	7940
msbA	1873	1250	319	212
lpxK	431	272	62	40
kdsB	1218	849	401	292
ycbJ	80	66	311	234
smtA	549	426	247	168
mukF	1113	789	281	208
mukE	664	531	166	106
mukB	4496	3148	737	572
ycbB	559	360	876	650
ycbL	1247	895	1197	871
aspC	6452	3976	1928	1612
ompF	25326	18016	16544	12561
asnS	4933	3386	1349	1197
pncB	1338	812	156	132
pepN	2360	1523	4762	3546
ssuC	13	8	11	7
ssuA	15	16	9	11
ycbR	19	8	15	14
ycbT	64	36	36	28
ycbF	30	24	22	12
pyrD	811	523	30	20
ycbX	475	252	230	135
ycbY	1224	883	136	116
uup	1396	970	140	133
pqiA	317	229	123	80
pqiB	714	567	254	213
ycbZ	1034	748	303	252
yccR	144	105	250	245
yccS	411	326	215	150
helD	820	608	523	367
yccT	12	6	20	25
yccW	587	424	192	146
yccA	2525	1723	5348	4274
hyaA	7	2	7	5
hyaB	9	4	7	7
hyaC	6	8	10	5
hyaF	12	8	12	9
appC	78	72	89	45
appB	33	24	25	16
appA	62	43	55	40
yccC	7462	5813	220	198
yccZ	3544	2552	31	32
ymcA	2988	2143	17	23
ymcB	705	472	8	7
ymcC	1470	1103	85	78
yccM	56	30	39	33
torR	102	71	103	76
torC	15	13	12	11
torA	31	30	60	45
cbpA	264	227	309	206
agp	269	212	4509	3380
rutG	34	14	44	38
rutD	4	4	7	3
rutB	0	2	2	2
rutA	2	4	7	4
rutR	123	87	221	169
putP	2727	1796	4302	3745
efeO	3026	1636	97	67
efeB	1599	904	90	65
phoH	361	243	8730	7438
ycdW	788	523	446	289
ycdX	937	667	558	358
csgG	47	39	95	67
csgD	25	22	97	60
ymdC	101	77	125	107
mdoC	72	54	68	42
mdoG	2007	1350	794	708
mdoH	1694	1138	502	403
mdtG	20	11	25	24
lpxL	114	71	117	97
yceA	1678	1103	61	65
solA	1233	739	451	320
pyrC	648	344	49	44
grxB	316	171	109	104
mdtH	41	23	61	59
yceH	460	323	647	437
mviM	542	387	725	572
mviN	265	196	43	43
flgA	21	11	19	14
flgD	11	4	7	4
flgF	6	4	2	4
flgG	11	5	2	1
flgH	3	5	3	4
flgI	9	7	2	1
flgJ	8	4	6	2
flgK	43	33	61	44
flgL	40	30	96	89
rluC	1035	820	148	118
plsX	2944	2198	257	186
fabH	4207	3027	562	453
fabD	4953	3258	632	425
fabG	7863	5253	3574	2488
fabF	8161	5678	3348	2749
pabC	331	254	138	102
yceG	328	245	99	64
tmk	299	188	72	53
holB	319	192	74	64
ycfH	443	300	83	88
ptsG	12883	9249	433	380
fhuE	325	127	194	186
ycfM	823	574	252	178
ycfN	411	256	141	106
nagZ	921	643	545	446
ndh	959	651	119	90
ycfQ	116	69	472	410
ycfS	155	113	136	120
mfd	1646	996	555	420
lolC	485	268	58	35
lolD	395	232	19	22
lolE	803	597	458	346
ycfX	584	414	364	256
cobB	760	526	232	200
potD	4785	3519	202	149
potC	573	402	33	43
potB	373	243	27	22
potA	728	420	64	52
pepT	363	307	684	535
ycfD	1081	780	523	452
phoQ	1704	1327	435	318
phoP	1371	1090	971	727
purB	1521	848	88	63
hflD	274	138	61	60
trmU	1009	674	102	78
ymfC	100	71	59	43
icd	39514	27458	38871	30130
ycgE	497	328	334	253
ycgF	192	119	107	89
ycgG	13	10	25	20
minD	3298	2523	1499	1120
minC	1154	745	699	503
ycgM	975	677	537	405
umuC	68	51	95	74
nhaB	360	226	130	114
fadR	497	360	1486	1158
ycgB	31	29	809	682
dadA	244	163	2981	2130
dadX	133	93	1038	804
cvrA	360	275	119	111
emtA	553	409	121	99
ycgR	92	54	22	11
treA	30	24	190	121
dhaH	1048	733	238	190
dhaL	474	322	85	83
dhaK	871	562	192	140
dhaR	268	161	134	106
ychF	3004	2322	712	507
ychM	215	138	526	432
prsA	3780	2211	298	273
ispE	1008	568	131	124
lolB	440	291	100	80
hemA	824	636	307	220
prfA	717	594	122	81
prmC	289	206	25	37
ychA	654	533	502	407
kdsA	2216	1715	786	565
chaA	1646	1167	384	300
chaC	320	249	301	202
ychP	146	106	57	34
narL	355	232	93	62
narX	272	185	130	100
narK	14	11	40	25
narG	63	48	68	45
narH	56	33	50	51
narJ	16	17	22	23
narI	20	13	22	24
purU	2111	1607	369	244
rssA	321	243	312	242
rssB	232	172	256	174
galU	2097	1583	1042	739
tdk	514	415	146	114
adhE	8423	5824	8605	7106
ychE	75	61	68	72
oppA	1658	1115	943	658
oppB	321	223	70	68
oppC	422	311	79	66
oppD	559	383	141	93
oppF	610	393	263	205
cls	952	665	1088	773
kch	342	245	176	113
tonB	731	377	605	514
yciC	574	443	699	553
ompW	525	927	2550	1605
trpA	2496	1633	146	143
trpB	4600	2742	208	171
trpD	2482	1274	81	85
trpE	1305	743	29	34
yciV	418	317	374	385
yciO	356	234	258	221
rluB	1206	860	149	94
yciK	626	439	483	361
sohB	1637	1123	952	777
topA	5958	4136	1336	1042
cysB	568	434	597	457
acnA	1476	1105	2457	1709
pgpB	225	154	225	167
yciM	814	612	826	576
pyrF	1329	959	49	32
deoT	314	201	210	204
gmr	644	481	404	331
rnb	5397	3536	208	155
fabI	6623	4837	2958	2432
sapF	188	133	44	33
sapD	301	196	85	76
sapC	107	71	45	32
sapB	122	93	85	46
sapA	276	186	170	140
puuP	47	31	68	44
puuA	134	66	161	136
puuD	180	108	300	293
puuB	14	6	4	6
puuE	20	12	25	16
pspF	137	82	141	99
pspA	524	425	1449	1098
ycjM	9	7	36	28
ycjN	2	4	9	3
ycjO	3	4	8	5
ycjP	3	3	6	3
ycjQ	13	13	8	6
ycjR	8	8	4	8
ycjS	18	10	15	11
ycjU	2	1	3	2
ompG	6	11	14	7
ycjW	161	100	55	54
ycjX	243	160	341	261
ycjF	245	151	237	177
tyrR	957	723	867	645
ycjG	172	119	672	477
mpaA	111	68	141	114
ycjZ	159	123	111	69
mppA	959	777	1411	1074
ynaI	220	171	209	174
uspE	1375	1043	8920	6788
fnr	2207	1453	4029	3419
abgT	17	10	9	19
abgB	19	11	25	15
abgA	28	20	14	14
abgR	91	67	120	120
ydaM	55	45	163	107
ydaN	391	264	321	254
dbpA	155	107	47	27
ydaO	866	688	128	108
ompN	77	51	171	134
ldhA	607	424	503	355
feaR	155	108	1247	1054
feaB	131	95	407	367
maoC	37	30	23	18
paaA	26	14	14	14
paaC	26	21	20	10
paaJ	29	19	23	13
paaF	17	16	1	2
paaG	27	11	5	4
paaH	50	38	17	9
paaE	87	64	1322	968
paaK	81	58	806	602
paaX	205	137	226	169
ydbC	66	47	1458	1164
azoR	340	261	181	208
hrpA	1394	931	227	183
ydcF	144	101	134	80
aldA	580	374	6358	5000
trg	68	63	149	115
ydcI	491	332	2213	1769
ydcJ	56	27	319	191
mdoD	1437	994	623	430
ydcK	41	28	90	70
tehA	100	60	116	95
ydcL	417	283	429	332
ydcO	75	41	59	50
ydcP	1475	1097	201	157
ydcR	269	169	57	80
ydcS	28	20	354	230
ydcT	9	15	58	67
ydcU	13	9	49	26
ydcV	19	12	37	24
ydcW	97	71	127	93
yncB	137	113	662	443
yncC	62	51	249	169
yncD	337	211	67	58
yncE	8137	3875	4186	3140
ansP	444	325	55	61
yncG	7	9	30	19
nhoA	90	71	96	61
narV	36	13	60	47
narW	11	7	18	20
narY	25	27	52	30
narZ	55	38	75	58
narU	9	10	43	44
yddG	149	115	25	26
fdnG	112	82	388	335
fdnH	29	30	97	85
fdnI	47	39	56	57
adhP	85	40	127	88
sfcA	1784	1315	615	476
ddpD	24	7	20	21
ddpC	19	11	23	16
ddpB	9	4	12	13
ddpA	16	14	44	39
dos	286	206	142	129
yddV	355	230	501	350
yddW	255	195	250	206
gadC	76	59	151	99
gadB	162	115	102	87
ydeM	21	11	87	72
ydeN	120	68	449	451
ydeO	8	5	13	5
ydeP	211	168	319	207
ydeQ	70	70	26	15
lsrK	79	57	689	568
lsrR	130	110	587	481
lsrC	17	13	92	53
lsrD	12	11	44	34
lsrB	28	30	96	54
lsrF	70	39	112	73
tam	35	28	87	69
yneE	66	49	29	19
uxaB	164	108	181	134
yneF	215	177	187	187
yneH	283	207	18	15
yneI	147	138	53	41
ydeA	128	107	43	31
marC	108	85	93	60
eamA	422	264	336	265
ydeE	66	48	88	58
ydeH	230	194	1059	669
dcp	2048	1488	434	252
ydfG	1567	1097	644	470
ydfH	357	285	247	215
ydfT	32	33	55	38
