	YJ016_HS1	YJ016_HS2	YJ016_CMCP6ref_ASW1	YJ016_CMCP6ref_ASW2
VV1_RS05390	191	174	469	240
VV1_RS05400	863	323	441	175
VV1_RS05415	17222	3431	671	329
VV1_RS05420	1334	778	852	324
VV1_RS05430	1150	702	1413	425
VV1_RS05440	1617	1025	145	74
VV1_RS05450	1333	788	361	204
VV1_RS05470	503	125	417	186
VV1_RS05495	2295	2428	778	428
VV1_RS05500	235	479	155	58
VV1_RS05505	1749	1739	819	318
VV1_RS05510	9909	8563	1890	681
VV1_RS05520	664	674	747	480
VV1_RS05540	775	925	142	37
VV1_RS05545	5688	4107	13021	6185
VV1_RS05550	6150	11575	827	333
VV1_RS05555	1734	1348	3430	2850
VV1_RS05560	2643	985	896	538
VV1_RS05570	814	589	3901	961
VV1_RS05580	389	161	266	91
VV1_RS05585	533	259	192	62
VV1_RS05655	3589	2061	1250	596
VV1_RS05660	1361	1043	709	378
VV1_RS05725	10808	18320	18682	3126
VV1_RS05745	250	430	215	83
VV1_RS05760	423	750	881	464
VV1_RS05770	10154	640	984	298
VV1_RS05780	5831	2084	3069	2565
VV1_RS05785	1057	2094	877	207
VV1_RS05800	255	288	1327	662
VV1_RS05810	1695	972	976	219
VV1_RS05820	420	624	989	287
VV1_RS05835	237	377	4582	3292
VV1_RS05840	115	51	443	319
VV1_RS05845	92	79	1986	1138
VV1_RS05850	2579	74	211	46
VV1_RS05855	1676	1718	3407	915
VV1_RS05875	157	157	15057	18059
VV1_RS05885	60	55	364	224
VV1_RS05890	1668	344	4487	2428
VV1_RS05900	15791	501	646	200
VV1_RS05930	14864	2345	5405	3028
VV1_RS05950	61	73	148	25
VV1_RS05975	185	416	259	82
VV1_RS05985	1995	4212	874	671
VV1_RS06000	15850	5244	3093	566
VV1_RS06005	106842	30009	18378	6323
VV1_RS06010	470	363	951	149
VV1_RS06020	1961	1085	5747	1453
VV1_RS06025	4168	4429	329	340
VV1_RS06030	751	418	579	168
VV1_RS06035	1091	713	429	333
VV1_RS06060	18399	50205	8247	2761
VV1_RS06065	906	465	417	319
VV1_RS06070	3705	827	987	640
VV1_RS06080	4013	2753	4837	2684
VV1_RS06135	619	274	632	226
VV1_RS06145	3662	1563	1529	642
VV1_RS06165	6907	6134	6776	1948
VV1_RS06170	7892	6884	18984	3589
VV1_RS06175	10479	9819	17202	3941
VV1_RS06185	4415	7054	2221	791
VV1_RS06190	6709	5657	12204	7352
VV1_RS06195	317	109	393	179
VV1_RS06205	1467	359	351	142
VV1_RS06210	21085	12823	36550	12840
VV1_RS06215	2091	881	3580	1555
VV1_RS06220	475	263	242	114
VV1_RS06225	2075	4568	1026	468
VV1_RS06230	804	380	325	116
VV1_RS06250	1216	5485	33011	25111
VV1_RS06260	618	3103	22915	29784
VV1_RS06265	8364	14605	2090	1004
VV1_RS06270	755	1179	1776	959
VV1_RS06280	809	220	3207	1807
VV1_RS06290	1831	807	10246	2524
VV1_RS06300	2382	2784	4632	2289
VV1_RS06315	3522	2061	446	186
VV1_RS06325	819	206	749	272
