	YJ016_HS1	YJ016_HS2	YJ016_ASW1	YJ016_ASW2
VV1_RS03515	318	2744	10356	2000
VV1_RS03520	126	118	4079	978
VV1_RS03540	152	142	646	382
VV1_RS03565	6354	11318	11954	3450
VV1_RS03775	1983	3517	2095	1379
VV1_RS03850	584	631	676	181
VV1_RS03915	5973	6185	3971	2066
VV1_RS03930	299	215	177	79
VV1_RS03945	2132	1212	2370	707
VV1_RS03950	4316	2810	1233	492
VV1_RS03965	965	864	397	209
VV1_RS03990	29403	1685	8461	5535
VV1_RS03995	985	1750	777	306
VV1_RS04020	684	1257	645	236
VV1_RS04025	53	79	48	18
VV1_RS04045	1096	4005	5498	3066
VV1_RS04050	1569	6734	12636	6576
VV1_RS04055	416	1594	2557	575
VV1_RS04060	248	534	2862	853
VV1_RS04070	50	361	442	673
VV1_RS04075	80	749	588	932
VV1_RS04090	140	283	428	657
VV1_RS04095	409	711	544	558
VV1_RS04110	1785	1715	1158	455
VV1_RS04115	34	30	29	13
VV1_RS04120	4314	3315	1203	741
VV1_RS04125	197	81	202	67
VV1_RS04155	475	454	194	53
VV1_RS04175	2137	2093	25689	6920
VV1_RS04180	479	368	361	186
VV1_RS04190	504	489	488	187
VV1_RS04195	1008	699	543	539
VV1_RS04200	671	375	267	324
VV1_RS04210	1894	806	396	470
VV1_RS04220	215	316	197	189
VV1_RS04225	528	602	332	298
VV1_RS04235	2032	1483	975	710
VV1_RS04250	245382	3850	29454	18103
VV1_RS04260	1475	1624	1700	354
VV1_RS04275	1876	1700	7469	6745
VV1_RS04285	540	1267	778	207
GLNG	1083	24431	3480	2250
VV1_RS04310	875	4501	28873	12922
VV1_RS04315	1399	506	418	163
VV1_RS04330	1534	676	3788	955
VV1_RS04335	7398	2735	4229	1992
VV1_RS04345	3814	5632	2530	1124
VV1_RS04350	5736	2268	421	197
VV1_RS04355	860	649	1099	557
VV1_RS04360	1181	758	917	380
VV1_RS04380	1292	1184	1223	486
VV1_RS04395	349	608	6989	1424
VV1_RS04400	1511	1604	55327	9986
VV1_RS04495	284	1518	5788	4768
VV1_RS04510	9816	6865	6044	4108
VV1_RS04515	5984	4957	2335	1666
VV1_RS04520	114	73	137	75
VV1_RS04530	293	236	2809	381
VV1_RS04535	486	356	334	114
VV1_RS04540	346	498	329	85
VV1_RS04545	70	48	97	30
VV1_RS04560	168	115	136	34
VV1_RS04565	44	12	41	8
VV1_RS04580	64	83	82	74
VV1_RS04585	97	88	53	45
VV1_RS04590	2029	2444	624	398
VV1_RS04610	40	86	25	5
VV1_RS04620	911	786	1076	571
VV1_RS04680	329	346	295	229
VV1_RS04685	371	446	320	209
VV1_RS04700	1716	3482	1115	585
VV1_RS04705	1635	1222	460	317
VV1_RS04770	2618	2481	1115	436
VV1_RS04780	378	161	1575	515
VV1_RS04785	256	220	1228	380
VV1_RS04790	229	161	514	155
VV1_RS04805	1455	2010	761	343
VV1_RS04830	7530	7823	2009	595
VV1_RS04835	12575	10474	2496	927
VV1_RS04845	8857	5814	5735	3799
VV1_RS04865	19799	14504	8487	7434
VV1_RS04870	5007	4794	2902	1378
VV1_RS04875	19682	15820	9519	3143
VV1_RS04890	255	274	480	189
VV1_RS04895	2340	675	22116	9438
VV1_RS04900	170	112	814	369
VV1_RS04905	291	226	355	73
VV1_RS04910	1087	2017	447	213
VV1_RS04915	4838	9598	2103	1010
VV1_RS04920	3098	4969	1248	560
VV1_RS04930	2521	4768	1131	612
VV1_RS04945	403	211	496	188
VV1_RS04950	1244	559	1201	280
VV1_RS04955	628	635	619	430
VV1_RS04960	4522	621	1829	799
VV1_RS04970	51956	6432	12195	6339
VV1_RS04975	2730	3093	1451	664
VV1_RS04980	970	552	384	197
VV1_RS04990	796	416	1216	5060
VV1_RS05005	409	184	451	239
VV1_RS05010	2429	3018	8130	1120
VV1_RS05025	2817	2028	491	152
VV1_RS05040	1805	1395	727	239
VV1_RS05105	232	205	191	141
VV1_RS05110	7117	16386	2202	1172
VV1_RS05120	14452	8164	6118	1452
VV1_RS05125	8990	4979	4192	1217
VV1_RS05135	1142	779	557	553
VV1_RS05170	3959	21707	12934	3287
VV1_RS05175	2403	34127	18511	4236
VV1_RS05180	508	5156	2411	522
VV1_RS05185	657	5200	3168	873
VV1_RS05200	106	87	50	53
VV1_RS05220	431	363	1747	650
VV1_RS05225	663	383	18598	4527
VV1_RS05230	416	271	3542	535
VV1_RS05235	572	330	1536	433
VV1_RS05240	3411	236	589	92
VV1_RS05250	11252	445	922	164
VV1_RS05255	4796	341	243	66
VV1_RS05275	10877	3268	6461	1496
VV1_RS05280	1256	1610	1964	1158
VV1_RS05285	2088	4158	15560	3704
VV1_RS05295	2403	1124	3171	960
VV1_RS05300	4828	3719	2989	1799
VV1_RS05310	6441	710	10225	3890
VV1_RS05330	118	75	433	171
VV1_RS05335	2927	1764	616	357
VV1_RS05340	1989	971	542	324
VV1_RS05370	6007	10511	2033	929
VV1_RS05380	509	1046	258	210
VV1_RS05390	191	174	564	255
VV1_RS05400	863	323	444	178
VV1_RS05415	17222	3431	672	330
VV1_RS05420	1334	778	854	324
VV1_RS05430	1150	702	1416	428
VV1_RS05440	1617	1025	145	74
VV1_RS05450	1333	788	374	205
VV1_RS05470	503	125	415	186
VV1_RS05495	2295	2428	847	443
VV1_RS05500	235	479	155	58
VV1_RS05505	1749	1739	827	321
VV1_RS05510	9909	8563	1894	683
VV1_RS05520	664	674	747	480
VV1_RS05540	775	925	165	47
VV1_RS05545	5688	4107	13020	6186
VV1_RS05550	6150	11575	831	334
VV1_RS05555	1734	1348	3397	2864
VV1_RS05560	2643	985	896	539
VV1_RS05570	814	589	4046	983
VV1_RS05580	389	161	293	104
VV1_RS05585	533	259	192	62
VV1_RS05655	3589	2061	1251	596
VV1_RS05660	1361	1043	712	383
VV1_RS05725	10808	18320	18343	3080
VV1_RS05745	250	430	215	84
VV1_RS05760	423	750	864	459
VV1_RS05770	10154	640	986	299
VV1_RS05780	5831	2084	3092	2580
VV1_RS05785	1057	2094	888	214
VV1_RS05800	255	288	1338	681
VV1_RS05810	1695	972	976	219
VV1_RS05820	420	624	997	289
VV1_RS05835	237	377	4742	3369
VV1_RS05840	115	51	426	319
VV1_RS05845	92	79	2002	1144
VV1_RS05850	2579	74	226	52
VV1_RS05855	1676	1718	3413	918
VV1_RS05875	157	157	15126	18146
VV1_RS05885	60	55	369	226
VV1_RS05890	1668	344	4539	2456
VV1_RS05900	15791	501	752	238
VV1_RS05930	14864	2345	5403	3036
VV1_RS05950	61	73	140	23
VV1_RS05975	185	416	259	83
VV1_RS05985	1995	4212	979	727
VV1_RS06000	15850	5244	3100	563
VV1_RS06005	106842	30009	18855	6557
VV1_RS06010	470	363	726	113
VV1_RS06020	1961	1085	5751	1453
VV1_RS06025	4168	4429	340	360
VV1_RS06030	751	418	567	167
VV1_RS06035	1091	713	394	320
