"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","YJ016_HS1","YJ016_HS2","YJ016_ASW1","YJ016_ASW2"
"43","VV1_RS10780",1268.84428767968,-3.66538983861938,0.362689630372372,-10.1061335413867,5.18919482791156e-24,1.51814118453785e-22,158.348075380478,204.867664056393,2110.91911813702,2601.24229314482
"44","VV1_RS08300",5455.91140878174,-4.43999449431637,0.439860737413499,-10.0940914172625,5.86718713101854e-24,1.67748213882303e-22,394.481170246103,529.924357692537,12754.0613754318,8145.17873175657
"45","VV1_RS14060",17658.2678937075,-5.26446456950992,0.522872488013033,-10.0683525911172,7.62444364925038e-24,2.13145558016822e-22,647.976992675376,1025.24884323333,25098.8032542719,43861.0424846495
"46","VV1_RS13025",6237.36210570489,-3.99790908717107,0.400076107866421,-9.99287137762775,1.63767817821067e-23,4.47869380041093e-22,834.799941260238,592.750441336497,12742.366532672,10779.5315075508
"47","VV1_RS10760",5194.53192034731,-4.25485463553728,0.426873073747973,-9.96749361157729,2.11498639067745e-23,5.66096357334516e-22,588.249209856424,409.735328112786,11572.8822566958,8207.26088672423
"48","VV1_RS02010",12750.3559651903,-4.76802105734804,0.479475725877543,-9.94423867573598,2.67209362333647e-23,7.00311203782766e-22,912.584960745385,803.081243101061,31772.3817405389,17513.375916376
"49","VV1_RS12815",1140.67284534186,3.57940290689065,0.363554941733654,9.84556251614088,7.16373548501871e-23,1.83917943676603e-21,1809.89072123476,2409.24372930318,186.282138244779,157.274792584731
"50","VV1_RS12695",16699.9580694429,-4.35391747957327,0.444389688990821,-9.79752138142702,1.15382138196231e-22,2.90301459701717e-21,1620.98424534226,1373.06861065351,38501.093056959,25304.6863648169
"51","VV1_RS10520",920.058092433144,-3.14915306566344,0.324008198598287,-9.71936228554462,2.49338139032967e-22,6.1503407628132e-21,198.629603328143,168.446746001923,1508.63471600929,1804.52130439322
"52","VV1_RS14045",11995.851639464,-5.85874157029863,0.603350493433283,-9.71034520409567,2.72412936520004e-22,6.59029757965702e-21,501.43557203818,231.272829645884,31680.4936902836,15570.2044658883
"53","VV1_RS08275",2890.01643212304,-4.7099962664299,0.486112377230746,-9.68910994050698,3.35439079470398e-22,7.96193135799549e-21,148.624947944834,255.856949332651,6956.76075023551,4198.82308097919
