	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_chemostat1	K12_chemostat2
ybhG	374	227	392	235
ybiH	122	87	128	101
rhlE	76	41	94	49
dinG	320	168	351	181
ybiB	807	450	809	454
ybiC	4713	2780	4740	2795
ybiX	152	89	154	91
fiu	530	267	552	283
ybiN	256	163	281	173
ybiO	178	98	196	117
glnQ	2851	1449	3067	1560
glnP	2759	1413	2779	1419
glnH	12055	6062	12063	6068
rhtA	101	47	101	47
ybiR	419	242	423	245
ybiS	1550	1080	1622	1144
ybiT	2564	1465	2708	1543
ybiU	160	104	162	107
ybiV	374	278	378	280
ybiW	120	50	147	67
ybiY	30	11	30	10
fsaA	102	71	110	73
moeB	363	194	440	244
moeA	638	358	729	389
iaaA	4241	1795	4159	1754
yliA	2773	1264	2802	1277
yliB	2185	1194	2372	1283
yliC	691	347	704	354
yliD	424	227	448	245
yliE	285	195	295	198
yliF	132	68	133	70
yliG	513	362	513	362
yliI	182	109	185	110
yliJ	2221	1341	2227	1348
dacC	2852	1479	2931	1516
deoR	613	343	620	344
cmr	217	142	224	145
ybjI	426	255	456	264
ybjJ	172	117	172	117
ybjL	526	343	532	345
nfsA	702	413	703	413
rimK	466	245	478	256
potF	2075	1129	2267	1224
potG	442	295	677	424
potH	291	160	311	165
potI	212	115	243	131
rumB	201	97	275	136
artJ	3721	1719	4520	2128
artM	794	391	840	422
artQ	720	380	720	380
artI	2376	1191	2431	1210
artP	1116	623	1116	623
ybjR	541	310	544	316
ybjS	351	176	351	176
ybjT	672	387	721	409
ltaE	1037	583	1179	655
poxB	1053	698	1288	839
hcr	31	17	31	17
hcp	27	15	27	15
ybjE	63	54	64	54
aqpZ	126	72	126	73
ybjD	878	514	989	573
ybjX	2699	1845	2703	1847
macA	726	352	729	352
macB	684	358	739	396
clpA	20687	11466	21009	11675
aat	131	97	131	97
cydC	748	497	800	526
cydD	843	483	884	504
trxB	4292	2465	4538	2601
lolA	1244	719	1242	718
ycaJ	509	297	539	316
serS	3131	1931	3290	2023
dmsA	124	83	128	86
dmsB	36	29	40	32
dmsC	89	49	107	57
ycaC	643	390	654	394
ycaD	196	117	212	128
ycaM	109	68	112	71
ycaN	93	77	95	80
pflA	414	279	418	283
pflB	33555	18230	33768	18345
focA	2237	1198	2323	1250
ycaO	1000	605	1027	625
ycaP	330	163	367	183
serC	8182	5409	8434	5561
aroA	4634	3018	4675	3050
ycaL	101	58	70	42
cmk	6778	3891	6808	3907
rpsA	90025	49709	90301	49871
msbA	2318	1456	2421	1504
lpxK	380	203	383	205
kdsB	1169	689	1208	721
ycbJ	347	152	347	152
smtA	1321	596	1419	641
mukF	1997	1070	1948	1043
mukE	1197	680	1228	703
mukB	6580	3510	7031	3760
ycbB	1010	561	1014	565
ycbL	3081	1539	3089	1542
aspC	6967	4420	7070	4479
ompF	605520	266441	605735	266540
asnS	6959	4146	7270	4297
pncB	2221	1534	2315	1591
pepN	4896	2577	5590	2962
ssuC	21	7	21	8
ssuA	25	20	30	21
ycbR	20	7	21	7
ycbT	106	42	126	53
ycbF	98	57	100	59
pyrD	532	371	532	371
ycbX	828	493	829	497
ycbY	1578	840	1634	862
uup	2623	1413	2638	1419
pqiA	463	262	463	262
pqiB	1004	491	964	464
ycbZ	1994	1116	1998	1119
yccR	456	252	456	252
yccS	651	396	656	399
helD	1742	998	1745	1001
yccT	50	25	50	25
yccW	643	413	841	529
yccA	4502	3052	4964	3346
hyaA	19	12	20	12
hyaB	26	18	26	18
hyaC	20	7	20	7
hyaF	28	12	28	12
appC	121	69	121	69
appB	63	41	63	40
appA	128	72	128	72
yccC	417	222	417	222
yccZ	81	42	81	42
ymcA	86	43	91	45
ymcB	14	4	14	4
ymcC	25	14	25	14
yccM	49	22	47	21
torR	234	99	250	106
torC	52	25	52	25
torA	146	85	151	88
cbpA	639	405	647	412
agp	5861	2364	5974	2414
rutG	105	48	118	54
rutD	7	1	7	1
rutB	5	4	7	5
rutA	12	4	12	4
rutR	287	175	294	176
putP	4551	1589	4979	1729
efeO	1014	481	1044	492
efeB	601	273	615	283
