	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_chemostat1	K12_chemostat2
rffT	284	149	305	157
wzyE	199	107	201	109
rffM	245	150	318	189
yifK	1558	752	1570	758
hemY	1742	956	1976	1073
hemX	2504	1337	2571	1366
hemD	835	447	854	456
hemC	905	505	962	537
cyaA	3021	2312	3173	2440
dapF	1282	658	1282	658
yigA	701	391	721	412
xerC	1137	555	1168	576
yigB	595	267	597	268
uvrD	971	520	1083	594
yigE	54	34	54	37
corA	987	537	1059	570
rarD	132	85	150	90
pldA	862	553	896	571
recQ	681	346	746	374
rhtC	498	266	540	279
rhtB	452	228	326	164
pldB	740	417	986	552
yigL	431	244	452	256
yigM	109	62	117	65
metR	445	251	482	274
ysgA	995	604	1133	697
udp	1787	984	1792	984
rmuC	1028	450	1043	465
ubiE	1797	999	1797	999
yigP	843	426	463	226
ubiB	1433	748	1435	748
tatC	855	489	856	489
tatD	347	183	347	183
ubiD	3095	1528	3259	1592
fre	2098	1063	2163	1093
fadA	1595	613	1627	625
fadB	5725	2062	5945	2147
pepQ	4458	2524	5009	2847
yigZ	518	285	536	293
trkH	701	434	722	447
yihE	1225	785	1244	797
dsbA	3075	1754	3082	1758
yihG	98	55	104	58
polA	4214	2118	4219	2122
hemN	1129	633	1129	634
glnG	660	315	662	316
glnL	535	263	535	263
glnA	4478	2858	4604	2945
bipA	8281	5336	8383	5392
yihL	177	101	214	128
yihM	424	199	425	200
yihN	184	101	191	104
ompL	22	8	22	10
yihO	47	34	49	34
yihP	24	14	28	17
yihQ	45	35	46	38
yihS	127	69	127	69
yihT	70	41	70	41
yihU	46	13	46	13
yihV	117	54	117	54
yihW	677	315	677	315
rbn	950	406	1056	451
yiiD	1659	833	1826	922
fdhE	588	284	670	315
fdoI	291	152	291	152
fdoH	444	231	463	239
fdoG	3997	2247	4072	2278
fdhD	388	207	394	209
frvB	20	16	20	16
rhaD	10	6	14	10
rhaA	17	11	21	15
rhaS	120	57	121	57
rhaR	95	37	94	37
sodA	31956	18070	31964	18075
kdgT	150	67	150	67
yiiM	477	262	488	268
cpxA	1884	1037	1924	1052
cpxR	2125	1247	2125	1247
fieF	1322	781	1325	781
pfkA	4282	2588	4323	2617
sbp	1322	638	1401	662
cdh	155	101	170	112
tpiA	7417	4474	8164	4924
fpr	1082	631	1195	696
glpX	3549	1667	3555	1669
glpK	114725	49867	121050	52700
glpF	41923	17569	41923	17569
menA	481	278	482	278
hslU	2961	1840	2992	1858
ftsN	844	465	870	480
cytR	1188	513	1200	520
yiiX	113	58	234	129
metB	1803	943	1820	952
metL	1984	984	2146	1058
metF	3952	2186	4404	2423
katG	8337	4471	9272	4945
yijE	98	46	104	55
yijF	12	9	13	9
gldA	199	108	220	120
fsaB	58	32	70	45
ptsA	65	28	66	31
frwC	73	33	73	33
pflD	144	70	166	78
pflC	65	28	68	30
yijO	61	32	64	35
yijP	727	402	844	470
ppc	7217	4581	7400	4734
argE	1746	954	1798	979
argC	2565	1154	2564	1154
argB	2310	962	2310	962
argH	3809	1686	3892	1715
oxyR	1450	864	1475	875
sthA	3638	1960	3761	2015
fabR	3855	1730	3849	1730
trmA	970	567	1061	621
btuB	2556	1321	2559	1323
murI	269	182	297	209
murB	1960	1028	2020	1053
birA	715	360	766	383
coaA	1398	742	1398	743
tufB	163491	86230	163475	86216
rplA	24218	13173	24218	13173
rpoB	45068	25144	45087	25157
rpoC	45413	24416	45883	24668
thiH	2978	1841	3330	2035
thiG	1586	991	1607	1005
thiF	1809	994	1824	1000
thiE	1484	944	1492	949
thiC	5701	3522	5708	3529
nudC	538	282	538	282
hemE	636	391	639	391
nfi	309	159	309	159
yjaH	535	295	626	337
zraR	368	192	381	204
purD	1263	758	1289	770
purH	1236	833	1359	902
metA	2653	1441	2830	1533
aceA	65448	35218	69521	37379
aceK	7990	4299	9744	5271
iclR	929	569	956	590
metH	7125	3736	7644	4002
yjbB	437	233	465	244
pepE	637	268	643	270
yjbC	456	272	651	395
lysC	2801	1494	2937	1560
pgi	8233	4844	8932	5207
yjbF	3	1	4	2
yjbG	5	6	5	7
yjbH	88	42	104	43
xylE	75	46	89	47
malG	521	285	532	287
malF	2060	951	2085	960
malE	21429	10426	22750	11078
malK	5480	2452	5572	2495
malM	1808	924	1813	927
ubiA	905	429	948	450
plsB	3183	1667	3286	1746
lexA	1670	928	1678	933
dinF	139	81	156	87
yjbM	11	10	11	10
yjbN	590	394	622	428
qor	1239	709	1323	755
dnaB	1378	732	1462	786
alr	503	297	517	307
tyrB	3675	2093	3682	2097
aphA	1276	451	1286	454
uvrA	1065	656	1319	782
yjcC	172	95	173	95
yjcE	597	364	619	379
actP	7099	3164	7670	3460
acs	29064	11625	29556	11825
nrfA	101	49	102	49
nrfC	6	6	7	7
nrfD	20	8	20	8
gltP	299	200	310	204
yjcO	703	368	743	383
fdhF	355	195	363	199
yjcQ	37	21	39	23
yjcR	12	11	12	13
phnL	22	13	22	16
phnK	28	13	30	13
phnJ	5	2	5	2
phnI	3	2	5	2
phnF	3	1	3	2
phnD	10	6	11	7
phnC	10	4	9	6
yjcZ	3956	2270	4050	2308
proP	2081	1705	2108	1729
basS	224	144	193	114
basR	208	85	217	93
eptA	119	55	123	59
adiC	23	8	24	8
adiY	9	10	9	10
adiA	79	34	78	35
melR	376	156	376	156
melA	303	147	307	148
melB	172	89	178	90
yjdF	161	83	166	86
fumB	298	122	298	122
dcuB	32	20	32	20
dcuR	709	340	749	369
dcuS	1193	594	1307	636
lysU	845	499	861	518
yjdL	129	64	132	67
cadA	99	46	100	49
cadB	13	5	13	5
cadC	68	43	69	44
dipZ	676	405	692	417
dcuA	2433	1505	2441	1511
aspA	9153	3662	9167	3666
yjeH	280	170	290	173
groL	44142	27485	45051	28059
yjeJ	459	264	464	269
yjeK	581	321	717	406
frdB	750	309	752	310
frdA	2287	881	2303	882
poxA	246	136	246	136
yjeP	665	405	732	442
psd	1143	693	1146	694
rsgA	2129	1138	2135	1142
yjeS	425	216	426	214
yjeF	650	258	671	274
amiB	783	496	845	525
mutL	1063	560	1109	596
miaA	8048	4535	8064	4539
hflX	6801	3826	6823	3838
hflK	5915	3499	5926	3503
hflC	4638	2790	4646	2795
purA	12336	7060	12429	7136
rnr	3886	2173	3977	2220
rlmB	451	284	467	302
yjfJ	20	15	21	15
yjfK	20	11	21	12
yjfC	20	4	24	6
aidB	264	158	285	173
yjfP	184	123	194	125
ulaR	489	237	497	242
ulaG	57	33	69	39
ulaA	53	34	78	38
ulaD	90	47	94	50
ulaE	96	37	106	49
ulaF	55	27	70	37
ytfB	1087	580	1027	552
fklB	650	360	651	360
cycA	4142	1799	4379	1897
ytfE	88	38	92	41
ytfF	66	44	65	38
ytfG	144	72	147	74
cpdB	2524	1097	3135	1352
cysQ	1147	575	1196	597
ytfL	260	158	261	159
msrA	359	223	363	224
ytfM	809	450	861	478
ytfQ	1000	360	1328	476
ytfT	90	32	118	41
yjfF	121	39	141	47
fbp	899	500	906	505
mpl	1865	1022	2058	1130
pmbA	1383	795	1485	853
nrdD	529	278	588	306
treC	232	104	237	105
treB	405	166	435	173
treR	205	135	218	141
mgtA	5325	2811	5460	2881
pyrB	13359	7167	13369	7172
yjgI	31	23	32	23
argI	3653	1584	4681	1997
valS	7928	4605	8592	5002
pepA	4719	2592	4927	2711
yjgP	1457	878	1467	882
yjgQ	897	500	937	530
yjgB	278	153	312	174
yjhT	312	171	340	185
yjhA	82	44	82	44
fimB	384	274	384	274
fimC	401	275	407	280
fimH	135	97	146	109
gntP	461	174	462	174
uxuA	895	422	922	434
uxuB	871	427	916	434
uxuR	555	286	564	292
yjiE	188	104	189	105
iadA	488	316	514	338
yjiH	14	12	14	12
yjiK	116	64	92	47
hgdC	58	22	59	22
yjiM	252	88	266	95
yjiN	127	61	161	95
yjiY	180	78	149	67
tsr	20189	10695	21818	11496
mdoB	1945	1117	2049	1152
dnaC	280	185	281	189
yjjP	61	35	65	36
yjjQ	6	3	4	3
bglJ	226	104	226	106
rsmC	520	320	535	329
yjjG	227	114	249	126
prfC	1775	1033	1983	1156
osmY	3084	1788	3121	1809
yjjU	723	378	728	379
yjjW	34	12	41	20
yjjI	64	47	64	47
deoC	311	173	330	184
deoA	706	332	739	353
deoB	1876	1037	2219	1246
deoD	2762	1537	3216	1798
ytjB	262	181	270	190
serB	836	416	885	437
radA	988	571	1101	632
nadR	886	468	1206	647
slt	1256	636	1325	673
ytjC	1314	567	1340	577
rob	1365	744	1481	811
creB	506	279	632	362
creC	308	166	324	179
arcA	7551	4056	7612	4086
yjtD	232	143	255	158
