"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_chemostat1","K12_IAI1ref_chemostat2","K12_chemostat1","K12_chemostat2"
"33","dapB",1572.05627593888,0.0327747910845994,0.0690416572099371,0.47471037644621,0.634993420940723,0.99990598088106,1596.76669787377,1476.62917784594,1661.62286964207,1553.20635839374
"34","carA",3803.82870172979,0.00451777557806903,0.0690433348600923,0.0654339131680666,0.947828523123751,0.99990598088106,4000.63189277439,3583.34195445528,4019.93839972306,3611.40255996643
"35","carB",8645.90461064166,0.0629376826612911,0.0683528564185681,0.920776189306319,0.357167288792895,0.99990598088106,8557.51758537762,8073.89399203161,9288.26885072171,8663.93801443572
"36","caiD",12.0881687042969,-0.00262101459637676,0.0232414055065115,-0.112773497955725,0.910210129847874,0.99990598088106,9.85190653647796,15.1661260096222,10.1495288721592,13.1851133989282
"37","caiB",44.2474232043015,0.00209933364704711,0.0409779282822849,0.0512308390161996,0.959141578121234,0.99990598088106,42.4389820032897,45.4983780288666,44.2229472286938,44.8293855563559
"38","caiA",131.629671599565,-0.0141420687426111,0.0572466496187344,-0.247037491919579,0.804879208725304,0.99990598088106,132.62181876028,136.4951340866,126.86911090199,130.532622649389
"39","caiT",13.7193602646231,-0.0021803646194491,0.0250711978399592,-0.0869669105308549,0.930697813995044,0.99990598088106,12.8832623938558,15.1661260096222,12.3244279161933,14.503624738821
"40","fixA",12.2543534442361,0.00316410375883113,0.0235167919489981,0.134546572750793,0.892970386124474,0.99990598088106,9.85190653647796,13.7873872814747,10.8744952201706,14.503624738821
"41","fixB",15.4386866267322,-0.00236316509988723,0.0260991728102143,-0.0905455938037381,0.92785366410737,0.99990598088106,13.6411013582002,17.9236034659172,13.0493942642047,17.1406474186067
"42","fixC",40.5654107373496,0.00381828254459021,0.0389896305507073,0.0979307187746856,0.92198730716485,0.99990598088106,43.9546599319786,35.8472069318343,44.2229472286938,38.2368288568918
"43","yaaU",28.4544715576469,-0.000848006784806992,0.0344531767051192,-0.0246133119179397,0.980363401141894,0.99990598088106,29.5557196094339,27.5747745629495,28.9986539204549,27.6887381377492
"44","kefC",270.608856311961,-0.0182806192494099,0.0639127932984222,-0.286024413986318,0.774859422679762,0.99990598088106,290.252323343927,261.96035834802,278.387077636367,251.835665919529
"45","apaH",333.720085442601,0.0243791131436108,0.0662948005570295,0.367737936290175,0.713068650556804,0.99990598088106,330.417788454184,321.246123658361,344.359015305402,338.857414352455
"46","ksgA",946.578565803944,-0.00747629844720008,0.0690440313535178,-0.108283052142771,0.913771165993545,0.99990598088106,958.666289895739,944.43602878102,949.705915894899,933.506028644116
"47","surA",3940.17063461667,-0.0275063874131521,0.0680365387073672,-0.404288459344767,0.686000610976265,0.99990598088106,3970.31833420062,4038.32573474395,3838.69681272022,3913.34165680189
"48","imp",6129.7992023821,-0.0357022590106606,0.068328790661423,-0.522506818356692,0.601317500358203,0.99990598088106,6084.68904472165,6440.08859917685,5825.10460627138,6169.3145593585
"49","djlA",430.191373043639,0.0231298500876956,0.0636339937569959,0.3634826092485,0.716244401676726,0.99990598088106,465.313124107497,372.259456599818,485.002486819609,398.190424647631
"50","rluA",166.051298080576,0.0175504400661536,0.0581899609871499,0.301605977533294,0.762952450673392,0.99990598088106,150.809953904547,172.342341018434,155.142798474434,185.910098924888
"51","hepA",779.77967346667,-0.0233012384023953,0.0675295953405493,-0.345052243907105,0.730055094858734,0.99990598088106,736.619473342813,854.818011451434,707.5671556591,820.114053413334
"52","polB",200.520681454682,0.0202028751766083,0.0603557608190625,0.334729856809749,0.737828876927847,0.99990598088106,210.679232087759,179.236034659172,219.664803447446,192.502655624352
"53","araD",16.1768431122639,0.00299723411254096,0.0262710450639573,0.114088880181361,0.909167336996177,0.99990598088106,18.9459741086115,12.4086485533273,18.8491250482957,14.503624738821
"54","araA",84.1847318558792,0.0105570033724623,0.0507313085144951,0.208096413863362,0.835153687193483,0.99990598088106,80.3309302205126,84.1030624169959,82.6461636732965,89.6587711127117
"55","araC",934.361937615707,0.00226919920597178,0.0643296082897773,0.0352745689939539,0.971860801710039,0.99990598088106,1051.88048251011,812.077110878862,1053.37610366053,820.114053413334
"56","yabI",326.935529096044,0.0352600811921989,0.0621184816645962,0.567626256265935,0.570288774682118,0.99990598088106,345.574567741073,279.883961813937,377.707467313925,304.576119515241
"57","thiQ",135.815357295716,0.130991234226068,0.0574794352760197,2.27892347231736,0.0226716148487825,0.99990598088106,111.402327758635,104.784143339208,160.942529258525,166.132428826495
"58","tbpA",332.027907929581,0.150961836913151,0.0646599444218484,2.33470409328316,0.019558884290974,0.99990598088106,259.938764770149,297.807565279854,360.308274961652,410.057026706667
"59","setA",362.061781948919,-0.0224512856823858,0.0668063896989375,-0.336064945038377,0.736821892397303,0.99990598088106,368.309736671407,370.880717871671,353.058611481539,355.998061771061
"60","leuD",4495.61897889945,-0.0313343900172317,0.0687407776592609,-0.455834092720804,0.648509286115041,0.99990598088106,4414.41196730647,4755.26987338064,4238.8782368225,4573.91583808819
"61","leuC",6444.7346074257,0.039777235976112,0.0683103834010185,0.582301459832224,0.560363642360408,0.99990598088106,6096.81446815116,6482.82949974942,6426.10170877281,6773.19275302941
"62","leuB",4869.7980176048,0.077132444243019,0.0690480615791343,1.11708341232171,0.263958662192966,0.99990598088106,4349.99565533719,4869.70518781688,4816.67641618756,5442.81481107756
"63","leuA",7722.8543275972,0.0349436680548061,0.0685777627918534,0.509548090112926,0.610368098997782,0.99990598088106,7283.59028631459,7827.09975969321,7587.49779828703,8193.22946609398
"64","leuO",99.0920089237614,-0.00496027958361687,0.0525203328829201,-0.0944449380142825,0.924755719939052,0.99990598088106,93.9720315787128,106.162882067355,92.0707261974444,104.162395851533
"65","ilvI",3675.35549693096,0.00809004769262955,0.0682839302250728,0.118476597143188,0.905690037255739,0.99990598088106,3598.97724167183,3715.70087235744,3619.75697562079,3766.98689807379
"66","fruR",1899.71551333084,-0.00774764561976524,0.0690413320929442,-0.112217499067591,0.910650954556595,0.99990598088106,2008.27325551281,1811.66268878578,1979.15813007105,1799.7679789537
"67","mraW",1271.94560256241,-0.0243680419299075,0.0690120688276045,-0.353098267359295,0.724014771783146,0.99990598088106,1315.60844210198,1269.81836862382,1270.86600806394,1231.48959145989
"68","ftsI",1247.76357947367,-0.0134647531338688,0.0689932257484006,-0.195160510148795,0.845267292921621,0.99990598088106,1270.13810424131,1247.75854897346,1246.94211857956,1226.21554610032
"69","murE",1358.26785595264,-0.00603131547416063,0.0689499884647969,-0.087473770604617,0.930294933524143,0.99990598088106,1347.43767860445,1380.11746687562,1344.8125755611,1360.70370276939
"70","murF",1084.49804038857,-0.0291503620656709,0.0690473868947597,-0.42217907695915,0.672894312235313,0.99990598088106,1130.69573480193,1082.30990159577,1085.99958932104,1038.98693583554
"71","mraY",642.085487166005,0.00159718312300293,0.0687178903130602,0.0232426099772067,0.981456749930537,0.99990598088106,645.678797621478,636.977292404133,648.844881470179,636.840977168232
"72","ftsW",1093.39231591438,-0.0121791310728415,0.0690439540498121,-0.176396778551454,0.859982235327947,0.99990598088106,1135.242768588,1069.90125304244,1107.02361341337,1061.40162861372
"73","murG",941.167828034,-0.00740159933242029,0.0689429484576793,-0.107358323048278,0.914504716744713,0.99990598088106,978.370102968695,914.103776761775,966.38014189916,905.817290506367
