	IAI1_starvation1	IAI1_starvation2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
erfK	273	207	266	202
cobS	223	149	208	139
yeeA	105	86	100	79
dacD	26	32	26	29
yeeE	84	56	84	55
yeeF	51	39	47	35
yeeY	332	265	324	259
yeeZ	884	787	881	787
hisG	203	171	178	154
hisD	178	152	128	112
hisC	142	130	123	115
hisB	292	241	241	184
hisA	172	110	172	110
hisF	143	108	126	92
ugd	329	218	251	172
gnd	1359	922	951	632
galF	1003	713	472	345
wcaL	14	11	10	5
wcaK	11	15	10	13
wzxC	1	4	1	4
wcaJ	5	5	5	5
cpsG	123	76	5	2
cpsB	115	80	12	11
fcl	8	4	4	4
gmd	8	7	7	7
wcaE	2	4	2	4
wcaD	6	3	4	2
wcaC	9	8	9	6
wcaA	5	6	5	5
wzc	22	23	20	22
wza	3	3	3	2
yegH	209	178	198	169
asmA	659	482	636	467
udk	38	37	38	37
yegL	3	2	1	1
mdtA	17	19	16	19
mdtB	19	20	18	17
mdtC	20	9	20	9
baeS	15	8	15	7
baeR	125	91	120	90
yegQ	68	55	68	55
yegS	71	48	61	41
gatD	63	31	57	29
gatZ	30	19	31	19
gatY	35	18	35	18
fbaB	576	401	560	385
yegT	41	34	40	34
yegU	23	24	21	21
yegV	34	22	34	22
yegW	98	58	98	58
yegX	12	18	12	17
thiD	118	80	117	76
thiM	92	85	89	83
rncA	74	45	70	44
yehA	27	25	27	24
yehC	1	0	0	0
mrp	1027	850	855	697
metG	514	451	397	358
yehL	7	9	3	8
yehP	8	3	9	4
yehT	268	170	268	170
yehU	992	774	934	735
mlrA	58	46	55	45
yehW	6	4	7	4
yehX	15	6	14	6
yehY	10	8	9	8
yehZ	48	40	47	40
bglX	415	289	407	281
dld	1631	1271	1579	1234
pbpG	183	151	182	151
yohF	52	42	39	37
dusC	37	35	34	34
yohK	42	22	42	22
cdd	367	300	345	285
sanA	82	59	82	58
yeiT	1590	1169	1543	1127
yeiA	1211	842	1193	824
mglC	700	489	692	483
mglA	1773	1119	1673	1064
mglB	6956	5254	6728	5069
galS	649	418	648	415
yeiB	36	19	34	20
folE	182	147	182	147
frmC	259	240	300	288
cirA	492	341	444	311
lysP	121	125	121	125
yeiE	159	128	159	126
yeiH	333	270	332	270
nfo	99	80	96	78
yeiJ	105	102	66	63
rihB	35	34	33	32
yeiL	112	79	107	74
yeiC	33	13	31	11
fruA	575	437	536	407
fruK	190	162	190	161
fruB	140	100	141	102
setB	29	18	19	12
yeiQ	165	156	162	153
yeiR	10	14	10	14
yeiU	16	10	16	10
rtn	182	154	175	146
yejB	46	26	44	24
yejE	31	22	31	22
yejF	89	48	89	48
bcr	96	96	91	92
rsuA	97	50	89	44
yejH	28	22	25	21
yejK	384	338	356	321
yejM	126	111	122	108
narP	325	258	323	254
ccmH	123	95	108	72
ccmF	73	39	70	31
ccmC	33	29	32	29
ccmB	29	17	29	17
ccmA	111	111	103	104
napC	148	141	148	141
napH	51	29	49	26
napG	35	18	35	18
napA	198	170	184	159
mqo	20	24	19	21
yojI	64	44	58	37
alkB	34	20	33	19
ada	128	80	121	76
yojL	21	15	17	13
rcsB	1385	1056	1381	1054
rcsC	261	214	296	237
yfaP	8	13	7	12
yfaQ	26	15	26	15
yfaT	2	3	2	3
gyrA	964	715	951	704
ubiG	49	48	42	41
nrdA	99	92	87	82
nrdB	165	120	146	103
inaA	232	171	232	170
glpQ	1322	1021	1233	926
glpT	496	376	483	362
glpA	20	14	20	14
glpB	11	11	11	10
glpC	31	35	30	35
yfaY	193	152	183	147
ais	47	18	42	16
yfbE	162	132	157	120
yfbF	38	26	38	26
yfbG	82	52	79	52
yfbH	26	20	26	19
arnT	60	60	59	60
menE	25	16	22	12
menC	55	37	47	28
menB	88	64	83	62
yfbB	21	17	21	16
menD	52	51	49	49
menF	70	58	70	57
elaC	65	53	64	52
nuoN	695	650	628	586
nuoM	439	351	436	348
nuoL	1091	852	1065	842
nuoH	623	514	623	514
nuoG	2243	1628	2174	1576
nuoF	870	645	771	570
nuoC	2136	1564	2002	1456
nuoB	1959	1357	1932	1332
lrhA	6392	5384	6370	5372
yfbQ	905	759	904	756
yfbS	365	303	362	303
yfbT	762	593	753	578
ackA	1404	1249	1496	1336
pta	815	543	815	543
yfcF	39	23	39	23
yfcG	42	42	42	41
yfcH	945	771	820	666
hisP	160	109	160	108
hisM	171	133	170	130
hisQ	430	287	425	285
hisJ	1233	942	1231	941
purF	209	179	205	178
