	IAI1_starvation1	IAI1_starvation2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
dcuC	23	17	21	17
lipA	2910	2398	2908	2396
ybeF	89	75	89	75
lipB	57	61	57	61
dacA	268	239	266	239
rlpA	150	120	135	108
mrdB	61	36	58	34
mrdA	72	50	72	49
phpB	16	12	16	12
nadD	52	45	52	45
holA	73	60	73	60
leuS	2695	1959	2662	1931
ybeQ	157	148	157	146
ybeU	6	7	6	7
hscC	59	58	54	52
rihA	580	409	550	381
gltL	446	288	391	257
gltK	358	318	329	296
gltJ	437	295	397	276
gltI	8270	6517	8571	6698
ybeX	1069	823	1068	822
ybeZ	1110	874	1058	836
miaB	101	71	95	65
asnB	370	274	306	220
nagD	150	97	115	76
nagC	349	281	343	277
nagA	433	358	432	358
nagB	387	346	355	317
nagE	3071	2483	2950	2388
glnS	1210	995	1076	887
ybfM	202	193	195	181
ybfF	95	93	91	87
pgm	3601	2561	3259	2317
potE	238	211	221	192
kdpE	54	45	46	40
kdpD	161	120	144	111
kdpB	17	11	14	8
ybgH	53	39	49	39
ybgI	472	324	463	317
ybgJ	282	218	282	215
ybgK	369	251	316	218
nei	53	37	50	33
abrB	21	18	19	15
gltA	8364	6295	8031	6031
sdhA	11232	8348	10256	7600
sdhB	4643	3540	4591	3495
sucA	20312	14620	19916	14335
sucB	9053	6169	8983	6136
sucC	11887	8454	11851	8420
sucD	12092	9334	11281	8803
mngR	101	95	104	92
mngA	7	13	7	13
cydA	4759	3368	4758	3368
cydB	3898	2924	3586	2671
tolQ	164	89	155	83
tolA	352	257	352	257
tolB	2035	1455	2033	1455
ybgF	657	528	657	528
nadA	162	94	162	90
pnuC	173	124	173	124
zitB	207	169	207	169
aroG	1075	873	1038	840
gpmA	3442	2385	3270	2270
galM	1011	859	886	752
galK	293	220	283	213
galT	138	122	127	114
galE	228	182	222	178
modF	334	251	328	246
modE	180	172	179	172
modA	137	131	96	88
modB	102	44	101	44
modC	101	72	93	64
ybhA	69	44	67	44
pgl	184	113	172	109
ybhD	49	42	40	38
ybhH	22	19	22	15
ybhI	223	199	58	37
ybhJ	22	34	21	33
ybhC	90	66	85	65
bioB	1001	641	965	621
bioC	47	33	37	27
bioD	34	22	32	22
uvrB	1150	977	1095	934
ybhK	208	137	208	137
moaA	679	514	673	508
ybhL	1974	1791	1948	1778
ybhN	16	18	14	16
ybhO	31	16	31	15
ybhP	34	26	34	26
ybhR	78	64	77	62
ybhS	55	57	55	57
ybhF	143	87	119	70
ybhG	117	66	110	65
ybiH	58	37	49	28
rhlE	21	29	16	23
dinG	240	186	222	166
ybiB	259	183	259	182
ybiC	867	634	860	627
ybiX	71	53	71	52
fiu	77	42	73	41
ybiN	50	35	44	31
ybiO	56	51	48	42
glnQ	934	808	898	781
glnP	1233	1058	1231	1058
glnH	9485	7812	9478	7805
rhtA	28	21	28	21
ybiR	209	149	208	148
ybiS	402	344	393	339
ybiT	399	306	379	292
ybiU	31	25	31	25
ybiV	72	41	70	41
ybiW	69	48	64	41
ybiY	5	3	5	3
fsaA	41	35	37	32
moeB	134	96	107	76
moeA	310	234	295	224
iaaA	404	283	390	272
yliA	224	162	224	161
yliB	255	195	242	180
yliC	57	47	56	45
yliD	28	25	28	25
yliE	20	20	20	20
yliF	47	25	44	25
yliG	50	83	50	83
yliI	70	61	69	61
yliJ	210	154	210	154
dacC	1038	775	1013	755
deoR	240	226	239	226
cmr	126	133	126	133
ybjI	71	51	68	50
ybjJ	53	53	53	53
ybjL	545	464	537	456
nfsA	146	114	146	114
rimK	91	92	83	86
potF	417	330	371	306
potG	122	103	89	80
potH	70	39	68	37
potI	118	97	96	78
rumB	27	14	24	9
artJ	116	93	104	80
artM	83	57	81	57
artQ	85	66	85	66
artI	435	314	432	313
artP	192	153	192	153
ybjR	306	235	302	233
ybjS	94	73	94	73
ybjT	106	84	102	74
ltaE	134	112	105	92
poxB	112	93	91	74
hcr	35	31	35	31
hcp	17	16	17	16
ybjE	25	28	25	28
aqpZ	184	141	178	132
ybjD	1166	876	1043	768
ybjX	2049	1800	2044	1798
macA	347	250	347	249
macB	537	414	514	391
clpA	28012	23031	27649	22768
aat	28	32	28	32
cydC	114	70	107	66
cydD	119	124	119	121
trxB	482	362	442	341
lolA	656	481	654	481
ycaJ	151	116	146	112
serS	4176	3306	3918	3105
dmsA	64	40	61	37
dmsB	39	24	34	20
dmsC	101	67	95	62
ycaC	97	81	95	81
ycaD	152	109	146	107
ycaM	30	27	29	26
ycaN	128	120	128	119
pflA	614	599	613	598
pflB	13985	10433	13894	10372
focA	1918	1312	1848	1240
ycaO	58	57	57	56
ycaP	546	476	533	469
serC	1316	1004	1270	985
aroA	191	115	191	115
ycaL	39	38	22	18
cmk	311	273	304	267
rpsA	9151	7940	9146	7932
msbA	319	212	309	205
lpxK	62	40	61	40
kdsB	401	292	388	274
ycbJ	311	234	311	234
smtA	247	168	234	161
mukF	281	208	277	200
mukE	166	106	163	105
mukB	737	572	692	533
ycbB	876	650	873	648
ycbL	1197	871	1197	869
aspC	1928	1612	1900	1596
ompF	16544	12561	16540	12556
asnS	1349	1197	1313	1160
pncB	156	132	151	125
pepN	4762	3546	4191	3147
ssuC	11	7	11	7
ssuA	9	11	9	11
ycbR	15	14	15	14
ycbT	36	28	29	20
ycbF	22	12	22	11
pyrD	30	20	30	20
ycbX	230	135	230	135
ycbY	136	116	129	111
uup	140	133	140	132
pqiA	123	80	123	80
pqiB	254	213	248	208
ycbZ	303	252	301	252
yccR	250	245	250	245
yccS	215	150	215	150
helD	523	367	522	367
yccT	20	25	20	25
yccW	192	146	221	168
yccA	5348	4274	5174	4146
hyaA	7	5	6	5
hyaB	7	7	6	7
hyaC	10	5	10	5
hyaF	12	9	12	9
appC	89	45	89	46
appB	25	16	23	12
appA	55	40	55	40
yccC	220	198	220	198
yccZ	31	32	31	32
ymcA	17	23	16	22
ymcB	8	7	8	7
ymcC	85	78	82	78
yccM	39	33	39	32
torR	103	76	96	70
torC	12	11	12	11
torA	60	45	58	41
cbpA	309	206	304	205
agp	4509	3380	4420	3310
rutG	44	38	37	31
rutD	7	3	7	3
rutB	2	2	1	0
rutA	7	4	7	4
rutR	221	169	209	161
putP	4302	3745	3967	3458
efeO	97	67	95	66
efeB	90	65	88	63
phoH	8730	7438	8730	7435
ycdW	446	289	446	288
ycdX	558	358	555	357
csgG	95	67	86	57
csgD	97	60	96	59
ymdC	125	107	125	106
mdoC	68	42	60	37
mdoG	794	708	756	683
mdoH	502	403	501	401
mdtG	25	24	22	23
lpxL	117	97	115	97
yceA	61	65	59	58
solA	451	320	430	305
pyrC	49	44	54	50
grxB	109	104	109	104
mdtH	61	59	59	53
yceH	647	437	634	423
mviM	725	572	704	559
mviN	43	43	43	43
flgA	19	14	19	14
flgD	7	4	7	4
flgF	2	4	1	3
flgG	2	1	2	1
flgH	3	4	3	4
flgI	2	1	2	1
flgJ	6	2	6	2
flgK	61	44	61	44
flgL	96	89	86	77
rluC	148	118	148	118
plsX	257	186	257	185
fabH	562	453	562	453
fabD	632	425	631	423
fabG	3574	2488	3573	2487
fabF	3348	2749	3172	2591
pabC	138	102	138	102
yceG	99	64	94	55
tmk	72	53	72	52
holB	74	64	68	64
ycfH	83	88	83	88
ptsG	433	380	433	380
fhuE	194	186	190	182
ycfM	252	178	248	175
ycfN	141	106	141	106
nagZ	545	446	536	434
ndh	119	90	119	89
ycfQ	472	410	471	409
ycfS	136	120	136	120
mfd	555	420	526	405
lolC	58	35	58	35
lolD	19	22	18	17
lolE	458	346	451	341
ycfX	364	256	373	266
cobB	232	200	175	148
potD	202	149	167	125
potC	33	43	33	42
potB	27	22	27	21
potA	64	52	58	45
pepT	684	535	646	521
ycfD	523	452	510	443
phoQ	435	318	434	318
phoP	971	727	898	675
purB	88	63	85	62
hflD	61	60	61	60
trmU	102	78	102	78
ymfC	59	43	52	39
icd	38871	30130	35209	27191
ycgE	334	253	330	251
ycgF	107	89	107	89
ycgG	25	20	25	20
minD	1499	1120	1499	1120
minC	699	503	687	501
ycgM	537	405	495	362
umuC	95	74	95	74
nhaB	130	114	130	114
fadR	1486	1158	1484	1154
ycgB	809	682	791	669
dadA	2981	2130	2751	1938
dadX	1038	804	1005	776
cvrA	119	111	104	94
emtA	121	99	116	93
ycgR	22	11	22	11
treA	190	121	190	121
dhaH	238	190	237	188
dhaL	85	83	85	83
dhaK	192	140	190	140
dhaR	134	106	125	105
ychF	712	507	712	507
ychM	526	432	526	431
prsA	298	273	298	273
ispE	131	124	130	124
lolB	100	80	100	80
hemA	307	220	295	210
prfA	122	81	121	74
prmC	25	37	25	36
ychA	502	407	501	407
kdsA	786	565	785	564
chaA	384	300	372	293
chaC	301	202	246	178
ychP	57	34	102	54
narL	93	62	93	61
narX	130	100	133	103
narK	40	25	40	25
narG	68	45	67	45
narH	50	51	50	49
narJ	22	23	19	22
narI	22	24	22	23
purU	369	244	351	239
rssA	312	242	287	216
rssB	256	174	250	164
galU	1042	739	1040	739
tdk	146	114	146	114
adhE	8605	7106	8589	7087
ychE	68	72	66	71
oppA	943	658	942	657
oppB	70	68	70	67
oppC	79	66	79	65
oppD	141	93	128	87
oppF	263	205	243	181
cls	1088	773	1048	743
kch	176	113	172	113
tonB	605	514	580	498
yciC	699	553	683	540
ompW	2550	1605	2474	1543
trpA	146	143	144	141
trpB	208	171	206	171
trpD	81	85	74	77
trpE	29	34	26	30
yciV	374	385	374	385
yciO	258	221	223	205
rluB	149	94	130	79
yciK	483	361	468	352
sohB	952	777	942	760
topA	1336	1042	1335	1040
cysB	597	457	568	434
acnA	2457	1709	2359	1625
pgpB	225	167	225	167
yciM	826	576	819	573
pyrF	49	32	48	32
deoT	210	204	192	183
gmr	404	331	402	330
rnb	208	155	206	155
fabI	2958	2432	2929	2402
sapF	44	33	44	33
sapD	85	76	85	75
sapC	45	32	45	31
sapB	85	46	83	43
sapA	170	140	170	140
puuP	68	44	68	43
puuA	161	136	143	120
puuD	300	293	300	293
puuB	4	6	3	5
puuE	25	16	23	16
pspF	141	99	141	99
pspA	1449	1098	1390	1063
ycjM	36	28	36	28
ycjN	9	3	9	3
ycjO	8	5	8	5
ycjP	6	3	6	3
ycjQ	8	6	7	5
ycjR	4	8	4	7
ycjS	15	11	15	11
ycjU	3	2	3	2
ompG	14	7	14	6
ycjW	55	54	42	42
ycjX	341	261	228	176
ycjF	237	177	218	167
tyrR	867	645	861	644
ycjG	672	477	647	452
mpaA	141	114	136	109
ycjZ	111	69	111	69
mppA	1411	1074	1391	1063
ynaI	209	174	205	173
uspE	8920	6788	8899	6764
fnr	4029	3419	4029	3419
abgT	9	19	8	19
abgB	25	15	26	18
abgA	14	14	14	13
abgR	120	120	117	114
ydaM	163	107	158	104
ydaN	321	254	319	250
dbpA	47	27	45	27
ydaO	128	108	122	103
ompN	171	134	198	164
ldhA	503	355	478	337
feaR	1247	1054	1246	1053
feaB	407	367	400	362
maoC	23	18	23	17
paaA	14	14	14	14
paaC	20	10	20	10
paaJ	23	13	21	12
paaF	1	2	1	1
paaG	5	4	5	4
paaH	17	9	17	9
paaE	1322	968	1310	957
paaK	806	602	766	572
paaX	226	169	202	146
ydbC	1458	1164	1306	1043
azoR	181	208	170	192
hrpA	227	183	202	167
ydcF	134	80	130	75
aldA	6358	5000	6295	4965
trg	149	115	144	109
ydcI	2213	1769	2202	1756
ydcJ	319	191	319	191
mdoD	623	430	636	448
ydcK	90	70	85	68
tehA	116	95	115	95
ydcL	429	332	420	318
ydcO	59	50	58	50
ydcP	201	157	201	157
ydcR	57	80	55	79
ydcS	354	230	349	227
ydcT	58	67	58	67
ydcU	49	26	49	26
ydcV	37	24	36	23
ydcW	127	93	126	89
yncB	662	443	653	444
yncC	249	169	249	168
yncD	67	58	66	58
yncE	4186	3140	4020	3015
ansP	55	61	54	60
yncG	30	19	28	16
nhoA	96	61	92	59
narV	60	47	52	40
narW	18	20	17	20
narY	52	30	44	29
narZ	75	58	75	58
narU	43	44	43	44
yddG	25	26	22	24
fdnG	388	335	449	401
fdnH	97	85	99	85
fdnI	56	57	55	57
adhP	127	88	110	77
sfcA	615	476	584	444
ddpD	20	21	20	18
ddpC	23	16	22	15
ddpB	12	13	12	13
ddpA	44	39	44	39
dos	142	129	134	120
yddV	501	350	462	325
yddW	250	206	243	201
gadC	151	99	149	95
gadB	102	87	102	87
ydeM	87	72	86	71
ydeN	449	451	447	450
ydeO	13	5	13	5
ydeP	319	207	289	192
ydeQ	26	15	26	15
lsrK	689	568	666	554
lsrR	587	481	553	450
lsrC	92	53	88	51
lsrD	44	34	44	34
lsrB	96	54	95	52
lsrF	112	73	110	71
tam	87	69	80	65
yneE	29	19	29	19
uxaB	181	134	166	125
yneF	187	187	142	144
yneH	18	15	18	15
yneI	53	41	50	40
ydeA	43	31	43	31
marC	93	60	92	57
eamA	336	265	326	260
ydeE	88	58	86	56
ydeH	1059	669	1053	668
dcp	434	252	423	245
ydfG	644	470	636	463
ydfH	247	215	243	214
ydfT	55	38	55	38
ydfU	15	11	15	11
rspB	120	108	117	104
rspA	161	141	56	54
ynfC	359	250	359	250
ynfF	50	39	49	39
ynfG	8	10	8	8
ynfH	71	73	70	73
dmsD	85	76	85	76
clcB	16	14	16	14
ynfK	592	425	592	425
dgsA	668	471	652	463
ynfL	54	43	51	41
ynfM	53	40	47	39
ydgD	522	394	458	345
ydgG	174	109	172	108
pntB	2367	1663	2308	1607
pntA	2064	1433	1984	1385
ydgH	1749	1474	1748	1472
ydgI	61	49	58	46
folM	134	111	134	107
rstA	195	153	195	153
rstB	169	126	169	125
tus	233	153	232	153
fumC	4745	3693	4403	3434
fumA	20474	17513	19681	16929
manA	344	300	331	279
ydgA	1166	885	1039	786
uidC	91	54	90	54
uidB	99	73	90	70
uidA	393	251	376	240
hdhA	284	219	263	209
malI	166	118	152	112
malX	140	91	139	91
malY	214	189	192	167
add	515	390	515	390
ydgJ	948	741	948	740
rsxD	18	15	18	14
rsxG	9	16	9	16
rsxE	19	17	19	17
nth	29	7	29	7
ydgR	66	51	60	49
gst	1829	1560	1827	1558
pdxY	128	91	128	91
tyrS	1055	796	1053	796
pdxH	249	226	238	214
anmK	491	362	449	334
ydhJ	14	8	13	8
ydhF	459	300	459	300
nemA	68	56	68	54
rnt	20	19	20	19
ydhO	135	109	135	109
ydhP	18	15	18	15
purR	250	209	242	205
ydhB	37	44	37	43
ydhC	16	20	16	20
cfa	954	856	899	800
ribC	623	468	598	448
mdtK	631	496	626	494
ydhQ	645	504	605	465
ydhS	122	90	120	89
ydhT	44	29	44	29
ydhU	78	59	78	59
ydhX	26	15	25	15
ydhV	58	37	54	35
ydhY	10	13	10	13
pykF	483	331	483	331
ynhG	852	657	843	649
sufS	212	175	186	148
sufC	185	125	179	120
sufB	462	339	446	332
ydiK	278	234	277	232
ydiM	65	59	65	59
ydiN	58	45	52	42
ydiB	46	35	45	34
aroD	127	129	120	124
ydiF	24	26	23	23
ydiO	12	19	12	19
ydiP	216	195	216	195
ydiQ	8	10	9	10
ydiR	16	13	16	13
ydiS	15	11	14	10
ydiD	76	56	74	56
pps	13037	10050	12474	9653
ydiA	196	199	195	198
aroH	35	29	32	27
ydiV	148	88	134	80
btuD	53	34	52	34
btuC	128	103	125	99
pheT	3366	2625	3328	2600
pheS	246	172	243	168
thrS	12880	10951	11950	10102
ydiY	35	32	32	30
pfkB	194	128	191	126
yniA	8811	6715	8513	6513
yniC	169	200	153	190
ydjN	366	290	359	282
katE	69	38	57	32
chbF	252	178	243	175
chbR	285	205	283	203
chbC	458	396	457	396
nadE	536	376	502	359
ydjQ	55	34	54	33
astE	120	107	120	107
astB	177	130	168	126
astA	223	167	220	160
astC	418	328	418	328
xthA	190	154	190	154
ydjX	84	60	80	55
ydjZ	17	17	17	17
ynjE	66	48	60	45
ynjF	42	33	42	33
gdhA	686	579	590	516
topB	314	211	299	204
selD	1536	1147	1216	918
sppA	538	416	534	406
ansA	66	62	64	60
pncA	258	227	245	221
ydjE	138	86	135	84
ydjF	364	293	364	293
ydjG	68	45	68	45
ydjH	36	18	36	18
ydjI	54	30	54	30
ydjJ	34	18	34	16
ydjK	25	18	24	18
ydjL	27	15	27	15
gapA	5452	4418	5443	4409
yeaD	71	59	70	57
yeaE	141	129	135	127
mipA	247	201	247	201
yeaG	3311	2441	3160	2311
yeaH	1074	828	1056	820
yeaI	30	25	30	25
yeaJ	133	101	130	100
yeaM	62	51	56	47
yeaN	27	24	27	24
yeaP	381	310	370	301
yeaS	85	77	84	75
yeaT	103	81	103	79
yeaU	90	108	86	104
yeaV	359	315	341	300
yeaW	609	477	605	476
yeaX	379	258	372	250
rnd	94	49	94	48
fadD	6909	5383	6636	5113
yeaZ	36	33	28	29
yoaA	114	57	103	51
sdaA	627	505	627	505
adrB	55	44	54	44
yoaE	142	102	142	102
manX	1142	891	1142	891
manY	848	646	859	648
rrmA	41	37	41	36
kdgR	1433	1121	1431	1120
yebQ	27	19	27	19
htpX	19217	15586	19130	15535
prc	952	736	919	703
yebS	136	125	125	116
yebT	97	102	86	95
yebU	62	54	60	53
pphA	61	49	61	49
yebZ	74	69	73	69
yobB	307	271	307	271
exoX	202	115	202	115
ptrB	140	116	137	113
yebE	936	744	933	744
purT	28	26	26	23
eda	218	156	217	156
edd	95	86	95	86
zwf	791	640	780	631
yebK	554	503	548	499
pykA	738	584	731	579
lpxM	214	210	212	207
yebA	1455	1002	1446	1000
znuA	631	497	629	497
znuC	182	141	175	137
znuB	53	47	50	46
ruvB	369	264	324	236
ruvA	339	276	338	275
yebB	38	24	38	24
yebC	472	305	451	295
aspS	887	766	846	735
yecE	30	31	30	31
yecO	96	63	89	61
yecP	121	94	81	75
torY	44	28	42	25
cutC	242	227	242	227
argS	402	308	380	300
flhA	78	65	78	65
flhB	6	5	6	5
cheZ	22	25	22	25
cheB	14	7	14	7
cheR	9	6	9	6
tap	16	7	16	7
tar	41	21	41	21
cheA	14	7	14	7
motB	9	3	9	3
motA	2	8	2	8
otsA	240	173	240	173
otsB	77	76	77	76
araH	895	738	876	727
araG	854	610	797	577
araF	1564	1205	1564	1205
tyrP	109	79	109	79
yecA	1696	1323	1696	1323
uvrC	205	135	205	135
uvrY	581	441	581	441
sdiA	307	220	260	196
yecC	53	56	52	53
yecS	49	51	46	45
yedO	154	126	151	123
fliY	1294	912	1218	861
fliA	6	3	6	3
fliD	19	14	19	13
amyA	319	297	304	279
yedE	312	198	303	191
fliF	6	2	6	2
fliG	8	7	8	7
fliH	5	2	5	2
fliI	4	4	4	4
fliM	6	5	6	5
fliP	5	4	4	4
fliR	110	108	106	106
rcsA	28	21	28	21
yedP	106	64	94	54
yedQ	206	147	170	131
yedI	210	141	205	138
yedA	19	10	19	9
dcm	152	119	148	118
yedJ	33	22	30	22
hchA	991	983	787	796
yedW	274	231	271	228
yedZ	70	59	61	53
yodA	77	65	77	65
yeeI	4862	4101	4850	4093
shiA	250	212	239	205
amn	263	225	260	221
yeeN	279	197	279	197
yeeO	191	159	174	144
cbl	73	60	72	58
nac	72	51	69	47
