"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_starvation1","IAI1_starvation2","IAI1_K12ref_starvation1","IAI1_K12ref_starvation2"
"54","tbpA",26.0739172781936,-0.0060959831385806,0.0230123020426339,-0.264901057151381,0.79108568393056,0.999740963348521,25.8898343390009,28.89032379349,25.2112838389395,24.3042271413439
"55","setA",216.198692937006,0.0137599915116639,0.0476751976215831,0.288619496050806,0.772872574453686,0.999740963348521,227.830542183208,195.565268755933,237.706390481429,203.692570327454
"56","leuD",217.082640646971,0.014353297235454,0.0483969638551918,0.29657433219159,0.7667915095901,0.999740963348521,221.789580837441,203.34343285418,231.403569521694,211.793979374569
"57","leuC",184.861877984018,-0.0128690482037185,0.0458124020027661,-0.280907519386159,0.778781333144664,0.999740963348521,174.324884549273,203.34343285418,163.873344953107,197.905849579515
"58","leuB",216.296707623994,-0.0249209157112367,0.0484533566375521,-0.514327952501904,0.607022721862406,0.999740963348521,214.885625013707,233.344922947419,201.690270711516,215.266011823332
"59","leuA",303.983460161365,-0.0173487045531793,0.0518146534311185,-0.334822360169646,0.737759092136801,0.999740963348521,304.637050722244,315.571229128891,289.029361153556,306.696199640769
"60","leuO",191.590327019193,-0.00228880001900796,0.0445482836360846,-0.0513779618919819,0.959024345438287,0.999740963348521,219.200597403541,165.563778662693,216.096718619481,165.500213391056
"61","ilvI",448.917569691932,0.000626453836349971,0.0543157481619634,0.0115335580848846,0.99079775609169,0.999740963348521,430.634244505381,466.689845894839,433.09384023321,465.252348134298
"62","fruR",1697.26535447814,0.00877195989987027,0.0565806076545014,0.155034741822402,0.876793928409598,0.999740963348521,1732.02991727916,1643.41495732968,1753.98503279479,1659.63151050891
"63","mraW",988.179669783585,0.0218844820852412,0.0565796543113357,0.386790664446613,0.698911189045835,0.999740963348521,925.993074858265,1017.82833057065,958.0287858797,1050.86848782573
"64","ftsI",560.027859937295,0.012901145516574,0.0554260094097106,0.23276338408577,0.815945147275031,0.999740963348521,535.056576339351,572.250644371053,548.345423496934,584.458795541842
"65","murE",410.947230991958,-0.00358701649864536,0.0512679265735296,-0.0699660926115431,0.944220647651113,0.999740963348521,459.976056756249,365.573712617624,458.30512407215,359.934030521808
"66","murF",291.762407570893,0.0168408559603564,0.0515835664556446,0.326477153820636,0.744063371810205,0.999740963348521,287.37716116291,284.458572735902,298.933794090282,296.280102294479
"67","mraY",354.36794496275,0.0021415420370918,0.0515156405397628,0.041570715508018,0.966840918692422,0.999740963348521,385.758531651113,321.127060627639,385.372481538075,325.213706034174
"68","ftsW",387.934972076948,0.00963437928733112,0.0535050091124798,0.180064996663723,0.857101542023105,0.999740963348521,396.97745986468,371.129544116372,405.181347411527,378.451536915213
"69","murG",252.945687584824,-0.0040664160062721,0.0497614241939613,-0.0817182400250829,0.934870773427803,0.999740963348521,267.528288169676,241.123087045667,264.718480308864,238.412894815088
"70","murC",313.816803444627,-0.00247033076168106,0.0520528924697006,-0.0474580881959443,0.96214813344772,0.999740963348521,322.759934759544,306.681898730894,321.443868946478,304.381511341593
"71","ddlB",601.077264698566,0.0126760959282627,0.0552799263883155,0.229307395223704,0.818630006049936,0.999740963348521,627.396985481788,561.138981373556,642.887737892957,572.885354045964
"72","ftsQ",616.266925421376,0.00549779951840166,0.0547660798155012,0.100386946389498,0.920037132686907,0.999740963348521,662.779759078422,563.361313973056,667.198618737648,571.728009896377
"73","ftsA",1117.49716846737,0.0111746150549015,0.0566939998280355,0.197104016100406,0.843746140686162,0.999740963348521,1159.00158390927,1057.83031736164,1176.82671348192,1076.33005911666
"74","ftsZ",2564.51355232879,0.0353475462221876,0.0558478518899756,0.632925797966678,0.526782100100479,0.999740963348521,2523.39585357462,2499.01300813689,2632.77835518068,2602.86699242298
"75","lpxC",18804.7044065027,0.0335656348963698,0.0561764315397137,0.597503863744722,0.550171028150452,0.999740963348521,17269.3824985915,19574.3055363892,18003.5578699855,20371.5717210446
"76","secA",2989.11724882579,0.0127783499612195,0.0559420067045207,0.228421372667472,0.819318675616591,0.999740963348521,3047.2335017004,2885.69888044975,3091.98388224708,2931.55273090591
"77","yacF",178.061744824104,-0.00627634968775478,0.045141173046322,-0.139038249655459,0.88941992372624,0.999740963348521,196.762740976407,163.341446063194,193.586643763285,158.55614849353
"78","coaE",259.367044197645,0.0133499569929982,0.0495661668955741,0.26933607799699,0.787671071358497,0.999740963348521,272.706255037476,236.678421846668,282.726540193821,245.356959712615
