"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_batch1","K12_batch2","K12_chemostat1","K12_chemostat2"
"23","aldB",494.989777720644,4.06320633838159,0.229922252122636,17.6720882858017,6.8802137468986e-70,6.92508470611751e-68,50.3987189776128,52.5270653413665,1155.85333510941,721.179991454188
"24","yghZ",1235.58952231308,2.96838988846627,0.174091683935701,17.050727647408,3.45208914682197e-65,3.32982765620536e-63,269.150605603847,274.054253954956,2655.31636511166,1743.83686458185
"25","fadA",626.521483407505,3.20568491024461,0.191242050947334,16.7624478735977,4.59317339464504e-63,4.25327856344131e-61,115.809822331536,119.518105197022,1347.11559901362,923.642407087843
"26","dapB",4025.79688593371,-1.76321513478181,0.106003067902943,-16.6336236267824,3.97791789772071e-62,3.54187689739363e-60,6258.01965858187,6206.5675902632,1897.71908601058,1740.88120887917
"27","yqeF",2294.31615071999,2.27843721596587,0.137365476631742,16.5866800875598,8.69983385324229e-62,7.19289834651996e-60,793.511745604967,755.171722009211,4321.20240396563,3307.37873130015
"28","tnaA",2118.74941174991,5.36799392950631,0.323629439172187,16.5868529860482,8.67483019728008e-62,7.19289834651996e-60,87.9296799183882,69.2748253052805,4971.99088634098,3345.802255435
"29","manX",17618.8179469883,1.76327174331487,0.106719655069561,16.5224647902539,2.5285014932049e-61,2.01844170923081e-59,8025.19176230753,7916.36163021551,29329.3643908171,25204.3540046131
"30","yodA",17899.6106385528,-1.5995104433331,0.0973647192039002,-16.4280291301762,1.20512472863808e-60,9.29954582265722e-59,27585.25629147,26325.1948778231,8599.35009917359,9088.64128574438
"31","bax",7245.21776533297,1.90693983946471,0.116391318708651,16.3838666029563,2.49373955150274e-60,1.86226034249317e-58,3162.25153755277,2893.55616467441,12484.2095893837,10440.853769721
"32","ydcW",1002.77458104451,2.27646632211227,0.139667761231759,16.2991538064019,1.0006793757551e-59,7.23928985897827e-58,312.043132393304,363.121886490316,1756.13533221136,1579.79797308305
"33","dppA",26523.6617300667,1.6368283195183,0.100775356148629,16.2423471578132,2.53053665725622e-59,1.77520980652974e-57,13274.1647281674,12416.9414896091,42021.3957474734,38382.1449550167
"34","yeeI",2022.87972840048,2.18521604555789,0.134671724074206,16.2262424468094,3.28992462030024e-59,2.24005161646913e-57,747.4022793063,695.032038502429,3712.64065517951,2936.44394061367
"35","glcF",585.752743644075,2.50256091528467,0.155381698048785,16.1058924359222,2.31927509946466e-58,1.53403481578877e-56,168.353167648621,175.851479621097,1030.82908467852,967.97724262806
"36","aceK",5251.42266222719,1.61415283382375,0.100482501752578,16.0640191642355,4.56020654191969e-58,2.93246615126224e-56,2594.99787076219,2553.27213268034,8067.79004105021,7789.63060441604
"37","fadE",1162.52763461185,2.36324211382766,0.147711093819005,15.9990834319014,1.2967004531736e-57,8.11313932188349e-56,365.658790880127,379.108384637689,2199.9300224826,1705.41334044699
"38","feaR",838.757034880694,3.05977430505776,0.191756050732522,15.9565984664849,2.56325902410567e-57,1.56156437915911e-55,178.003986176249,168.238861455681,1847.21260073717,1161.57269115367
"39","fumA",6622.89070882433,2.0457700837296,0.128938047641058,15.8663026248441,1.08443940146534e-56,6.43712106254428e-55,2569.26235468851,2542.61446724876,12144.739770333,9234.94624302709
