	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2
lacI	299	412	894	324
mhpR	274	347	2401	695
mhpB	9	26	30	17
mhpC	34	50	55	41
mhpD	29	51	47	42
mhpF	49	53	69	35
mhpE	41	62	101	46
mhpT	48	91	101	54
frmA	548	831	867	559
yaiO	28	31	44	24
yaiP	34	33	45	24
tauA	25	45	71	35
tauB	20	37	50	25
tauD	37	48	53	31
hemB	1667	2225	1393	881
yaiV	12	22	33	15
ampH	347	465	583	312
sbmA	340	434	435	265
yaiW	453	647	611	331
ddlA	1017	1537	1366	754
phoA	279	335	496	267
yaiC	35	43	35	22
proC	258	322	428	204
aroM	219	340	419	208
rdgC	1598	1972	1278	726
mak	351	519	723	362
araJ	114	187	158	88
sbcD	211	329	291	163
phoB	194	254	250	196
phoR	177	215	198	129
brnQ	479	788	364	211
proY	402	570	368	222
malZ	394	561	497	289
queA	445	599	344	221
tgt	4179	5237	6108	2824
secD	7401	10960	9276	4972
secF	3362	5028	4193	2338
tsx	3753	5406	5219	2515
ribD	785	1175	965	594
thiL	430	629	516	291
yajO	782	1100	1877	885
dxs	1757	2499	2718	1379
ispA	789	1030	1205	600
thiI	1128	1691	802	513
panE	549	828	474	274
yajR	330	492	382	219
cyoE	6888	10920	7546	3825
cyoC	5256	7663	5686	2861
cyoB	24764	36234	24833	12601
cyoA	16037	24158	16821	9026
ampG	436	533	389	232
tig	28748	44907	29156	15467
clpP	3436	4697	3201	1839
clpX	6742	10769	7784	4553
lon	9078	14444	8660	5513
ppiD	7020	9927	9069	4773
queC	1058	1534	1167	624
ybaE	94	142	355	148
cof	180	248	174	117
mdlA	268	347	297	162
mdlB	179	256	246	157
amtB	282	422	213	104
tesB	269	493	412	184
ylaB	268	325	361	186
acrB	7739	11652	8682	4971
acrA	5865	7728	5706	3290
acrR	578	706	679	414
kefA	1775	2629	1799	980
dnaX	1618	2125	1801	903
recR	1179	1771	1192	691
htpG	6943	11246	7078	4813
adk	7421	9786	6181	3307
hemH	249	358	303	160
aes	55	84	198	59
gsk	1048	1342	752	482
ybaL	877	1311	1319	752
fsr	176	228	308	189
ushA	1642	2344	2317	1209
ybaP	217	302	196	106
copA	778	1136	1015	539
ybaS	73	97	75	45
ybaT	55	99	58	64
ybbK	354	540	547	326
ybbL	374	490	369	208
ybbM	272	373	272	169
ybbN	1815	2776	1825	1090
ybbO	298	394	288	174
tesA	324	397	486	259
ybbA	129	227	220	114
ybbP	289	484	432	254
ybbB	169	254	213	98
ybbS	12	18	8	5
allR	1371	2024	1602	912
gcl	52	66	81	41
hyi	10	27	24	10
glxR	20	29	25	20
ybbW	4	8	13	13
allB	51	65	166	92
ybbY	27	28	33	21
glxK	63	96	100	44
ylbA	289	377	367	231
allC	124	177	202	117
allD	14	16	24	17
ylbE	21	33	34	17
ylbF	13	22	14	13
ybcF	49	75	46	31
purK	2096	3142	1725	927
lpxH	718	1101	592	379
cysS	2250	3237	1750	1086
folD	844	1037	752	518
sfmC	5	10	14	0
sfmH	8	10	11	9
fimZ	8	13	11	16
envY	38	64	35	41
ybcH	44	69	60	39
nfrB	135	131	165	79
cusR	107	184	151	70
cusC	1334	1128	915	460
cusB	18	37	34	16
cusA	53	95	91	56
pheP	392	720	410	236
ybdG	692	1035	573	372
nfnB	1125	1555	930	533
ybdK	57	74	167	117
fepA	2018	2915	1848	791
fepC	205	252	184	106
fepG	96	149	120	47
fepD	60	91	81	48
ybdA	242	395	245	106
fepB	242	319	258	134
entC	621	906	542	255
entE	782	1270	725	330
entB	676	1051	697	284
entA	443	633	439	180
cstA	1814	2653	32937	12211
ybdH	631	956	1888	834
ybdL	427	641	583	340
ibrB	70	89	93	51
ibrA	35	32	38	17
ybdO	20	32	32	16
dsbG	308	347	350	185
ahpF	3667	5373	3766	2094
ybdR	105	155	287	119
rna	484	585	424	262
citT	35	50	35	27
citG	15	16	19	13
citF	5	6	8	4
citE	9	12	16	12
citC	27	31	20	12
citA	211	312	327	186
citB	109	165	128	81
dcuC	45	60	62	31
lipA	1572	2400	2849	1558
ybeF	96	105	126	76
lipB	685	743	436	258
dacA	2046	2855	1671	1127
rlpA	1707	2318	1946	1054
mrdB	890	1142	969	485
mrdA	1360	1717	1120	656
phpB	64	120	102	53
nadD	227	292	251	170
holA	827	989	880	533
leuS	9928	14017	9905	5540
ybeQ	102	151	201	137
ybeU	18	15	18	8
hscC	77	113	156	67
rihA	541	654	2407	1034
gltL	577	832	1136	533
gltK	313	431	621	316
gltJ	251	418	622	277
gltI	3044	4216	7493	3923
ybeX	2843	3910	3644	2062
ybeZ	2700	3928	3195	1880
miaB	1941	2938	1692	979
asnB	3214	4530	2706	1544
nagD	781	1019	897	512
nagC	850	1055	1029	570
nagA	794	1142	1182	625
nagB	451	594	740	418
nagE	1190	1765	3857	1835
glnS	4965	7319	4741	2884
ybfM	25	36	140	53
ybfF	234	337	302	184
pgm	4722	6912	5697	3065
potE	104	125	160	80
kdpE	51	80	85	42
kdpD	273	406	461	225
kdpB	46	84	116	54
ybgH	405	567	254	97
ybgI	2212	3079	2476	1331
ybgJ	1102	1558	1298	662
ybgK	1209	1674	1345	718
nei	241	361	188	101
abrB	67	100	45	34
gltA	10494	13211	21985	13146
sdhA	6657	9406	18132	8745
sdhB	3629	4830	9537	4529
sucA	12401	18181	24432	13095
sucB	7042	11045	13412	7584
sucC	10310	15054	25587	14242
sucD	8095	12225	19705	12029
mngR	305	393	362	207
