	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2
yebC	3772	5296	4041	2194
aspS	4577	6751	5252	2954
yecE	160	225	242	189
yecO	441	590	345	216
yecP	552	784	437	285
torY	44	43	64	29
cutC	404	692	554	320
argS	3319	4773	2788	1581
flhA	1499	2235	2520	1409
flhB	909	1329	1734	905
cheZ	4530	7035	8795	4788
cheB	4259	5290	7627	3938
cheR	2204	3132	4685	2568
tap	10187	14033	25606	12919
tar	16618	22064	40805	20355
cheA	14148	20066	29123	15549
motB	3502	4511	7610	4372
motA	4248	5905	11602	6062
otsA	828	1090	1900	1080
otsB	366	554	1109	604
araH	152	169	336	178
araG	115	194	523	252
araF	84	87	975	409
tyrP	328	459	346	231
yecA	1441	1890	1731	1001
uvrC	1678	2427	1624	935
uvrY	1943	2591	1906	1065
sdiA	346	478	465	242
yecC	577	854	941	504
yecS	381	573	627	343
yedO	1151	1627	1928	1023
fliY	14583	20634	24543	11643
fliA	9821	12939	23220	11884
fliD	5223	5758	11105	6205
amyA	1538	1992	3578	1977
yedE	691	905	3569	1578
fliF	3687	4903	6236	3311
fliG	2742	3950	4752	2602
fliH	1459	2275	2550	1431
fliI	1177	1644	2029	1070
fliM	2189	2928	2849	1634
fliP	348	506	491	291
fliR	215	264	301	146
rcsA	531	713	374	214
yedP	194	240	491	274
yedQ	291	370	392	257
yedI	541	737	711	415
yedA	36	40	44	24
dcm	913	1324	1039	549
yedJ	354	509	342	194
hchA	309	350	471	301
yedW	411	583	449	244
yedZ	78	84	101	53
yodA	25725	34581	10386	6150
yeeI	697	913	4484	1987
shiA	1054	1539	1179	650
amn	803	876	834	544
yeeN	3693	4980	2534	1463
yeeO	110	147	175	89
cbl	804	1080	994	487
nac	108	121	80	47
erfK	418	552	619	376
cobS	513	692	611	361
yeeA	260	391	460	301
dacD	287	360	344	185
yeeE	3830	5203	8398	3515
yeeF	5410	8007	2706	1689
yeeY	128	241	220	127
yeeZ	931	1338	1094	628
hisG	1559	1987	1154	713
hisD	1119	1466	849	539
hisC	861	1262	754	462
hisB	1741	2315	1546	901
hisA	1259	1907	1077	605
hisF	1097	1593	934	502
ugd	323	409	310	152
gnd	30300	44212	19067	11233
galF	8064	11472	6011	3471
wcaL	17	45	43	25
wcaK	34	31	37	16
wzxC	24	31	25	16
wcaJ	26	27	25	14
cpsG	35	67	33	17
cpsB	58	64	46	24
fcl	70	58	28	14
gmd	87	126	39	29
wcaE	18	22	8	7
wcaD	37	42	26	22
wcaC	31	67	53	25
wcaA	16	26	13	10
wzc	47	64	35	17
wza	30	20	9	5
yegH	500	706	504	280
asmA	1413	1963	2246	1130
udk	434	539	400	254
yegL	24	34	39	12
mdtA	85	100	84	65
mdtB	144	211	217	118
mdtC	144	216	219	108
baeS	61	124	117	74
baeR	183	225	194	150
yegQ	659	830	526	347
yegS	154	189	312	192
gatD	981	1399	9551	3966
gatZ	24870	33291	138739	53535
gatY	23621	32651	115782	47113
fbaB	1782	2482	5305	2643
yegT	66	99	142	86
yegU	88	124	194	87
yegV	74	105	163	79
yegW	155	201	177	99
yegX	253	337	260	118
thiD	770	1122	946	509
thiM	1542	2049	1852	1001
rncA	58	63	57	37
yehA	18	27	27	14
yehC	5	3	0	2
mrp	3858	5419	3604	2192
metG	2238	3022	2279	1443
yehL	1	3	8	4
yehP	11	10	21	11
yehT	281	389	654	306
yehU	609	661	1355	572
mlrA	95	150	227	135
yehW	48	54	107	43
yehX	56	112	157	82
yehY	59	98	179	91
yehZ	143	249	442	225
bglX	1742	2680	1998	1079
dld	2850	4061	5011	2635
pbpG	638	835	651	356
yohF	93	113	213	126
dusC	183	251	159	90
yohK	48	69	66	49
cdd	122	213	330	180
sanA	165	226	160	92
yeiT	50	69	268	127
yeiA	79	99	402	168
mglC	253	326	5006	1878
mglA	613	763	12035	4298
mglB	1277	1830	36197	15214
galS	66	116	1067	394
yeiB	380	517	326	200
folE	2077	2358	1440	940
frmC	1242	1636	2069	1247
cirA	2852	4167	2542	1330
lysP	4691	6423	2934	1836
yeiE	344	422	409	277
yeiH	152	188	164	109
nfo	731	880	650	419
yeiJ	19	37	31	32
rihB	5	7	21	7
yeiL	18	21	54	24
yeiC	13	10	213	68
fruA	908	1593	1670	914
fruK	463	703	781	408
fruB	449	732	703	419
setB	36	57	46	24
yeiQ	232	278	493	279
yeiR	267	366	248	145
yeiU	316	411	160	103
rtn	364	426	556	343
yejB	77	125	114	71
yejE	112	147	161	112
yejF	449	622	584	347
bcr	389	515	473	256
rsuA	625	787	508	371
yejH	88	110	99	69
yejK	1814	2569	1714	886
yejM	934	1181	1253	646
narP	878	1383	1068	592
ccmH	145	229	249	151
ccmF	182	289	287	137
ccmC	90	134	152	67
ccmB	56	75	79	40
ccmA	125	132	162	87
napC	149	254	313	141
napH	39	55	74	38
napG	24	42	54	32
napA	177	343	503	250
mqo	1291	1916	249	154
yojI	1350	1803	1036	551
alkB	34	25	39	18
ada	95	129	158	110
yojL	130	174	158	72
rcsB	3931	5079	4021	2308
rcsC	1365	1834	1463	809
yfaP	12	18	38	11
yfaQ	31	79	113	40
yfaT	5	11	8	4
gyrA	12108	18568	11092	6511
ubiG	529	690	627	346
nrdA	2492	3217	2922	1878
nrdB	1926	2959	2137	1318
inaA	596	690	587	289
glpQ	3567	5236	62411	23644
glpT	3546	4804	68349	24728
glpA	515	837	8081	3167
glpB	328	463	5284	2028
glpC	209	317	3180	1276
yfaY	525	798	593	334
ais	17	27	22	11
yfbE	104	117	178	99
yfbF	36	36	48	36
yfbG	113	168	234	123
yfbH	33	64	80	43
arnT	55	64	105	51
menE	345	585	332	182
menC	446	790	485	301
menB	929	1513	908	509
yfbB	329	425	283	178
menD	286	426	328	178
menF	517	677	633	377
elaC	330	453	306	234
nuoN	1201	2153	2299	1429
nuoM	1414	2265	2451	1445
nuoL	2740	4413	5309	2958
nuoH	2528	3724	4656	2382
nuoG	8174	12737	15983	7900
nuoF	3729	5934	7917	3978
nuoC	4949	7006	10396	5175
nuoB	2357	3295	5668	2759
lrhA	1112	1785	2908	1333
yfbQ	775	1179	1133	659
yfbS	195	310	351	188
yfbT	1631	2375	1552	920
ackA	1766	2341	2469	1371
pta	2411	3531	3677	2113
yfcF	167	182	201	125
yfcG	40	63	90	57
yfcH	844	1249	1004	609
hisP	924	1298	1229	573
hisM	717	908	913	441
hisQ	1325	1746	2099	969
hisJ	7200	9659	10123	4298
purF	3840	5623	2659	1648
dedD	623	1007	829	419
folC	1465	2166	1667	875
accD	5926	8958	6993	3837
truA	835	1161	1028	619
usg	935	1442	989	588
pdxB	1552	2525	1573	975
flk	440	614	461	242
yfcJ	101	155	83	65
fabB	3667	5649	4238	2839
trmC	468	662	477	315
yfcA	525	654	451	249
mepA	483	845	562	341
aroC	2456	3529	2536	1500
prmB	1828	2611	1936	1104
yfcY	140	190	1520	568
fadL	904	1022	3592	1509
vacJ	1738	2647	1418	798
yfdC	62	95	193	91
dsdA	229	277	199	129
emrY	30	22	15	9
emrK	33	44	35	17
evgA	1016	1464	343	230
yfdE	21	45	48	13
yfdV	12	18	12	9
oxc	34	45	52	18
frc	37	50	41	19
yfdX	21	36	25	8
ddg	117	102	90	50
yfdZ	633	1057	938	551
ypdA	323	420	378	205
ypdB	335	509	428	212
ypdC	76	96	101	60
ypdD	61	85	132	72
ypdE	21	32	44	18
ypdF	17	26	67	31
ypdG	11	15	27	16
glk	930	1358	1848	968
yfeO	115	157	195	114
mntH	789	1013	918	543
nupC	870	1286	965	589
yfeA	674	868	749	412
gltX	7044	9991	5728	3320
yfeR	121	171	166	103
yfeH	430	627	529	290
ligA	1112	1669	1193	648
zipA	3636	5251	4473	2263
cysZ	264	361	388	233
cysK	29380	42910	36987	18154
ptsI	36131	51724	45644	26560
pdxK	732	1140	718	387
cysM	3830	5320	4221	1907
cysA	2449	3554	3742	1670
cysW	1307	1880	2064	892
cysU	1241	1759	1838	711
cysP	2583	4032	4240	1922
ucpA	815	1085	4154	1595
yfeT	72	148	130	59
yfeU	47	85	206	82
murP	78	104	188	71
murQ	80	121	230	123
yfeX	1556	2243	2025	1106
amiA	785	1195	791	476
hemF	231	373	279	159
yfeG	91	148	162	60
eutL	118	156	184	80
eutC	127	206	187	115
eutB	628	937	905	590
eutA	8	11	17	9
eutH	14	26	25	15
eutG	11	25	25	14
eutJ	7	8	15	11
eutE	21	22	32	11
eutI	23	28	72	46
eutT	7	17	38	24
eutQ	8	20	63	22
maeB	5605	7960	21048	9712
talA	940	1345	1937	1255
tktB	1495	2276	3147	2002
ypfG	186	234	325	197
aegA	76	142	127	59
narQ	197	274	260	147
acrD	124	224	222	113
dapE	1015	1382	881	524
ypfH	291	435	360	160
ypfJ	1029	1399	1022	626
purC	4750	7522	4411	2464
nlpB	4616	7212	4710	2705
dapA	7035	10061	7456	4055
hyfA	0	1	5	5
hyfC	11	13	9	5
hyfD	11	17	25	12
hyfE	10	15	17	5
hyfG	32	48	41	19
hyfI	14	19	20	10
perM	326	435	383	238
yfgC	1526	2035	1979	1086
hda	996	1422	952	522
uraA	3279	5099	2549	1405
upp	6661	8778	4495	2444
purM	2878	4784	3034	1756
purN	1100	1589	869	553
ppk	1347	1624	1321	782
ppx	1097	1541	1188	648
yfgF	73	102	102	62
guaA	8514	13991	5682	3165
guaB	6107	9202	3373	2176
xseA	813	1013	550	366
der	2589	3569	2788	1626
yfgL	3439	5264	3769	2122
yfgM	2204	3269	2542	1343
hisS	5345	7466	5768	3272
ispG	2395	3341	3237	1813
yfgA	1612	2076	2094	1213
yfgB	1398	1857	1941	1078
pbpC	83	143	142	61
sseA	578	766	1576	683
sseB	749	1197	944	543
pepB	1816	2678	3255	1679
hscA	2551	3988	2889	1719
iscS	5579	7794	9518	5760
yfhQ	968	1575	1100	665
suhB	2136	2840	1610	942
yfhR	26	37	31	22
hcaT	106	141	255	119
hcaR	474	633	5402	1950
hcaE	123	186	338	157
hcaB	23	62	77	42
yphB	74	97	114	58
yphC	58	92	136	54
yphD	21	34	37	12
yphE	25	35	94	45
yphF	18	37	92	43
yphH	328	464	488	220
glyA	26485	39053	20340	10566
hmp	498	925	903	477
yfhA	544	787	545	297
yfhG	295	377	324	176
yfhK	491	659	697	375
yfhD	322	449	349	193
yfhB	328	526	437	256
yfhH	180	269	260	140
pdxJ	1428	2170	1536	783
recO	617	917	627	358
era	1913	2607	2012	1149
rnc	1574	2080	1377	874
lepB	1979	2825	2428	1374
lepA	4172	6390	5191	2909
rseB	1354	1878	2158	1115
rseA	3763	5640	6719	3521
yfiC	287	427	313	173
srmB	616	837	781	458
yfiE	147	257	215	124
ung	789	1042	811	440
yfiF	1446	1962	1320	772
yfiP	143	150	120	55
yfiQ	619	859	4008	1607
pssA	2818	3655	5083	2401
kgtP	11109	14316	22997	11537
clpB	7236	11636	9565	5936
yfiH	503	712	414	195
rluD	1408	1768	1202	669
yfiO	5919	7482	5696	3279
pheA	3375	4150	2678	1599
tyrA	3246	4547	1939	1138
aroF	5827	7532	3415	1830
yfiN	130	175	109	67
trmD	35920	48359	31601	16555
ffh	2626	3986	2808	1605
ypjD	349	455	421	243
yfjD	704	949	602	400
yfjB	331	432	371	243
recN	519	664	783	431
gabT	125	207	879	443
gabP	50	72	263	147
csiR	156	235	402	188
nrdF	114	124	265	150
proV	1399	1691	1448	883
proW	366	519	440	307
proX	1020	1279	2107	1126
ygaZ	714	1035	724	383
emrA	617	861	486	277
emrB	365	557	305	184
gshA	3539	5098	3601	2111
alaS	17716	25082	15586	8771
recA	5053	7480	7275	3970
mltB	159	199	178	86
srlE	22	22	75	40
srlD	104	143	150	90
srlR	299	422	582	260
gutQ	203	334	386	181
norV	64	96	83	52
norW	31	27	29	33
ascG	646	907	924	472
ascF	63	92	120	66
hycG	36	56	66	24
hycE	19	21	34	17
hycD	8	9	6	8
hycC	5	15	15	4
hycB	1	4	11	3
hypB	58	104	132	72
hypD	280	408	721	353
hypE	101	172	200	78
fhlA	103	122	161	101
mutS	981	1535	1187	645
ygbI	397	476	736	375
ygbJ	35	46	63	46
ygbK	47	80	73	48
ygbL	28	49	41	25
ygbM	34	49	43	28
ygbN	66	94	116	52
nlpD	26066	35717	64314	30073
pcm	819	1126	985	490
surE	807	1146	934	481
truD	1614	2252	1976	972
ispD	582	909	449	261
cysC	2022	2938	2176	887
cysN	7554	11395	8817	3925
cysD	5250	7397	5452	2385
iap	290	414	316	191
cysH	5027	7259	5605	2480
cysI	9208	14204	10254	4699
cysJ	7565	11203	7055	3247
ygcQ	24	56	37	34
ygcR	18	16	15	13
ygcS	16	18	31	11
ygcU	27	35	62	30
ygcW	2	4	25	10
yqcE	44	48	100	46
ygcF	688	928	695	403
eno	37245	59259	28655	17383
pyrG	8532	12711	6555	3939
mazG	901	1204	1050	555
relA	2947	4130	3823	2005
barA	762	1052	817	474
gudD	130	235	235	130
gudX	65	98	115	50
gudP	12	24	57	30
truC	208	325	235	122
queF	875	1144	903	523
ygdH	739	849	1123	572
sdaC	641	856	954	666
sdaB	268	487	380	242
exo	145	211	252	167
fucO	117	142	1288	467
fucA	32	51	478	170
fucP	26	30	106	42
fucI	46	82	294	147
fucK	144	181	247	151
fucR	386	469	1465	642
ygdE	623	943	815	441
gcvA	399	528	447	223
csdA	384	508	408	217
ygdL	381	616	453	222
mltA	972	1354	1015	496
amiC	756	1314	1555	813
argA	4819	7010	3950	1754
recD	687	1125	861	438
ptr	1333	1976	1699	905
recC	1049	1368	1139	616
thyA	1306	1721	1139	697
lgt	827	1133	859	484
ptsP	2443	3425	2759	1641
mutH	171	224	238	103
ygdQ	163	181	152	133
tas	841	1161	908	572
ygeD	247	292	279	126
aas	902	1255	909	552
galR	337	419	452	204
lysA	1444	2143	1500	758
lysR	68	104	124	79
ygeA	453	602	729	359
araE	142	210	253	111
kduD	103	120	222	119
kduI	67	97	213	98
yqeF	740	992	5219	2238
yqeG	51	85	81	48
yqeH	34	51	35	25
yqeI	56	101	65	32
ygeH	13	32	21	13
ygeR	624	755	1012	489
xdhA	49	80	178	90
xdhB	23	39	71	34
ygeV	113	157	1393	512
ygeW	14	12	30	10
ygeX	25	28	51	23
ygeY	33	29	46	26
hyuA	44	44	53	18
yqeA	68	109	139	72
yqeB	83	140	410	147
yqeC	15	32	199	58
ssnA	16	18	22	12
ygfM	21	37	30	12
xdhD	101	154	157	97
ygfO	100	110	100	68
guaD	188	227	216	112
ygfT	44	61	169	63
ygfU	8	13	38	22
lysS	6442	9330	6174	3412
prfB	4958	6533	4535	2565
recJ	1245	1913	1101	670
dsbC	1316	1769	1296	735
xerD	1001	1359	1043	595
ygfZ	1495	2160	2247	1176
yqfA	380	440	624	336
bglA	2453	3565	2621	1638
ygfF	102	135	126	53
gcvP	2840	4698	2970	1305
gcvT	1878	2782	1477	699
visC	982	1366	1102	645
serA	35610	51539	16861	11784
rpiA	3076	4474	3563	1905
argP	665	945	801	446
yliK	47	80	84	38
argK	21	25	29	19
ygfG	38	37	37	21
ygfH	56	76	78	52
ygfI	73	115	120	47
yggE	1221	1828	1473	896
argO	254	308	249	111
mscS	2498	4019	1808	1300
fbaA	19427	28689	17469	9915
pgk	17603	25594	18386	10606
epd	3669	5143	3394	1943
yggF	42	41	63	40
cmtA	13	18	32	17
tktA	5810	7720	6046	4171
yggG	801	1069	1453	693
speB	1066	1598	1206	623
speA	8480	12436	7868	4256
metK	8253	11750	4515	3181
galP	593	802	224	129
endA	36	47	43	9
yggJ	443	634	457	255
gshB	1245	1656	1396	766
yggS	440	659	520	326
yggW	515	695	532	284
yggM	65	90	91	46
ansB	81	127	135	72
yggN	920	1278	1146	574
yggH	2462	3102	2049	1219
mutY	848	1219	902	515
mltC	777	900	841	481
nupG	221	310	1203	482
yqgA	51	89	58	23
yghK	65	102	439	252
glcF	157	231	1245	655
glcD	54	62	1017	573
glcC	203	291	1600	641
ECIAI1_3132	120	139	204	108
yghR	5	14	10	5
yghS	10	18	17	10
yghT	7	10	7	4
pitB	36	58	33	22
gss	2006	2912	1089	672
yghU	773	1091	1754	899
hybC	391	596	556	301
hybB	67	117	126	78
hybA	53	93	145	51
hybO	71	117	134	89
yghZ	251	360	3207	1180
yghA	99	124	268	146
exbB	4012	5685	3488	2028
metC	3015	4178	3280	1645
yghB	300	439	430	220
yqhC	249	287	226	118
yqhD	536	843	570	581
dkgA	279	360	473	337
yqhG	55	80	89	47
ygiQ	861	1106	796	471
sufI	595	838	759	454
plsC	540	692	596	331
parC	2360	3476	2459	1283
qseB	57	88	53	27
parE	1727	2748	1995	1086
cpdA	986	1425	1859	929
nudF	910	1095	1098	614
tolC	4052	5235	4489	2765
ygiC	2041	2735	2672	1503
ygiE	513	752	700	453
ribB	2055	2612	3033	1618
yqiJ	26	31	38	19
yqiK	33	60	58	44
rfaE	2119	3156	2134	1261
htrG	362	481	745	380
cca	481	801	833	426
bacA	848	1234	846	440
plsY	268	363	416	222
ygiP	76	87	105	52
ttdA	12	12	24	13
ttdB	9	5	7	4
ygjE	63	98	76	41
gcp	638	855	622	355
dnaG	2434	3273	2291	1362
rpoD	6541	9813	7804	4748
yqjH	244	382	309	173
yqjI	188	322	384	197
aer	2287	3009	9661	4332
ygjG	517	805	1622	831
ebgR	97	119	112	69
ygjI	14	8	18	9
ygjJ	6	9	10	7
ygjK	46	44	57	45
ygjO	242	348	212	151
ygjQ	22	22	21	15
ygjR	317	433	1077	473
alx	65	104	96	64
sstT	914	1538	1949	955
uxaA	239	345	985	428
uxaC	247	322	1158	483
exuT	55	74	737	298
exuR	936	1219	1148	582
yqjA	623	839	592	335
yqjG	304	398	534	295
yhaJ	851	1177	984	554
yhaK	38	60	80	32
yhaM	95	140	138	78
yhaO	50	79	62	29
tdcG	56	84	103	46
tdcE	318	472	531	273
tdcD	33	35	63	23
tdcC	90	141	194	93
tdcB	13	12	68	28
tdcA	6	8	40	27
garK	150	166	246	121
garR	87	143	223	124
garL	21	16	63	37
garP	7	6	25	7
garD	74	109	418	158
agaR	1075	1437	1404	733
kbaZ	28	40	167	67
agaS	21	22	39	19
kbaY	14	17	26	10
agaC	13	10	10	7
agaD	7	19	25	18
agaI	20	25	19	10
yraI	10	16	12	7
yraL	537	789	563	293
yraQ	759	1153	1105	527
yraR	83	148	203	109
yhbU	61	90	39	17
yhbV	28	71	35	24
yhbW	204	327	206	141
mtr	272	413	430	225
deaD	2393	3284	1667	1096
nlpI	7190	9228	8761	4635
pnp	13630	19469	17694	9820
truB	1656	2491	2004	1039
infB	19838	28430	24307	12723
nusA	6907	9729	8134	4337
argG	15789	23469	9463	4561
yhbX	118	181	155	82
glmM	3474	5330	3838	2030
folP	836	1265	973	485
ftsH	12191	18771	13410	8198
rrmJ	3077	4170	4097	2455
dacB	254	315	187	117
obgE	1721	2480	2129	1155
yhbE	1246	1639	1290	685
ispB	1713	2326	1809	1045
murA	3814	5074	3179	1779
yrbC	1824	2855	2319	1357
yrbE	1088	1589	1111	626
yrbF	2145	3002	2334	1258
yrbG	415	552	469	251
kdsD	1748	2269	2051	1131
lptB	1554	2246	2262	1323
rpoN	5556	7343	7828	4399
yhbJ	1503	1901	1740	1016
yrbL	3322	4844	4948	2883
mtgA	650	900	1073	601
elbB	722	1205	1297	671
arcB	1445	1841	2430	1220
yhcC	22	46	35	19
gltB	29527	44479	14982	10037
gltD	16077	24852	8267	5387
nanE	26	48	150	61
nanT	39	51	320	142
nanA	86	137	509	200
nanR	675	911	776	488
dcuD	36	41	60	17
sspA	2752	4417	2973	1783
degQ	1242	1782	1755	1108
degS	525	722	543	338
mdh	18029	25462	34676	19445
aaeB	76	91	92	57
aaeA	162	204	190	96
aaeR	161	220	183	103
tldD	1601	2572	1696	927
rng	1977	2884	2196	1199
mreC	868	1348	828	498
mreB	2843	4132	3324	1988
csrD	746	1058	1031	565
yhdH	658	1012	1271	667
accC	7848	12026	8549	4701
panF	261	359	252	133
prmA	703	1022	642	350
dusB	7192	10040	7596	4270
yhdJ	60	82	94	43
envR	16	42	93	60
acrE	9	29	15	13
acrF	211	277	254	143
aapQ	30	67	66	38
aapP	125	127	168	81
aroE	1010	1338	919	506
smf	694	962	1064	598
fmt	1999	2669	1759	1147
rsmB	1032	1544	995	615
trkA	1023	1369	942	568
rpoA	63750	99111	64536	33876
rpsD	56084	79228	57743	30167
secY	62194	94262	66346	34965
rpsC	43710	65367	44913	21849
rplB	43190	65015	41895	21598
rplD	27394	44924	26961	15293
rplC	43073	66164	40280	22323
tufA	159018	235885	172677	90307
fusA	134798	196610	148426	76194
yheO	1315	1806	1345	853
fkpA	6371	8509	6297	3810
kefB	487	707	646	349
yheS	885	1163	875	587
yheT	221	347	282	153
prkB	520	636	662	362
crp	5196	7214	6933	4191
yhfK	943	1463	1064	624
argD	6085	9503	4290	2037
fic	185	219	395	189
tsgA	228	310	96	72
nirB	99	184	134	83
nirC	67	134	83	48
cysG	650	939	793	441
frlA	20	23	37	22
frlB	12	24	38	21
frlC	35	50	54	23
frlD	34	69	83	53
frlR	141	210	196	125
yhfS	38	53	43	38
yhfT	29	43	42	28
php	28	30	43	15
yhfZ	207	287	479	223
trpS	4400	6398	3702	2069
gph	1427	2014	1297	681
rpe	1177	1640	1271	697
dam	913	1203	832	532
aroB	5148	7190	5075	2921
hofQ	53	90	83	39
yrfD	66	84	103	67
mrcA	1347	1906	1334	851
igaA	695	1017	1337	659
yrfG	526	839	651	364
hslO	976	1573	1074	590
pck	1424	2140	19043	8420
envZ	508	770	1061	532
ompR	840	1082	1540	842
yhgF	2486	3912	1943	1175
feoB	1106	1915	1077	625
yhgA	105	166	133	80
bioH	261	393	246	153
gntX	191	219	245	154
gntT	232	440	391	212
malQ	1363	1856	3021	1555
malP	2117	2646	4376	2248
malT	4672	6637	25720	11180
rtcB	133	195	162	88
glpG	1090	1398	921	510
glpD	17703	25954	45595	22202
glgP	4766	7505	6147	3486
glgA	2495	3903	3505	1983
glgC	3777	5434	4839	2707
glgX	3035	4569	3984	2238
glgB	5762	8874	6594	3668
asd	18393	27357	12548	6880
gntU	86	185	102	48
gntR	382	491	521	304
yhhW	212	314	287	148
yhhX	818	1191	704	404
yhhZ	6	12	7	0
ggt	182	300	489	285
ugpC	162	226	447	235
ugpE	41	52	159	57
ugpA	21	24	93	46
ugpB	514	664	2468	930
livF	3635	5092	3829	1971
livG	2942	4135	3036	1485
livM	3577	5841	4018	2066
livH	3000	4862	3413	1732
livK	10480	14682	11603	5582
livJ	30391	41741	52720	28734
rpoH	2459	3999	3688	2078
ftsX	978	1568	1108	720
ftsE	701	1027	769	411
ftsY	3505	4730	3772	1984
yhhN	112	195	179	107
yhhQ	101	136	149	93
yhhS	188	258	168	97
yhhT	103	139	226	143
nikA	22	35	14	16
nikB	13	28	19	6
nikC	12	18	14	5
nikD	23	29	23	13
nikE	13	31	23	14
yhhI	65	125	94	51
yhhJ	491	681	611	376
rbbA	1150	1933	1441	899
yhiI	1397	2342	1908	1058
yhiM	54	60	54	28
yhiN	616	856	485	275
pitA	2525	3542	2065	1250
yhiP	117	146	173	108
yhiQ	224	366	240	150
prlC	1908	3084	2181	1415
yhiR	201	279	213	135
gor	1486	2257	1766	1007
arsB	59	71	69	49
yhiD	36	56	41	26
mdtE	17	25	25	14
mdtF	175	229	172	113
gadW	291	403	148	112
gadX	498	801	330	181
gadA	312	492	334	187
yhjA	79	99	107	46
treF	241	341	294	216
yhjB	77	118	130	53
yhjC	146	221	212	110
yhjD	153	238	259	168
yhjE	3702	5614	2676	2000
yhjG	1603	2188	3243	1688
yhjH	3962	5340	8957	4547
kdgK	683	1032	1357	630
yhjJ	724	1023	1143	617
dctA	317	415	2995	1314
yhjK	460	618	535	297
bcsC	352	481	488	234
bcsZ	53	66	52	26
bcsB	66	93	62	47
bcsA	73	109	87	47
bcsE	1039	1347	1006	595
bcsG	261	341	280	210
yhjV	307	401	589	283
dppF	1111	1765	2624	1424
dppD	1028	1491	2569	1287
dppC	825	1349	2103	1003
dppB	944	1440	2677	1276
dppA	12379	16311	50752	25972
eptB	233	296	647	291
yhjX	25	27	43	31
yhjY	261	363	561	301
yiaD	264	375	214	113
tiaE	1607	2251	1520	1043
yiaF	2806	4111	2888	1553
glyS	8261	12842	8203	4815
glyQ	4284	6655	4252	2437
yiaH	108	126	92	46
xylB	227	298	309	154
xylA	162	201	370	154
xylF	23	29	426	174
xylG	101	153	372	195
xylH	71	73	147	69
xylR	211	307	272	161
bax	2949	3801	15078	7065
avtA	1581	1919	1666	972
yiaJ	306	484	331	178
yiaK	9	13	70	40
yiaN	11	5	22	11
yiaO	4	8	24	10
sgbH	10	12	26	20
sgbU	25	17	35	19
sgbE	13	28	42	18
yiaT	54	47	44	27
yiaU	87	138	108	61
yiaV	32	40	42	24
aldB	47	69	1396	488
yiaY	7	15	16	9
selB	1567	2378	1421	778
selA	642	917	579	305
yibF	178	253	231	124
yibH	54	69	99	66
mtlA	1041	1786	3204	1542
mtlD	921	1294	1681	850
lldP	148	186	842	412
lldR	120	168	316	151
lldD	161	274	465	241
cysE	784	953	1408	709
gpsA	1857	2752	3230	1631
gpmI	4611	6532	2492	1740
envC	1075	1601	1066	636
yibQ	316	455	282	190
yibD	37	35	53	31
tdh	404	540	634	334
kbl	369	646	757	414
waaD	2520	3405	2187	1353
waaF	1482	2109	1359	826
kdtA	406	624	532	293
mutM	296	399	271	139
yicR	940	1327	939	556
dfp	754	816	679	490
pyrE	132	185	102	47
yicC	1685	2311	1574	889
yicG	32	32	30	16
ligB	71	124	217	103
gmk	2644	3414	2462	1414
spoT	2913	4275	2707	1635
trmH	484	631	431	243
gltS	182	288	204	127
yicE	949	1271	1102	669
yicH	1016	1426	1321	772
yicI	101	177	235	132
yicJ	40	41	43	23
setC	11	15	26	10
yicL	500	605	534	275
nlpA	3002	4060	3317	1607
yicM	114	170	55	45
uhpT	895	1796	4186	2491
uhpC	94	140	114	65
uhpB	166	311	236	132
ilvB	3058	4252	6625	3161
emrD	6	9	14	3
yidJ	33	39	85	47
yidK	13	18	30	19
yidL	49	62	118	60
yidP	14	30	33	14
yidE	543	759	890	477
yidR	326	431	771	340
cbrA	16	28	44	18
dgoT	25	35	45	27
dgoD	31	52	126	80
dgoA	18	25	58	22
dgoR	184	301	441	176
yidX	163	248	202	112
yidA	580	761	467	301
gyrB	4943	7133	4693	2635
recF	643	832	456	256
dnaN	1302	1826	1385	757
dnaA	2022	2946	2438	1279
yidC	5730	8032	6172	3514
trmE	646	904	774	500
tnaA	82	91	6005	2264
tnaB	27	25	532	188
mdtL	27	44	41	25
yidZ	193	216	176	91
yieE	186	266	285	124
yieH	211	251	214	140
yieK	40	95	67	47
yieL	24	37	42	21
bglH	20	35	43	23
bglB	23	52	45	36
bglG	15	15	39	13
phoU	696	1106	893	585
pstB	898	1037	1043	723
pstA	219	341	257	203
pstC	336	489	406	334
pstS	1027	1300	1344	1205
glmS	9530	15498	6992	4462
glmU	6436	9892	4701	2733
atpD	17790	27349	25873	13603
atpG	14162	18495	19393	9788
atpA	31168	47074	44964	24469
atpB	16653	21903	23959	12023
gidB	425	570	373	218
gidA	2031	2883	1906	1186
asnA	608	907	526	308
yieM	309	414	384	224
ravA	260	378	361	211
trkD	651	833	645	378
rbsA	593	904	1996	886
rbsC	412	610	1972	893
rbsB	2861	3898	18170	8433
rbsK	784	1030	2061	1013
rbsR	199	247	445	204
hsrA	182	237	179	127
yieP	700	1002	521	332
hdfR	502	708	603	334
yifB	210	277	207	131
ilvE	2340	3412	1611	902
ilvD	2200	3304	1924	1040
ilvA	1039	1654	960	497
ilvY	156	217	217	133
ilvC	50213	75232	41620	21765
rep	856	1155	853	479
gpp	979	1160	1229	721
rhlB	2842	3538	3150	1875
rho	3366	3879	3320	1991
rfe	1540	2236	1395	834
