	CMCP6_HS1	CMCP6_HS2	CMCP6_ASW1	CMCP6_ASW2
VV1_RS04260	1844	1600	1446	1317
VV1_RS04275	6528	2583	10855	7831
VV1_RS04285	1923	487	661	517
GLNG	24263	564	3758	3244
VV1_RS04310	3959	651	15062	15251
VV1_RS04315	595	1804	1016	642
VV1_RS04330	735	1483	3171	2451
VV1_RS04335	2449	5901	3115	5712
VV1_RS04345	6647	2712	1198	1159
VV1_RS04350	4457	3965	388	501
VV1_RS04355	451	448	405	385
VV1_RS04360	929	1501	598	902
VV1_RS04380	4220	1803	1677	1246
VV1_RS04395	1353	492	3071	2413
VV1_RS04400	2005	1430	30279	16990
VV1_RS04495	1531	514	6812	10783
VV1_RS04510	5505	7154	7273	8905
VV1_RS04515	4898	3497	2599	6813
VV1_RS04520	118	201	194	111
VV1_RS04530	187	282	2216	1500
VV1_RS04535	154	341	161	128
VV1_RS04540	579	341	104	179
VV1_RS04545	50	132	100	51
VV1_RS04560	58	71	167	168
VV1_RS04565	17	20	27	28
VV1_RS04580	40	83	70	70
VV1_RS04585	307	96	72	93
VV1_RS04590	5011	1614	538	414
VV1_RS04610	22	104	20	20
VV1_RS04620	1241	1756	824	938
VV1_RS04680	468	586	483	409
VV1_RS04685	308	372	341	223
VV1_RS04700	10370	1319	1259	1109
VV1_RS04705	3569	2171	656	903
VV1_RS04770	3144	1649	751	707
VV1_RS04780	182	365	1378	1071
VV1_RS04785	237	190	673	437
VV1_RS04790	95	236	350	213
VV1_RS04805	2209	1870	743	463
VV1_RS04830	4840	11927	947	803
VV1_RS04835	8788	10346	1368	976
VV1_RS04845	6874	13881	7749	5955
VV1_RS04865	38050	24115	14050	6403
VV1_RS04870	5334	7585	3965	2392
VV1_RS04875	13068	22472	9030	6405
VV1_RS04890	200	334	248	183
VV1_RS04895	1550	2557	29393	17189
VV1_RS04900	482	446	3765	2555
VV1_RS04905	263	221	146	166
VV1_RS04910	947	1941	329	258
VV1_RS04915	8601	10194	2050	1441
VV1_RS04920	4016	6317	1314	1118
VV1_RS04930	3599	5382	625	829
VV1_RS04945	1478	488	515	324
VV1_RS04950	807	939	1278	1065
VV1_RS04955	829	812	1116	592
VV1_RS04960	667	4494	1308	1252
VV1_RS04970	6532	28656	15407	9826
VV1_RS04975	2846	3643	1126	1068
VV1_RS04980	427	476	179	324
VV1_RS04990	970	1144	479	414
VV1_RS05005	430	388	220	178
VV1_RS05010	748	1405	1533	2391
VV1_RS05025	6112	2035	362	470
VV1_RS05040	3424	2197	591	909
VV1_RS05105	523	502	162	235
VV1_RS05110	75180	8021	2126	2873
VV1_RS05120	7557	8691	2845	6795
VV1_RS05125	5983	5045	2361	2939
VV1_RS05135	1583	979	573	460
VV1_RS05170	34856	2989	6000	7148
VV1_RS05175	30284	2321	7091	5413
VV1_RS05180	2846	497	943	1090
VV1_RS05185	3831	824	1460	1675
VV1_RS05200	51	124	75	70
VV1_RS05220	280	498	353	402
VV1_RS05225	170	245	2392	2154
VV1_RS05230	497	510	2459	1686
VV1_RS05235	417	566	1138	834
VV1_RS05240	120	882	345	180
VV1_RS05250	325	1448	423	320
VV1_RS05255	233	430	98	46
VV1_RS05275	4052	18958	3583	2780
VV1_RS05280	1767	1412	2084	2187
VV1_RS05285	6275	4294	7999	7731
VV1_RS05295	1261	1818	2427	1574
VV1_RS05300	127	280	394	237
VV1_RS05310	563	10618	6597	7514
VV1_RS05330	96	144	427	284
VV1_RS05335	1160	2725	355	461
VV1_RS05340	1501	2371	537	496
VV1_RS05370	15908	7462	1664	2675
VV1_RS05380	679	670	387	275
VV1_RS05390	114	189	238	119
VV1_RS05400	250	1021	296	199
VV1_RS05415	5733	11142	909	861
VV1_RS05420	906	1508	880	930
VV1_RS05430	328	669	910	819
VV1_RS05440	2791	2023	181	211
VV1_RS05450	337	945	233	242
VV1_RS05470	127	607	253	304
VV1_RS05495	2362	2484	1074	971
VV1_RS05500	325	282	81	115
VV1_RS05505	2246	1673	825	571
VV1_RS05510	9931	8600	1567	1161
VV1_RS05520	739	716	781	982
VV1_RS05540	2288	956	235	224
VV1_RS05545	6875	3422	12634	14183
VV1_RS05550	11956	5604	586	766
VV1_RS05555	1792	1821	7681	6987
VV1_RS05560	1504	2208	1156	1060
VV1_RS05570	1323	1129	2907	2227
VV1_RS05580	51	75	34	31
VV1_RS05585	240	798	104	92
VV1_RS05655	1235	2235	958	1093
VV1_RS05660	1191	1217	527	595
VV1_RS05725	25810	9056	11330	6996
VV1_RS05745	318	228	127	101
VV1_RS05760	730	679	819	822
VV1_RS05770	995	17280	353	550
VV1_RS05780	1293	4613	1993	3628
VV1_RS05785	2052	536	348	345
VV1_RS05800	309	271	1719	2109
VV1_RS05810	1113	1257	674	588
VV1_RS05820	599	404	540	350
VV1_RS05835	480	546	4582	2901
VV1_RS05840	69	67	498	239
VV1_RS05845	101	128	1754	1089
VV1_RS05850	91	852	159	115
VV1_RS05855	1584	2563	2402	2414
VV1_RS05875	246	261	31641	9005
VV1_RS05885	35	74	276	250
VV1_RS05890	646	2453	4722	4174
VV1_RS05900	184	15155	460	291
VV1_RS05930	2788	9159	6718	3819
VV1_RS05950	67	142	52	56
VV1_RS05975	608	244	198	333
VV1_RS05985	2601	934	1583	1731
VV1_RS06000	1999	15849	2025	891
VV1_RS06005	33062	106812	20621	11150
VV1_RS06010	308	384	403	447
VV1_RS06020	1406	2937	3056	3591
VV1_RS06025	5620	2027	382	269
VV1_RS06030	1705	4382	3794	2929
VV1_RS06035	878	1461	877	901
VV1_RS06060	68197	14215	4772	4751
VV1_RS06065	250	898	285	208
VV1_RS06070	650	6140	1135	828
VV1_RS06080	3108	3597	5349	4654
VV1_RS06135	247	485	364	335
VV1_RS06145	2202	3051	1064	1355
VV1_RS06165	5864	7524	4654	4698
VV1_RS06170	6855	9049	11252	8166
VV1_RS06175	8122	7101	8810	5587
VV1_RS06185	8618	4435	1800	1315
VV1_RS06190	4893	5620	15255	9088
VV1_RS06195	734	447	528	629
VV1_RS06205	236	1009	198	238
VV1_RS06210	12983	13064	40984	26971
VV1_RS06215	1093	1448	3531	2995
VV1_RS06220	176	287	281	196
VV1_RS06225	8565	1790	693	504
VV1_RS06230	384	806	338	113
VV1_RS06250	5489	709	38057	25622
VV1_RS06260	3625	758	62893	21798
VV1_RS06265	38225	10855	2376	2882
VV1_RS06270	1125	1092	1727	1799
VV1_RS06280	242	805	4433	2434
VV1_RS06290	948	2152	5747	4016
VV1_RS06300	1447	1760	3064	4397
VV1_RS06315	2525	1437	251	395
VV1_RS06325	519	1453	937	665
VV1_RS06330	5082	5314	5989	5558
VV1_RS06335	8917	2714	1748	1829
VV1_RS06385	4799	995	675	519
VV1_RS06410	575	899	1301	1459
VV1_RS06430	646	516	857	1032
VV1_RS06450	2793	12135	4667	2792
VV1_RS06465	2341	2088	912	1185
VV1_RS06475	3308	1298	609	917
VV1_RS06490	346	2286	9205	5034
VV1_RS06495	57569	2577	769	937
VV1_RS06500	9048	1748	1020	1189
VV1_RS06510	8584	408	211	216
VV1_RS06515	18401	912	646	607
VV1_RS06520	21463	1317	1162	870
VV1_RS06530	2606	2627	4354	4257
VV1_RS06535	7332	5369	6792	8480
VV1_RS06540	283	411	537	589
VV1_RS06560	719	967	459	419
VV1_RS06575	10121	4983	7166	6229
VV1_RS06580	276	820	1031	821
VV1_RS06585	138	725	111	131
VV1_RS06610	336	468	441	749
VV1_RS06615	5732	7841	2691	3298
VV1_RS06625	614	1161	524	937
VV1_RS06650	436	333	405	298
VV1_RS06660	795	1362	636	517
CYSJ	577	469	3027	2029
VV1_RS06675	1656	1198	3373	2318
VV1_RS06680	4460	2434	7011	5531
VV1_RS06715	3728	6890	73545	100163
VV1_RS06720	910	1190	20263	15528
VV1_RS06725	1591	1778	7030	6163
VV1_RS06735	1637	1453	424	182
VV1_RS06740	5965	4908	1808	4704
VV1_RS06745	1018	869	2343	3648
VV1_RS06755	7178	4398	6515	5377
VV1_RS06760	704	670	2250	1242
VV1_RS06770	2039	7770	14095	11464
VV1_RS06780	280	1661	4665	2766
VV1_RS06790	1391	5449	16999	11654
VV1_RS06795	761	2597	20894	13149
VV1_RS06800	840	2066	10003	7268
VV1_RS06805	1722	2879	8348	5950
VV1_RS06810	487	1898	6283	5135
VV1_RS06855	4761	3871	1668	2130
VV1_RS06860	179	217	101	104
VV1_RS06875	935	2478	2073	1535
VV1_RS06880	1628	2075	5043	3862
VV1_RS06885	1239	1921	3115	2501
TLDD	4984	3599	22760	10451
VV1_RS06895	20228	17955	392110	189585
VV1_RS06905	560	337	278	269
VV1_RS06930	2913	125	182	119
VV1_RS06935	255	801	8170	6169
VV1_RS06945	241	393	347	347
VV1_RS06960	838	5000	358	271
VV1_RS06965	1035	3824	333	393
VV1_RS06980	3577	2753	1949	1865
VV1_RS06985	4703	2371	979	1298
VV1_RS06990	1773	918	763	642
VV1_RS07005	848	2969	328	362
VV1_RS07015	515	3564	80	93
VV1_RS07025	3548	9396	462	662
VV1_RS07030	1430	3299	431	396
VV1_RS07035	2407	6170	1230	2259
VV1_RS07045	445	859	8960	5612
VV1_RS07090	221	489	12259	8703
VV1_RS07095	277	796	17927	9976
VV1_RS07150	1041	970	310	363
VV1_RS07160	1574	1246	1339	1582
VV1_RS07170	232	1043	376	352
VV1_RS07175	418	603	212	206
VV1_RS07180	670	866	954	1107
VV1_RS07185	347	811	906	855
VV1_RS07205	1540	5275	178	239
VV1_RS07210	1451	5739	696	536
VV1_RS07215	8605	4582	23909	12881
VV1_RS07220	3225	2339	5635	3729
VV1_RS07235	2510	7721	64632	17348
VV1_RS07240	969	5795	332	386
VV1_RS07250	1896	904	736	1224
VV1_RS07260	582	461	29697	29364
VV1_RS07265	2853	1218	2579	2070
GAPA	3570	2308	466	637
VV1_RS07290	43669	11494	2405	2195
VV1_RS07295	7008	7913	1687	1548
VV1_RS07300	756	228	224	144
VV1_RS07305	152	178	258	198
VV1_RS07310	6229	1374	2822	2809
VV1_RS07320	851	1203	390	307
VV1_RS07340	765	1898	158	143
VV1_RS07345	965	1672	330	319
VV1_RS07375	15230	4832	1569	1112
VV1_RS07385	2580	5462	2937	3007
VV1_RS07400	1168	2142	802	659
VV1_RS07405	373	418	564	297
VV1_RS07425	4288	2217	2911	1932
VV1_RS07435	2358	5651	36240	41360
VV1_RS07445	1062	4768	8844	10233
RELA	16152	7561	3907	3339
