	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_starvation1	K12_starvation2
ansP	11	11	11	11
yncG	38	29	38	36
nhoA	21	16	22	16
narV	7	4	9	4
narW	5	2	5	2
narY	9	9	9	9
narZ	18	24	18	24
narU	8	6	8	6
yddG	3	3	3	3
fdnG	64	67	59	67
fdnH	8	12	8	12
fdnI	16	17	16	17
adhP	104	101	119	114
sfcA	50	57	52	65
ddpD	4	2	5	2
ddpC	3	4	3	4
ddpB	1	1	1	1
ddpA	13	20	13	20
dos	90	81	95	88
yddV	435	399	465	427
yddW	9	8	9	8
gadC	47	70	48	70
gadB	90	104	89	104
ydeM	1	1	1	1
ydeN	18	21	18	21
ydeO	2	3	2	3
ydeP	4	6	5	6
ydeQ	1	0	2	0
lsrK	86	111	89	113
lsrR	108	73	116	87
lsrC	49	69	52	70
lsrD	57	31	57	31
lsrB	60	57	64	58
lsrF	52	80	54	86
tam	86	83	93	88
yneE	24	24	25	24
uxaB	44	31	48	31
yneF	6	12	6	12
yneH	4	4	4	4
yneI	10	11	10	11
ydeA	3	12	3	12
marC	67	59	70	62
eamA	50	33	50	33
ydeE	12	14	12	16
ydeH	43	41	43	41
dcp	39	53	40	54
ydfG	107	125	107	126
ydfH	12	6	12	6
ydfT	9	8	9	8
ydfU	3	2	3	2
rspB	12	8	12	8
rspA	6	3	5	3
ynfC	58	51	58	51
ynfF	10	9	10	9
ynfG	1	4	1	4
ynfH	6	14	6	14
dmsD	5	5	5	5
clcB	4	1	4	1
ynfK	122	115	122	115
dgsA	34	44	36	44
ynfL	17	16	19	17
ynfM	6	11	6	11
ydgD	615	609	684	685
ydgG	28	28	30	29
pntB	478	524	485	541
pntA	425	452	449	474
ydgH	68	81	67	81
ydgI	7	9	10	12
folM	21	14	21	15
rstA	15	12	15	12
rstB	14	22	14	22
tus	62	52	64	52
fumC	428	386	455	417
fumA	1156	1327	1173	1343
manA	54	48	55	49
ydgA	1836	1959	2038	2189
uidC	7	6	7	6
uidB	3	3	3	3
uidA	24	34	25	34
hdhA	133	158	139	166
malI	157	361	163	369
malX	13	18	13	18
malY	11	12	12	12
add	27	14	27	14
ydgJ	80	75	80	75
rsxD	0	1	0	1
rsxG	3	2	3	2
rsxE	2	4	2	4
nth	0	2	0	2
ydgR	17	17	17	18
gst	178	168	179	169
pdxY	16	15	16	15
tyrS	75	92	74	92
pdxH	6	10	8	10
anmK	45	47	49	51
ydhJ	5	1	5	2
ydhF	206	223	207	223
nemA	19	14	20	14
rnt	6	1	6	1
ydhO	11	17	11	17
ydhP	4	8	4	8
purR	21	29	22	30
ydhB	14	26	14	26
ydhC	8	7	8	7
cfa	195	201	212	213
ribC	38	45	42	45
mdtK	88	117	89	117
ydhQ	247	252	261	273
ydhS	271	264	276	268
ydhT	17	18	17	18
ydhU	13	9	13	9
ydhX	0	2	0	2
ydhV	8	6	8	7
ydhY	0	0	0	0
pykF	489	487	491	487
ynhG	4080	3925	4124	3953
sufS	194	171	224	206
sufC	143	181	149	185
sufB	670	634	687	649
ydiK	86	93	86	94
ydiM	2	2	2	2
ydiN	1	1	1	1
ydiB	2	4	2	4
aroD	9	9	9	10
ydiF	0	1	0	1
ydiO	0	1	0	1
ydiP	12	11	12	11
ydiQ	1	2	1	2
ydiR	11	4	11	4
ydiS	2	2	2	2
ydiD	5	6	5	6
pps	692	740	724	778
ydiA	18	12	19	12
aroH	9	13	9	13
ydiV	4	8	4	8
btuD	14	18	14	19
btuC	18	12	18	12
pheT	1814	2186	1820	2195
pheS	26	26	27	26
thrS	1167	1214	1108	1119
ydiY	4	5	4	6
pfkB	61	68	61	69
yniA	1924	2204	1984	2273
yniC	7	8	7	8
ydjN	67	66	68	66
katE	38	46	41	47
chbF	7	8	7	8
chbR	13	20	13	20
chbC	12	11	12	11
nadE	40	40	40	42
ydjQ	7	4	7	4
astE	318	384	318	384
astB	504	647	518	664
astA	833	942	850	964
astC	1880	1870	1880	1870
xthA	33	25	33	25
ydjX	8	9	9	11
ydjZ	10	12	11	13
ynjE	7	9	8	8
ynjF	8	8	8	8
gdhA	96	85	108	91
topB	26	33	26	33
selD	150	146	168	167
sppA	40	52	40	56
ansA	6	7	6	7
pncA	29	29	29	29
ydjE	9	8	9	8
ydjF	48	49	48	49
ydjG	4	5	4	5
ydjH	0	0	0	0
ydjI	0	2	0	2
ydjJ	0	1	0	1
ydjK	1	1	1	1
ydjL	3	1	3	1
gapA	605	639	606	639
yeaD	11	10	11	10
yeaE	34	29	35	30
mipA	82	90	82	91
yeaG	10811	10821	11374	11387
yeaH	3475	3538	3527	3576
yeaI	22	21	22	21
yeaJ	7	10	7	11
yeaM	16	18	16	20
yeaN	7	6	7	7
yeaP	11	15	11	15
yeaS	9	7	9	7
yeaT	63	44	65	44
yeaU	21	18	21	19
yeaV	3	1	3	1
yeaW	1	2	1	2
yeaX	1	4	2	4
rnd	19	21	19	21
