"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_starvation1","K12_starvation2"
"15","nhaA",553.810819794108,-0.0100034078025787,0.0534360383796021,-0.187203395048036,0.851501163033984,0.999974208147515,509.303354907545,609.700073626249,501.492476754125,594.747373888514
"16","nhaR",30.3909043909092,-0.000480709122382165,0.0231169104029753,-0.0207946959175087,0.983409428870188,0.999974208147515,28.768181134945,32.2437538936959,28.6567129573786,31.8949695776175
"17","ribF",58.1638319958838,-0.00368654166030392,0.0305720898169477,-0.120585203117527,0.904019589512568,0.999974208147515,58.6018504600732,59.6020905307711,56.289971880565,58.161415112126
"18","ileS",166.958330822144,0.00575530386579369,0.0433884516379969,0.132645984093001,0.894473363675887,0.999974208147515,152.36481119619,177.829188140989,156.58846723139,181.050856720005
"19","ispH",18.0811025935909,0.00356298372272859,0.0180176062113766,0.197750116243459,0.843240576796568,0.999974208147515,14.9168346625641,19.5416690264823,15.3518105128814,22.5140961724359
"20","rihC",8.66834867969042,0.00238491900323737,0.0128396600912663,0.185746272587047,0.852643739424238,0.999974208147515,7.45841733128204,8.79375106191705,7.16417823934464,11.2570480862179
"21","dapB",35.767695076176,0.00310372256875102,0.0245848334803964,0.126245417575266,0.899537660912342,0.999974208147515,30.8991575153113,39.0833380529647,32.7505290941469,40.3377556422809
"22","carA",15.5549669113728,-0.00030152167743899,0.0164852537190935,-0.0182903874321183,0.985407195903258,0.999974208147515,11.7203700920146,19.5416690264823,11.257994376113,19.6998341508814
"23","carB",58.3705154500511,0.0111051334129907,0.0306232833024905,0.362636929009097,0.716876120088617,0.999974208147515,55.4053858895237,55.6937567254747,61.4072420515255,60.9756771336805
"24","caiD",1.00102825405438,-9.91267545357955e-05,0.00465531401945706,-0.0212932476996163,0.983011730174536,0.999974208147515,1.06548819018315,0.977083451324117,1.02345403419209,0.938087340518162
"25","caiB",4.56979143044457,-0.000397366131196872,0.00931591309672032,-0.0426545553904711,0.965976906117817,0.999974208147515,6.39292914109889,2.93125035397235,6.14072420515255,2.81426202155448
"26","caiA",19.4114438087273,-0.00166893519589113,0.0188282086544525,-0.0886401476911855,0.929367900403691,0.999974208147515,18.1132992331135,21.4958359291306,17.3987185812656,20.6379214913996
"27","caiT",0.47879269796057,-5.52723542641579e-05,0.00297125915648068,-0.0186023336751364,0.985158341155445,0.999974208147515,0,0.977083451324117,0,0.938087340518162
"28","fixA",0.52223555609381,-2.72968871414948e-05,0.00306919684220653,-0.00889382093911916,0.992903851137211,0.999974208147515,1.06548819018315,0,1.02345403419209,0
"29","fixB",0.52223555609381,-2.72968871414948e-05,0.00306919684220653,-0.00889382093911916,0.992903851137211,0.999974208147515,1.06548819018315,0,1.02345403419209,0
"30","fixC",1.00102825405438,-9.91267545357955e-05,0.00465531401945706,-0.0212932476996163,0.983011730174536,0.999974208147515,1.06548819018315,0.977083451324117,1.02345403419209,0.938087340518162
"31","yaaU",1.47982095201495,-0.000141991565678067,0.00555770424385712,-0.0255486005458115,0.979617383492737,0.999974208147515,1.06548819018315,1.95416690264823,1.02345403419209,1.87617468103632
"32","kefC",15.6679879413092,-0.00126938980559607,0.0165128250959155,-0.0768729637855883,0.938724605659784,0.999974208147515,20.2442756134798,11.7250014158894,19.4456266496497,11.2570480862179
"33","apaH",35.1611769331275,0.00671354281836482,0.023984026301287,0.279917255511205,0.779540988236822,0.999974208147515,28.768181134945,38.1062546016406,29.6801669915707,44.0901050043536
"34","ksgA",187.986746561278,-0.000178325504636982,0.0451150444715664,-0.00395268378266525,0.99684622284836,0.999974208147515,199.246291564249,176.852104689665,198.550082633266,177.298507357933
"35","surA",537.773234600072,-0.0201565013745762,0.0549028091664668,-0.367130601887075,0.713521601675348,0.999974208147515,541.268000613039,554.006316900774,522.985011472159,532.833609414316
