	IAI1_batch1	IAI1_batch2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
yahJ	68	42	31	16
yahK	108	92	337	194
yahN	12	13	330	354
prpR	22	14	98	67
prpB	3	1	113	117
prpC	9	6	95	114
prpD	14	7	140	105
prpE	30	16	199	205
codB	798	600	30	17
codA	1021	792	86	67
cynT	14	5	7	14
cynX	12	6	7	8
lacY	14	12	60	72
lacI	264	173	626	417
mhpR	100	72	1961	1567
mhpB	3	4	7	4
mhpC	12	15	5	12
mhpD	12	7	5	5
mhpF	25	9	12	11
mhpE	28	19	16	16
mhpT	32	21	25	29
frmA	376	251	34	29
yaiO	16	13	184	116
yaiP	19	8	15	9
tauA	58	47	9	5
tauB	38	16	7	6
tauD	36	23	14	7
hemB	1068	828	260	229
yaiV	10	8	34	47
ampH	233	134	55	44
sbmA	139	88	58	56
yaiW	273	183	133	97
ddlA	1133	862	888	623
phoA	140	90	118	91
yaiC	14	13	21	21
proC	272	143	91	82
aroM	144	120	40	28
rdgC	1382	932	117	77
mak	200	144	359	274
araJ	112	96	62	47
sbcD	225	168	76	37
phoB	148	119	83	64
phoR	134	92	69	64
brnQ	358	289	1081	904
proY	350	286	218	195
malZ	296	208	91	72
queA	304	184	15	11
tgt	2566	1841	393	304
secD	7142	5128	763	562
secF	4078	2730	962	712
tsx	2930	2218	2507	2078
ribD	642	395	383	330
thiL	307	244	48	47
yajO	199	155	681	524
dxs	896	680	172	115
ispA	560	335	113	68
thiI	863	638	83	62
panE	264	199	147	115
yajR	293	207	104	84
cyoE	5930	4337	4329	3068
cyoC	4300	2849	1945	1455
cyoB	17776	13265	7058	5128
cyoA	11468	8536	5422	3982
ampG	279	145	19	14
tig	23876	16964	619	469
clpP	1845	1336	915	685
clpX	5310	3766	5343	4358
lon	7562	5168	3611	2659
ppiD	6413	4667	2670	1965
queC	477	371	155	123
ybaE	70	48	453	380
cof	141	62	540	465
mdlA	217	115	80	54
mdlB	166	103	38	29
amtB	131	120	68	47
tesB	147	123	122	90
ylaB	138	108	129	105
acrB	8391	5750	1825	1298
acrA	4291	3151	710	513
acrR	368	276	190	154
kefA	1331	1065	357	259
dnaX	1146	754	132	89
recR	802	574	49	32
htpG	3901	2838	8350	6896
adk	4242	3369	327	266
hemH	256	177	82	67
aes	70	46	260	215
gsk	921	663	53	40
ybaL	795	525	214	205
fsr	112	88	59	63
ushA	993	695	517	398
ybaP	188	122	72	44
copA	624	448	497	365
ybaS	166	161	18	14
ybaT	132	108	28	18
ybbK	256	225	835	634
ybbL	191	138	134	111
ybbM	197	141	106	76
ybbN	999	597	577	457
ybbO	214	117	72	56
tesA	212	114	208	185
ybbA	126	80	143	123
ybbP	282	179	204	151
ybbB	91	53	26	16
ybbS	14	9	14	18
allR	1110	752	1322	1185
gcl	36	16	14	18
hyi	12	6	13	12
glxR	12	18	10	4
ybbW	6	6	67	42
allB	46	38	412	242
ybbY	22	9	15	16
glxK	57	57	107	73
ylbA	118	86	165	150
allC	49	38	95	61
allD	16	17	25	22
ylbE	11	13	20	23
ylbF	10	6	13	12
ybcF	39	18	7	5
purK	1930	1281	16	15
lpxH	340	296	33	13
cysS	1580	1169	153	117
folD	781	534	301	281
sfmC	10	8	65	43
sfmH	5	12	10	6
fimZ	1	1	13	10
envY	47	32	32	22
ybcH	29	15	47	40
nfrB	61	38	65	44
cusR	94	75	13	9
cusC	7	6	21	22
cusB	11	4	12	2
cusA	42	28	35	20
pheP	854	699	139	109
ybdG	643	537	295	239
nfnB	968	658	264	191
ybdK	18	8	68	66
fepA	8388	2866	338	234
fepC	266	102	45	24
fepG	158	55	64	34
fepD	100	51	84	50
ybdA	381	147	77	46
fepB	365	141	85	63
entC	1002	296	69	57
entE	1613	476	98	76
entB	1693	505	100	68
entA	1201	373	91	62
cstA	3522	2438	31354	23479
ybdH	593	434	1024	628
ybdL	203	141	257	120
ibrB	37	29	39	38
ibrA	19	10	21	10
ybdO	7	12	15	10
dsbG	272	166	94	78
ahpF	2862	2053	712	542
ybdR	40	26	68	56
rna	189	130	334	283
citT	19	13	21	31
citG	6	5	0	1
citF	3	1	2	4
citE	4	5	5	5
citC	9	7	11	14
citA	156	92	72	47
citB	52	47	35	22
dcuC	17	15	21	17
lipA	945	701	2908	2396
ybeF	47	48	89	75
lipB	241	138	57	61
dacA	1361	946	266	239
rlpA	1170	750	135	108
mrdB	510	351	58	34
mrdA	739	547	72	49
phpB	75	49	16	12
nadD	171	121	52	45
holA	585	399	73	60
leuS	7709	5412	2662	1931
ybeQ	64	48	157	146
ybeU	7	11	6	7
hscC	62	43	54	52
rihA	499	361	550	381
gltL	680	508	391	257
gltK	446	315	329	296
