	IAI1_batch1	IAI1_batch2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
yedJ	213	128	30	22
hchA	158	124	787	796
yedW	435	357	271	228
yedZ	65	43	61	53
yodA	17212	16450	77	65
yeeI	583	414	4850	4093
shiA	897	519	239	205
amn	411	240	260	221
yeeN	1937	1594	279	197
yeeO	96	94	174	144
cbl	1621	1199	72	58
nac	31	16	69	47
erfK	353	243	266	202
cobS	231	165	208	139
yeeA	90	48	100	79
dacD	54	50	26	29
yeeE	944	659	84	55
yeeF	4880	3739	47	35
yeeY	137	89	324	259
yeeZ	745	458	881	787
hisG	2065	1238	178	154
hisD	1898	1023	128	112
hisC	1694	957	123	115
hisB	2688	1460	241	184
hisA	2081	1266	172	110
hisF	2135	1326	126	92
ugd	437	313	251	172
gnd	8306	6421	951	632
galF	3653	2728	472	345
wcaL	24	17	10	5
wcaK	15	8	10	13
wzxC	7	4	1	4
wcaJ	9	1	5	5
cpsG	2178	1433	5	2
cpsB	1332	926	12	11
fcl	17	9	4	4
gmd	17	9	7	7
wcaE	3	3	2	4
wcaD	6	3	4	2
wcaC	15	10	9	6
wcaA	6	2	5	5
wzc	22	16	20	22
wza	8	4	3	2
yegH	500	399	198	169
asmA	1142	758	636	467
udk	424	321	38	37
yegL	10	4	1	1
mdtA	36	34	16	19
mdtB	111	82	18	17
mdtC	82	78	20	9
baeS	69	55	15	7
baeR	146	95	120	90
yegQ	621	445	68	55
yegS	23	24	61	41
gatD	19	13	57	29
gatZ	3	10	31	19
gatY	5	5	35	18
fbaB	405	306	560	385
yegT	59	35	40	34
yegU	63	53	21	21
yegV	62	33	34	22
yegW	128	82	98	58
yegX	142	85	12	17
thiD	1423	844	117	76
thiM	1568	986	89	83
rncA	46	39	70	44
yehA	12	8	27	24
yehC	0	1	0	0
mrp	2349	1812	855	697
metG	3024	1825	397	358
yehL	23	15	3	8
yehP	24	28	9	4
yehT	262	201	268	170
yehU	490	347	934	735
mlrA	38	19	55	45
yehW	17	15	7	4
yehX	26	19	14	6
yehY	18	5	9	8
yehZ	26	17	47	40
bglX	1898	1294	407	281
dld	1770	1129	1579	1234
pbpG	453	315	182	151
yohF	33	15	39	37
dusC	392	239	34	34
yohK	35	18	42	22
cdd	69	49	345	285
sanA	160	87	82	58
yeiT	38	37	1543	1127
yeiA	70	67	1193	824
mglC	337	263	692	483
mglA	561	465	1673	1064
mglB	1455	1112	6728	5069
galS	100	78	648	415
yeiB	348	188	34	20
folE	2469	1301	182	147
frmC	383	182	300	288
cirA	8202	2689	444	311
lysP	5929	3858	121	125
yeiE	182	109	159	126
yeiH	200	107	332	270
nfo	304	206	96	78
yeiJ	59	35	66	63
rihB	13	4	33	32
yeiL	19	18	107	74
yeiC	4	1	31	11
fruA	859	604	536	407
fruK	476	286	190	161
fruB	473	293	141	102
setB	36	21	19	12
yeiQ	229	135	162	153
yeiR	237	208	10	14
yeiU	386	323	16	10
rtn	310	189	175	146
yejB	89	69	44	24
yejE	123	105	31	22
yejF	314	199	89	48
bcr	298	189	91	92
rsuA	449	301	89	44
yejH	63	39	25	21
yejK	1479	1099	356	321
yejM	780	509	122	108
narP	241	196	323	254
ccmH	174	179	108	72
ccmF	283	293	70	31
ccmC	93	99	32	29
ccmB	68	57	29	17
ccmA	66	80	103	104
napC	95	121	148	141
napH	43	59	49	26
napG	44	64	35	18
napA	305	404	184	159
mqo	1095	694	19	21
yojI	953	624	58	37
alkB	23	20	33	19
ada	69	44	121	76
yojL	49	38	17	13
rcsB	1923	1343	1381	1054
rcsC	915	671	296	237
yfaP	13	3	7	12
yfaQ	29	22	26	15
yfaT	1	2	2	3
gyrA	8946	6396	951	704
ubiG	443	277	42	41
nrdA	2307	1368	87	82
nrdB	1607	1123	146	103
inaA	301	187	232	170
glpQ	331	247	1233	926
glpT	100	59	483	362
glpA	20	13	20	14
glpB	14	10	11	10
glpC	23	14	30	35
yfaY	333	223	183	147
ais	146	85	42	16
yfbE	547	374	157	120
yfbF	144	76	38	26
yfbG	360	251	79	52
yfbH	123	84	26	19
arnT	146	103	59	60
menE	341	266	22	12
menC	437	291	47	28
menB	780	557	83	62
yfbB	160	142	21	16
menD	252	199	49	49
menF	325	237	70	57
elaC	145	91	64	52
nuoN	2334	1580	628	586
nuoM	2164	1484	436	348
nuoL	3941	2699	1065	842
nuoH	2602	1883	623	514
nuoG	8739	6362	2174	1576
nuoF	3788	2804	771	570
nuoC	4672	3515	2002	1456
nuoB	2457	1674	1932	1332
lrhA	636	565	6370	5372
yfbQ	690	464	904	756
yfbS	205	139	362	303
yfbT	1907	1345	753	578
ackA	2302	1554	1496	1336
pta	3849	2537	815	543
yfcF	111	58	39	23
yfcG	13	11	42	41
yfcH	691	437	820	666
hisP	1338	909	160	108
hisM	1094	758	170	130
hisQ	2094	1634	425	285
hisJ	10536	7580	1231	941
purF	4608	3337	205	178
dedD	569	370	317	231
folC	1061	762	395	309
accD	5631	4128	1878	1599
truA	625	456	114	82
usg	1225	873	131	95
pdxB	1379	1008	229	185
flk	289	199	40	25
yfcJ	153	92	8	11
fabB	7074	4692	12141	9860
trmC	369	260	103	101
yfcA	380	290	164	130
mepA	537	354	109	79
aroC	1742	1084	206	159
prmB	1284	842	167	106
yfcY	85	51	679	473
fadL	1106	682	671	496
vacJ	1243	984	349	290
yfdC	23	31	62	50
dsdA	131	90	64	61
emrY	18	14	27	17
emrK	19	14	26	19
evgA	460	361	32	23
yfdE	25	23	64	52
yfdV	11	14	45	29
oxc	45	25	46	34
frc	60	31	27	31
yfdX	18	17	39	17
ddg	34	39	44	29
yfdZ	855	536	764	633
ypdA	140	99	129	73
ypdB	165	124	240	164
ypdC	54	40	71	40
ypdD	56	53	23	28
ypdE	13	3	9	4
ypdF	16	15	14	11
ypdG	17	9	22	8
glk	937	614	617	490
yfeO	70	50	124	114
mntH	451	302	1219	865
nupC	2371	1823	611	560
yfeA	399	356	187	167
gltX	3307	2523	413	326
yfeR	91	66	98	77
yfeH	725	454	236	281
ligA	884	591	315	257
zipA	2879	1965	2786	2191
cysZ	168	150	493	440
cysK	20013	15004	1778	1337
ptsI	32290	22767	3924	3389
pdxK	687	492	140	118
cysM	2579	1704	62	40
cysA	2950	1875	57	43
cysW	1682	1064	38	29
cysU	1347	915	24	30
cysP	3181	2024	116	64
ucpA	816	517	7276	6437
yfeT	53	53	49	41
yfeU	108	54	334	279
murP	51	56	433	323
murQ	87	74	539	466
yfeX	924	687	502	371
amiA	461	302	113	108
hemF	195	127	43	22
yfeG	46	15	19	21
eutL	36	31	17	15
eutC	17	19	25	14
eutB	38	30	32	22
eutA	6	7	11	13
eutH	21	10	19	12
eutG	7	6	5	10
eutJ	5	2	1	2
eutE	10	5	9	6
eutI	9	10	102	83
eutT	11	7	50	41
eutQ	7	9	75	46
maeB	3700	2499	9360	7028
talA	150	106	486	350
tktB	174	116	481	326
ypfG	27	24	62	56
aegA	54	45	76	44
narQ	136	115	226	182
acrD	123	88	78	61
dapE	983	738	677	464
ypfH	178	158	120	130
ypfJ	669	494	551	375
purC	3831	2825	371	300
nlpB	4939	3500	1500	1208
dapA	5699	4011	1949	1664
hyfA	4	3	1	0
hyfC	3	6	14	6
hyfD	6	3	8	6
hyfE	6	2	8	5
hyfG	13	13	13	8
hyfI	6	6	4	3
perM	263	196	277	211
yfgC	855	606	786	549
hda	558	414	158	106
uraA	1187	918	23	21
upp	3026	2098	48	18
purM	4147	2809	123	98
purN	1075	751	46	36
ppk	847	600	882	751
ppx	713	474	302	244
yfgF	68	56	74	48
guaA	4792	3023	389	333
guaB	3819	2538	117	98
xseA	516	294	63	50
der	1867	1396	373	281
yfgL	4077	2966	650	501
yfgM	1867	1365	343	266
hisS	4259	2941	724	521
ispG	1636	1213	962	703
yfgA	1253	822	953	752
yfgB	1216	841	179	129
pbpC	131	80	36	41
sseA	591	336	1260	1045
sseB	571	349	485	354
pepB	1247	683	668	467
hscA	2196	1199	707	554
iscS	6003	3204	9161	6867
yfhQ	574	341	393	311
suhB	1684	1323	58	42
yfhR	22	13	13	10
hcaT	136	77	235	181
hcaR	506	357	1872	1437
hcaE	21	13	29	20
hcaB	13	7	9	3
yphB	29	24	171	113
yphC	27	19	192	111
yphD	9	2	163	95
yphE	26	22	363	260
yphF	13	10	454	319
yphH	126	93	107	94
glyA	22427	15714	2009	1581
hmp	386	296	1190	1069
yfhA	424	326	42	31
yfhG	317	238	58	30
yfhK	395	241	137	96
yfhD	241	194	46	19
yfhB	212	187	282	177
yfhH	143	123	73	70
pdxJ	1201	850	243	165
recO	474	341	47	45
era	1511	1018	112	72
rnc	1018	691	90	74
lepB	1660	1136	242	210
lepA	4341	3036	364	264
rseB	873	647	675	507
rseA	2194	1616	6881	5367
yfiC	192	135	36	17
srmB	506	280	153	116
yfiE	93	70	210	171
ung	340	274	127	104
yfiF	970	675	112	97
yfiP	70	62	21	18
yfiQ	405	335	4393	3565
pssA	2042	1401	2622	2061
kgtP	795	563	3028	2260
clpB	3454	2614	22700	19108
yfiH	328	257	51	59
rluD	671	483	285	260
yfiO	2593	1901	951	649
pheA	1982	1349	446	354
tyrA	4932	3013	281	198
aroF	5935	4057	249	186
yfiN	87	54	95	65
trmD	24226	17483	2182	1823
ffh	1920	1287	1073	979
ypjD	361	225	84	53
yfjD	495	366	202	174
yfjB	226	168	232	178
recN	255	167	581	468
gabT	82	57	351	226
gabP	28	18	124	87
csiR	166	109	274	231
nrdF	164	68	33	22
proV	793	461	77	68
proW	295	161	25	26
proX	412	201	54	36
ygaZ	780	478	218	156
emrA	405	304	18	8
emrB	321	261	40	34
gshA	2460	1838	885	656
alaS	14322	9894	1856	1378
recA	3395	2377	1640	1383
mltB	184	103	6	11
srlE	15	4	109	88
srlD	82	57	186	116
srlR	201	116	587	490
gutQ	205	153	347	253
norV	13	3	30	22
norW	22	11	14	7
ascG	338	238	98	84
ascF	16	13	85	68
hycG	37	17	14	8
hycE	17	4	4	1
hycD	6	7	2	0
hycC	7	12	5	6
hycB	5	1	0	0
hypB	54	36	73	51
hypD	65	60	40	48
hypE	79	65	44	42
fhlA	74	52	73	72
mutS	692	471	125	76
ygbI	233	166	542	396
ygbJ	16	14	152	136
ygbK	39	27	131	113
ygbL	21	12	99	55
ygbM	31	25	102	70
ygbN	30	20	63	61
nlpD	11162	8193	64583	56790
pcm	670	415	240	156
surE	720	461	153	94
truD	1282	847	263	209
ispD	624	423	40	34
cysC	2209	1373	43	33
cysN	8430	5542	203	148
cysD	4831	3141	84	50
iap	199	152	134	128
cysH	4612	3377	40	34
cysI	9685	6504	69	31
cysJ	6920	4520	36	17
ygcQ	37	24	15	12
ygcR	8	11	3	5
ygcS	9	6	7	4
ygcU	31	21	28	20
ygcW	13	9	15	13
yqcE	26	28	27	22
ygcF	498	411	456	349
eno	33637	26255	1828	1343
pyrG	6889	5208	895	674
mazG	609	520	281	242
relA	2610	1868	1792	1283
barA	532	443	177	141
gudD	112	77	357	253
gudX	48	45	258	182
gudP	11	16	465	410
truC	202	116	9	8
queF	693	493	235	186
ygdH	736	439	879	832
sdaC	412	283	55	46
sdaB	210	175	66	61
exo	148	112	97	83
fucO	96	69	1479	940
fucA	19	13	361	249
fucP	10	13	235	203
fucI	74	35	368	248
fucK	92	63	256	211
fucR	354	241	575	460
ygdE	540	422	235	182
gcvA	274	182	233	207
csdA	309	202	98	73
ygdL	356	219	88	65
mltA	1331	959	997	781
amiC	856	709	80	57
argA	7972	5541	192	161
recD	700	490	103	69
ptr	961	719	291	224
recC	732	485	300	270
thyA	1011	665	256	184
lgt	599	350	102	75
ptsP	1445	962	458	324
mutH	150	108	188	169
ygdQ	111	68	73	76
tas	582	359	397	370
ygeD	283	185	106	69
aas	872	543	141	91
galR	257	175	187	165
lysA	1853	1221	30	23
lysR	92	49	71	56
ygeA	205	125	132	93
araE	349	284	226	225
kduD	60	50	113	80
kduI	45	37	76	45
yqeF	1173	817	2861	2054
yqeG	70	58	78	65
yqeH	14	15	23	11
yqeI	33	30	11	10
ygeH	5	6	19	12
ygeR	460	290	331	267
xdhA	61	36	213	155
xdhB	17	14	72	39
ygeV	148	118	4814	3962
ygeW	12	4	36	24
ygeX	17	16	12	12
ygeY	9	9	32	14
hyuA	14	10	25	17
yqeA	32	31	120	108
yqeB	36	23	869	622
yqeC	5	3	609	369
ssnA	13	4	57	56
ygfM	13	8	46	27
xdhD	61	55	298	198
ygfO	27	20	33	32
guaD	127	121	74	51
ygfT	56	36	117	92
ygfU	3	8	50	30
lysS	5423	3784	540	446
prfB	4244	2911	511	462
recJ	1209	879	153	125
dsbC	783	571	178	152
xerD	653	450	221	185
ygfZ	909	570	614	497
yqfA	116	90	828	594
bglA	1198	827	367	285
ygfF	33	29	11	5
gcvP	2529	1899	213	169
gcvT	2242	1700	158	127
visC	525	365	187	153
serA	22724	15304	1402	1148
rpiA	1453	1058	594	440
argP	565	401	507	371
yliK	48	33	32	19
argK	10	13	12	5
ygfG	11	5	5	3
ygfH	30	28	24	19
ygfI	47	44	77	86
yggE	430	334	387	253
argO	124	78	40	38
mscS	2076	1593	224	172
fbaA	13947	10631	2355	1908
pgk	11509	8717	2284	1940
epd	2469	1738	690	564
yggF	13	7	12	13
cmtA	16	10	12	3
tktA	7882	4872	2202	1829
yggG	1100	875	1366	1174
speB	875	569	98	74
speA	8625	5938	593	459
metK	9908	6580	1997	1311
galP	161	121	24	15
endA	76	60	11	7
yggJ	372	246	95	95
gshB	804	496	329	264
yggS	417	304	125	100
yggW	477	363	39	34
yggM	29	21	66	45
ansB	67	47	113	88
yggN	469	360	229	172
yggH	1216	908	139	114
mutY	414	296	47	39
mltC	456	277	42	51
nupG	164	134	3627	3275
yqgA	30	23	39	35
yghK	29	25	410	336
glcF	52	30	890	722
glcD	32	23	1758	1472
glcC	153	96	2642	1991
ECIAI1_3132	11	9	4	1
yghR	10	8	4	3
yghS	9	11	17	11
yghT	3	6	11	9
pitB	38	28	22	17
gss	1035	771	480	421
yghU	595	390	504	385
hybC	342	252	284	245
hybB	39	52	116	70
hybA	31	18	113	89
hybO	65	51	254	158
yghZ	213	123	978	842
yghA	15	5	33	30
exbB	2937	1655	963	660
metC	1476	1052	246	150
yghB	256	181	306	277
yqhC	116	70	142	92
yqhD	343	191	570	557
dkgA	84	58	680	542
yqhG	48	25	45	32
ygiQ	831	532	42	26
sufI	761	512	217	175
plsC	394	285	106	93
parC	1750	1254	323	245
qseB	126	110	73	59
parE	1969	1455	235	185
cpdA	869	603	1925	1630
nudF	423	296	212	179
tolC	2906	1609	985	843
ygiC	2218	1640	1151	820
ygiE	393	272	1009	716
ribB	570	431	1877	1440
yqiJ	18	13	53	45
yqiK	36	18	44	30
rfaE	1730	1170	209	202
htrG	246	164	123	87
cca	414	284	231	179
bacA	573	524	218	178
plsY	212	126	61	57
ygiP	34	33	30	30
ttdA	10	6	4	1
ttdB	8	5	4	4
ygjE	27	31	16	10
gcp	556	394	179	135
dnaG	2041	1460	530	505
rpoD	4349	2783	5060	4054
yqjH	277	102	50	67
yqjI	194	135	46	40
aer	115	106	47	30
ygjG	65	45	223	158
ebgR	83	46	42	44
ygjI	5	4	19	16
ygjJ	7	4	4	4
ygjK	24	18	21	14
ygjO	264	182	20	16
ygjQ	19	18	4	2
ygjR	161	108	794	674
alx	63	48	17	20
sstT	1857	1274	4600	3799
uxaA	326	187	402	324
uxaC	347	178	357	306
exuT	141	87	233	182
exuR	487	346	580	511
yqjA	371	263	838	764
yqjG	85	52	94	79
yhaJ	536	352	110	79
yhaK	32	25	100	86
yhaM	76	57	70	38
yhaO	31	26	69	60
tdcG	45	37	65	39
tdcE	207	140	270	190
tdcD	13	18	64	46
tdcC	89	72	274	198
tdcB	9	8	150	98
tdcA	8	9	320	244
garK	73	55	1412	1012
garR	53	49	2041	1432
garL	12	12	997	833
garP	44	23	1275	1107
garD	63	45	922	663
agaR	383	352	283	229
kbaZ	27	13	46	43
agaS	18	9	16	18
kbaY	10	11	11	17
agaC	8	12	15	10
agaD	14	9	21	23
agaI	19	17	2	5
yraI	6	7	33	42
yraL	383	230	113	76
yraQ	321	234	48	36
yraR	66	38	75	49
yhbU	22	29	15	2
yhbV	29	32	21	16
yhbW	118	76	34	36
mtr	347	210	211	193
deaD	1747	1297	400	309
nlpI	3871	3012	1924	1911
pnp	11016	7951	1121	932
truB	1389	1104	167	114
infB	16318	12137	940	747
nusA	6532	4770	626	441
argG	15664	11641	209	168
yhbX	69	47	39	33
glmM	2130	1454	692	504
folP	513	304	102	91
ftsH	11824	8288	14252	12126
rrmJ	1755	1199	4420	3998
dacB	243	132	64	51
obgE	1345	933	810	652
yhbE	636	453	169	131
ispB	1209	880	404	252
murA	3253	2099	187	145
yrbC	1273	898	477	377
yrbE	938	701	175	147
yrbF	1269	965	321	253
yrbG	382	227	163	117
kdsD	1112	793	207	166
lptB	1135	809	272	183
rpoN	3074	2171	1904	1408
yhbJ	936	655	244	165
yrbL	2288	1497	3760	3176
mtgA	437	298	465	338
elbB	870	656	734	565
arcB	829	611	1831	1424
yhcC	24	16	4	6
gltB	16360	9971	155	124
gltD	8058	5349	130	80
nanE	32	11	99	68
nanT	32	25	159	130
nanA	67	43	50	55
nanR	484	387	217	173
dcuD	31	20	28	29
sspA	2879	2108	1727	1386
degQ	730	541	437	328
degS	373	256	135	107
mdh	16193	11565	9237	6900
aaeB	37	34	39	23
aaeA	56	41	40	46
aaeR	121	82	90	62
tldD	1236	865	482	351
rng	1244	852	184	152
mreC	620	425	28	13
mreB	2562	1622	209	169
csrD	507	385	348	294
yhdH	548	356	356	314
accC	7404	5309	856	670
panF	255	184	18	21
prmA	575	393	49	36
dusB	5549	4377	359	317
yhdJ	51	48	22	13
envR	19	13	3	6
acrE	9	13	8	5
acrF	198	144	191	157
aapQ	35	26	115	85
aapP	38	28	102	77
aroE	613	474	179	110
smf	377	279	837	710
fmt	1236	825	847	628
rsmB	563	420	119	86
trkA	524	423	240	164
rpoA	72728	52971	3632	3080
rpsD	47661	35056	2248	1944
secY	63778	48810	6381	5213
rpsC	41711	30497	1152	942
rplB	44418	33293	755	611
rplD	36653	27363	510	447
rplC	46335	34264	646	552
tufA	128693	94285	7086	5480
fusA	100410	75567	3064	2338
yheO	920	721	222	180
fkpA	5998	4603	1868	1496
kefB	288	176	270	270
yheS	695	499	92	68
yheT	237	148	28	17
prkB	275	190	332	290
crp	2706	1764	2510	2249
yhfK	763	449	93	105
argD	4534	3085	96	67
fic	47	39	93	67
tsgA	203	124	34	26
nirB	94	152	42	49
nirC	32	20	12	3
cysG	663	434	326	237
frlA	12	7	4	10
frlB	15	7	11	6
frlC	25	16	9	6
frlD	19	20	14	12
frlR	135	68	102	91
yhfS	32	24	29	31
yhfT	21	15	12	18
php	13	11	12	8
yhfZ	187	168	509	431
trpS	3029	2008	492	414
gph	933	621	120	72
rpe	821	620	146	110
dam	682	500	137	83
aroB	4198	3254	600	444
hofQ	27	19	15	14
yrfD	36	33	22	20
mrcA	1835	1319	78	64
igaA	660	458	567	474
yrfG	427	293	108	83
hslO	1079	687	271	186
pck	2084	1547	19738	16517
envZ	341	200	270	208
ompR	595	365	1308	1047
yhgF	2625	1679	68	43
feoB	1245	759	1135	890
yhgA	48	46	29	25
bioH	262	183	62	47
gntX	217	143	95	82
gntT	1089	857	75	69
malQ	718	523	72	54
malP	1050	782	92	69
malT	3693	2658	2162	1703
rtcB	83	51	66	55
glpG	582	442	60	41
glpD	43	47	143	120
glgP	4562	3088	4486	3502
glgA	2465	1644	2083	1534
glgC	2791	1781	2749	1979
glgX	2978	2053	2104	1788
glgB	6267	4361	1214	957
asd	11939	7537	1288	1004
gntU	110	88	24	14
gntR	266	154	66	82
yhhW	130	94	154	132
yhhX	717	483	334	306
yhhZ	3	0	4	3
ggt	48	32	13	15
ugpC	63	28	34	14
ugpE	11	10	12	9
ugpA	16	9	15	4
ugpB	126	85	828	610
livF	989	691	169	126
livG	1179	805	208	143
livM	1933	1313	413	280
livH	1792	1263	559	360
livK	3550	2507	1423	983
livJ	12210	7523	4006	2992
rpoH	2145	1510	2206	1746
ftsX	936	659	642	464
ftsE	681	452	223	165
ftsY	2230	1622	806	616
yhhN	238	124	96	70
yhhQ	67	52	28	51
yhhS	151	108	99	68
yhhT	52	33	51	54
nikA	28	12	3	10
nikB	9	7	7	5
nikC	8	6	2	2
nikD	8	3	2	6
nikE	11	8	4	2
yhhI	406	388	124	82
yhhJ	507	434	515	401
rbbA	1030	773	756	575
yhiI	948	662	1129	846
yhiM	57	55	85	66
yhiN	489	352	202	142
pitA	1999	1364	451	334
yhiP	32	29	49	33
yhiQ	116	67	17	13
prlC	1306	733	752	633
yhiR	170	94	28	22
gor	1092	716	229	174
arsB	44	32	25	29
yhiD	27	15	17	11
mdtE	21	19	5	3
mdtF	120	63	54	50
gadW	184	118	23	11
gadX	271	290	58	36
gadA	149	109	98	86
yhjA	65	43	68	56
treF	83	48	107	105
yhjB	49	40	41	31
yhjC	114	80	30	31
yhjD	68	57	68	42
yhjE	3927	2299	575	468
yhjG	62	40	74	64
yhjH	9	10	4	2
kdgK	240	156	134	125
yhjJ	584	418	183	123
dctA	425	284	9568	9062
yhjK	410	266	129	101
bcsC	659	407	164	120
bcsZ	151	116	60	50
bcsB	330	173	130	94
bcsA	440	305	158	120
bcsE	292	184	395	282
bcsG	135	93	75	58
yhjV	164	119	58	71
dppF	425	319	32	27
dppD	470	363	48	28
dppC	434	358	36	18
dppB	485	407	45	31
dppA	5704	4310	1788	1478
eptB	118	100	571	438
yhjX	18	12	75	49
yhjY	61	38	132	93
yiaD	151	113	10	10
tiaE	1031	566	99	49
yiaF	1781	1420	930	735
glyS	5689	4037	708	633
glyQ	2547	1891	406	283
yiaH	79	58	80	71
xylB	118	69	152	144
xylA	83	49	256	176
xylF	32	22	471	353
xylG	36	29	157	153
xylH	61	45	174	100
xylR	211	146	221	190
bax	2277	1573	2237	1721
avtA	1443	1001	354	296
yiaJ	408	308	96	81
yiaK	13	8	144	114
yiaN	5	4	49	36
yiaO	2	1	61	42
sgbH	2	4	19	8
sgbU	7	3	20	28
sgbE	12	6	22	18
yiaT	18	16	34	9
yiaU	84	46	131	90
yiaV	19	20	28	19
aldB	37	27	405	260
yiaY	25	21	21	23
selB	1256	886	176	137
selA	586	404	77	75
yibF	188	121	54	36
yibH	26	24	61	40
mtlA	574	384	1459	1157
mtlD	539	413	645	455
lldP	128	84	199	159
lldR	76	57	74	45
lldD	149	78	92	73
cysE	848	529	895	634
gpsA	1742	1169	542	405
gpmI	2250	1665	138	145
envC	842	587	65	37
yibQ	313	234	45	46
yibD	32	14	19	13
tdh	211	141	292	252
kbl	233	192	568	453
waaD	1239	810	617	494
waaF	990	724	172	121
kdtA	543	334	167	118
mutM	192	156	156	135
yicR	839	640	508	376
dfp	507	277	64	57
pyrE	952	747	10	7
yicC	1143	780	209	193
yicG	5	4	9	9
ligB	41	31	43	32
gmk	1005	652	457	387
spoT	3072	2074	125	110
trmH	513	342	23	16
gltS	556	439	363	267
yicE	1309	769	23	18
yicH	720	511	808	621
yicI	89	53	82	74
yicJ	22	20	29	29
setC	16	11	21	16
yicL	305	226	129	79
nlpA	1815	1282	195	113
yicM	102	81	6	10
uhpT	12	11	38	40
uhpC	93	54	10	3
uhpB	174	128	9	5
ilvB	1855	1159	238	218
emrD	6	7	26	35
yidJ	39	25	89	74
yidK	8	3	23	12
yidL	39	26	109	101
yidP	25	16	11	8
yidE	501	389	958	660
yidR	214	147	161	129
cbrA	20	6	21	14
dgoT	27	13	42	54
dgoD	43	31	117	87
dgoA	17	15	60	46
dgoR	130	116	296	215
yidX	95	99	82	87
yidA	422	233	55	55
gyrB	3642	2529	1376	1182
recF	443	348	13	21
dnaN	1049	786	163	136
dnaA	1771	1215	625	518
yidC	5152	3553	317	231
trmE	497	351	164	111
tnaA	71	44	207	137
tnaB	16	9	67	60
mdtL	33	20	8	6
yidZ	125	78	46	25
yieE	139	81	69	58
yieH	250	193	69	48
yieK	40	28	18	23
yieL	23	29	15	21
bglH	17	8	40	25
bglB	16	9	10	9
bglG	5	4	17	18
phoU	437	351	273	228
pstB	441	325	211	145
pstA	145	106	22	11
pstC	165	131	59	43
pstS	405	288	60	50
glmS	7380	5414	554	447
glmU	5782	4129	426	336
atpD	27211	18697	1983	1550
atpG	16672	11309	854	734
atpA	41597	29737	2373	1768
atpB	13608	9902	1876	1341
gidB	326	264	81	77
gidA	1981	1387	148	145
asnA	2223	1312	95	91
yieM	244	195	49	38
ravA	259	196	84	78
trkD	426	268	67	61
rbsA	212	145	250	135
rbsC	142	88	384	279
rbsB	789	867	3779	3080
rbsK	415	289	432	314
rbsR	181	138	56	45
hsrA	98	90	45	41
yieP	251	209	135	116
hdfR	310	228	228	206
yifB	36	38	32	26
ilvE	9807	6367	285	183
ilvD	10524	6609	310	247
ilvA	6150	3840	160	121
ilvY	184	99	66	52
ilvC	22146	16004	120	94
rep	748	519	111	94
gpp	1195	702	167	115
rhlB	2450	1589	584	501
rho	3096	1809	2387	2124
rfe	1117	864	342	239
wzzE	947	658	140	115
rffE	805	588	24	20
rffD	828	554	29	15
rffG	678	375	39	12
rffH	434	305	18	15
rffC	208	171	17	13
rffA	435	297	76	53
wzxE	383	232	64	32
rffT	306	225	41	24
wzyE	197	174	35	28
rffM	216	155	52	43
yifK	1049	729	117	86
hemY	1491	965	723	557
hemX	1544	1008	578	455
hemD	507	293	213	174
hemC	766	487	529	392
cyaA	2857	1891	806	638
dapF	814	535	133	103
yigA	470	310	39	25
xerC	563	371	18	17
yigB	318	210	15	14
uvrD	702	453	246	180
yigE	60	38	7	4
corA	981	689	483	453
rarD	154	106	66	24
pldA	887	643	160	118
recQ	807	511	34	21
rhtC	393	294	295	244
rhtB	216	153	153	95
pldB	385	283	240	166
yigL	260	165	59	57
yigM	171	121	53	54
metR	486	355	312	170
ysgA	838	530	341	242
udp	920	562	2219	1844
rmuC	189	159	501	397
ubiE	1144	818	634	514
yigP	714	452	160	122
ubiB	1104	741	448	350
tatC	1136	836	115	123
tatD	265	193	24	32
ubiD	1677	1148	1485	1206
fre	1010	728	944	683
fadA	118	73	1265	1035
fadB	269	171	3097	2338
pepQ	2141	1448	1273	961
yigZ	290	214	159	124
trkH	559	380	216	136
yihE	1016	766	450	351
dsbA	2169	1615	695	518
yihG	111	89	16	21
polA	1535	1066	1484	1213
hemN	1031	695	420	299
glnG	818	555	147	109
glnL	676	427	86	74
glnA	8991	6186	842	660
bipA	11721	8297	1427	1175
yihL	82	56	43	42
yihM	106	89	90	70
yihN	55	48	13	15
ompL	7	6	17	14
yihO	6	8	58	55
yihP	12	15	45	39
yihQ	35	17	85	66
yihS	69	36	60	40
yihT	29	20	20	24
yihU	14	12	25	7
yihV	30	25	74	59
yihW	257	164	370	303
rbn	203	171	221	190
yiiD	658	431	170	135
fdhE	385	224	272	207
fdoI	107	73	603	449
fdoH	180	128	1147	953
fdoG	1371	957	7609	6899
fdhD	213	191	272	232
frvB	11	6	3	2
rhaD	19	6	9	7
rhaA	5	5	7	5
rhaS	22	22	87	60
rhaR	31	22	259	239
sodA	16891	8516	5107	4119
kdgT	31	25	88	65
yiiM	272	187	147	133
cpxA	1515	1085	426	387
cpxR	1327	972	618	455
fieF	708	510	407	346
pfkA	3175	2168	935	770
sbp	846	642	37	32
cdh	263	176	17	15
tpiA	6248	4380	724	526
fpr	597	325	443	311
glpX	182	116	198	168
glpK	139	116	969	786
glpF	20	17	348	320
menA	412	286	72	58
hslU	1943	1312	1928	1412
ftsN	673	488	283	228
cytR	496	319	168	149
yiiX	57	50	31	12
metB	1493	954	1046	471
metL	2673	1705	1226	649
metF	7118	5254	1296	679
katG	3493	2505	3362	2415
