"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_K12ref_starvation1","IAI1_K12ref_starvation2"
"15","gltB",4933.19858393724,-5.72031180553736,0.138781257205262,-41.2181869564477,0,0,10379.9027905405,8987.41707179086,180.844695395842,184.629778021755
"16","rpoA",25678.2228280451,-3.40983793125677,0.0903309608780078,-37.7482747677374,0,0,46143.6167573611,47745.7095286164,4237.59957211419,4585.96545408874
"17","rpsC",14174.9072310674,-4.29382182371344,0.0923483979402611,-46.4958994360796,0,0,26464.3108371781,27488.6429082746,1344.08444578071,1402.59073303623
"18","rplB",14995.3217625582,-5.01925267396184,0.0972770381292017,-51.5975071865917,0,0,28181.8167573488,30008.8332736068,880.888677573296,909.748341703968
"19","rplD",12294.8905087246,-5.2470619588144,0.105092447273797,-49.9280594840868,0,0,23255.1697421565,24663.794337119,595.037384850836,665.56057077197
"20","rplC",15464.4391435964,-5.25586169392677,0.0998467395151209,-52.63929217369,0,0,29398.092652793,30884.0495986202,753.714020811059,821.900302161359
"21","tufA",45765.7302004577,-3.34065087533214,0.0838815295062412,-39.8258221445947,0,0,81651.6399647326,84984.3163788789,8267.51942951573,8159.44502870335
"22","fusA",34718.942025646,-4.22068453775947,0.0891436540877432,-47.3469994129374,0,0,63706.9706111351,68112.7415368589,3574.8912689862,3481.16468560373
"23","pck",12584.681761207,4.12966658742773,0.0935712750122403,44.1339138201068,0,0,1322.23211586102,1394.39717280719,23029.1135336976,24592.9842224623
"24","dctA",6295.46634872085,5.54235867783742,0.127318241003691,43.5315366764826,0,0,269.64906393519,255.985001342755,11163.3680357898,13492.8632938156
"25","ilvC",7189.05064729883,-6.65884360836435,0.134171875231199,-49.6292057995769,0,0,14050.9368703734,14425.2956390473,140.008796435491,139.961283339072
"26","tufB",46103.2480270412,-3.36088620951571,0.0838096462885074,-40.1014245776215,0,0,82393.9679760366,85681.0642874632,8223.18331064449,8114.77653402067
"27","aspA",14852.1354343576,5.41737146712496,0.103483841627049,52.349926152229,0,0,630.027107029749,727.394000294376,28429.9528561967,29621.1677739096
"28","atpA",14649.1828250852,-3.29738621644217,0.0885577826475836,-37.2342906276701,1.90283032682427e-303,1.60449371486861e-301,26391.9814412049,26803.6126229912,2768.67394951183,2632.46328663276
"29","nupG",2333.22775315293,5.34050995521891,0.144348391744565,36.997363743888,1.26252484236078e-299,1.02786936303924e-297,104.052815259697,120.781655563131,4231.76587226271,4876.31066952618
"30","ucpA",4764.32427520721,4.19198194471973,0.11397167117244,36.7809114457683,3.72831338513318e-296,2.93418263409982e-294,517.726202755564,466.000865120437,8489.20002387192,9584.37000908092
"31","fumA",13088.0864932172,3.52327857210644,0.095989172653023,36.704958223176,6.0871456205562e-295,4.63604864843006e-293,2035.37458142139,2147.93048661896,22962.6093553908,25206.4315494378
"32","tsf",7204.43245405756,-3.7303951919713,0.101650218599704,-36.6983489397253,7.75959947661879e-295,5.7251294888428e-293,12969.168272704,13831.3022732555,966.060695404886,1051.1985748658
"33","rpsD",16838.6677263175,-3.48483421027431,0.095049264782857,-36.663452560475,2.79358632387038e-294,1.99868403353271e-292,30239.3977322708,31597.9232643366,2622.83145322486,2894.51845543783
"34","yeeI",3124.00419592684,3.97971143028067,0.109342235410206,36.3968361845765,4.77697828011267e-290,3.31718991745471e-288,369.895068880507,373.161234351762,5658.68885593442,6094.27162454066
"35","nlpD",43593.9427009822,3.46405017793872,0.0954599783357267,36.2879841199615,2.50321284233059e-288,1.68859586306929e-286,7081.93612151668,7384.80674648306,75351.5675016108,84557.4604343181
"36","ptsG",4395.37346347869,-3.94619999287906,0.108829365956278,-36.2604335530583,6.80534558994201e-288,4.46317248273697e-286,8173.85621335776,8336.63830077161,505.198407138062,565.800932647312
"37","rplA",10717.2287176805,-3.26327940941694,0.0902197166420365,-36.1703575545976,1.78097256513942e-286,1.13645303413356e-284,19110.1877781833,19721.6613710545,2052.29560775023,1984.77011373386
"38","uspE",5566.64588953758,3.49541856746433,0.0974432995356188,35.8713075616516,8.56032699301645e-282,5.3186663238189e-280,872.394030378555,940.113930987651,10382.8189956619,10071.2566011222
"39","argA",2629.03213997456,-4.43597259834632,0.125112500632926,-35.4558703239513,2.35527213841323e-275,1.42584551763939e-273,5057.98197103843,4994.41159309931,224.014074296785,239.72092146373
"40","htpX",12708.2565730974,3.07626402238472,0.0868647273308943,35.4144209843231,1.02429281804012e-274,6.04588835848183e-273,2666.67062522259,2715.78453889338,22319.7356317578,23130.8354965158
