	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2
ushA	173	161	1642	2344
ybaP	8	5	217	302
copA	78	97	778	1136
ybaS	20	27	73	97
ybaT	20	28	55	99
ybbK	801	776	354	540
ybbL	9	10	374	490
ybbM	10	13	272	373
ybbN	49	59	1815	2776
ybbO	9	9	298	394
tesA	34	40	324	397
ybbA	33	26	129	227
ybbP	26	22	289	484
ybbB	10	9	169	254
ybbS	0	1	12	18
allR	1908	2352	1371	2024
gcl	30	30	52	66
hyi	4	3	10	27
glxR	3	1	20	29
ybbW	12	9	4	8
allB	22	36	51	65
ybbY	4	3	27	28
glxK	10	12	63	96
ylbA	2	6	289	377
allC	5	8	124	177
allD	1	1	14	16
ylbE	2	1	21	33
ylbF	1	1	13	22
ybcF	2	3	49	75
purK	2	8	2096	3142
lpxH	4	4	718	1101
cysS	32	34	2250	3237
folD	21	14	844	1037
sfmC	0	0	5	10
sfmH	2	0	8	10
fimZ	2	0	8	13
envY	3	1	38	64
ybcH	5	3	44	69
nfrB	23	19	135	131
cusR	2	8	107	184
cusC	3	1	1334	1128
cusB	3	0	18	37
cusA	5	9	53	95
pheP	7	9	392	720
ybdG	17	21	692	1035
nfnB	11	18	1125	1555
ybdK	301	294	57	74
fepA	23	28	2018	2915
fepC	1	1	205	252
fepG	3	6	96	149
fepD	8	14	60	91
ybdA	4	8	242	395
fepB	5	12	242	319
entC	13	20	621	906
entE	32	31	782	1270
entB	18	22	676	1051
entA	11	17	443	633
cstA	9899	10389	1814	2653
ybdH	147	155	631	956
ybdL	5	16	427	641
ibrB	3	3	70	89
ibrA	2	3	35	32
ybdO	5	1	20	32
dsbG	26	28	308	347
ahpF	73	84	3667	5373
ybdR	16	21	105	155
rna	77	68	484	585
citT	2	3	35	50
citG	6	1	15	16
citF	1	2	5	6
citE	2	1	9	12
citC	0	1	27	31
citA	7	8	211	312
citB	4	3	109	165
dcuC	9	9	45	60
lipA	193	223	1572	2400
ybeF	5	10	96	105
lipB	2	4	685	743
dacA	13	10	2046	2855
rlpA	38	43	1707	2318
mrdB	14	16	890	1142
mrdA	15	10	1360	1717
phpB	7	5	64	120
nadD	3	9	227	292
holA	14	18	827	989
leuS	424	441	9928	14017
ybeQ	125	162	102	151
ybeU	0	0	18	15
hscC	8	8	77	113
rihA	31	28	541	654
gltL	12	5	577	832
gltK	8	14	313	431
gltJ	6	7	251	418
gltI	307	313	3044	4216
ybeX	603	687	2843	3910
ybeZ	812	807	2700	3928
miaB	63	81	1941	2938
asnB	66	55	3214	4530
nagD	12	15	781	1019
nagC	44	66	850	1055
nagA	121	123	794	1142
nagB	109	120	451	594
nagE	484	510	1190	1765
glnS	51	44	4965	7319
ybfM	6	7	25	36
ybfF	8	8	234	337
pgm	142	198	4722	6912
potE	29	43	104	125
kdpE	42	50	51	80
kdpD	263	306	273	406
kdpB	2	3	46	84
ybgH	9	6	405	567
ybgI	125	93	2212	3079
ybgJ	61	61	1102	1558
ybgK	63	62	1209	1674
nei	2	3	241	361
abrB	5	4	67	100
gltA	986	1121	10494	13211
sdhA	241	314	6657	9406
sdhB	129	162	3629	4830
sucA	380	433	12401	18181
sucB	212	264	7042	11045
sucC	241	369	10310	15054
sucD	232	293	8095	12225
mngR	10	11	305	393
mngA	2	2	16	21
cydA	569	650	3558	6420
cydB	468	547	2452	3882
tolQ	13	15	1447	2111
tolA	103	123	2473	3469
tolB	268	296	9312	13620
ybgF	86	99	5962	8379
nadA	79	77	3538	4871
pnuC	145	143	1392	2080
zitB	66	61	338	509
aroG	41	61	10537	13290
gpmA	996	1064	15188	22630
galM	51	64	1971	3051
galK	52	79	1411	1996
galT	41	53	363	468
galE	126	148	571	750
modF	26	37	1660	2219
modE	8	17	468	579
modA	28	41	1200	1577
modB	13	20	504	710
modC	21	24	834	1182
