	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2
fliR	5	5	215	264
rcsA	8	2	531	713
yedP	448	455	194	240
yedQ	140	162	291	370
yedI	114	154	541	737
yedA	3	3	36	40
dcm	11	6	913	1324
yedJ	17	7	354	509
hchA	337	372	309	350
yedW	9	15	411	583
yedZ	20	24	78	84
yodA	18	28	25725	34581
yeeI	250	225	697	913
shiA	29	30	1054	1539
amn	26	21	803	876
yeeN	10	16	3693	4980
yeeO	40	35	110	147
cbl	13	13	804	1080
nac	13	18	108	121
erfK	609	638	418	552
cobS	21	20	513	692
yeeA	44	43	260	391
dacD	20	19	287	360
yeeE	50	41	3830	5203
yeeF	16	23	5410	8007
yeeY	191	200	128	241
yeeZ	442	462	931	1338
hisG	14	19	1559	1987
hisD	11	17	1119	1466
hisC	13	19	861	1262
hisB	16	31	1741	2315
hisA	16	18	1259	1907
hisF	17	15	1097	1593
ugd	16	28	323	409
gnd	296	299	30300	44212
galF	99	97	8064	11472
wcaL	3	1	17	45
wcaK	0	2	34	31
wzxC	1	1	24	31
wcaJ	0	1	26	27
cpsG	1	3	35	67
cpsB	1	1	58	64
fcl	0	0	70	58
gmd	0	0	87	126
wcaE	0	0	18	22
wcaD	4	1	37	42
wcaC	1	1	31	67
wcaA	1	1	16	26
wzc	2	0	47	64
wza	0	2	30	20
yegH	123	136	500	706
asmA	60	67	1413	1963
udk	2	6	434	539
yegL	0	2	24	34
mdtA	9	6	85	100
mdtB	10	9	144	211
mdtC	7	12	144	216
baeS	5	7	61	124
baeR	15	18	183	225
yegQ	13	20	659	830
yegS	57	58	154	189
gatD	54	70	981	1399
gatZ	5889	6069	24870	33291
gatY	7161	6805	23621	32651
fbaB	464	548	1782	2482
yegT	6	2	66	99
yegU	4	3	88	124
yegV	2	5	74	105
yegW	9	14	155	201
yegX	4	8	253	337
thiD	17	14	770	1122
thiM	17	11	1542	2049
rncA	2	3	58	63
yehA	2	5	18	27
yehC	0	0	5	3
mrp	93	101	3858	5419
metG	21	22	2238	3022
yehL	0	0	1	3
yehP	1	4	11	10
yehT	9	15	281	389
yehU	33	39	609	661
mlrA	20	28	95	150
yehW	6	1	48	54
yehX	10	9	56	112
yehY	8	6	59	98
yehZ	86	105	143	249
bglX	55	62	1742	2680
dld	85	111	2850	4061
pbpG	17	13	638	835
yohF	97	116	93	113
dusC	4	6	183	251
yohK	34	59	48	69
cdd	75	90	122	213
sanA	5	5	165	226
yeiT	20	31	50	69
yeiA	36	39	79	99
mglC	23	43	253	326
mglA	45	62	613	763
mglB	324	324	1277	1830
galS	22	35	66	116
yeiB	3	5	380	517
folE	6	6	2077	2358
frmC	32	46	1242	1636
cirA	31	36	2852	4167
lysP	105	109	4691	6423
yeiE	114	101	344	422
yeiH	34	42	152	188
nfo	9	13	731	880
yeiJ	3	4	19	37
rihB	3	3	5	7
yeiL	3	8	18	21
yeiC	2	0	13	10
fruA	296	302	908	1593
fruK	94	110	463	703
fruB	51	59	449	732
setB	1	5	36	57
yeiQ	64	64	232	278
yeiR	0	1	267	366
yeiU	2	1	316	411
rtn	14	17	364	426
yejB	1	4	77	125
yejE	3	4	112	147
yejF	23	23	449	622
bcr	37	37	389	515
rsuA	9	9	625	787
yejH	3	3	88	110
yejK	25	23	1814	2569
yejM	30	43	934	1181
narP	43	42	878	1383
ccmH	4	1	145	229
ccmF	2	7	182	289
ccmC	0	5	90	134
ccmB	1	4	56	75
ccmA	24	30	125	132
napC	18	28	149	254
napH	1	1	39	55
napG	1	1	24	42
napA	8	12	177	343
mqo	10	6	1291	1916
yojI	6	10	1350	1803
alkB	8	13	34	25
ada	38	45	95	129
yojL	0	3	130	174
rcsB	178	228	3931	5079
rcsC	48	35	1365	1834
yfaP	11	6	12	18
yfaQ	8	6	31	79
yfaT	0	0	5	11
gyrA	108	104	12108	18568
ubiG	7	9	529	690
nrdA	24	30	2492	3217
nrdB	38	46	1926	2959
inaA	31	35	596	690
glpQ	2138	2294	3567	5236
glpT	2195	2278	3546	4804
glpA	2431	2295	515	837
glpB	1280	1185	328	463
glpC	776	809	209	317
yfaY	30	24	525	798
ais	2	2	17	27
yfbE	16	24	104	117
yfbF	1	2	36	36
yfbG	6	6	113	168
yfbH	3	0	33	64
arnT	41	46	55	64
menE	13	6	345	585
menC	15	19	446	790
menB	21	30	929	1513
yfbB	8	6	329	425
menD	21	27	286	426
menF	26	14	517	677
elaC	4	4	330	453
nuoN	52	98	1201	2153
nuoM	29	34	1414	2265
nuoL	105	146	2740	4413
nuoH	78	76	2528	3724
nuoG	253	298	8174	12737
nuoF	89	131	3729	5934
nuoC	180	217	4949	7006
nuoB	209	188	2357	3295
lrhA	546	678	1112	1785
yfbQ	18	27	775	1179
yfbS	62	57	195	310
yfbT	161	158	1631	2375
ackA	538	515	1766	2341
pta	189	154	2411	3531
yfcF	14	12	167	182
yfcG	98	100	40	63
yfcH	390	456	844	1249
hisP	6	11	924	1298
hisM	13	8	717	908
hisQ	35	35	1325	1746
hisJ	217	206	7200	9659
purF	23	23	3840	5623
dedD	105	124	623	1007
folC	124	154	1465	2166
accD	126	140	5926	8958
truA	85	85	835	1161
usg	21	15	935	1442
pdxB	27	35	1552	2525
flk	4	4	440	614
yfcJ	2	1	101	155
fabB	236	233	3667	5649
trmC	15	11	468	662
yfcA	8	4	525	654
mepA	7	7	483	845
aroC	25	23	2456	3529
prmB	17	16	1828	2611
yfcY	370	411	140	190
fadL	444	446	904	1022
vacJ	145	189	1738	2647
yfdC	84	98	62	95
dsdA	15	19	229	277
emrY	2	3	30	22
emrK	22	43	33	44
evgA	5	13	1016	1464
yfdE	77	81	21	45
yfdV	1	4	12	18
oxc	0	0	34	45
frc	0	1	37	50
yfdX	1	5	21	36
ddg	0	0	117	102
yfdZ	48	63	633	1057
ypdA	68	59	323	420
ypdB	83	74	335	509
ypdC	15	20	76	96
ypdD	2	3	61	85
ypdE	0	1	21	32
ypdF	0	3	17	26
ypdG	2	1	11	15
glk	111	119	930	1358
yfeO	49	51	115	157
mntH	1100	1180	789	1013
nupC	22	22	870	1286
yfeA	19	21	674	868
gltX	66	77	7044	9991
yfeR	16	10	121	171
yfeH	53	61	430	627
ligA	76	78	1112	1669
zipA	319	418	3636	5251
cysZ	35	35	264	361
cysK	188	248	29380	42910
ptsI	2256	2488	36131	51724
pdxK	23	30	732	1140
cysM	19	25	3830	5320
cysA	27	28	2449	3554
cysW	8	10	1307	1880
cysU	6	17	1241	1759
cysP	18	27	2583	4032
ucpA	1703	1554	815	1085
yfeT	10	6	72	148
yfeU	28	29	47	85
murP	34	30	78	104
murQ	24	23	80	121
yfeX	47	59	1556	2243
amiA	48	44	785	1195
hemF	4	14	231	373
yfeG	4	7	91	148
eutL	5	4	118	156
eutC	7	10	127	206
eutB	44	51	628	937
eutA	0	2	8	11
eutH	7	11	14	26
eutG	1	0	11	25
eutJ	3	0	7	8
eutE	2	2	21	22
eutI	4	3	23	28
eutT	2	3	7	17
eutQ	1	9	8	20
maeB	558	600	5605	7960
talA	323	369	940	1345
tktB	607	699	1495	2276
ypfG	15	25	186	234
aegA	5	7	76	142
narQ	24	21	197	274
acrD	7	17	124	224
dapE	164	230	1015	1382
ypfH	105	91	291	435
ypfJ	675	709	1029	1399
purC	18	30	4750	7522
nlpB	106	129	4616	7212
dapA	128	149	7035	10061
hyfA	1	0	0	1
hyfC	0	1	11	13
hyfD	2	3	11	17
hyfE	0	1	10	15
hyfG	7	7	32	48
hyfI	1	4	14	19
perM	7	17	326	435
yfgC	53	69	1526	2035
hda	4	5	996	1422
uraA	9	14	3279	5099
upp	13	14	6661	8778
purM	30	26	2878	4784
purN	6	9	1100	1589
ppk	101	87	1347	1624
ppx	23	31	1097	1541
yfgF	7	13	73	102
guaA	38	50	8514	13991
guaB	18	14	6107	9202
xseA	5	7	813	1013
der	92	101	2589	3569
yfgL	135	181	3439	5264
yfgM	38	40	2204	3269
hisS	96	100	5345	7466
ispG	350	414	2395	3341
yfgA	380	373	1612	2076
yfgB	43	51	1398	1857
pbpC	6	5	83	143
sseA	469	459	578	766
sseB	17	13	749	1197
pepB	55	58	1816	2678
hscA	36	43	2551	3988
iscS	414	469	5579	7794
yfhQ	54	69	968	1575
suhB	16	14	2136	2840
yfhR	5	6	26	37
hcaT	65	72	106	141
hcaR	78	89	474	633
hcaE	13	9	123	186
hcaB	3	0	23	62
yphB	11	5	74	97
yphC	4	3	58	92
yphD	6	4	21	34
yphE	6	13	25	35
yphF	10	14	18	37
yphH	28	23	328	464
glyA	108	128	26485	39053
hmp	69	76	498	925
yfhA	2	9	544	787
yfhG	18	14	295	377
yfhK	60	70	491	659
yfhD	5	11	322	449
yfhB	37	39	328	526
yfhH	10	2	180	269
pdxJ	29	36	1428	2170
recO	36	31	617	917
era	164	188	1913	2607
rnc	193	286	1574	2080
lepB	90	121	1979	2825
lepA	80	117	4172	6390
rseB	73	81	1354	1878
rseA	1433	1390	3763	5640
yfiC	4	3	287	427
srmB	15	13	616	837
yfiE	15	17	147	257
ung	22	14	789	1042
yfiF	50	55	1446	1962
yfiP	3	3	143	150
yfiQ	1036	1104	619	859
pssA	364	353	2818	3655
kgtP	1774	1891	11109	14316
clpB	956	1016	7236	11636
yfiH	13	9	503	712
rluD	62	71	1408	1768
yfiO	65	66	5919	7482
pheA	33	25	3375	4150
tyrA	77	63	3246	4547
aroF	98	130	5827	7532
yfiN	2	7	130	175
trmD	262	303	35920	48359
ffh	136	143	2626	3986
ypjD	7	7	349	455
yfjD	14	11	704	949
yfjB	15	23	331	432
recN	104	138	519	664
gabT	286	435	125	207
gabP	32	30	50	72
csiR	44	67	156	235
nrdF	8	5	114	124
proV	5	12	1399	1691
proW	6	9	366	519
proX	12	9	1020	1279
ygaZ	19	13	714	1035
emrA	6	10	617	861
emrB	53	47	365	557
gshA	165	177	3539	5098
alaS	150	176	17716	25082
recA	554	493	5053	7480
mltB	4	5	159	199
srlE	8	9	22	22
srlD	15	19	104	143
srlR	27	21	299	422
gutQ	18	20	203	334
norV	4	7	64	96
norW	1	1	31	27
ascG	9	11	646	907
ascF	19	24	63	92
hycG	3	2	36	56
hycE	0	1	19	21
hycD	0	1	8	9
hycC	0	0	5	15
hycB	0	0	1	4
hypB	4	4	58	104
hypD	21	16	280	408
hypE	21	24	101	172
fhlA	25	22	103	122
mutS	9	11	981	1535
ygbI	42	54	397	476
ygbJ	41	42	35	46
ygbK	23	29	47	80
ygbL	4	5	28	49
ygbM	4	7	34	49
ygbN	7	10	66	94
nlpD	2512	2666	26066	35717
pcm	57	63	819	1126
surE	28	37	807	1146
truD	54	55	1614	2252
ispD	5	11	582	909
cysC	6	19	2022	2938
cysN	57	77	7554	11395
cysD	14	29	5250	7397
iap	7	11	290	414
cysH	27	35	5027	7259
cysI	38	68	9208	14204
cysJ	22	27	7565	11203
ygcQ	2	2	24	56
ygcR	1	0	18	16
ygcS	0	2	16	18
ygcU	2	2	27	35
ygcW	2	1	2	4
yqcE	1	3	44	48
ygcF	498	470	688	928
eno	1620	1848	37245	59259
pyrG	999	973	8532	12711
mazG	74	69	901	1204
relA	127	137	2947	4130
barA	18	21	762	1052
gudD	20	23	130	235
gudX	7	20	65	98
gudP	21	14	12	24
truC	4	3	208	325
queF	13	17	875	1144
ygdH	262	268	739	849
sdaC	34	41	641	856
sdaB	16	13	268	487
exo	6	7	145	211
fucO	59	79	117	142
fucA	19	17	32	51
fucP	17	19	26	30
fucI	23	19	46	82
fucK	12	15	144	181
fucR	22	27	386	469
ygdE	47	43	623	943
gcvA	32	29	399	528
csdA	9	15	384	508
ygdL	19	13	381	616
mltA	46	43	972	1354
amiC	17	13	756	1314
argA	33	39	4819	7010
recD	36	28	687	1125
ptr	26	23	1333	1976
recC	31	45	1049	1368
thyA	8	10	1306	1721
lgt	5	11	827	1133
ptsP	65	47	2443	3425
mutH	12	16	171	224
ygdQ	7	9	163	181
tas	50	60	841	1161
ygeD	23	30	247	292
aas	31	34	902	1255
galR	23	32	337	419
lysA	14	13	1444	2143
lysR	4	4	68	104
ygeA	13	22	453	602
araE	34	48	142	210
kduD	11	9	103	120
kduI	13	16	67	97
yqeF	149	185	740	992
yqeG	8	8	51	85
yqeH	3	2	34	51
yqeI	1	1	56	101
ygeH	2	4	13	32
ygeR	38	55	624	755
xdhA	13	12	49	80
xdhB	1	8	23	39
ygeV	542	614	113	157
ygeW	2	2	14	12
ygeX	2	5	25	28
ygeY	0	3	33	29
hyuA	2	3	44	44
yqeA	30	26	68	109
yqeB	155	190	83	140
yqeC	98	83	15	32
ssnA	2	4	16	18
ygfM	1	5	21	37
xdhD	26	22	101	154
ygfO	48	68	100	110
guaD	12	13	188	227
ygfT	10	16	44	61
ygfU	3	4	8	13
lysS	83	86	6442	9330
prfB	31	35	4958	6533
recJ	32	19	1245	1913
dsbC	37	42	1316	1769
xerD	74	61	1001	1359
ygfZ	155	155	1495	2160
yqfA	94	132	380	440
bglA	94	96	2453	3565
ygfF	3	7	102	135
gcvP	23	22	2840	4698
gcvT	26	25	1878	2782
visC	16	22	982	1366
serA	123	118	35610	51539
rpiA	94	89	3076	4474
argP	46	44	665	945
yliK	4	7	47	80
argK	3	2	21	25
ygfG	1	1	38	37
ygfH	5	7	56	76
ygfI	8	11	73	115
yggE	144	149	1221	1828
argO	7	3	254	308
mscS	23	22	2498	4019
fbaA	480	533	19427	28689
pgk	861	951	17603	25594
epd	200	238	3669	5143
yggF	11	16	42	41
cmtA	0	0	13	18
tktA	104	105	5810	7720
yggG	454	481	801	1069
speB	56	57	1066	1598
speA	836	810	8480	12436
metK	47	60	8253	11750
galP	5	4	593	802
endA	10	9	36	47
yggJ	21	12	443	634
gshB	47	60	1245	1656
yggS	11	16	440	659
yggW	0	5	515	695
yggM	3	4	65	90
ansB	13	13	81	127
yggN	40	36	920	1278
yggH	57	57	2462	3102
mutY	10	13	848	1219
mltC	10	10	777	900
nupG	158	184	221	310
yqgA	8	12	51	89
yghK	23	36	65	102
glcF	38	57	157	231
glcD	68	87	54	62
glcC	455	453	203	291
ECIAI1_3132	0	1	120	139
yghR	0	0	5	14
yghS	1	1	10	18
yghT	1	0	7	10
pitB	3	6	36	58
gss	27	34	2006	2912
yghU	57	55	773	1091
hybC	36	30	391	596
hybB	3	2	67	117
hybA	8	7	53	93
hybO	11	22	71	117
yghZ	585	597	251	360
yghA	58	83	99	124
exbB	61	59	4012	5685
metC	36	26	3015	4178
yghB	123	110	300	439
yqhC	42	43	249	287
yqhD	34	44	536	843
dkgA	323	304	279	360
yqhG	17	22	55	80
ygiQ	15	18	861	1106
sufI	34	38	595	838
plsC	29	30	540	692
parC	56	44	2360	3476
qseB	2	3	57	88
parE	44	43	1727	2748
cpdA	326	358	986	1425
nudF	25	30	910	1095
tolC	131	144	4052	5235
ygiC	120	109	2041	2735
ygiE	232	211	513	752
ribB	361	356	2055	2612
yqiJ	10	6	26	31
yqiK	5	3	33	60
rfaE	40	57	2119	3156
htrG	13	11	362	481
cca	30	37	481	801
bacA	36	38	848	1234
plsY	26	26	268	363
ygiP	0	7	76	87
ttdA	0	2	12	12
ttdB	0	0	9	5
ygjE	3	1	63	98
gcp	22	24	638	855
dnaG	235	241	2434	3273
rpoD	1940	1969	6541	9813
yqjH	4	7	244	382
yqjI	26	19	188	322
aer	64	64	2287	3009
ygjG	1076	1160	517	805
ebgR	3	3	97	119
ygjI	2	2	14	8
ygjJ	0	0	6	9
ygjK	6	6	46	44
ygjO	6	7	242	348
ygjQ	0	1	22	22
ygjR	571	682	317	433
alx	1	2	65	104
sstT	865	943	914	1538
uxaA	50	40	239	345
uxaC	50	37	247	322
exuT	48	41	55	74
exuR	186	200	936	1219
yqjA	148	159	623	839
yqjG	237	250	304	398
yhaJ	8	14	851	1177
yhaK	7	13	38	60
yhaM	6	5	95	140
yhaO	5	7	50	79
tdcG	10	6	56	84
tdcE	30	39	318	472
tdcD	1	2	33	35
tdcC	6	11	90	141
tdcB	0	3	13	12
tdcA	6	6	6	8
garK	142	171	150	166
garR	159	161	87	143
garL	56	70	21	16
garP	58	75	7	6
garD	86	90	74	109
agaR	34	37	1075	1437
kbaZ	8	7	28	40
agaS	3	3	21	22
kbaY	1	1	14	17
agaC	0	0	13	10
agaD	3	2	7	19
agaI	0	0	20	25
yraI	0	0	10	16
yraL	14	19	537	789
yraQ	47	47	759	1153
yraR	196	188	83	148
yhbU	1	0	61	90
yhbV	4	2	28	71
yhbW	8	13	204	327
mtr	86	69	272	413
deaD	70	77	2393	3284
nlpI	263	387	7190	9228
pnp	291	481	13630	19469
truB	24	25	1656	2491
infB	195	216	19838	28430
nusA	160	149	6907	9729
argG	96	111	15789	23469
yhbX	15	25	118	181
glmM	93	107	3474	5330
folP	11	20	836	1265
ftsH	1578	1768	12191	18771
rrmJ	599	681	3077	4170
dacB	2	3	254	315
obgE	680	703	1721	2480
yhbE	157	168	1246	1639
ispB	64	96	1713	2326
murA	26	21	3814	5074
yrbC	130	117	1824	2855
yrbE	56	80	1088	1589
yrbF	100	107	2145	3002
yrbG	21	22	415	552
kdsD	18	38	1748	2269
lptB	89	93	1554	2246
rpoN	158	200	5556	7343
yhbJ	31	35	1503	1901
yrbL	757	760	3322	4844
mtgA	62	54	650	900
elbB	77	75	722	1205
arcB	250	228	1445	1841
yhcC	2	3	22	46
gltB	93	91	29527	44479
gltD	32	57	16077	24852
nanE	19	18	26	48
nanT	33	30	39	51
nanA	15	16	86	137
nanR	26	16	675	911
dcuD	1	6	36	41
sspA	131	155	2752	4417
degQ	60	68	1242	1782
degS	12	18	525	722
mdh	546	651	18029	25462
aaeB	8	13	76	91
aaeA	4	10	162	204
aaeR	13	15	161	220
tldD	163	221	1601	2572
rng	52	51	1977	2884
mreC	14	14	868	1348
mreB	40	33	2843	4132
csrD	88	97	746	1058
yhdH	227	196	658	1012
accC	88	110	7848	12026
panF	13	23	261	359
prmA	40	36	703	1022
dusB	71	72	7192	10040
yhdJ	5	3	60	82
envR	0	0	16	42
acrE	0	0	9	29
acrF	21	29	211	277
aapQ	13	12	30	67
aapP	3	5	125	127
aroE	75	77	1010	1338
smf	231	248	694	962
fmt	684	598	1999	2669
rsmB	49	73	1032	1544
trkA	156	145	1023	1369
rpoA	700	830	63750	99111
rpsD	436	537	56084	79228
secY	1731	2117	62194	94262
rpsC	364	444	43710	65367
rplB	312	383	43190	65015
rplD	263	259	27394	44924
rplC	282	319	43073	66164
tufA	1962	2224	159018	235885
fusA	2055	2370	134798	196610
yheO	28	27	1315	1806
fkpA	169	215	6371	8509
kefB	70	70	487	707
yheS	21	32	885	1163
yheT	25	23	221	347
prkB	60	46	520	636
crp	164	220	5196	7214
yhfK	10	13	943	1463
argD	32	36	6085	9503
fic	696	649	185	219
tsgA	10	9	228	310
nirB	5	7	99	184
nirC	4	0	67	134
cysG	23	36	650	939
frlA	5	1	20	23
frlB	5	3	12	24
frlC	2	3	35	50
frlD	5	11	34	69
frlR	17	9	141	210
yhfS	8	4	38	53
yhfT	1	0	29	43
php	2	5	28	30
yhfZ	51	59	207	287
trpS	74	75	4400	6398
gph	15	10	1427	2014
rpe	12	14	1177	1640
dam	8	15	913	1203
aroB	70	99	5148	7190
hofQ	4	2	53	90
yrfD	3	4	66	84
mrcA	21	21	1347	1906
igaA	42	31	695	1017
yrfG	37	35	526	839
hslO	80	83	976	1573
pck	1671	1594	1424	2140
envZ	57	60	508	770
ompR	198	188	840	1082
yhgF	12	19	2486	3912
feoB	38	53	1106	1915
yhgA	2	1	105	166
bioH	9	15	261	393
gntX	8	10	191	219
gntT	43	57	232	440
malQ	43	54	1363	1856
malP	44	44	2117	2646
malT	1449	1356	4672	6637
rtcB	108	108	133	195
glpG	23	18	1090	1398
glpD	17482	16836	17703	25954
glgP	342	383	4766	7505
glgA	194	231	2495	3903
glgC	289	332	3777	5434
glgX	300	348	3035	4569
glgB	142	202	5762	8874
asd	180	217	18393	27357
gntU	8	9	86	185
gntR	36	30	382	491
yhhW	24	23	212	314
yhhX	122	137	818	1191
yhhZ	1	0	6	12
ggt	5	7	182	300
ugpC	24	47	162	226
ugpE	8	10	41	52
ugpA	9	9	21	24
ugpB	1399	1573	514	664
livF	15	17	3635	5092
livG	7	19	2942	4135
livM	30	25	3577	5841
livH	24	27	3000	4862
livK	91	95	10480	14682
livJ	256	250	30391	41741
rpoH	419	412	2459	3999
ftsX	127	134	978	1568
ftsE	59	62	701	1027
ftsY	98	120	3505	4730
yhhN	37	38	112	195
yhhQ	7	5	101	136
yhhS	11	10	188	258
yhhT	87	111	103	139
nikA	1	1	22	35
nikB	0	0	13	28
nikC	1	0	12	18
nikD	0	0	23	29
nikE	2	6	13	31
yhhI	21	34	65	125
yhhJ	44	36	491	681
rbbA	53	63	1150	1933
yhiI	188	213	1397	2342
yhiM	11	9	54	60
yhiN	69	63	616	856
pitA	153	179	2525	3542
yhiP	142	158	117	146
yhiQ	17	36	224	366
prlC	220	278	1908	3084
yhiR	4	6	201	279
gor	57	55	1486	2257
arsB	13	17	59	71
yhiD	4	5	36	56
mdtE	4	2	17	25
mdtF	18	9	175	229
gadW	12	24	291	403
gadX	96	121	498	801
gadA	86	98	312	492
yhjA	10	12	79	99
treF	165	168	241	341
yhjB	10	14	77	118
yhjC	9	7	146	221
yhjD	253	233	153	238
yhjE	29	37	3702	5614
yhjG	185	205	1603	2188
yhjH	35	48	3962	5340
kdgK	21	20	683	1032
yhjJ	9	20	724	1023
dctA	269	321	317	415
yhjK	38	25	460	618
bcsC	79	83	352	481
bcsZ	0	1	53	66
bcsB	2	1	66	93
bcsA	6	9	73	109
bcsE	57	66	1039	1347
bcsG	12	12	261	341
yhjV	2	8	307	401
dppF	16	12	1111	1765
dppD	18	21	1028	1491
dppC	25	27	825	1349
dppB	18	25	944	1440
dppA	549	696	12379	16311
eptB	3	14	233	296
yhjX	4	8	25	27
yhjY	190	173	261	363
yiaD	4	7	264	375
tiaE	17	18	1607	2251
yiaF	202	249	2806	4111
glyS	121	112	8261	12842
glyQ	66	75	4284	6655
yiaH	8	10	108	126
xylB	96	100	227	298
xylA	127	153	162	201
xylF	14	18	23	29
xylG	10	19	101	153
xylH	28	23	71	73
xylR	10	13	211	307
bax	187	195	2949	3801
avtA	15	21	1581	1919
yiaJ	17	8	306	484
yiaK	7	6	9	13
yiaN	0	2	11	5
yiaO	0	0	4	8
sgbH	1	2	10	12
sgbU	2	1	25	17
sgbE	3	2	13	28
yiaT	42	41	54	47
yiaU	27	28	87	138
yiaV	11	12	32	40
aldB	966	1058	47	69
yiaY	2	3	7	15
selB	16	19	1567	2378
selA	8	18	642	917
yibF	15	33	178	253
yibH	52	44	54	69
mtlA	1390	1427	1041	1786
mtlD	457	557	921	1294
lldP	43	38	148	186
lldR	14	23	120	168
lldD	7	18	161	274
cysE	116	93	784	953
gpsA	115	153	1857	2752
gpmI	78	94	4611	6532
envC	10	8	1075	1601
yibQ	2	2	316	455
yibD	1	0	37	35
tdh	83	108	404	540
kbl	147	195	369	646
waaD	97	95	2520	3405
waaF	22	31	1482	2109
kdtA	20	19	406	624
mutM	8	9	296	399
yicR	53	37	940	1327
dfp	11	7	754	816
pyrE	6	6	132	185
yicC	28	31	1685	2311
yicG	1	2	32	32
ligB	12	9	71	124
gmk	185	246	2644	3414
spoT	44	40	2913	4275
trmH	0	4	484	631
gltS	79	103	182	288
yicE	22	14	949	1271
yicH	270	268	1016	1426
yicI	11	10	101	177
yicJ	4	8	40	41
setC	0	3	11	15
yicL	32	27	500	605
nlpA	49	51	3002	4060
yicM	4	2	114	170
uhpT	817	1106	895	1796
uhpC	2	1	94	140
uhpB	2	4	166	311
ilvB	48	66	3058	4252
emrD	5	4	6	9
yidJ	1	2	33	39
yidK	4	0	13	18
yidL	10	10	49	62
yidP	0	2	14	30
yidE	116	125	543	759
yidR	11	13	326	431
cbrA	1	2	16	28
dgoT	2	9	25	35
dgoD	16	25	31	52
dgoA	6	8	18	25
dgoR	56	53	184	301
yidX	19	21	163	248
yidA	11	7	580	761
gyrB	186	220	4943	7133
recF	2	6	643	832
dnaN	41	47	1302	1826
dnaA	47	66	2022	2946
yidC	58	71	5730	8032
trmE	14	16	646	904
tnaA	24	30	82	91
tnaB	10	7	27	25
mdtL	2	4	27	44
yidZ	31	28	193	216
yieE	10	9	186	266
yieH	5	6	211	251
yieK	6	12	40	95
yieL	1	4	24	37
bglH	4	1	20	35
bglB	2	0	23	52
bglG	0	0	15	15
phoU	11	14	696	1106
pstB	16	12	898	1037
pstA	10	6	219	341
pstC	21	15	336	489
pstS	25	16	1027	1300
glmS	441	433	9530	15498
glmU	333	340	6436	9892
atpD	261	294	17790	27349
atpG	109	159	14162	18495
atpA	288	360	31168	47074
atpB	148	155	16653	21903
gidB	11	9	425	570
gidA	25	33	2031	2883
asnA	19	18	608	907
yieM	13	13	309	414
ravA	40	52	260	378
trkD	34	26	651	833
rbsA	89	119	593	904
rbsC	68	92	412	610
rbsB	255	378	2861	3898
rbsK	25	41	784	1030
rbsR	7	5	199	247
hsrA	9	8	182	237
yieP	38	38	700	1002
hdfR	20	27	502	708
yifB	5	3	210	277
ilvE	17	13	2340	3412
ilvD	34	20	2200	3304
ilvA	16	23	1039	1654
ilvY	30	34	156	217
ilvC	160	183	50213	75232
rep	13	8	856	1155
gpp	36	35	979	1160
rhlB	152	180	2842	3538
rho	104	131	3366	3879
rfe	38	40	1540	2236
wzzE	18	10	958	1465
rffE	10	4	1020	1543
rffD	12	8	1004	1412
rffG	9	9	735	1026
rffH	11	16	414	574
rffC	1	2	295	406
rffA	20	22	566	790
wzxE	20	26	469	694
rffT	11	9	306	446
wzyE	13	13	265	347
rffM	12	13	397	527
yifK	169	209	1410	2055
hemY	41	57	1329	1975
hemX	66	76	1606	2255
hemD	28	27	626	708
hemC	129	118	577	826
cyaA	265	270	4550	5944
dapF	25	26	1111	1696
yigA	4	4	680	1012
xerC	3	5	1069	1450
yigB	9	7	593	794
uvrD	27	24	838	1244
yigE	1	1	47	72
corA	45	36	960	1391
rarD	4	5	158	201
pldA	19	12	995	1425
recQ	3	7	666	977
rhtC	7	4	403	580
rhtB	7	8	287	397
pldB	21	25	779	1103
yigL	7	8	454	633
yigM	2	2	124	150
metR	6	13	344	510
ysgA	57	56	726	1071
udp	69	99	806	1280
rmuC	56	48	328	429
ubiE	41	51	1497	2070
yigP	34	40	341	538
ubiB	34	37	1246	1776
tatC	6	11	853	1264
tatD	8	6	278	417
ubiD	224	267	1945	2855
fre	158	206	1350	2032
fadA	247	250	108	157
fadB	752	829	220	275
pepQ	142	133	3657	5104
yigZ	24	27	405	628
trkH	50	60	706	982
yihE	17	16	1533	2007
dsbA	71	50	3608	5027
yihG	0	0	127	171
polA	266	269	3180	4311
hemN	39	34	976	1399
glnG	61	61	635	968
glnL	40	40	538	737
glnA	40	50	6752	8620
bipA	119	135	13873	21448
yihL	2	4	108	156
yihM	2	6	152	194
yihN	2	1	47	68
ompL	0	0	13	9
yihO	2	8	32	32
yihP	2	3	28	43
yihQ	1	5	28	26
yihS	5	13	64	92
yihT	2	5	30	44
yihU	2	1	16	12
yihV	22	23	47	58
yihW	34	36	291	398
rbn	62	64	412	578
yiiD	33	36	1211	1762
fdhE	29	44	338	500
fdoI	66	106	135	154
fdoH	149	183	135	212
fdoG	1205	1463	1626	2231
fdhD	88	78	325	539
frvB	3	1	15	29
rhaD	0	1	13	27
rhaA	2	0	14	28
rhaS	29	23	29	41
rhaR	7	14	37	49
sodA	336	345	32206	37809
kdgT	14	20	95	121
yiiM	86	97	402	523
cpxA	51	39	1537	2257
cpxR	44	47	1681	2433
fieF	78	84	1321	1750
pfkA	475	515	4770	7143
sbp	7	16	1225	1595
