"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_batch1","K12_batch2"
"2037","appA",24.8497369757318,0.440528768660072,0.505141377545215,0.872090048930194,0.383159254392798,0.444103583515658,27.9696550741884,29.3823462733936,20.4820471846994,21.5648993706458
"2038","ydhJ",17.1221170096013,-0.60042270669079,0.690485941454565,-0.869565433042635,0.384537935101008,0.44548285808316,23.308045895157,4.19747803905623,19.4180447335462,21.5648993706458
"2039","yniC",38.3860425771607,-0.391180377829321,0.450566723717542,-0.868196334167256,0.385286860726725,0.446131573406473,32.6312642532199,33.5798243124498,46.2841066251648,41.0489751178083
"2040","ycjF",98.8906564167017,-0.240732176113882,0.281661215591079,-0.854686988439975,0.392724455698988,0.454520803875153,93.2321835806282,88.1470388201807,105.602243276957,108.581159989041
"2041","ycgF",76.4967205157515,0.296020569914794,0.34651699735768,0.854274313156526,0.39295301623412,0.454562504325701,93.2321835806282,75.554604703012,81.3961875132209,55.8039062661449
"2042","dacD",79.3565311040079,0.256351424859747,0.302237234684576,0.848179494254847,0.396338015366892,0.458253699452121,93.2321835806282,79.7520827420683,76.3421758702432,68.0996822230921
"2043","aaeA",35.575784076203,-0.399447867231941,0.47341863546643,-0.843751887456628,0.398808066005752,0.460883917689467,18.6464367161256,41.9747803905623,43.0920992717052,38.5898199264189
"2044","ugd",88.8505338813724,0.247073492089928,0.293277049638438,0.842457643359848,0.399531839072189,0.461494457949823,74.5857468645025,117.529385093574,85.9181979306221,77.3688056367908
"2045","agaC",1.33741645144457,-1.34958755139241,1.60645963246749,-0.840100506801702,0.400852035980136,0.462792986283179,0,0,3.45800796624795,1.89165783953034
"2046","potH",74.7861809265599,0.260962482009283,0.311420852280218,0.837973694113673,0.402045477816581,0.463943975134383,79.2473560435339,83.9495607811245,63.3081458436163,72.6396610379649
"2047","mhpD",6.55513999263829,-0.897065535385228,1.07185870703364,-0.836925174464319,0.402634628774909,0.464396853218154,4.66160917903141,4.19747803905623,7.71401777086081,9.64745498160472
"2048","mdoB",418.676785413945,0.129994401888093,0.155446013862872,0.836267194363496,0.40300460425855,0.464596616530486,382.251952680575,491.104930569578,406.18293572774,395.167322677887
"2049","yhbW",51.9953560753595,-0.325764595330852,0.391131207980516,-0.832878043694943,0.404913513733813,0.466569451403383,37.2928734322513,54.5672145077309,54.2641250088139,61.857211352642
"2050","yqhD",161.30670753312,0.18600818303962,0.223950179087999,0.830578407202481,0.406211837111523,0.467837145083076,158.494712087068,184.689033718474,142.576328454531,159.466755872407
