"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_batch1","K12_batch2"
"84","arcA","arcA",68,10021.691155225,4.17476807537694,0.113674656818908,36.72558327603,2.85297966964481e-295,9.9057132353403e-294,20669.5750998253,17318.794389146,1089.00650875532,1009.38862317339
"85","arcB","arcB",540,713.763095349826,1.53085694242431,0.136946988293948,11.1784637361898,5.19820298054516e-29,2.27276985871613e-28,1165.40229475785,957.024992904819,384.370885479099,348.254208257535
"86","argA","argA",334,731.360961242208,-3.02856851665809,0.194339925295404,-15.5838719812954,9.37028177479515e-55,6.62372313481777e-54,153.833102908036,163.701643523193,1281.85695302684,1326.05214551077
"87","argB","argB",477,417.533999257249,-3.23400690890219,0.262795916298296,-12.3061535904208,8.3928636334814e-35,4.15420357204394e-34,79.2473560435339,79.7520827420683,733.097688844565,778.038869398827
"88","argC","argC",431,508.417073620804,-3.0244496244496,0.226926554396449,-13.3278788482628,1.59364617815236e-40,8.72992720792973e-40,125.863447833848,96.5419948982932,904.402083480232,906.860768270843
"89","argD","argD",283,929.134219214384,-3.49840550719817,0.20407888949957,-17.1424174042535,7.16105370375157e-66,5.97429250691076e-65,149.171493729005,151.109209406024,1618.61372881683,1797.64244490568
"90","argE","argE",949,477.285792466635,-1.0651144907826,0.162000081292339,-6.57477750804661,4.87259730074491e-11,1.21224470253517e-10,279.696550741884,335.798243124498,633.081458436163,660.566917563993
"91","argG","argG",158,2388.21250060763,-3.23688328650799,0.131869593973081,-24.5460927647109,4.76113188335861e-133,7.11457745355044e-132,447.514481187015,465.920062335241,4199.88367531453,4439.53178359375
"92","argH","argH",408,785.135811046449,-2.65555244328542,0.190448708724108,-13.9436621076406,3.43835218518743e-44,1.98969350716361e-43,219.095631414476,209.873901952811,1247.80887458993,1463.76483622857
"93","argI","argI",407,634.144491622801,-2.77372403552334,0.198662905449598,-13.961962497458,2.66006879592115e-44,1.54310133345696e-43,153.833102908036,167.899121562249,1063.20444931485,1151.64129270607
"94","argK","argK",1913,8.17373527064672,1.05733982616685,0.824576922669304,1.28228161266514,0.199743875751697,0.246521322869711,13.9848275370942,8.39495607811245,5.58601286855438,4.72914459882584
"95","argO","argO",1527,42.762728869038,-1.47701012285584,0.515327157196145,-2.86616007371344,0.0041548409900028,0.00642408616725384,32.6312642532199,12.5924341171687,67.5641556482291,58.2630614575344
"96","argP","argP",2068,188.693782323439,0.161639104467712,0.203322094587532,0.794990356535626,0.426619111757116,0.487063695772994,214.434022235445,184.689033718474,176.890407504222,178.761665835617
"97","argS","argS",667,610.798399282469,-1.43832722993525,0.152240334087923,-9.44774089305779,3.46222139945888e-21,1.22553294214729e-20,321.651033353167,335.798243124498,882.85603384438,902.888286807829
"98","arnT","arnT",385,102.736652503306,3.83946431424632,0.26835282929407,14.3075231379018,1.96383944704972e-46,1.20431816480114e-45,191.125976340288,193.083989796586,14.6300337033567,12.1066101729942
"99","aroA","aroA",225,1275.89552550347,-4.13015519208233,0.205982726942084,-20.0509783193791,1.97914745046795e-89,2.0767853913577e-88,121.201838654817,151.109209406024,2500.93776143563,2330.33329251742
"100","aroB","aroB",454,867.834027413816,-1.8701245132865,0.147079988078769,-12.7150167586698,4.88004899191775e-37,2.53784045592903e-36,326.312642532199,415.550325866566,1369.37115463419,1360.10198662231
"101","aroC","aroC",533,383.486445238102,-2.62900655839095,0.233846341579601,-11.2424532307513,2.5227278681868e-29,1.11747851722121e-28,116.540229475785,96.5419948982932,653.297505008074,667.566051570256
"102","aroD","aroD",1318,78.8418289939135,-1.55231584492102,0.384322691525147,-4.0390949562744,5.36578409522209e-05,9.61200018878555e-05,41.9544826112827,37.777302351506,114.380263498971,121.255267513895
"103","aroE","aroE",1665,298.647733820008,0.365044651732882,0.167050863541841,2.18523055788603,0.0288719460396522,0.0409409396994708,349.620688427356,323.205809007329,268.660618916187,253.103818929159
"104","aroF","aroF",544,994.32302501852,-1.56261289885333,0.140808958645736,-11.0973968835657,1.29150789762326e-28,5.60523923950093e-28,456.837699545078,545.672145077309,1549.98557071745,1424.79668473425
"105","aroG","aroG",228,1441.00846560222,-3.55555539718502,0.178393923667699,-19.9309221081324,2.19480823932248e-88,2.27278168992999e-87,191.125976340288,256.04616038243,2802.84845695036,2514.01326873582
"106","aroH","aroH",1109,112.464039775983,-1.84798037729097,0.346622644580164,-5.33138964284715,9.7464043114752e-08,2.07495586829513e-07,41.9544826112827,54.5672145077309,183.274422211141,170.060039773777
"107","aroM","aroM",1991,68.9950170178226,0.328039513166322,0.320276095813964,1.02423976517082,0.305722040750227,0.362536282376337,65.2625285064397,88.1470388201807,58.2541342006385,64.3163665440314
"108","aroP","aroP",570,1147.18503442685,-1.31535229376358,0.122636424805276,-10.7256249181441,7.71637008204902e-27,3.19620171293294e-26,703.902986033743,612.831793702209,1620.20973249356,1651.79562547789
"109","arsB","arsB",1065,40.2707132016349,2.16918663650485,0.384541170530528,5.64097371813832,1.69091173599119e-08,3.74858460908469e-08,60.6009193274083,71.3571266639558,15.6940361545099,13.4307706606654
"110","artI","artI",652,663.191165085634,1.22051997626635,0.12696276633385,9.61321190069992,7.03204874225595e-22,2.54642133135986e-21,899.690571553062,957.024992904819,379.316873836121,416.732222048533
"111","artJ","artJ",339,770.346702829422,-4.71898832793321,0.30449936123528,-15.4975311238402,3.60480000163633e-54,2.51059964715734e-53,65.2625285064397,46.1722584296185,1561.42359706734,1408.52842731429
"112","artM","artM",1274,128.752720507153,-1.28715584890335,0.29830999848079,-4.31482637343193,1.59728392278234e-05,2.9601156528172e-05,51.2777009693455,96.5419948982932,176.890407504222,190.300778656752
"113","artP","artP",844,378.389126514737,1.18537468118799,0.159716435794609,7.42174514032073,1.15587073286065e-13,3.23342511881989e-13,475.484136261204,575.054491350703,244.720563765239,218.297314681801
"114","artQ","artQ",1882,118.809510873709,-0.3736998851024,0.272090595853229,-1.37343918091157,0.169615856330155,0.212785885651167,93.2321835806282,113.331907054518,125.286288623291,143.3876642364
"115","ascF","ascF",835,55.8678345170721,2.45463642916423,0.327306260858896,7.49950955023876,6.4057055537789e-14,1.8112420134697e-13,88.5705744015967,100.739472937349,16.7580386056631,17.4032521236791
"116","ascG","ascG",1092,107.884125736887,-1.94257327403735,0.35783261309231,-5.42872058879726,5.67594623157089e-08,1.22718947369404e-07,41.9544826112827,46.1722584296185,171.836395861244,171.573366045401
"117","asd","asd",187,2954.37500232982,-2.52054308726595,0.111583161830294,-22.5889197431008,5.56928560904287e-113,7.03159535986642e-112,839.089652225653,910.852734475201,4892.54927101527,5175.00835160314
"118","asmA","asmA",1611,327.029719782082,-0.412596695347168,0.169437419197202,-2.4350978508883,0.0148877631034425,0.0218052163072133,279.696550741884,281.231028616767,375.858865869873,371.332433899805
"119","asnA","asnA",1384,124.356729431325,-1.02233707065831,0.283902217945476,-3.60101825923266,0.000316973312187828,0.000540732651788629,88.5705744015967,75.554604703012,161.728372575289,171.573366045401
"120","asnB","asnB",620,562.593617193254,-1.67365768606365,0.167493224158921,-9.99239040545097,1.64564579014998e-23,6.26672533958724e-23,307.666205816073,230.861292148092,854.925969501608,856.921001307242
"121","asnS","asnS",560,1451.12151290091,-1.31743801516544,0.121196832887601,-10.870234673436,1.59789315231595e-27,6.73683166538921e-27,764.503905361151,894.062822318976,2009.10262839006,2136.81669553347
"122","aspA","aspA",59,11323.9808859953,6.4246824923988,0.0947718670105031,67.7910301343623,0,0,23625.0353193312,21151.0918388043,259.882598694173,259.913787151468
